+0.00246109-0.00000000i, -0.00654930+0.00083007i, +0.00762145-0.00432397i, -0.00098925-0.00781343i, -0.00854316+0.00604856i, +0.00365299+0.00004801i, -0.00575326+0.00840615i, -0.00730600-0.00257657i, -0.00257127+0.00151592i, +0.00148869+0.00666647i, -0.01093606+0.00073320i, -0.00434280-0.00580024i, -0.00391908+0.00549802i, -0.00718325-0.00004681i, +0.00459478-0.00387079i, -0.00686516-0.00398382i, +0.00750057+0.00637195i, +0.01020948-0.00389713i, -0.00349887-0.00367788i, +0.00296465-0.00302393i, -0.00097895+0.00066592i, -0.00363838-0.00272937i, +0.00249431-0.00121309i, -0.00335641-0.01165586i, +0.00679370+0.00196180i, -0.00700617-0.01211913i, -0.00284649-0.01838446i, +0.00589490+0.00775280i, -0.01042125-0.00687498i, -0.00124602-0.00960308i, +0.00167179+0.00150051i, +0.01242789+0.00534000i
-0.00654930-0.00083007i, +0.01770855-0.00000000i, -0.02174010+0.00893613i, -0.00000277+0.02112626i, +0.02477456-0.01321462i, -0.00970492-0.00135984i, +0.01814541-0.02042947i, +0.01857325+0.00932076i, +0.00735379-0.00316683i, -0.00171316-0.01824250i, +0.02934963+0.00173735i, +0.00960049+0.01689996i, +0.01228357-0.01330917i, +0.01909982+0.00254733i, -0.01353286+0.00875100i, +0.01692547+0.01291695i, -0.01781093-0.01948641i, -0.02848325+0.00692737i, +0.00807050+0.01096743i, -0.00890924+0.00704719i, +0.00282973-0.00144193i, +0.00876168+0.00849038i, -0.00704684+0.00238691i, +0.00500060+0.03214988i, -0.01741730-0.00751199i, +0.01455686+0.03461368i, +0.00137423+0.04988361i, -0.01307230-0.02261947i, +0.02541360+0.02181013i, +0.00007694+0.02597536i, -0.00394277-0.00455692i, -0.03127124-0.01840211i
+0.00762145+0.00432397i, -0.02174010-0.00893613i, +0.03119885+0.00000000i, +0.01066419-0.02593450i, -0.03708316+0.00372127i, +0.01122814+0.00656675i, -0.03258559+0.01592388i, -0.01809819-0.02081522i, -0.01062602+0.00017691i, -0.00710240+0.02326011i, -0.03515470-0.01694336i, -0.00325804-0.02559205i, -0.02179617+0.01014059i, -0.02216266-0.01276546i, +0.02102972-0.00391427i, -0.01426055-0.02439861i, +0.01203251+0.03291050i, +0.03846348+0.00586883i, -0.00437343-0.01753685i, +0.01449370-0.00415576i, -0.00420158+0.00034225i, -0.00647193-0.01484465i, +0.00985562+0.00062567i, +0.01008451-0.04199257i, +0.01759182+0.01801133i, -0.00040405-0.04983958i, +0.02348530-0.06193364i, +0.00463406+0.03436562i, -0.02019340-0.03959972i, +0.01301330-0.03192777i, +0.00254086+0.00758396i, +0.02910437+0.03837173i
-0.00098925+0.00781343i, -0.00000277-0.02112626i, +0.01066419+0.02593450i, +0.02520359-0.00000000i, -0.01576888-0.02955394i, -0.00162078+0.01157816i, -0.02437515-0.02164425i, +0.01111675-0.02215930i, -0.00377917-0.00877256i, -0.02176300+0.00204665i, +0.00206807-0.03501432i, +0.02016012-0.01145600i, -0.01587974-0.01465220i, +0.00303598-0.02278644i, +0.01044203+0.01614331i, +0.01540725-0.02019406i, -0.02324446+0.02125145i, +0.00826879+0.03397937i, +0.01308286-0.00962981i, +0.00840868+0.01062761i, -0.00172066-0.00337563i, +0.01012764-0.01045399i, +0.00284868+0.00840649i, +0.03835396-0.00597073i, -0.00895906+0.02077997i, +0.04129177-0.01737171i, +0.05951083-0.00164725i, -0.02698294+0.01559876i, +0.02601547-0.03032178i, +0.03098854-0.00009584i, -0.00543578+0.00470443i, -0.02194880+0.03730940i
-0.00854316-0.00604856i, +0.02477456+0.01321462i, -0.03708316-0.00372127i, -0.01576888+0.02955394i, +0.04452116+0.00000000i, -0.01256259-0.00914453i, +0.04063079-0.01504056i, +0.01902888+0.02689979i, +0.01265126+0.00105715i, +0.01121633-0.02679998i, +0.03976418+0.02433210i, +0.00082002+0.03080749i, +0.02711661-0.00945341i, +0.02482008+0.01781658i, -0.02546294+0.00214419i, +0.01404002+0.03070129i, -0.01037649-0.04055283i, -0.04501794-0.01156349i, +0.00310656+0.02136606i, -0.01772299+0.00321081i, +0.00503484+0.00009434i, +0.00592197+0.01841640i, -0.01163983-0.00191921i, -0.01699521+0.04870982i, -0.01876144-0.02350667i, -0.00546441+0.05928786i, -0.03530198+0.07081351i, -0.00140909-0.04139994i, +0.01927873+0.04947708i, -0.01927591+0.03639739i, -0.00211551-0.00931741i, -0.03001683-0.04908035i
+0.00365299-0.00004801i, -0.00970492+0.00135984i, +0.01122814-0.00656675i, -0.00162078-0.01157816i, -0.01256259+0.00914453i, +0.00542307+0.00000000i, -0.00837555+0.01258947i, -0.01089455-0.00368187i, -0.00378696+0.00230024i, +0.00233972+0.00986599i, -0.01621806+0.00130164i, -0.00655916-0.00852456i, -0.00570982+0.00823716i, -0.01066299+0.00007065i, +0.00674450-0.00583505i, -0.01026766-0.00577924i, +0.01125740+0.00931154i, +0.01507788-0.00598368i, -0.00526512-0.00539081i, +0.00434143-0.00454626i, -0.00144007+0.00100752i, -0.00545369-0.00398022i, +0.00367863-0.00184924i, -0.00520931-0.01723529i, +0.01012215+0.00277936i, -0.01063567-0.01785171i, -0.00458370-0.02723248i, +0.00890104+0.01139245i, -0.01560237-0.01000121i, -0.00203682-0.01422952i, +0.00251071+0.00219459i, +0.01855086+0.00768369i
-0.00575326-0.00840615i, +0.01814541+0.02042947i, -0.03258559-0.01592388i, -0.02437515+0.02164425i, +0.04063079+0.01504056i, -0.00837555-0.01258947i, +0.04216152+0.00000000i, +0.00827855+0.03097773i, +0.01118862+0.00523874i, +0.01929004-0.02066893i, +0.02806939+0.03563942i, -0.00965932+0.02839248i, +0.02794073+0.00053344i, +0.01663228+0.02464468i, -0.02396230-0.00664531i, +0.00244137+0.03276167i, +0.00423017-0.04051471i, -0.03717768-0.02576143i, -0.00438298+0.02054853i, -0.01725902-0.00305711i, +0.00456302+0.00178702i, -0.00081711+0.01880775i, -0.00997434-0.00568379i, -0.03196574+0.03871195i, -0.00918077-0.02779077i, -0.02501610+0.05226111i, -0.05614010+0.05269961i, +0.01270016-0.03825835i, +0.00087929+0.05166658i, -0.02988765+0.02670492i, +0.00121705-0.00921791i, -0.01081310-0.05493216i
-0.00730600+0.00257657i, +0.01857325-0.00932076i, -0.01809819+0.02081522i, +0.01111675+0.02215930i, +0.01902888-0.02689979i, -0.01089455+0.00368187i, +0.00827855-0.03097773i, +0.02438608-0.00000000i, +0.00604603-0.00719208i, -0.01139862-0.01823157i, +0.03169720-0.01362578i, +0.01896444+0.01267203i, +0.00587819-0.02042442i, +0.02137322-0.00738133i, -0.00958764+0.01630122i, +0.02455067+0.00463909i, -0.02893715-0.01106327i, -0.02622790+0.02225757i, +0.01423721+0.00725512i, -0.00563504+0.01208061i, +0.00220895-0.00300174i, +0.01365835+0.00429332i, -0.00613459+0.00621251i, +0.02216663+0.03108771i, -0.02222165+0.00128867i, +0.03348631+0.02864195i, +0.02769720+0.05159608i, -0.02561620-0.01684346i, +0.03813413+0.00949885i, +0.01375263+0.02720323i, -0.00653379-0.00270418i, -0.04248401-0.00284129i
-0.00257127-0.00151592i, +0.00735379+0.00316683i, -0.01062602-0.00017691i, -0.00377917+0.00877256i, +0.01265126-0.00105715i, -0.00378696-0.00230024i, +0.01118862-0.00523874i, +0.00604603+0.00719208i, +0.00362012+0.00000000i, +0.00255090-0.00788189i, +0.01187727+0.00597008i, +0.00096454+0.00873487i, +0.00748106-0.00333019i, +0.00747600+0.00447346i, -0.00718471+0.00121391i, +0.00471865+0.00839079i, -0.00391154-0.01127722i, -0.01306700-0.00221697i, +0.00139011+0.00599768i, -0.00495998+0.00133322i, +0.00143296-0.00009274i, +0.00212010+0.00509264i, -0.00335318-0.00026898i, -0.00367280+0.01424507i, -0.00588947-0.00623423i, -0.00014499+0.01697716i, -0.00835005+0.02096081i, -0.00138345-0.01173087i, +0.00665313+0.01360178i, -0.00461324+0.01080049i, -0.00082239-0.00259743i, -0.00969508-0.01323406i
+0.00148869-0.00666647i, -0.00171316+0.01824250i, -0.00710240-0.02326011i, -0.02176300-0.00204665i, +0.01121633+0.02679998i, +0.00233972-0.00986599i, +0.01929004+0.02066893i, -0.01139862+0.01823157i, +0.00255090+0.00788189i, +0.01895829-0.00000000i, -0.00462907+0.03006652i, -0.01833830+0.00825503i, +0.01252214+0.01394150i, -0.00447189+0.01942929i, -0.00770566-0.01478750i, -0.01494383+0.01618619i, +0.02179703-0.01646282i, -0.00438072-0.03001225i, -0.01207888+0.00725283i, -0.00639778-0.00985963i, +0.00121165+0.00305454i, -0.00959401+0.00820448i, -0.00177716-0.00749023i, -0.03360304+0.00204114i, +0.00942347-0.01721574i, -0.03706562+0.01164719i, -0.05152066-0.00341017i, +0.02456614-0.01127821i, -0.02492631+0.02406992i, -0.02676602-0.00243365i, +0.00507575-0.00362081i, +0.02198222-0.03043388i
-0.01093606-0.00073320i, +0.02934963-0.00173735i, -0.03515470+0.01694336i, +0.00206807+0.03501432i, +0.03976418-0.02433210i, -0.01621806-0.00130164i, +0.02806939-0.03563942i, +0.03169720+0.01362578i, +0.01187727-0.00597008i, -0.00462907-0.03006652i, +0.04881367+0.00000000i, +0.01756958+0.02706762i, +0.01905270-0.02326335i, +0.03190539+0.00234803i, -0.02157043+0.01583132i, +0.02931902+0.01974766i, -0.03143109-0.03054881i, -0.04652767+0.01427565i, +0.01445180+0.01738532i, -0.01407453+0.01255387i, +0.00454844-0.00266743i, +0.01535432+0.01321212i, -0.01144504+0.00464735i, +0.01144201+0.05279367i, -0.02960390-0.01074137i, +0.02752199+0.05593955i, +0.00717159+0.08254081i, -0.02388480-0.03620635i, +0.04425950+0.03365419i, +0.00267590+0.04304326i, -0.00698170-0.00716568i, -0.05363343-0.02743116i
