+0.06758446+0.00000000i, +0.03371907-0.03040525i, -0.01070441+0.02072428i, -0.00409866-0.01559583i, -0.00165653-0.00656548i, -0.00379764-0.00254206i, -0.00231680-0.00054154i, +0.00144019-0.00079455i, -0.11417043+0.00486284i, -0.05480095+0.05381630i, +0.01662390-0.03584894i, +0.00806158+0.02610152i, -0.00427113-0.01432757i, -0.00861630-0.00525089i, -0.00516166-0.00097693i, +0.00310235-0.00188806i, -0.02007783-0.04058376i, -0.02827469-0.01121502i, +0.01562361+0.00027115i, -0.00814692+0.00709385i, -0.00416780+0.00355756i, -0.00048110+0.00366681i, +0.00043857+0.00187481i, -0.00109313-0.00075951i, -0.04110037-0.07487982i, -0.05421977-0.01887772i, +0.02952806-0.00074468i, -0.01481538+0.01405256i, +0.00818346-0.00761051i, +0.00066206-0.00751316i, -0.00105634-0.00378200i, +0.00229324+0.00145270i
+0.03371907+0.03040525i, +0.03431521-0.00000000i, -0.01509026+0.00568446i, +0.00530516-0.01027106i, +0.00213706-0.00403945i, -0.00084083-0.00333253i, -0.00093877-0.00135061i, +0.00114822+0.00026839i, -0.05917855-0.04896159i, -0.05796682+0.00246897i, +0.02513148-0.01070921i, -0.00823889+0.01776692i, +0.00433474-0.00911167i, -0.00216796-0.00727245i, -0.00219779-0.00289120i, +0.00255814+0.00048417i, +0.00824070-0.02928012i, -0.01019430-0.02060595i, +0.00789586+0.00737227i, -0.00774314-0.00013438i, -0.00369687-0.00010056i, -0.00211551+0.00180576i, -0.00064279+0.00116559i, -0.00021736-0.00092916i, +0.01318813-0.05587688i, -0.02086756-0.03801812i, +0.01550489+0.01328791i, -0.01463426+0.00036907i, +0.00754139-0.00011593i, +0.00415379-0.00386297i, +0.00120857-0.00243077i, +0.00052353+0.00187438i
-0.01070441-0.02072428i, -0.01509026-0.00568446i, +0.01183854-0.00000000i, -0.00420572+0.00379239i, -0.00178256+0.00157585i, -0.00018564+0.00163431i, +0.00026545+0.00105207i, -0.00053096-0.00035542i, +0.01961197+0.03430555i, +0.02595108+0.00853346i, -0.01981671+0.00084405i, +0.00692397-0.00679956i, -0.00378421+0.00364375i, -0.00025597+0.00362268i, +0.00068442+0.00229590i, -0.00120468-0.00073415i, -0.00926399+0.01258368i, +0.00106944+0.01074948i, -0.00351818-0.00711138i, +0.00352491+0.00139814i, +0.00178270+0.00072749i, +0.00125206-0.00045181i, +0.00066786-0.00057008i, -0.00006727+0.00051267i, -0.01648346+0.02451033i, +0.00288439+0.02021510i, -0.00713384-0.01299699i, +0.00685054+0.00238515i, -0.00369552-0.00132759i, -0.00251195+0.00102926i, -0.00131135+0.00121953i, +0.00009257-0.00105045i
-0.00409866+0.01559583i, +0.00530516+0.01027106i, -0.00420572-0.00379239i, +0.00668726-0.00000000i, +0.00164474+0.00001619i, +0.00088345-0.00078100i, +0.00029879-0.00056477i, +0.00015140+0.00060006i, +0.00581294-0.02669248i, -0.00971979-0.01700200i, +0.00747707+0.00618618i, -0.01120464+0.00047724i, +0.00362976-0.00011883i, +0.00187547-0.00180586i, +0.00060606-0.00127394i, +0.00039037+0.00130949i, +0.01058198-0.00217181i, +0.00459128-0.00623654i, -0.00102734+0.00365025i, -0.00198725-0.00401687i, -0.00057847-0.00119882i, -0.00088351-0.00036055i, -0.00051688-0.00001406i, +0.00038092-0.00032515i, +0.01981009-0.00495282i, +0.00816929-0.01214745i, -0.00166629+0.00705991i, -0.00403357-0.00734867i, +0.00128271+0.00239248i, +0.00183152+0.00065796i, +0.00105440-0.00001621i, -0.00074794+0.00069557i
-0.00165653+0.00656548i, +0.00213706+0.00403945i, -0.00178256-0.00157585i, +0.00164474-0.00001619i, +0.00735525+0.00000000i, +0.00353092-0.00318391i, +0.00099237-0.00192129i, +0.00037997+0.00144584i, +0.00303737-0.01463886i, -0.00509382-0.00871008i, +0.00408033+0.00330877i, -0.00362672+0.00019025i, +0.00110867-0.00004722i, +0.00076020-0.00074654i, +0.00043213-0.00093187i, +0.00020955+0.00067849i, +0.00535668-0.00115444i, +0.00216312-0.00299965i, -0.00050336+0.00185846i, -0.00060195-0.00118720i, -0.00227546-0.00459943i, -0.00308820-0.00122492i, -0.00151898-0.00002636i, +0.00079207-0.00068969i, +0.01081446-0.00281715i, +0.00414719-0.00629974i, -0.00086436+0.00383044i, -0.00132956-0.00236676i, +0.00039911+0.00072713i, +0.00075214+0.00026187i, +0.00076756-0.00001936i, -0.00038511+0.00036529i
-0.00379764+0.00254206i, -0.00084083+0.00333253i, -0.00018564-0.00163431i, +0.00088345+0.00078100i, +0.00353092+0.00318391i, +0.00374382-0.00000000i, +0.00139897-0.00052699i, -0.00049183+0.00095220i, +0.00813861-0.00596453i, +0.00154172-0.00743045i, +0.00056308+0.00358779i, -0.00202223-0.00163984i, +0.00082093+0.00067920i, +0.00054703-0.00002330i, +0.00065327-0.00027838i, -0.00021416+0.00046184i, +0.00320665+0.00184239i, +0.00271897-0.00058598i, -0.00111882+0.00072112i, +0.00024947-0.00092106i, +0.00090006-0.00319802i, -0.00115809-0.00234088i, -0.00076766-0.00071676i, +0.00075282+0.00001307i, +0.00669368+0.00347571i, +0.00548925-0.00142994i, -0.00221710+0.00156644i, +0.00042838-0.00189839i, -0.00018295+0.00077513i, +0.00019693+0.00035878i, +0.00040304+0.00034541i, -0.00038041+0.00000959i
-0.00231680+0.00054154i, -0.00093877+0.00135061i, +0.00026545-0.00105207i, +0.00029879+0.00056477i, +0.00099237+0.00192129i, +0.00139897+0.00052699i, +0.00218721-0.00000000i, +0.00001503-0.00001355i, +0.00505989-0.00141229i, +0.00194399-0.00306761i, -0.00048672+0.00234578i, -0.00071219-0.00121780i, +0.00050980+0.00089175i, +0.00067458+0.00022182i, -0.00134398+0.00005724i, -0.00084429+0.00082912i, +0.00122418+0.00148615i, +0.00131653+0.00019627i, -0.00085837+0.00018499i, +0.00030243-0.00041939i, +0.00090068-0.00122343i, -0.00010397-0.00104510i, -0.00066547-0.00134513i, +0.00000347+0.00000138i, +0.00262333+0.00292190i, +0.00269957+0.00028566i, -0.00173295+0.00045143i, +0.00057984-0.00088080i, -0.00042848+0.00063713i, +0.00007498+0.00052548i, -0.00048382-0.00088147i, -0.00083533-0.00029084i
+0.00144019+0.00079455i, +0.00114822-0.00026839i, -0.00053096+0.00035542i, +0.00015140-0.00060006i, +0.00037997-0.00144584i, -0.00049183-0.00095220i, +0.00001503+0.00001355i, +0.00118251-0.00000000i, -0.00325165-0.00161742i, -0.00250771+0.00069994i, +0.00113790-0.00083393i, -0.00027761+0.00133794i, +0.00015110-0.00069385i, -0.00025266-0.00044195i, -0.00091173-0.00075432i, -0.00066852+0.00002847i, +0.00005951-0.00132975i, -0.00060671-0.00073654i, +0.00044834+0.00025759i, -0.00048958+0.00010551i, -0.00102882+0.00021115i, -0.00044638+0.00060634i, -0.00000101+0.00000360i, -0.00036017-0.00072803i, +0.00000586-0.00271464i, -0.00130014-0.00144811i, +0.00093587+0.00048595i, -0.00098840+0.00025748i, +0.00051495-0.00012874i, +0.00021235-0.00031576i, +0.00020318-0.00086086i, -0.00024066-0.00043845i
-0.11417043-0.00486284i, -0.05917855+0.04896159i, +0.01961197-0.03430555i, +0.00581294+0.02669248i, +0.00303737+0.01463886i, +0.00813861+0.00596453i, +0.00505989+0.00141229i, -0.00325165+0.00161742i, +0.25762763+0.00000000i, +0.12856124-0.11592656i, -0.04083722+0.07906293i, -0.01563635-0.05949794i, +0.00800789+0.03173835i, +0.01835827+0.01228867i, +0.01119970+0.00261786i, -0.00696204+0.00384094i, +0.03458438+0.07810345i, +0.05241820+0.02341973i, -0.02948444-0.00176883i, +0.01595663-0.01274190i, +0.00880095-0.00688710i, +0.00129851-0.00742966i, -0.00073092-0.00385813i, +0.00216141+0.00164243i, +0.08306862+0.16790843i, +0.11700798+0.04641067i, -0.06469687-0.00112281i, +0.03373612-0.02937543i, -0.01829159+0.01561339i, -0.00211147+0.01609287i, +0.00192481+0.00822814i, -0.00479751-0.00333334i
-0.05480095-0.05381630i, -0.05796682-0.00246897i, +0.02595108-0.00853346i, -0.00971979+0.01700200i, -0.00509382+0.00871008i, +0.00154172+0.00743045i, +0.00194399+0.00306761i, -0.00250771-0.00069994i, +0.12856124+0.11592656i, +0.13080565+0.00000000i, -0.05756918+0.02168616i, +0.02023913-0.03918399i, -0.01033082+0.01952720i, +0.00406468+0.01610989i, +0.00453813+0.00652903i, -0.00555063-0.00129742i, -0.01789165+0.05455310i, +0.01755925+0.03965482i, -0.01431885-0.01455818i, +0.01461264+0.00087664i, +0.00752393+0.00052574i, +0.00446722-0.00349578i, +0.00141088-0.00231920i, +0.00036225+0.00191211i, -0.03410214+0.12116873i, +0.04217655+0.08525238i, -0.03269650-0.03052836i, +0.03206409+0.00055647i, -0.01622480-0.00044135i, -0.00928452+0.00792511i, -0.00282105+0.00511555i, -0.00095395-0.00407791i
+0.01662390+0.03584894i, +0.02513148+0.01070921i, -0.01981671-0.00084405i, +0.00747707-0.00618618i, +0.00408033-0.00330877i, +0.00056308-0.00358779i, -0.00048672-0.00234578i, +0.00113790+0.00083393i, -0.04083722-0.07906293i, -0.05756918-0.02168616i, +0.04495752-0.00000000i, -0.01612147+0.01453709i, +0.00861713-0.00761784i, +0.00089743-0.00790047i, -0.00128321-0.00508586i, +0.00256675+0.00171813i, +0.01850791-0.02301995i, -0.00115503-0.02038715i, +0.00600286+0.01355652i, -0.00662291-0.00295903i, -0.00356925-0.00163702i, -0.00259038+0.00081194i, -0.00141030+0.00110361i, +0.00018155-0.00103877i, +0.03836191-0.05210863i, -0.00442852-0.04451325i, +0.01449564+0.02930035i, -0.01467315-0.00582004i, +0.00782390+0.00319278i, +0.00549502-0.00198291i, +0.00293111-0.00250194i, -0.00029521+0.00225002i
+0.00806158-0.02610152i, -0.00823889-0.01776692i, +0.00692397+0.00679956i, -0.01120464-0.00047724i, -0.00362672-0.00019025i, -0.00202223+0.00163984i, -0.00071219+0.00121780i, -0.00027761-0.00133794i, -0.01563635+0.05949794i, +0.02023913+0.03918399i, -0.01612147-0.01453709i, +0.02540527+0.00000000i, -0.00795090-0.00007826i, -0.00427069+0.00377544i, -0.00144440+0.00273019i, -0.00073189-0.00290078i, -0.02015949+0.00325040i, -0.00917261+0.01140881i, +0.00226057-0.00689265i, +0.00339410+0.00766504i, +0.00107463+0.00249288i, +0.00176894+0.00081132i, +0.00105195+0.00007351i, -0.00080438+0.00062946i, -0.04381963+0.00899340i, -0.01901235+0.02582530i, +0.00427651-0.01519492i, +0.00819143+0.01655752i, -0.00253878-0.00526135i, -0.00387756-0.00158236i, -0.00226846-0.00006171i, +0.00167179-0.00142701i
