+0.02973541+0.00000000i, -0.00052842+0.00063746i, -0.00240671+0.00145030i, +0.00041228-0.00266483i, +0.00023198-0.00139168i, -0.00049380+0.00263921i, -0.00230277-0.00196802i, -0.00129987+0.00273945i, -0.00124047+0.00123047i, -0.00090257-0.00279623i, -0.00006589+0.00273584i, -0.00207077+0.00000566i, +0.00129567+0.00073388i, -0.00028887+0.00022629i, -0.00056694+0.00147375i, -0.00027692+0.00038345i, -0.00080783-0.00215020i, +0.00129639-0.00353188i, +0.00191791-0.00104058i, +0.00030670+0.00206265i, -0.00053522+0.00021861i, +0.00181362+0.00102831i, +0.00120387-0.00182625i, -0.00160552+0.00074559i, +0.00377365+0.00087553i, -0.00248789-0.00154487i, +0.00014919+0.00167981i, +0.00035066-0.00259826i, -0.00017397+0.00087111i, +0.00012931-0.00046295i, -0.00200932+0.00069941i, +0.00024069-0.00153797i
-0.00052842-0.00063746i, +0.02948654-0.00000000i, +0.00053878+0.00020656i, -0.00116507+0.00111777i, +0.00034524+0.00025007i, +0.00112256-0.00172383i, +0.00120923+0.00078781i, +0.00027917-0.00175318i, +0.00052457-0.00122510i, +0.00145607+0.00181118i, +0.00015354-0.00119812i, +0.00150801-0.00028505i, -0.00082815-0.00104038i, +0.00001167-0.00016321i, +0.00056863-0.00060115i, -0.00077850-0.00062745i, +0.00042329+0.00207757i, -0.00023242+0.00210282i, -0.00096812+0.00097552i, -0.00001013-0.00084933i, +0.00064421+0.00024936i, +0.00076330-0.00050937i, -0.00062461+0.00127882i, +0.00131331-0.00080639i, -0.00030898-0.00028878i, +0.00229831+0.00036205i, -0.00030592-0.00089046i, +0.00012114+0.00137253i, +0.00002773-0.00058255i, -0.00083907+0.00017042i, +0.00064411-0.00074184i, -0.00012041+0.00113411i
-0.00240671-0.00145030i, +0.00053878-0.00020656i, +0.03244378-0.00000000i, -0.00337264+0.00207893i, -0.00033246+0.00105081i, +0.00204870-0.00269314i, +0.00222120+0.00352527i, +0.00048948-0.00265580i, +0.00231175-0.00096332i, -0.00005407+0.00280123i, +0.00047790-0.00264304i, +0.00223531+0.00159629i, -0.00030029-0.00038163i, +0.00003332-0.00050943i, +0.00128176-0.00209887i, +0.00045730+0.00004244i, -0.00100224+0.00338269i, -0.00327813+0.00406459i, -0.00300584+0.00103640i, +0.00164121-0.00255081i, +0.00190494+0.00047113i, -0.00120281-0.00161922i, -0.00227000+0.00277352i, +0.00153170-0.00027535i, -0.00335825-0.00183054i, +0.00190893+0.00179928i, +0.00107551-0.00137364i, -0.00105990+0.00255149i, -0.00032776-0.00136163i, -0.00039569+0.00073092i, +0.00335440-0.00064530i, -0.00121600+0.00184126i
+0.00041228+0.00266483i, -0.00116507-0.00111777i, -0.00337264-0.00207893i, +0.03030945-0.00000000i, +0.00068524-0.00139755i, -0.00302026+0.00086894i, +0.00056731-0.00341333i, -0.00400431+0.00173503i, -0.00206334-0.00086128i, +0.00326364-0.00280180i, -0.00217771+0.00124336i, -0.00013531-0.00268262i, -0.00104658+0.00090593i, +0.00093322-0.00023142i, -0.00265007+0.00054238i, -0.00116442-0.00037340i, +0.00263235-0.00186879i, +0.00420606-0.00100404i, +0.00292396+0.00212503i, -0.00260205+0.00159375i, -0.00094866-0.00117633i, -0.00090185+0.00125826i, +0.00247845-0.00024128i, -0.00188364-0.00097111i, +0.00054232+0.00211899i, -0.00018047-0.00263239i, -0.00032498+0.00106466i, +0.00401738-0.00159194i, -0.00089177+0.00111612i, +0.00009186-0.00040363i, -0.00200318-0.00078118i, +0.00321934-0.00061447i
+0.00023198+0.00139168i, +0.00034524-0.00025007i, -0.00033246-0.00105081i, +0.00068524+0.00139755i, +0.02930579+0.00000000i, -0.00117882-0.00085589i, +0.00164443+0.00031729i, -0.00098974+0.00007748i, -0.00057928-0.00094523i, +0.00061099-0.00018671i, -0.00097801-0.00030923i, +0.00003478-0.00180241i, -0.00121945+0.00002279i, +0.00029241+0.00023330i, -0.00112624-0.00101313i, +0.00056458+0.00015219i, +0.00108993+0.00046730i, +0.00111029+0.00037286i, -0.00034015+0.00036852i, -0.00032651-0.00067642i, +0.00031565+0.00087830i, -0.00057514+0.00034621i, +0.00045800+0.00023159i, -0.00041676-0.00066403i, +0.00032206+0.00157828i, +0.00080846-0.00036238i, -0.00083257+0.00048267i, +0.00000999+0.00034412i, -0.00163742-0.00114880i, +0.00028449-0.00015037i, +0.00047735-0.00060499i, +0.00019005-0.00035928i
-0.00049380-0.00263921i, +0.00112256+0.00172383i, +0.00204870+0.00269314i, -0.00302026-0.00086894i, -0.00117882+0.00085589i, +0.03273773-0.00000000i, -0.00280459+0.00303484i, +0.00367823-0.00096109i, +0.00277969+0.00208906i, -0.00468715+0.00066100i, +0.00270232-0.00070947i, +0.00082363+0.00344525i, +0.00049294-0.00188098i, +0.00070559-0.00005963i, +0.00200373+0.00108764i, +0.00114909+0.00077822i, -0.00402420+0.00068008i, -0.00542287-0.00149913i, -0.00233133-0.00302776i, +0.00309312-0.00031159i, +0.00114554+0.00216165i, +0.00097228+0.00016503i, -0.00296609-0.00085872i, +0.00178417+0.00230783i, +0.00029978-0.00342080i, -0.00091050+0.00397627i, +0.00175264-0.00090268i, -0.00339758-0.00022353i, +0.00163529-0.00058341i, -0.00219653-0.00051745i, +0.00124912+0.00176754i, -0.00229331+0.00002563i
-0.00230277+0.00196802i, +0.00120923-0.00078781i, +0.00222120-0.00352527i, +0.00056731+0.00341333i, +0.00164443-0.00031729i, -0.00280459-0.00303484i, +0.03453525-0.00000000i, -0.00413765-0.00274137i, +0.00008111-0.00343495i, +0.00410299+0.00348800i, -0.00263600-0.00299699i, +0.00292071-0.00152116i, -0.00204012+0.00019706i, -0.00059526-0.00048217i, -0.00042914-0.00394673i, +0.00006120-0.00098930i, +0.00410553+0.00329273i, +0.00218642+0.00574469i, -0.00209036+0.00411239i, -0.00203328-0.00220529i, +0.00110158-0.00076333i, -0.00114293+0.00035759i, +0.00083180+0.00509492i, +0.00164578-0.00310208i, -0.00413754+0.00067838i, +0.00396173-0.00127868i, -0.00235493-0.00147821i, +0.00268450+0.00273656i, -0.00136478-0.00196149i, +0.00018378+0.00072607i, -0.00037011-0.00454037i, +0.00079846+0.00240502i
-0.00129987-0.00273945i, +0.00027917+0.00175318i, +0.00048948+0.00265580i, -0.00400431-0.00173503i, -0.00098974-0.00007748i, +0.00367823+0.00096109i, -0.00413765+0.00274137i, +0.03322033-0.00000000i, +0.00169100+0.00161435i, -0.00418569+0.00008906i, +0.00187377+0.00002558i, +0.00037287+0.00298588i, +0.00103101-0.00008364i, +0.00047216+0.00046862i, +0.00204877+0.00037970i, +0.00069207+0.00021513i, -0.00313037+0.00007224i, -0.00404445-0.00150042i, -0.00074286-0.00358590i, +0.00278473+0.00042423i, +0.00044271+0.00161779i, +0.00059304-0.00108371i, -0.00305021-0.00193547i, +0.00061711+0.00319688i, +0.00099889-0.00313767i, -0.00067237+0.00293753i, +0.00184165-0.00089097i, -0.00365064-0.00005932i, +0.00131425+0.00008364i, -0.00136085+0.00006841i, +0.00187019+0.00249197i, -0.00372448-0.00135604i
-0.00124047-0.00123047i, +0.00052457+0.00122510i, +0.00231175+0.00096332i, -0.00206334+0.00086128i, -0.00057928+0.00094523i, +0.00277969-0.00208906i, +0.00008111+0.00343495i, +0.00169100-0.00161435i, +0.03004787+0.00000000i, -0.00134699+0.00340720i, +0.00141079-0.00173334i, +0.00170774+0.00088882i, +0.00074592-0.00124470i, +0.00050298-0.00020906i, +0.00164363-0.00052574i, +0.00099764-0.00010355i, -0.00124712+0.00179772i, -0.00404554+0.00271425i, -0.00302082-0.00139698i, +0.00137875-0.00221377i, +0.00085144+0.00039498i, -0.00040550-0.00127857i, -0.00211225+0.00130520i, +0.00147696+0.00056104i, -0.00145494-0.00281869i, +0.00054694+0.00305571i, +0.00008426-0.00109135i, -0.00198987+0.00188558i, +0.00056604-0.00155227i, -0.00046930+0.00053367i, +0.00161843+0.00019526i, -0.00145274+0.00121422i
-0.00090257+0.00279623i, +0.00145607-0.00181118i, -0.00005407-0.00280123i, +0.00326364+0.00280180i, +0.00061099+0.00018671i, -0.00468715-0.00066100i, +0.00410299-0.00348800i, -0.00418569-0.00008906i, -0.00134699-0.00340720i, +0.03383478-0.00000000i, -0.00309444-0.00075747i, +0.00107252-0.00301090i, -0.00136496+0.00032626i, -0.00054188-0.00079946i, -0.00207092-0.00233025i, -0.00051201+0.00003956i, +0.00406034+0.00105923i, +0.00568338+0.00232349i, +0.00141266+0.00451376i, -0.00335123-0.00057905i, +0.00042724-0.00146639i, -0.00088096+0.00175564i, +0.00288320+0.00272230i, -0.00100859-0.00248095i, -0.00208357+0.00298282i, +0.00150807-0.00355410i, -0.00272238+0.00055569i, +0.00393222+0.00147858i, -0.00211320+0.00057246i, +0.00098939-0.00004641i, -0.00097195-0.00310874i, +0.00231655+0.00152923i
-0.00006589-0.00273584i, +0.00015354+0.00119812i, +0.00047790+0.00264304i, -0.00217771-0.00124336i, -0.00097801+0.00030923i, +0.00270232+0.00070947i, -0.00263600+0.00299699i, +0.00187377-0.00002558i, +0.00141079+0.00173334i, -0.00309444+0.00075747i, +0.03210843-0.00000000i, -0.00133061+0.00242119i, +0.00097079-0.00122045i, -0.00002289-0.00037870i, +0.00068116+0.00198865i, -0.00040257+0.00067217i, -0.00441040+0.00034295i, -0.00347440-0.00201652i, -0.00125546-0.00346391i, +0.00259518-0.00072004i, +0.00006377+0.00085537i, +0.00147971-0.00069387i, -0.00234213-0.00179606i, +0.00136348+0.00173596i, +0.00071164-0.00325885i, -0.00094015+0.00205970i, +0.00167793-0.00113943i, -0.00301251-0.00047102i, +0.00206111-0.00065042i, -0.00049530-0.00015510i, +0.00068446+0.00272900i, -0.00154574-0.00035255i
