+0.03113444+0.00000000i, +0.00024033-0.00081974i, -0.00008735+0.00097100i, -0.00000631-0.00055364i, +0.00005853-0.00074409i, -0.00008642-0.00002188i, -0.00028403-0.00026046i, +0.00045675+0.00004431i, +0.00008304-0.00001268i, -0.00029772+0.00002262i, -0.00014849+0.00005974i, +0.00017253-0.00012917i, +0.00080056-0.00043768i, -0.00001145+0.00006208i, +0.00002709-0.00004693i, -0.00004860+0.00029845i, +0.00038174+0.00007840i, -0.00015091-0.00040987i, -0.00055161+0.00033034i, +0.00006530-0.00036900i, -0.00043572-0.00012620i, -0.00054539+0.00054798i, -0.00052421-0.00048418i, +0.00045903-0.00016817i, +0.00021405+0.00036251i, -0.00011050-0.00063264i, -0.00031234-0.00014250i, -0.00000670-0.00049809i, -0.00071189+0.00005876i, +0.00021946-0.00033730i, -0.00077335-0.00032778i, +0.00030610-0.00006008i
+0.00024033+0.00081974i, +0.03231750-0.00000000i, -0.00140180+0.00143070i, +0.00103830-0.00007785i, +0.00103133-0.00079114i, -0.00048339-0.00040475i, -0.00007865-0.00105563i, -0.00031497+0.00149247i, +0.00024920+0.00043995i, -0.00041548-0.00022940i, -0.00054157+0.00000767i, +0.00050419+0.00028831i, +0.00096190+0.00063162i, -0.00007092-0.00035313i, +0.00061104+0.00018512i, -0.00103651+0.00013034i, -0.00018715+0.00044358i, +0.00079925-0.00053595i, -0.00065235-0.00054767i, +0.00079403-0.00023316i, -0.00008935-0.00076440i, -0.00154701+0.00028463i, +0.00000021-0.00136381i, +0.00121005+0.00036811i, -0.00081377+0.00005792i, +0.00126967-0.00080829i, -0.00007167+0.00003165i, +0.00063800-0.00019935i, -0.00082501-0.00076342i, +0.00024174-0.00029597i, -0.00092367-0.00101697i, -0.00030551+0.00007696i
-0.00008735-0.00097100i, -0.00140180-0.00143070i, +0.03300858-0.00000000i, -0.00094345-0.00080543i, -0.00155224-0.00043460i, +0.00024250+0.00045671i, -0.00088096+0.00082309i, +0.00104593-0.00076047i, +0.00004907-0.00036070i, +0.00048017+0.00040429i, +0.00044962+0.00026099i, -0.00008733-0.00049449i, -0.00006997-0.00113888i, +0.00001344+0.00010161i, -0.00052504-0.00022071i, +0.00111861+0.00051746i, +0.00032879-0.00015692i, -0.00056859-0.00011360i, +0.00022205+0.00078795i, -0.00089386-0.00000228i, -0.00068941+0.00050525i, +0.00113871+0.00107267i, -0.00060387+0.00097455i, -0.00103752-0.00120058i, +0.00086723+0.00077294i, -0.00109525-0.00018407i, +0.00082167+0.00009446i, -0.00067839-0.00013845i, +0.00031101+0.00126938i, -0.00050141-0.00036926i, +0.00007855+0.00197480i, +0.00004218+0.00009923i
-0.00000631+0.00055364i, +0.00103830+0.00007785i, -0.00094345+0.00080543i, +0.03104356-0.00000000i, +0.00061779-0.00043184i, -0.00038443-0.00013734i, +0.00004208-0.00081050i, -0.00005502+0.00098117i, -0.00000160+0.00006920i, -0.00022293-0.00016236i, -0.00006986-0.00016875i, +0.00057320+0.00001067i, +0.00078351+0.00032826i, -0.00002944+0.00012312i, +0.00036645+0.00007101i, -0.00060845+0.00009213i, +0.00000293+0.00027202i, +0.00012880-0.00008916i, -0.00037485-0.00018463i, +0.00075161-0.00042184i, -0.00025349-0.00047126i, -0.00092340-0.00005182i, -0.00001824-0.00070425i, +0.00079303+0.00005185i, -0.00074849+0.00001069i, +0.00063673-0.00037647i, +0.00001825+0.00021487i, +0.00084135-0.00040142i, -0.00019281-0.00030750i, +0.00044550+0.00006129i, -0.00048993-0.00067104i, -0.00012666+0.00008431i
+0.00005853+0.00074409i, +0.00103133+0.00079114i, -0.00155224+0.00043460i, +0.00061779+0.00043184i, +0.03170087+0.00000000i, -0.00031958-0.00036280i, +0.00071019-0.00065452i, -0.00044849+0.00041435i, +0.00018901+0.00027057i, -0.00025464-0.00013960i, -0.00043287+0.00001751i, +0.00039303+0.00032542i, +0.00060630+0.00103241i, +0.00004423-0.00015395i, +0.00043187+0.00040991i, -0.00083809-0.00028406i, -0.00040189+0.00038182i, +0.00012582+0.00011408i, -0.00016884-0.00068481i, +0.00058028+0.00004720i, +0.00059678-0.00099437i, -0.00128075-0.00055591i, +0.00021518-0.00102484i, +0.00101596+0.00048476i, -0.00050607-0.00044661i, +0.00090753-0.00029519i, -0.00006870-0.00001905i, +0.00049911-0.00010452i, -0.00020677-0.00091627i, +0.00032046+0.00018655i, -0.00016429-0.00110475i, -0.00030960+0.00000920i
-0.00008642+0.00002188i, -0.00048339+0.00040475i, +0.00024250-0.00045671i, -0.00038443+0.00013734i, -0.00031958+0.00036280i, +0.03106963+0.00000000i, +0.00044783+0.00030938i, +0.00000355-0.00072142i, -0.00032701+0.00002493i, +0.00020145-0.00011316i, +0.00013243+0.00009379i, -0.00033647-0.00016924i, -0.00029525-0.00007898i, +0.00015803+0.00002677i, -0.00007911+0.00013556i, +0.00026557-0.00012482i, -0.00004788-0.00005214i, -0.00017168+0.00010633i, +0.00010962-0.00000220i, -0.00030720+0.00037300i, +0.00009574+0.00019529i, +0.00089004-0.00069550i, +0.00037802+0.00076454i, -0.00033122+0.00043497i, +0.00031561-0.00009266i, +0.00002316+0.00019706i, +0.00019688+0.00012227i, -0.00026979+0.00025722i, +0.00016627-0.00010337i, +0.00012753-0.00005797i, +0.00039148+0.00037277i, +0.00002194+0.00005526i
-0.00028403+0.00026046i, -0.00007865+0.00105563i, -0.00088096-0.00082309i, +0.00004208+0.00081050i, +0.00071019+0.00065452i, +0.00044783-0.00030938i, +0.03148896-0.00000000i, -0.00093442-0.00035638i, +0.00005674+0.00025200i, -0.00000317-0.00060198i, -0.00016635-0.00026895i, -0.00005964+0.00026322i, -0.00062295+0.00051247i, +0.00001929-0.00013766i, +0.00011130+0.00080858i, +0.00000927-0.00056947i, -0.00012122-0.00033126i, -0.00006154+0.00008959i, +0.00030280-0.00040719i, +0.00016049+0.00062327i, +0.00053831-0.00036282i, +0.00011591-0.00091596i, +0.00109312-0.00018753i, -0.00003372+0.00096150i, +0.00017418-0.00061409i, +0.00035514+0.00063611i, -0.00032185-0.00004144i, +0.00033380+0.00027125i, +0.00005386-0.00050947i, -0.00012167+0.00033702i, +0.00104827-0.00086006i, -0.00001436-0.00018497i
+0.00045675-0.00004431i, -0.00031497-0.00149247i, +0.00104593+0.00076047i, -0.00005502-0.00098117i, -0.00044849-0.00041435i, +0.00000355+0.00072142i, -0.00093442+0.00035638i, +0.03184270+0.00000000i, +0.00024339-0.00022019i, -0.00004353+0.00018857i, +0.00012255+0.00033473i, +0.00010724-0.00036070i, +0.00019237-0.00105183i, -0.00034480-0.00001841i, -0.00009615-0.00062209i, +0.00022008+0.00093381i, +0.00049109-0.00009365i, -0.00031852-0.00013780i, -0.00051569+0.00059828i, -0.00040171-0.00044753i, -0.00068785+0.00055789i, +0.00026071+0.00128799i, -0.00122261+0.00032607i, +0.00020550-0.00164413i, +0.00018357+0.00054779i, -0.00088737-0.00032542i, +0.00022756+0.00011087i, -0.00076250-0.00054151i, -0.00002873+0.00106148i, -0.00022219-0.00043551i, -0.00088618+0.00112202i, +0.00010556-0.00011939i
+0.00008304+0.00001268i, +0.00024920-0.00043995i, +0.00004907+0.00036070i, -0.00000160-0.00006920i, +0.00018901-0.00027057i, -0.00032701-0.00002493i, +0.00005674-0.00025200i, +0.00024339+0.00022019i, +0.03032171-0.00000000i, -0.00017389-0.00003173i, -0.00023501+0.00047413i, -0.00024222+0.00018983i, +0.00030834-0.00011146i, -0.00009548+0.00013572i, +0.00009762+0.00022857i, -0.00017100-0.00004157i, -0.00003172-0.00011365i, -0.00015720-0.00026450i, +0.00001113+0.00004277i, -0.00001725-0.00022825i, -0.00045368-0.00026622i, +0.00009857+0.00035494i, -0.00058843-0.00003558i, +0.00015125-0.00028308i, -0.00006871+0.00027597i, +0.00020178-0.00028898i, +0.00028280+0.00014073i, +0.00012846-0.00014948i, -0.00034451-0.00006717i, -0.00009111-0.00012380i, -0.00041577-0.00018082i, -0.00000683+0.00008304i
-0.00029772-0.00002262i, -0.00041548+0.00022940i, +0.00048017-0.00040429i, -0.00022293+0.00016236i, -0.00025464+0.00013960i, +0.00020145+0.00011316i, -0.00000317+0.00060198i, -0.00004353-0.00018857i, -0.00017389+0.00003173i, +0.03083733-0.00000000i, -0.00023416+0.00026797i, +0.00023167-0.00006328i, -0.00040634-0.00014363i, +0.00003888+0.00018866i, -0.00011289-0.00024878i, +0.00051422-0.00000200i, +0.00022145+0.00005021i, +0.00003073-0.00008222i, +0.00013709+0.00021779i, -0.00000713+0.00020367i, +0.00026084-0.00003032i, -0.00001247+0.00007924i, +0.00018343+0.00052078i, -0.00057100-0.00016244i, +0.00017961-0.00009163i, -0.00022998+0.00025370i, +0.00006168-0.00010194i, -0.00025370-0.00001841i, +0.00047148-0.00005303i, -0.00040747-0.00019181i, +0.00026080+0.00045850i, -0.00000946+0.00015961i
-0.00014849-0.00005974i, -0.00054157-0.00000767i, +0.00044962-0.00026099i, -0.00006986+0.00016875i, -0.00043287-0.00001751i, +0.00013243-0.00009379i, -0.00016635+0.00026895i, +0.00012255-0.00033473i, -0.00023501-0.00047413i, -0.00023416-0.00026797i, +0.03063579-0.00000000i, -0.00036927-0.00012813i, -0.00048211-0.00033821i, +0.00005460+0.00007824i, +0.00009320-0.00000382i, +0.00032773-0.00021653i, -0.00011746-0.00008014i, -0.00009853+0.00031659i, +0.00041349-0.00001361i, -0.00027824+0.00015948i, +0.00006367+0.00033139i, +0.00044890-0.00022553i, +0.00018926+0.00068841i, -0.00035758+0.00016797i, +0.00024079+0.00003276i, -0.00025154+0.00012151i, +0.00024515-0.00049536i, -0.00029111+0.00034311i, +0.00022856+0.00029007i, -0.00021515+0.00024839i, +0.00054493+0.00053398i, -0.00001263-0.00014490i
+0.00017253+0.00012917i, +0.00050419-0.00028831i, -0.00008733+0.00049449i, +0.00057320-0.00001067i, +0.00039303-0.00032542i, -0.00033647+0.00016924i, -0.00005964-0.00026322i, +0.00010724+0.00036070i, -0.00024222-0.00018983i, +0.00023167+0.00006328i, -0.00036927+0.00012813i, +0.03025212-0.00000000i, +0.00068562-0.00037617i, -0.00007246-0.00013448i, +0.00017171+0.00001359i, +0.00002143+0.00033918i, +0.00007933+0.00027970i, -0.00022180+0.00011074i, -0.00025091-0.00011475i, +0.00002596-0.00028504i, -0.00027319-0.00022268i, -0.00024682+0.00006203i, -0.00020143-0.00042740i, +0.00049377-0.00012592i, -0.00037913+0.00011445i, -0.00000756-0.00035500i, +0.00008714+0.00018919i, +0.00016741-0.00026959i, -0.00035040-0.00012794i, +0.00053095-0.00018283i, -0.00053289-0.00025477i, +0.00018284+0.00001823i
+0.00080056+0.00043768i, +0.00096190-0.00063162i, -0.00006997+0.00113888i, +0.00078351-0.00032826i, +0.00060630-0.00103241i, -0.00029525+0.00007898i, -0.00062295-0.00051247i, +0.00019237+0.00105183i, +0.00030834+0.00011146i, -0.00040634+0.00014363i, -0.00048211+0.00033821i, +0.00068562+0.00037617i, +0.03125114-0.00000000i, -0.00037558-0.00025622i, +0.00060344+0.00006276i, -0.00043366+0.00084311i, +0.00004527+0.00048791i, -0.00011880-0.00029403i, -0.00051430-0.00028703i, +0.00050115-0.00061376i, -0.00095200-0.00054291i, -0.00073701+0.00084686i, -0.00062008-0.00076636i, +0.00073853-0.00060859i, -0.00054961+0.00015665i, +0.00018804-0.00073720i, -0.00024974+0.00010538i, +0.00024447-0.00038200i, -0.00137511+0.00020684i, +0.00037041-0.00038714i, -0.00125606-0.00031899i, +0.00002984+0.00022035i
-0.00001145-0.00006208i, -0.00007092+0.00035313i, +0.00001344-0.00010161i, -0.00002944-0.00012312i, +0.00004423+0.00015395i, +0.00015803-0.00002677i, +0.00001929+0.00013766i, -0.00034480+0.00001841i, -0.00009548-0.00013572i, +0.00003888-0.00018866i, +0.00005460-0.00007824i, -0.00007246+0.00013448i, -0.00037558+0.00025622i, +0.03066194+0.00000000i, -0.00009640+0.00010548i, -0.00014678-0.00038575i, -0.00001946-0.00008496i, +0.00007011+0.00029814i, +0.00027359-0.00013886i, +0.00021093+0.00016704i, +0.00017529+0.00008920i, -0.00065902-0.00033883i, +0.00006064+0.00016764i, -0.00004200+0.00020055i, -0.00008171+0.00001307i, +0.00028639-0.00020653i, +0.00000571+0.00010641i, +0.00005122-0.00005945i, +0.00021119-0.00000527i, -0.00030532+0.00013867i, +0.00019796-0.00036994i, -0.00008138+0.00016552i
+0.00002709+0.00004693i, +0.00061104-0.00018512i, -0.00052504+0.00022071i, +0.00036645-0.00007101i, +0.00043187-0.00040991i, -0.00007911-0.00013556i, +0.00011130-0.00080858i, -0.00009615+0.00062209i, +0.00009762-0.00022857i, -0.00011289+0.00024878i, +0.00009320+0.00000382i, +0.00017171-0.00001359i, +0.00060344-0.00006276i, -0.00009640-0.00010548i, +0.03078416-0.00000000i, -0.00032946+0.00003459i, +0.00009621+0.00057065i, -0.00002986-0.00023217i, -0.00037933-0.00048347i, +0.00032566-0.00016247i, -0.00021819-0.00003940i, -0.00054940+0.00004040i, -0.00069042-0.00052566i, +0.00087488-0.00020405i, -0.00039591+0.00003830i, +0.00014668-0.00039334i, -0.00008137+0.00002123i, +0.00004030-0.00001881i, -0.00021722-0.00032660i, +0.00027461-0.00008557i, -0.00076182-0.00047143i, -0.00024911+0.00003525i
