+0.00321956+0.00000000i, -0.00256564+0.00120769i, +0.00007916+0.00082184i, +0.00318893+0.00022746i, +0.00043519+0.00042635i, -0.00048249-0.00211768i, +0.00174773+0.00021351i, +0.00135992-0.00132282i, +0.00032159+0.00107035i, -0.00060371-0.00274793i, -0.00188490-0.00059542i, -0.00132627+0.00189016i, +0.00164657-0.00170562i, -0.00344150+0.00347647i, -0.00086593-0.00321404i, -0.00426334+0.00028251i, -0.00195523+0.00209349i, +0.00252844-0.00408692i, -0.00147884-0.00244505i, -0.00416791+0.00146895i, -0.00310535+0.00008259i, +0.00697282+0.00062652i, -0.00288887+0.00414076i, +0.00387257+0.00442678i, +0.00205581+0.00171388i, -0.00282757-0.00048885i, -0.00056997+0.00072445i, +0.00244725+0.00215625i, +0.00009976-0.00106510i, -0.00144248+0.00363691i, -0.00218371-0.00220262i, -0.00321341+0.00090654i
-0.00256564-0.00120769i, +0.00791734+0.00000000i, +0.00089667-0.00297511i, -0.00491766-0.00457383i, -0.00141990-0.00102834i, +0.00121997+0.00366945i, -0.00258759-0.00083697i, -0.00123260+0.00234553i, +0.00066673-0.00137782i, -0.00254235+0.00273606i, +0.00053086+0.00208683i, +0.00293866-0.00015810i, -0.00258172-0.00028470i, +0.00665711+0.00131594i, -0.00253994+0.00289312i, +0.00340264+0.00499252i, +0.00300715-0.00033214i, -0.00768282+0.00149552i, -0.00126240+0.00347605i, +0.00543946+0.00363246i, +0.00250927+0.00283153i, -0.00488836-0.00875114i, +0.00602067+0.00018797i, +0.00237575-0.00829331i, +0.00033918-0.00265389i, +0.00210546+0.00433147i, +0.00146843-0.00022845i, +0.00115917-0.00473036i, -0.00075988+0.00126553i, +0.00452009-0.00186635i, -0.00032237+0.00344141i, +0.00344818+0.00197087i
+0.00007916-0.00082184i, +0.00089667+0.00297511i, +0.00318485-0.00000000i, +0.00185387-0.00287613i, +0.00038900-0.00105403i, -0.00106534+0.00170165i, -0.00044570-0.00142789i, -0.00150852+0.00065988i, +0.00041856+0.00051336i, -0.00050261-0.00099410i, -0.00094942+0.00008739i, -0.00026373+0.00083947i, +0.00085525-0.00100339i, -0.00126144+0.00208005i, -0.00127079-0.00127315i, -0.00218575+0.00065816i, -0.00033983+0.00120971i, +0.00003760-0.00244524i, -0.00210017-0.00032583i, -0.00157560+0.00191531i, -0.00188468+0.00037543i, +0.00356641-0.00078651i, -0.00030853+0.00280645i, +0.00277233+0.00161029i, +0.00090955+0.00066989i, -0.00158206+0.00036722i, +0.00055565+0.00117404i, +0.00190834+0.00105621i, -0.00032524-0.00041925i, +0.00023774+0.00123601i, -0.00131051-0.00028560i, -0.00062040+0.00062045i
+0.00318893-0.00022746i, -0.00491766+0.00457383i, +0.00185387+0.00287613i, +0.00964097+0.00000000i, +0.00164010-0.00048242i, -0.00255949-0.00204226i, +0.00268912-0.00072138i, -0.00011013-0.00229931i, +0.00050855+0.00185895i, +0.00037645-0.00489157i, -0.00265628-0.00188827i, -0.00332619+0.00300026i, +0.00309391-0.00219952i, -0.00819252+0.00449695i, +0.00006171-0.00556967i, -0.00855421-0.00192435i, -0.00282385+0.00277543i, +0.00612255-0.00682885i, -0.00190756-0.00483617i, -0.00978073+0.00167090i, -0.00531853-0.00054735i, +0.01279243+0.00476244i, -0.00668453+0.00546981i, +0.00548834+0.01095360i, +0.00206135+0.00314895i, -0.00507278-0.00228481i, -0.00112338+0.00151761i, +0.00388055+0.00647197i, -0.00024289-0.00181171i, -0.00353057+0.00564898i, -0.00262641-0.00420456i, -0.00566897+0.00058637i
+0.00043519-0.00042635i, -0.00141990+0.00102834i, +0.00038900+0.00105403i, +0.00164010+0.00048242i, +0.00357568+0.00000000i, -0.00423780-0.00060676i, +0.00162286-0.00182486i, -0.00234362-0.00263346i, +0.00024208+0.00048897i, +0.00030313-0.00043543i, +0.00004560-0.00045015i, -0.00031116+0.00014015i, +0.00048572-0.00045947i, -0.00143039-0.00014274i, +0.00061820-0.00064578i, -0.00083464-0.00100478i, -0.00046386+0.00043224i, +0.00132374-0.00024243i, +0.00039964-0.00069560i, -0.00107565-0.00065057i, -0.00171906+0.00015492i, +0.00183439+0.00149755i, -0.00151408+0.00017389i, +0.00018674+0.00198986i, -0.00005456+0.00043482i, -0.00067276-0.00084841i, -0.00037993+0.00028057i, -0.00021930+0.00135320i, -0.00068965-0.00100523i, -0.00014019+0.00072412i, -0.00011032-0.00053734i, -0.00028435+0.00028618i
-0.00048249+0.00211768i, +0.00121997-0.00366945i, -0.00106534-0.00170165i, -0.00255949+0.00204226i, -0.00423780+0.00060676i, +0.01310597+0.00000000i, -0.00326679+0.00615757i, +0.00697348+0.00691479i, -0.00101500-0.00013149i, +0.00271959+0.00012033i, +0.00064943-0.00127491i, -0.00182557-0.00162143i, +0.00103621+0.00127161i, -0.00192378-0.00397897i, +0.00249082+0.00025833i, +0.00077798-0.00324303i, -0.00102307-0.00140503i, +0.00228981+0.00286172i, +0.00181220-0.00025142i, -0.00023628-0.00328718i, +0.00101447-0.00246525i, -0.00464330+0.00628617i, -0.00192576-0.00376600i, -0.00544622+0.00143230i, -0.00106666+0.00116634i, +0.00172636-0.00159399i, +0.00006625-0.00119243i, -0.00201960+0.00058297i, +0.00148696+0.00082782i, -0.00459735-0.00316380i, +0.00268708-0.00152004i, -0.00084443-0.00427662i
+0.00174773-0.00021351i, -0.00258759+0.00083697i, -0.00044570+0.00142789i, +0.00268912+0.00072138i, +0.00162286+0.00182486i, -0.00326679-0.00615757i, +0.00622452+0.00000000i, +0.00204287-0.00598974i, +0.00037054+0.00099026i, -0.00058616-0.00224017i, -0.00161096-0.00040225i, -0.00098464+0.00186457i, +0.00101096-0.00154040i, -0.00284886+0.00275995i, -0.00067358-0.00288317i, -0.00356252+0.00003164i, -0.00100608+0.00156621i, +0.00183401-0.00301499i, -0.00107289-0.00195295i, -0.00316416+0.00114517i, -0.00273114+0.00026443i, +0.00624259+0.00114664i, -0.00338890+0.00378479i, +0.00322198+0.00461728i, +0.00142694+0.00089301i, -0.00217555-0.00081254i, -0.00090084+0.00059324i, +0.00152407+0.00190575i, -0.00007139-0.00137808i, -0.00103768+0.00383821i, -0.00252518-0.00223771i, -0.00325722+0.00158782i
+0.00135992+0.00132282i, -0.00123260-0.00234553i, -0.00150852-0.00065988i, -0.00011013+0.00229931i, -0.00234362+0.00263346i, +0.00697348-0.00691479i, +0.00204287+0.00598974i, +0.01134411-0.00000000i, -0.00035748+0.00063159i, +0.00082600-0.00221303i, -0.00104022-0.00096292i, -0.00236548+0.00077371i, +0.00139926-0.00067918i, -0.00338444+0.00083211i, +0.00079954-0.00210846i, -0.00280419-0.00195139i, -0.00135770+0.00050302i, +0.00263111-0.00141931i, +0.00005914-0.00150701i, -0.00295715-0.00084291i, -0.00151286-0.00113330i, +0.00332060+0.00395366i, -0.00345581+0.00045417i, -0.00164800+0.00534306i, +0.00088113+0.00136344i, -0.00081082-0.00144851i, -0.00057288-0.00053802i, +0.00027055+0.00156572i, +0.00113800-0.00054591i, -0.00381292+0.00203123i, -0.00025628-0.00287812i, -0.00452056-0.00192624i
+0.00032159-0.00107035i, +0.00066673+0.00137782i, +0.00041856-0.00051336i, +0.00050855-0.00185895i, +0.00024208-0.00048897i, -0.00101500+0.00013149i, +0.00037054-0.00099026i, -0.00035748-0.00063159i, +0.00802919-0.00000000i, -0.00923111-0.00048805i, -0.00260572+0.00388951i, +0.00567518+0.00490353i, -0.00392967-0.00667461i, +0.00429342+0.01175918i, -0.00790235-0.00109901i, -0.00445727+0.00986823i, +0.00545571+0.00610248i, -0.00806529-0.00736390i, -0.00534189+0.00128850i, +0.00058957+0.00962661i, -0.00264783+0.01019130i, +0.00758602-0.01508134i, +0.00622128+0.00901073i, +0.01364495-0.00459962i, +0.00490685-0.00303684i, -0.00484051+0.00409133i, +0.00070444+0.00226578i, +0.00593231-0.00068368i, -0.00443922-0.00177310i, +0.00643776+0.00511963i, -0.00527290+0.00234743i, +0.00044130+0.00685415i
-0.00060371+0.00274793i, -0.00254235-0.00273606i, -0.00050261+0.00099410i, +0.00037645+0.00489157i, +0.00030313+0.00043543i, +0.00271959-0.00012033i, -0.00058616+0.00224017i, +0.00082600+0.00221303i, -0.00923111+0.00048805i, +0.02663460+0.00000000i, +0.00574048-0.01061085i, -0.01376114-0.01264460i, +0.00774457+0.00925552i, -0.01521886-0.02733131i, +0.01810486+0.00051968i, +0.00603586-0.02452885i, -0.00743746-0.00916522i, +0.02117613+0.01942343i, +0.01326182-0.00461026i, -0.00285552-0.02378724i, +0.00114028-0.01596706i, -0.01280182+0.04075558i, -0.01688969-0.01880687i, -0.02980423+0.01634127i, -0.00680454+0.00537380i, +0.01182231-0.01250092i, -0.00173046-0.00573706i, -0.01336919+0.00372936i, +0.00641281+0.00142340i, -0.01820128-0.01078227i, +0.01130668-0.00691814i, -0.00325264-0.01648754i
-0.00188490+0.00059542i, +0.00053086-0.00208683i, -0.00094942-0.00008739i, -0.00265628+0.00188827i, +0.00004560+0.00045015i, +0.00064943+0.00127491i, -0.00161096+0.00040225i, -0.00104022+0.00096292i, -0.00260572-0.00388951i, +0.00574048+0.01061085i, +0.01143310-0.00000000i, +0.00322590-0.01160127i, -0.00278285+0.00692595i, +0.00880432-0.01540920i, +0.00683570+0.01208610i, +0.01486450-0.00476999i, +0.00181837-0.00644704i, -0.00348534+0.01481830i, +0.00882179+0.00800436i, +0.01248213-0.00775888i, +0.00894158-0.00412091i, -0.02364582+0.00565835i, +0.00574000-0.01860723i, -0.01820616-0.01051352i, -0.00488833-0.00200022i, +0.00800429+0.00138498i, +0.00431074-0.00418441i, -0.00638655-0.00647467i, +0.00105436+0.00362608i, +0.00012859-0.01195618i, +0.00892884+0.00477818i, +0.00773366-0.00679017i
-0.00132627-0.00189016i, +0.00293866+0.00015810i, -0.00026373-0.00083947i, -0.00332619-0.00300026i, -0.00031116-0.00014015i, -0.00182557+0.00162143i, -0.00098464-0.00186457i, -0.00236548-0.00077371i, +0.00567518-0.00490353i, -0.01376114+0.01264460i, +0.00322590+0.01160127i, +0.02432549+0.00000000i, -0.01045371-0.00120249i, +0.02407109+0.00833262i, -0.01233208+0.01031185i, +0.01182883+0.02199097i, +0.00988131+0.00089610i, -0.02278257+0.00018891i, -0.00516414+0.01192638i, +0.01960538+0.01703951i, +0.00879649+0.01077859i, -0.01440700-0.03156718i, +0.02223143+0.00236510i, +0.01089853-0.03201174i, +0.00120896-0.00687535i, +0.00046293+0.01199350i, +0.00520137+0.00328956i, +0.00994858-0.01270986i, -0.00504997+0.00288706i, +0.01706668-0.00332348i, -0.00328711+0.01127784i, +0.01389159+0.00973945i
+0.00164657+0.00170562i, -0.00258172+0.00028470i, +0.00085525+0.00100339i, +0.00309391+0.00219952i, +0.00048572+0.00045947i, +0.00103621-0.00127161i, +0.00101096+0.00154040i, +0.00139926+0.00067918i, -0.00392967+0.00667461i, +0.00774457-0.00925552i, -0.00278285-0.00692595i, -0.01045371+0.00120249i, +0.01751441-0.00000000i, -0.02413708-0.00376349i, +0.00894298-0.01138681i, -0.01271290-0.01598752i, -0.01157852+0.00214575i, +0.01733841-0.00247479i, +0.00307866-0.00934915i, -0.01351163-0.00881658i, -0.01493687-0.01479972i, +0.01747498+0.02492878i, -0.01875108+0.00155919i, -0.00405019+0.02493668i, +0.00031280+0.00766406i, -0.00201058-0.00868462i, -0.00332152-0.00068958i, -0.00327206+0.00874034i, +0.00782834-0.00574600i, -0.01440850+0.00546199i, +0.00116949-0.01022175i, -0.01112887-0.00574200i
-0.00344150-0.00347647i, +0.00665711-0.00131594i, -0.00126144-0.00208005i, -0.00819252-0.00449695i, -0.00143039+0.00014274i, -0.00192378+0.00397897i, -0.00284886-0.00275995i, -0.00338444-0.00083211i, +0.00429342-0.01175918i, -0.01521886+0.02733131i, +0.00880432+0.01540920i, +0.02407109-0.00833262i, -0.02413708+0.00376349i, +0.06694048+0.00000000i, -0.01779594+0.03098607i, +0.03722306+0.03478009i, +0.01830598-0.00601709i, -0.04332814+0.01402301i, -0.00495080+0.02334625i, +0.03648744+0.01477548i, +0.02419178+0.01734299i, -0.05602860-0.05990443i, +0.04458772-0.01025668i, +0.00076467-0.06259151i, -0.00188234-0.01365996i, +0.00876688+0.02201768i, +0.00913963+0.00156106i, +0.00445249-0.02296797i, -0.00837816+0.00938720i, +0.03591293-0.02095027i, +0.00088888+0.02432689i, +0.02919552+0.00960714i
-0.00086593+0.00321404i, -0.00253994-0.00289312i, -0.00127079+0.00127315i, +0.00006171+0.00556967i, +0.00061820+0.00064578i, +0.00249082-0.00025833i, -0.00067358+0.00288317i, +0.00079954+0.00210846i, -0.00790235+0.00109901i, +0.01810486-0.00051968i, +0.00683570-0.01208610i, -0.01233208-0.01031185i, +0.00894298+0.01138681i, -0.01779594-0.03098607i, +0.03002743-0.00000000i, +0.00764987-0.03179438i, -0.00893777-0.00855318i, +0.01964866+0.01736430i, +0.01802335-0.00589421i, -0.00360561-0.02429591i, +0.00176926-0.01757161i, -0.01300736+0.04265063i, -0.02559784-0.02735695i, -0.03498270+0.01911074i, -0.00723254+0.00542809i, +0.00838693-0.01072422i, -0.00264596-0.00752499i, -0.01370083+0.00454300i, +0.00701681+0.00153712i, -0.01925688-0.01110955i, +0.01681301-0.01060571i, -0.00427627-0.01931817i
-0.00426334-0.00028251i, +0.00340264-0.00499252i, -0.00218575-0.00065816i, -0.00855421+0.00192435i, -0.00083464+0.00100478i, +0.00077798+0.00324303i, -0.00356252-0.00003164i, -0.00280419+0.00195139i, -0.00445727-0.00986823i, +0.00603586+0.02452885i, +0.01486450+0.00476999i, +0.01182883-0.02199097i, -0.01271290+0.01598752i, +0.03722306-0.03478009i, +0.00764987+0.03179438i, +0.05579922-0.00000000i, +0.00786159-0.01467799i, -0.01792604+0.03255761i, +0.01075930+0.01811680i, +0.03617657-0.01329007i, +0.02491868-0.00339682i, -0.06348958-0.00455596i, +0.02295133-0.03468727i, -0.04528366-0.04948873i, -0.00926976-0.00761485i, +0.01800510+0.00783932i, +0.00679259-0.00459044i, -0.01142494-0.01958773i, +0.00029310+0.01040516i, +0.00967101-0.03004784i, +0.01574497+0.01568635i, +0.03009119-0.01494888i
-0.00195523-0.00209349i, +0.00300715+0.00033214i, -0.00033983-0.00120971i, -0.00282385-0.00277543i, -0.00046386-0.00043224i, -0.00102307+0.00140503i, -0.00100608-0.00156621i, -0.00135770-0.00050302i, +0.00545571-0.00610248i, -0.00743746+0.00916522i, +0.00181837+0.00644704i, +0.00988131-0.00089610i, -0.01157852-0.00214575i, +0.01830598+0.00601709i, -0.00893777+0.00855318i, +0.00786159+0.01467799i, +0.01850792+0.00000000i, -0.02243704+0.00079149i, -0.00472399+0.01013387i, +0.01565450+0.01118715i, +0.01045525+0.01499706i, -0.01281858-0.02779329i, +0.02022635+0.00126720i, +0.00883195-0.02444521i, +0.00099627-0.00864713i, +0.00189054+0.01006341i, +0.00349913+0.00119027i, +0.00433354-0.00898536i, -0.00694022+0.00336832i, +0.01442089-0.00307168i, -0.00255112+0.01020976i, +0.00999974+0.00743179i
