+0.01658450+0.00000000i, -0.00026887+0.00676857i, -0.01138572+0.00543995i, -0.00074396+0.00282681i, -0.00010983+0.00540378i, -0.00412614-0.00695263i, +0.00252990-0.00435881i, -0.00509801-0.00296405i, +0.00180748-0.00413453i, +0.00845576+0.00249602i, -0.00645275+0.00206270i, -0.00310760+0.00477789i, -0.00489278+0.00002115i, +0.00075292+0.00160898i, -0.00439887+0.01089866i, +0.00526858+0.00342316i, -0.00624752+0.00296865i, +0.00200932-0.00074630i, +0.00050044-0.00866343i, -0.00414263-0.00057480i, +0.00278931-0.00422582i, +0.00609506+0.00237536i, +0.00603006-0.00391683i, +0.00265947-0.00382707i, -0.00529142+0.00144681i, +0.00556267-0.00443308i, -0.00535953-0.00480755i, -0.00384188+0.00548970i, -0.00245073+0.00768034i, -0.00737176+0.00187414i, -0.00102115+0.01205337i, +0.00296746+0.00419691i
-0.00026887-0.00676857i, +0.02138618-0.00000000i, -0.01071082+0.01269482i, +0.00061258+0.00872642i, +0.00816157+0.00517385i, -0.00886680-0.00540185i, -0.00167211-0.01079268i, -0.01074528+0.00213298i, -0.00505747-0.00282267i, +0.01258398-0.00690342i, -0.00274654+0.00779415i, +0.00196440+0.00660809i, -0.00571403+0.00237910i, +0.00182533+0.00162785i, +0.00380466+0.01079305i, +0.00739327-0.00391814i, -0.00467120+0.00390145i, +0.00110596+0.00328466i, -0.00630590-0.00857757i, -0.00535079+0.00404373i, -0.00382248-0.00218198i, +0.01087052-0.00551743i, +0.00399896-0.00841914i, -0.00146496-0.00709735i, -0.00615001+0.00805104i, +0.00343223-0.01002628i, -0.00847202+0.00012032i, +0.00263798+0.01062804i, +0.00401340+0.00388173i, -0.00640223+0.01349474i, +0.00844833+0.01280647i, +0.00677259+0.00057883i
-0.01138572-0.00543995i, -0.01071082-0.01269482i, +0.06016277+0.00000000i, +0.01234459-0.02216108i, +0.00249447-0.02430089i, +0.00219105+0.02926282i, -0.01381461+0.02581612i, +0.01869024+0.01752711i, +0.00268194+0.01362240i, -0.02694997-0.01453761i, +0.02662135-0.00308925i, +0.01318841-0.01313963i, +0.01429101+0.01116145i, -0.00427228-0.00630547i, +0.02612278-0.02901850i, -0.01580845-0.01450585i, +0.01783958+0.00821684i, -0.00643286-0.00689820i, -0.01021874+0.03231307i, +0.01706827+0.00837780i, -0.00054494+0.00934455i, -0.01841999-0.01145001i, -0.03069000+0.00640104i, -0.01245444+0.01421509i, +0.02841165+0.00056904i, -0.02496179+0.01087981i, +0.01690582+0.02110550i, +0.01952331-0.01870801i, +0.00529691-0.01272266i, +0.02690265-0.00418584i, +0.01899052-0.04500257i, -0.00913595-0.01753129i
-0.00074396-0.00282681i, +0.00061258-0.00872642i, +0.01234459+0.02216108i, +0.02385916+0.00000000i, +0.00923786-0.00502229i, -0.01141034+0.00846101i, -0.01468420+0.00139084i, -0.00359871+0.01494529i, -0.00504853+0.00466715i, -0.00143059-0.01485704i, +0.00687220+0.00865840i, +0.01182829+0.00066082i, -0.00081197+0.00766646i, -0.00005780-0.00400123i, +0.01598889+0.00296018i, +0.00453415-0.01295038i, +0.00108123+0.00823603i, +0.00104404-0.00481419i, -0.01382726+0.00437251i, -0.00123926+0.01369966i, -0.00356249+0.00276999i, -0.00021055-0.01025706i, -0.00876255-0.00992997i, -0.01337355-0.00019309i, +0.00672608+0.01117133i, -0.01203959-0.00658258i, -0.00395050+0.01179297i, +0.01467773+0.00437461i, +0.00600148-0.00198702i, +0.00893406+0.00993250i, +0.02037833-0.00318410i, +0.00713302-0.01412970i
-0.00010983-0.00540378i, +0.00816157-0.00517385i, +0.00249447+0.02430089i, +0.00923786+0.00502229i, +0.02660022-0.00000000i, -0.01588997+0.00609042i, -0.01133471-0.00634437i, -0.00848407+0.01107050i, -0.00854165+0.00655643i, +0.00563683-0.01572318i, +0.00295669+0.01421885i, +0.00826002+0.00623603i, -0.00901378+0.00837869i, +0.00394123-0.00324878i, +0.01601970+0.01039758i, +0.00694265-0.01025525i, -0.00584275+0.01208866i, +0.00195026-0.00400589i, -0.01458953-0.00252389i, -0.00267586+0.00882727i, -0.00782983+0.00626436i, +0.00490795-0.01178859i, -0.00447846-0.01461927i, -0.00825995-0.00664491i, +0.00113069+0.02077222i, -0.00811432-0.01260619i, -0.00799908+0.00904925i, +0.01151218+0.00928012i, +0.00452981-0.00064115i, +0.00423479+0.01461174i, +0.02311277+0.00785622i, +0.00883896-0.00556935i
-0.00412614+0.00695263i, -0.00886680+0.00540185i, +0.00219105-0.02926282i, -0.01141034-0.00846101i, -0.01588997-0.00609042i, +0.03444517-0.00000000i, +0.01609540+0.00710420i, +0.01415355-0.01392634i, +0.00931984-0.00123394i, -0.01302522+0.02144219i, +0.00048187-0.01540507i, -0.00795797-0.01127120i, +0.00840801-0.00731443i, -0.00832406+0.00360191i, -0.01622921-0.01675535i, -0.01082105+0.00979564i, +0.00658206-0.00967610i, -0.00801146+0.00796542i, +0.01652297+0.00609939i, +0.00567528-0.01108534i, +0.00680940+0.00091361i, -0.01160079+0.01702934i, +0.00180563+0.01793082i, +0.00907112+0.01064246i, +0.00285160-0.01739471i, +0.00605488+0.02350145i, +0.01247353-0.00913002i, -0.01231805-0.01368556i, -0.00775935-0.00296209i, -0.00371471-0.02031849i, -0.02494444-0.01306025i, -0.01332352+0.00422523i
+0.00252990+0.00435881i, -0.00167211+0.01079268i, -0.01381461-0.02581612i, -0.01468420-0.00139084i, -0.01133471+0.00634437i, +0.01609540-0.00710420i, +0.03519441+0.00000000i, +0.00549865-0.02008064i, +0.00805773-0.00525521i, +0.00036303+0.01760120i, -0.00746114-0.01222102i, -0.00979615-0.00227789i, +0.00140540-0.00972107i, -0.00141485+0.00493943i, -0.02320696-0.00287935i, -0.00180696+0.01253174i, -0.00062236-0.00998925i, -0.00268587+0.00556256i, +0.01884681-0.00695982i, -0.00094407-0.01066921i, +0.00525093-0.00318982i, -0.00028559+0.01266737i, +0.00893701+0.01785683i, +0.01304887+0.00333753i, -0.00741414-0.01484582i, +0.01319512+0.00938800i, +0.00523799-0.01847796i, -0.01571137-0.00382862i, -0.00841951+0.00292213i, -0.01109977-0.01244548i, -0.02838680+0.00301464i, -0.00687389+0.01064972i
-0.00509801+0.00296405i, -0.01074528-0.00213298i, +0.01869024-0.01752711i, -0.00359871-0.01494529i, -0.00848407-0.01107050i, +0.01415355+0.01392634i, +0.00549865+0.02008064i, +0.02600436+0.00000000i, +0.00693050+0.00491423i, -0.01840605+0.00499031i, +0.00813990-0.00928397i, +0.00053445-0.01231477i, +0.00957119-0.00077691i, -0.00427690-0.00054217i, -0.00111999-0.02017504i, -0.01557439+0.00114789i, +0.00973379-0.00300130i, -0.00619614+0.00007490i, +0.00762380+0.01409731i, +0.01230939-0.00533382i, +0.00422800+0.00400615i, -0.01440166+0.00261713i, -0.01051876+0.01252046i, -0.00018366+0.01521083i, +0.01182161-0.01034026i, -0.00663333+0.01556998i, +0.01394040+0.00162478i, +0.00043804-0.01909083i, -0.00361041-0.00651105i, +0.01055998-0.01352271i, -0.00892119-0.02309707i, -0.01387922-0.00468020i
+0.00180748+0.00413453i, -0.00505747+0.00282267i, +0.00268194-0.01362240i, -0.00504853-0.00466715i, -0.00854165-0.00655643i, +0.00931984+0.00123394i, +0.00805773+0.00525521i, +0.00693050-0.00491423i, +0.01809920+0.00000000i, -0.00914464+0.01067022i, +0.00163820-0.00534622i, -0.00144684-0.00652469i, +0.00470466-0.00295343i, +0.00045336+0.00094321i, -0.00638981-0.01155690i, -0.00606617+0.00318206i, +0.00497216-0.00313109i, -0.00295615+0.00171268i, +0.00834022+0.00351943i, +0.00344778-0.00481609i, +0.00711709+0.00086863i, -0.00512496+0.00555807i, -0.00045795+0.00898055i, +0.00360050+0.00518419i, +0.00794352-0.01265852i, +0.00268497+0.00884031i, +0.00766070-0.00455811i, -0.00486205-0.00802953i, -0.00739237+0.00121411i, +0.00031913-0.01014573i, -0.01153144-0.00854786i, -0.00650559+0.00152949i
+0.00845576-0.00249602i, +0.01258398+0.00690342i, -0.02694997+0.01453761i, -0.00143059+0.01485704i, +0.00563683+0.01572318i, -0.01302522-0.02144219i, +0.00036303-0.01760120i, -0.01840605-0.00499031i, -0.00914464-0.01067022i, +0.03790509-0.00000000i, -0.01761471+0.00885928i, -0.00739031+0.01643239i, -0.01310649-0.00271190i, +0.00459506+0.00418281i, -0.00831783+0.02833828i, +0.01766030+0.00485469i, -0.01323970+0.00046410i, +0.00828083+0.00346848i, -0.00399920-0.01921691i, -0.01351027+0.00087178i, -0.00347715-0.00673021i, +0.01979399+0.00185572i, +0.01460802-0.01204881i, +0.00432844-0.01429820i, -0.02071045+0.00917326i, +0.01799483-0.02030079i, -0.01656526-0.00758497i, -0.00581646+0.02190283i, +0.00210952+0.01060903i, -0.02076538+0.01625196i, +0.00237022+0.03258046i, +0.01197904+0.00993393i
-0.00645275-0.00206270i, -0.00274654-0.00779415i, +0.02662135+0.00308925i, +0.00687220-0.00865840i, +0.00295669-0.01421885i, +0.00048187+0.01540507i, -0.00746114+0.01222102i, +0.00813990+0.00928397i, +0.00163820+0.00534622i, -0.01761471-0.00885928i, +0.03143685+0.00000000i, +0.00918686-0.01364113i, +0.00581021+0.00841423i, -0.00202281-0.00787728i, +0.01415576-0.02016418i, -0.01188106-0.01024336i, +0.00913263+0.00568912i, -0.00345818-0.00441991i, -0.00522711+0.01595604i, +0.00855564+0.00532303i, +0.00015632+0.00573731i, -0.00940818-0.00758094i, -0.01779297+0.00105012i, -0.00779889+0.00758695i, +0.01672351+0.00198219i, -0.01532601+0.00555071i, +0.01343016+0.00857554i, +0.01136322-0.01225719i, +0.00269673-0.00651959i, +0.01532317-0.00216427i, +0.01378809-0.02514416i, -0.00516392-0.01051164i
