+0.01888825-0.00000000i, -0.00358698-0.00199127i, +0.00164494-0.00328668i, +0.00154067-0.00271743i, -0.00371252+0.00276284i, +0.00067388+0.00036903i, -0.00062681+0.00132109i, -0.00535851-0.00044262i, -0.00105111+0.00149948i, +0.00054184+0.00305867i, -0.00307186-0.00059240i, -0.00014371-0.00071380i, -0.00157430+0.00215854i, +0.00002608-0.00004815i, -0.00036679-0.00159681i, -0.00194148-0.00046905i, +0.00364962-0.00059983i, +0.00302493-0.00026839i, -0.00013112-0.00022426i, +0.00106423-0.00160422i, -0.00353910+0.00132148i, -0.00120241-0.00047878i, +0.00064739-0.00195635i, -0.00162409-0.00246906i, +0.00195207-0.00100614i, -0.00202506-0.00426954i, -0.00046773-0.00446578i, +0.00128249+0.00170054i, -0.00105426-0.00128882i, -0.00032580-0.00308462i, +0.00082410-0.00002622i, +0.00325764+0.00125690i
-0.00358698+0.00199127i, +0.02518386-0.00000000i, -0.00413518+0.00428017i, -0.00271313+0.00821169i, +0.00658899-0.00265621i, -0.00450401-0.00177583i, +0.00578497-0.00748829i, +0.01001265-0.00187649i, +0.00133576-0.00142560i, -0.00143367-0.00535385i, +0.00890268+0.00064245i, +0.00215412+0.00548061i, +0.00310971-0.00360246i, +0.00380085+0.00135001i, -0.00381422+0.00130163i, +0.00407615+0.00268180i, -0.00540967-0.00579507i, -0.00643405-0.00055279i, +0.00213583+0.00364860i, -0.00326828+0.00138757i, +0.00147031-0.00161002i, -0.00146781+0.00228649i, -0.00214646+0.00139475i, +0.00167697+0.00889800i, -0.00474477-0.00193245i, +0.00310289+0.00801201i, +0.00108221+0.01411079i, -0.00271842-0.00663392i, +0.00777159+0.00573631i, +0.00132819+0.00772228i, -0.00052264-0.00196498i, -0.00780525-0.00411304i
+0.00164494+0.00328668i, -0.00413518-0.00428017i, +0.03149524-0.00000000i, +0.00255886-0.00578754i, -0.01526488+0.00440628i, +0.00128472+0.00161644i, -0.00969681+0.00518323i, -0.00378529-0.00681665i, -0.00326551+0.00113037i, -0.00207259+0.00769301i, -0.00917006-0.00735070i, -0.00034238-0.00758435i, -0.00710830+0.00264151i, -0.00656251-0.00525927i, +0.00606288-0.00168248i, -0.00581323-0.00777770i, +0.00245054+0.00876901i, +0.00964749+0.00106822i, -0.00114997-0.00774933i, +0.00226592+0.00046140i, -0.00100187-0.00007345i, -0.00290212-0.00324780i, +0.00576677+0.00044413i, +0.00346293-0.01025072i, +0.00437660+0.00491928i, -0.00058561-0.01423059i, +0.00587495-0.01698678i, +0.00131258+0.01090465i, -0.00451200-0.01025091i, +0.00399950-0.00809453i, -0.00105760+0.00075924i, +0.00862207+0.01082566i
+0.00154067+0.00271743i, -0.00271313-0.00821169i, +0.00255886+0.00578754i, +0.02520986+0.00000000i, -0.00389054-0.01051704i, -0.00048265+0.00484312i, -0.00682101-0.00644607i, +0.00208482-0.00635738i, -0.00011864-0.00250691i, -0.00535728+0.00090414i, +0.00032244-0.00981181i, +0.00553598-0.00502485i, -0.00471993-0.00374878i, +0.00237574-0.00689102i, +0.00340132+0.00513584i, +0.00493430-0.00575705i, -0.00549647+0.00550495i, +0.00287224+0.00914247i, +0.00284848-0.00348163i, +0.00343247+0.00129969i, -0.00099356-0.00063318i, +0.00326228-0.00127784i, +0.00129095+0.00251006i, +0.01283632-0.00231541i, -0.00313719+0.00484904i, +0.01065986-0.00420296i, +0.01582795-0.00134740i, -0.00650202+0.00362356i, +0.00627788-0.00877253i, +0.00872738+0.00087756i, -0.00309996+0.00176944i, -0.00682484+0.00936662i
-0.00371252-0.00276284i, +0.00658899+0.00265621i, -0.01526488-0.00440628i, -0.00389054+0.01051704i, +0.03353930+0.00000000i, -0.00305234-0.00122313i, +0.01092298-0.00552094i, +0.00373664+0.00850701i, +0.00312381-0.00172956i, +0.00411679-0.00799022i, +0.01033599+0.00842130i, +0.00081647+0.00836095i, +0.00703830-0.00117532i, +0.00793759+0.00661564i, -0.00664161+0.00055077i, +0.00442478+0.00885751i, -0.00333520-0.01363192i, -0.01121109-0.00307395i, +0.00099362+0.00494326i, -0.00411980+0.00052583i, +0.00371566-0.00063577i, +0.00210767+0.00561989i, -0.00332203+0.00036142i, -0.00381860+0.01327765i, -0.00405502-0.00708162i, -0.00247629+0.01640525i, -0.00889114+0.01774471i, -0.00092682-0.01147582i, +0.00484022+0.01183034i, -0.00483875+0.01112514i, -0.00102129-0.00272454i, -0.00766979-0.01436699i
+0.00067388-0.00036903i, -0.00450401+0.00177583i, +0.00128472-0.00161644i, -0.00048265-0.00484312i, -0.00305234+0.00122313i, +0.02075381-0.00000000i, -0.00315058+0.00314343i, -0.00423902+0.00113825i, -0.00118611+0.00121184i, -0.00032881-0.00016143i, -0.00450383+0.00118762i, -0.00259993-0.00433806i, -0.00344049+0.00370451i, -0.00296136+0.00137110i, +0.00223683-0.00226382i, -0.00162061-0.00246915i, +0.00354328+0.00234505i, +0.00347043-0.00512443i, -0.00207582-0.00045750i, +0.00012722-0.00028059i, -0.00209409-0.00018265i, +0.00059029-0.00224170i, +0.00007506-0.00108873i, -0.00181685-0.00504875i, +0.00138688-0.00087032i, -0.00081053-0.00673764i, -0.00242530-0.00676957i, +0.00333854+0.00359250i, -0.00363767-0.00334773i, -0.00185263-0.00433987i, -0.00028256+0.00024791i, +0.00458905+0.00311639i
-0.00062681-0.00132109i, +0.00578497+0.00748829i, -0.00969681-0.00518323i, -0.00682101+0.00644607i, +0.01092298+0.00552094i, -0.00315058-0.00314343i, +0.02935234+0.00000000i, +0.00314589+0.00996913i, +0.00335097+0.00255989i, +0.00461278-0.00622577i, +0.00964013+0.01072066i, -0.00239438+0.00870599i, +0.00771442+0.00027254i, +0.00581134+0.00622984i, -0.00659569-0.00258834i, +0.00169210+0.01082017i, +0.00248453-0.01095059i, -0.00946720-0.00724151i, -0.00210142+0.00833401i, -0.00460536+0.00006375i, +0.00039869-0.00005794i, -0.00054827+0.00572195i, -0.00093807-0.00376350i, -0.00927388+0.01120452i, -0.00282035-0.00765535i, -0.00643850+0.01306123i, -0.01581445+0.01582752i, +0.00480506-0.01036059i, +0.00084321+0.01395091i, -0.00755610+0.00686781i, -0.00029207-0.00174936i, -0.00299706-0.01535024i
-0.00535851+0.00044262i, +0.01001265+0.00187649i, -0.00378529+0.00681665i, +0.00208482+0.00635738i, +0.00373664-0.00850701i, -0.00423902-0.00113825i, +0.00314589-0.00996913i, +0.02888601+0.00000000i, +0.00133568-0.00405076i, -0.00416764-0.00564623i, +0.00845951-0.00379541i, +0.00665773+0.00465326i, +0.00128994-0.00611576i, +0.00539546-0.00396209i, -0.00342785+0.00738619i, +0.00729496+0.00058505i, -0.00858948-0.00207978i, -0.00674227+0.00647399i, +0.00282311+0.00145961i, -0.00126582+0.00656950i, +0.00119977-0.00125717i, +0.00374923+0.00087116i, -0.00269443+0.00050494i, +0.00850617+0.00810142i, -0.00603159+0.00069306i, +0.00887283+0.00732752i, +0.00751882+0.01480745i, -0.00651489-0.00241767i, +0.01038813+0.00314908i, +0.00300038+0.00694203i, -0.00223557-0.00036383i, -0.01096087-0.00098810i
-0.00105111-0.00149948i, +0.00133576+0.00142560i, -0.00326551-0.00113037i, -0.00011864+0.00250691i, +0.00312381+0.00172956i, -0.00118611-0.00121184i, +0.00335097-0.00255989i, +0.00133568+0.00405076i, +0.02147900+0.00000000i, +0.00116715-0.00207898i, +0.00053225+0.00065999i, +0.00118109+0.00211757i, +0.00212598-0.00148006i, +0.00257725-0.00083143i, -0.00330041+0.00128479i, +0.00330152+0.00288925i, +0.00035512-0.00404973i, -0.00356299-0.00212103i, +0.00077611+0.00201829i, -0.00092756-0.00146484i, +0.00118361-0.00075924i, -0.00025973+0.00029629i, -0.00042236+0.00118519i, -0.00240641+0.00381610i, -0.00433257+0.00170421i, -0.00022439+0.00354354i, -0.00044442+0.00689571i, -0.00008083-0.00372170i, +0.00427600+0.00281493i, +0.00035785+0.00335976i, -0.00088222+0.00049304i, -0.00311138-0.00244286i
+0.00054184-0.00305867i, -0.00143367+0.00535385i, -0.00207259-0.00769301i, -0.00535728-0.00090414i, +0.00411679+0.00799022i, -0.00032881+0.00016143i, +0.00461278+0.00622577i, -0.00416764+0.00564623i, +0.00116715+0.00207898i, +0.02442569+0.00000000i, -0.00130308+0.01075028i, -0.00660896+0.00224752i, +0.00441571+0.00331524i, -0.00123820+0.00495357i, -0.00230017-0.00182113i, -0.00802071+0.00767413i, +0.00522525-0.00448512i, +0.00051590-0.00835730i, -0.00422409+0.00089430i, -0.00299344-0.00384612i, +0.00136087+0.00033177i, -0.00229665+0.00190906i, +0.00028975-0.00174834i, -0.00795690-0.00025601i, +0.00384899-0.00469287i, -0.01243861+0.00629543i, -0.01453772-0.00160510i, +0.00595724-0.00334527i, -0.00664451+0.00663995i, -0.00463217-0.00057675i, +0.00116454-0.00078847i, +0.00524006-0.00903380i
-0.00307186+0.00059240i, +0.00890268-0.00064245i, -0.00917006+0.00735070i, +0.00032244+0.00981181i, +0.01033599-0.00842130i, -0.00450383-0.00118762i, +0.00964013-0.01072066i, +0.00845951+0.00379541i, +0.00053225-0.00065999i, -0.00130308-0.01075028i, +0.03503776+0.00000000i, +0.00456671+0.00888904i, +0.00865219-0.00892157i, +0.01253033+0.00031977i, -0.00448506+0.00310864i, +0.00725098+0.00706733i, -0.00910618-0.00850219i, -0.01252491+0.00363363i, +0.00371427+0.00398533i, -0.00422708+0.00475347i, +0.00269720+0.00001832i, +0.00376041+0.00362279i, -0.00340564+0.00213500i, +0.00355040+0.01465716i, -0.00882183-0.00310908i, +0.00710870+0.01631370i, -0.00136422+0.02577856i, -0.00599392-0.01044655i, +0.01113184+0.00952774i, +0.00005983+0.01165516i, -0.00420541-0.00189010i, -0.01443970-0.00792060i
