+0.02827365-0.00000000i, -0.00046274-0.00469187i, +0.00083841+0.00608734i, +0.00154672-0.00237626i, +0.00520712+0.00231775i, -0.00183307+0.00165584i, +0.00307823-0.00237185i, -0.00661891-0.00516554i, +0.00358553+0.00437209i, +0.00116945-0.00250393i, +0.00562592+0.00491046i, +0.00402749+0.00766503i, +0.00532515-0.00457640i, +0.00540554+0.00681048i, +0.00243044+0.00219067i, +0.00458389+0.00068087i, +0.00108393+0.00464505i, +0.00755114-0.00101152i, -0.00476450+0.00198028i, -0.00115170+0.00125483i, -0.00451214-0.00239737i, +0.00328748+0.00178032i, -0.00348332-0.00666163i, +0.00390371+0.00302643i, +0.00973993-0.00050502i, +0.00227589-0.00446428i, +0.00535250+0.00157821i, +0.00316387+0.00572639i, -0.00042006-0.00357359i, +0.00304311-0.00277535i, -0.00129965+0.00022134i, +0.00292313+0.00149128i
-0.00046274+0.00469187i, +0.03035269-0.00000000i, -0.00367570-0.00043431i, +0.00356122-0.00075497i, +0.00003326+0.00729488i, -0.00040094-0.00348153i, +0.00175575+0.00143492i, +0.00301425-0.00843142i, -0.00333626+0.00546433i, +0.00275768+0.00098556i, -0.00791343+0.00673054i, -0.00945016+0.00685604i, +0.00665239+0.00688986i, -0.00482949+0.01013703i, +0.00149895-0.00057439i, -0.00072937+0.00249857i, -0.00572023+0.00324308i, +0.00150744+0.01148566i, -0.00141504-0.00412441i, -0.00312921+0.00020298i, +0.00157516-0.00545234i, -0.00203153+0.00455502i, +0.00564238-0.00551075i, -0.00277660+0.00636710i, +0.00380068+0.00850118i, +0.00459446+0.00421900i, -0.00102006+0.00730954i, -0.00582936+0.00528454i, +0.00483069-0.00338685i, +0.00410476+0.00341849i, -0.00029211-0.00208295i, -0.00050398+0.00376576i
+0.00083841-0.00608734i, -0.00367570+0.00043431i, +0.02628821-0.00000000i, -0.00233501+0.00157100i, -0.00002027-0.00590387i, +0.00156988+0.00058097i, -0.00119622+0.00078416i, -0.00349336+0.00697125i, +0.00121124-0.00231780i, +0.00066864+0.00003708i, +0.00439069-0.00352156i, +0.00717321-0.00465367i, -0.00377618-0.00775408i, +0.00429758-0.00501006i, -0.00150843-0.00063752i, -0.00143041-0.00415149i, +0.00408199-0.00131895i, -0.00077691-0.00471046i, +0.00105079+0.00431580i, +0.00178265-0.00148628i, -0.00117016+0.00256978i, +0.00281231-0.00187889i, -0.00461169+0.00371699i, +0.00248635-0.00261850i, -0.00238423-0.00550861i, -0.00325306-0.00271112i, +0.00239389-0.00249414i, +0.00346538-0.00378616i, -0.00348227+0.00126691i, -0.00298816-0.00308057i, -0.00098175+0.00213589i, +0.00154131-0.00352723i
+0.00154672+0.00237626i, +0.00356122+0.00075497i, -0.00233501-0.00157100i, +0.02848609-0.00000000i, -0.00267973+0.00797504i, -0.00071668-0.00266206i, +0.00093661+0.00255948i, +0.00659028-0.00769064i, -0.00127142+0.00409080i, +0.00519253-0.00107418i, -0.00974990+0.00622818i, -0.00742212+0.00588090i, +0.00409085+0.00772610i, -0.00734259+0.00746869i, +0.00130014+0.00205405i, -0.00033647+0.00484816i, -0.00505126+0.00218808i, -0.00015231+0.00779859i, -0.00112774-0.00380358i, -0.00418292+0.00223530i, +0.00346813-0.00393634i, -0.00391021+0.00302904i, +0.00724185-0.00336115i, -0.00443871+0.00312725i, +0.00343965+0.00634727i, +0.00498606+0.00212620i, -0.00206097+0.00626699i, -0.00310840+0.00364579i, +0.00462749-0.00082503i, +0.00423766+0.00379806i, +0.00049640-0.00047278i, -0.00235994+0.00302369i
+0.00520712-0.00231775i, +0.00003326-0.00729488i, -0.00002027+0.00590387i, -0.00267973-0.00797504i, +0.03677639-0.00000000i, -0.00399000+0.00306573i, +0.00259844-0.00158223i, -0.01143334-0.00599438i, +0.00729070+0.00315050i, -0.00025918-0.00364080i, +0.01112667+0.00981708i, +0.00850542+0.01119842i, +0.00781978-0.00687599i, +0.01202396+0.00673088i, -0.00124892-0.00229387i, +0.00682116-0.00138958i, +0.00502056+0.00577832i, +0.01091842-0.00338770i, -0.00548291+0.00370623i, -0.00013445+0.00368816i, -0.00701258-0.00042181i, +0.00468374+0.00405535i, -0.00929843-0.00771341i, +0.00599550+0.00623229i, +0.01109832-0.00702433i, +0.00255593-0.00643738i, +0.00812740+0.00146041i, +0.00502268+0.00626628i, -0.00508276-0.00798742i, +0.00426107-0.00762501i, -0.00277327-0.00061801i, +0.00622598+0.00029519i
-0.00183307-0.00165584i, -0.00040094+0.00348153i, +0.00156988-0.00058097i, -0.00071668+0.00266206i, -0.00399000-0.00306573i, +0.02886469+0.00000000i, -0.00270933-0.00066304i, +0.00386168+0.00294798i, -0.00205493-0.00253409i, -0.00027052+0.00077124i, -0.00192360-0.00614359i, -0.00221650-0.00702695i, -0.00675703+0.00179724i, -0.00196898-0.00534399i, -0.00126408-0.00005800i, +0.00015467-0.00322007i, -0.00016247-0.00367067i, -0.00466949-0.00035857i, +0.00310042+0.00076115i, +0.00015455-0.00341513i, +0.00220996+0.00311848i, -0.00153926+0.00098464i, -0.00131125+0.00502980i, +0.00086483-0.00451480i, -0.00471007-0.00190242i, -0.00149474+0.00129129i, -0.00353253-0.00283910i, +0.00127312-0.00365161i, -0.00090139+0.00328314i, -0.00573813-0.00176747i, +0.00051951+0.00168297i, -0.00115208-0.00069905i
+0.00307823+0.00237185i, +0.00175575-0.00143492i, -0.00119622-0.00078416i, +0.00093661-0.00255948i, +0.00259844+0.00158223i, -0.00270933+0.00066304i, +0.02525598-0.00000000i, -0.00196134-0.00448502i, +0.00081416-0.00012677i, +0.00143921-0.00174154i, -0.00097914+0.00388142i, +0.00111508+0.00455223i, +0.00380935-0.00115214i, +0.00014966+0.00457089i, +0.00111684+0.00013683i, +0.00321378+0.00091872i, -0.00064939+0.00320768i, +0.00384785+0.00159162i, -0.00132099-0.00184709i, -0.00204462+0.00103897i, +0.00046712-0.00254390i, +0.00011820+0.00045304i, +0.00018214-0.00279616i, -0.00047990+0.00277030i, +0.00396390+0.00229110i, +0.00213533+0.00061240i, -0.00011133+0.00327103i, -0.00112439+0.00268542i, -0.00013319-0.00110426i, +0.00143917-0.00131118i, -0.00207722-0.00204282i, +0.00073241+0.00042755i
-0.00661891+0.00516554i, +0.00301425+0.00843142i, -0.00349336-0.00697125i, +0.00659028+0.00769064i, -0.01143334+0.00599438i, +0.00386168-0.00294798i, -0.00196134+0.00448502i, +0.03757641+0.00000000i, -0.00950090-0.00043343i, +0.00357272+0.00501599i, -0.01401880-0.00370857i, -0.01537290-0.01017908i, -0.00555491+0.01452904i, -0.01613010-0.00382461i, -0.00262800+0.00335623i, -0.00517834+0.00362178i, -0.00623684-0.00467679i, -0.01066621+0.00661872i, +0.00397446-0.00495920i, -0.00257703-0.00430343i, +0.00985823+0.00020085i, -0.00800135-0.00244734i, +0.01222845+0.00652301i, -0.00924927-0.00076433i, -0.00893498+0.01064608i, +0.00017642+0.00664268i, -0.00874382+0.00130121i, -0.00956310-0.00352218i, +0.00541367+0.00395580i, -0.00205613+0.00703155i, +0.00265979-0.00008246i, -0.00747536-0.00181524i
+0.00358553-0.00437209i, -0.00333626-0.00546433i, +0.00121124+0.00231780i, -0.00127142-0.00409080i, +0.00729070-0.00315050i, -0.00205493+0.00253409i, +0.00081416+0.00012677i, -0.00950090+0.00043343i, +0.03101587-0.00000000i, -0.00135907-0.00254391i, +0.00886450+0.00560044i, +0.00933865+0.00672519i, +0.00230700-0.00926283i, +0.00887902+0.00274764i, +0.00029807-0.00161356i, +0.00229051-0.00149731i, +0.00218848+0.00605641i, +0.00712252-0.00512898i, -0.00377995+0.00259335i, +0.00153433+0.00368534i, -0.00457920+0.00106701i, +0.00324007+0.00184184i, -0.00767480-0.00256999i, +0.00497322+0.00018504i, +0.00810692-0.01030415i, -0.00057967-0.00349721i, +0.00595546-0.00104800i, +0.00680378+0.00253190i, -0.00419945-0.00326077i, +0.00131401-0.00439045i, -0.00140927+0.00180351i, +0.00206459-0.00012716i
+0.00116945+0.00250393i, +0.00275768-0.00098556i, +0.00066864-0.00003708i, +0.00519253+0.00107418i, -0.00025918+0.00364080i, -0.00027052-0.00077124i, +0.00143921+0.00174154i, +0.00357272-0.00501599i, -0.00135907+0.00254391i, +0.02801334-0.00000000i, -0.00393383+0.00448178i, -0.00446742+0.00328811i, +0.00187906+0.00369435i, -0.00307128+0.00543455i, +0.00091139+0.00195224i, -0.00030606+0.00259658i, -0.00150159+0.00047881i, -0.00120225+0.00469451i, -0.00197493-0.00109911i, -0.00075378-0.00080775i, +0.00182277-0.00126948i, -0.00110834+0.00215428i, +0.00376634-0.00229465i, -0.00066047+0.00183151i, +0.00286681+0.00472317i, +0.00407652-0.00178370i, -0.00035173+0.00308854i, -0.00211229+0.00045944i, +0.00250159-0.00095119i, +0.00141133+0.00243434i, -0.00001851-0.00050614i, -0.00051002-0.00068822i
+0.00562592-0.00491046i, -0.00791343-0.00673054i, +0.00439069+0.00352156i, -0.00974990-0.00622818i, +0.01112667-0.00981708i, -0.00192360+0.00614359i, -0.00097914-0.00388142i, -0.01401880+0.00370857i, +0.00886450-0.00560044i, -0.00393383-0.00448178i, +0.03867375+0.00000000i, +0.01603349+0.00175589i, +0.00013511-0.01621630i, +0.01596540-0.00169004i, +0.00000003-0.00365508i, +0.00382535-0.00459611i, +0.00986703+0.00161014i, +0.00795236-0.01220420i, -0.00374915+0.01006086i, +0.00456514+0.00349654i, -0.00852640+0.00190259i, +0.00739732-0.00075576i, -0.01409367-0.00302477i, +0.01008010-0.00074752i, +0.00492313-0.01471146i, -0.00305629-0.00760333i, +0.01177563-0.00957658i, +0.00997880+0.00096481i, -0.00786985-0.00254922i, -0.00145512-0.00867980i, -0.00155460+0.00157864i, +0.00434455-0.00303007i
