+0.02701565+0.00000000i, +0.00014063+0.00402124i, +0.00233533+0.00146803i, +0.00292072-0.00104401i, -0.00018467+0.00138605i, -0.00032482+0.00040216i, +0.00104736-0.00170203i, +0.00099625-0.00042667i, +0.00376132-0.00162399i, +0.00015179+0.00146831i, +0.00100745+0.00117327i, +0.00027353+0.00111429i, -0.00011521+0.00087904i, -0.00018001+0.00170001i, +0.00246200+0.00200361i, +0.00088426+0.00134761i, +0.00062605+0.00260407i, +0.00019473-0.00024281i, -0.00162767+0.00002652i, +0.00234074+0.00191044i, -0.00045200-0.00374692i, -0.00084286+0.00037023i, +0.00017728-0.00015740i, +0.00014098+0.00251928i, +0.00044831-0.00124213i, +0.00137512+0.00209995i, +0.00061602+0.00043959i, +0.00131106-0.00151042i, +0.00202377-0.00057991i, +0.00098640-0.00002145i, -0.00205020+0.00283122i, +0.00204636-0.00182023i
+0.00014063-0.00402124i, +0.04183751+0.00000000i, +0.00676645-0.00396638i, -0.00166866-0.00578342i, +0.00283954+0.00098572i, -0.00198987+0.00369914i, -0.00645780-0.00618527i, +0.00264128-0.00505656i, +0.00301611-0.00993389i, +0.00813316+0.00248135i, +0.00424005-0.00320309i, +0.00218516+0.00002523i, +0.00220030+0.00415598i, +0.00401979+0.00736705i, +0.00639408-0.00324409i, +0.00363476+0.00197662i, +0.00471747-0.00302556i, +0.00012405+0.00027959i, -0.00034307+0.00656540i, +0.01190528-0.00483329i, -0.00973942-0.00423682i, -0.00209482+0.00128602i, +0.00348359+0.00114323i, +0.00801461+0.00356238i, -0.00899588+0.00314493i, +0.01111675-0.00051580i, +0.00333989-0.00426428i, -0.00249722-0.00487647i, -0.00092216-0.00528896i, +0.00354138-0.00226249i, +0.00162204+0.01076572i, -0.00238190-0.01052867i
+0.00233533-0.00146803i, +0.00676645+0.00396638i, +0.03024538+0.00000000i, +0.00060862-0.00321215i, +0.00109837+0.00164056i, -0.00142982+0.00114036i, -0.00122444-0.00437771i, +0.00229454-0.00073218i, +0.00315830-0.00424336i, +0.00197157+0.00300642i, +0.00448167+0.00001967i, +0.00102833-0.00018682i, -0.00013115+0.00193846i, -0.00035460+0.00231636i, +0.00329774+0.00055555i, +0.00165835+0.00185536i, +0.00274011+0.00069308i, -0.00017318-0.00129384i, -0.00239100+0.00512369i, +0.00514291+0.00225589i, -0.00369189-0.00369906i, -0.00075225+0.00031612i, +0.00033809+0.00116318i, +0.00191552+0.00371281i, -0.00491390-0.00125309i, +0.00347491+0.00171605i, +0.00493592-0.00080490i, +0.00030047-0.00241267i, +0.00152683-0.00103840i, +0.00179782-0.00008046i, -0.00252849+0.00523520i, +0.00171717-0.00508178i
+0.00292072+0.00104401i, -0.00166866+0.00578342i, +0.00060862+0.00321215i, +0.02749965+0.00000000i, -0.00174212+0.00094947i, -0.00183181-0.00062079i, +0.00267987-0.00093929i, +0.00127336+0.00160604i, +0.00242375+0.00113191i, -0.00132129+0.00213244i, +0.00086779+0.00207183i, +0.00138612+0.00080889i, -0.00095592+0.00016804i, -0.00249598+0.00195390i, +0.00047471+0.00242001i, -0.00095848+0.00204846i, +0.00100265+0.00191156i, +0.00140578+0.00060937i, -0.00297817-0.00036242i, +0.00051983+0.00698105i, +0.00137200-0.00276233i, -0.00059775+0.00033615i, -0.00083053+0.00064238i, -0.00189849+0.00337344i, -0.00049898-0.00350364i, -0.00068457+0.00329986i, +0.00115152+0.00154706i, +0.00466047+0.00003167i, +0.00157959+0.00030210i, -0.00038405+0.00091964i, -0.00346599-0.00061955i, +0.00370288-0.00017685i
-0.00018467-0.00138605i, +0.00283954-0.00098572i, +0.00109837-0.00164056i, -0.00174212-0.00094947i, +0.02903404-0.00000000i, +0.00174057+0.00135484i, -0.00296500-0.00133088i, +0.00006388-0.00209833i, -0.00167603-0.00343972i, +0.00285057-0.00001750i, -0.00001489-0.00322362i, +0.00097726+0.00014443i, +0.00153299+0.00271960i, +0.00149394+0.00095993i, +0.00173042-0.00068783i, +0.00041678-0.00077859i, +0.00147867-0.00133549i, +0.00110443-0.00012683i, +0.00055798+0.00254200i, +0.00192608-0.00196012i, -0.00266296+0.00133826i, -0.00068145-0.00024478i, +0.00117801-0.00054838i, +0.00258479+0.00026848i, -0.00178333+0.00086849i, +0.00289996-0.00065934i, -0.00002746-0.00189361i, -0.00113036-0.00115024i, -0.00270724-0.00117423i, +0.00090062-0.00093563i, +0.00330349+0.00237046i, -0.00228557-0.00105681i
-0.00032482-0.00040216i, -0.00198987-0.00369914i, -0.00142982-0.00114036i, -0.00183181+0.00062079i, +0.00174057-0.00135484i, +0.02737959+0.00000000i, -0.00106335+0.00124092i, -0.00058767+0.00020897i, -0.00278284+0.00065873i, +0.00008886-0.00420453i, -0.00081053-0.00013848i, +0.00158111-0.00032766i, -0.00023068-0.00080006i, +0.00154856-0.00117482i, -0.00093044-0.00101380i, -0.00050478-0.00097304i, -0.00026773-0.00028775i, +0.00021301+0.00062966i, +0.00110163-0.00028550i, -0.00187476-0.00185606i, -0.00041062+0.00223374i, -0.00178998+0.00214858i, +0.00076127-0.00119758i, +0.00018545-0.00165611i, +0.00188836+0.00200526i, -0.00121415-0.00206425i, -0.00086678-0.00011639i, -0.00169035-0.00013326i, -0.00058796+0.00048085i, -0.00103525-0.00068729i, +0.00211147-0.00062723i, -0.00193788+0.00197605i
+0.00104736+0.00170203i, -0.00645780+0.00618527i, -0.00122444+0.00437771i, +0.00267987+0.00093929i, -0.00296500+0.00133088i, -0.00106335-0.00124092i, +0.03366655-0.00000000i, +0.00009311+0.00387707i, +0.00308598+0.00691638i, -0.00424262+0.00113826i, -0.00007465+0.00547842i, -0.00117497+0.00065516i, -0.00172978+0.00002901i, -0.00296757-0.00193133i, -0.00126606+0.00591076i, -0.00221464+0.00075805i, -0.00085178+0.00396182i, +0.00070650+0.00158690i, -0.00250942-0.00317468i, -0.00239378+0.00784498i, +0.00632577-0.00150297i, +0.00014694-0.00088303i, -0.00421209+0.00290874i, -0.00563794+0.00136754i, +0.00384103-0.00609373i, -0.00310948+0.00393263i, +0.00228922+0.00374141i, +0.00312771+0.00159170i, +0.00538764+0.00243655i, -0.00029796+0.00199848i, -0.00477679-0.00529115i, +0.00581253+0.00311966i
+0.00099625+0.00042667i, +0.00264128+0.00505656i, +0.00229454+0.00073218i, +0.00127336-0.00160604i, +0.00006388+0.00209833i, -0.00058767-0.00020897i, +0.00009311-0.00387707i, +0.02899586+0.00000000i, +0.00385687-0.00061419i, +0.00079168+0.00270172i, +0.00226367+0.00144723i, +0.00137457+0.00062773i, -0.00117266+0.00119610i, -0.00341948+0.00311174i, +0.00223957+0.00119303i, +0.00185341+0.00394679i, +0.00196527+0.00050364i, +0.00069153-0.00036615i, -0.00160830+0.00199662i, +0.00293306+0.00349860i, -0.00020763-0.00365251i, +0.00079378-0.00036663i, +0.00068391+0.00176466i, +0.00072506+0.00530085i, -0.00259220-0.00253571i, +0.00274731+0.00183722i, +0.00285563-0.00004676i, +0.00030137-0.00094414i, +0.00158837-0.00182857i, -0.00018617+0.00048815i, -0.00472933+0.00422023i, +0.00217510-0.00311345i
+0.00376132+0.00162399i, +0.00301611+0.00993389i, +0.00315830+0.00424336i, +0.00242375-0.00113191i, -0.00167603+0.00343972i, -0.00278284-0.00065873i, +0.00308598-0.00691638i, +0.00385687+0.00061419i, +0.03254854-0.00000000i, -0.00147609+0.00644840i, +0.00366432+0.00241478i, +0.00122365+0.00194116i, -0.00297561+0.00198964i, -0.00491809+0.00271327i, +0.00388184+0.00397620i, -0.00060168+0.00420106i, +0.00270387+0.00281526i, +0.00195137+0.00015428i, -0.00478968-0.00018348i, +0.00520830+0.00654837i, +0.00280005-0.00861037i, -0.00161899-0.00057988i, -0.00051088+0.00207930i, -0.00153066+0.00620811i, -0.00324615-0.00573451i, +0.00097198+0.00606523i, +0.00360142+0.00111839i, +0.00362331-0.00203555i, +0.00349066-0.00212502i, +0.00113957+0.00125934i, -0.00863395+0.00384837i, +0.00570004-0.00476809i
+0.00015179-0.00146831i, +0.00813316-0.00248135i, +0.00197157-0.00300642i, -0.00132129-0.00213244i, +0.00285057+0.00001750i, +0.00008886+0.00420453i, -0.00424262-0.00113826i, +0.00079168-0.00270172i, -0.00147609-0.00644840i, +0.03260978-0.00000000i, +0.00277904-0.00358255i, +0.00059074-0.00113321i, +0.00115772+0.00210046i, +0.00227218+0.00340698i, +0.00318068-0.00211230i, +0.00195984-0.00099320i, +0.00203725-0.00193080i, -0.00016658-0.00198624i, +0.00104819+0.00382982i, +0.00620510-0.00476751i, -0.00706437-0.00180522i, -0.00000937-0.00000059i, +0.00262878+0.00006379i, +0.00630970-0.00017670i, -0.00452772+0.00345995i, +0.00668811-0.00266979i, +0.00056694-0.00255520i, -0.00165708-0.00254726i, -0.00232843-0.00203745i, +0.00172425-0.00200646i, +0.00346123+0.00621261i, -0.00444166-0.00438999i
+0.00100745-0.00117327i, +0.00424005+0.00320309i, +0.00448167-0.00001967i, +0.00086779-0.00207183i, -0.00001489+0.00322362i, -0.00081053+0.00013848i, -0.00007465-0.00547842i, +0.00226367-0.00144723i, +0.00366432-0.00241478i, +0.00277904+0.00358255i, +0.02887641-0.00000000i, +0.00124236+0.00006594i, -0.00069813+0.00040965i, -0.00069469+0.00265285i, +0.00203350+0.00052674i, +0.00175313+0.00048330i, +0.00332003+0.00123768i, +0.00092377-0.00058400i, -0.00164131+0.00177885i, +0.00503462+0.00199748i, -0.00129390-0.00366757i, +0.00002762+0.00012342i, +0.00091622+0.00235231i, +0.00106627+0.00272938i, -0.00342608-0.00124965i, +0.00238434+0.00175451i, +0.00432384-0.00129910i, +0.00058429-0.00227971i, +0.00154929-0.00252993i, +0.00103507+0.00018543i, -0.00234581+0.00455356i, +0.00086461-0.00402797i
+0.00027353-0.00111429i, +0.00218516-0.00002523i, +0.00102833+0.00018682i, +0.00138612-0.00080889i, +0.00097726-0.00014443i, +0.00158111+0.00032766i, -0.00117497-0.00065516i, +0.00137457-0.00062773i, +0.00122365-0.00194116i, +0.00059074+0.00113321i, +0.00124236-0.00006594i, +0.02558771-0.00000000i, +0.00043918+0.00076716i, -0.00040116+0.00082737i, +0.00033241-0.00209014i, +0.00063186-0.00018126i, -0.00029219+0.00015661i, +0.00133556-0.00105178i, -0.00052683+0.00042820i, +0.00045853-0.00129330i, -0.00135518-0.00113969i, -0.00061815+0.00000058i, -0.00017650+0.00001147i, +0.00140127+0.00081077i, +0.00031195+0.00152985i, +0.00072380+0.00021442i, +0.00047311-0.00118063i, -0.00028463-0.00180120i, +0.00052867-0.00056606i, +0.00012537-0.00101895i, +0.00008795+0.00117032i, -0.00024562-0.00109466i
-0.00011521-0.00087904i, +0.00220030-0.00415598i, -0.00013115-0.00193846i, -0.00095592-0.00016804i, +0.00153299-0.00271960i, -0.00023068+0.00080006i, -0.00172978-0.00002901i, -0.00117266-0.00119610i, -0.00297561-0.00198964i, +0.00115772-0.00210046i, -0.00069813-0.00040965i, +0.00043918-0.00076716i, +0.02751783-0.00000000i, +0.00308951+0.00024812i, -0.00167124-0.00248874i, +0.00147243-0.00168958i, -0.00194063-0.00153143i, -0.00102615-0.00072121i, +0.00113949+0.00132742i, -0.00110060-0.00367426i, -0.00293879+0.00374047i, -0.00011398+0.00086230i, -0.00000265-0.00050895i, +0.00150736-0.00197061i, +0.00026124+0.00279584i, +0.00082753-0.00271319i, -0.00068938-0.00163324i, -0.00171948+0.00015046i, -0.00253142-0.00210449i, +0.00034963-0.00010043i, +0.00420393+0.00027074i, -0.00340810+0.00052929i
