+0.01223458-0.00000000i, +0.01050888-0.02372393i, -0.00032140+0.00334786i, -0.00694062-0.00390689i, +0.00448771-0.00154143i, +0.00087051-0.01008128i, -0.00031062-0.00129653i, +0.00310520+0.00057096i, +0.01836290+0.00071267i, +0.01719347-0.03507418i, -0.00068354+0.00505146i, -0.01028195-0.00632497i, -0.00835581+0.00251226i, -0.00231842+0.01846164i, +0.00047829+0.00240444i, -0.00566489-0.00127055i, +0.00073610-0.00628382i, -0.01155252-0.00682478i, +0.00170011+0.00036649i, -0.00242413+0.00332961i, -0.00058867-0.00270549i, -0.00578348-0.00118891i, -0.00077249+0.00009200i, +0.00054171-0.00176085i, -0.00158750+0.01013314i, +0.01832676+0.01180877i, -0.00275588-0.00070695i, +0.00417391-0.00528904i, -0.00085006-0.00479516i, -0.01008360-0.00248406i, -0.00136395+0.00010900i, +0.00107219-0.00305781i, +0.00269209+0.00773141i, +0.01730417+0.00142068i, -0.00218630+0.00053355i, +0.00094166-0.00524557i, +0.00208745+0.00265699i, +0.00698339-0.00177524i, +0.00079917-0.00051249i, +0.00034315+0.00222191i, +0.00373255+0.01222723i, +0.02697655+0.00327219i, -0.00347512+0.00070652i, +0.00180329-0.00820204i, -0.00356203-0.00491495i, -0.01265944+0.00270018i, -0.00147027+0.00086428i, -0.00046119-0.00401242i, -0.00442302+0.00098193i, -0.00189509+0.00941998i, -0.00015250-0.00123607i, +0.00282263+0.00085534i, -0.00169107+0.00103521i, +0.00055787+0.00419128i, +0.00024413+0.00050076i, -0.00131841+0.00004830i, +0.00722677-0.00131259i, +0.00367047-0.01517498i, +0.00017087+0.00203024i, -0.00455982-0.00157728i, -0.00304274+0.00170407i, +0.00069459+0.00740439i, +0.00039491+0.00089676i, -0.00232045-0.00000504i
+0.01050888+0.02372393i, +0.06717515+0.00000000i, -0.00755713+0.00251510i, +0.00192672-0.02006995i, +0.00688136+0.00741868i, +0.02467263-0.00847451i, +0.00250936-0.00191609i, +0.00186212+0.00777251i, +0.01442336+0.03630124i, +0.10087767+0.00391510i, -0.01159314+0.00336494i, +0.00409771-0.03028279i, -0.01211504-0.01412207i, -0.04593874+0.01381194i, -0.00474742+0.00334175i, -0.00286726-0.01441428i, +0.01281705-0.00397009i, +0.00404161-0.03450185i, +0.00083708+0.00403262i, -0.01019190-0.00219703i, +0.00476665-0.00348443i, -0.00323638-0.01487429i, -0.00094011-0.00158437i, +0.00463095-0.00055152i, -0.02106009+0.00563824i, -0.00872104+0.05566699i, -0.00111252-0.00664513i, +0.01652107+0.00423803i, +0.00861525-0.00579888i, -0.00467347-0.02636291i, -0.00154420-0.00284872i, +0.00817671-0.00065343i, -0.01267946+0.01186103i, +0.01478114+0.04244999i, -0.00325218-0.00422209i, +0.01310655-0.00319856i, -0.00337763+0.00636481i, +0.01147639+0.01460766i, +0.00187614+0.00123884i, -0.00479089+0.00307228i, -0.02054992+0.01778039i, +0.02050500+0.06717102i, -0.00486282-0.00684677i, +0.02083283-0.00423546i, +0.00650654-0.01119005i, -0.01958340-0.02702151i, -0.00328152-0.00235453i, +0.00881408-0.00518122i, -0.00570315-0.00773314i, -0.02428498+0.00539136i, +0.00253010-0.00151573i, +0.00091421+0.00741004i, -0.00347895-0.00240310i, -0.00929721+0.00569140i, -0.00085011+0.00100888i, -0.00146351-0.00300199i, +0.00877242+0.01291500i, +0.03970067-0.00721079i, -0.00423205+0.00231721i, -0.00102432-0.01217102i, -0.00595048-0.00446085i, -0.01672842+0.00936869i, -0.00156292+0.00171516i, -0.00236740-0.00537595i
-0.00032140-0.00334786i, -0.00755713-0.00251510i, +0.00260940+0.00000000i, -0.00093612+0.00211330i, -0.00055161-0.00121376i, -0.00315711+0.00003022i, -0.00087915+0.00030197i, +0.00009318-0.00107913i, -0.00028997-0.00508925i, -0.01129747-0.00425333i, +0.00378551+0.00014692i, -0.00165871+0.00338372i, +0.00092699+0.00226954i, +0.00580315+0.00016961i, +0.00163691-0.00049215i, -0.00024817+0.00197619i, -0.00173878-0.00003635i, -0.00174641+0.00372998i, +0.00015701-0.00134038i, +0.00102877+0.00060776i, -0.00074088+0.00023728i, -0.00019682+0.00183175i, +0.00011532+0.00053001i, -0.00061908-0.00012726i, +0.00284004+0.00016974i, +0.00309145-0.00598652i, -0.00032726+0.00208894i, -0.00176804-0.00113923i, -0.00131831+0.00036650i, -0.00047086+0.00320594i, +0.00016653+0.00093938i, -0.00107938-0.00026590i, +0.00204486-0.00093975i, -0.00007349-0.00532891i, +0.00057420+0.00164906i, -0.00154120-0.00012653i, +0.00068707-0.00065517i, -0.00075960-0.00211605i, -0.00040893-0.00052051i, +0.00074752-0.00019003i, +0.00327724-0.00135475i, +0.00020993-0.00839531i, +0.00076947+0.00252064i, -0.00260252-0.00031568i, -0.00127899+0.00112821i, +0.00121612+0.00385140i, +0.00069781+0.00096284i, -0.00135511+0.00028904i, +0.00038487+0.00118448i, +0.00293380+0.00030272i, -0.00094346+0.00020945i, +0.00016876-0.00083887i, +0.00033494+0.00044517i, +0.00128514-0.00029824i, +0.00033128-0.00020280i, +0.00005972+0.00044865i, -0.00055400-0.00196066i, -0.00477661-0.00068098i, +0.00148980-0.00027059i, -0.00035410+0.00146398i, +0.00055830+0.00080525i, +0.00227903-0.00043651i, +0.00059608-0.00033383i, +0.00007435+0.00079259i
-0.00694062+0.00390689i, +0.00192672+0.02006995i, -0.00093612-0.00211330i, +0.00947355-0.00000000i, -0.00209899+0.00235849i, +0.00330681+0.00727629i, +0.00073660+0.00079412i, -0.00303980+0.00104411i, -0.01074124+0.00550905i, +0.00173835+0.03050929i, -0.00139147-0.00350210i, +0.01348833+0.00052349i, +0.00402496-0.00418390i, -0.00555718-0.01360554i, -0.00129683-0.00151167i, +0.00565991-0.00170171i, +0.00158899+0.00379971i, +0.01042373+0.00021792i, -0.00114138+0.00035354i, +0.00057009-0.00486663i, +0.00122436+0.00137658i, +0.00444145-0.00142247i, +0.00051024-0.00037298i, +0.00039874+0.00183259i, -0.00235642-0.00631211i, -0.01702561-0.00101754i, +0.00203174-0.00054394i, -0.00116609+0.00744322i, +0.00205796+0.00250291i, +0.00790305-0.00219710i, +0.00092220-0.00062073i, +0.00057580+0.00324806i, -0.00399603-0.00352626i, -0.01225866+0.00563364i, +0.00112930-0.00105641i, +0.00208475+0.00598718i, -0.00207756-0.00085928i, -0.00411889+0.00392762i, -0.00036155+0.00068131i, -0.00141396-0.00179975i, -0.00607659-0.00579659i, -0.01964655+0.00812150i, +0.00198252-0.00171533i, +0.00274172+0.00898142i, +0.00366953+0.00168722i, +0.00766739-0.00676345i, +0.00069648-0.00119782i, +0.00241278+0.00332920i, +0.00219552-0.00196939i, -0.00230725-0.00710078i, +0.00050788+0.00068865i, -0.00342550+0.00076048i, +0.00064265-0.00115219i, -0.00200790-0.00266874i, -0.00037240-0.00025724i, +0.00114547-0.00070121i, -0.00371391+0.00308003i, +0.00332112+0.01175386i, -0.00084630-0.00124595i, +0.00530837-0.00096415i, +0.00120808-0.00198118i, -0.00334692-0.00482737i, -0.00063696-0.00047750i, +0.00206103-0.00115427i
+0.00448771+0.00154143i, +0.00688136-0.00741868i, -0.00055161+0.00121376i, -0.00209899-0.00235849i, +0.00378868-0.00000000i, +0.00321435-0.00725643i, +0.00009463-0.00098568i, +0.00204346+0.00115027i, +0.00813597+0.00315231i, +0.01317311-0.01314063i, -0.00110010+0.00219086i, -0.00368858-0.00448326i, -0.00418067-0.00016225i, -0.00398280+0.00812479i, -0.00016645+0.00123013i, -0.00250385-0.00154025i, +0.00119800-0.00249620i, -0.00383230-0.00449172i, +0.00066598+0.00040208i, -0.00150936+0.00105635i, +0.00022939-0.00195824i, -0.00355628-0.00210091i, -0.00050391-0.00010863i, +0.00071852-0.00098690i, -0.00227580+0.00430545i, +0.00642904+0.00815579i, -0.00114306-0.00075211i, +0.00272481-0.00175362i, +0.00036143-0.00230700i, -0.00424532-0.00273545i, -0.00067111-0.00017215i, +0.00101642-0.00128798i, +0.00001425+0.00337888i, +0.00660033+0.00289047i, -0.00094540-0.00008674i, +0.00109456-0.00196382i, +0.00083630+0.00240177i, +0.00530983+0.00043594i, +0.00064586-0.00015762i, -0.00027818+0.00154960i, -0.00020981+0.00606637i, +0.01164677+0.00564847i, -0.00169103-0.00022156i, +0.00210163-0.00344896i, -0.00084979-0.00278376i, -0.00624900-0.00075799i, -0.00084626+0.00017205i, +0.00043913-0.00199735i, -0.00197026-0.00022238i, -0.00213526+0.00364948i, +0.00011510-0.00054508i, +0.00106983+0.00077201i, -0.00137835+0.00030600i, -0.00058338+0.00289981i, +0.00004520+0.00036637i, -0.00083663-0.00025352i, +0.00344764+0.00052523i, +0.00400173-0.00626846i, -0.00023947+0.00095015i, -0.00182761-0.00142981i, -0.00164531+0.00029884i, -0.00085025+0.00351522i, +0.00004161+0.00049440i, -0.00111040-0.00038410i
+0.00087051+0.01008128i, +0.02467263+0.00847451i, -0.00315711-0.00003022i, +0.00330681-0.00727629i, +0.00321435+0.00725643i, +0.02074112-0.00000000i, +0.00222497-0.00074050i, -0.00056727+0.00590899i, +0.00088059+0.01858579i, +0.04473008+0.01733083i, -0.00579884-0.00028067i, +0.00659494-0.01313391i, -0.00334111-0.00840903i, -0.02306276-0.00089507i, -0.00282315+0.00081943i, +0.00099787-0.00737443i, +0.00590168+0.00017991i, +0.00658639-0.01372363i, -0.00023185+0.00182764i, -0.00399246-0.00241044i, +0.00394555-0.00122214i, +0.00125583-0.01072057i, -0.00024811-0.00119527i, +0.00302089+0.00065120i, -0.01036016-0.00071876i, -0.01251194+0.02367056i, +0.00053215-0.00319634i, +0.00685248+0.00450877i, +0.00487848-0.00130608i, +0.00199381-0.01272665i, -0.00027092-0.00161821i, +0.00402319+0.00103204i, -0.00657571+0.00294605i, +0.00007836+0.01857647i, -0.00071895-0.00213020i, +0.00566755+0.00051997i, -0.00389073+0.00363959i, +0.00457836+0.01314859i, +0.00096073+0.00124725i, -0.00387182+0.00094489i, -0.01200919+0.00483030i, -0.00115351+0.03335178i, -0.00114217-0.00387397i, +0.01013750+0.00132823i, +0.00476030-0.00411875i, -0.00468788-0.01535671i, -0.00118419-0.00166732i, +0.00507318-0.00103141i, -0.00126808-0.00403361i, -0.01083214-0.00122260i, +0.00129061-0.00027359i, -0.00068999+0.00326768i, -0.00175564-0.00238054i, -0.00754594+0.00167523i, -0.00074992+0.00044926i, -0.00027097-0.00219635i, +0.00195357+0.00717572i, +0.01895452+0.00288763i, -0.00228696+0.00039281i, +0.00143557-0.00569601i, -0.00203209-0.00299171i, -0.00907641+0.00164854i, -0.00103058+0.00056428i, -0.00024944-0.00296387i
-0.00031062+0.00129653i, +0.00250936+0.00191609i, -0.00087915-0.00030197i, +0.00073660-0.00079412i, +0.00009463+0.00098568i, +0.00222497+0.00074050i, +0.00095484-0.00000000i, -0.00015529+0.00035057i, -0.00066320+0.00236014i, +0.00447414+0.00369964i, -0.00159384-0.00061754i, +0.00141009-0.00140662i, -0.00007061-0.00123933i, -0.00275115-0.00103577i, -0.00063080-0.00002448i, +0.00060806-0.00124043i, +0.00073031+0.00026804i, +0.00128082-0.00132421i, -0.00023469+0.00048901i, -0.00041022-0.00048081i, +0.00051538+0.00001077i, +0.00051764-0.00110557i, +0.00005775-0.00049299i, +0.00017283+0.00010210i, -0.00126527-0.00052091i, -0.00234142+0.00223998i, +0.00044583-0.00084344i, +0.00068819+0.00087302i, +0.00069160+0.00004133i, +0.00075283-0.00145783i, +0.00005453-0.00034809i, +0.00064814+0.00041763i, -0.00094464+0.00009471i, -0.00070095+0.00213619i, -0.00000279-0.00066193i, +0.00070652+0.00030941i, -0.00060407+0.00027761i, +0.00002171+0.00157422i, +0.00021065+0.00060498i, -0.00025729-0.00002112i, -0.00170230+0.00010420i, -0.00140709+0.00378580i, +0.00004110-0.00118841i, +0.00124671+0.00060463i, +0.00079807-0.00032991i, +0.00005112-0.00204442i, -0.00012822-0.00042003i, +0.00095405+0.00011572i, +0.00000929-0.00055702i, -0.00119716-0.00055438i, +0.00038598+0.00004356i, -0.00022856+0.00039065i, -0.00011408-0.00035108i, -0.00086958-0.00008973i, -0.00034700+0.00007704i, +0.00002835-0.00014093i, -0.00005433+0.00097835i, +0.00206625+0.00105600i, -0.00067540-0.00010289i, +0.00042836-0.00067100i, -0.00013491-0.00047746i, -0.00116319-0.00016583i, -0.00024825+0.00004509i, +0.00012981-0.00053668i
+0.00310520-0.00057096i, +0.00186212-0.00777251i, +0.00009318+0.00107913i, -0.00303980-0.00104411i, +0.00204346-0.00115027i, -0.00056727-0.00590899i, -0.00015529-0.00035057i, +0.00375262-0.00000000i, +0.00574632-0.00082767i, +0.00397580-0.01414870i, +0.00009426+0.00198948i, -0.00551099-0.00213525i, -0.00261569+0.00134156i, +0.00042332+0.00742958i, +0.00051010+0.00128383i, -0.00178182-0.00006915i, -0.00012009-0.00183837i, -0.00437812-0.00160686i, +0.00063173+0.00001926i, -0.00081148+0.00169083i, -0.00047098-0.00112624i, -0.00308961-0.00006459i, -0.00019175+0.00005939i, +0.00022686-0.00193665i, +0.00008567+0.00323920i, +0.00758511+0.00312275i, -0.00110898-0.00007694i, +0.00154154-0.00291634i, -0.00057383-0.00153712i, -0.00414606-0.00024779i, -0.00074481+0.00019940i, +0.00015404-0.00098326i, +0.00111109+0.00195451i, +0.00566296-0.00056777i, -0.00070388+0.00031536i, -0.00000965-0.00228872i, +0.00118047+0.00104169i, +0.00362134-0.00166424i, +0.00018853-0.00017636i, +0.00082771+0.00237709i, +0.00185832+0.00358592i, +0.01020504-0.00062466i, -0.00128550+0.00051705i, +0.00014212-0.00410912i, -0.00147976-0.00141158i, -0.00478430+0.00197774i, -0.00072677+0.00062882i, -0.00036218-0.00118645i, -0.00121499+0.00051413i, -0.00005572+0.00333927i, -0.00013574-0.00043177i, +0.00133458+0.00015063i, -0.00065076+0.00058373i, +0.00068387+0.00210468i, +0.00008532+0.00011569i, -0.00136316+0.00030263i, +0.00217047-0.00082072i, +0.00032570-0.00586509i, +0.00020912+0.00076811i, -0.00233530-0.00035577i, -0.00090441+0.00075004i, +0.00080876+0.00286228i, +0.00031025+0.00045675i, -0.00070124+0.00012737i
+0.01836290-0.00071267i, +0.01442336-0.03630124i, -0.00028997+0.00508925i, -0.01074124-0.00550905i, +0.00813597-0.00315231i, +0.00088059-0.01858579i, -0.00066320-0.00236014i, +0.00574632+0.00082767i, +0.03578180-0.00000000i, +0.03073902-0.06939374i, -0.00094050+0.00979679i, -0.02031019-0.01143267i, -0.01538359+0.00528393i, -0.00298405+0.03455796i, +0.00106479+0.00444442i, -0.01064442-0.00195723i, +0.00079737-0.01022570i, -0.01918686-0.01035285i, +0.00280238+0.00049123i, -0.00375143+0.00559663i, -0.00121915-0.00471485i, -0.01024579-0.00169506i, -0.00135140+0.00021438i, +0.00083197-0.00313171i, -0.00226519+0.01933715i, +0.03555574+0.02100497i, -0.00523485-0.00112846i, +0.00746420-0.01025229i, -0.00190456-0.00875332i, -0.01871184-0.00384660i, -0.00249930+0.00029765i, +0.00175265-0.00569704i, +0.00466899+0.01190117i, +0.02714901+0.00117156i, -0.00340991+0.00097373i, +0.00116217-0.00831713i, +0.00393225+0.00462410i, +0.01241208-0.00367322i, +0.00139887-0.00097563i, +0.00077078+0.00396461i, +0.00807884+0.02320164i, +0.05193660+0.00426403i, -0.00656479+0.00160209i, +0.00282753-0.01575084i, -0.00694257-0.00883681i, -0.02322583+0.00590421i, -0.00265792+0.00170446i, -0.00114127-0.00738978i, -0.00710330+0.00186874i, -0.00248331+0.01541381i, -0.00032771-0.00201089i, +0.00466835+0.00121913i, -0.00290151+0.00193477i, +0.00126637+0.00732828i, +0.00046322+0.00086346i, -0.00231386+0.00017482i, +0.01361093-0.00302168i, +0.00583260-0.02899232i, +0.00046956+0.00380601i, -0.00869122-0.00263370i, -0.00547128+0.00334931i, +0.00180494+0.01356043i, +0.00078985+0.00162016i, -0.00426557+0.00015627i
+0.01719347+0.03507418i, +0.10087767-0.00391510i, -0.01129747+0.00425333i, +0.00173835-0.03050929i, +0.01317311+0.01314063i, +0.04473008-0.01733083i, +0.00447414-0.00369964i, +0.00397580+0.01414870i, +0.03073902+0.06939374i, +0.19646992+0.00000000i, -0.02211429+0.00735990i, +0.00563813-0.05873032i, -0.02358887-0.02543074i, -0.08457617+0.02905008i, -0.00860191+0.00656823i, -0.00638323-0.02664365i, +0.02055976-0.00725353i, +0.00438039-0.05617546i, +0.00162420+0.00653892i, -0.01679984-0.00294484i, +0.00813989-0.00644916i, -0.00670264-0.02592140i, -0.00176034-0.00272047i, +0.00810147-0.00128520i, -0.03944765+0.01221893i, -0.01243766+0.10617601i, -0.00257748-0.01241694i, +0.03138214+0.00676494i, +0.01542198-0.01127350i, -0.01047095-0.04812419i, -0.00304161-0.00512607i, +0.01498297-0.00178438i, -0.01911005+0.01931960i, +0.02564935+0.06537975i, -0.00537884-0.00644929i, +0.02044190-0.00583735i, -0.00561970+0.01166067i, +0.02161877+0.02542244i, +0.00345414+0.00209311i, -0.00838600+0.00584877i, -0.03805603+0.03559958i, +0.04435913+0.12739506i, -0.00976531-0.01267765i, +0.03935498-0.00960431i, +0.01123354-0.02116852i, -0.03816898-0.04858317i, -0.00623980-0.00412022i, +0.01593386-0.01021799i, -0.00974699-0.01219625i, -0.03902239+0.01026606i, +0.00403973-0.00263824i, +0.00196455+0.01205502i, -0.00627832-0.00398625i, -0.01595199+0.01063702i, -0.00142529+0.00183113i, -0.00277694-0.00517629i, +0.01755286+0.02380066i, +0.07473459-0.01659139i, -0.00779049+0.00466712i, -0.00281496-0.02281645i, -0.01125579-0.00777498i, -0.03008013+0.01841391i, -0.00275045+0.00326412i, -0.00473502-0.00971263i
-0.00068354-0.00505146i, -0.01159314-0.00336494i, +0.00378551-0.00014692i, -0.00139147+0.00350210i, -0.00110010-0.00219086i, -0.00579884+0.00028067i, -0.00159384+0.00061754i, +0.00009426-0.00198948i, -0.00094050-0.00979679i, -0.02211429-0.00735990i, +0.00761579+0.00000000i, -0.00275227+0.00621328i, +0.00189088+0.00416068i, +0.01082237-0.00010359i, +0.00301366-0.00103513i, -0.00031942+0.00369919i, -0.00284465+0.00005089i, -0.00261817+0.00620811i, +0.00016438-0.00210803i, +0.00185102+0.00099877i, -0.00128594+0.00046757i, -0.00022097+0.00323279i, +0.00023883+0.00092364i, -0.00109674-0.00018145i, +0.00535392+0.00011193i, +0.00537741-0.01148509i, -0.00048212+0.00411566i, -0.00318365-0.00188078i, -0.00239703+0.00076770i, -0.00063679+0.00592642i, +0.00037311+0.00171478i, -0.00200297-0.00041175i, +0.00316238-0.00160467i, -0.00044137-0.00838633i, +0.00096251+0.00245342i, -0.00261915-0.00011302i, +0.00118771-0.00122394i, -0.00151096-0.00374556i, -0.00077033-0.00090586i, +0.00132863-0.00039319i, +0.00614010-0.00282177i, -0.00022067-0.01600110i, +0.00171949+0.00493820i, -0.00465031-0.00038179i, -0.00228511+0.00217899i, +0.00252632+0.00703769i, +0.00136006+0.00173114i, -0.00248617+0.00063201i, +0.00070429+0.00191182i, +0.00481502+0.00030872i, -0.00146434+0.00038524i, +0.00023957-0.00148702i, +0.00061903+0.00075956i, +0.00223834-0.00061183i, +0.00056841-0.00037902i, +0.00013556+0.00078444i, -0.00118507-0.00364716i, -0.00903354-0.00093212i, +0.00289691-0.00064313i, -0.00052225+0.00259596i, +0.00108365+0.00144030i, +0.00415793-0.00096493i, +0.00107183-0.00065613i, +0.00019321+0.00145155i
