+0.01594400-0.00000000i, -0.00067004-0.00065531i, -0.00008959+0.00203417i, +0.00011185-0.00003333i, +0.00039873+0.00032667i, -0.00029868-0.00058467i, +0.00032043-0.00066833i, +0.00018675+0.00057012i, -0.00022946-0.00031375i, +0.00041022-0.00089369i, +0.00036150+0.00023025i, +0.00108526+0.00021327i, -0.00110143+0.00017413i, +0.00061957-0.00049245i, +0.00069703-0.00032413i, -0.00069220+0.00046657i, +0.00053756+0.00012206i, -0.00040006-0.00114421i, -0.00072041-0.00033277i, -0.00067679-0.00004922i, +0.00027816+0.00037056i, -0.00076342+0.00029787i, +0.00041179-0.00044166i, -0.00078622-0.00059005i, +0.00048651-0.00035630i, -0.00129181+0.00120919i, -0.00031597+0.00037579i, -0.00105480-0.00006013i, -0.00022858-0.00021679i, -0.00129087-0.00089443i, +0.00010915-0.00015490i, +0.00027298-0.00071944i, +0.00084626-0.00043560i, -0.00034229+0.00118037i, -0.00004110-0.00065195i, +0.00023754-0.00028269i, +0.00095801-0.00056143i, -0.00063877+0.00025945i, -0.00079265-0.00195398i, +0.00026144-0.00149362i, +0.00008225+0.00053004i, +0.00017676+0.00019636i, +0.00089211-0.00004198i, -0.00010803-0.00031777i, -0.00024884-0.00005403i, -0.00073382-0.00083861i, -0.00066232-0.00058997i, +0.00056569-0.00024598i, -0.00016673+0.00016822i, +0.00037479+0.00099094i, -0.00036321-0.00008123i, +0.00006292-0.00107049i, +0.00026111+0.00040826i, +0.00030099-0.00014286i, +0.00034274-0.00051101i, -0.00034582-0.00000058i, -0.00037520-0.00018022i, +0.00053162+0.00120184i, +0.00049238+0.00098217i, -0.00096567+0.00009149i, +0.00085882+0.00109743i, -0.00161716-0.00036681i, +0.00043760-0.00019876i, +0.00189013+0.00052514i
-0.00067004+0.00065531i, +0.01561507+0.00000000i, -0.00091670+0.00006692i, +0.00071682-0.00029452i, +0.00017127+0.00005648i, +0.00046568+0.00001686i, +0.00000637+0.00064027i, -0.00071140+0.00027030i, +0.00034523-0.00039855i, +0.00063516+0.00019508i, -0.00026515+0.00023127i, -0.00020105+0.00037478i, -0.00004090-0.00035513i, -0.00009073+0.00033195i, +0.00007536+0.00006729i, -0.00018079-0.00061733i, +0.00014253+0.00040431i, +0.00039416+0.00013898i, -0.00040929-0.00039508i, -0.00005535-0.00071824i, -0.00049978+0.00014832i, -0.00032197-0.00014542i, +0.00035270+0.00009081i, +0.00008155-0.00036737i, +0.00008729+0.00037000i, -0.00051854-0.00075310i, -0.00001441-0.00005694i, -0.00009437-0.00057302i, -0.00018411-0.00027457i, +0.00046021-0.00096605i, +0.00022608+0.00019093i, +0.00043327+0.00020942i, +0.00005745+0.00040448i, -0.00052303-0.00068227i, +0.00031733+0.00010419i, +0.00036695+0.00010335i, -0.00006775+0.00020594i, +0.00024370-0.00043109i, +0.00073757-0.00020454i, +0.00053900+0.00003609i, +0.00009300+0.00023131i, +0.00007167+0.00002857i, +0.00008894+0.00029228i, -0.00013495+0.00012824i, -0.00018888+0.00000994i, +0.00036817-0.00035684i, +0.00033738-0.00004618i, +0.00014771+0.00032333i, +0.00006086-0.00029845i, -0.00015102-0.00008188i, +0.00015100-0.00016538i, +0.00041944+0.00038719i, -0.00015244-0.00005855i, -0.00027728+0.00033900i, +0.00018725+0.00010907i, -0.00031553-0.00028092i, +0.00029728-0.00004388i, -0.00102587-0.00025403i, -0.00003703+0.00028513i, -0.00018037-0.00035268i, -0.00028758+0.00018812i, +0.00037417-0.00081639i, -0.00002784+0.00012714i, -0.00049993+0.00070782i
-0.00008959-0.00203417i, -0.00091670-0.00006692i, +0.01660769-0.00000000i, -0.00032018+0.00014404i, -0.00118673-0.00057533i, -0.00034420-0.00027317i, -0.00060861-0.00073646i, +0.00118894+0.00041877i, -0.00107927+0.00018605i, -0.00115414-0.00091648i, +0.00030084-0.00044970i, -0.00003721-0.00197177i, +0.00064146+0.00141766i, -0.00062048-0.00070109i, -0.00029488-0.00100987i, +0.00072615+0.00100432i, -0.00028047-0.00098281i, -0.00153170+0.00065756i, -0.00080126+0.00129919i, -0.00028305+0.00106261i, +0.00071702-0.00053020i, +0.00042833+0.00086704i, -0.00082007-0.00053062i, -0.00079943+0.00105327i, -0.00019389-0.00046192i, +0.00166953+0.00162601i, +0.00039790+0.00002215i, +0.00012577+0.00127052i, +0.00021243+0.00044574i, -0.00153628+0.00142532i, -0.00027799-0.00013881i, -0.00095289-0.00054173i, +0.00011126-0.00141200i, +0.00195743+0.00069342i, -0.00110744-0.00092290i, -0.00003011+0.00013404i, -0.00025958-0.00092816i, +0.00003982+0.00067744i, -0.00317373+0.00092202i, -0.00183128-0.00014835i, +0.00077900+0.00025656i, -0.00015187-0.00038606i, +0.00002813-0.00126169i, -0.00039156+0.00038899i, -0.00009884+0.00055522i, -0.00091935+0.00052408i, -0.00107052+0.00078014i, +0.00002991-0.00073964i, +0.00041955+0.00092358i, +0.00165157-0.00014872i, -0.00012162+0.00093880i, -0.00085196-0.00013027i, +0.00064278-0.00054823i, +0.00016711-0.00024098i, -0.00069517-0.00022444i, +0.00005978+0.00039092i, +0.00032769+0.00010228i, +0.00129225-0.00057485i, +0.00078498-0.00028975i, +0.00029380+0.00133659i, +0.00090707-0.00071103i, -0.00065178+0.00190804i, -0.00058710-0.00063465i, +0.00056100-0.00275957i
+0.00011185+0.00003333i, +0.00071682+0.00029452i, -0.00032018-0.00014404i, +0.01497440-0.00000000i, +0.00033824+0.00004627i, +0.00002614-0.00004659i, +0.00016574+0.00023984i, -0.00002680-0.00088599i, +0.00014762-0.00007995i, +0.00035700+0.00024365i, -0.00011199-0.00002155i, -0.00022591+0.00052099i, -0.00024036-0.00008573i, -0.00008902-0.00018387i, +0.00006842-0.00005020i, +0.00007153-0.00025555i, +0.00005858-0.00013207i, +0.00036912-0.00009462i, +0.00000086-0.00028222i, -0.00018350+0.00003431i, +0.00015224-0.00000146i, -0.00040915-0.00019095i, +0.00044618+0.00017007i, +0.00012544-0.00020462i, -0.00002225+0.00009211i, -0.00033189-0.00055158i, +0.00007246-0.00016812i, -0.00001822-0.00057965i, -0.00017447-0.00028223i, +0.00038220-0.00011638i, +0.00003069+0.00003142i, +0.00043759+0.00002417i, -0.00001100+0.00028035i, -0.00030647+0.00016190i, +0.00025739+0.00014893i, -0.00015447-0.00061675i, +0.00031867+0.00004561i, +0.00014743-0.00010901i, +0.00075399-0.00022928i, +0.00011603-0.00015271i, -0.00006156+0.00016491i, -0.00013014-0.00026382i, +0.00024211+0.00049218i, +0.00010703+0.00029110i, +0.00021217-0.00023274i, +0.00025800-0.00018928i, +0.00030778-0.00041480i, +0.00022710-0.00000366i, -0.00018355-0.00014676i, +0.00003725-0.00001370i, +0.00022010-0.00039497i, +0.00068729+0.00011728i, -0.00013855+0.00026311i, +0.00005757-0.00003584i, +0.00022821+0.00033601i, +0.00008157-0.00001940i, -0.00005173-0.00022646i, -0.00045671+0.00018026i, -0.00016070+0.00013020i, -0.00008512-0.00026352i, +0.00001527+0.00002150i, +0.00024098-0.00062468i, +0.00009691+0.00006773i, -0.00023534+0.00029357i
+0.00039873-0.00032667i, +0.00017127-0.00005648i, -0.00118673+0.00057533i, +0.00033824-0.00004627i, +0.01434600-0.00000000i, -0.00023473+0.00005603i, +0.00027267-0.00039798i, -0.00004469-0.00000434i, +0.00055306-0.00041715i, +0.00049955+0.00004402i, -0.00014141+0.00027775i, +0.00037018+0.00058210i, -0.00052098-0.00006045i, +0.00034338-0.00031912i, +0.00027541+0.00015804i, -0.00033915-0.00042876i, +0.00032542+0.00024306i, +0.00036279-0.00020379i, -0.00006800-0.00033795i, -0.00006547-0.00012199i, -0.00009266+0.00045317i, -0.00038923-0.00011723i, +0.00025604+0.00015996i, +0.00030591-0.00085220i, -0.00018225-0.00000941i, -0.00061195-0.00032390i, -0.00028139+0.00003253i, -0.00012404-0.00038123i, -0.00018036-0.00004947i, +0.00043151-0.00050270i, +0.00025963-0.00008946i, +0.00023929-0.00021693i, -0.00020345+0.00058905i, -0.00089315+0.00017620i, +0.00049548-0.00026827i, +0.00009630-0.00030103i, +0.00030077-0.00031117i, -0.00020769-0.00030477i, +0.00040328-0.00087355i, +0.00057856-0.00034096i, -0.00015240+0.00001309i, +0.00017427+0.00000566i, +0.00005686+0.00020311i, -0.00004458-0.00018112i, +0.00005683-0.00011877i, -0.00023975-0.00012716i, +0.00005021-0.00053329i, +0.00024824+0.00035865i, -0.00033807-0.00031967i, -0.00056086+0.00033464i, -0.00005553-0.00059479i, +0.00021504-0.00019148i, +0.00001999+0.00016408i, -0.00024979+0.00013219i, +0.00043732-0.00015989i, -0.00044831+0.00000607i, -0.00007780-0.00005112i, -0.00033089+0.00049119i, -0.00020709+0.00036184i, -0.00025099-0.00028742i, +0.00025348+0.00047996i, -0.00022664-0.00073889i, +0.00040961+0.00003976i, +0.00050407+0.00099351i
-0.00029868+0.00058467i, +0.00046568-0.00001686i, -0.00034420+0.00027317i, +0.00002614+0.00004659i, -0.00023473-0.00005603i, +0.01461859-0.00000000i, -0.00015022+0.00019912i, -0.00045438+0.00014436i, -0.00001497-0.00010342i, +0.00028545+0.00035015i, -0.00050447+0.00032559i, -0.00043535+0.00032252i, +0.00013278-0.00040922i, -0.00010202+0.00019190i, +0.00014134+0.00031803i, +0.00012853-0.00044311i, -0.00012305+0.00015716i, +0.00027217-0.00001051i, +0.00004785+0.00006059i, +0.00009662+0.00011574i, +0.00017563+0.00020113i, -0.00020236+0.00034956i, +0.00033638+0.00024939i, +0.00028715-0.00009404i, +0.00010837+0.00005626i, -0.00047798-0.00049092i, -0.00011643-0.00000323i, +0.00026990+0.00009577i, +0.00000132-0.00024365i, +0.00041558-0.00011501i, -0.00025606+0.00018890i, +0.00027113+0.00062827i, -0.00009866+0.00033773i, -0.00044960-0.00018329i, +0.00006698+0.00009492i, -0.00009531+0.00015987i, -0.00014586+0.00023842i, +0.00000316-0.00056191i, +0.00026945+0.00019831i, +0.00049159+0.00008699i, -0.00019922-0.00004569i, +0.00018415-0.00025074i, -0.00004010+0.00001103i, -0.00003640-0.00002639i, +0.00018557+0.00022688i, +0.00035299-0.00038739i, +0.00013288-0.00031558i, +0.00015386+0.00009734i, +0.00003768+0.00001883i, -0.00013343-0.00019890i, +0.00010787-0.00013415i, +0.00026206+0.00009759i, -0.00026584-0.00019190i, +0.00057033+0.00004595i, -0.00001684+0.00001883i, +0.00006681+0.00003288i, -0.00012850+0.00005973i, -0.00035066-0.00015827i, -0.00036254+0.00000938i, +0.00017477-0.00043578i, -0.00038695-0.00006270i, +0.00034613-0.00024978i, -0.00010479+0.00015741i, -0.00021767+0.00038291i
+0.00032043+0.00066833i, +0.00000637-0.00064027i, -0.00060861+0.00073646i, +0.00016574-0.00023984i, +0.00027267+0.00039798i, -0.00015022-0.00019912i, +0.01444598+0.00000000i, +0.00042057+0.00035189i, +0.00029393-0.00014627i, +0.00021108-0.00038541i, -0.00017663+0.00050007i, +0.00023977+0.00100644i, -0.00040091-0.00044638i, +0.00030948+0.00023296i, +0.00030575-0.00000953i, -0.00068823-0.00016983i, +0.00017210+0.00021853i, +0.00004363-0.00036538i, -0.00009349-0.00052295i, -0.00029479-0.00041724i, -0.00003973+0.00013742i, -0.00013912-0.00028524i, +0.00030516+0.00019184i, +0.00027273-0.00023009i, +0.00015126+0.00022682i, -0.00064425-0.00016220i, +0.00013101+0.00010276i, -0.00046528-0.00050343i, +0.00002102-0.00025028i, +0.00003162-0.00063083i, +0.00020527-0.00000449i, +0.00026203-0.00021121i, +0.00030249+0.00021358i, -0.00075547+0.00052101i, +0.00051856-0.00020263i, +0.00034037-0.00013513i, +0.00042630+0.00028529i, -0.00017983-0.00021878i, +0.00078593-0.00126669i, +0.00079341-0.00060627i, -0.00030416+0.00018368i, +0.00020908-0.00002003i, +0.00028677+0.00054831i, +0.00012340-0.00012312i, +0.00008298-0.00011985i, -0.00007306-0.00055629i, +0.00035212-0.00073909i, +0.00017132+0.00027879i, -0.00012645-0.00009567i, -0.00017460+0.00056607i, +0.00008390-0.00025049i, +0.00042494-0.00057135i, -0.00020419+0.00011974i, +0.00012765+0.00014579i, +0.00087420+0.00008331i, -0.00034091-0.00008976i, +0.00002130+0.00007147i, -0.00021917+0.00064861i, -0.00008680+0.00029924i, -0.00009863-0.00019547i, -0.00026709+0.00043831i, -0.00006132-0.00088197i, +0.00028867+0.00034986i, +0.00061882+0.00112507i
+0.00018675-0.00057012i, -0.00071140-0.00027030i, +0.00118894-0.00041877i, -0.00002680+0.00088599i, -0.00004469+0.00000434i, -0.00045438-0.00014436i, +0.00042057-0.00035189i, +0.01516499+0.00000000i, -0.00012103-0.00001842i, -0.00064130-0.00059573i, +0.00028143+0.00017269i, +0.00013175-0.00050742i, +0.00005765+0.00058994i, -0.00002518-0.00016583i, -0.00020837-0.00020428i, +0.00008676+0.00051179i, +0.00033663-0.00070312i, -0.00053987+0.00029185i, -0.00034993+0.00044459i, -0.00033431+0.00042894i, +0.00008426+0.00012459i, +0.00031353+0.00048997i, -0.00029924-0.00043317i, -0.00024618+0.00060439i, +0.00018307-0.00020748i, +0.00063415+0.00032752i, -0.00010545-0.00002876i, -0.00000282+0.00071597i, +0.00016650+0.00022347i, -0.00059203+0.00053501i, -0.00005870+0.00017199i, -0.00037335+0.00006343i, +0.00010620-0.00034411i, +0.00088993+0.00059665i, -0.00030475-0.00014528i, +0.00015649-0.00024397i, +0.00013668-0.00070225i, -0.00006177+0.00046683i, -0.00118296+0.00020004i, -0.00052613-0.00051482i, +0.00024248+0.00026760i, +0.00007122-0.00025888i, +0.00007916-0.00028261i, +0.00002662+0.00062290i, +0.00019705+0.00023317i, -0.00041796+0.00052511i, -0.00016612+0.00060083i, -0.00005973-0.00005532i, -0.00010881+0.00027957i, +0.00044187-0.00010197i, +0.00006033+0.00027516i, +0.00007005-0.00009823i, +0.00018183-0.00009121i, +0.00016622-0.00038419i, -0.00032392-0.00009732i, +0.00038532-0.00012267i, -0.00028922+0.00013317i, +0.00093924-0.00036896i, +0.00040400-0.00053841i, +0.00022199+0.00024068i, +0.00059414-0.00008171i, -0.00026127+0.00084639i, +0.00019354-0.00032912i, +0.00066364-0.00091173i
-0.00022946+0.00031375i, +0.00034523+0.00039855i, -0.00107927-0.00018605i, +0.00014762+0.00007995i, +0.00055306+0.00041715i, -0.00001497+0.00010342i, +0.00029393+0.00014627i, -0.00012103+0.00001842i, +0.01471267-0.00000000i, -0.00016260+0.00074983i, -0.00023465+0.00028959i, -0.00027139+0.00102124i, -0.00035186-0.00032260i, +0.00006711+0.00033069i, +0.00052005+0.00017561i, -0.00045606-0.00064303i, -0.00011082+0.00039054i, +0.00053592-0.00012257i, +0.00047590-0.00029988i, -0.00005283-0.00050978i, -0.00064682+0.00006493i, -0.00022675-0.00019628i, +0.00035202+0.00057236i, +0.00064562-0.00033426i, +0.00008421-0.00022387i, -0.00030750-0.00053801i, +0.00010054-0.00002496i, +0.00033144-0.00076668i, +0.00006416-0.00005640i, +0.00056882-0.00010914i, +0.00015054+0.00030616i, +0.00038660+0.00019242i, -0.00005581+0.00067349i, -0.00061727-0.00038486i, +0.00041575+0.00007086i, -0.00000023-0.00003444i, +0.00011345+0.00076061i, -0.00013384-0.00002768i, +0.00113206-0.00019167i, +0.00057664+0.00014527i, -0.00018160-0.00061705i, -0.00004415+0.00019934i, -0.00037979+0.00047982i, +0.00013666-0.00004795i, -0.00010823-0.00037187i, +0.00020074-0.00013463i, +0.00037038+0.00016670i, -0.00010885+0.00030438i, -0.00045061-0.00019813i, -0.00052338+0.00035176i, +0.00001647-0.00040827i, +0.00055358+0.00031258i, -0.00019066+0.00002031i, -0.00053821-0.00001164i, +0.00040066+0.00016775i, -0.00005549-0.00026201i, -0.00043499-0.00015818i, -0.00056870+0.00025586i, -0.00048316+0.00027579i, -0.00000740-0.00033176i, -0.00067487-0.00002990i, +0.00004591-0.00094425i, +0.00010147+0.00021023i, -0.00039384+0.00078942i
+0.00041022+0.00089369i, +0.00063516-0.00019508i, -0.00115414+0.00091648i, +0.00035700-0.00024365i, +0.00049955-0.00004402i, +0.00028545-0.00035015i, +0.00021108+0.00038541i, -0.00064130+0.00059573i, -0.00016260-0.00074983i, +0.01578988-0.00000000i, -0.00011119+0.00018476i, +0.00095238+0.00044025i, -0.00080736-0.00005489i, +0.00055229+0.00090666i, +0.00052787-0.00016244i, -0.00104354-0.00021298i, +0.00050355+0.00053360i, -0.00001483-0.00085947i, +0.00003018-0.00050655i, -0.00025784-0.00030154i, -0.00004386+0.00053911i, -0.00070884-0.00021341i, +0.00056922+0.00000833i, -0.00005192-0.00100675i, -0.00002906+0.00049397i, -0.00164279-0.00022183i, -0.00010540+0.00007832i, -0.00039777-0.00051440i, -0.00027490-0.00006947i, +0.00052032-0.00107878i, +0.00015780-0.00009594i, +0.00051649-0.00074353i, +0.00022867+0.00097757i, -0.00097286+0.00057659i, +0.00028411-0.00022018i, +0.00001243-0.00001988i, +0.00071402+0.00084503i, -0.00003730-0.00000595i, +0.00082873-0.00133326i, +0.00078735-0.00071912i, -0.00072611+0.00026157i, +0.00027294-0.00052927i, +0.00036664+0.00068028i, +0.00039155+0.00002741i, -0.00007511-0.00011492i, +0.00041837-0.00105265i, +0.00018458-0.00070029i, +0.00030704+0.00018614i, -0.00012442-0.00044684i, -0.00118283+0.00075580i, -0.00023690-0.00068238i, +0.00080704-0.00022753i, -0.00043537+0.00031171i, +0.00035881+0.00021748i, +0.00047741-0.00018013i, -0.00027978-0.00011501i, -0.00032696+0.00011951i, -0.00060303+0.00040799i, -0.00043584+0.00047786i, -0.00047875-0.00064382i, -0.00074043+0.00076503i, -0.00024268-0.00103560i, +0.00051325+0.00019244i, +0.00079053+0.00130415i
+0.00036150-0.00023025i, -0.00026515-0.00023127i, +0.00030084+0.00044970i, -0.00011199+0.00002155i, -0.00014141-0.00027775i, -0.00050447-0.00032559i, -0.00017663-0.00050007i, +0.00028143-0.00017269i, -0.00023465-0.00028959i, -0.00011119-0.00018476i, +0.01410588-0.00000000i, +0.00061091-0.00001798i, -0.00068990+0.00007294i, +0.00020887+0.00008169i, +0.00013624-0.00090867i, -0.00002050+0.00021404i, +0.00031684+0.00012627i, -0.00008188-0.00005413i, -0.00032444+0.00007929i, -0.00046624-0.00006608i, +0.00028517-0.00011653i, -0.00002875+0.00040256i, -0.00003828-0.00018189i, -0.00036868-0.00012408i, +0.00008680-0.00031338i, +0.00010948+0.00040453i, -0.00009577-0.00023169i, -0.00020145+0.00008937i, +0.00023807+0.00012195i, -0.00043842+0.00003569i, -0.00005771-0.00000488i, +0.00005859-0.00034928i, +0.00028036-0.00012948i, +0.00017654+0.00029203i, +0.00005733+0.00009192i, -0.00010825-0.00023967i, +0.00000383-0.00011736i, -0.00032787+0.00013571i, -0.00063848-0.00033433i, -0.00021620-0.00050473i, +0.00000764-0.00021455i, +0.00029646+0.00009244i, -0.00007192-0.00063943i, +0.00000412-0.00005607i, +0.00000617-0.00006881i, -0.00018927+0.00026775i, -0.00032982+0.00036687i, +0.00018709-0.00039099i, -0.00020413+0.00026370i, +0.00018248+0.00021825i, -0.00087263+0.00023487i, -0.00003858-0.00009928i, -0.00023274+0.00012152i, -0.00007101-0.00019916i, -0.00024848-0.00004728i, +0.00019970+0.00011075i, -0.00004061-0.00005115i, +0.00027144+0.00005425i, -0.00016180-0.00011199i, -0.00030071+0.00015710i, +0.00026637+0.00012140i, -0.00041364-0.00019835i, +0.00034099-0.00003844i, +0.00065197-0.00004716i
