+0.01761138-0.00000000i, -0.00054178+0.00096937i, +0.00125697-0.00097427i, +0.00016162+0.00103086i, +0.00014299-0.00034168i, +0.00033670+0.00048847i, +0.00087484+0.00075835i, +0.00058561+0.00031640i, +0.00008961-0.00167234i, +0.00059538+0.00068407i, +0.00003002-0.00087857i, +0.00064951-0.00069505i, +0.00004638-0.00006852i, +0.00070000-0.00069542i, -0.00111776-0.00119609i, +0.00033597+0.00008683i, +0.00197533+0.00061882i, -0.00001961+0.00047125i, +0.00055108+0.00053347i, +0.00017881+0.00004762i, +0.00093696+0.00026890i, +0.00018464+0.00107374i, -0.00033927+0.00067858i, -0.00017501-0.00037329i, -0.00004199+0.00025715i, +0.00044914+0.00012574i, +0.00062767-0.00044671i, +0.00071698+0.00009933i, +0.00038696+0.00135644i, -0.00174196+0.00098521i, -0.00093030+0.00036958i, -0.00027066+0.00060229i, +0.00078431-0.00101393i, +0.00098175+0.00026119i, -0.00076964-0.00040466i, +0.00089355-0.00013749i, -0.00022085+0.00033567i, +0.00132752+0.00036653i, +0.00007649+0.00026593i, +0.00130915-0.00080772i, +0.00059890-0.00045445i, -0.00076037+0.00026201i, -0.00067611-0.00030670i, -0.00067468+0.00003616i, +0.00053229-0.00054179i, -0.00056511-0.00032139i, +0.00113207+0.00016549i, +0.00049082+0.00032248i, +0.00098646+0.00005493i, -0.00008842+0.00017082i, -0.00067025-0.00055430i, +0.00019423+0.00120534i, +0.00126031+0.00039806i, -0.00024192+0.00011480i, +0.00021069+0.00034629i, -0.00001165-0.00068443i, +0.00015259+0.00027300i, +0.00042532-0.00021938i, +0.00047430+0.00123172i, -0.00024588-0.00087341i, -0.00010194-0.00036555i, -0.00065365-0.00076174i, -0.00118301+0.00044111i, +0.00061742+0.00059857i
-0.00054178-0.00096937i, +0.01642488+0.00000000i, -0.00055143-0.00015295i, +0.00043966-0.00087615i, -0.00001608-0.00011596i, -0.00016406-0.00041095i, +0.00018855-0.00055709i, -0.00071756-0.00022947i, -0.00034661+0.00057311i, -0.00028090-0.00073251i, -0.00051138+0.00026429i, -0.00064102+0.00057280i, -0.00020392-0.00037648i, -0.00033636+0.00022882i, +0.00043739+0.00074322i, +0.00005658-0.00008037i, -0.00063578-0.00049362i, +0.00040313-0.00011756i, -0.00025849-0.00049235i, +0.00004460-0.00030852i, -0.00030449-0.00021990i, +0.00043471-0.00055248i, +0.00032410-0.00015680i, -0.00030382+0.00044269i, -0.00004584+0.00010146i, -0.00042402-0.00032151i, -0.00012136-0.00010920i, -0.00043387-0.00014786i, +0.00029227-0.00069747i, +0.00142757+0.00009975i, +0.00042631+0.00011643i, +0.00003316-0.00007223i, -0.00064867-0.00015773i, -0.00014676-0.00110149i, -0.00016706+0.00056189i, -0.00063464-0.00003507i, +0.00017498-0.00013789i, -0.00048985-0.00040453i, -0.00001728-0.00015531i, -0.00120537+0.00025483i, -0.00058254-0.00002662i, +0.00019010-0.00003727i, +0.00065673+0.00026940i, +0.00019282+0.00020432i, -0.00050853+0.00001039i, +0.00025223+0.00019681i, -0.00046150-0.00038134i, -0.00029291-0.00016124i, -0.00028567+0.00000165i, +0.00050105-0.00004068i, +0.00016100+0.00047218i, +0.00030790-0.00082081i, -0.00058214-0.00031081i, +0.00023976-0.00017604i, -0.00005137-0.00022319i, -0.00033254+0.00055522i, -0.00012834-0.00005423i, -0.00059919+0.00031902i, +0.00014549-0.00086823i, -0.00011907+0.00025622i, +0.00023284+0.00032959i, +0.00036043+0.00078804i, +0.00056158-0.00010566i, -0.00005348-0.00023065i
+0.00125697+0.00097427i, -0.00055143+0.00015295i, +0.01592528-0.00000000i, +0.00008773+0.00039906i, +0.00007559-0.00035775i, -0.00026914+0.00019426i, -0.00007403+0.00070546i, -0.00000490+0.00040375i, +0.00044662-0.00027575i, +0.00010648+0.00028659i, +0.00051921-0.00046781i, +0.00070266-0.00009495i, -0.00023604+0.00033971i, +0.00041205-0.00018226i, -0.00000324-0.00076448i, +0.00032267-0.00016886i, +0.00018437+0.00061276i, -0.00045168+0.00028005i, +0.00053821+0.00041797i, -0.00015828+0.00017390i, +0.00018423+0.00033968i, -0.00035167+0.00046814i, -0.00050987+0.00005646i, +0.00004166-0.00014126i, -0.00015075+0.00049400i, +0.00014934+0.00027329i, -0.00007428-0.00012850i, +0.00012078+0.00021520i, -0.00053980+0.00062991i, -0.00085498-0.00003726i, -0.00072869-0.00032696i, -0.00031556+0.00029519i, +0.00025278-0.00014333i, +0.00017307+0.00036506i, -0.00005000-0.00099852i, +0.00045616+0.00025133i, -0.00024420+0.00011124i, +0.00004592+0.00047084i, +0.00002234-0.00003861i, +0.00074744+0.00018775i, +0.00039351+0.00021596i, -0.00043532-0.00018197i, -0.00027977-0.00022421i, -0.00015499-0.00041294i, +0.00048818-0.00033288i, -0.00016837-0.00035411i, +0.00022819+0.00026752i, -0.00007949+0.00031383i, +0.00034341+0.00016908i, -0.00014021-0.00009088i, +0.00029207-0.00046179i, -0.00014647+0.00058261i, +0.00044670+0.00048668i, -0.00023231+0.00008224i, -0.00035310+0.00005807i, +0.00030465-0.00037562i, -0.00002543+0.00007548i, +0.00016650+0.00003987i, -0.00026563+0.00079152i, +0.00015475-0.00048689i, +0.00001127+0.00003539i, -0.00000394-0.00061758i, -0.00061751-0.00010561i, +0.00002235+0.00034317i
+0.00016162-0.00103086i, +0.00043966+0.00087615i, +0.00008773-0.00039906i, +0.01612769-0.00000000i, +0.00010549-0.00023386i, +0.00025619+0.00002091i, +0.00057569+0.00002957i, +0.00044754-0.00048822i, -0.00035994-0.00018560i, -0.00001594-0.00026475i, -0.00057447-0.00043890i, -0.00023469-0.00032359i, +0.00014167-0.00004584i, -0.00020852-0.00030014i, -0.00070478-0.00003123i, -0.00014508-0.00023228i, +0.00035615-0.00057831i, +0.00047705+0.00000649i, +0.00017933+0.00003086i, +0.00038634-0.00001226i, +0.00015139-0.00048242i, +0.00056354+0.00013553i, +0.00037275+0.00017215i, -0.00033644+0.00016447i, -0.00007286+0.00022997i, +0.00010706-0.00030498i, -0.00010381-0.00013522i, -0.00013288-0.00043513i, +0.00056468-0.00004432i, +0.00048879+0.00097083i, +0.00014721+0.00040390i, -0.00017733-0.00010671i, -0.00010464-0.00047884i, +0.00016987-0.00051804i, -0.00019046-0.00009118i, +0.00022837-0.00092892i, +0.00009202+0.00001852i, +0.00050773-0.00043282i, +0.00020295-0.00008576i, -0.00007229-0.00065026i, -0.00009720-0.00029475i, +0.00000353+0.00012798i, -0.00028433+0.00035222i, -0.00019704+0.00013641i, -0.00002627-0.00045074i, -0.00011851+0.00026007i, +0.00006557-0.00043225i, +0.00026973-0.00000667i, -0.00005246-0.00016912i, -0.00001043+0.00001319i, +0.00000945+0.00007552i, +0.00088719+0.00007002i, +0.00041859-0.00030058i, +0.00013211-0.00000765i, -0.00000253-0.00007546i, -0.00048237-0.00014586i, +0.00008099+0.00016098i, +0.00002540-0.00018578i, +0.00073689+0.00005930i, -0.00068274+0.00028205i, -0.00004633+0.00041187i, -0.00048519+0.00033173i, +0.00012483+0.00018557i, -0.00016542-0.00022870i
+0.00014299+0.00034168i, -0.00001608+0.00011596i, +0.00007559+0.00035775i, +0.00010549+0.00023386i, +0.01510748-0.00000000i, +0.00049733+0.00059082i, -0.00026571+0.00031454i, +0.00018018-0.00021514i, +0.00003015+0.00006046i, +0.00020324+0.00042989i, -0.00039175+0.00008266i, +0.00027579-0.00012002i, -0.00020625-0.00007168i, +0.00038316-0.00000472i, -0.00001086-0.00000658i, +0.00004395+0.00023295i, -0.00016920+0.00037268i, -0.00000999+0.00010708i, -0.00006694+0.00019934i, +0.00024456+0.00016716i, +0.00034008+0.00002143i, -0.00016206-0.00006616i, -0.00012083+0.00001042i, +0.00010831+0.00009583i, +0.00008941+0.00003447i, +0.00001675+0.00022836i, -0.00001419+0.00007924i, +0.00006360+0.00012233i, +0.00004446+0.00024102i, -0.00014380+0.00006437i, -0.00021048+0.00001811i, -0.00015278-0.00009552i, +0.00016796+0.00009316i, -0.00012152+0.00010494i, +0.00002711-0.00000712i, -0.00011011+0.00000426i, +0.00004835-0.00051207i, +0.00031093+0.00015334i, -0.00022473+0.00009915i, -0.00001043+0.00000537i, +0.00025743-0.00006506i, +0.00002275-0.00001511i, -0.00008035-0.00015469i, -0.00017298-0.00023239i, +0.00011960-0.00019397i, +0.00003605-0.00017747i, +0.00004365+0.00016034i, +0.00002516-0.00001686i, +0.00024664+0.00025739i, -0.00005020-0.00006066i, -0.00010067+0.00017808i, -0.00006957-0.00000851i, +0.00013310+0.00015348i, -0.00015017+0.00011392i, -0.00007330+0.00008851i, +0.00004145-0.00013959i, -0.00010231-0.00007731i, +0.00006386-0.00015814i, -0.00000673+0.00027682i, +0.00008016-0.00008286i, -0.00008072-0.00022073i, +0.00004560-0.00015712i, -0.00000789-0.00019786i, -0.00020825+0.00019481i
+0.00033670-0.00048847i, -0.00016406+0.00041095i, -0.00026914-0.00019426i, +0.00025619-0.00002091i, +0.00049733-0.00059082i, +0.01546592-0.00000000i, +0.00046663+0.00024409i, -0.00027516+0.00048709i, +0.00003922-0.00030759i, +0.00009791+0.00004123i, -0.00017759-0.00019739i, -0.00012604-0.00036125i, -0.00017641-0.00026428i, -0.00010175-0.00035671i, -0.00029581+0.00008987i, -0.00001951-0.00021504i, +0.00036161-0.00025623i, +0.00005707+0.00018502i, +0.00000535-0.00014163i, -0.00001300+0.00005667i, +0.00021177-0.00015167i, +0.00032212+0.00035778i, +0.00005597+0.00030002i, +0.00006407-0.00005078i, +0.00010960-0.00006032i, +0.00041075-0.00015140i, +0.00009258-0.00000819i, +0.00026510-0.00015381i, +0.00033162+0.00025397i, +0.00001190+0.00071770i, -0.00022586+0.00029461i, +0.00030390-0.00000792i, +0.00005425-0.00024347i, +0.00035546-0.00002013i, -0.00028184-0.00005841i, -0.00007196-0.00018584i, +0.00004086-0.00006904i, +0.00045905-0.00055998i, +0.00004875-0.00015477i, -0.00001581-0.00044744i, +0.00016691-0.00033198i, -0.00013671+0.00024317i, -0.00018609+0.00017166i, -0.00013078+0.00019018i, -0.00008119-0.00013504i, -0.00001156+0.00016688i, +0.00024294-0.00007036i, +0.00011588-0.00022679i, +0.00006796+0.00001366i, +0.00021531+0.00022715i, -0.00013436+0.00004386i, +0.00026532+0.00024464i, +0.00025418-0.00010421i, +0.00026576+0.00021716i, +0.00013216-0.00000154i, -0.00011732-0.00009541i, +0.00025329+0.00001883i, +0.00012541-0.00048813i, +0.00044286+0.00015636i, -0.00047242+0.00001313i, -0.00003112+0.00013218i, -0.00014534-0.00041094i, -0.00019738+0.00018817i, +0.00023285+0.00030380i
+0.00087484-0.00075835i, +0.00018855+0.00055709i, -0.00007403-0.00070546i, +0.00057569-0.00002957i, -0.00026571-0.00031454i, +0.00046663-0.00024409i, +0.01597582+0.00000000i, +0.00038212-0.00033559i, -0.00057740-0.00006441i, +0.00042331-0.00019816i, -0.00006221-0.00059413i, -0.00025600-0.00041434i, -0.00012871-0.00028300i, -0.00035876-0.00032748i, -0.00099628+0.00050364i, +0.00014434-0.00000482i, +0.00075867-0.00048251i, +0.00033611+0.00022353i, +0.00047116-0.00028709i, +0.00018321-0.00016501i, +0.00018854-0.00031878i, +0.00052912+0.00035288i, +0.00052812+0.00046417i, -0.00034936-0.00010648i, +0.00037534+0.00005224i, +0.00020316-0.00011869i, -0.00033114+0.00021936i, +0.00040964-0.00033511i, +0.00087132+0.00020883i, -0.00006700+0.00085452i, +0.00018593+0.00073405i, +0.00003957+0.00029801i, +0.00019190-0.00051236i, +0.00055050-0.00027627i, -0.00054518+0.00009719i, +0.00041438-0.00043248i, +0.00010108+0.00001481i, +0.00078209-0.00046887i, +0.00011666-0.00043809i, -0.00007252-0.00110504i, -0.00015378-0.00038940i, -0.00019144+0.00054727i, -0.00033207+0.00032151i, -0.00030141+0.00027297i, -0.00007992-0.00066849i, -0.00018507+0.00026901i, +0.00051725-0.00060972i, +0.00037090+0.00010461i, +0.00040337-0.00046384i, +0.00002925+0.00005497i, -0.00065291-0.00018175i, +0.00057602+0.00046353i, +0.00077949-0.00056006i, +0.00013233+0.00040242i, +0.00028697-0.00006518i, -0.00048160-0.00029099i, +0.00042127+0.00006133i, -0.00019493-0.00031721i, +0.00069742+0.00019439i, -0.00065477-0.00020011i, -0.00010691-0.00009103i, -0.00074065+0.00017381i, -0.00017091+0.00028470i, +0.00059688+0.00002822i
+0.00058561-0.00031640i, -0.00071756+0.00022947i, -0.00000490-0.00040375i, +0.00044754+0.00048822i, +0.00018018+0.00021514i, -0.00027516-0.00048709i, +0.00038212+0.00033559i, +0.01547985+0.00000000i, +0.00000565-0.00045910i, +0.00013855+0.00001013i, +0.00009808-0.00058326i, +0.00012419-0.00070793i, +0.00019066+0.00001901i, -0.00006385-0.00019041i, -0.00076274-0.00003063i, -0.00001357+0.00018451i, +0.00043819+0.00005782i, +0.00019659+0.00023814i, -0.00014182+0.00016741i, +0.00026954-0.00001395i, +0.00030229-0.00037767i, +0.00013172+0.00022285i, +0.00026323+0.00036044i, +0.00034272-0.00014598i, +0.00010757+0.00007947i, +0.00026924+0.00002576i, +0.00027477-0.00013386i, +0.00019320+0.00008064i, +0.00013903+0.00034481i, -0.00024317+0.00086566i, -0.00015251+0.00019354i, -0.00001247+0.00007479i, +0.00010352-0.00010135i, -0.00007377+0.00001325i, -0.00019800+0.00002585i, +0.00035152-0.00017280i, +0.00010066+0.00012237i, +0.00048216+0.00014477i, -0.00011512-0.00035236i, +0.00061307-0.00081551i, +0.00022063-0.00026394i, -0.00015219+0.00020190i, -0.00042222+0.00000967i, -0.00015490+0.00006933i, +0.00003211-0.00021922i, -0.00013508+0.00003180i, +0.00038858-0.00002298i, +0.00032460+0.00023620i, +0.00035205-0.00003529i, +0.00005229+0.00011676i, -0.00002619-0.00006468i, -0.00015691+0.00017459i, +0.00033542+0.00023625i, +0.00000224+0.00035123i, -0.00001492+0.00016402i, +0.00011287-0.00017899i, +0.00005081-0.00008354i, +0.00021844-0.00009832i, +0.00012360+0.00053251i, -0.00011791+0.00004822i, -0.00013353-0.00013450i, -0.00033767-0.00021235i, -0.00038037+0.00019583i, +0.00032679-0.00018077i
+0.00008961+0.00167234i, -0.00034661-0.00057311i, +0.00044662+0.00027575i, -0.00035994+0.00018560i, +0.00003015-0.00006046i, +0.00003922+0.00030759i, -0.00057740+0.00006441i, +0.00000565+0.00045910i, +0.01620363-0.00000000i, -0.00024266+0.00070089i, +0.00090863-0.00032905i, +0.00075113+0.00048443i, -0.00032017+0.00008067i, +0.00023696-0.00001658i, +0.00053208-0.00082856i, +0.00033170+0.00012440i, -0.00051947+0.00107579i, -0.00033764-0.00002206i, -0.00022670+0.00012585i, -0.00004056+0.00007374i, +0.00015592+0.00083748i, -0.00054030+0.00018814i, -0.00036679-0.00021387i, +0.00023911-0.00014718i, -0.00009823+0.00010078i, +0.00004101+0.00055146i, +0.00019656+0.00032864i, -0.00023465+0.00048765i, -0.00089142+0.00031222i, -0.00075321-0.00107963i, -0.00018518-0.00050908i, -0.00010464-0.00031791i, +0.00026727+0.00052607i, -0.00022591+0.00065826i, +0.00021369-0.00053364i, +0.00005624+0.00046363i, -0.00012667-0.00025342i, -0.00019918+0.00091679i, -0.00028415-0.00016962i, +0.00049547+0.00090116i, +0.00074521-0.00006441i, -0.00004895-0.00050978i, +0.00019151-0.00065562i, -0.00014768-0.00039802i, +0.00024031+0.00037428i, +0.00015084-0.00034125i, -0.00051648+0.00103477i, -0.00022180+0.00041061i, -0.00016722+0.00100227i, -0.00018548-0.00002545i, +0.00039144-0.00045942i, -0.00080881+0.00002513i, -0.00017985+0.00085841i, -0.00025902+0.00000695i, -0.00031229+0.00003222i, +0.00044543-0.00003679i, -0.00023748+0.00006756i, +0.00047378+0.00045767i, -0.00054153+0.00027878i, +0.00077324-0.00029208i, +0.00014235+0.00004250i, +0.00058486-0.00059201i, -0.00036526-0.00074541i, -0.00026510+0.00040895i
+0.00059538-0.00068407i, -0.00028090+0.00073251i, +0.00010648-0.00028659i, -0.00001594+0.00026475i, +0.00020324-0.00042989i, +0.00009791-0.00004123i, +0.00042331+0.00019816i, +0.00013855-0.00001013i, -0.00024266-0.00070089i, +0.01529060+0.00000000i, -0.00027905-0.00011751i, +0.00037957-0.00080988i, +0.00008390+0.00024234i, -0.00014664-0.00022567i, -0.00065503+0.00001213i, +0.00060444-0.00002281i, +0.00038885-0.00039932i, -0.00019441+0.00025576i, +0.00022626-0.00019062i, +0.00019070-0.00007580i, +0.00007996-0.00003566i, +0.00037136+0.00044804i, -0.00014057+0.00028844i, -0.00036740+0.00001267i, +0.00021132+0.00018230i, +0.00011824-0.00007669i, -0.00017751-0.00013786i, +0.00045640-0.00041182i, +0.00029186+0.00035750i, -0.00037360+0.00063833i, -0.00014089+0.00020859i, +0.00007385+0.00012760i, +0.00006373-0.00027725i, +0.00026960-0.00007564i, -0.00005118+0.00003546i, +0.00000888-0.00005432i, -0.00005417+0.00000967i, +0.00028158-0.00017305i, +0.00012680+0.00015874i, -0.00003346-0.00033715i, -0.00005754-0.00059064i, -0.00024259-0.00029312i, -0.00043015+0.00015659i, -0.00039159+0.00029634i, +0.00015482-0.00049380i, -0.00028398+0.00012063i, +0.00042461-0.00022024i, +0.00039111-0.00010746i, +0.00000912-0.00021332i, +0.00003396+0.00032317i, -0.00038351+0.00025604i, +0.00032344+0.00043977i, +0.00062670-0.00008003i, +0.00005617-0.00005389i, +0.00010596-0.00009927i, -0.00029586-0.00006974i, +0.00011375+0.00007467i, -0.00001546-0.00023829i, +0.00028161+0.00023743i, -0.00020425-0.00034502i, -0.00011398-0.00014507i, -0.00050829+0.00006389i, -0.00012773+0.00041168i, +0.00034283-0.00016722i
+0.00003002+0.00087857i, -0.00051138-0.00026429i, +0.00051921+0.00046781i, -0.00057447+0.00043890i, -0.00039175-0.00008266i, -0.00017759+0.00019739i, -0.00006221+0.00059413i, +0.00009808+0.00058326i, +0.00090863+0.00032905i, -0.00027905+0.00011751i, +0.01595001-0.00000000i, +0.00041502+0.00036023i, +0.00016993+0.00028702i, +0.00058095+0.00006327i, +0.00054334-0.00087976i, +0.00008348+0.00009060i, -0.00024447+0.00070198i, -0.00026220+0.00022530i, -0.00044840+0.00027695i, -0.00024744+0.00007718i, -0.00007717+0.00048103i, -0.00050378+0.00002758i, -0.00041532+0.00003725i, +0.00007572-0.00010708i, -0.00014011+0.00004219i, -0.00005494+0.00045558i, +0.00016378+0.00027716i, +0.00026889+0.00016320i, -0.00049102+0.00017862i, -0.00066391-0.00085466i, -0.00010586-0.00021612i, -0.00003297-0.00021043i, +0.00030153+0.00014254i, +0.00003321+0.00060748i, +0.00022929-0.00029952i, +0.00024049+0.00042595i, -0.00019413+0.00013902i, -0.00030265+0.00080317i, +0.00002604-0.00002185i, +0.00037225+0.00059113i, +0.00030916+0.00042144i, -0.00015942-0.00004322i, +0.00023549-0.00075688i, +0.00011326-0.00050596i, +0.00046077+0.00042592i, -0.00001834-0.00019203i, -0.00012168+0.00035016i, -0.00025090+0.00020381i, +0.00003925+0.00038382i, -0.00008816-0.00005008i, +0.00030781+0.00013129i, -0.00068894+0.00031690i, -0.00021876+0.00064157i, -0.00034866+0.00009228i, -0.00009128+0.00004961i, +0.00041257-0.00015781i, +0.00004211+0.00024171i, +0.00018943+0.00045908i, -0.00063445+0.00026522i, +0.00031189-0.00028874i, -0.00010773+0.00012698i, +0.00023595-0.00042951i, -0.00018627-0.00039648i, -0.00024099+0.00035268i
