+0.01561883+0.00000000i, +0.00081022+0.00074192i, +0.00014662-0.00029841i, +0.00006850-0.00041491i, -0.00012862+0.00031737i, -0.00031965+0.00022888i, +0.00025594-0.00014580i, -0.00023562-0.00020018i, +0.00022317+0.00029070i, -0.00006251+0.00051346i, -0.00009160-0.00036360i, +0.00025126-0.00020084i, +0.00002492+0.00002352i, +0.00006329-0.00009785i, +0.00011611-0.00020478i, +0.00014168-0.00004058i, -0.00020052+0.00015618i, -0.00001263+0.00016774i, +0.00019790+0.00022058i, +0.00034652+0.00004308i, -0.00037979-0.00054290i, +0.00013193-0.00027084i, -0.00051631-0.00012674i, -0.00003317+0.00012756i, -0.00004463+0.00013118i, -0.00000606+0.00040734i, -0.00003881-0.00000135i, -0.00009853-0.00022219i, -0.00010701+0.00009850i, -0.00002553+0.00014689i, -0.00000735+0.00012185i, +0.00029328-0.00019243i, -0.00024815+0.00003855i, -0.00030675+0.00013291i, +0.00016418+0.00002252i, +0.00000009-0.00010201i, -0.00004929+0.00000028i, -0.00002609-0.00009436i, -0.00026765+0.00007689i, -0.00009690-0.00002686i, -0.00014670+0.00023587i, -0.00035460-0.00003605i, -0.00011152-0.00001919i, +0.00005880-0.00008162i, -0.00015855-0.00003428i, +0.00008305+0.00000950i, +0.00008504-0.00030346i, +0.00013062-0.00015459i, +0.00005793-0.00021847i, +0.00022384-0.00007979i, -0.00021455+0.00025559i, -0.00016094-0.00003311i, +0.00037719-0.00013886i, +0.00000668+0.00006098i, +0.00012155-0.00015404i, -0.00016764+0.00005006i, +0.00026913-0.00011164i, -0.00009393-0.00003281i, +0.00020508-0.00005894i, -0.00023228+0.00014950i, +0.00003734-0.00018582i, -0.00043139-0.00013045i, -0.00000365+0.00025139i, +0.00047301-0.00003221i
+0.00081022-0.00074192i, +0.01631037-0.00000000i, +0.00004848+0.00006922i, -0.00054770+0.00042404i, +0.00049791+0.00077829i, -0.00017512+0.00104264i, +0.00021819+0.00017003i, -0.00041740+0.00007598i, +0.00067495-0.00012938i, +0.00078759+0.00061938i, -0.00091990+0.00008916i, +0.00012970-0.00075032i, +0.00041245+0.00004001i, -0.00018045+0.00040889i, -0.00009319-0.00028843i, -0.00022729-0.00040265i, +0.00043294+0.00027528i, +0.00023195+0.00035689i, +0.00018934-0.00019451i, +0.00033166-0.00045639i, -0.00113016+0.00056944i, -0.00015178-0.00105501i, -0.00048394+0.00068426i, +0.00103331+0.00051761i, +0.00034021-0.00033904i, +0.00068981+0.00042122i, -0.00023312-0.00066864i, -0.00002992-0.00039781i, +0.00034420+0.00040387i, -0.00012528+0.00024654i, +0.00005532+0.00053891i, +0.00013396-0.00065297i, -0.00053674+0.00031008i, -0.00000044+0.00093032i, +0.00035068-0.00000302i, -0.00024001+0.00011793i, +0.00035552-0.00020542i, -0.00016730-0.00011912i, -0.00049774-0.00007074i, +0.00028718+0.00002011i, +0.00011658+0.00072641i, -0.00069523+0.00040058i, -0.00033559-0.00011131i, -0.00042655-0.00051202i, -0.00000346+0.00023934i, +0.00014578-0.00014262i, -0.00016905-0.00068858i, -0.00002372-0.00087103i, -0.00036968+0.00018927i, +0.00022639-0.00040920i, +0.00039536+0.00056930i, -0.00015482+0.00023823i, +0.00030378+0.00004578i, +0.00033328+0.00014868i, -0.00019183-0.00028456i, -0.00039338+0.00049754i, +0.00036999-0.00054008i, -0.00012144+0.00021281i, +0.00015848-0.00076178i, -0.00021406+0.00083018i, -0.00020577-0.00034046i, -0.00087240+0.00043519i, +0.00010862-0.00015617i, +0.00076961-0.00094505i
+0.00014662+0.00029841i, +0.00004848-0.00006922i, +0.01488171-0.00000000i, +0.00015178+0.00015269i, -0.00030475+0.00016639i, -0.00002275-0.00014773i, -0.00024293+0.00010150i, +0.00015670+0.00022908i, +0.00015015+0.00009216i, -0.00040637-0.00005781i, +0.00023909+0.00006046i, -0.00005450+0.00008618i, -0.00003876+0.00005415i, +0.00000276+0.00000463i, +0.00008889+0.00013190i, +0.00000026+0.00023693i, +0.00006181-0.00013462i, -0.00006878-0.00018400i, -0.00038181+0.00006371i, -0.00003884+0.00009758i, +0.00017968-0.00015565i, +0.00008928+0.00013540i, +0.00018083-0.00021065i, -0.00017339-0.00008323i, -0.00009842+0.00019396i, -0.00015958-0.00001483i, -0.00022541+0.00017442i, -0.00000925-0.00008842i, -0.00009288+0.00011115i, +0.00007868-0.00002145i, -0.00019008-0.00000590i, +0.00007098+0.00004003i, -0.00005831-0.00007421i, +0.00002925-0.00017063i, +0.00010272+0.00028192i, -0.00005983-0.00001563i, -0.00017537+0.00001496i, -0.00000101-0.00001858i, +0.00002628-0.00005838i, -0.00009048-0.00005677i, -0.00006315+0.00006032i, +0.00015623-0.00005742i, +0.00001167+0.00004972i, +0.00008801+0.00007490i, +0.00002758-0.00009111i, +0.00011299-0.00003467i, -0.00001095-0.00005360i, -0.00005980+0.00016526i, +0.00002741-0.00026958i, -0.00010079-0.00002783i, +0.00013675-0.00043183i, -0.00007234+0.00001857i, +0.00005531+0.00005039i, +0.00015023+0.00006967i, -0.00005605-0.00000865i, +0.00013929+0.00003529i, +0.00000952+0.00001735i, +0.00001782-0.00005623i, +0.00000556+0.00010614i, -0.00000181+0.00001929i, -0.00008622+0.00001111i, +0.00016508-0.00012456i, -0.00009575+0.00011735i, -0.00007301+0.00017130i
+0.00006850+0.00041491i, -0.00054770-0.00042404i, +0.00015178-0.00015269i, +0.01529477+0.00000000i, -0.00002087-0.00037383i, +0.00039416-0.00026590i, -0.00000405-0.00013440i, +0.00007149+0.00022839i, -0.00019432-0.00008101i, -0.00009953-0.00024206i, +0.00013487+0.00027615i, -0.00005093+0.00018035i, -0.00002680-0.00008649i, +0.00020221+0.00013439i, -0.00010913+0.00003829i, +0.00015254+0.00028823i, -0.00001561-0.00020112i, -0.00010269-0.00014617i, -0.00008486+0.00014446i, -0.00057251+0.00013036i, +0.00031593+0.00021880i, -0.00019741+0.00011885i, +0.00023694+0.00006412i, +0.00006787-0.00036389i, -0.00021861+0.00000968i, -0.00010807-0.00003386i, -0.00022417+0.00023100i, -0.00022147+0.00002719i, -0.00000451-0.00000699i, +0.00008494+0.00000797i, +0.00015049+0.00000158i, -0.00031766+0.00011367i, +0.00002697+0.00011897i, +0.00021447-0.00002373i, +0.00008847-0.00013865i, -0.00006105+0.00023363i, -0.00030150+0.00008844i, +0.00012414+0.00015125i, +0.00011522+0.00017508i, -0.00002261-0.00006782i, +0.00012971-0.00004545i, +0.00024818+0.00009729i, -0.00000355+0.00016024i, -0.00030547+0.00022016i, +0.00004311-0.00000795i, +0.00012018-0.00006443i, -0.00029003+0.00021864i, -0.00022148+0.00007492i, +0.00022030-0.00003836i, -0.00008499+0.00011400i, +0.00005675-0.00023946i, +0.00019885-0.00031723i, +0.00004289-0.00000695i, -0.00010946-0.00004348i, +0.00002285+0.00002638i, +0.00004375+0.00017932i, -0.00019806+0.00008750i, +0.00005351-0.00006459i, -0.00041149+0.00010785i, +0.00038116-0.00010640i, +0.00006168+0.00024593i, +0.00028462+0.00012070i, -0.00004055+0.00011010i, -0.00047530+0.00009333i
-0.00012862-0.00031737i, +0.00049791-0.00077829i, -0.00030475-0.00016639i, -0.00002087+0.00037383i, +0.01595766-0.00000000i, +0.00085122+0.00073535i, +0.00056154-0.00024762i, -0.00030159+0.00013394i, +0.00031702-0.00071957i, +0.00081405+0.00003619i, -0.00039231+0.00059425i, -0.00057837-0.00026451i, +0.00023375-0.00017400i, +0.00018275+0.00006857i, -0.00043081-0.00025949i, -0.00024625-0.00017293i, +0.00047633-0.00014216i, +0.00065631+0.00015617i, -0.00006913-0.00019239i, -0.00009757-0.00046219i, -0.00047231+0.00094600i, -0.00026181-0.00020771i, +0.00028761+0.00097785i, +0.00054311-0.00023464i, -0.00017189-0.00046275i, +0.00035403-0.00013801i, -0.00034399-0.00003273i, -0.00031381-0.00010381i, +0.00061195+0.00003935i, -0.00014261+0.00004393i, +0.00020694+0.00012210i, -0.00032332-0.00032588i, -0.00015853+0.00028635i, +0.00030271+0.00018225i, -0.00013407-0.00011346i, +0.00009077+0.00020499i, +0.00014116-0.00009611i, -0.00005131-0.00000872i, -0.00034532+0.00013107i, +0.00009018-0.00014492i, +0.00068813+0.00014332i, -0.00017714+0.00038392i, -0.00031572+0.00030557i, -0.00048067-0.00002326i, +0.00001378-0.00006214i, +0.00009620-0.00004547i, -0.00055409-0.00027935i, -0.00054597-0.00029237i, -0.00019084+0.00058838i, -0.00004714+0.00003334i, +0.00038197+0.00016650i, -0.00005228+0.00028653i, +0.00062393-0.00011984i, +0.00026113+0.00007193i, -0.00034508-0.00000136i, -0.00002856+0.00038455i, -0.00021483-0.00051007i, -0.00011337+0.00016886i, -0.00029773-0.00044606i, +0.00039078+0.00042818i, -0.00032981+0.00012766i, -0.00012548+0.00078089i, +0.00007277-0.00018674i, +0.00009104-0.00084630i
-0.00031965-0.00022888i, -0.00017512-0.00104264i, -0.00002275+0.00014773i, +0.00039416+0.00026590i, +0.00085122-0.00073535i, +0.01553237+0.00000000i, -0.00046284-0.00035196i, -0.00011672+0.00052319i, -0.00009222-0.00056178i, +0.00044828-0.00059667i, +0.00030838+0.00071316i, -0.00080798+0.00001569i, +0.00002317-0.00020003i, +0.00023606+0.00003109i, -0.00036616-0.00001217i, -0.00008766-0.00000621i, +0.00019925-0.00016624i, +0.00054011-0.00039432i, -0.00012742-0.00015498i, -0.00018896-0.00048344i, +0.00049142+0.00078206i, -0.00054751-0.00007749i, +0.00051189+0.00028529i, +0.00025949-0.00073785i, -0.00028533-0.00008402i, +0.00017522-0.00060204i, -0.00044462+0.00043481i, -0.00024718+0.00004083i, +0.00028600-0.00014881i, +0.00012969+0.00009018i, +0.00012636+0.00005543i, -0.00060828-0.00023680i, +0.00031760+0.00024494i, +0.00052454-0.00011175i, -0.00012817-0.00006391i, +0.00030117+0.00023357i, -0.00000808-0.00009579i, +0.00014178+0.00032584i, +0.00003248+0.00051338i, +0.00014755-0.00018230i, +0.00045289-0.00022136i, +0.00043351+0.00051838i, +0.00002829+0.00036983i, -0.00025213+0.00006098i, -0.00003207+0.00016922i, +0.00008291+0.00001253i, -0.00056489+0.00003773i, -0.00040862+0.00011152i, +0.00027161+0.00031008i, -0.00009334+0.00012015i, +0.00045813-0.00039687i, +0.00038016+0.00015145i, +0.00012930-0.00017151i, +0.00046084-0.00020067i, -0.00028241-0.00004471i, +0.00042129+0.00044813i, -0.00028166-0.00019992i, +0.00008638+0.00009504i, -0.00057727+0.00001241i, +0.00044461-0.00001491i, -0.00020524+0.00020951i, +0.00040163+0.00067560i, -0.00012515+0.00002783i, -0.00061226-0.00052324i
+0.00025594+0.00014580i, +0.00021819-0.00017003i, -0.00024293-0.00010150i, -0.00000405+0.00013440i, +0.00056154+0.00024762i, -0.00046284+0.00035196i, +0.01543345-0.00000000i, -0.00010403-0.00008011i, -0.00000546-0.00039452i, +0.00017910+0.00011492i, -0.00028739-0.00010484i, -0.00011807-0.00025555i, +0.00022436-0.00007018i, +0.00003390+0.00004753i, -0.00001319+0.00008572i, -0.00009124+0.00006270i, +0.00004884-0.00001359i, +0.00023094+0.00011158i, +0.00012204-0.00009785i, -0.00008390-0.00009075i, -0.00028632+0.00019708i, -0.00012261-0.00028448i, -0.00011403+0.00017579i, +0.00009902+0.00006901i, -0.00006887-0.00018957i, +0.00007125-0.00000020i, -0.00000739-0.00010213i, -0.00011858-0.00024276i, -0.00004145-0.00021977i, +0.00004071+0.00010577i, +0.00034549+0.00007394i, -0.00002410+0.00018030i, -0.00002022-0.00001159i, -0.00000857+0.00025733i, +0.00003276+0.00014799i, +0.00000759-0.00028419i, +0.00010212-0.00009243i, -0.00008807+0.00001731i, -0.00002041+0.00016011i, +0.00017310-0.00009690i, -0.00002208+0.00001462i, -0.00007070+0.00014457i, -0.00008253-0.00015367i, -0.00003760-0.00008990i, +0.00005835+0.00002245i, +0.00009196+0.00000760i, -0.00011454-0.00021871i, -0.00008638-0.00019299i, -0.00006711+0.00009581i, -0.00005146+0.00001045i, +0.00004010+0.00015821i, +0.00003268-0.00000994i, +0.00020728-0.00024997i, +0.00000317+0.00009248i, +0.00034726-0.00003633i, -0.00019625+0.00004374i, +0.00019511-0.00016306i, -0.00012456+0.00013281i, +0.00001840-0.00019028i, +0.00004982+0.00024692i, +0.00009824-0.00007668i, -0.00027781+0.00016617i, -0.00011660+0.00018515i, +0.00003826-0.00012661i
-0.00023562+0.00020018i, -0.00041740-0.00007598i, +0.00015670-0.00022908i, +0.00007149-0.00022839i, -0.00030159-0.00013394i, -0.00011672-0.00052319i, -0.00010403+0.00008011i, +0.01535385-0.00000000i, -0.00024870+0.00004358i, -0.00042391-0.00033785i, +0.00059126+0.00004153i, -0.00007628+0.00041033i, -0.00015629+0.00016147i, +0.00014364-0.00010045i, +0.00015090+0.00008262i, +0.00011537+0.00025357i, -0.00020610-0.00000597i, -0.00028342-0.00023537i, +0.00006884+0.00020151i, -0.00021565-0.00005139i, +0.00047139+0.00009406i, +0.00011965+0.00036064i, +0.00032125-0.00013382i, -0.00029086-0.00040624i, -0.00004353-0.00012069i, -0.00008961-0.00012289i, +0.00004317+0.00038762i, -0.00015864-0.00004023i, -0.00003374-0.00016198i, +0.00014084-0.00005357i, +0.00014425-0.00023820i, +0.00007037+0.00035997i, +0.00007448-0.00020088i, -0.00010121-0.00011184i, -0.00009530-0.00003279i, +0.00005834+0.00000371i, -0.00009662-0.00004420i, +0.00010115-0.00004853i, +0.00027764+0.00004605i, +0.00004304-0.00005399i, +0.00009056-0.00027061i, +0.00021262-0.00028274i, +0.00012671+0.00001388i, -0.00005077+0.00012805i, -0.00000104+0.00004342i, -0.00008600+0.00005747i, -0.00006496+0.00027633i, +0.00008541+0.00037823i, +0.00009472-0.00006056i, -0.00000045-0.00001319i, -0.00004892-0.00017387i, +0.00011049-0.00001231i, -0.00019842-0.00010690i, -0.00009649-0.00016606i, -0.00000992-0.00003750i, +0.00069723-0.00011596i, -0.00016962+0.00022884i, -0.00004620-0.00004415i, -0.00012873+0.00024474i, +0.00015372-0.00039103i, -0.00007897+0.00012745i, +0.00030215-0.00005078i, +0.00004227+0.00007260i, -0.00022568+0.00036611i
+0.00022317-0.00029070i, +0.00067495+0.00012938i, +0.00015015-0.00009216i, -0.00019432+0.00008101i, +0.00031702+0.00071957i, -0.00009222+0.00056178i, -0.00000546+0.00039452i, -0.00024870-0.00004358i, +0.01568360-0.00000000i, +0.00093247+0.00071708i, -0.00031122-0.00019095i, +0.00002711-0.00060818i, +0.00022325+0.00000464i, +0.00000114+0.00007471i, -0.00007544-0.00040442i, -0.00015295-0.00027630i, +0.00042062+0.00033872i, +0.00034324+0.00036314i, +0.00021320+0.00001545i, +0.00048874-0.00013841i, -0.00084125+0.00003818i, +0.00003902-0.00029561i, -0.00031410+0.00023517i, +0.00042741+0.00026902i, +0.00025653-0.00009284i, +0.00023535+0.00009919i, -0.00010818-0.00029136i, +0.00017012-0.00012314i, +0.00016995+0.00058382i, +0.00004057+0.00011491i, +0.00008543+0.00047670i, +0.00002636-0.00022856i, -0.00021173+0.00025032i, -0.00004232+0.00031206i, +0.00010921-0.00009540i, +0.00016321+0.00000487i, +0.00023129+0.00021920i, -0.00013123+0.00004968i, -0.00015132+0.00005759i, +0.00018769+0.00021648i, -0.00006766+0.00071090i, -0.00067798+0.00006127i, -0.00010895-0.00003394i, -0.00003283-0.00017730i, -0.00004335-0.00001759i, -0.00003883+0.00000398i, +0.00006837-0.00045286i, -0.00004665-0.00040604i, -0.00033486+0.00019402i, -0.00000522-0.00012894i, +0.00004239+0.00048417i, -0.00016991+0.00017436i, +0.00026390+0.00009430i, -0.00001533+0.00009383i, +0.00004880-0.00011962i, -0.00017204+0.00012861i, -0.00010874-0.00014180i, -0.00020024+0.00003121i, +0.00007708-0.00043215i, -0.00016239+0.00023926i, -0.00027803-0.00039558i, -0.00056284+0.00013995i, +0.00000056+0.00010788i, +0.00048421-0.00033186i
-0.00006251-0.00051346i, +0.00078759-0.00061938i, -0.00040637+0.00005781i, -0.00009953+0.00024206i, +0.00081405-0.00003619i, +0.00044828+0.00059667i, +0.00017910-0.00011492i, -0.00042391+0.00033785i, +0.00093247-0.00071708i, +0.01600595-0.00000000i, -0.00033380+0.00064757i, -0.00063659-0.00040957i, +0.00050746-0.00024115i, +0.00013116+0.00022873i, -0.00017423-0.00032029i, -0.00022531-0.00041881i, +0.00045584-0.00015644i, +0.00093101+0.00004863i, +0.00012315-0.00035060i, +0.00000729-0.00050589i, -0.00061858+0.00088564i, -0.00042173-0.00057982i, -0.00011395+0.00074337i, +0.00075267-0.00003819i, -0.00007305-0.00037514i, +0.00044504+0.00014553i, -0.00042820-0.00031175i, -0.00015119-0.00035036i, +0.00049239+0.00007239i, -0.00019106+0.00027117i, +0.00021041+0.00017791i, -0.00027379-0.00071503i, -0.00007587+0.00028914i, +0.00034099+0.00034209i, +0.00012194-0.00027817i, +0.00015314-0.00004882i, +0.00023838-0.00005432i, -0.00005591+0.00007852i, -0.00027961+0.00017381i, +0.00017738+0.00007322i, +0.00030131+0.00039507i, -0.00032573+0.00069337i, -0.00018807+0.00018088i, -0.00029588-0.00018290i, +0.00004599+0.00006104i, +0.00001148-0.00011432i, -0.00067127-0.00028969i, -0.00052568-0.00042971i, -0.00029189+0.00045721i, -0.00002885-0.00007810i, +0.00045234+0.00035473i, -0.00011477+0.00033715i, +0.00017853-0.00012986i, +0.00016460+0.00015278i, -0.00017576-0.00025216i, -0.00006558+0.00035168i, -0.00008891-0.00045441i, -0.00053965+0.00035564i, -0.00031227-0.00062810i, +0.00035989+0.00061246i, -0.00044972-0.00014924i, -0.00067703+0.00066498i, -0.00023926-0.00015197i, +0.00024507-0.00103965i
-0.00009160+0.00036360i, -0.00091990-0.00008916i, +0.00023909-0.00006046i, +0.00013487-0.00027615i, -0.00039231-0.00059425i, +0.00030838-0.00071316i, -0.00028739+0.00010484i, +0.00059126-0.00004153i, -0.00031122+0.00019095i, -0.00033380-0.00064757i, +0.01591093-0.00000000i, +0.00009717+0.00073894i, -0.00007570-0.00018496i, +0.00017775-0.00033777i, +0.00003797+0.00033487i, +0.00017776+0.00056673i, -0.00025738-0.00018779i, -0.00031211-0.00037333i, -0.00016328+0.00017193i, -0.00039123+0.00024233i, +0.00099837-0.00029782i, -0.00022321+0.00051529i, +0.00062518-0.00038321i, -0.00063509-0.00048671i, -0.00015642+0.00019988i, -0.00039269-0.00035995i, +0.00012344+0.00083395i, -0.00000046+0.00037285i, -0.00045222-0.00038818i, +0.00016014-0.00018792i, -0.00005448-0.00018912i, -0.00021456+0.00049120i, +0.00023319-0.00009292i, +0.00000506-0.00051083i, -0.00017194+0.00012314i, +0.00025264+0.00005722i, -0.00027429+0.00006954i, +0.00003352-0.00010879i, +0.00043999+0.00027519i, -0.00015000-0.00014198i, +0.00000153-0.00053719i, +0.00077146-0.00017692i, +0.00055563+0.00050248i, +0.00037911+0.00050657i, +0.00016330-0.00002577i, -0.00010908+0.00006064i, +0.00000594+0.00058477i, +0.00002176+0.00075762i, +0.00031214-0.00008882i, -0.00001296+0.00019871i, -0.00030295-0.00044505i, +0.00040508-0.00007405i, -0.00020796-0.00010603i, +0.00006057-0.00020412i, +0.00009740+0.00026033i, +0.00047139-0.00022785i, -0.00005967+0.00039421i, +0.00020717-0.00006580i, -0.00067360+0.00041908i, +0.00041654-0.00072774i, +0.00013020+0.00027818i, +0.00058894-0.00040408i, +0.00010184+0.00001721i, -0.00069783+0.00044195i
