+0.01599047-0.00000000i, +0.00002540-0.00001775i, +0.00011209-0.00004846i, +0.00014910-0.00000049i, -0.00022896+0.00032687i, +0.00001563+0.00000299i, +0.00009333-0.00022610i, +0.00006079+0.00021755i, -0.00031912-0.00026895i, +0.00001031-0.00007475i, +0.00007592+0.00000037i, -0.00013535-0.00005003i, +0.00007088+0.00018142i, +0.00005215-0.00007187i, +0.00010567-0.00012900i, -0.00013620-0.00003030i, +0.00005853-0.00015041i, +0.00001645+0.00004071i, -0.00008081-0.00016765i, +0.00008472-0.00000148i, -0.00010056-0.00004545i, +0.00008931+0.00000990i, -0.00004963+0.00006532i, +0.00002773+0.00012013i, -0.00009299+0.00019921i, -0.00014174+0.00018521i, -0.00018758+0.00003722i, -0.00011183+0.00005868i, +0.00010922+0.00000751i, -0.00015371+0.00007095i, -0.00014172-0.00026224i, +0.00019844+0.00010754i, -0.00002223-0.00054038i, -0.00002088-0.00013222i, -0.00002097-0.00021956i, -0.00008565-0.00007888i, -0.00014073+0.00009263i, +0.00013824+0.00016670i, -0.00028208-0.00035359i, +0.00008692-0.00003424i, +0.00005809+0.00016893i, +0.00007429+0.00004086i, +0.00003590+0.00005752i, +0.00001928-0.00008054i, +0.00014780+0.00004461i, -0.00016838-0.00014245i, +0.00006301-0.00026799i, +0.00000365+0.00004894i, +0.00022941+0.00018315i, +0.00006300+0.00006048i, -0.00005877-0.00009687i, -0.00015758+0.00018911i, -0.00010831+0.00005570i, -0.00013131-0.00009733i, -0.00002406-0.00004089i, -0.00000870-0.00000152i, -0.00003793+0.00030199i, -0.00014838+0.00011355i, -0.00001376+0.00003512i, -0.00008227-0.00010434i, +0.00000249-0.00020639i, -0.00012821-0.00000334i, +0.00010945-0.00005467i, +0.00006058-0.00003726i
+0.00002540+0.00001775i, +0.01521190-0.00000000i, -0.00001374+0.00009984i, +0.00000849-0.00007712i, -0.00038934+0.00003283i, +0.00005090+0.00016962i, -0.00008785-0.00025180i, -0.00012847-0.00000252i, -0.00002404-0.00030264i, -0.00005632-0.00011607i, +0.00031556+0.00004510i, -0.00015013-0.00024383i, -0.00045083+0.00004529i, +0.00016597+0.00015871i, +0.00007357+0.00013773i, -0.00015039-0.00013279i, +0.00000370-0.00033618i, +0.00007220-0.00002189i, -0.00003172-0.00015514i, +0.00022094-0.00020220i, +0.00006662+0.00001453i, +0.00003455+0.00011035i, +0.00016856-0.00005523i, +0.00012923+0.00018372i, -0.00017772+0.00024486i, -0.00023671+0.00019319i, -0.00031345-0.00032469i, -0.00026091-0.00001196i, -0.00009931+0.00002275i, -0.00005449-0.00034115i, +0.00021516-0.00029580i, +0.00022094+0.00012474i, +0.00006922+0.00009130i, +0.00007211-0.00030528i, +0.00017318-0.00020316i, -0.00003887-0.00023277i, -0.00000246+0.00013225i, +0.00011330+0.00038141i, +0.00018088-0.00055563i, +0.00014494-0.00003298i, -0.00010252+0.00023301i, -0.00007070+0.00036403i, -0.00018043+0.00001584i, -0.00010675-0.00016587i, +0.00014822+0.00025227i, +0.00003031-0.00013397i, +0.00017219-0.00014581i, +0.00000464+0.00005384i, +0.00002381+0.00013067i, +0.00005067+0.00018360i, +0.00010795-0.00002926i, -0.00046623+0.00012347i, -0.00006513-0.00003178i, -0.00026466-0.00034725i, -0.00005428-0.00013661i, -0.00000369+0.00002192i, -0.00029234+0.00000449i, -0.00016000-0.00013556i, -0.00007748-0.00003574i, -0.00000675-0.00032746i, -0.00017904-0.00023971i, -0.00003820-0.00021533i, +0.00000731+0.00024194i, -0.00002186+0.00021497i
+0.00011209+0.00004846i, -0.00001374-0.00009984i, +0.01581199+0.00000000i, +0.00014293+0.00019067i, +0.00017386+0.00006109i, -0.00007951+0.00004800i, +0.00000892+0.00036241i, +0.00000189-0.00002795i, +0.00033232+0.00023273i, -0.00009270-0.00006071i, -0.00025744-0.00009708i, +0.00013712+0.00015922i, +0.00023283-0.00010276i, -0.00022284+0.00000041i, -0.00024672+0.00004690i, +0.00013087-0.00009085i, -0.00010414+0.00030141i, -0.00013430+0.00013224i, +0.00029605+0.00000444i, -0.00026951+0.00017903i, -0.00004801-0.00001876i, -0.00018397+0.00014943i, +0.00020496+0.00010620i, -0.00007894-0.00005672i, +0.00014205-0.00011556i, +0.00014430-0.00016553i, +0.00026776+0.00010194i, +0.00022378+0.00003682i, +0.00005307-0.00000455i, +0.00015780-0.00000362i, -0.00003434+0.00035165i, -0.00032060-0.00027522i, -0.00015681+0.00000299i, +0.00014468+0.00019512i, +0.00012217-0.00003555i, -0.00002422+0.00025670i, -0.00004050-0.00010442i, -0.00023572-0.00006677i, +0.00021274+0.00052448i, -0.00009374+0.00006533i, +0.00013560-0.00021359i, -0.00015556-0.00013359i, +0.00004024+0.00015772i, +0.00012847+0.00004695i, -0.00006488-0.00022143i, -0.00000291+0.00002612i, -0.00006323+0.00002810i, -0.00004982-0.00000400i, -0.00013608-0.00004994i, +0.00003734-0.00001035i, -0.00007394+0.00009558i, +0.00032899-0.00025947i, +0.00006096-0.00013035i, +0.00026680+0.00002808i, +0.00019554+0.00011619i, -0.00004652-0.00005980i, +0.00013502-0.00004515i, +0.00023603+0.00006503i, -0.00005704+0.00004180i, +0.00013571+0.00021176i, +0.00014588+0.00010170i, +0.00000248+0.00008213i, -0.00016614-0.00006426i, -0.00011183-0.00008620i
+0.00014910+0.00000049i, +0.00000849+0.00007712i, +0.00014293-0.00019067i, +0.01549093-0.00000000i, -0.00019702-0.00043634i, -0.00013617+0.00011499i, +0.00045344+0.00018869i, +0.00026155+0.00023199i, +0.00043058-0.00028334i, +0.00003029+0.00000656i, +0.00001816+0.00034248i, +0.00012589-0.00035191i, +0.00005681-0.00028083i, -0.00004652+0.00035096i, -0.00006815+0.00021967i, -0.00017341-0.00018102i, +0.00031932+0.00011682i, -0.00002281-0.00001616i, +0.00002029+0.00001091i, +0.00027949+0.00022399i, +0.00009942+0.00000792i, -0.00006978+0.00028820i, +0.00003059+0.00019475i, +0.00002580+0.00000981i, -0.00006671-0.00014630i, -0.00024693-0.00012286i, +0.00015879-0.00028263i, -0.00010984-0.00009092i, +0.00017504-0.00018402i, +0.00027962-0.00007467i, +0.00035346+0.00000641i, -0.00011390+0.00028771i, +0.00001558+0.00014380i, +0.00002778+0.00002175i, +0.00038137+0.00019811i, +0.00014184-0.00040130i, -0.00013782-0.00003043i, -0.00019677+0.00008302i, +0.00067871+0.00003965i, +0.00011757-0.00006438i, -0.00022516-0.00011408i, -0.00029718-0.00001620i, -0.00010638-0.00018135i, -0.00003376-0.00002491i, -0.00024112-0.00001179i, +0.00015989-0.00002752i, +0.00006872+0.00019724i, +0.00000178+0.00007430i, -0.00015543+0.00021263i, -0.00008335+0.00003874i, -0.00001231+0.00004403i, -0.00013556-0.00019216i, -0.00006301-0.00025813i, +0.00017982-0.00008562i, +0.00011735-0.00017175i, +0.00011300+0.00019634i, +0.00011791-0.00032004i, +0.00003763-0.00034574i, +0.00013564-0.00010196i, +0.00021311-0.00016076i, +0.00026504-0.00002276i, +0.00011492-0.00011942i, -0.00020695+0.00001664i, -0.00018538+0.00011579i
-0.00022896-0.00032687i, -0.00038934-0.00003283i, +0.00017386-0.00006109i, -0.00019702+0.00043634i, +0.01611387-0.00000000i, -0.00020645-0.00005740i, -0.00039658+0.00027533i, -0.00009808-0.00026215i, +0.00006951+0.00049307i, -0.00002844-0.00011828i, -0.00041533-0.00012262i, +0.00006777+0.00027509i, +0.00046696+0.00021086i, -0.00009567-0.00016271i, -0.00024893-0.00012649i, +0.00014101+0.00015299i, -0.00013887+0.00062343i, +0.00003270-0.00001112i, -0.00007228+0.00016318i, -0.00033999+0.00007853i, +0.00007080+0.00011250i, -0.00018160-0.00004792i, -0.00012161-0.00009206i, +0.00000342-0.00030220i, +0.00035671-0.00006110i, +0.00038567-0.00006929i, +0.00016367+0.00020437i, +0.00012543+0.00016445i, +0.00033596+0.00003972i, +0.00001985+0.00022796i, -0.00033194+0.00022946i, -0.00018104-0.00029613i, -0.00019362-0.00011416i, +0.00006218+0.00006133i, -0.00019295+0.00004528i, -0.00000755+0.00028536i, -0.00003100-0.00058786i, -0.00002791-0.00043189i, -0.00025678+0.00088729i, -0.00023757-0.00000868i, +0.00043686-0.00035682i, +0.00006471-0.00026933i, +0.00014340+0.00011471i, +0.00009322+0.00025162i, +0.00013181-0.00045978i, -0.00006347+0.00036923i, -0.00031218+0.00006032i, +0.00001455-0.00007801i, -0.00027438-0.00011504i, +0.00011505-0.00010417i, -0.00013710+0.00004739i, +0.00052022+0.00003795i, +0.00022354+0.00012305i, +0.00013857+0.00035479i, +0.00013250+0.00013669i, -0.00001069+0.00005806i, +0.00034982+0.00008813i, +0.00010961+0.00009921i, -0.00007463-0.00003791i, +0.00005801+0.00042617i, -0.00000046+0.00036574i, +0.00012194+0.00021055i, -0.00002110-0.00026036i, +0.00001561-0.00020002i
+0.00001563-0.00000299i, +0.00005090-0.00016962i, -0.00007951-0.00004800i, -0.00013617-0.00011499i, -0.00020645+0.00005740i, +0.01522780-0.00000000i, +0.00001255-0.00031806i, -0.00001564+0.00011100i, -0.00029372-0.00013352i, +0.00012320+0.00004723i, +0.00012852-0.00021789i, -0.00017637+0.00009934i, -0.00018223+0.00012995i, +0.00018594+0.00011103i, +0.00017639+0.00001498i, -0.00011198+0.00019207i, -0.00020657-0.00018629i, -0.00005885+0.00010894i, -0.00011484-0.00011082i, -0.00007061-0.00029961i, +0.00004528-0.00011672i, +0.00037609-0.00011498i, +0.00010505-0.00033401i, +0.00005822+0.00005130i, -0.00004035+0.00016566i, +0.00001724+0.00015450i, -0.00033310-0.00008453i, -0.00002116+0.00013228i, -0.00013518+0.00018746i, -0.00016723+0.00003445i, -0.00005241-0.00005734i, +0.00022110-0.00019433i, +0.00022910-0.00015556i, -0.00000367-0.00005978i, -0.00002038-0.00014391i, -0.00008074-0.00001674i, +0.00003440+0.00008415i, +0.00029628-0.00024743i, -0.00041430-0.00032252i, +0.00001476-0.00008345i, +0.00011951+0.00016526i, +0.00018136-0.00003000i, -0.00004127+0.00005559i, -0.00014601+0.00001936i, +0.00013441+0.00014622i, -0.00004838-0.00006407i, -0.00013829-0.00022999i, +0.00008198-0.00006742i, +0.00012030-0.00005830i, +0.00007942+0.00014175i, +0.00012417-0.00005456i, -0.00002595+0.00028102i, +0.00001568+0.00015494i, -0.00035243+0.00020515i, -0.00004352+0.00011952i, +0.00016741-0.00000355i, -0.00017559+0.00026317i, -0.00007668+0.00020581i, -0.00002377-0.00003736i, -0.00032117-0.00004020i, -0.00017145+0.00005295i, -0.00000891+0.00002745i, +0.00001858+0.00006735i, +0.00016558-0.00004366i
+0.00009333+0.00022610i, -0.00008785+0.00025180i, +0.00000892-0.00036241i, +0.00045344-0.00018869i, -0.00039658-0.00027533i, +0.00001255+0.00031806i, +0.01629777-0.00000000i, -0.00014919+0.00005668i, +0.00022070-0.00042709i, -0.00014879+0.00010004i, -0.00000712+0.00044355i, +0.00003600-0.00037549i, -0.00016723-0.00025545i, -0.00000487+0.00043849i, +0.00039578+0.00032009i, +0.00000474-0.00011512i, +0.00032014-0.00040758i, +0.00006393-0.00001593i, -0.00008252-0.00018131i, +0.00028395-0.00000007i, +0.00005831+0.00004319i, +0.00007999+0.00036837i, +0.00011374+0.00022788i, -0.00014358+0.00019359i, -0.00041262-0.00017320i, -0.00034735-0.00019637i, +0.00003438-0.00042905i, -0.00014424-0.00013799i, -0.00011433-0.00020602i, +0.00004596-0.00026163i, +0.00054664-0.00011718i, +0.00001213+0.00038114i, +0.00004692+0.00008387i, -0.00004219-0.00010666i, +0.00027392+0.00010655i, +0.00005175-0.00019771i, -0.00004456-0.00002660i, -0.00012223+0.00027917i, +0.00080352-0.00051592i, +0.00008127+0.00016449i, -0.00036601+0.00016080i, -0.00027386+0.00003825i, -0.00016381-0.00012931i, -0.00002075-0.00021249i, -0.00026854+0.00028951i, +0.00006089-0.00010924i, +0.00021867+0.00004448i, +0.00000937+0.00003609i, +0.00003299+0.00016645i, -0.00006535+0.00008452i, +0.00008236-0.00012288i, -0.00030379-0.00020422i, -0.00026949-0.00013662i, +0.00000954-0.00025439i, +0.00021174-0.00018219i, +0.00018430+0.00006958i, -0.00023674-0.00030746i, -0.00005631-0.00028209i, +0.00021246-0.00015808i, +0.00009052-0.00033559i, +0.00019719-0.00028116i, -0.00002525-0.00020956i, -0.00013761+0.00007354i, -0.00023854+0.00025810i
+0.00006079-0.00021755i, -0.00012847+0.00000252i, +0.00000189+0.00002795i, +0.00026155-0.00023199i, -0.00009808+0.00026215i, -0.00001564-0.00011100i, -0.00014919-0.00005668i, +0.01545653+0.00000000i, +0.00007148+0.00016296i, +0.00003982-0.00007755i, -0.00020096+0.00008361i, -0.00003022+0.00008795i, +0.00005096+0.00000212i, -0.00003692+0.00011030i, +0.00002965-0.00002733i, +0.00023630+0.00023023i, +0.00005936+0.00011033i, -0.00007479+0.00012452i, +0.00007421-0.00011002i, -0.00009154+0.00001088i, -0.00005207-0.00005741i, -0.00018445+0.00010760i, +0.00007309+0.00003859i, +0.00018812+0.00003763i, +0.00017079-0.00008378i, +0.00003471-0.00012743i, -0.00003126-0.00004343i, -0.00018716+0.00000622i, +0.00004700+0.00008478i, +0.00017184-0.00010797i, -0.00006714+0.00006856i, -0.00008984-0.00007715i, -0.00006201+0.00004542i, -0.00001564+0.00006235i, +0.00003452+0.00013246i, +0.00000831-0.00002397i, +0.00006191-0.00013250i, -0.00017974+0.00000331i, +0.00009650+0.00032147i, +0.00002276-0.00033563i, -0.00001307+0.00004288i, -0.00001539-0.00006343i, -0.00004183-0.00007330i, -0.00010109+0.00001844i, -0.00004040-0.00008971i, +0.00007349+0.00001552i, -0.00005707+0.00002935i, -0.00000773-0.00008208i, +0.00006576+0.00007657i, -0.00003025-0.00003211i, -0.00009911-0.00003073i, +0.00016244-0.00020056i, +0.00006640-0.00008592i, +0.00005700+0.00006110i, +0.00010557-0.00003366i, +0.00000047+0.00022305i, +0.00000871+0.00004128i, +0.00010231-0.00006642i, +0.00002864+0.00002979i, +0.00004583-0.00001633i, -0.00003553+0.00002068i, +0.00008550+0.00001938i, -0.00008923+0.00007076i, +0.00003882-0.00004326i
-0.00031912+0.00026895i, -0.00002404+0.00030264i, +0.00033232-0.00023273i, +0.00043058+0.00028334i, +0.00006951-0.00049307i, -0.00029372+0.00013352i, +0.00022070+0.00042709i, +0.00007148-0.00016296i, +0.01673009-0.00000000i, -0.00010490+0.00029446i, -0.00018461+0.00072508i, +0.00061573+0.00015234i, +0.00023594-0.00066122i, -0.00024153+0.00038806i, -0.00019625+0.00021043i, +0.00004522-0.00030065i, +0.00078136+0.00041047i, -0.00006310-0.00003621i, +0.00023764+0.00014704i, +0.00039616+0.00051834i, +0.00001614-0.00015093i, -0.00028289+0.00050976i, +0.00015670+0.00031097i, -0.00045920+0.00009904i, +0.00002542-0.00055548i, -0.00032650-0.00059658i, +0.00050345-0.00032077i, +0.00016250-0.00040081i, +0.00011881-0.00047552i, +0.00033534-0.00022339i, +0.00061217+0.00029052i, -0.00035873+0.00044732i, +0.00004313+0.00042087i, +0.00019833-0.00000313i, +0.00030290+0.00033988i, +0.00037029+0.00005716i, -0.00028607+0.00009352i, -0.00050547+0.00011199i, +0.00118119+0.00022677i, -0.00009917+0.00029111i, -0.00035495-0.00058805i, -0.00047491+0.00000856i, +0.00003277-0.00041203i, +0.00041254-0.00008702i, -0.00069220-0.00004695i, +0.00026057+0.00012684i, +0.00024727+0.00026863i, +0.00000076+0.00005337i, -0.00048507+0.00012579i, -0.00022473+0.00000035i, -0.00011465+0.00010238i, -0.00013957-0.00077658i, +0.00002498-0.00037904i, +0.00037070-0.00020757i, +0.00019943-0.00012176i, -0.00002920+0.00006203i, +0.00024569-0.00084745i, +0.00035298-0.00026333i, +0.00025611+0.00003198i, +0.00054821-0.00010691i, +0.00044259-0.00026722i, +0.00018723-0.00008899i, -0.00033655-0.00013057i, -0.00045775-0.00008923i
+0.00001031+0.00007475i, -0.00005632+0.00011607i, -0.00009270+0.00006071i, +0.00003029-0.00000656i, -0.00002844+0.00011828i, +0.00012320-0.00004723i, -0.00014879-0.00010004i, +0.00003982+0.00007755i, -0.00010490-0.00029446i, +0.01506520+0.00000000i, +0.00022695+0.00014076i, +0.00001032+0.00014345i, -0.00003333+0.00024943i, +0.00007172-0.00005020i, -0.00000862+0.00021605i, -0.00007296+0.00000208i, +0.00002391-0.00009684i, -0.00003135+0.00000471i, +0.00000536-0.00003701i, +0.00016619+0.00002310i, +0.00000435-0.00002640i, +0.00008443-0.00011528i, +0.00000042+0.00003899i, -0.00005895+0.00011387i, -0.00012650+0.00006389i, -0.00000846-0.00003085i, +0.00000033-0.00010954i, -0.00008306+0.00016640i, -0.00004163-0.00000564i, -0.00009691-0.00022564i, +0.00003086-0.00022655i, +0.00003175+0.00002251i, +0.00005568+0.00003970i, +0.00010899+0.00005730i, +0.00008200-0.00012495i, -0.00009797-0.00005103i, +0.00003260+0.00010107i, +0.00001403+0.00019574i, +0.00007847-0.00018483i, +0.00003956-0.00006109i, +0.00011202+0.00005813i, +0.00027648-0.00004981i, +0.00008932+0.00000114i, -0.00001162-0.00003797i, -0.00007369+0.00010054i, -0.00014768-0.00004593i, +0.00006760-0.00011078i, -0.00002858-0.00001854i, +0.00007824+0.00002910i, +0.00000029+0.00016395i, +0.00000345+0.00016988i, -0.00011366+0.00011205i, +0.00000847+0.00012482i, +0.00002197-0.00009445i, +0.00005261-0.00006933i, -0.00001675-0.00007276i, -0.00005039-0.00009700i, -0.00001843-0.00024828i, +0.00005180-0.00001300i, +0.00009417-0.00005213i, +0.00000780-0.00017170i, -0.00011921-0.00002452i, -0.00006901-0.00003625i, +0.00013801+0.00008670i
+0.00007592-0.00000037i, +0.00031556-0.00004510i, -0.00025744+0.00009708i, +0.00001816-0.00034248i, -0.00041533+0.00012262i, +0.00012852+0.00021789i, -0.00000712-0.00044355i, -0.00020096-0.00008361i, -0.00018461-0.00072508i, +0.00022695-0.00014076i, +0.01580206+0.00000000i, -0.00014426-0.00013862i, -0.00039680-0.00005392i, +0.00024329-0.00004434i, +0.00008029+0.00002519i, -0.00030847-0.00000206i, +0.00011063-0.00040384i, -0.00003321-0.00022117i, -0.00015499-0.00012811i, +0.00041968-0.00031324i, -0.00004925-0.00014524i, +0.00027048-0.00002181i, +0.00016641-0.00008846i, +0.00022741+0.00029576i, -0.00027365+0.00012128i, -0.00020282+0.00021261i, -0.00049543-0.00042454i, -0.00024258-0.00002427i, -0.00027206-0.00018873i, -0.00032987-0.00029582i, +0.00012892-0.00044584i, +0.00032729+0.00022421i, +0.00013880-0.00002863i, -0.00004637-0.00016520i, +0.00035552-0.00021581i, -0.00014064-0.00020529i, -0.00000157+0.00021702i, +0.00028301+0.00031510i, -0.00003008-0.00088280i, +0.00016776-0.00017958i, -0.00013922+0.00026590i, +0.00012519+0.00046493i, -0.00001852-0.00007769i, -0.00013599-0.00023253i, +0.00002885+0.00045275i, -0.00005902-0.00022293i, +0.00033109-0.00019489i, +0.00009266+0.00003928i, +0.00012503+0.00012333i, -0.00004442+0.00020984i, +0.00006929+0.00004375i, -0.00041415+0.00023685i, -0.00016193+0.00003962i, -0.00030524-0.00028158i, -0.00021070-0.00008070i, +0.00003915-0.00007402i, -0.00045421-0.00005739i, -0.00027065-0.00006898i, -0.00009447-0.00022634i, -0.00014857-0.00030673i, -0.00022598-0.00020356i, -0.00009582-0.00010321i, +0.00008265+0.00026463i, +0.00008053+0.00034243i
