+0.01529044-0.00000000i, +0.00013568+0.00023037i, +0.00002044-0.00003364i, -0.00008326-0.00004929i, -0.00000762-0.00003465i, +0.00013443-0.00012694i, +0.00013575+0.00011603i, +0.00023458+0.00003943i, -0.00014555+0.00024429i, +0.00001216-0.00000126i, -0.00001444+0.00010774i, +0.00005342+0.00017111i, -0.00007279+0.00001926i, +0.00006720-0.00015242i, +0.00016109+0.00000562i, -0.00001587+0.00009025i, +0.00003109-0.00005867i, +0.00000050+0.00014744i, -0.00010410-0.00006274i, +0.00004321+0.00001686i, -0.00003646-0.00007539i, -0.00002005-0.00008065i, -0.00009849+0.00001329i, +0.00004187+0.00006886i, +0.00002939-0.00004855i, -0.00003451+0.00000037i, -0.00007359-0.00016893i, -0.00006677+0.00002216i, +0.00010010+0.00008207i, -0.00013100+0.00006224i, +0.00006498+0.00000465i, -0.00001486+0.00009489i, +0.00011369+0.00009196i, -0.00005812+0.00002491i, +0.00001615+0.00000282i, +0.00006205+0.00003381i, +0.00013933-0.00007562i, +0.00007155+0.00007538i, -0.00000649+0.00009405i, +0.00001419+0.00017220i, -0.00005234+0.00003579i, +0.00000840+0.00004107i, -0.00012084-0.00004520i, -0.00002520+0.00001399i, +0.00002841+0.00008198i, -0.00001406-0.00022561i, +0.00001162-0.00002142i, -0.00003324+0.00007232i, +0.00002000-0.00028206i, -0.00001754-0.00003305i, -0.00015932-0.00001743i, -0.00006880-0.00000660i, +0.00010698+0.00008371i, -0.00007649+0.00011817i, -0.00013440-0.00004524i, +0.00010020-0.00000042i, +0.00009713+0.00002883i, -0.00005173-0.00011477i, +0.00014923-0.00003024i, +0.00005712-0.00002968i, +0.00008549-0.00000868i, -0.00001497+0.00001287i, +0.00002578+0.00010367i, +0.00011343-0.00016622i
+0.00013568-0.00023037i, +0.01534174-0.00000000i, +0.00008040+0.00001805i, -0.00007672-0.00008513i, -0.00001296+0.00007531i, +0.00005062-0.00004933i, +0.00001542+0.00003085i, +0.00008849-0.00026825i, +0.00001806+0.00007665i, -0.00007272+0.00004708i, +0.00017785+0.00006521i, +0.00000110+0.00021406i, +0.00012534-0.00001235i, -0.00007077-0.00020335i, +0.00013143-0.00006359i, +0.00007012-0.00009479i, -0.00010109+0.00003995i, +0.00002448-0.00000400i, -0.00007059+0.00002456i, +0.00014754-0.00002504i, -0.00003249-0.00001442i, +0.00009743-0.00017598i, -0.00009270+0.00008409i, -0.00001200-0.00002942i, +0.00005210-0.00005250i, -0.00003881+0.00004533i, -0.00011697-0.00006167i, -0.00003269+0.00008999i, +0.00009732-0.00005522i, +0.00001452+0.00007824i, -0.00005157-0.00009113i, -0.00019104+0.00011080i, +0.00009090-0.00002393i, -0.00002166+0.00008855i, +0.00009892+0.00001451i, -0.00000091+0.00006396i, +0.00005249-0.00013404i, +0.00014048+0.00003877i, +0.00007598+0.00001050i, +0.00007938+0.00006676i, +0.00011296+0.00008268i, -0.00009772+0.00018659i, -0.00008837-0.00004161i, +0.00005747+0.00014978i, +0.00002079+0.00009386i, +0.00005279-0.00008855i, -0.00002363-0.00005131i, +0.00001437-0.00000056i, +0.00001829-0.00015579i, +0.00001660-0.00030880i, -0.00012752-0.00008306i, -0.00003895+0.00007416i, +0.00016731+0.00012000i, +0.00008055+0.00009653i, -0.00018097+0.00011018i, +0.00006082+0.00007327i, -0.00003888-0.00000974i, -0.00011905-0.00005660i, +0.00009966+0.00004129i, -0.00006104+0.00000421i, +0.00006148+0.00002882i, -0.00007707+0.00010640i, +0.00013916+0.00005508i, -0.00004422-0.00017868i
+0.00002044+0.00003364i, +0.00008040-0.00001805i, +0.01569095-0.00000000i, +0.00018047-0.00030367i, -0.00002946+0.00006424i, +0.00010528-0.00000533i, -0.00025653+0.00014318i, +0.00015402+0.00024869i, -0.00011173-0.00002337i, -0.00006686-0.00011383i, -0.00015675+0.00002884i, -0.00031223+0.00006390i, +0.00006436+0.00020565i, +0.00029985-0.00011825i, -0.00003946+0.00018897i, +0.00003036+0.00002169i, +0.00006852-0.00006986i, -0.00015471+0.00007405i, -0.00000858-0.00018164i, +0.00018162+0.00011635i, -0.00010587-0.00003147i, +0.00009448+0.00003195i, +0.00003897-0.00014965i, +0.00001824+0.00018020i, +0.00016120+0.00010363i, -0.00010276-0.00013377i, +0.00030990-0.00034905i, -0.00021990-0.00006125i, -0.00005444+0.00006863i, +0.00000263+0.00004077i, +0.00002715-0.00004433i, -0.00023202-0.00011607i, +0.00005186+0.00006575i, +0.00002726+0.00012772i, -0.00004550+0.00022796i, -0.00003709+0.00012206i, +0.00006232-0.00000509i, -0.00002959+0.00012355i, -0.00004390+0.00000168i, -0.00018495-0.00000884i, +0.00005704-0.00000214i, -0.00018715+0.00008381i, +0.00005755+0.00000193i, -0.00012775+0.00015241i, +0.00000346-0.00000595i, +0.00014295+0.00013315i, -0.00000890-0.00012397i, -0.00003543+0.00002154i, +0.00030712+0.00001795i, +0.00002479-0.00005543i, +0.00013960-0.00037071i, -0.00011552-0.00011195i, -0.00003826+0.00017200i, -0.00009395+0.00006230i, -0.00003247-0.00009212i, +0.00005454+0.00006296i, +0.00000508+0.00005801i, +0.00002760-0.00002071i, -0.00008735+0.00016207i, -0.00001128-0.00000523i, -0.00006414+0.00015049i, -0.00003375+0.00009827i, +0.00002088+0.00011817i, +0.00019303+0.00006686i
-0.00008326+0.00004929i, -0.00007672+0.00008513i, +0.00018047+0.00030367i, +0.01593979-0.00000000i, -0.00039301-0.00032427i, +0.00020900+0.00016592i, -0.00019698+0.00002294i, +0.00026707+0.00046641i, -0.00003588-0.00002462i, +0.00002917-0.00002705i, -0.00008728+0.00025563i, -0.00048667+0.00009047i, -0.00010449+0.00027254i, +0.00021107+0.00014638i, -0.00022722+0.00024379i, +0.00014428+0.00002559i, +0.00001200-0.00009555i, -0.00004793-0.00001041i, +0.00013604-0.00025461i, +0.00020202+0.00023520i, -0.00013806-0.00016277i, +0.00018924+0.00022184i, +0.00012368-0.00015644i, -0.00011993+0.00006118i, +0.00004653+0.00007171i, -0.00011349-0.00021694i, +0.00051340-0.00014966i, +0.00002227-0.00016608i, -0.00018701+0.00031779i, -0.00001353-0.00006102i, +0.00007208+0.00018210i, -0.00007735-0.00045896i, +0.00002097+0.00034846i, +0.00019878-0.00006702i, -0.00021168+0.00026815i, -0.00033688+0.00016648i, +0.00013176+0.00001411i, -0.00010831+0.00007883i, -0.00002244-0.00001743i, -0.00051330-0.00017407i, +0.00004338+0.00012848i, -0.00042321-0.00012053i, +0.00015766-0.00000814i, -0.00029397-0.00002979i, -0.00023189-0.00014175i, +0.00027566+0.00028643i, +0.00004379-0.00014293i, -0.00009891-0.00009613i, +0.00014616+0.00014584i, -0.00001952-0.00006651i, +0.00009858-0.00014330i, -0.00008582-0.00063896i, -0.00024994+0.00025010i, -0.00023919-0.00003167i, +0.00009124-0.00019972i, -0.00013900-0.00004890i, -0.00012063-0.00011186i, +0.00011593-0.00004193i, -0.00008749+0.00031841i, -0.00010818+0.00005621i, -0.00025711+0.00012925i, -0.00002842-0.00017855i, -0.00000776+0.00014796i, +0.00026572+0.00028936i
-0.00000762+0.00003465i, -0.00001296-0.00007531i, -0.00002946-0.00006424i, -0.00039301+0.00032427i, +0.01559523-0.00000000i, +0.00003037+0.00032569i, +0.00017413-0.00016472i, -0.00037955-0.00001217i, +0.00021264-0.00003998i, +0.00009132+0.00022983i, +0.00002557-0.00016603i, +0.00019514-0.00019489i, +0.00005498-0.00010309i, -0.00023934+0.00005774i, +0.00005131-0.00014249i, -0.00012571+0.00000027i, +0.00000753-0.00003525i, -0.00000637-0.00002218i, +0.00002095+0.00022663i, -0.00012279-0.00003605i, +0.00015501+0.00006392i, -0.00019305-0.00006919i, -0.00002338+0.00013081i, +0.00005652-0.00003933i, +0.00003690-0.00010016i, +0.00022576-0.00004705i, -0.00003314+0.00025033i, +0.00014394+0.00007016i, -0.00014104-0.00021618i, +0.00002332+0.00009622i, -0.00009228-0.00002085i, +0.00024674+0.00011015i, -0.00022505-0.00026865i, -0.00007143+0.00002318i, -0.00003176-0.00012086i, +0.00008842-0.00020621i, -0.00014844+0.00018766i, +0.00002145-0.00010685i, -0.00000634-0.00000512i, +0.00020626-0.00008301i, -0.00007303-0.00005318i, +0.00015823-0.00011077i, +0.00002644+0.00002101i, +0.00012165-0.00009828i, +0.00018323+0.00001224i, -0.00032142+0.00002586i, +0.00010818+0.00002256i, +0.00006295+0.00001598i, -0.00022200+0.00002720i, +0.00003053+0.00002799i, +0.00001502+0.00018056i, +0.00019141+0.00005285i, -0.00013656-0.00045412i, +0.00014111-0.00019692i, -0.00007006+0.00009313i, +0.00004717+0.00004881i, +0.00017272+0.00002313i, +0.00007540+0.00004088i, -0.00006435-0.00020600i, +0.00001985+0.00002556i, +0.00016163-0.00015388i, +0.00005096-0.00012109i, -0.00014720-0.00000301i, -0.00014146+0.00010560i
+0.00013443+0.00012694i, +0.00005062+0.00004933i, +0.00010528+0.00000533i, +0.00020900-0.00016592i, +0.00003037-0.00032569i, +0.01542584-0.00000000i, -0.00005106+0.00004260i, +0.00021766+0.00012521i, -0.00007905-0.00010205i, +0.00016537+0.00010128i, -0.00002971+0.00020020i, +0.00003200+0.00007227i, +0.00009259+0.00008145i, +0.00020784-0.00008777i, -0.00006937+0.00015102i, -0.00000284+0.00007719i, -0.00002118+0.00005133i, +0.00001752-0.00009427i, +0.00003112-0.00005606i, +0.00000449-0.00003274i, -0.00001643-0.00004450i, +0.00016039+0.00006356i, -0.00015109-0.00003109i, -0.00004886+0.00010666i, -0.00002421+0.00001050i, +0.00002432-0.00012461i, +0.00007831-0.00004102i, -0.00005440+0.00001799i, +0.00000443+0.00008464i, -0.00024583+0.00006170i, +0.00005507-0.00000612i, -0.00001472-0.00008994i, +0.00006002+0.00010717i, +0.00002492-0.00002816i, -0.00005080-0.00000167i, -0.00002239+0.00002910i, +0.00007596-0.00007224i, -0.00014420+0.00019052i, +0.00000479-0.00000571i, -0.00005353-0.00001135i, -0.00004067+0.00007686i, -0.00003445-0.00002636i, +0.00000580-0.00013095i, -0.00010302+0.00003751i, +0.00000268-0.00001047i, +0.00020119-0.00002966i, -0.00000903-0.00010838i, -0.00007865+0.00001801i, +0.00007978-0.00005891i, -0.00001255+0.00001878i, -0.00001616-0.00005781i, -0.00014643+0.00001453i, -0.00000301+0.00013341i, -0.00007964-0.00027935i, +0.00005210+0.00004916i, +0.00002529-0.00005700i, +0.00002328-0.00008052i, +0.00007867+0.00000689i, +0.00005523+0.00007708i, +0.00004759-0.00000954i, -0.00005211+0.00008063i, -0.00003990-0.00000708i, +0.00000046+0.00001219i, +0.00019875-0.00002385i
+0.00013575-0.00011603i, +0.00001542-0.00003085i, -0.00025653-0.00014318i, -0.00019698-0.00002294i, +0.00017413+0.00016472i, -0.00005106-0.00004260i, +0.01557559-0.00000000i, -0.00004029-0.00062590i, +0.00001045+0.00005537i, -0.00008601+0.00023093i, -0.00008091-0.00013142i, +0.00025496+0.00003777i, -0.00000266-0.00018104i, -0.00019984-0.00007431i, +0.00033369-0.00035119i, -0.00017706-0.00012431i, +0.00016089+0.00017732i, +0.00005556+0.00007067i, -0.00001172+0.00011471i, -0.00001172-0.00014330i, +0.00005674+0.00012552i, -0.00008682-0.00027673i, -0.00010061+0.00010956i, +0.00004673+0.00001198i, +0.00000153-0.00003275i, +0.00013922+0.00014269i, -0.00045131+0.00010534i, +0.00010157+0.00015394i, +0.00026234-0.00018242i, -0.00012194+0.00009267i, -0.00024172-0.00010006i, +0.00006255+0.00041959i, +0.00006077-0.00017939i, -0.00009908+0.00005017i, +0.00021765+0.00000650i, +0.00017731+0.00000662i, -0.00012343-0.00008793i, +0.00010884-0.00000443i, -0.00011131+0.00020334i, +0.00011419+0.00020800i, +0.00012799-0.00015294i, +0.00022377+0.00003592i, -0.00014761-0.00003153i, +0.00007072+0.00003982i, +0.00002985+0.00019119i, -0.00025904-0.00020106i, +0.00003815+0.00010942i, +0.00000037+0.00014004i, -0.00019423-0.00004414i, -0.00004444-0.00002674i, -0.00015366+0.00016449i, +0.00005730+0.00031391i, +0.00025651-0.00022688i, +0.00020490+0.00020656i, -0.00004106-0.00005395i, +0.00006769-0.00001247i, +0.00003534+0.00008756i, -0.00008899-0.00007994i, +0.00009309-0.00026816i, +0.00005915-0.00006217i, +0.00024795-0.00010255i, +0.00003097+0.00001612i, +0.00005437-0.00002218i, -0.00027886-0.00020619i
+0.00023458-0.00003943i, +0.00008849+0.00026825i, +0.00015402-0.00024869i, +0.00026707-0.00046641i, -0.00037955+0.00001217i, +0.00021766-0.00012521i, -0.00004029+0.00062590i, +0.01607059-0.00000000i, -0.00017836-0.00000790i, -0.00007760-0.00009463i, -0.00001832+0.00030006i, -0.00038403+0.00047473i, +0.00036549+0.00001526i, +0.00023136-0.00027834i, +0.00031758+0.00039940i, +0.00025774-0.00014565i, -0.00016290-0.00012177i, +0.00002978+0.00000818i, -0.00011031-0.00005783i, +0.00034750-0.00006804i, -0.00034718-0.00000311i, +0.00031590-0.00012081i, -0.00018161-0.00018829i, +0.00006738+0.00037903i, +0.00015434+0.00005670i, -0.00025405-0.00005730i, +0.00000946-0.00062042i, -0.00019330+0.00001941i, +0.00017927+0.00037240i, -0.00015898-0.00001920i, +0.00029557-0.00014883i, -0.00074999-0.00002750i, +0.00040115+0.00003679i, -0.00004037-0.00016023i, +0.00017205+0.00029887i, +0.00001903+0.00029279i, +0.00022088-0.00014285i, -0.00006460+0.00023794i, -0.00006470+0.00008141i, -0.00036002+0.00049302i, +0.00013850+0.00002926i, -0.00019918+0.00034861i, +0.00008938-0.00022922i, -0.00021458+0.00020414i, -0.00028283+0.00010246i, +0.00041423-0.00025646i, -0.00016604-0.00015999i, -0.00003993+0.00007756i, +0.00016022-0.00024390i, +0.00009790+0.00002564i, -0.00016939-0.00026195i, -0.00044096-0.00004097i, +0.00013152+0.00042058i, -0.00033275+0.00036273i, -0.00015939+0.00001048i, -0.00001074-0.00027146i, -0.00008828+0.00003731i, +0.00001763-0.00013058i, +0.00022873+0.00025784i, -0.00005116+0.00003751i, +0.00000144+0.00029979i, -0.00015623+0.00010403i, +0.00009771+0.00007938i, +0.00043839-0.00034258i
-0.00014555-0.00024429i, +0.00001806-0.00007665i, -0.00011173+0.00002337i, -0.00003588+0.00002462i, +0.00021264+0.00003998i, -0.00007905+0.00010205i, +0.00001045-0.00005537i, -0.00017836+0.00000790i, +0.01531926+0.00000000i, +0.00008755+0.00016367i, +0.00004209-0.00015683i, -0.00000949-0.00019607i, -0.00014248+0.00005134i, -0.00020556+0.00016301i, -0.00002361-0.00006181i, -0.00011386+0.00004067i, -0.00004550-0.00007247i, -0.00001782-0.00007619i, +0.00004292+0.00001212i, -0.00005952-0.00006160i, +0.00003087-0.00002878i, -0.00010141+0.00012414i, -0.00000042+0.00003935i, +0.00004217-0.00013349i, -0.00000573-0.00004995i, +0.00000065+0.00002228i, -0.00005713+0.00003641i, +0.00013972-0.00003752i, +0.00001610-0.00002176i, +0.00011173-0.00001113i, +0.00000253+0.00014515i, +0.00003848-0.00007636i, -0.00006839+0.00003794i, +0.00002365-0.00001236i, -0.00007317+0.00002739i, +0.00004002-0.00004811i, -0.00000390+0.00004172i, +0.00002225-0.00002579i, -0.00010937-0.00003598i, +0.00002299-0.00005719i, -0.00006292+0.00020203i, -0.00004809-0.00007005i, -0.00002874+0.00011257i, +0.00003680-0.00010467i, -0.00001818-0.00012428i, +0.00002292+0.00002842i, +0.00000642+0.00010854i, +0.00004134-0.00001063i, -0.00011328+0.00014252i, -0.00000797+0.00008106i, +0.00010758+0.00004709i, +0.00002378-0.00001664i, -0.00019319-0.00007984i, -0.00005530-0.00004730i, +0.00000677+0.00002429i, -0.00002930-0.00001987i, -0.00015333+0.00013186i, -0.00001815+0.00005134i, -0.00022994-0.00013454i, +0.00003086+0.00007763i, -0.00011462-0.00007352i, +0.00003053-0.00010802i, +0.00002342-0.00010569i, -0.00007858+0.00006972i
+0.00001216+0.00000126i, -0.00007272-0.00004708i, -0.00006686+0.00011383i, +0.00002917+0.00002705i, +0.00009132-0.00022983i, +0.00016537-0.00010128i, -0.00008601-0.00023093i, -0.00007760+0.00009463i, +0.00008755-0.00016367i, +0.01555947-0.00000000i, -0.00000564-0.00003619i, -0.00000735-0.00013904i, -0.00007393-0.00002094i, -0.00011349+0.00021218i, -0.00009912-0.00000835i, +0.00004607+0.00008819i, +0.00006547-0.00007526i, +0.00000049-0.00008614i, +0.00008963-0.00005747i, -0.00008514+0.00012519i, +0.00009487-0.00012268i, -0.00004356+0.00014167i, +0.00008560+0.00008836i, -0.00011484+0.00003285i, -0.00008058-0.00005781i, +0.00000152-0.00007709i, +0.00008673+0.00011805i, +0.00001505+0.00002164i, -0.00021429+0.00014159i, +0.00006491+0.00006271i, -0.00006240+0.00006263i, +0.00008797-0.00021398i, -0.00018868+0.00015873i, +0.00007281-0.00004146i, -0.00016488-0.00011744i, -0.00003282-0.00012502i, -0.00001176+0.00005016i, -0.00015431-0.00003547i, -0.00007852+0.00004837i, -0.00003018-0.00013567i, -0.00002517+0.00003181i, -0.00002152+0.00001650i, +0.00000128+0.00012819i, -0.00002419-0.00013704i, +0.00003671-0.00013202i, +0.00004400+0.00010443i, -0.00000252+0.00008974i, +0.00005746-0.00010928i, +0.00001414+0.00010127i, -0.00000603+0.00008795i, +0.00009219+0.00002020i, +0.00013403-0.00016269i, -0.00023048-0.00009931i, -0.00006621-0.00021898i, +0.00004193-0.00000120i, +0.00001744+0.00007831i, +0.00004972-0.00013121i, +0.00001163+0.00022472i, -0.00015255+0.00009314i, -0.00005877+0.00011287i, -0.00014393-0.00001402i, -0.00003838-0.00009195i, +0.00002682-0.00006389i, -0.00004263+0.00020242i
-0.00001444-0.00010774i, +0.00017785-0.00006521i, -0.00015675-0.00002884i, -0.00008728-0.00025563i, +0.00002557+0.00016603i, -0.00002971-0.00020020i, -0.00008091+0.00013142i, -0.00001832-0.00030006i, +0.00004209+0.00015683i, -0.00000564+0.00003619i, +0.01590496+0.00000000i, +0.00030238-0.00008740i, -0.00008708-0.00023453i, -0.00040379-0.00024500i, +0.00027896-0.00014379i, -0.00008542-0.00016065i, -0.00005906+0.00012298i, +0.00006267-0.00006648i, -0.00018632+0.00011661i, +0.00007091-0.00007704i, +0.00006624+0.00013170i, +0.00007249-0.00018860i, -0.00024013+0.00008913i, +0.00012151+0.00007879i, +0.00008278-0.00006134i, -0.00007522+0.00022272i, -0.00029920+0.00007341i, +0.00006564+0.00004192i, +0.00030712+0.00000082i, +0.00006875+0.00020306i, -0.00004619-0.00006545i, -0.00002158+0.00030234i, +0.00002478-0.00029843i, -0.00007598+0.00012677i, +0.00015717-0.00014820i, +0.00012341+0.00009723i, -0.00013985-0.00018853i, +0.00013596+0.00004966i, +0.00023029-0.00005899i, +0.00026144+0.00020253i, +0.00003163-0.00012916i, +0.00025036+0.00017556i, -0.00023470+0.00002519i, +0.00017637+0.00022520i, +0.00016425+0.00015639i, -0.00017822-0.00020660i, -0.00009299+0.00012753i, +0.00005812+0.00008900i, -0.00018064-0.00025075i, -0.00000897-0.00001226i, -0.00027190+0.00019659i, -0.00008288+0.00020795i, +0.00020538-0.00006327i, +0.00006123+0.00013480i, -0.00006939+0.00012621i, -0.00001489+0.00000787i, +0.00006335+0.00000178i, +0.00005223+0.00008150i, +0.00016976-0.00000273i, -0.00004390-0.00013703i, +0.00016923+0.00007268i, +0.00013397+0.00008560i, +0.00006110+0.00001065i, -0.00020423-0.00027037i
