+0.01583578+0.00000000i, +0.00034634-0.00016875i, +0.00007931-0.00006169i, +0.00031329+0.00006248i, -0.00017210-0.00022931i, -0.00010373+0.00014743i, +0.00026997-0.00017098i, -0.00009934-0.00020270i, +0.00012972+0.00022103i, -0.00004044-0.00008836i, +0.00009526+0.00000351i, -0.00016359+0.00000069i, -0.00008986-0.00014911i, -0.00044017-0.00006439i, +0.00011474+0.00014329i, +0.00010566-0.00009564i, +0.00016045-0.00016121i, -0.00000865+0.00021893i, +0.00010827-0.00013506i, +0.00014259-0.00001342i, +0.00012801-0.00021953i, +0.00010075+0.00019586i, -0.00030085+0.00005656i, -0.00018057+0.00009780i, +0.00031846+0.00004593i, -0.00006285+0.00006374i, -0.00005677-0.00009497i, +0.00018628-0.00030663i, +0.00011522-0.00012591i, +0.00011662+0.00007297i, -0.00002529+0.00006257i, -0.00008264+0.00016644i, -0.00017068-0.00024776i, +0.00014525-0.00002667i, -0.00009937-0.00000111i, -0.00018935-0.00010188i, +0.00020550+0.00016946i, +0.00027190-0.00001412i, -0.00002421-0.00003951i, +0.00005681+0.00026390i, +0.00022297-0.00004269i, +0.00014276+0.00022049i, +0.00005069+0.00003493i, -0.00002187-0.00003287i, +0.00020404+0.00001645i, -0.00001824+0.00015170i, -0.00005814+0.00000311i, -0.00004616-0.00005128i, +0.00002207-0.00017277i, -0.00007907-0.00009781i, +0.00008808+0.00008815i, -0.00001693+0.00006920i, +0.00005802+0.00017136i, +0.00008017+0.00021026i, -0.00013266-0.00014096i, +0.00006860-0.00004449i, -0.00000477-0.00003872i, +0.00008857-0.00002263i, -0.00018745+0.00009731i, +0.00015624-0.00005385i, +0.00023032-0.00004600i, +0.00003091+0.00017600i, -0.00002798-0.00027967i, -0.00003569-0.00010584i
+0.00034634+0.00016875i, +0.01583608+0.00000000i, +0.00030054-0.00017746i, +0.00002313+0.00011036i, -0.00004840-0.00019551i, -0.00011756+0.00010295i, +0.00014642-0.00015347i, -0.00018885-0.00018754i, +0.00013733+0.00033087i, -0.00006054+0.00013394i, -0.00003500+0.00001824i, -0.00022545-0.00011589i, -0.00001314-0.00006329i, -0.00040223+0.00002270i, -0.00008186+0.00014180i, +0.00007754-0.00019773i, +0.00014931+0.00000978i, +0.00001632+0.00015420i, +0.00012323-0.00001666i, +0.00005546+0.00010835i, +0.00018007-0.00014280i, +0.00009903+0.00023308i, -0.00015239-0.00008417i, -0.00023056-0.00004105i, +0.00015899+0.00002808i, -0.00005086-0.00001378i, -0.00013158-0.00009566i, +0.00032937-0.00018723i, +0.00013808-0.00002320i, +0.00009880+0.00006826i, +0.00007896-0.00000734i, -0.00015815+0.00010653i, -0.00010532-0.00015191i, +0.00004056-0.00017465i, -0.00002495-0.00009046i, -0.00025701-0.00009154i, +0.00013115+0.00011748i, +0.00024458+0.00001355i, -0.00001427-0.00000833i, +0.00004688+0.00034620i, +0.00014720+0.00001396i, +0.00020634+0.00022181i, +0.00004120-0.00006889i, +0.00000731+0.00001319i, +0.00014336+0.00004045i, +0.00001008+0.00017451i, +0.00002302+0.00006226i, +0.00002135-0.00005926i, +0.00010924-0.00014868i, -0.00008909-0.00010492i, +0.00005379+0.00007924i, +0.00003107+0.00012986i, -0.00000701+0.00018570i, -0.00006323+0.00020410i, -0.00005929-0.00009403i, +0.00014187-0.00004303i, -0.00006319+0.00019498i, +0.00016504+0.00003207i, -0.00011781+0.00007058i, +0.00018361+0.00002033i, +0.00021408+0.00000182i, -0.00007454+0.00016063i, +0.00000774-0.00021958i, -0.00009254-0.00001821i
+0.00007931+0.00006169i, +0.00030054+0.00017746i, +0.01533596+0.00000000i, +0.00000963+0.00010858i, +0.00005768-0.00014111i, -0.00011142+0.00007991i, +0.00011249-0.00002420i, +0.00007445-0.00016259i, -0.00002189+0.00014781i, -0.00005880-0.00000161i, -0.00011769+0.00008176i, -0.00002694-0.00010901i, +0.00003328-0.00002993i, -0.00005694-0.00019513i, +0.00002532+0.00011751i, +0.00015853-0.00000438i, +0.00006067+0.00004295i, -0.00003037+0.00004843i, +0.00005912+0.00004300i, +0.00003271+0.00006127i, +0.00004491+0.00010178i, -0.00002632+0.00005047i, -0.00005866-0.00000116i, -0.00003574-0.00008292i, +0.00005280+0.00001261i, -0.00012455-0.00001218i, +0.00001747-0.00002760i, +0.00005946+0.00001901i, +0.00003887-0.00000892i, +0.00005994+0.00000387i, +0.00002118-0.00003474i, -0.00007311-0.00003242i, +0.00001278-0.00004555i, +0.00003155-0.00001111i, -0.00007959-0.00019237i, -0.00008342-0.00009721i, +0.00002725+0.00002724i, +0.00003041+0.00006872i, -0.00004597-0.00007020i, +0.00001421+0.00010186i, +0.00000438-0.00003851i, +0.00000704+0.00005494i, +0.00014280+0.00004860i, -0.00001082+0.00005730i, +0.00003356+0.00000226i, -0.00006153+0.00009344i, -0.00001087-0.00002549i, -0.00001310-0.00000771i, +0.00007491-0.00001140i, +0.00001604-0.00009812i, -0.00001286-0.00004399i, +0.00009562+0.00001368i, -0.00006776-0.00003740i, -0.00005503+0.00006352i, +0.00004530-0.00008469i, +0.00007482+0.00002600i, -0.00006052+0.00000478i, -0.00000641+0.00011390i, -0.00004470-0.00005028i, +0.00006519+0.00011351i, +0.00000990+0.00001336i, -0.00003289+0.00002419i, +0.00011305-0.00005104i, -0.00008328-0.00006400i
+0.00031329-0.00006248i, +0.00002313-0.00011036i, +0.00000963-0.00010858i, +0.01563786+0.00000000i, -0.00005734+0.00000907i, -0.00001810+0.00010056i, +0.00000682-0.00007434i, -0.00002822+0.00011320i, +0.00004500-0.00002685i, -0.00001334-0.00008066i, -0.00006937+0.00003816i, -0.00002960+0.00015899i, -0.00002714+0.00009917i, -0.00010546+0.00018978i, -0.00003018-0.00013467i, +0.00002097-0.00007782i, -0.00004422-0.00005486i, +0.00011391+0.00001129i, +0.00001619+0.00002503i, +0.00013764-0.00023759i, -0.00013493-0.00015111i, +0.00021396-0.00015466i, -0.00000768+0.00014257i, +0.00004352+0.00018899i, -0.00004299-0.00009959i, -0.00001786-0.00003602i, -0.00012199+0.00013180i, -0.00003850-0.00006785i, -0.00000425-0.00017721i, -0.00002002-0.00004549i, -0.00003078+0.00002405i, +0.00011114+0.00006076i, -0.00002211+0.00009675i, -0.00006383-0.00005769i, -0.00004946+0.00000236i, -0.00005190+0.00009232i, +0.00006734-0.00015619i, -0.00006633-0.00009484i, -0.00004058+0.00001915i, +0.00012871-0.00013640i, -0.00004099-0.00008790i, +0.00011281-0.00005194i, +0.00001384-0.00007131i, +0.00009317+0.00005934i, -0.00000995-0.00010765i, +0.00011542+0.00002904i, +0.00004818-0.00002234i, -0.00018230-0.00001848i, -0.00004639-0.00000208i, -0.00002873-0.00000938i, +0.00006221-0.00002348i, +0.00001326-0.00005242i, +0.00010029-0.00000900i, +0.00012375-0.00000345i, -0.00001205+0.00005201i, -0.00003472-0.00007797i, +0.00014814+0.00006188i, +0.00000192-0.00002816i, +0.00010329+0.00009025i, +0.00004500-0.00018963i, -0.00000248-0.00003020i, +0.00012627+0.00004441i, -0.00012972+0.00005605i, -0.00007520+0.00005485i
-0.00017210+0.00022931i, -0.00004840+0.00019551i, +0.00005768+0.00014111i, -0.00005734-0.00000907i, +0.01575947-0.00000000i, +0.00007303-0.00015452i, +0.00006219-0.00002819i, -0.00004677+0.00008065i, -0.00007911+0.00015318i, -0.00011254-0.00005287i, -0.00000181+0.00000694i, +0.00009447-0.00011207i, +0.00017240+0.00006358i, +0.00016997-0.00026103i, -0.00019862+0.00001183i, +0.00004249+0.00004388i, +0.00009569+0.00008406i, -0.00011056-0.00005695i, +0.00001871+0.00026119i, -0.00004745+0.00003158i, +0.00006638+0.00016266i, -0.00009937-0.00001470i, +0.00010728-0.00023984i, +0.00008902-0.00015614i, -0.00004629+0.00020671i, -0.00008637+0.00001884i, +0.00012596+0.00003677i, +0.00013057+0.00026780i, -0.00005601+0.00008800i, -0.00003266+0.00004757i, +0.00001328+0.00000163i, -0.00001541-0.00018018i, +0.00016232-0.00000650i, -0.00003737+0.00009924i, -0.00000383-0.00006362i, +0.00011204-0.00018684i, -0.00025605-0.00007567i, -0.00010864+0.00017631i, +0.00002841-0.00005831i, -0.00020371+0.00000260i, -0.00012553-0.00003239i, -0.00020504-0.00000335i, +0.00000361+0.00002561i, -0.00001037-0.00000756i, -0.00009914+0.00013106i, -0.00006976-0.00002488i, +0.00000075+0.00002358i, +0.00006329-0.00002035i, +0.00003804+0.00009278i, -0.00000288-0.00002313i, -0.00009727-0.00000155i, +0.00001590-0.00002576i, -0.00015089-0.00002744i, -0.00016319-0.00008101i, +0.00014333-0.00007525i, +0.00001911+0.00012098i, -0.00004980+0.00001845i, -0.00014504+0.00006893i, -0.00001059-0.00015272i, +0.00004448+0.00010775i, -0.00006281+0.00024811i, -0.00012243-0.00005545i, +0.00027583+0.00016102i, +0.00003552-0.00001275i
-0.00010373-0.00014743i, -0.00011756-0.00010295i, -0.00011142-0.00007991i, -0.00001810-0.00010056i, +0.00007303+0.00015452i, +0.01575352-0.00000000i, -0.00044703+0.00004733i, -0.00009801+0.00020959i, +0.00011125-0.00004753i, +0.00002237+0.00003377i, +0.00008903-0.00009217i, +0.00002063+0.00022082i, -0.00004682+0.00022083i, +0.00024795+0.00013401i, -0.00001197-0.00016199i, -0.00001963+0.00006818i, +0.00001632-0.00002524i, +0.00006498-0.00013438i, -0.00014149-0.00003113i, -0.00002037-0.00017074i, -0.00016591-0.00004257i, +0.00006437-0.00022500i, +0.00014999+0.00006361i, +0.00008814+0.00008265i, -0.00013429-0.00010082i, -0.00010598+0.00010670i, +0.00008797+0.00008687i, -0.00016653+0.00002357i, -0.00015029-0.00000576i, -0.00008162-0.00011247i, -0.00003968-0.00007842i, +0.00013390+0.00003699i, -0.00001583+0.00019280i, -0.00005199+0.00004408i, +0.00002901+0.00005086i, +0.00011632+0.00022454i, -0.00005478-0.00010929i, -0.00016275-0.00022345i, -0.00004887+0.00010100i, +0.00015403-0.00020072i, -0.00006413-0.00001125i, +0.00002298-0.00020170i, -0.00011245-0.00008104i, +0.00000636-0.00002975i, -0.00010420-0.00000962i, -0.00001799-0.00005463i, +0.00000446-0.00001134i, +0.00000823+0.00004244i, -0.00013364+0.00008642i, -0.00007821+0.00005806i, -0.00004094-0.00008892i, +0.00001315-0.00004638i, +0.00001758-0.00015778i, -0.00002481-0.00010911i, -0.00009587+0.00013225i, -0.00013221+0.00001542i, +0.00011436-0.00006489i, +0.00000124-0.00005221i, +0.00016296-0.00001327i, -0.00013320-0.00000149i, -0.00018079-0.00005508i, +0.00005081+0.00006421i, -0.00004308+0.00015092i, +0.00002361+0.00004337i
+0.00026997+0.00017098i, +0.00014642+0.00015347i, +0.00011249+0.00002420i, +0.00000682+0.00007434i, +0.00006219+0.00002819i, -0.00044703-0.00004733i, +0.01560472+0.00000000i, +0.00013548-0.00015005i, -0.00014338+0.00018594i, +0.00006871+0.00011482i, +0.00003303+0.00003369i, +0.00003606-0.00002006i, +0.00016763-0.00014750i, -0.00013945-0.00019703i, -0.00001206+0.00004265i, -0.00000639-0.00000868i, +0.00003674+0.00009761i, -0.00013449+0.00007181i, +0.00000346+0.00009193i, +0.00003732+0.00005109i, +0.00021373+0.00007996i, -0.00000798+0.00026006i, +0.00006641-0.00021627i, -0.00007470-0.00008301i, +0.00005750+0.00021218i, -0.00004148+0.00000747i, -0.00003045-0.00012402i, +0.00029518+0.00000512i, +0.00002276+0.00003463i, -0.00000288+0.00003463i, -0.00004249+0.00007080i, -0.00012764-0.00000693i, +0.00003573-0.00020501i, +0.00004895+0.00008614i, +0.00000631-0.00007265i, -0.00004618-0.00024408i, +0.00002260+0.00012032i, +0.00003588+0.00016088i, -0.00004668-0.00011986i, -0.00017399+0.00022424i, +0.00008803+0.00011984i, -0.00011126+0.00018522i, +0.00012675+0.00006048i, -0.00000179-0.00002666i, +0.00014134+0.00010849i, -0.00017079-0.00001545i, -0.00008261+0.00000704i, +0.00010238-0.00004870i, +0.00009534-0.00002474i, -0.00001329-0.00009433i, +0.00000082-0.00000751i, -0.00001953+0.00008561i, -0.00007591+0.00011456i, -0.00010757+0.00012860i, +0.00006156-0.00017733i, +0.00010678+0.00008113i, -0.00005588+0.00003956i, -0.00007082+0.00005902i, -0.00013772-0.00003591i, +0.00021544+0.00006284i, +0.00007182+0.00013168i, -0.00014017+0.00005340i, +0.00021751+0.00000947i, -0.00003919-0.00011687i
-0.00009934+0.00020270i, -0.00018885+0.00018754i, +0.00007445+0.00016259i, -0.00002822-0.00011320i, -0.00004677-0.00008065i, -0.00009801-0.00020959i, +0.00013548+0.00015005i, +0.01561652+0.00000000i, -0.00010891-0.00002670i, -0.00003783-0.00007028i, -0.00012271+0.00005936i, +0.00005728-0.00019691i, +0.00017212-0.00004530i, +0.00005691-0.00023214i, -0.00007826+0.00012714i, +0.00016727+0.00007856i, -0.00014278+0.00013811i, -0.00005437-0.00016595i, -0.00002203+0.00008868i, -0.00011786+0.00003745i, +0.00002324+0.00020701i, -0.00015846-0.00004770i, +0.00013795-0.00026093i, +0.00008922-0.00016403i, -0.00011379+0.00011348i, -0.00005987-0.00001585i, +0.00016182-0.00009738i, +0.00005684+0.00023374i, -0.00005358-0.00003870i, -0.00003416+0.00003738i, +0.00003455-0.00006851i, -0.00008448-0.00023197i, +0.00014740-0.00001209i, +0.00004396+0.00023506i, +0.00009923+0.00003720i, +0.00019049-0.00026539i, -0.00018222+0.00007304i, -0.00010067+0.00025884i, +0.00005833-0.00001052i, -0.00036514-0.00013931i, +0.00000302+0.00012652i, -0.00022800+0.00000940i, +0.00006636+0.00004393i, +0.00002696+0.00006979i, -0.00005164+0.00013342i, -0.00001507-0.00007769i, +0.00002145-0.00001360i, -0.00005994+0.00005465i, +0.00010502+0.00010419i, +0.00014713-0.00001368i, -0.00007819-0.00001048i, -0.00002777-0.00002276i, -0.00012007-0.00002645i, -0.00015859-0.00006952i, +0.00013135-0.00007149i, +0.00001471+0.00001494i, -0.00001776-0.00007864i, -0.00003788-0.00001663i, -0.00006177-0.00021612i, +0.00006084+0.00018750i, -0.00001709+0.00018379i, -0.00011952-0.00004230i, +0.00027782+0.00000308i, +0.00006445+0.00012496i
+0.00012972-0.00022103i, +0.00013733-0.00033087i, -0.00002189-0.00014781i, +0.00004500+0.00002685i, -0.00007911-0.00015318i, +0.00011125+0.00004753i, -0.00014338-0.00018594i, -0.00010891+0.00002670i, +0.01563331+0.00000000i, +0.00000548-0.00003772i, +0.00003733-0.00007917i, +0.00009546+0.00003394i, -0.00011630-0.00003877i, -0.00005490+0.00019973i, +0.00003785+0.00009401i, -0.00015845-0.00003139i, +0.00012905-0.00012836i, +0.00007403+0.00019393i, +0.00007486-0.00012284i, +0.00014891-0.00005136i, +0.00005931-0.00017612i, +0.00011135-0.00012466i, -0.00003520+0.00007756i, -0.00011307+0.00017037i, +0.00001583-0.00008673i, +0.00001800-0.00000356i, -0.00012679+0.00007955i, -0.00001687-0.00024199i, -0.00006646-0.00002998i, +0.00006226+0.00001182i, +0.00009184-0.00004771i, +0.00000561+0.00006287i, -0.00010881-0.00004928i, +0.00001014-0.00015850i, -0.00005166-0.00004866i, -0.00015033+0.00019795i, +0.00020198-0.00004127i, +0.00004378-0.00019187i, +0.00003910+0.00008039i, +0.00025677+0.00008621i, -0.00013716-0.00026755i, +0.00015891+0.00003490i, -0.00010814-0.00006405i, -0.00000185-0.00001738i, -0.00003363-0.00015844i, +0.00003621+0.00005201i, +0.00001010+0.00003407i, -0.00008139+0.00000738i, +0.00007383+0.00007199i, -0.00003591+0.00002658i, +0.00005693+0.00004999i, +0.00003443-0.00005260i, +0.00010029+0.00003950i, +0.00013567+0.00010863i, -0.00008547+0.00000475i, +0.00005602-0.00008816i, +0.00007389+0.00010166i, +0.00017502+0.00002196i, +0.00003314+0.00013551i, -0.00002856-0.00011602i, +0.00011058-0.00011309i, +0.00011241+0.00005412i, -0.00016574-0.00013756i, -0.00004765+0.00004995i
-0.00004044+0.00008836i, -0.00006054-0.00013394i, -0.00005880+0.00000161i, -0.00001334+0.00008066i, -0.00011254+0.00005287i, +0.00002237-0.00003377i, +0.00006871-0.00011482i, -0.00003783+0.00007028i, +0.00000548+0.00003772i, +0.01552940-0.00000000i, +0.00022397-0.00007478i, +0.00002299-0.00000431i, +0.00002101-0.00001214i, -0.00009379+0.00006806i, -0.00001216-0.00006832i, -0.00002935-0.00002333i, +0.00000935-0.00005196i, -0.00002122+0.00004885i, -0.00002479-0.00003383i, +0.00010227+0.00002314i, -0.00004822-0.00007069i, +0.00008535-0.00006651i, -0.00005807+0.00012781i, -0.00007275+0.00003759i, +0.00002419-0.00000020i, +0.00005844+0.00005660i, +0.00001598-0.00001258i, -0.00003414-0.00010671i, +0.00004867+0.00005612i, -0.00003213-0.00004723i, +0.00004812-0.00006771i, -0.00008461+0.00009099i, -0.00003964-0.00000678i, +0.00013103-0.00009559i, +0.00000333+0.00001767i, +0.00000118+0.00005981i, +0.00001895+0.00002801i, +0.00007250+0.00000252i, -0.00002666-0.00002873i, +0.00008377-0.00006495i, +0.00004320-0.00000362i, -0.00009454-0.00017523i, -0.00000021-0.00001688i, -0.00000844+0.00000353i, -0.00000864+0.00004108i, -0.00002416+0.00002725i, -0.00002827-0.00000048i, +0.00001326-0.00007059i, -0.00002015-0.00001756i, +0.00010791+0.00015757i, -0.00002571+0.00001811i, +0.00001817+0.00001790i, +0.00001561-0.00001428i, -0.00004046+0.00008255i, +0.00000607+0.00002753i, +0.00002394+0.00003635i, -0.00005013+0.00008806i, +0.00005244-0.00004837i, -0.00007312+0.00001927i, -0.00005065-0.00003305i, +0.00002822-0.00004379i, -0.00000659+0.00004854i, +0.00003593+0.00003240i, -0.00002582-0.00000667i
+0.00009526-0.00000351i, -0.00003500-0.00001824i, -0.00011769-0.00008176i, -0.00006937-0.00003816i, -0.00000181-0.00000694i, +0.00008903+0.00009217i, +0.00003303-0.00003369i, -0.00012271-0.00005936i, +0.00003733+0.00007917i, +0.00022397+0.00007478i, +0.01526662+0.00000000i, +0.00001086+0.00001906i, +0.00001572-0.00004665i, -0.00005772-0.00003670i, +0.00002970+0.00009397i, -0.00007678-0.00002335i, +0.00006827+0.00002425i, -0.00002325-0.00000540i, -0.00001794+0.00002270i, -0.00002992+0.00000562i, +0.00000849-0.00001351i, +0.00008210-0.00007496i, -0.00015218+0.00012594i, -0.00000315-0.00001037i, -0.00002765-0.00003185i, +0.00002542+0.00003367i, +0.00000697+0.00004135i, -0.00004195-0.00003368i, -0.00004172-0.00005712i, +0.00007263+0.00000931i, +0.00001132-0.00005135i, -0.00001028+0.00002232i, +0.00003071-0.00001252i, -0.00001699+0.00000662i, +0.00001097-0.00001409i, -0.00008538-0.00002104i, +0.00000056+0.00005269i, +0.00003470+0.00001007i, -0.00010114+0.00001599i, +0.00002830+0.00005735i, +0.00002208+0.00002246i, +0.00001668-0.00001730i, -0.00004314-0.00021991i, +0.00000473-0.00005757i, +0.00006187-0.00003084i, +0.00000178+0.00001331i, -0.00002670+0.00002246i, -0.00001874-0.00005476i, +0.00000868-0.00004871i, -0.00004266-0.00006254i, +0.00010983+0.00021967i, +0.00000963+0.00000296i, -0.00003858-0.00000522i, -0.00005954-0.00002053i, -0.00003975-0.00004711i, -0.00004421-0.00000075i, +0.00004381+0.00004663i, -0.00000947+0.00000014i, -0.00002784-0.00001282i, -0.00001988-0.00000973i, +0.00005868+0.00000840i, +0.00002037+0.00004839i, -0.00005020+0.00000122i, -0.00002394+0.00002812i
