+0.00721161-0.00000000i, -0.00216762-0.00710683i, -0.00149253-0.00200545i, +0.00303068+0.00196213i, -0.00703366-0.00297065i, -0.00277965+0.00905642i, +0.00005464-0.00548546i, +0.00476244+0.00282278i, +0.00062613-0.00157518i, -0.00131738+0.00144751i, +0.00142997+0.00046823i, +0.00181855+0.00105915i, +0.00100376-0.00525150i, -0.00605492-0.00154116i, +0.00438809+0.00034449i, -0.00165052+0.00488378i, -0.00082617-0.00227459i, -0.00362086+0.00170111i, -0.00140229+0.00247679i, -0.00171842-0.00091957i, -0.00328776+0.00206595i, +0.00219628+0.00280869i, -0.00083124-0.00174373i, +0.00348803-0.00022777i, -0.00135355+0.00451441i, +0.00472661+0.00073458i, +0.00226086+0.00042130i, -0.00250220+0.00275174i, -0.00241508+0.00342325i, +0.00523376+0.00247045i, -0.00332810+0.00012154i, +0.00125544-0.00200212i, -0.00095455-0.00379480i, -0.00154232+0.00038796i, -0.00124333-0.00222757i, +0.00311489-0.00399203i, +0.00360545+0.00257896i, +0.00450990-0.00420345i, -0.00241138+0.00453811i, -0.00440883-0.00251090i, +0.00072580+0.00759310i, +0.00898108-0.00315877i, +0.00291318-0.00311845i, -0.00073579+0.00364879i, -0.00540068+0.00886851i, +0.01120027+0.00478994i, -0.00638273-0.00105226i, +0.00523886-0.00509279i, -0.00809007-0.00041035i, +0.00119669+0.00700273i, -0.00031187+0.00240165i, -0.00438497-0.00390760i, +0.00730550+0.00126078i, +0.00102968-0.01017031i, +0.00194837+0.00623231i, -0.00539758-0.00038705i, -0.00392220-0.00119084i, +0.00021378+0.00669934i, +0.00295942+0.00246324i, -0.00070200+0.00057821i, -0.00361780-0.00817400i, -0.00851974+0.00444989i, +0.00476469-0.00291649i, +0.00079346+0.00750592i
-0.00216762+0.00710683i, +0.01208402+0.00000000i, +0.00363998-0.00161333i, -0.00289036+0.00259384i, +0.00664189-0.00651884i, -0.01057678-0.00900999i, +0.00652589+0.00315640i, -0.00644729+0.00440231i, +0.00118074+0.00165518i, -0.00079558-0.00263546i, -0.00112550+0.00103309i, -0.00282513+0.00168233i, +0.00514594+0.00375877i, +0.00587989-0.00679188i, -0.00298287+0.00491941i, -0.00503904-0.00489009i, +0.00297378-0.00031438i, -0.00023613-0.00636992i, -0.00228010-0.00315471i, +0.00226577-0.00189895i, -0.00096347-0.00482060i, -0.00538076+0.00193831i, +0.00262914-0.00055966i, -0.00152399+0.00477325i, -0.00448593-0.00330839i, -0.00327698+0.00613240i, -0.00149396+0.00262963i, -0.00218246-0.00457313i, -0.00285794-0.00381057i, -0.00605588+0.00584900i, +0.00149951-0.00416372i, +0.00217164+0.00231359i, +0.00426416+0.00119257i, -0.00068245-0.00244875i, +0.00275171-0.00026815i, +0.00302466+0.00638555i, -0.00464740+0.00322692i, +0.00316189+0.00842322i, -0.00413375-0.00524286i, +0.00589744-0.00452278i, -0.00864255-0.00207295i, -0.00015267+0.01433062i, +0.00254769+0.00558596i, -0.00411840-0.00224173i, -0.00744885-0.01001030i, -0.01298952+0.01270409i, +0.00474232-0.00744407i, +0.00365278+0.00940191i, +0.00376113-0.00805020i, -0.01125166-0.00131246i, -0.00311752-0.00094216i, +0.00693249-0.00316276i, -0.00459303+0.00771164i, +0.01321523+0.00739252i, -0.00862936-0.00114789i, +0.00337898-0.00684377i, +0.00254210-0.00386097i, -0.00959815-0.00322629i, -0.00489418+0.00215435i, -0.00109209-0.00145642i, +0.01089054-0.00024839i, -0.00137144-0.01418680i, +0.00121493+0.00737848i, -0.01007266-0.00322204i
-0.00149253+0.00200545i, +0.00363998+0.00161333i, +0.00414904+0.00000000i, -0.00132116+0.00151282i, +0.00321061-0.00096547i, -0.00157112-0.00425446i, +0.00226871+0.00258637i, -0.00277490+0.00004695i, -0.00050174+0.00065414i, +0.00018608-0.00054130i, -0.00043245-0.00028524i, -0.00079921-0.00002095i, +0.00092988+0.00185712i, +0.00257000-0.00063051i, -0.00196703+0.00138465i, -0.00060312-0.00217401i, +0.00101976+0.00025769i, +0.00098197-0.00195801i, +0.00003709-0.00224281i, +0.00115491+0.00005304i, +0.00067502-0.00200701i, -0.00216529-0.00039903i, +0.00154073-0.00004786i, -0.00132401+0.00144675i, -0.00096047-0.00182762i, -0.00179712+0.00136530i, -0.00110851+0.00140861i, -0.00034400-0.00191840i, -0.00059457-0.00161975i, -0.00274507+0.00103655i, +0.00169215-0.00169235i, +0.00047717+0.00124806i, +0.00111753+0.00145195i, +0.00029205-0.00063817i, -0.00007432-0.00029995i, +0.00005774+0.00205179i, -0.00225071+0.00050700i, -0.00047501+0.00310705i, -0.00060078-0.00284396i, +0.00265779-0.00027854i, -0.00231284-0.00185019i, -0.00226482+0.00427352i, -0.00013333+0.00404151i, -0.00201980-0.00148600i, -0.00074714-0.00448922i, -0.00587159+0.00162464i, +0.00371868-0.00273454i, -0.00043726+0.00370550i, +0.00255448-0.00183233i, -0.00287632-0.00200302i, -0.00322447-0.00050822i, +0.00262551-0.00057021i, -0.00263539+0.00182536i, +0.00263782+0.00436542i, -0.00346536-0.00237838i, +0.00236137-0.00148206i, +0.00101882-0.00085268i, -0.00242345-0.00247436i, -0.00302904-0.00076434i, +0.00047788-0.00134950i, +0.00368495+0.00182938i, +0.00191502-0.00433900i, -0.00048793+0.00361264i, -0.00263876-0.00274410i
+0.00303068-0.00196213i, -0.00289036-0.00259384i, -0.00132116-0.00151282i, +0.00588256-0.00000000i, -0.00350101+0.00142710i, +0.00243654+0.00509050i, -0.00228767-0.00236007i, +0.00377189-0.00030036i, -0.00040130-0.00056218i, +0.00081882+0.00114535i, +0.00047595-0.00028532i, +0.00106878-0.00080941i, -0.00199485-0.00221754i, -0.00312010+0.00224260i, +0.00181954-0.00179834i, +0.00128640+0.00331244i, -0.00081662-0.00029720i, -0.00083345+0.00186926i, +0.00010815+0.00142344i, -0.00071853-0.00066353i, -0.00076410+0.00168275i, +0.00160130+0.00079554i, -0.00095159-0.00062937i, +0.00200549-0.00153738i, +0.00091589+0.00231300i, +0.00250062-0.00128293i, +0.00156266-0.00068378i, -0.00041761+0.00312140i, +0.00009914+0.00230445i, +0.00360628-0.00077599i, -0.00164929+0.00112411i, +0.00053369-0.00198714i, -0.00147563-0.00143117i, -0.00089287+0.00019201i, -0.00156566+0.00003488i, -0.00153440-0.00386567i, +0.00219139-0.00032174i, +0.00054181-0.00374449i, +0.00063881+0.00273807i, -0.00294241+0.00017338i, +0.00262876+0.00272239i, +0.00260334-0.00449873i, +0.00119667-0.00227722i, +0.00089576+0.00408681i, +0.00099687+0.00513208i, +0.00671819-0.00212232i, -0.00327826+0.00195065i, +0.00125469-0.00534897i, -0.00328936+0.00208366i, +0.00233215+0.00269042i, +0.00103983+0.00195330i, -0.00658489+0.00023124i, +0.00297972-0.00209765i, -0.00359544-0.00484786i, +0.00313664+0.00193927i, -0.00331864+0.00141681i, -0.00185058+0.00068304i, +0.00274052+0.00261355i, +0.00151207+0.00062772i, -0.00138815-0.00039045i, -0.00419296-0.00182438i, -0.00216921+0.00514100i, +0.00090747-0.00317252i, +0.00360931+0.00396530i
-0.00703366+0.00297065i, +0.00664189+0.00651884i, +0.00321061+0.00096547i, -0.00350101-0.00142710i, +0.01608752-0.00000000i, -0.00090054-0.01846190i, +0.00292314+0.01051726i, -0.01117210-0.00214605i, -0.00039166+0.00285723i, +0.00153343-0.00289118i, -0.00190423-0.00005053i, -0.00378561-0.00053415i, +0.00104424+0.01080276i, +0.01217318-0.00026222i, -0.00836991+0.00172011i, +0.00044915-0.00942350i, +0.00359037+0.00196392i, +0.00373277-0.00543544i, +0.00044266-0.00499721i, +0.00368115+0.00031820i, +0.00364137-0.00612785i, -0.00605213-0.00257397i, +0.00289448+0.00189615i, -0.00516624+0.00295030i, -0.00063045-0.00722735i, -0.00704677+0.00144333i, -0.00392485+0.00057075i, +0.00217454-0.00566981i, +0.00120812-0.00691108i, -0.00953011-0.00056507i, +0.00503181-0.00207952i, -0.00052827+0.00368901i, +0.00142808+0.00577634i, +0.00245657+0.00002441i, +0.00360975+0.00301628i, -0.00344280+0.00810693i, -0.00970149-0.00191348i, -0.00463271+0.01118611i, +0.00094715-0.00961793i, +0.00971094+0.00158277i, -0.00585187-0.00987157i, -0.01066635+0.01044419i, -0.00261002+0.00682166i, -0.00119255-0.00541172i, +0.00266200-0.01899707i, -0.02184985-0.00082428i, +0.01180955-0.00197321i, -0.00534381+0.01198539i, +0.01031303-0.00257968i, -0.00483998-0.00821133i, -0.00070375-0.00368376i, +0.00819181+0.00392856i, -0.01463998+0.00381843i, +0.00522603+0.01860777i, -0.00711623-0.00983476i, +0.00997175-0.00279907i, +0.00564618-0.00139276i, -0.00519330-0.00935198i, -0.00630286-0.00195324i, +0.00014127-0.00189867i, +0.01193956+0.01163230i, +0.01154178-0.01289894i, -0.00648987+0.00814319i, -0.00618859-0.01199893i
-0.00277965-0.00905642i, -0.01057678+0.00900999i, -0.00157112+0.00425446i, +0.00243654-0.00509050i, -0.00090054+0.01846190i, +0.02832439+0.00000000i, -0.01384859+0.00370228i, +0.00327934-0.01567080i, -0.00356140-0.00083540i, +0.00419311+0.00246928i, +0.00049683-0.00262237i, +0.00118885-0.00525141i, -0.01268658+0.00108850i, +0.00006694+0.01850905i, -0.00207778-0.01076779i, +0.01361286+0.00094465i, -0.00231181+0.00398094i, +0.00758457+0.00584343i, +0.00643255+0.00095868i, -0.00060376+0.00538567i, +0.00693933+0.00484069i, +0.00465741-0.00887954i, -0.00250679+0.00357829i, -0.00367787-0.00754693i, +0.00890688-0.00022103i, -0.00158509-0.01089369i, -0.00072765-0.00508942i, +0.00793055+0.00354702i, +0.00793786+0.00204806i, +0.00177239-0.01435212i, +0.00242827+0.00688122i, -0.00530214-0.00098636i, -0.00750517+0.00164451i, -0.00001120+0.00405893i, -0.00397239+0.00422904i, -0.01142081-0.00562104i, +0.00225702-0.01105230i, -0.01664263-0.00755040i, +0.01234073+0.00169792i, -0.00269954+0.01394612i, +0.01234906-0.00600929i, -0.01445078-0.01690406i, -0.00897489-0.00381397i, +0.00775807-0.00138683i, +0.02211085+0.00433757i, +0.00301708-0.03299801i, +0.00233758+0.01550468i, -0.01670725-0.00813932i, +0.00232264+0.01299191i, +0.01297057-0.00644524i, +0.00465007-0.00098035i, -0.00627997+0.01141843i, -0.00349210-0.01678798i, -0.02850117+0.00643858i, +0.01317953-0.00891279i, +0.00373026+0.01429742i, +0.00085282+0.00660782i, +0.01422005-0.00665033i, +0.00316104-0.00816317i, +0.00282495+0.00030032i, -0.01435697+0.01353626i, +0.01880994+0.01860097i, -0.01038397-0.00850418i, +0.01740511-0.00812315i
+0.00005464+0.00548546i, +0.00652589-0.00315640i, +0.00226871-0.00258637i, -0.00228767+0.00236007i, +0.00292314-0.01051726i, -0.01384859-0.00370228i, +0.01176240-0.00000000i, -0.00415884+0.00878714i, +0.00185589+0.00111327i, -0.00204981-0.00196283i, -0.00090697+0.00109505i, -0.00129230+0.00270103i, +0.00788114+0.00117983i, +0.00243079-0.00942286i, -0.00031290+0.00850247i, -0.00781054-0.00258699i, +0.00180043-0.00224742i, -0.00316886-0.00399789i, -0.00403104-0.00185218i, +0.00115314-0.00289091i, -0.00315394-0.00373192i, -0.00323819+0.00359913i, +0.00243827-0.00268411i, +0.00104000+0.00473364i, -0.00524932-0.00133052i, -0.00075093+0.00576916i, -0.00026641+0.00392706i, -0.00385884-0.00309526i, -0.00412106-0.00220676i, -0.00285521+0.00679179i, -0.00009503-0.00554668i, +0.00294082+0.00143421i, +0.00488777+0.00051536i, +0.00064890-0.00197784i, +0.00283166-0.00236380i, +0.00550058+0.00473575i, -0.00274584+0.00647576i, +0.00725308+0.00591773i, -0.00858853-0.00347954i, +0.00363467-0.00756648i, -0.00789919+0.00169241i, +0.00516261+0.01061215i, +0.00543178+0.00478940i, -0.00450118-0.00042909i, -0.01206273-0.00560148i, -0.00577520+0.01593725i, +0.00140597-0.01255697i, +0.00868621+0.00701744i, +0.00084933-0.00792653i, -0.00741089+0.00158001i, -0.00392777+0.00024645i, +0.00514179-0.00539793i, +0.00006486+0.01008988i, +0.01479091+0.00047599i, -0.01190110+0.00377614i, +0.00001870-0.00885915i, +0.00022540-0.00371142i, -0.00825127+0.00153647i, -0.00390032+0.00449505i, -0.00143037-0.00055104i, +0.01035291-0.00574595i, -0.00684244-0.01162461i, +0.00666285+0.00843240i, -0.01114862+0.00233052i
+0.00476244-0.00282278i, -0.00644729-0.00440231i, -0.00277490-0.00004695i, +0.00377189+0.00030036i, -0.01117210+0.00214605i, +0.00327934+0.01567080i, -0.00415884-0.00878714i, +0.01418451+0.00000000i, +0.00002534-0.00249573i, -0.00100836+0.00262598i, +0.00151717-0.00001356i, +0.00312406-0.00043459i, -0.00214360-0.00772114i, -0.01102820+0.00196418i, +0.00704061-0.00274813i, +0.00103549+0.01069042i, -0.00292193-0.00082152i, -0.00219451+0.00553439i, +0.00039796+0.00418587i, -0.00387961-0.00013843i, -0.00166300+0.00481187i, +0.00540448+0.00131108i, -0.00271378-0.00091688i, +0.00445701-0.00464524i, +0.00138230+0.00523260i, +0.00599036-0.00206057i, +0.00311324-0.00110648i, -0.00085323+0.00608582i, -0.00003581+0.00475345i, +0.00791775-0.00096072i, -0.00402002+0.00241069i, +0.00004706-0.00474325i, -0.00194756-0.00428041i, -0.00254011-0.00000357i, -0.00328843-0.00194809i, +0.00176437-0.00799746i, +0.00708047-0.00023187i, +0.00218729-0.01064887i, +0.00059601+0.00836133i, -0.01093654-0.00076841i, +0.00542068+0.00645542i, +0.00753648-0.01057073i, +0.00100628-0.00610318i, +0.00290172+0.00567995i, +0.00058187+0.01374033i, +0.01876237-0.00238727i, -0.01003882+0.00358071i, +0.00308638-0.01519555i, -0.00742075+0.00323994i, +0.00511775+0.00652288i, +0.00124940+0.00273001i, -0.00869686-0.00172269i, +0.00944626-0.00464640i, -0.00736352-0.01500066i, +0.00766472+0.00742709i, -0.01204797+0.00493922i, -0.00375093+0.00155177i, +0.00606125+0.00698454i, +0.00555985+0.00066615i, -0.00071679+0.00215732i, -0.01006847-0.00665827i, -0.00829869+0.01270720i, +0.00424443-0.00811689i, +0.00961581+0.01174412i
+0.00062613+0.00157518i, +0.00118074-0.00165518i, -0.00050174-0.00065414i, -0.00040130+0.00056218i, -0.00039166-0.00285723i, -0.00356140+0.00083540i, +0.00185589-0.00111327i, +0.00002534+0.00249573i, +0.00392762+0.00000000i, -0.00098135-0.00301054i, -0.00027383-0.00057917i, +0.00163443+0.00142477i, +0.00290738+0.00003172i, -0.00009155-0.00402786i, +0.00088466+0.00237159i, -0.00248550-0.00004556i, +0.00031826-0.00075536i, -0.00153159-0.00042188i, -0.00112271+0.00035897i, -0.00004591-0.00073035i, -0.00164274+0.00013357i, +0.00043521+0.00160222i, -0.00030808-0.00062092i, +0.00116071+0.00051653i, -0.00188375+0.00068946i, +0.00072861+0.00178970i, +0.00044826+0.00082460i, -0.00162006+0.00008253i, -0.00078978-0.00005635i, +0.00057752+0.00144999i, -0.00097431-0.00041311i, +0.00029508-0.00024451i, +0.00117367-0.00152790i, -0.00075927-0.00070173i, +0.00030084-0.00089779i, +0.00215053-0.00023314i, +0.00024219+0.00141998i, +0.00246297+0.00026280i, -0.00198663+0.00053306i, -0.00046133-0.00190411i, -0.00363482+0.00110300i, +0.00284761+0.00304565i, +0.00166333+0.00005375i, -0.00148874+0.00009802i, -0.00415377+0.00025223i, +0.00122444+0.00506686i, -0.00160842-0.00223395i, +0.00305922+0.00039143i, -0.00165408-0.00268886i, -0.00212814+0.00201769i, -0.00059223+0.00057417i, +0.00013067-0.00242933i, +0.00109198+0.00248977i, +0.00363430-0.00226274i, -0.00137033+0.00239457i, -0.00115933-0.00180098i, +0.00145048-0.00193002i, -0.00237704+0.00049884i, -0.00000822+0.00122283i, +0.00045537+0.00023604i, +0.00185174-0.00296226i, -0.00347051-0.00199264i, +0.00212874+0.00073849i, -0.00229035+0.00214932i
-0.00131738-0.00144751i, -0.00079558+0.00263546i, +0.00018608+0.00054130i, +0.00081882-0.00114535i, +0.00153343+0.00289118i, +0.00419311-0.00246928i, -0.00204981+0.00196283i, -0.00100836-0.00262598i, -0.00098135+0.00301054i, +0.00622462-0.00000000i, +0.00164458-0.00111567i, -0.00077725+0.00054585i, -0.00327044+0.00228529i, +0.00344192+0.00427498i, -0.00230817-0.00201866i, +0.00330640-0.00136623i, +0.00015534+0.00114549i, +0.00174853+0.00011177i, +0.00116231-0.00037675i, +0.00038487+0.00115065i, +0.00084530-0.00009357i, -0.00074468-0.00067307i, +0.00004297+0.00013700i, -0.00049812-0.00066583i, +0.00137782-0.00101253i, -0.00192031-0.00147139i, -0.00078817-0.00069825i, +0.00129071-0.00022987i, +0.00130807+0.00026870i, -0.00016512-0.00222670i, +0.00051013+0.00085536i, -0.00044691-0.00036443i, -0.00041460+0.00090958i, +0.00044518-0.00066842i, -0.00040251+0.00058583i, -0.00199209+0.00002795i, -0.00056940-0.00183116i, -0.00271182+0.00017570i, +0.00195791-0.00073362i, +0.00074780+0.00219844i, +0.00209976-0.00342525i, -0.00673343-0.00198358i, -0.00243131+0.00022764i, +0.00145683-0.00088590i, +0.00399835-0.00140334i, -0.00315983-0.00527440i, +0.00201163+0.00218335i, -0.00302148-0.00000770i, +0.00211738+0.00143484i, +0.00044498-0.00318417i, +0.00021038-0.00074970i, -0.00002501+0.00209819i, -0.00217158-0.00224338i, -0.00349895+0.00363886i, +0.00119475-0.00266840i, +0.00174984+0.00165317i, +0.00130203+0.00244046i, +0.00441333-0.00373177i, +0.00044993-0.00210581i, +0.00027708+0.00039694i, -0.00128957+0.00362045i, +0.00484814+0.00096723i, -0.00262332-0.00037819i, +0.00223104-0.00262403i
+0.00142997-0.00046823i, -0.00112550-0.00103309i, -0.00043245+0.00028524i, +0.00047595+0.00028532i, -0.00190423+0.00005053i, +0.00049683+0.00262237i, -0.00090697-0.00109505i, +0.00151717+0.00001356i, -0.00027383+0.00057917i, +0.00164458+0.00111567i, +0.00308753-0.00000000i, +0.00027028+0.00156837i, -0.00095819-0.00128805i, -0.00146117+0.00103446i, +0.00077490-0.00074304i, +0.00053106+0.00179080i, -0.00035663-0.00016229i, -0.00060750+0.00084824i, +0.00003288+0.00103210i, -0.00092584+0.00026709i, -0.00091050+0.00069683i, +0.00054611+0.00077937i, +0.00003988-0.00061902i, +0.00122515-0.00015271i, -0.00003110+0.00119952i, +0.00115211-0.00028361i, -0.00005000-0.00002045i, -0.00058397+0.00077541i, -0.00050112+0.00131460i, +0.00200554+0.00025044i, -0.00108670+0.00053358i, +0.00023313-0.00091056i, -0.00014660-0.00093525i, -0.00022339-0.00046153i, -0.00038694-0.00145344i, +0.00133840-0.00134858i, +0.00113166+0.00008745i, +0.00066054-0.00163083i, -0.00020641+0.00159790i, -0.00178214-0.00018651i, +0.00101093+0.00150643i, +0.00130798-0.00227224i, -0.00149478-0.00153810i, +0.00061921+0.00037947i, -0.00063950+0.00279086i, +0.00341277+0.00001899i, -0.00127096+0.00057080i, +0.00100132-0.00195517i, -0.00162861+0.00023159i, +0.00057767+0.00095142i, -0.00050734-0.00027638i, -0.00081284-0.00113958i, +0.00179202-0.00036617i, -0.00090815-0.00271454i, +0.00141588+0.00123166i, -0.00155597+0.00069575i, -0.00091247+0.00050209i, +0.00181862+0.00158621i, +0.00279574-0.00062497i, +0.00013942+0.00134284i, -0.00187376-0.00175993i, -0.00169056+0.00221513i, +0.00067144-0.00098498i, +0.00104905+0.00216171i
