+0.01009839+0.00000000i, -0.00169004+0.00256541i, -0.00019040+0.00084887i, +0.00557710-0.00438614i, -0.00595247-0.00415748i, -0.00109896-0.00157971i, +0.00289856+0.00118814i, +0.00708901-0.00009685i, +0.00103694-0.00394652i, -0.00136968+0.00076838i, -0.00054289-0.00241422i, -0.00287017-0.00222545i, +0.00250710-0.00568614i, +0.00304054+0.00043224i, -0.00002088+0.00102269i, +0.00119961+0.00594802i, -0.00497281-0.00816134i, +0.00311797-0.00258546i, +0.00018328-0.00160910i, -0.00792971-0.00355263i, -0.00316213+0.00801065i, -0.00009318+0.00035306i, +0.00023368-0.00359050i, -0.00363432-0.00809339i, -0.00059423+0.00199537i, -0.00414339-0.00030631i, -0.00206918+0.00019937i, -0.00111492+0.00156620i, -0.00069980-0.00232562i, +0.00283955+0.00230704i, -0.00141675-0.00076377i, +0.00060625+0.00092805i, +0.00314077+0.00214507i, -0.00184615-0.00290840i, +0.00042378-0.00268730i, +0.00248124-0.00272180i, -0.00412236-0.00157204i, +0.00105169-0.00506425i, +0.00042680+0.00352352i, +0.00508101-0.00035262i, +0.00426213-0.00691629i, +0.00059061+0.00497089i, +0.00001642+0.00182360i, -0.00158454-0.00677259i, +0.00579312-0.00383314i, +0.00478151-0.00088368i, -0.00553309+0.00292248i, -0.00330496+0.00849981i, -0.00064631+0.00605281i, -0.00121354-0.00261226i, +0.00202198-0.00240181i, +0.00143546+0.00346831i, +0.00291505-0.00260728i, +0.00119475-0.00128947i, -0.00309673+0.00100704i, -0.00083372+0.00336199i, +0.00333971+0.00061910i, -0.00105257+0.00235998i, -0.00225935+0.00062552i, +0.00208956-0.00033315i, -0.00003122+0.00298630i, +0.00155983-0.00097981i, -0.00226711-0.00097915i, -0.00120712-0.00119698i
-0.00169004-0.00256541i, +0.00659472+0.00000000i, +0.00221695+0.00008890i, -0.00135308-0.00126335i, +0.00094294+0.00125459i, +0.00088426+0.00143740i, -0.00102911-0.00142017i, -0.00185047-0.00110241i, -0.00007437+0.00199345i, +0.00022983-0.00107069i, -0.00018062+0.00110350i, +0.00229348+0.00129671i, -0.00141691+0.00323311i, -0.00124022-0.00051614i, +0.00027728-0.00086646i, -0.00089496-0.00401629i, +0.00119634+0.00313854i, -0.00238886-0.00047149i, -0.00034489+0.00046966i, +0.00307196+0.00227981i, +0.00189381-0.00246420i, -0.00033742+0.00128874i, -0.00074514+0.00128400i, +0.00091337+0.00371249i, +0.00062769-0.00134400i, +0.00248475+0.00023413i, +0.00129409+0.00008061i, +0.00081206-0.00125199i, +0.00040898+0.00086682i, -0.00179411-0.00172263i, +0.00068223+0.00079620i, -0.00021578+0.00001466i, +0.00003812-0.00088565i, +0.00237425+0.00315230i, -0.00005070+0.00172558i, -0.00014185+0.00132300i, +0.00187279+0.00081020i, -0.00155694+0.00320654i, +0.00039002-0.00205753i, -0.00249071-0.00013648i, -0.00291829+0.00235546i, +0.00085690-0.00444589i, +0.00019724-0.00133962i, +0.00015299+0.00322837i, -0.00292814+0.00124160i, -0.00227666-0.00027956i, +0.00323764-0.00063367i, +0.00281749-0.00446432i, +0.00059683-0.00224103i, -0.00031797+0.00243569i, -0.00153020+0.00121888i, -0.00036570-0.00146064i, -0.00107391+0.00086716i, -0.00027658+0.00014183i, +0.00156824+0.00000459i, +0.00070240-0.00131525i, -0.00132174-0.00050710i, +0.00078141-0.00044539i, +0.00110686+0.00013180i, -0.00069455-0.00024141i, +0.00037105-0.00122360i, -0.00056671+0.00076801i, +0.00078612+0.00050315i, +0.00019101+0.00079328i
-0.00019040-0.00084887i, +0.00221695-0.00008890i, +0.00545016+0.00000000i, -0.00022572-0.00107696i, -0.00015531+0.00130481i, +0.00083988+0.00066879i, -0.00064041-0.00077757i, -0.00031787-0.00116543i, -0.00061134+0.00021067i, -0.00002048+0.00033522i, -0.00091166-0.00076161i, -0.00014646+0.00106574i, -0.00180463+0.00016619i, -0.00026138-0.00054315i, -0.00022427-0.00022344i, +0.00125113-0.00139216i, -0.00080629+0.00240951i, -0.00160285-0.00055906i, -0.00129479-0.00163525i, +0.00045055+0.00269250i, +0.00176103-0.00081566i, +0.00014282-0.00045152i, -0.00045571-0.00076428i, -0.00128033+0.00238577i, +0.00097634+0.00016456i, +0.00104627+0.00085796i, +0.00106339+0.00008112i, +0.00064728+0.00023550i, -0.00062970+0.00038873i, -0.00050929-0.00138764i, +0.00133354+0.00103749i, +0.00046471-0.00081279i, +0.00043972+0.00046998i, -0.00056767+0.00180935i, +0.00097303+0.00172719i, -0.00015984+0.00019484i, +0.00032051+0.00109403i, -0.00166271+0.00128965i, +0.00134575-0.00141032i, -0.00118329-0.00114705i, -0.00171758+0.00027060i, +0.00108808-0.00180739i, +0.00132659-0.00285932i, -0.00189593+0.00205456i, -0.00252158-0.00047179i, -0.00164526-0.00085556i, +0.00158239+0.00093936i, +0.00326029-0.00098324i, +0.00123874-0.00109796i, -0.00074884+0.00103676i, -0.00203921+0.00091265i, +0.00054571-0.00085755i, -0.00115668-0.00002406i, -0.00077105+0.00004235i, +0.00023620+0.00116298i, +0.00066904-0.00031028i, -0.00048578-0.00103800i, +0.00092607-0.00005239i, +0.00086362+0.00110885i, -0.00061532-0.00022922i, +0.00058451-0.00071628i, -0.00067553-0.00037901i, +0.00014485+0.00045117i, -0.00000180+0.00038513i
+0.00557710+0.00438614i, -0.00135308+0.00126335i, -0.00022572+0.00107696i, +0.00975664-0.00000000i, -0.00140502-0.00663564i, +0.00055350-0.00158564i, +0.00107413+0.00231481i, +0.00569485+0.00501911i, +0.00324252-0.00099491i, -0.00188091-0.00048578i, +0.00105442-0.00136667i, +0.00031156-0.00386415i, +0.00473420-0.00135859i, +0.00214694+0.00222407i, -0.00071297+0.00013555i, -0.00388572+0.00442845i, +0.00159973-0.00700196i, +0.00354978+0.00004194i, +0.00113672-0.00083436i, -0.00359859-0.00869750i, -0.00631840+0.00280661i, -0.00053308+0.00086098i, +0.00210406-0.00180624i, +0.00321920-0.00837687i, -0.00155877+0.00046722i, -0.00236893-0.00282827i, -0.00109479-0.00092882i, -0.00152265-0.00007467i, +0.00130235-0.00156196i, +0.00032431+0.00325625i, -0.00064415-0.00104850i, -0.00012022+0.00169438i, +0.00044678+0.00248646i, +0.00112651-0.00307410i, +0.00171169-0.00091488i, +0.00465670+0.00092923i, -0.00091574-0.00340673i, +0.00373170-0.00241832i, -0.00181628+0.00220694i, +0.00366346+0.00312514i, +0.00554961-0.00115782i, -0.00241531+0.00273823i, -0.00105037+0.00133925i, +0.00400016-0.00657218i, +0.00559778+0.00130890i, +0.00396039+0.00244628i, -0.00454722-0.00158620i, -0.00782121+0.00319361i, -0.00333414+0.00294876i, +0.00068652-0.00218986i, +0.00237622-0.00028384i, -0.00184672+0.00405285i, +0.00320681+0.00050085i, +0.00174893-0.00015723i, -0.00216114-0.00132413i, -0.00307176+0.00164730i, +0.00156885+0.00214071i, -0.00224340+0.00103562i, -0.00176883-0.00102694i, +0.00200489+0.00125456i, -0.00165544+0.00173400i, +0.00168424+0.00062368i, -0.00074530-0.00183276i, -0.00008197-0.00177538i
-0.00595247+0.00415748i, +0.00094294-0.00125459i, -0.00015531-0.00130481i, -0.00140502+0.00663564i, +0.01500086+0.00000000i, +0.00162767+0.00331769i, -0.00379654+0.00094882i, -0.00984890+0.00679731i, +0.00009336+0.00677323i, +0.00125736-0.00193271i, +0.00154432+0.00325991i, +0.00544742+0.00276638i, -0.00107281+0.01213397i, -0.00524520+0.00117579i, +0.00010954-0.00124747i, -0.00529991-0.00981480i, +0.01219974+0.00681398i, -0.00287865+0.00623398i, +0.00025011+0.00259170i, +0.01351722-0.00066466i, -0.00210532-0.01328126i, -0.00044996-0.00069230i, +0.00153718+0.00444605i, +0.01080104+0.00833787i, +0.00106307-0.00454339i, +0.00609425-0.00172370i, +0.00247592-0.00143523i, +0.00091907-0.00422162i, +0.00230958+0.00389501i, -0.00569840-0.00112189i, +0.00211318-0.00062027i, -0.00267242-0.00139917i, -0.00176991-0.00027773i, +0.00397478+0.00433316i, +0.00119651+0.00369426i, -0.00009901+0.00425861i, +0.00940077+0.00117169i, +0.00148129+0.00900761i, -0.00335238-0.00531353i, -0.00901949+0.00436444i, -0.00172787+0.01002327i, -0.00370208-0.00607270i, -0.00229670-0.00284626i, +0.00592909+0.00829863i, -0.00641449+0.01118892i, -0.00698193+0.00415355i, +0.00590680-0.00685357i, -0.00085260-0.01493582i, -0.00376197-0.00793286i, +0.00322321+0.00300562i, -0.00129008+0.00516993i, -0.00457906-0.00368783i, -0.00236144+0.00625997i, -0.00100610+0.00244680i, +0.00373581-0.00283880i, -0.00118326-0.00518726i, -0.00485458+0.00208180i, -0.00038664-0.00409913i, +0.00299732-0.00230143i, -0.00227541+0.00234596i, -0.00192924-0.00408921i, -0.00173947+0.00301486i, +0.00377578-0.00070742i, +0.00202127+0.00063766i
-0.00109896+0.00157971i, +0.00088426-0.00143740i, +0.00083988-0.00066879i, +0.00055350+0.00158564i, +0.00162767-0.00331769i, +0.00645954+0.00000000i, -0.00191379+0.00077100i, -0.00029763+0.00384578i, +0.00256042+0.00140727i, -0.00051719+0.00015289i, +0.00090278+0.00027801i, +0.00293235-0.00137257i, +0.00350730+0.00286151i, -0.00067867+0.00427519i, -0.00088182-0.00108579i, -0.00544279-0.00100844i, +0.00391631-0.00145443i, +0.00249287+0.00301522i, +0.00077286+0.00023915i, +0.00361429-0.00372792i, -0.00301394-0.00224919i, -0.00111716-0.00221402i, +0.00149692+0.00082079i, +0.00474787-0.00038152i, -0.00116880-0.00119208i, +0.00171691-0.00301939i, +0.00053088-0.00120905i, -0.00148843-0.00119669i, +0.00163119-0.00020859i, -0.00195047+0.00162918i, +0.00068995-0.00036835i, -0.00107224+0.00061926i, -0.00069190+0.00014178i, +0.00293851+0.00064324i, +0.00169425+0.00099997i, +0.00090529+0.00088911i, +0.00196361-0.00239893i, +0.00512744+0.00295797i, -0.00234101-0.00067860i, -0.00108901+0.00416424i, +0.00193190+0.00311554i, -0.00286936-0.00031229i, -0.00099589-0.00053881i, +0.00421849+0.00150447i, +0.00106244+0.00378664i, -0.00225567+0.00575702i, +0.00003936-0.00372398i, -0.00449494-0.00401205i, -0.00262988-0.00093533i, +0.00107485-0.00058246i, +0.00065848+0.00158912i, -0.00231436-0.00025971i, +0.00083921+0.00173099i, -0.00026592+0.00224721i, +0.00046328-0.00174668i, -0.00179255-0.00106877i, -0.00052649+0.00140731i, -0.00148247-0.00062860i, +0.00020834-0.00106542i, -0.00026826+0.00131976i, -0.00142506-0.00067304i, +0.00002871+0.00060549i, +0.00066395-0.00082298i, +0.00060482+0.00000991i
+0.00289856-0.00118814i, -0.00102911+0.00142017i, -0.00064041+0.00077757i, +0.00107413-0.00231481i, -0.00379654-0.00094882i, -0.00191379-0.00077100i, +0.00631345+0.00000000i, +0.00374534-0.00185570i, +0.00045715-0.00238840i, +0.00018882+0.00051161i, +0.00012905-0.00176596i, -0.00196271-0.00131748i, +0.00108176-0.00357623i, +0.00152326-0.00068297i, +0.00016321+0.00331734i, +0.00134428+0.00394814i, -0.00368428-0.00359541i, +0.00193121-0.00177803i, -0.00126731-0.00170674i, -0.00490575-0.00137577i, -0.00076713+0.00437861i, +0.00022713+0.00044410i, -0.00092258-0.00430850i, -0.00307378-0.00423073i, -0.00035747+0.00118581i, -0.00243249+0.00041560i, -0.00167212+0.00117083i, -0.00094576+0.00115849i, -0.00072899-0.00176996i, +0.00229984+0.00086514i, -0.00127666+0.00055618i, +0.00065623+0.00110353i, +0.00084112+0.00074886i, -0.00158774-0.00203036i, -0.00052879-0.00205395i, +0.00050562-0.00157374i, -0.00292832-0.00041258i, +0.00017751-0.00374902i, +0.00252045+0.00333864i, +0.00374355-0.00064299i, +0.00168729-0.00424932i, +0.00094781+0.00320790i, +0.00056318+0.00085254i, -0.00136535-0.00395728i, +0.00282598-0.00294752i, +0.00316132-0.00120120i, -0.00463952+0.00469412i, -0.00136362+0.00620862i, +0.00025166+0.00374182i, -0.00064291-0.00141407i, +0.00186700-0.00087639i, +0.00121305+0.00194347i, +0.00133969-0.00171486i, +0.00078355-0.00087479i, -0.00245856+0.00178501i, -0.00012556+0.00218070i, +0.00227316-0.00023138i, -0.00041853+0.00140291i, -0.00089257+0.00003767i, +0.00119896-0.00060453i, +0.00000893+0.00171659i, +0.00101831-0.00057831i, -0.00187301-0.00100376i, -0.00086134-0.00030421i
+0.00708901+0.00009685i, -0.00185047+0.00110241i, -0.00031787+0.00116543i, +0.00569485-0.00501911i, -0.00984890-0.00679731i, -0.00029763-0.00384578i, +0.00374534+0.00185570i, +0.01494727+0.00000000i, +0.00301687-0.00513282i, -0.00190065+0.00151791i, +0.00001494-0.00309475i, -0.00334229-0.00520925i, +0.00573289-0.00816867i, +0.00542475+0.00113680i, -0.00103555+0.00131730i, -0.00029166+0.01230028i, -0.00567732-0.01042850i, +0.00529185-0.00388903i, +0.00087312-0.00214081i, -0.01232530-0.00674201i, -0.00467664+0.00993990i, -0.00007004+0.00068981i, +0.00098599-0.00463209i, -0.00530177-0.01383577i, -0.00244473+0.00286745i, -0.00605979-0.00136512i, -0.00253311-0.00009156i, -0.00300922+0.00346748i, -0.00012653-0.00375498i, +0.00425324+0.00356837i, -0.00183148-0.00061053i, +0.00135144+0.00271327i, +0.00132861+0.00161559i, -0.00153688-0.00558694i, +0.00087838-0.00353050i, +0.00213036-0.00343985i, -0.00583694-0.00466351i, +0.00293668-0.00845761i, +0.00010673+0.00591479i, +0.01095277+0.00177114i, +0.00599243-0.00676338i, +0.00012048+0.00702692i, +0.00027658+0.00295182i, -0.00080477-0.01031050i, +0.00913252-0.00476496i, +0.00788423+0.00005106i, -0.00835640+0.00277837i, -0.00748887+0.01448605i, -0.00099099+0.00747971i, -0.00124837-0.00394266i, +0.00323270-0.00328278i, +0.00191246+0.00598892i, +0.00421826-0.00300609i, +0.00194727-0.00141252i, -0.00441434+0.00054520i, -0.00226179+0.00568335i, +0.00449691+0.00067574i, -0.00171079+0.00347376i, -0.00330437+0.00045787i, +0.00348363-0.00069963i, -0.00048641+0.00373823i, +0.00268381-0.00153610i, -0.00326524-0.00137172i, -0.00152115-0.00198787i
+0.00103694+0.00394652i, -0.00007437-0.00199345i, -0.00061134-0.00021067i, +0.00324252+0.00099491i, +0.00009336-0.00677323i, +0.00256042-0.00140727i, +0.00045715+0.00238840i, +0.00301687+0.00513282i, +0.01349768+0.00000000i, -0.00124914+0.00120046i, +0.00326213-0.00110395i, +0.00645733-0.00749020i, +0.01047348+0.00376046i, +0.00083991+0.00391082i, -0.00197528-0.00026324i, -0.01075181+0.00341314i, +0.00666884-0.00896858i, +0.00534088+0.00276410i, +0.00218222-0.00012560i, +0.00064645-0.01072841i, -0.01023876-0.00080242i, -0.00004422+0.00099470i, +0.00360172-0.00176761i, +0.00746317-0.00744973i, -0.00245873-0.00125231i, -0.00123330-0.00471471i, -0.00061535-0.00243512i, -0.00335648-0.00136093i, +0.00361325-0.00352197i, -0.00067501+0.00424110i, -0.00008001-0.00100838i, -0.00061742+0.00360907i, -0.00117892+0.00300271i, +0.00406399-0.00335042i, +0.00389037-0.00050911i, +0.00343350+0.00101900i, +0.00079927-0.00580725i, +0.00669139-0.00045065i, -0.00392406+0.00150319i, +0.00260638+0.00612470i, +0.01153786+0.00451469i, -0.00587704+0.00326223i, -0.00212363+0.00099044i, +0.00953408-0.00463236i, +0.00714331+0.00748677i, +0.00310080+0.00607934i, -0.00562561-0.00599665i, -0.01288270-0.00159404i, -0.00623036+0.00252870i, +0.00277435-0.00202983i, +0.00409395+0.00162794i, -0.00317632+0.00332967i, +0.00441426+0.00270567i, +0.00186322+0.00127082i, -0.00225825-0.00356873i, -0.00443065+0.00041108i, +0.00112757+0.00316859i, -0.00316372+0.00014744i, -0.00183359-0.00266777i, +0.00134783+0.00151749i, -0.00320759+0.00121953i, +0.00223049+0.00159742i, -0.00038020-0.00320911i, +0.00053771-0.00134633i
-0.00136968-0.00076838i, +0.00022983+0.00107069i, -0.00002048-0.00033522i, -0.00188091+0.00048578i, +0.00125736+0.00193271i, -0.00051719-0.00015289i, +0.00018882-0.00051161i, -0.00190065-0.00151791i, -0.00124914-0.00120046i, +0.00799658-0.00000000i, +0.00211588+0.00116339i, -0.00001269-0.00015247i, -0.00126269+0.00156892i, -0.00137571-0.00152981i, +0.00083071+0.00168984i, +0.00075402-0.00179120i, +0.00068202+0.00235032i, +0.00006105-0.00024279i, -0.00043380+0.00039001i, +0.00215558+0.00144996i, +0.00122620-0.00183647i, -0.00201729-0.00086763i, -0.00031716+0.00089835i, +0.00064612+0.00313093i, +0.00054346-0.00095376i, +0.00210161+0.00063587i, +0.00072685+0.00030361i, +0.00054806-0.00008907i, -0.00041188+0.00065330i, -0.00020926-0.00204724i, +0.00049901+0.00038647i, -0.00018786-0.00024555i, +0.00071991-0.00020214i, -0.00021220+0.00303459i, -0.00047913+0.00106318i, -0.00067323+0.00065911i, +0.00085127+0.00056748i, -0.00094478+0.00076459i, +0.00055440-0.00084977i, -0.00086398+0.00002369i, -0.00097320+0.00059448i, +0.00383339+0.00062075i, +0.00032804-0.00031062i, +0.00070259+0.00219027i, -0.00170147+0.00094616i, -0.00069391+0.00104880i, +0.00136770-0.00000414i, +0.00184249-0.00191408i, +0.00029833-0.00107351i, +0.00015286+0.00163163i, -0.00029712+0.00138426i, -0.00014444-0.00090222i, -0.00051204+0.00021296i, +0.00027631+0.00186942i, +0.00090597-0.00031200i, +0.00044016-0.00013079i, -0.00097005-0.00018593i, +0.00036475-0.00125528i, +0.00098130-0.00057664i, -0.00045627+0.00020600i, +0.00011514-0.00083689i, -0.00129985+0.00077357i, +0.00079330+0.00006595i, +0.00028912+0.00056790i
-0.00054289+0.00241422i, -0.00018062-0.00110350i, -0.00091166+0.00076161i, +0.00105442+0.00136667i, +0.00154432-0.00325991i, +0.00090278-0.00027801i, +0.00012905+0.00176596i, +0.00001494+0.00309475i, +0.00326213+0.00110395i, +0.00211588-0.00116339i, +0.00882794-0.00000000i, +0.00282673-0.00311016i, +0.00506296+0.00321921i, -0.00197305+0.00146453i, -0.00033324+0.00069427i, -0.00562480+0.00054367i, +0.00515466-0.00380517i, +0.00235790+0.00261766i, +0.00240352-0.00052118i, +0.00268019-0.00648543i, -0.00492284-0.00251748i, -0.00028733+0.00011309i, +0.00466152+0.00100395i, +0.00602517-0.00291301i, -0.00222083-0.00083967i, +0.00070355-0.00311733i, +0.00054045-0.00132073i, -0.00196209-0.00141450i, +0.00242277-0.00066730i, -0.00165318+0.00217778i, -0.00030690+0.00017615i, -0.00094357+0.00117268i, -0.00121496+0.00035850i, +0.00286241-0.00042406i, +0.00176162+0.00215595i, +0.00268335+0.00045148i, +0.00111206-0.00361519i, +0.00388278+0.00113312i, -0.00229954+0.00096026i, +0.00086606+0.00417902i, +0.00476863+0.00397465i, -0.00362842+0.00119707i, +0.00159824+0.00242552i, +0.00608280-0.00119177i, +0.00286212+0.00429589i, +0.00061852+0.00384290i, -0.00285510-0.00574342i, -0.00758326-0.00284749i, -0.00436904+0.00033828i, +0.00261792-0.00042387i, +0.00248102+0.00273774i, -0.00216194+0.00154645i, +0.00228552+0.00116413i, +0.00114798+0.00139148i, -0.00122687-0.00390263i, -0.00243211-0.00022184i, +0.00023829+0.00276731i, -0.00191070-0.00101519i, -0.00065608-0.00273572i, +0.00038640+0.00131319i, -0.00210430-0.00025419i, +0.00101349+0.00155763i, +0.00121862-0.00260138i, +0.00084932-0.00054422i
