+0.02462279-0.00000000i, +0.00520885-0.00984109i, -0.00291746+0.00351683i, +0.00201756-0.01002367i, +0.00960542-0.00227176i, +0.00357575+0.01073332i, +0.00124872-0.01043358i, +0.00403322+0.00224925i, -0.00997770-0.01105302i, -0.00028685+0.00123370i, +0.00082091+0.00056090i, -0.00624139+0.00578616i, +0.00497863-0.00832497i, -0.00699817+0.00732924i, -0.00139243-0.00602139i, +0.00656095-0.00439727i, +0.00371640-0.00127408i, +0.00365849+0.00885138i, -0.00575854+0.00742297i, -0.00642055-0.00000196i, -0.00978827-0.00482477i, +0.00553294+0.00349760i, -0.00691735-0.00022725i, +0.00732195-0.00474338i, -0.00152158-0.00748567i, -0.00137249-0.00304865i, +0.00188520-0.00321479i, -0.00189475-0.00764948i, -0.00109597-0.00397508i, -0.00270247+0.00707931i, +0.00849029-0.00497537i, +0.00262744+0.00248258i, -0.00347655+0.00477497i, +0.00816988+0.00611099i, +0.00336609-0.00127615i, -0.00036031+0.00374478i, -0.00604291+0.01016404i, -0.00406806-0.00485465i, -0.00220002+0.00900743i, -0.00432620-0.00100648i, +0.01004879-0.00065322i, -0.00144613-0.00170810i, +0.00289477-0.00241359i, +0.00357483-0.00155732i, +0.00105471+0.00437351i, -0.00380994-0.00513336i, +0.00036895+0.00449395i, +0.00183215+0.00636936i, -0.00772990-0.00667047i, -0.00765810-0.00376931i, -0.00157892-0.00858968i, -0.00223109+0.00052642i, +0.00736926-0.00293981i, -0.00358401-0.00172740i, -0.00000377+0.00083688i, -0.00337323+0.00368319i, +0.00459838+0.00213144i, -0.00092119+0.00521242i, +0.00150901+0.00417114i, +0.00172592+0.00233600i, +0.00685746-0.00049626i, -0.00318462-0.00538196i, -0.00072091+0.00371688i, +0.00008232+0.00110466i
+0.00520885+0.00984109i, +0.02216678-0.00000000i, -0.00277035-0.00082770i, +0.00681554+0.00017606i, +0.00449142+0.01075684i, -0.00569911+0.00480195i, +0.00789441+0.00132057i, -0.00191427+0.00396791i, +0.00655501-0.01177085i, -0.00046328-0.00222390i, -0.00026621+0.00182822i, -0.00477366-0.00278364i, +0.00950344+0.00208050i, -0.01084405-0.00523351i, +0.00460013-0.00181126i, +0.00646224+0.00479228i, +0.00121381+0.00372140i, -0.00566941+0.00476540i, -0.00849123-0.00221875i, -0.00127710-0.00594814i, +0.00079209-0.00887174i, -0.00266664+0.00541492i, -0.00236241-0.00530093i, +0.00661153+0.00587824i, +0.00565225-0.00386713i, +0.00293255-0.00289708i, +0.00339272+0.00027526i, +0.00609331-0.00435166i, +0.00193654-0.00185363i, -0.00654041-0.00098652i, +0.00697889+0.00525842i, -0.00304100+0.00291398i, -0.00152945+0.00064878i, -0.00517068+0.01157326i, +0.00217704+0.00191258i, -0.00367218-0.00044223i, -0.00992118-0.00236279i, +0.00208706-0.00334680i, -0.00813457+0.00072467i, +0.00030381-0.00503297i, +0.00411244+0.00854475i, +0.00166489-0.00047332i, +0.00282744+0.00190186i, +0.00162064+0.00296352i, -0.00324376+0.00224338i, +0.00418226-0.00507309i, -0.00354940+0.00201353i, -0.00514934+0.00350991i, +0.00233573-0.00807160i, -0.00048215-0.00935202i, +0.00721144-0.00347304i, -0.00086924-0.00137543i, +0.00403949+0.00442498i, +0.00190744-0.00442203i, +0.00009476-0.00023928i, -0.00442547-0.00302359i, +0.00018292+0.00451542i, -0.00495188+0.00051200i, -0.00407533+0.00231007i, -0.00171274+0.00214241i, +0.00200922+0.00628453i, +0.00425778-0.00474635i, -0.00324399+0.00144982i, -0.00007466-0.00043609i
-0.00291746-0.00351683i, -0.00277035+0.00082770i, +0.01513666+0.00000000i, -0.00037542+0.00302130i, -0.00372039+0.00047688i, +0.00183116-0.00514750i, -0.00220293+0.00177721i, -0.00179688-0.00437010i, +0.00219249+0.00454353i, +0.00029948+0.00035463i, -0.00059583-0.00236537i, +0.00382970-0.00179957i, -0.00370249+0.00092555i, +0.00292886-0.00128091i, +0.00275704+0.00455598i, -0.00364811+0.00072703i, -0.00054238-0.00158378i, +0.00114371-0.00390641i, +0.00301290-0.00213223i, +0.00215180+0.00155666i, +0.00201341+0.00231063i, -0.00095367-0.00247271i, +0.00356025+0.00095637i, -0.00417266-0.00082098i, -0.00049044+0.00294752i, -0.00102456+0.00181608i, -0.00123886-0.00024155i, -0.00106393+0.00375995i, +0.00080348+0.00187411i, +0.00286660-0.00159765i, -0.00337652+0.00097106i, -0.00001963-0.00168531i, +0.00024434-0.00125298i, -0.00181631-0.00348857i, -0.00441341+0.00259583i, +0.00082632-0.00065959i, +0.00302371-0.00168495i, +0.00032384+0.00248594i, +0.00270567-0.00309091i, +0.00141083+0.00213653i, -0.00398944-0.00074636i, -0.00030700+0.00071098i, -0.00101427+0.00044094i, -0.00184427-0.00044062i, +0.00058735-0.00115636i, +0.00061807+0.00268991i, -0.00058330-0.00110953i, +0.00040418-0.00281102i, +0.00095130+0.00311460i, +0.00169737+0.00322392i, -0.00260548+0.00046216i, +0.00047445-0.00032586i, -0.00216393+0.00019591i, +0.00062254+0.00131036i, -0.00160510+0.00125376i, +0.00197831+0.00006443i, -0.00141704-0.00106379i, +0.00158303-0.00174848i, +0.00031328-0.00198270i, +0.00000004-0.00166445i, -0.00347106-0.00120332i, +0.00033543+0.00232247i, -0.00049596-0.00060490i, +0.00026754-0.00043698i
+0.00201756+0.01002367i, +0.00681554-0.00017606i, -0.00037542-0.00302130i, +0.01631617-0.00000000i, +0.00361225+0.00720011i, -0.00567334+0.00351469i, +0.00620509-0.00142783i, -0.00252856+0.00235613i, +0.00556766-0.00722817i, -0.00009343+0.00029712i, -0.00092486+0.00083803i, -0.00546011-0.00623542i, +0.00660916+0.00283675i, -0.00599209-0.00247452i, +0.00490346-0.00217538i, +0.00396777+0.00536881i, +0.00104715+0.00226587i, -0.00587432+0.00292507i, -0.00545955-0.00324455i, -0.00098918-0.00477284i, +0.00236633-0.00645045i, -0.00115091+0.00423638i, -0.00082106-0.00349262i, +0.00459166+0.00472119i, +0.00382920-0.00161906i, +0.00172158-0.00079549i, +0.00232779+0.00098899i, +0.00542063-0.00280863i, +0.00245705-0.00019723i, -0.00550865-0.00153746i, +0.00382630+0.00489087i, -0.00164703+0.00278806i, -0.00224327-0.00078038i, -0.00247280+0.00649658i, +0.00082367+0.00222030i, -0.00473698+0.00220264i, -0.00703068-0.00263035i, +0.00319494-0.00348837i, -0.00526252-0.00037600i, +0.00084877-0.00369846i, +0.00152129+0.00581229i, +0.00109357-0.00093326i, +0.00198183+0.00180838i, +0.00215047+0.00264324i, -0.00297082+0.00123812i, +0.00294627-0.00361354i, -0.00281602+0.00089564i, -0.00457936+0.00157582i, +0.00245796-0.00510163i, +0.00162077-0.00532238i, +0.00479279-0.00181565i, -0.00198457-0.00350083i, +0.00205946+0.00376181i, +0.00061668-0.00325260i, -0.00053179-0.00004797i, -0.00381303-0.00098156i, -0.00042498+0.00324573i, -0.00329724-0.00020284i, -0.00305048+0.00112284i, -0.00138921+0.00114785i, +0.00057433+0.00449573i, +0.00366302-0.00286497i, -0.00200040+0.00019667i, -0.00163560+0.00012357i
+0.00960542+0.00227176i, +0.00449142-0.01075684i, -0.00372039-0.00047688i, +0.00361225-0.00720011i, +0.02323682+0.00000000i, -0.00166413+0.00880429i, +0.00608005-0.00819252i, +0.00269777+0.00724802i, -0.00795531-0.01354346i, -0.00007381-0.00157332i, +0.00083204+0.00003462i, -0.00706686+0.00309127i, +0.00855879-0.00645962i, -0.00762461+0.00759419i, +0.00107716-0.00618387i, +0.00751709-0.00228984i, +0.00465221+0.00072470i, +0.00102415+0.00783467i, -0.00678002+0.00553713i, -0.00511244-0.00102409i, -0.00700655-0.00843595i, +0.00439644+0.00404365i, -0.00598195-0.00038362i, +0.00852417-0.00212521i, +0.00028478-0.00759899i, -0.00007153-0.00295732i, +0.00358143-0.00227419i, -0.00124675-0.00718429i, +0.00126113-0.00198144i, -0.00422152+0.00576214i, +0.00883794-0.00275236i, +0.00115942+0.00308137i, -0.00035310+0.00086707i, +0.00619527+0.00731699i, +0.00276890-0.00027366i, -0.00146863+0.00285713i, -0.01146684+0.00974576i, -0.00204087-0.00550178i, -0.00369166+0.00784211i, -0.00443706-0.00290512i, +0.01001333+0.00114866i, +0.00021432-0.00120487i, +0.00379677-0.00057247i, +0.00337569-0.00098438i, -0.00055307+0.00442588i, -0.00294172-0.00614598i, -0.00083304+0.00444605i, +0.00038907+0.00640491i, -0.00640602-0.00522620i, -0.00612492-0.00481313i, +0.00112418-0.00821493i, -0.00244460+0.00023326i, +0.00572977-0.00121088i, -0.00323357-0.00247649i, -0.00023243-0.00026659i, -0.00417104+0.00248060i, +0.00440620+0.00259346i, -0.00199512+0.00463352i, -0.00075455+0.00524417i, +0.00109927+0.00247867i, +0.00681222+0.00281977i, -0.00250317-0.00544269i, -0.00063772+0.00348792i, -0.00050021+0.00118266i
+0.00357575-0.01073332i, -0.00569911-0.00480195i, +0.00183116+0.00514750i, -0.00567334-0.00351469i, -0.00166413-0.00880429i, +0.01884282+0.00000000i, -0.00786336-0.00440074i, +0.00392393-0.00317711i, -0.00919072+0.00634764i, -0.00032776-0.00042010i, +0.00050985+0.00054429i, +0.00336077+0.00691106i, -0.00376252-0.00660091i, +0.00690477+0.00569645i, -0.00499370-0.00005193i, -0.00252577-0.00578946i, +0.00061752-0.00346932i, +0.00823804-0.00041728i, +0.00376447+0.00578418i, -0.00109579+0.00375414i, -0.00569842+0.00589762i, +0.00292155-0.00557706i, -0.00065113+0.00550690i, -0.00143447-0.00734400i, -0.00578884-0.00008860i, -0.00289627-0.00083572i, -0.00214249-0.00269806i, -0.00687707+0.00046097i, -0.00271639+0.00040105i, +0.00538968+0.00409346i, -0.00184655-0.00704624i, +0.00185192-0.00112964i, +0.00162856+0.00069403i, +0.00663237-0.00555598i, -0.00079309-0.00272740i, +0.00204703+0.00124456i, +0.00691859+0.00658542i, -0.00782714+0.00466926i, +0.00662288+0.00324676i, -0.00231290+0.00289358i, +0.00084467-0.00775181i, -0.00088298+0.00020118i, -0.00085539-0.00313371i, -0.00126479-0.00334938i, +0.00337428+0.00046665i, -0.00543714+0.00292575i, +0.00345272+0.00096407i, +0.00553501-0.00069128i, -0.00490813+0.00421002i, -0.00564383+0.00510251i, -0.00646116-0.00117003i, -0.00032740+0.00256934i, -0.00032871-0.00587337i, -0.00194234+0.00180468i, -0.00058092+0.00007256i, +0.00228415+0.00390207i, +0.00244524-0.00305117i, +0.00453926+0.00165394i, +0.00368274+0.00009506i, +0.00258462-0.00173998i, +0.00124739-0.00551712i, -0.00411826+0.00237749i, +0.00252973+0.00084585i, +0.00120710+0.00018591i
+0.00124872+0.01043358i, +0.00789441-0.00132057i, -0.00220293-0.00177721i, +0.00620509+0.00142783i, +0.00608005+0.00819252i, -0.00786336+0.00440074i, +0.01897309+0.00000000i, -0.00316895+0.00537084i, +0.00427807-0.00969376i, -0.00101075-0.00016060i, +0.00062597+0.00147871i, -0.00486181-0.00445589i, +0.00618193+0.00205086i, -0.00676730-0.00203940i, +0.00794946-0.00190967i, +0.00434063+0.00336830i, +0.00099509+0.00261969i, -0.00521182+0.00388300i, -0.00703353-0.00271335i, -0.00099282-0.00465117i, +0.00222917-0.00770188i, -0.00100983+0.00436200i, -0.00193961-0.00732243i, +0.00547349+0.00473891i, +0.00586027-0.00286667i, +0.00197175-0.00223279i, +0.00245284+0.00173817i, +0.00454113-0.00326726i, +0.00164071-0.00093668i, -0.00547518-0.00078400i, +0.00610811+0.00544665i, -0.00174460+0.00191677i, -0.00101435-0.00031381i, -0.00243944+0.00742798i, +0.00111608+0.00259249i, -0.00277779-0.00023640i, -0.00902203-0.00256577i, +0.00282831-0.00403318i, -0.01046361+0.00212716i, -0.00042631-0.00433535i, +0.00346847+0.00722477i, +0.00162775-0.00088320i, +0.00164956+0.00169843i, +0.00177884+0.00214934i, -0.00232197+0.00082314i, +0.00258905-0.00434884i, -0.00405518+0.00192503i, -0.00422436+0.00301802i, +0.00302456-0.00653954i, +0.00084866-0.00589369i, +0.00720862-0.00365958i, -0.00070066-0.00133876i, +0.00305287+0.00472828i, +0.00046968-0.00295382i, -0.00046115-0.00053939i, -0.00390479-0.00204283i, -0.00136435+0.00405083i, -0.00411024+0.00065606i, -0.00397561+0.00227159i, -0.00092557+0.00181540i, +0.00187442+0.00473136i, +0.00290133-0.00325439i, -0.00213363+0.00183839i, -0.00118990-0.00002475i
+0.00403322-0.00224925i, -0.00191427-0.00396791i, -0.00179688+0.00437010i, -0.00252856-0.00235613i, +0.00269777-0.00724802i, +0.00392393+0.00317711i, -0.00316895-0.00537084i, +0.01407563+0.00000000i, -0.00627259+0.00077176i, -0.00048375+0.00022749i, +0.00029432+0.00045308i, +0.00137997+0.00643477i, -0.00088151-0.00399892i, +0.00087851+0.00371512i, -0.00371969-0.00121863i, +0.00293025-0.00401899i, +0.00077776-0.00099119i, +0.00415965+0.00139217i, +0.00082419+0.00421282i, -0.00300473+0.00177426i, -0.00429870+0.00134572i, +0.00181925-0.00041369i, -0.00230110+0.00254497i, +0.00071014-0.00650564i, -0.00316741-0.00210468i, -0.00268139-0.00032275i, -0.00003958-0.00182449i, -0.00345203-0.00013200i, -0.00093358-0.00058178i, +0.00162856+0.00324926i, +0.00089584-0.00469397i, +0.00253343+0.00089103i, +0.00000938+0.00015643i, +0.00407398-0.00081569i, +0.00040585-0.00170559i, +0.00028970+0.00194509i, +0.00147163+0.00528932i, -0.00261865-0.00000060i, +0.00290345+0.00399304i, -0.00560174+0.00338388i, +0.00228411-0.00388734i, -0.00112736-0.00118802i, +0.00038544-0.00186029i, -0.00047893-0.00191024i, +0.00124090+0.00077519i, -0.00299678+0.00041152i, +0.00201680+0.00134621i, +0.00229183+0.00194036i, -0.00359393+0.00074797i, -0.00417812+0.00216501i, -0.00272002-0.00214338i, +0.00131489+0.00040138i, +0.00065828-0.00270915i, -0.00129498-0.00001861i, -0.00002186-0.00014033i, -0.00011828+0.00175158i, +0.00182852-0.00114599i, +0.00221241+0.00142773i, +0.00214470+0.00096044i, +0.00034539+0.00022864i, +0.00223901-0.00245345i, -0.00295717+0.00003421i, +0.00120473+0.00079648i, +0.00092732+0.00151957i
-0.00997770+0.01105302i, +0.00655501+0.01177085i, +0.00219249-0.00454353i, +0.00556766+0.00722817i, -0.00795531+0.01354346i, -0.00919072-0.00634764i, +0.00427807+0.00969376i, -0.00627259-0.00077176i, +0.02740644+0.00000000i, +0.00192046-0.00075483i, -0.00077708+0.00166013i, +0.00124047-0.01128943i, +0.00243576+0.01165443i, -0.00300024-0.01356828i, +0.00629945+0.00597235i, -0.00228982+0.01035332i, -0.00361792+0.00419464i, -0.00947220-0.00378982i, -0.00176995-0.01088436i, +0.00430303-0.00435809i, +0.01185670-0.00320559i, -0.00702983+0.00168177i, +0.00523859-0.00528443i, -0.00273888+0.01002480i, +0.00790380+0.00631132i, +0.00319933+0.00231225i, +0.00058779+0.00494113i, +0.00875939+0.00421597i, +0.00401924+0.00213139i, -0.00349315-0.00769286i, -0.00262580+0.01115105i, -0.00407770-0.00018750i, -0.00140158-0.00204576i, -0.01171720+0.00187901i, -0.00177694+0.00367562i, -0.00188219-0.00291395i, -0.00326984-0.01372762i, +0.00690234+0.00053915i, -0.00549206-0.00877509i, +0.00521449-0.00230685i, -0.01005429+0.01138850i, +0.00197571+0.00091001i, -0.00105992+0.00424677i, -0.00135125+0.00464613i, -0.00466765-0.00235221i, +0.00845937+0.00097187i, -0.00437547-0.00390929i, -0.00742914-0.00395075i, +0.01051679-0.00275636i, +0.00935572-0.00338377i, +0.00797077+0.00632106i, +0.00094478-0.00278295i, -0.00355353+0.00741079i, +0.00461537-0.00159303i, -0.00046302+0.00026095i, -0.00012299-0.00603231i, -0.00511697+0.00344750i, -0.00358190-0.00561261i, -0.00504975-0.00335148i, -0.00346525-0.00063258i, -0.00679893+0.00643300i, +0.00715839+0.00078080i, -0.00347908-0.00289002i, -0.00099277-0.00099514i
-0.00028685-0.00123370i, -0.00046328+0.00222390i, +0.00029948-0.00035463i, -0.00009343-0.00029712i, -0.00007381+0.00157332i, -0.00032776+0.00042010i, -0.00101075+0.00016060i, -0.00048375-0.00022749i, +0.00192046+0.00075483i, +0.01151023+0.00000000i, +0.00063555+0.00152097i, +0.00071202+0.00121710i, +0.00078457-0.00195686i, +0.00015460+0.00049003i, -0.00068205-0.00077748i, +0.00024201+0.00089654i, -0.00024746-0.00009244i, -0.00018763+0.00087228i, -0.00069419-0.00043232i, -0.00021576+0.00063024i, +0.00016024-0.00037144i, +0.00102901-0.00023474i, -0.00029841+0.00039502i, -0.00070641+0.00044780i, +0.00023488+0.00005741i, +0.00063516+0.00181611i, +0.00037047+0.00096929i, -0.00016374-0.00050096i, +0.00041672+0.00054002i, +0.00004445+0.00027199i, +0.00043652+0.00051603i, -0.00045762-0.00079472i, +0.00027034+0.00014161i, -0.00021961-0.00018478i, -0.00010985+0.00010431i, +0.00048231-0.00020497i, -0.00058554-0.00045286i, -0.00004248-0.00110404i, -0.00018123-0.00022587i, +0.00054984+0.00020909i, -0.00001653+0.00011440i, -0.00270555+0.00252614i, -0.00002673+0.00007955i, -0.00040257-0.00053028i, +0.00016202+0.00027908i, -0.00039036+0.00032908i, -0.00001760+0.00012804i, +0.00024681+0.00047626i, +0.00019604-0.00057407i, +0.00134990-0.00094412i, +0.00038985+0.00030605i, -0.00065503-0.00078076i, -0.00011076+0.00030056i, +0.00030274+0.00057989i, -0.00006407+0.00021202i, -0.00005783-0.00029415i, -0.00009317+0.00040412i, -0.00023890+0.00096478i, -0.00057321+0.00015295i, -0.00008706+0.00045575i, -0.00008258+0.00066747i, -0.00086612+0.00043691i, -0.00013359-0.00001085i, +0.00013317+0.00087500i
+0.00082091-0.00056090i, -0.00026621-0.00182822i, -0.00059583+0.00236537i, -0.00092486-0.00083803i, +0.00083204-0.00003462i, +0.00050985-0.00054429i, +0.00062597-0.00147871i, +0.00029432-0.00045308i, -0.00077708-0.00166013i, +0.00063555-0.00152097i, +0.01196511+0.00000000i, +0.00095351+0.00160849i, +0.00023582-0.00345393i, -0.00068821+0.00288099i, -0.00052517-0.00165405i, +0.00164441+0.00135254i, +0.00044714+0.00118277i, +0.00084585+0.00104362i, -0.00051642+0.00203747i, -0.00086997+0.00037357i, -0.00077074-0.00049561i, +0.00020406+0.00057447i, -0.00161198+0.00025328i, +0.00133392-0.00123756i, -0.00030895-0.00085626i, -0.00007853-0.00048461i, +0.00096218+0.00191176i, -0.00106928-0.00043491i, -0.00021290+0.00017422i, -0.00027737+0.00117919i, -0.00008393-0.00137468i, +0.00060834+0.00092744i, +0.00073743+0.00015740i, +0.00125244+0.00036546i, +0.00009893-0.00044242i, +0.00018967+0.00042601i, -0.00077760+0.00048928i, -0.00016278+0.00016786i, +0.00012698+0.00165621i, -0.00069288+0.00006769i, +0.00123751-0.00079092i, -0.00014765-0.00006509i, -0.00322808+0.00151832i, -0.00033201-0.00039451i, -0.00004288+0.00054513i, -0.00109385-0.00080522i, +0.00087327+0.00007292i, -0.00012253+0.00034946i, -0.00094835-0.00144144i, -0.00092767-0.00014990i, +0.00114345-0.00157878i, -0.00020644-0.00004346i, +0.00023712-0.00008721i, -0.00035554-0.00023113i, -0.00031823-0.00037360i, -0.00072299+0.00038946i, +0.00068718+0.00032779i, +0.00040900+0.00079154i, +0.00047926+0.00167944i, +0.00011864+0.00011891i, +0.00108739-0.00114622i, -0.00066574-0.00022486i, +0.00138439-0.00042312i, -0.00036624+0.00028259i
