+0.01248654+0.00000000i, +0.00092262+0.00208187i, +0.00281578-0.00090743i, -0.00059951-0.00009659i, -0.00007481-0.00081442i, -0.00079928+0.00052122i, +0.00144665-0.00046185i, -0.00257936+0.00066276i, +0.00131686-0.00144013i, -0.00251971-0.00109032i, +0.00663164-0.00290880i, -0.00016661-0.00003664i, -0.00129516-0.00093756i, +0.00171163-0.00155338i, +0.00060908+0.00776713i, -0.00548558-0.00039742i, -0.00237151+0.00087197i, -0.00311138-0.00083172i, +0.00346080+0.00332113i, +0.00581050-0.00061803i, +0.00021016+0.00112718i, +0.00114192+0.00288641i, +0.00156770-0.00096094i, +0.00370471+0.00366611i, +0.00003567-0.00019936i, -0.00087756+0.00237039i, -0.00227655+0.00048027i, +0.00137582+0.00099618i, -0.00460460+0.00000983i, -0.00021128+0.00356040i, +0.00036752+0.00126257i, -0.00012046+0.00165431i, -0.00621376-0.00382261i, +0.00205357-0.00062141i, -0.00145068+0.00230201i, -0.00143607+0.00007223i, +0.00090464+0.00095733i, +0.00187144-0.00005612i, -0.00063166-0.00116386i, +0.00068582-0.00057408i, -0.00136219+0.00064197i, -0.00108967+0.00272908i, -0.00702719+0.00017373i, -0.00039296+0.00189655i, +0.00134965+0.00018218i, -0.00125194+0.00052690i, +0.00129172-0.00502463i, +0.00223164+0.00355323i, -0.00373836-0.00119075i, +0.00028307-0.00164294i, +0.00116408+0.00290314i, +0.00825479+0.00211427i, -0.00014300+0.00169460i, -0.00109531+0.00215805i, +0.00072803+0.00054349i, -0.00041882+0.00453336i, +0.00231292+0.00149189i, -0.00358255+0.00164909i, -0.00018038+0.00065628i, +0.00005891+0.00490758i, +0.00053607-0.00264688i, -0.00108897+0.00504908i, -0.00078321+0.00454287i, -0.00000086+0.00123213i
+0.00092262-0.00208187i, +0.00996898+0.00000000i, +0.00031683-0.00005265i, -0.00082760+0.00048079i, +0.00022704-0.00108210i, +0.00060765-0.00066266i, -0.00041047-0.00072301i, -0.00217656+0.00193474i, +0.00117187-0.00084745i, -0.00083163+0.00054687i, +0.00070477-0.00277695i, -0.00166436-0.00123441i, -0.00120325+0.00009888i, -0.00019212-0.00179079i, +0.00162397+0.00206433i, -0.00216290+0.00328472i, -0.00029628+0.00117542i, -0.00138445+0.00095677i, +0.00310376-0.00078601i, +0.00133431-0.00218728i, +0.00043071+0.00081911i, +0.00140435-0.00021491i, -0.00015071-0.00150902i, +0.00259574-0.00017960i, -0.00030492+0.00016412i, +0.00017742+0.00090055i, -0.00019063+0.00111763i, +0.00064568-0.00057521i, -0.00122290+0.00293165i, +0.00069589+0.00088000i, +0.00010665+0.00045109i, +0.00032226+0.00114750i, -0.00314992+0.00050450i, -0.00092122-0.00148660i, +0.00052192+0.00151575i, -0.00072306+0.00061191i, +0.00022578+0.00003646i, +0.00121927-0.00084301i, -0.00045697-0.00048802i, +0.00004059-0.00071193i, -0.00004034+0.00041536i, -0.00022179+0.00216872i, -0.00262538+0.00253697i, +0.00091248+0.00115219i, +0.00068557-0.00054445i, -0.00041309+0.00131035i, -0.00124029-0.00225448i, +0.00221481+0.00073944i, -0.00174810+0.00045428i, -0.00021572-0.00039488i, +0.00102632+0.00039271i, +0.00431789-0.00262022i, +0.00068646+0.00045870i, +0.00019188+0.00096294i, +0.00049798-0.00020571i, +0.00175027+0.00145041i, +0.00163240-0.00053583i, -0.00120201+0.00235950i, -0.00007115+0.00021471i, +0.00115464+0.00163486i, -0.00073881-0.00096622i, +0.00142588+0.00255370i, +0.00091246+0.00193834i, +0.00039318-0.00016195i
+0.00281578+0.00090743i, +0.00031683+0.00005265i, +0.01312172+0.00000000i, +0.00208586-0.00063256i, +0.00036906-0.00010249i, -0.00005578+0.00094687i, +0.00068423-0.00119944i, +0.00047861+0.00270657i, +0.00090971-0.00075984i, -0.00139475-0.00087348i, +0.00471399-0.00314364i, -0.00132102-0.00147965i, +0.00018326-0.00185768i, +0.00021933-0.00208594i, -0.00033744+0.00558620i, -0.00404908-0.00044554i, -0.00205151+0.00199269i, -0.00334329-0.00085463i, +0.00293099+0.00284294i, +0.00492527+0.00058664i, +0.00016256+0.00186900i, +0.00067533+0.00143089i, +0.00149740-0.00055114i, +0.00303838+0.00245521i, +0.00046774+0.00025559i, -0.00135178+0.00157453i, -0.00160123-0.00058877i, -0.00030415-0.00003444i, -0.00340950+0.00044074i, -0.00107041+0.00245026i, +0.00048376+0.00167068i, -0.00116945+0.00295094i, -0.00416069-0.00274629i, +0.00180153-0.00050664i, -0.00399176+0.00094244i, -0.00154087-0.00021520i, +0.00051362+0.00057550i, +0.00191523-0.00031278i, -0.00082092-0.00041349i, +0.00027903-0.00098075i, -0.00062358+0.00012209i, -0.00065444+0.00221681i, -0.00709302+0.00120064i, -0.00019128+0.00156335i, +0.00050333+0.00058615i, -0.00072617+0.00041970i, +0.00102570-0.00489247i, +0.00243388+0.00305108i, -0.00367969-0.00099523i, +0.00059958-0.00120679i, +0.00050857+0.00265270i, +0.00737584+0.00145634i, +0.00038767+0.00166862i, -0.00081396+0.00176070i, +0.00095739+0.00084868i, +0.00001701+0.00406693i, +0.00277879+0.00078702i, -0.00333127+0.00206790i, -0.00045251+0.00088177i, +0.00009885+0.00439748i, +0.00034795-0.00340753i, -0.00084623+0.00427032i, -0.00033076+0.00365764i, -0.00010057+0.00147430i
-0.00059951+0.00009659i, -0.00082760-0.00048079i, +0.00208586+0.00063256i, +0.01216518-0.00000000i, -0.00004852+0.00131995i, -0.00080737+0.00046199i, -0.00035298+0.00171084i, +0.00070082+0.00322910i, -0.00088155+0.00046399i, +0.00056924-0.00125108i, +0.00201147-0.00058444i, +0.00066051-0.00215312i, +0.00011322+0.00041300i, +0.00065672-0.00254651i, +0.00009362-0.00004122i, -0.00026017-0.00135602i, -0.00200128+0.00028131i, -0.00012489-0.00110718i, -0.00040008+0.00167526i, +0.00090218+0.00049232i, +0.00026311+0.00024142i, +0.00013446+0.00079787i, +0.00063298+0.00069507i, +0.00031622+0.00056786i, -0.00042194-0.00051149i, -0.00076367-0.00018876i, +0.00111586-0.00054872i, +0.00007843+0.00122243i, -0.00052319-0.00050578i, -0.00019098+0.00067544i, +0.00053366+0.00217316i, -0.00059553+0.00002172i, -0.00017054-0.00100144i, +0.00065908+0.00042435i, -0.00099037+0.00018900i, -0.00251107-0.00119750i, +0.00017444+0.00028776i, +0.00072209+0.00017283i, +0.00027719-0.00039413i, -0.00006637-0.00086660i, -0.00021751-0.00039648i, -0.00034649+0.00043867i, -0.00137545-0.00083307i, -0.00106307+0.00102214i, +0.00018812+0.00033132i, -0.00014123-0.00042715i, +0.00050004-0.00082869i, -0.00010058+0.00083126i, -0.00104235-0.00003907i, +0.00030055-0.00078119i, -0.00048044+0.00084239i, +0.00111627+0.00189175i, -0.00015109+0.00077933i, -0.00058458-0.00003250i, +0.00016371-0.00018824i, -0.00017673+0.00108395i, +0.00022721+0.00058300i, -0.00146676-0.00021652i, +0.00052049+0.00022555i, -0.00094553+0.00135195i, +0.00051851-0.00096629i, -0.00105328+0.00118278i, -0.00100156+0.00124908i, -0.00069998+0.00042379i
-0.00007481+0.00081442i, +0.00022704+0.00108210i, +0.00036906+0.00010249i, -0.00004852-0.00131995i, +0.00888686+0.00000000i, -0.00031771-0.00006675i, +0.00012139-0.00011398i, +0.00092700-0.00089172i, +0.00022687-0.00037901i, -0.00036049-0.00067898i, +0.00028552+0.00170837i, +0.00004065-0.00001172i, -0.00042948+0.00063341i, -0.00001797-0.00081815i, -0.00228188+0.00002392i, -0.00065548-0.00142804i, -0.00006947+0.00001749i, +0.00023496-0.00030264i, +0.00011805+0.00127393i, -0.00013380+0.00113783i, -0.00022837+0.00075229i, -0.00013521-0.00030045i, +0.00046510+0.00082892i, -0.00133622+0.00095317i, -0.00063870+0.00025758i, +0.00008257-0.00065290i, -0.00019802-0.00057833i, -0.00013678+0.00022128i, -0.00000778-0.00080779i, -0.00049456+0.00029872i, +0.00049639-0.00035854i, -0.00069671+0.00013109i, -0.00001637-0.00095587i, +0.00007115+0.00012828i, -0.00039570-0.00031042i, -0.00008247-0.00006999i, -0.00216222-0.00083508i, +0.00059408+0.00072585i, -0.00039685-0.00058839i, -0.00011717+0.00020571i, -0.00064992+0.00101487i, -0.00054084-0.00028306i, -0.00033640-0.00140928i, -0.00013073-0.00055823i, +0.00130476-0.00034096i, -0.00053649-0.00003775i, +0.00089456+0.00018280i, -0.00018884+0.00089855i, +0.00057210-0.00048135i, +0.00024527+0.00003067i, -0.00005982+0.00060069i, -0.00018939+0.00156707i, -0.00115810+0.00074519i, -0.00000045-0.00049946i, -0.00075381+0.00057457i, -0.00159277+0.00012345i, -0.00016969+0.00053814i, +0.00002931-0.00059866i, -0.00044967+0.00070365i, -0.00070130-0.00010965i, +0.00077629-0.00014302i, -0.00101414+0.00024620i, -0.00070775+0.00008742i, -0.00040294-0.00015997i
-0.00079928-0.00052122i, +0.00060765+0.00066266i, -0.00005578-0.00094687i, -0.00080737-0.00046199i, -0.00031771+0.00006675i, +0.00929582+0.00000000i, -0.00007711-0.00121633i, +0.00061145+0.00030227i, +0.00073868+0.00017933i, -0.00058356+0.00036212i, -0.00200613-0.00117706i, -0.00177092+0.00106552i, +0.00079544-0.00030693i, -0.00137302+0.00088903i, +0.00160087-0.00027257i, +0.00103999+0.00296738i, +0.00040770+0.00125521i, -0.00091747+0.00086894i, +0.00070730-0.00162830i, -0.00016164-0.00134889i, +0.00020446-0.00019379i, +0.00074537-0.00003883i, -0.00143068-0.00041657i, +0.00055419-0.00250817i, +0.00021599-0.00099210i, +0.00050589+0.00034462i, -0.00037867-0.00027510i, +0.00013072-0.00065882i, -0.00025740+0.00243225i, +0.00095407-0.00084622i, +0.00066654-0.00004999i, +0.00001332+0.00078723i, -0.00069038+0.00115252i, -0.00041279-0.00082290i, +0.00082919+0.00044585i, +0.00057315+0.00074362i, +0.00021913+0.00007638i, -0.00156052-0.00150847i, -0.00049397+0.00015271i, -0.00029440+0.00004120i, -0.00032453+0.00008040i, +0.00094655+0.00100712i, +0.00053375+0.00230735i, +0.00037210+0.00071387i, +0.00010906+0.00004464i, +0.00124290-0.00022286i, -0.00141795-0.00045380i, +0.00059052-0.00110353i, -0.00033619+0.00137680i, -0.00043492-0.00015769i, +0.00054790-0.00098453i, +0.00071008-0.00287556i, +0.00049725-0.00023624i, +0.00049509+0.00081925i, +0.00094023-0.00064678i, +0.00154613-0.00040053i, +0.00016671-0.00109661i, +0.00071791+0.00138690i, -0.00005858+0.00005338i, +0.00200247-0.00057349i, -0.00084568+0.00027587i, +0.00174142+0.00009131i, +0.00122011-0.00041048i, +0.00104706+0.00008520i
+0.00144665+0.00046185i, -0.00041047+0.00072301i, +0.00068423+0.00119944i, -0.00035298-0.00171084i, +0.00012139+0.00011398i, -0.00007711+0.00121633i, +0.01093718+0.00000000i, -0.00017390+0.00087103i, +0.00121758-0.00095755i, -0.00076413-0.00107065i, +0.00201141-0.00068779i, -0.00025134-0.00007057i, -0.00034580+0.00045221i, +0.00001066-0.00083793i, -0.00092522+0.00251865i, -0.00231834-0.00159302i, -0.00082359+0.00020712i, -0.00061898-0.00125952i, +0.00011156+0.00125244i, +0.00090061+0.00084968i, -0.00043483+0.00038264i, +0.00092302+0.00098610i, +0.00089109+0.00009995i, +0.00103936+0.00125067i, -0.00025232-0.00001739i, -0.00059669+0.00032963i, -0.00039521-0.00087717i, +0.00133516-0.00085417i, -0.00187952-0.00086689i, -0.00043137+0.00006044i, +0.00039550-0.00055085i, -0.00160157-0.00039969i, -0.00090941-0.00195666i, +0.00093191-0.00001416i, -0.00025665+0.00057425i, -0.00006164+0.00022928i, +0.00019039+0.00029660i, +0.00048337+0.00029050i, -0.00282415-0.00129531i, +0.00038134+0.00018102i, -0.00074615+0.00037250i, -0.00071127+0.00136717i, -0.00224299-0.00130535i, -0.00020564+0.00030748i, +0.00041896+0.00042956i, -0.00059254+0.00004113i, +0.00206500-0.00171461i, +0.00025836+0.00176103i, -0.00080110-0.00115492i, +0.00040231-0.00075748i, +0.00007183+0.00062517i, +0.00271931+0.00183715i, +0.00001681+0.00105798i, -0.00165310+0.00044998i, -0.00066808+0.00094760i, -0.00021359+0.00134703i, +0.00135137+0.00012071i, -0.00131367+0.00033818i, -0.00040434-0.00083960i, -0.00060136+0.00186914i, +0.00015390-0.00076588i, -0.00110199+0.00131454i, -0.00000435+0.00101126i, -0.00071142+0.00078362i
-0.00257936-0.00066276i, -0.00217656-0.00193474i, +0.00047861-0.00270657i, +0.00070082-0.00322910i, +0.00092700+0.00089172i, +0.00061145-0.00030227i, -0.00017390-0.00087103i, +0.01300005+0.00000000i, -0.00063581-0.00007227i, +0.00125455-0.00019291i, -0.00482382-0.00094131i, -0.00124598+0.00214284i, +0.00131412+0.00025323i, -0.00263927+0.00098674i, +0.00306725-0.00369014i, +0.00288416+0.00260719i, +0.00174596+0.00164449i, +0.00122152+0.00235178i, -0.00086775-0.00280887i, -0.00270474-0.00245209i, +0.00114779-0.00105574i, +0.00048074-0.00252054i, -0.00155450+0.00021575i, -0.00100587-0.00351094i, -0.00026611+0.00023036i, +0.00125403-0.00038106i, +0.00048876-0.00064556i, -0.00043999-0.00079391i, +0.00310518+0.00148989i, +0.00164346-0.00102481i, +0.00227936-0.00110965i, +0.00167058-0.00031097i, +0.00082968+0.00374212i, -0.00130067-0.00072761i, +0.00189505-0.00061363i, +0.00114057+0.00145703i, -0.00014682-0.00077500i, -0.00137452-0.00108346i, -0.00023559+0.00123054i, -0.00260528-0.00075998i, -0.00014930-0.00021512i, +0.00213910-0.00128398i, +0.00385270+0.00327133i, +0.00166545-0.00131686i, -0.00079765-0.00046557i, +0.00112949-0.00006247i, -0.00297568+0.00169481i, +0.00143134-0.00400218i, +0.00094989+0.00301114i, -0.00059410+0.00122842i, +0.00047667-0.00181881i, -0.00390415-0.00548715i, +0.00108663-0.00141938i, +0.00237820-0.00042454i, -0.00045222-0.00095354i, +0.00240309-0.00170164i, -0.00111922-0.00217221i, +0.00266728+0.00128658i, +0.00057214-0.00027817i, +0.00318325-0.00248239i, -0.00191049+0.00102455i, +0.00352335-0.00231062i, +0.00345808-0.00215466i, +0.00166393-0.00101637i
+0.00131686+0.00144013i, +0.00117187+0.00084745i, +0.00090971+0.00075984i, -0.00088155-0.00046399i, +0.00022687+0.00037901i, +0.00073868-0.00017933i, +0.00121758+0.00095755i, -0.00063581+0.00007227i, +0.01088058+0.00000000i, -0.00091363+0.00013167i, +0.00182625-0.00031860i, -0.00146261-0.00005233i, -0.00060010-0.00177404i, +0.00103595+0.00061571i, -0.00180837+0.00211147i, -0.00091210+0.00032921i, +0.00059556+0.00213446i, -0.00116839-0.00078381i, +0.00056159+0.00046869i, +0.00077396+0.00076572i, -0.00037019+0.00025074i, +0.00070581+0.00054750i, +0.00007074-0.00013459i, +0.00068921+0.00048465i, -0.00004291-0.00093219i, -0.00035824+0.00030983i, -0.00036094+0.00024567i, +0.00099904-0.00007163i, -0.00120464+0.00030311i, -0.00031197+0.00015095i, +0.00015697+0.00034400i, -0.00033067+0.00012542i, -0.00110201-0.00210730i, +0.00050000-0.00010474i, -0.00080520-0.00000603i, -0.00060218+0.00001678i, -0.00018399+0.00002729i, +0.00063790-0.00004724i, -0.00007572-0.00092724i, -0.00015611-0.00009734i, -0.00359639-0.00191490i, -0.00011830+0.00092382i, -0.00182947-0.00046206i, +0.00038966+0.00029500i, +0.00047693+0.00098735i, -0.00042251-0.00092571i, +0.00134151-0.00107393i, +0.00039977+0.00093176i, -0.00091667+0.00108468i, +0.00087598-0.00050504i, -0.00022317+0.00037325i, +0.00185718+0.00127421i, +0.00048975-0.00016194i, -0.00043848-0.00018234i, -0.00027663-0.00036769i, -0.00023273+0.00091050i, +0.00154938+0.00004214i, -0.00136561+0.00070651i, -0.00054761+0.00040391i, -0.00090928+0.00094970i, +0.00053753-0.00175682i, -0.00112013+0.00131201i, -0.00112586+0.00089474i, +0.00007910-0.00006492i
-0.00251971+0.00109032i, -0.00083163-0.00054687i, -0.00139475+0.00087348i, +0.00056924+0.00125108i, -0.00036049+0.00067898i, -0.00058356-0.00036212i, -0.00076413+0.00107065i, +0.00125455+0.00019291i, -0.00091363-0.00013167i, +0.01124699+0.00000000i, -0.00290712+0.00269625i, +0.00053991+0.00053346i, +0.00037188+0.00063544i, +0.00012236+0.00053123i, -0.00032903-0.00354333i, +0.00436194-0.00110398i, +0.00101192-0.00150865i, +0.00323668+0.00189137i, -0.00250669-0.00118086i, -0.00240626+0.00102297i, +0.00006172-0.00015317i, -0.00086529-0.00134320i, -0.00066790+0.00058703i, -0.00288937-0.00135505i, -0.00005647+0.00008661i, +0.00021121-0.00232888i, +0.00176061-0.00029936i, -0.00104909-0.00040315i, +0.00253908-0.00086699i, -0.00032368-0.00134053i, -0.00024291-0.00019776i, +0.00001105-0.00191768i, +0.00315172+0.00131177i, -0.00114127-0.00017334i, +0.00052786-0.00145174i, +0.00123198+0.00002793i, -0.00057181-0.00060446i, -0.00158766-0.00022885i, +0.00088218+0.00029237i, +0.00028266+0.00060957i, +0.00039670-0.00038830i, -0.00229568-0.00367288i, +0.00435149-0.00093805i, +0.00024530-0.00115623i, -0.00126554+0.00004879i, +0.00066279+0.00043780i, +0.00016058+0.00271103i, -0.00202311-0.00263649i, +0.00208668+0.00002660i, -0.00010229+0.00253858i, -0.00120336-0.00148083i, -0.00475684+0.00002919i, -0.00075463-0.00114513i, +0.00095970-0.00142105i, -0.00010815-0.00044261i, -0.00018395-0.00231264i, -0.00126285-0.00030420i, +0.00224501-0.00234488i, +0.00082634-0.00067066i, -0.00052715-0.00286294i, -0.00032708+0.00168714i, +0.00053969-0.00378032i, +0.00044745-0.00219230i, +0.00070352-0.00145480i
+0.00663164+0.00290880i, +0.00070477+0.00277695i, +0.00471399+0.00314364i, +0.00201147+0.00058444i, +0.00028552-0.00170837i, -0.00200613+0.00117706i, +0.00201141+0.00068779i, -0.00482382+0.00094131i, +0.00182625+0.00031860i, -0.00290712-0.00269625i, +0.02207469-0.00000000i, +0.00081844-0.00230030i, -0.00037987-0.00141236i, +0.00418521-0.00245994i, -0.00445240+0.01079548i, -0.00912521-0.00536132i, -0.00533316-0.00095197i, -0.00361186-0.00420303i, +0.00399708+0.00830018i, +0.00797989+0.00373224i, -0.00118579+0.00187447i, -0.00030941+0.00445964i, +0.00308077+0.00036202i, +0.00350954+0.00873121i, +0.00047384+0.00027780i, -0.00365569+0.00213745i, -0.00222089-0.00149854i, +0.00145603+0.00226371i, -0.00645293-0.00366663i, -0.00242930+0.00403869i, -0.00127514+0.00260905i, -0.00235017+0.00190098i, -0.00385783-0.00796154i, +0.00302528+0.00105791i, -0.00414603+0.00089775i, -0.00244166-0.00177626i, +0.00074029+0.00182062i, +0.00327693+0.00169658i, +0.00007300-0.00123817i, +0.00114266-0.00072958i, -0.00072578+0.00026537i, -0.00366071+0.00267934i, -0.01396251-0.00708412i, -0.00171145+0.00246533i, +0.00152286+0.00027063i, -0.00228943-0.00040046i, +0.00547868-0.00629932i, +0.00106970+0.00815151i, -0.00405282-0.00541377i, +0.00150331-0.00195889i, -0.00007032+0.00628483i, +0.01044524+0.00976242i, -0.00093830+0.00327970i, -0.00321208+0.00155318i, -0.00084509+0.00207948i, -0.00380878+0.00711194i, +0.00327306+0.00481848i, -0.00790271-0.00046208i, +0.00014704+0.00049216i, -0.00478058+0.00705171i, +0.00411672-0.00443045i, -0.00546081+0.00655477i, -0.00546120+0.00686457i, -0.00188557+0.00213701i
