+0.01596177-0.00000000i, +0.00075936+0.00099217i, +0.00060060+0.00160998i, -0.00037753-0.00187762i, +0.00410748+0.00253892i, +0.00257413+0.00123107i, -0.00182918-0.00106922i, -0.00295084-0.00008055i, +0.00079181-0.00013364i, -0.00256773-0.00125948i, -0.00093016+0.00095648i, -0.00265023+0.00326910i, +0.00128424-0.00113207i, +0.00103679-0.00251014i, -0.00000432+0.00010498i, +0.00015427-0.00331259i, -0.00188158-0.00234639i, -0.00242454-0.00234479i, +0.00428326-0.00158135i, +0.00131795+0.00086987i, -0.00039862-0.00190737i, -0.00311364+0.00262395i, +0.00147439-0.00004376i, -0.00197021+0.00195898i, -0.00029791-0.00118657i, -0.00100428+0.00122073i, -0.00198126-0.00106656i, -0.00160187+0.00039068i, +0.00134931+0.00251904i, -0.00320027+0.00125756i, -0.00138069-0.00145871i, +0.00100501-0.00244176i, +0.00170909-0.00280017i, -0.00194487-0.00156907i, +0.00314096-0.00187207i, +0.00144691+0.00147749i, -0.00065633-0.00159037i, -0.00035392+0.00232140i, -0.00073469-0.00107188i, -0.00312684+0.00097999i, +0.00249759+0.00003671i, +0.00073407-0.00097211i, +0.00219292+0.00200734i, -0.00162847+0.00212950i, -0.00189726-0.00397466i, +0.00339832-0.00299613i, +0.00096558+0.00119864i, -0.00215317+0.00055730i, -0.00220737-0.00624266i, -0.00180440-0.00104336i, +0.00230437-0.00113351i, -0.00202188+0.00218671i, +0.00055772-0.00423195i, -0.00015632-0.00366561i, +0.00057268+0.00211349i, +0.00199189+0.00011000i, -0.00032452+0.00063512i, -0.00247773-0.00309969i, -0.00217790-0.00040049i, -0.00050031-0.00100601i, -0.00066914+0.00125075i, +0.00232230+0.00033097i, +0.00120333+0.00128966i, +0.00175204-0.00054641i
+0.00075936-0.00099217i, +0.01437854-0.00000000i, +0.00123005+0.00012022i, -0.00074554-0.00085891i, +0.00261244-0.00096142i, +0.00237120-0.00088315i, -0.00177105+0.00138322i, +0.00078065+0.00004981i, -0.00019786-0.00141945i, -0.00159262+0.00146380i, +0.00035791+0.00092491i, +0.00109020+0.00122210i, +0.00060275+0.00089162i, -0.00123118+0.00081284i, -0.00133128-0.00078758i, -0.00263461-0.00008191i, -0.00144126+0.00041258i, -0.00199147+0.00205859i, -0.00048928-0.00234769i, +0.00004621+0.00046141i, -0.00139250+0.00041760i, +0.00086196+0.00160039i, +0.00001854-0.00064428i, +0.00165106+0.00115384i, -0.00107833-0.00007136i, +0.00071324+0.00029425i, -0.00145583+0.00083019i, +0.00017918+0.00038652i, +0.00151366-0.00116483i, +0.00053893+0.00225865i, -0.00029713+0.00134405i, -0.00091458-0.00031469i, -0.00125088-0.00068870i, +0.00048715-0.00068379i, -0.00074556-0.00199720i, +0.00101272-0.00096123i, -0.00061113+0.00096337i, +0.00062468+0.00102492i, -0.00042906+0.00096992i, +0.00056100+0.00181184i, +0.00020762-0.00173143i, -0.00167524-0.00077170i, +0.00161140-0.00123004i, +0.00198149+0.00136108i, -0.00182322+0.00062213i, -0.00172850-0.00347770i, +0.00061597-0.00055477i, +0.00050889+0.00143294i, -0.00224237+0.00002142i, -0.00200060-0.00188486i, -0.00108534-0.00085549i, +0.00091905+0.00167549i, -0.00148249-0.00087134i, -0.00235737-0.00085684i, +0.00042530-0.00002134i, -0.00031386-0.00055834i, +0.00022950-0.00024607i, -0.00200867+0.00214174i, -0.00073167+0.00066070i, -0.00119886-0.00008327i, +0.00130708+0.00074778i, -0.00048333-0.00153507i, +0.00075551-0.00111010i, -0.00022682-0.00114381i
+0.00060060-0.00160998i, +0.00123005-0.00012022i, +0.01266687-0.00000000i, -0.00033855-0.00054972i, +0.00319014-0.00197456i, +0.00107635-0.00020435i, -0.00123061-0.00023521i, -0.00069993+0.00187993i, +0.00049396-0.00081373i, -0.00104263+0.00142239i, +0.00029767+0.00083422i, +0.00102056+0.00214903i, +0.00032421-0.00052099i, -0.00009115-0.00132016i, +0.00045177-0.00058273i, -0.00190532-0.00034085i, -0.00198553+0.00139286i, -0.00194797+0.00138526i, -0.00102231-0.00259446i, +0.00035928-0.00059685i, -0.00158378+0.00102666i, +0.00037556+0.00243300i, -0.00012216-0.00093147i, +0.00058464+0.00187866i, +0.00002445-0.00085937i, +0.00074936+0.00142153i, -0.00147539+0.00083329i, +0.00021214+0.00048923i, +0.00174990-0.00092785i, -0.00052019+0.00159467i, -0.00100672+0.00018673i, -0.00204124-0.00079119i, -0.00082560-0.00082626i, -0.00227310+0.00106730i, -0.00033176-0.00338172i, +0.00140359-0.00090484i, -0.00137746-0.00022947i, +0.00127718+0.00094157i, -0.00087052+0.00041683i, +0.00095748+0.00268297i, +0.00018010-0.00198766i, -0.00059030-0.00007633i, +0.00176761-0.00105664i, +0.00162587+0.00160387i, -0.00213493+0.00074412i, -0.00151879-0.00252643i, +0.00178167+0.00060125i, +0.00006653+0.00090061i, -0.00242650-0.00032835i, -0.00036862-0.00039794i, -0.00234842-0.00361287i, +0.00040760+0.00211216i, -0.00221140-0.00164183i, -0.00253872-0.00006743i, +0.00089045+0.00082107i, +0.00058554-0.00103948i, +0.00087353+0.00013492i, -0.00229665+0.00068640i, -0.00092850+0.00071478i, -0.00102849-0.00039341i, +0.00121308+0.00064875i, +0.00089739-0.00167642i, +0.00141044-0.00050685i, +0.00057980-0.00055232i
-0.00037753+0.00187762i, -0.00074554+0.00085891i, -0.00033855+0.00054972i, +0.01214240+0.00000000i, -0.00105570+0.00234552i, -0.00087735+0.00137636i, +0.00034491-0.00169388i, -0.00060752-0.00193773i, +0.00014201-0.00035926i, +0.00031846-0.00206171i, +0.00002627-0.00086629i, -0.00155976-0.00037153i, -0.00058519+0.00054987i, +0.00116952-0.00008287i, -0.00001241+0.00048474i, +0.00124502-0.00000840i, +0.00110355-0.00032683i, +0.00133735-0.00205493i, +0.00047537+0.00158603i, -0.00120096+0.00020664i, +0.00112380-0.00024556i, -0.00108605-0.00152761i, +0.00004601+0.00038418i, -0.00090113-0.00057591i, +0.00065765+0.00033016i, -0.00119120-0.00014672i, +0.00078312-0.00164396i, +0.00025452-0.00104936i, -0.00115952+0.00040848i, -0.00087403-0.00188899i, +0.00045410-0.00054496i, +0.00073763-0.00021880i, +0.00052311+0.00038161i, +0.00036111-0.00107382i, +0.00094721+0.00134996i, +0.00065988-0.00076657i, +0.00056931-0.00019115i, -0.00072511-0.00043267i, +0.00048393-0.00019813i, -0.00077975-0.00134308i, +0.00021435+0.00101364i, +0.00115049+0.00014430i, -0.00033210+0.00135223i, -0.00159506-0.00071599i, +0.00094227-0.00072742i, +0.00158518+0.00062637i, -0.00053244+0.00078349i, +0.00027117+0.00075700i, +0.00193353-0.00057638i, +0.00058647-0.00050433i, +0.00098849+0.00042640i, -0.00275497-0.00266371i, +0.00239011+0.00001217i, +0.00163492-0.00045814i, -0.00092342+0.00009916i, +0.00009553+0.00119280i, -0.00010276-0.00020487i, +0.00097823-0.00144466i, +0.00033439-0.00105557i, -0.00008255-0.00043414i, -0.00091520+0.00014102i, -0.00034139+0.00104775i, -0.00071133+0.00083209i, +0.00084755+0.00053439i
+0.00410748-0.00253892i, +0.00261244+0.00096142i, +0.00319014+0.00197456i, -0.00105570-0.00234552i, +0.01959371+0.00000000i, +0.00493006+0.00129719i, -0.00468989-0.00115312i, -0.00226264+0.00255684i, +0.00116366-0.00203937i, -0.00556289+0.00144315i, -0.00016710+0.00119510i, +0.00045482+0.00460848i, +0.00001700+0.00032777i, -0.00079416-0.00105793i, +0.00026210-0.00147920i, -0.00168336-0.00356171i, -0.00389549-0.00165951i, -0.00582813-0.00031379i, +0.00292283-0.00472899i, +0.00099020+0.00034199i, -0.00322125-0.00200011i, -0.00190878+0.00524534i, +0.00211825-0.00233166i, -0.00024710+0.00335189i, -0.00083542-0.00195289i, -0.00063496+0.00272789i, -0.00394026+0.00083292i, -0.00137462+0.00003889i, +0.00526496+0.00151062i, -0.00252313+0.00325739i, -0.00238943+0.00009956i, -0.00127775-0.00394834i, +0.00022885-0.00253133i, -0.00406639+0.00031761i, +0.00137124-0.00487772i, +0.00303826+0.00042245i, -0.00118578-0.00263286i, +0.00151976+0.00274078i, -0.00226643-0.00020045i, -0.00157421+0.00411237i, +0.00357826-0.00341211i, -0.00084828-0.00160275i, +0.00452175-0.00043141i, +0.00149454+0.00489016i, -0.00581027-0.00205847i, +0.00097732-0.00648142i, +0.00266963+0.00081830i, -0.00157417+0.00224927i, -0.00498340-0.00394044i, -0.00224078+0.00053251i, +0.00095995-0.00357076i, -0.00033039+0.00477848i, -0.00523898-0.00740261i, -0.00521861-0.00332677i, +0.00191499+0.00211527i, +0.00219424-0.00157521i, +0.00133218+0.00064869i, -0.00528010-0.00071917i, -0.00230383+0.00159141i, -0.00128178-0.00149932i, +0.00133424+0.00302162i, +0.00260180-0.00189353i, +0.00253395-0.00036771i, +0.00155039-0.00154916i
+0.00257413-0.00123107i, +0.00237120+0.00088315i, +0.00107635+0.00020435i, -0.00087735-0.00137636i, +0.00493006-0.00129719i, +0.01707960+0.00000000i, -0.00361800+0.00058952i, +0.00074446+0.00309473i, +0.00119250-0.00226385i, -0.00222592+0.00355482i, +0.00024885+0.00149464i, +0.00136023+0.00280495i, -0.00036475+0.00019303i, -0.00152666-0.00118395i, -0.00001305-0.00183668i, -0.00243791-0.00182126i, -0.00246832-0.00058112i, -0.00415148+0.00153026i, +0.00120152-0.00367439i, +0.00107097+0.00077848i, -0.00176946-0.00087318i, -0.00033301+0.00385667i, +0.00069213-0.00165685i, +0.00004532+0.00355535i, -0.00101665-0.00092412i, +0.00025855+0.00138674i, -0.00224128+0.00073062i, -0.00091183+0.00032334i, +0.00378258-0.00039447i, -0.00069579+0.00380050i, -0.00108432+0.00019802i, -0.00184920-0.00217893i, -0.00123318-0.00114952i, -0.00212265+0.00114457i, -0.00105920-0.00313444i, +0.00215963-0.00058766i, -0.00212992-0.00039496i, +0.00264218+0.00029962i, -0.00177718+0.00034833i, +0.00059305+0.00307702i, +0.00022472-0.00267880i, +0.00042929-0.00138912i, +0.00305564-0.00087048i, +0.00193813+0.00234029i, -0.00357597+0.00084697i, -0.00156515-0.00441654i, +0.00199095-0.00008549i, -0.00007001+0.00195890i, -0.00404408-0.00095344i, -0.00195927+0.00013100i, -0.00030376-0.00249302i, +0.00059428+0.00276315i, -0.00275743-0.00270022i, -0.00649427-0.00348137i, +0.00220289+0.00144001i, +0.00056280-0.00084478i, +0.00131749-0.00001441i, -0.00342557+0.00110702i, -0.00141133+0.00156458i, -0.00139978-0.00034683i, +0.00164803+0.00059370i, +0.00079710-0.00214365i, +0.00152139-0.00059491i, +0.00009242-0.00211481i
-0.00182918+0.00106922i, -0.00177105-0.00138322i, -0.00123061+0.00023521i, +0.00034491+0.00169388i, -0.00468989+0.00115312i, -0.00361800-0.00058952i, +0.01374176+0.00000000i, +0.00126873-0.00254206i, -0.00024056+0.00120348i, +0.00311081-0.00136396i, -0.00019587-0.00104097i, -0.00035819-0.00227391i, +0.00023405-0.00025071i, +0.00044763+0.00098225i, +0.00001791+0.00098962i, +0.00160632+0.00192547i, +0.00203682+0.00033851i, +0.00357296-0.00079051i, -0.00128739+0.00266115i, -0.00095836-0.00000544i, +0.00123628+0.00172227i, +0.00011147-0.00298128i, -0.00138549+0.00095673i, -0.00048603-0.00240676i, -0.00015704+0.00103753i, +0.00006837-0.00119726i, +0.00261583-0.00115306i, +0.00106072-0.00010744i, -0.00327288+0.00037424i, +0.00096706-0.00262528i, +0.00236417+0.00030089i, +0.00100802+0.00186739i, +0.00016175+0.00095994i, +0.00173547-0.00043568i, -0.00035890+0.00269399i, -0.00179849+0.00081922i, +0.00114289+0.00105241i, -0.00082375-0.00124462i, +0.00242273-0.00129007i, +0.00085113-0.00284862i, -0.00060739+0.00154329i, +0.00026143+0.00136609i, -0.00377824+0.00117977i, -0.00152988-0.00264814i, +0.00288327-0.00013529i, +0.00018656+0.00384043i, -0.00279693-0.00115246i, +0.00010262-0.00190426i, +0.00298460+0.00199816i, +0.00048083-0.00088401i, +0.00054825+0.00175479i, -0.00017891-0.00226657i, +0.00205809+0.00227126i, +0.00332587+0.00149956i, -0.00304667-0.00373247i, -0.00104361+0.00074461i, -0.00074722+0.00007230i, +0.00296371-0.00029420i, +0.00097417-0.00043234i, +0.00106311+0.00089768i, -0.00126730-0.00144234i, -0.00107353+0.00136749i, -0.00115009+0.00057862i, -0.00049158+0.00169948i
-0.00295084+0.00008055i, +0.00078065-0.00004981i, -0.00069993-0.00187993i, -0.00060752+0.00193773i, -0.00226264-0.00255684i, +0.00074446-0.00309473i, +0.00126873+0.00254206i, +0.01557873+0.00000000i, -0.00074417-0.00145139i, +0.00328589+0.00261480i, +0.00180352+0.00051470i, +0.00169465-0.00112041i, -0.00024344+0.00105134i, -0.00157207+0.00168710i, -0.00090507-0.00107637i, -0.00005075+0.00253745i, +0.00021191+0.00224238i, +0.00174858+0.00323018i, -0.00337011+0.00020526i, -0.00047719-0.00010445i, -0.00009594+0.00194345i, +0.00382053-0.00178807i, -0.00151066-0.00018621i, +0.00144856-0.00080078i, -0.00120204+0.00132075i, +0.00105187-0.00114464i, +0.00147157+0.00112834i, +0.00163414-0.00037640i, -0.00004412-0.00264421i, +0.00396405-0.00095442i, +0.00079838+0.00151064i, -0.00097985+0.00320760i, -0.00085795+0.00108865i, +0.00151085+0.00171774i, -0.00337932+0.00185204i, -0.00171083-0.00180743i, +0.00066648+0.00171145i, +0.00081039-0.00164886i, +0.00053520+0.00159382i, +0.00422874-0.00221439i, -0.00304683+0.00044419i, -0.00080639+0.00071298i, -0.00208526-0.00189568i, +0.00059911-0.00168709i, +0.00154548+0.00253988i, -0.00277128+0.00242979i, -0.00091581-0.00180495i, +0.00139505-0.00131311i, -0.00009900+0.00450474i, +0.00087532+0.00024416i, -0.00271176+0.00112901i, +0.00302270-0.00176586i, -0.00165790+0.00398277i, -0.00067887+0.00338292i, +0.00088303-0.00228046i, -0.00337834-0.00290688i, +0.00015310-0.00150090i, +0.00141065+0.00355524i, +0.00158752+0.00083354i, -0.00037013+0.00123227i, +0.00079933-0.00166050i, -0.00293214-0.00067981i, -0.00051665-0.00162725i, -0.00133588-0.00048821i
+0.00079181+0.00013364i, -0.00019786+0.00141945i, +0.00049396+0.00081373i, +0.00014201+0.00035926i, +0.00116366+0.00203937i, +0.00119250+0.00226385i, -0.00024056-0.00120348i, -0.00074417+0.00145139i, +0.01324911+0.00000000i, -0.00065238-0.00038489i, -0.00011316+0.00176048i, -0.00128367+0.00111347i, -0.00035086-0.00011457i, -0.00020432-0.00149243i, +0.00061218-0.00009808i, +0.00031702-0.00070549i, -0.00006943-0.00074510i, -0.00095061-0.00073076i, +0.00170343-0.00130589i, +0.00060947+0.00069300i, -0.00097064-0.00118081i, -0.00055608+0.00103307i, +0.00050703+0.00017524i, -0.00084210+0.00165984i, +0.00000303-0.00031288i, +0.00027220+0.00022822i, -0.00014435-0.00082836i, +0.00001772-0.00025057i, +0.00106858+0.00140337i, -0.00100706-0.00001537i, -0.00083923-0.00058189i, +0.00045637-0.00091541i, +0.00084270-0.00079204i, -0.00103837-0.00075717i, +0.00093942-0.00125943i, +0.00102465+0.00093878i, -0.00162032-0.00097161i, +0.00035382+0.00019162i, -0.00035501-0.00059291i, -0.00055645+0.00148815i, +0.00274533-0.00162178i, +0.00032041-0.00018379i, +0.00087983+0.00047565i, +0.00015897+0.00143005i, -0.00113484-0.00070026i, +0.00203553-0.00057333i, +0.00036385+0.00043005i, -0.00067209+0.00093103i, -0.00030829-0.00099518i, -0.00018130-0.00026329i, +0.00124513-0.00099897i, -0.00048618+0.00081069i, +0.00013726-0.00214297i, +0.00018083-0.00212359i, -0.00004020+0.00066862i, +0.00103528+0.00040045i, +0.00273809+0.00318486i, -0.00111803-0.00106025i, -0.00062524+0.00005643i, +0.00026718-0.00056182i, -0.00038616+0.00157279i, +0.00097313-0.00103460i, +0.00110699+0.00068481i, +0.00122372+0.00009534i
-0.00256773+0.00125948i, -0.00159262-0.00146380i, -0.00104263-0.00142239i, +0.00031846+0.00206171i, -0.00556289-0.00144315i, -0.00222592-0.00355482i, +0.00311081+0.00136396i, +0.00328589-0.00261480i, -0.00065238+0.00038489i, +0.01719926-0.00000000i, +0.00218360-0.00056438i, +0.00047261-0.00373653i, +0.00001558+0.00020123i, -0.00007788+0.00301272i, -0.00109334+0.00068842i, +0.00032696+0.00386695i, +0.00210243+0.00258789i, +0.00523934+0.00195499i, -0.00342766+0.00244694i, -0.00051693+0.00013762i, +0.00104910+0.00264303i, +0.00272945-0.00419763i, -0.00223412+0.00094613i, +0.00166824-0.00170577i, -0.00046679+0.00213161i, +0.00111115-0.00180538i, +0.00289633+0.00069290i, +0.00078522+0.00042334i, -0.00230324-0.00219573i, +0.00278943-0.00204280i, +0.00156912+0.00007016i, -0.00097741+0.00314870i, -0.00025387+0.00193508i, +0.00389396+0.00088450i, -0.00228389+0.00390923i, -0.00271921-0.00093949i, +0.00086327+0.00202556i, -0.00141566-0.00283982i, +0.00145536+0.00096883i, +0.00243014-0.00302876i, -0.00321240+0.00155985i, +0.00146874+0.00084624i, -0.00350335-0.00126694i, +0.00043272-0.00393265i, +0.00383295+0.00280554i, -0.00176193+0.00550013i, -0.00161578-0.00184302i, +0.00185002-0.00127988i, +0.00266138+0.00450617i, +0.00177438+0.00017422i, -0.00146056+0.00245907i, +0.00098086-0.00318630i, +0.00116782+0.00422155i, +0.00220189+0.00352855i, -0.00048009-0.00221350i, -0.00152867+0.00040120i, -0.00066442-0.00087264i, +0.00556297+0.00404049i, +0.00313959-0.00023311i, +0.00042129+0.00138217i, -0.00115860-0.00252960i, -0.00351322+0.00112591i, -0.00187020-0.00066633i, -0.00202254+0.00066225i
-0.00093016-0.00095648i, +0.00035791-0.00092491i, +0.00029767-0.00083422i, +0.00002627+0.00086629i, -0.00016710-0.00119510i, +0.00024885-0.00149464i, -0.00019587+0.00104097i, +0.00180352-0.00051470i, -0.00011316-0.00176048i, +0.00218360+0.00056438i, +0.01257410-0.00000000i, +0.00168098-0.00025392i, -0.00146374+0.00077483i, -0.00090555+0.00036029i, -0.00117249+0.00009698i, -0.00072098+0.00163795i, -0.00032189+0.00169280i, +0.00106412+0.00265405i, -0.00146978+0.00018824i, +0.00061947-0.00133431i, -0.00009987+0.00207365i, +0.00260696-0.00042722i, -0.00018502-0.00043719i, +0.00180057+0.00010892i, -0.00064293+0.00130720i, +0.00043628-0.00020799i, +0.00063705+0.00082028i, +0.00043147+0.00036210i, +0.00065429-0.00199521i, +0.00153680-0.00031646i, +0.00027795+0.00084005i, -0.00083248+0.00015671i, -0.00055147+0.00060780i, -0.00023399+0.00116841i, -0.00146253+0.00002762i, -0.00046702-0.00086155i, +0.00002325+0.00065670i, +0.00017205-0.00067400i, +0.00089357+0.00075900i, +0.00184612-0.00013569i, -0.00122529-0.00053619i, -0.00092493+0.00024763i, +0.00075012-0.00233900i, +0.00189833-0.00130494i, +0.00003114+0.00163204i, -0.00182354+0.00036885i, +0.00061697-0.00095378i, +0.00142343+0.00057072i, -0.00063668+0.00207409i, -0.00004596+0.00057801i, -0.00122840+0.00033435i, +0.00147150-0.00035999i, -0.00140776+0.00150947i, -0.00131742+0.00191150i, +0.00046231-0.00043822i, -0.00047297-0.00003193i, +0.00019545-0.00092866i, +0.00060517+0.00266808i, +0.00272305+0.00300177i, -0.00002577+0.00024484i, +0.00021000-0.00087448i, -0.00231861-0.00061722i, -0.00068478-0.00190009i, -0.00106123-0.00091024i
