+0.01483850-0.00000000i, +0.00005530-0.00010226i, +0.00023073-0.00194409i, +0.00098894-0.00361456i, +0.00071676-0.00053614i, +0.00027957+0.00143153i, +0.00118278-0.00109095i, +0.00043154-0.00072392i, -0.00029362-0.00063764i, -0.00033337+0.00136388i, +0.00012979+0.00060639i, -0.00196674+0.00002559i, -0.00065770-0.00021229i, -0.00020047+0.00066423i, +0.00166276-0.00133240i, -0.00139212+0.00002959i, +0.00076971+0.00159294i, -0.00135465+0.00111736i, -0.00044510+0.00095918i, +0.00151116+0.00116360i, +0.00008823-0.00069118i, -0.00220097+0.00029372i, +0.00032069-0.00173221i, +0.00023831+0.00010145i, -0.00072607-0.00027975i, -0.00051589+0.00029325i, +0.00113342-0.00048241i, +0.00040212-0.00082661i, -0.00059110+0.00014303i, -0.00070295+0.00003695i, -0.00080595+0.00038288i, -0.00046482+0.00090285i, +0.00171925-0.00441534i, +0.00073954+0.00044389i, -0.00182901+0.00085702i, -0.00086873-0.00159503i, +0.00107349-0.00078788i, -0.00018534+0.00070388i, -0.00093183+0.00081769i, -0.00051737+0.00037839i, -0.00117227+0.00052852i, -0.00095060-0.00066220i, +0.00054134+0.00026333i, -0.00002944+0.00191191i, -0.00204706-0.00096074i, +0.00048157+0.00151471i, -0.00055824-0.00000873i, -0.00037098-0.00013003i, +0.00119510-0.00041848i, +0.00034180-0.00122606i, -0.00053621-0.00100883i, +0.00135658-0.00067053i, -0.00089661-0.00090669i, +0.00155970-0.00016360i, +0.00046865+0.00068615i, -0.00148875+0.00127977i, -0.00259095+0.00260245i, -0.00048832-0.00059826i, +0.00016160+0.00240767i, +0.00218672+0.00269616i, +0.00117434-0.00016297i, +0.00089754+0.00020321i, -0.00018267-0.00012332i, +0.00017013-0.00067377i
+0.00005530+0.00010226i, +0.01197146+0.00000000i, +0.00082209-0.00029989i, +0.00043246-0.00070866i, +0.00004886+0.00016891i, -0.00001524+0.00015399i, +0.00050432+0.00025886i, -0.00001742+0.00006619i, +0.00011772+0.00023578i, -0.00002946+0.00033309i, +0.00100105-0.00006553i, +0.00012850-0.00052524i, +0.00009722-0.00029201i, -0.00052126-0.00043769i, +0.00064914+0.00003363i, -0.00063551+0.00013008i, +0.00030182+0.00039890i, -0.00043097+0.00112398i, -0.00023794+0.00024975i, +0.00057642+0.00044323i, -0.00003747-0.00039741i, -0.00086995+0.00011589i, +0.00031338-0.00055656i, +0.00014655+0.00001217i, -0.00006900-0.00016277i, -0.00025598-0.00057481i, +0.00033273+0.00008051i, +0.00032812-0.00033777i, -0.00033640-0.00015931i, -0.00038898+0.00028407i, -0.00031517+0.00018774i, +0.00005265+0.00016885i, +0.00043430-0.00037672i, +0.00059793-0.00119612i, -0.00009176+0.00030918i, +0.00015101-0.00075119i, -0.00001607-0.00031141i, +0.00075721+0.00074198i, -0.00036190+0.00026039i, -0.00021026+0.00011809i, -0.00019897+0.00000377i, -0.00098662+0.00019959i, -0.00004689+0.00000001i, -0.00056970+0.00104855i, -0.00024859-0.00032447i, -0.00044502-0.00000483i, -0.00013698-0.00019942i, +0.00022821-0.00002587i, -0.00002758-0.00017617i, +0.00101898+0.00021837i, -0.00060062-0.00032546i, +0.00056208-0.00037303i, -0.00014490-0.00006095i, +0.00017985-0.00020445i, +0.00064401+0.00002456i, -0.00020243-0.00013693i, +0.00006050+0.00033854i, -0.00208012+0.00146829i, -0.00003332+0.00006863i, +0.00027769+0.00031324i, +0.00031500+0.00054441i, +0.00020671-0.00029902i, -0.00005227-0.00010965i, +0.00036511-0.00048580i
+0.00023073+0.00194409i, +0.00082209+0.00029989i, +0.01569327-0.00000000i, +0.00482409-0.00166356i, +0.00044878+0.00178553i, -0.00053342+0.00161410i, +0.00149102+0.00274646i, +0.00137269+0.00078074i, -0.00020783-0.00056209i, -0.00237287+0.00081917i, +0.00086871+0.00103916i, +0.00075279-0.00151516i, -0.00057110+0.00002621i, -0.00043696-0.00009331i, +0.00249376+0.00163222i, -0.00151230-0.00145658i, -0.00108028+0.00155104i, -0.00151814+0.00007635i, -0.00133551+0.00022372i, +0.00045563+0.00321241i, +0.00213964+0.00034493i, -0.00216577-0.00199229i, +0.00295242-0.00018168i, +0.00128696-0.00035848i, -0.00032418-0.00108792i, -0.00152285-0.00030927i, -0.00029722+0.00204310i, +0.00095277-0.00019846i, -0.00048581+0.00031720i, -0.00067696-0.00083368i, -0.00137055-0.00162912i, -0.00061514+0.00034868i, +0.00460397-0.00003768i, +0.00023296+0.00038005i, -0.00244926-0.00279200i, +0.00116024-0.00202940i, +0.00235825-0.00062427i, -0.00079748+0.00034319i, -0.00239826-0.00100337i, -0.00118846-0.00014961i, -0.00154057-0.00076609i, +0.00032962-0.00164547i, -0.00040213+0.00066692i, -0.00266353+0.00176724i, -0.00043990-0.00323576i, -0.00140320+0.00156450i, +0.00105761-0.00152994i, -0.00054451-0.00104053i, +0.00085412+0.00001335i, +0.00106052-0.00028240i, +0.00150582-0.00069040i, +0.00182344+0.00155908i, -0.00074098-0.00166219i, +0.00077405+0.00161154i, +0.00009030+0.00199849i, -0.00213375-0.00091120i, -0.00177787-0.00063226i, +0.00049257-0.00071564i, -0.00439768+0.00283847i, -0.00208755+0.00446809i, +0.00078473+0.00192832i, +0.00076167+0.00121148i, +0.00098565+0.00093484i, +0.00170130-0.00046498i
+0.00098894+0.00361456i, +0.00043246+0.00070866i, +0.00482409+0.00166356i, +0.02107301-0.00000000i, -0.00038579+0.00373385i, -0.00197907+0.00228241i, +0.00062627+0.00431086i, +0.00183944+0.00211756i, +0.00015640-0.00165047i, -0.00365063-0.00073993i, -0.00050918+0.00159431i, -0.00031072-0.00286503i, -0.00087494-0.00049063i, -0.00181599+0.00021493i, +0.00202682+0.00377706i, -0.00108800-0.00345115i, -0.00296629+0.00173493i, -0.00258842-0.00080632i, -0.00246393-0.00159348i, -0.00233928+0.00541364i, +0.00338195+0.00142433i, -0.00271197-0.00426428i, +0.00396050+0.00118750i, +0.00213866+0.00132177i, +0.00065805-0.00163062i, -0.00138476-0.00069896i, -0.00197924+0.00237020i, +0.00168893-0.00061447i, -0.00151056+0.00072927i, -0.00025613-0.00287482i, -0.00156155-0.00225024i, -0.00214446-0.00003826i, +0.00626670+0.00310329i, +0.00086152+0.00157874i, -0.00334937-0.00454313i, +0.00403899-0.00420456i, +0.00344671+0.00108793i, -0.00167633+0.00039111i, -0.00255453-0.00307081i, -0.00237966-0.00153173i, -0.00118316-0.00181414i, +0.00154424-0.00261725i, -0.00072646+0.00011916i, -0.00543750+0.00126614i, +0.00255879-0.00400491i, -0.00254618+0.00123215i, +0.00195037-0.00220082i, -0.00021535-0.00172825i, +0.00162909+0.00047877i, +0.00253691-0.00051369i, +0.00218932-0.00139424i, +0.00347055+0.00342548i, +0.00058213-0.00231493i, +0.00050968+0.00253992i, -0.00119227+0.00323823i, -0.00278077-0.00360570i, -0.00229211-0.00153952i, +0.00092376-0.00027033i, -0.00456017+0.00041592i, -0.00846539+0.00719581i, -0.00002423+0.00328493i, +0.00061726+0.00224095i, +0.00083835+0.00146403i, +0.00317405+0.00086494i
+0.00071676+0.00053614i, +0.00004886-0.00016891i, +0.00044878-0.00178553i, -0.00038579-0.00373385i, +0.01467591+0.00000000i, -0.00022302+0.00076639i, +0.00217507+0.00057754i, +0.00115580-0.00098363i, -0.00088163+0.00103430i, -0.00034294+0.00206640i, +0.00052903-0.00035071i, -0.00109426+0.00040441i, +0.00016098-0.00002981i, -0.00012887+0.00093373i, +0.00222161-0.00136542i, -0.00077036+0.00021250i, +0.00101428+0.00167130i, -0.00005426+0.00051468i, -0.00151911+0.00114030i, +0.00164948+0.00106328i, +0.00043958-0.00162069i, -0.00220057+0.00079569i, +0.00097355-0.00221339i, -0.00006767-0.00109088i, -0.00057131+0.00003077i, -0.00033760+0.00055058i, +0.00132137+0.00116771i, -0.00004742-0.00115109i, -0.00008205+0.00097999i, -0.00137271-0.00015189i, -0.00059264+0.00049723i, +0.00062018+0.00083541i, +0.00190304-0.00333541i, +0.00054362-0.00032116i, -0.00202487+0.00117847i, -0.00054097-0.00165504i, +0.00098596-0.00262156i, -0.00013080+0.00085941i, -0.00099470+0.00156402i, -0.00031036+0.00145003i, -0.00076870+0.00005979i, -0.00113825-0.00093753i, -0.00005982+0.00065343i, +0.00061717+0.00230157i, -0.00166326-0.00141902i, +0.00047960+0.00199555i, -0.00152771-0.00098693i, -0.00060670+0.00021890i, -0.00026473-0.00116090i, -0.00047254-0.00138027i, -0.00038506-0.00032534i, +0.00142235-0.00100397i, -0.00018001-0.00030126i, +0.00139433+0.00031492i, +0.00164441+0.00038307i, -0.00146250+0.00103518i, -0.00130437+0.00062650i, +0.00012943-0.00025795i, +0.00015897+0.00213328i, +0.00265370+0.00282130i, +0.00427861-0.00103163i, +0.00101217-0.00047702i, +0.00000571-0.00081886i, +0.00068918-0.00128084i
+0.00027957-0.00143153i, -0.00001524-0.00015399i, -0.00053342-0.00161410i, -0.00197907-0.00228241i, -0.00022302-0.00076639i, +0.01276772-0.00000000i, +0.00076083-0.00115584i, -0.00020921-0.00084071i, -0.00018409+0.00041763i, +0.00044440+0.00173532i, +0.00077733-0.00039982i, -0.00021663+0.00042323i, +0.00003596+0.00044238i, +0.00048299+0.00009409i, +0.00011736-0.00119153i, -0.00027284+0.00151819i, +0.00116038+0.00005981i, -0.00005141+0.00090444i, +0.00058014+0.00083951i, +0.00196017-0.00075945i, -0.00009240-0.00052844i, -0.00049623+0.00222222i, -0.00081287-0.00108134i, -0.00034848-0.00031798i, -0.00030610+0.00005402i, +0.00019600+0.00108514i, +0.00075202-0.00024125i, -0.00047214-0.00069166i, +0.00024118+0.00061981i, -0.00056694+0.00101060i, -0.00025391+0.00105712i, +0.00033870+0.00014836i, -0.00118693-0.00228401i, -0.00024299-0.00055091i, -0.00022354+0.00210713i, -0.00126540+0.00002513i, -0.00092363-0.00087606i, +0.00057235-0.00053337i, +0.00022031+0.00130634i, +0.00029011+0.00129764i, -0.00033883+0.00103989i, -0.00051116+0.00025426i, +0.00007801-0.00000271i, +0.00191150+0.00119560i, -0.00097057+0.00034730i, +0.00135682-0.00034187i, -0.00082130-0.00017528i, -0.00013419+0.00022673i, -0.00022843-0.00017654i, -0.00063524-0.00110450i, -0.00048634-0.00026699i, +0.00017366-0.00117518i, -0.00104795+0.00059710i, +0.00130632-0.00000333i, +0.00112405-0.00036334i, +0.00050827+0.00161204i, +0.00062552+0.00095613i, -0.00109064-0.00106196i, +0.00109465+0.00053357i, +0.00307087-0.00007601i, +0.00075667-0.00084853i, +0.00284904-0.00210390i, +0.00048627+0.00002943i, -0.00050289-0.00081812i
+0.00118278+0.00109095i, +0.00050432-0.00025886i, +0.00149102-0.00274646i, +0.00062627-0.00431086i, +0.00217507-0.00057754i, +0.00076083+0.00115584i, +0.01678316-0.00000000i, +0.00177753-0.00144235i, -0.00066632+0.00063042i, -0.00035845+0.00259552i, +0.00116178-0.00048275i, -0.00095786-0.00038836i, -0.00026107+0.00096879i, -0.00037024+0.00080323i, +0.00328473-0.00126245i, -0.00189242+0.00040047i, +0.00106366+0.00115631i, -0.00115936+0.00076157i, -0.00162098+0.00229067i, +0.00210321+0.00169807i, +0.00095603-0.00232943i, -0.00314057+0.00052478i, +0.00118649-0.00279154i, +0.00011934-0.00108133i, -0.00090955-0.00046528i, -0.00056088+0.00073911i, +0.00204308+0.00106150i, +0.00033556-0.00073326i, -0.00023811+0.00038693i, -0.00165455+0.00051665i, -0.00216361+0.00116459i, +0.00056883+0.00086441i, +0.00265762-0.00412703i, +0.00042272-0.00049393i, -0.00303662+0.00200149i, -0.00099553-0.00300095i, +0.00043178-0.00251534i, +0.00005451+0.00099135i, -0.00153081+0.00027444i, -0.00049590+0.00101700i, -0.00148209+0.00037239i, -0.00167798-0.00061142i, +0.00003242+0.00115016i, +0.00043871+0.00349124i, -0.00216690-0.00198805i, +0.00056401+0.00180204i, -0.00096030-0.00159562i, -0.00101726-0.00034223i, +0.00028912-0.00080220i, +0.00005953-0.00105767i, -0.00029448-0.00133294i, +0.00203427-0.00115013i, -0.00203902-0.00048570i, +0.00147046+0.00025532i, +0.00282157+0.00089852i, -0.00289981+0.00160946i, -0.00058041+0.00101762i, -0.00045971-0.00089227i, +0.00021666+0.00382400i, +0.00326532+0.00454308i, +0.00246384+0.00060452i, +0.00129427-0.00062442i, +0.00325935-0.00177943i, +0.00070425-0.00200915i
+0.00043154+0.00072392i, -0.00001742-0.00006619i, +0.00137269-0.00078074i, +0.00183944-0.00211756i, +0.00115580+0.00098363i, -0.00020921+0.00084071i, +0.00177753+0.00144235i, +0.01365907+0.00000000i, -0.00061533-0.00006384i, -0.00127372+0.00082086i, +0.00027218+0.00072681i, -0.00039451-0.00021836i, -0.00081629+0.00040804i, -0.00020676+0.00048289i, +0.00171165+0.00090038i, -0.00096049-0.00103230i, -0.00099537+0.00144716i, +0.00006213+0.00002646i, -0.00072420-0.00017572i, +0.00013922+0.00187488i, +0.00120475-0.00050887i, -0.00131906-0.00050569i, +0.00149730-0.00065107i, -0.00000355+0.00059607i, -0.00070362-0.00057524i, -0.00054852-0.00015282i, -0.00008553+0.00141257i, +0.00011208+0.00042527i, -0.00052393+0.00029814i, -0.00046124+0.00011534i, -0.00102013-0.00015758i, -0.00003689+0.00068701i, +0.00213777-0.00039383i, +0.00040486+0.00017935i, -0.00185790-0.00078257i, +0.00023470-0.00064335i, +0.00075301-0.00025375i, -0.00059045+0.00002282i, -0.00138223+0.00027573i, +0.00018843-0.00125835i, -0.00063032-0.00027384i, -0.00010396-0.00074921i, +0.00002349+0.00002113i, -0.00113900+0.00175553i, -0.00075173-0.00169115i, -0.00066763+0.00134708i, -0.00003641-0.00105255i, -0.00032158-0.00046812i, +0.00053787-0.00059298i, +0.00047875-0.00068268i, -0.00016717-0.00054991i, +0.00170682+0.00062384i, -0.00075168-0.00090835i, +0.00056296+0.00056998i, +0.00051120+0.00121848i, -0.00035367-0.00029463i, -0.00045548+0.00045031i, +0.00008720-0.00005363i, -0.00104307+0.00130775i, -0.00021035+0.00320618i, +0.00126033+0.00084677i, +0.00068655+0.00006539i, +0.00066738-0.00015749i, +0.00293244-0.00149186i
-0.00029362+0.00063764i, +0.00011772-0.00023578i, -0.00020783+0.00056209i, +0.00015640+0.00165047i, -0.00088163-0.00103430i, -0.00018409-0.00041763i, -0.00066632-0.00063042i, -0.00061533+0.00006384i, +0.01288346+0.00000000i, +0.00054358-0.00021193i, -0.00041100-0.00108086i, +0.00105519-0.00088271i, -0.00013903-0.00084796i, -0.00015517-0.00099760i, -0.00075616+0.00040036i, +0.00062353+0.00069505i, -0.00006085-0.00049484i, -0.00020667-0.00011369i, +0.00017640+0.00044730i, -0.00062720-0.00036291i, -0.00083841+0.00015801i, +0.00058917+0.00036478i, -0.00043647+0.00058372i, -0.00024205+0.00030541i, +0.00020766-0.00023733i, +0.00026672-0.00047359i, +0.00000042-0.00102168i, -0.00027446+0.00018793i, +0.00032047-0.00042575i, +0.00078915-0.00002542i, +0.00048050-0.00008869i, -0.00068431-0.00077009i, -0.00078161+0.00047037i, -0.00033812+0.00029920i, +0.00159157-0.00041997i, +0.00040004+0.00037279i, -0.00001482+0.00080320i, +0.00018214-0.00013642i, +0.00133803-0.00067682i, +0.00072551-0.00069670i, +0.00105248-0.00074336i, +0.00085081+0.00091306i, -0.00031816-0.00072046i, +0.00019487-0.00096490i, +0.00083896+0.00096179i, +0.00043468-0.00022148i, -0.00018157+0.00060556i, +0.00059704-0.00013230i, -0.00240416+0.00093899i, -0.00023400+0.00015969i, +0.00051264+0.00032598i, -0.00045672-0.00032066i, +0.00068093+0.00044349i, -0.00042001-0.00003746i, -0.00087771-0.00053918i, +0.00048985+0.00012841i, -0.00035050+0.00087692i, +0.00018728+0.00014237i, -0.00004534-0.00056635i, -0.00087152-0.00144107i, -0.00031729-0.00055047i, -0.00053521+0.00016939i, -0.00042929+0.00033216i, -0.00047492-0.00024929i
-0.00033337-0.00136388i, -0.00002946-0.00033309i, -0.00237287-0.00081917i, -0.00365063+0.00073993i, -0.00034294-0.00206640i, +0.00044440-0.00173532i, -0.00035845-0.00259552i, -0.00127372-0.00082086i, +0.00054358+0.00021193i, +0.01314608+0.00000000i, +0.00029344-0.00107331i, -0.00013911+0.00052682i, +0.00079388-0.00015206i, +0.00022092+0.00019978i, -0.00180222-0.00182069i, +0.00156354+0.00165310i, +0.00145760-0.00128449i, +0.00104358+0.00080333i, +0.00138700+0.00082382i, +0.00082659-0.00277734i, -0.00195123-0.00004762i, +0.00155748+0.00211133i, -0.00227367-0.00042093i, -0.00070256+0.00015740i, -0.00014551+0.00085803i, +0.00114567-0.00031194i, +0.00057894-0.00197783i, -0.00106304-0.00042023i, +0.00055213+0.00012572i, +0.00023748+0.00135196i, +0.00076561+0.00110749i, +0.00085842-0.00066643i, -0.00395060-0.00075496i, +0.00018833-0.00029366i, +0.00229688+0.00180815i, -0.00161851+0.00128632i, -0.00167132-0.00032180i, +0.00111922+0.00023969i, +0.00157328+0.00044857i, +0.00092859+0.00060187i, +0.00084084+0.00100061i, -0.00043479+0.00142782i, +0.00026724-0.00026539i, +0.00270388-0.00121578i, -0.00072117+0.00251382i, +0.00153103-0.00123816i, -0.00070461+0.00164544i, +0.00039333+0.00071838i, -0.00077984-0.00012865i, -0.00351561+0.00065897i, -0.00102862+0.00093474i, -0.00129888-0.00161225i, -0.00026388+0.00136070i, -0.00029140-0.00198414i, +0.00034256-0.00176700i, +0.00207561+0.00153184i, +0.00211028+0.00072681i, -0.00154852+0.00161615i, +0.00256358-0.00059146i, +0.00344151-0.00353558i, -0.00003558-0.00202818i, -0.00092717-0.00188776i, -0.00082209-0.00021909i, -0.00173431-0.00027459i
+0.00012979-0.00060639i, +0.00100105+0.00006553i, +0.00086871-0.00103916i, -0.00050918-0.00159431i, +0.00052903+0.00035071i, +0.00077733+0.00039982i, +0.00116178+0.00048275i, +0.00027218-0.00072681i, -0.00041100+0.00108086i, +0.00029344+0.00107331i, +0.01373945+0.00000000i, +0.00081567-0.00105531i, +0.00011590-0.00053256i, -0.00002350-0.00022077i, +0.00111714-0.00095666i, -0.00069245+0.00000430i, +0.00068394+0.00077828i, -0.00064926+0.00093283i, -0.00001763-0.00006422i, +0.00112511+0.00009732i, +0.00081326-0.00079309i, -0.00133515+0.00058477i, +0.00020369-0.00111573i, +0.00082192-0.00045769i, -0.00013946-0.00027845i, -0.00011376+0.00029528i, +0.00037769+0.00066663i, +0.00048342-0.00044100i, -0.00018277+0.00038087i, -0.00002280+0.00015131i, -0.00102348+0.00062769i, +0.00045740+0.00039662i, +0.00021340-0.00140942i, -0.00001524-0.00017287i, -0.00054403+0.00121184i, -0.00045307-0.00066524i, +0.00039320-0.00087856i, +0.00032672+0.00050721i, -0.00044526+0.00073692i, +0.00004197+0.00041014i, +0.00032368+0.00052574i, -0.00092788-0.00004954i, +0.00042043-0.00045475i, +0.00028473+0.00110161i, -0.00102337-0.00013843i, +0.00003691+0.00080223i, -0.00060080-0.00062215i, -0.00021567-0.00017282i, +0.00059141-0.00057645i, -0.00029885-0.00034808i, -0.00280714+0.00004825i, +0.00063688-0.00090101i, -0.00128319-0.00031734i, +0.00056973-0.00009067i, +0.00121457+0.00021723i, -0.00010704+0.00048641i, +0.00001434+0.00076392i, -0.00043639+0.00010088i, -0.00061314+0.00150394i, +0.00235795+0.00074193i, +0.00082309+0.00019369i, +0.00029280-0.00038118i, -0.00004729-0.00037270i, +0.00042376-0.00060239i
-0.00196674-0.00002559i, +0.00012850+0.00052524i, +0.00075279+0.00151516i, -0.00031072+0.00286503i, -0.00109426-0.00040441i, -0.00021663-0.00042323i, -0.00095786+0.00038836i, -0.00039451+0.00021836i, +0.00105519+0.00088271i, -0.00013911-0.00052682i, +0.00081567+0.00105531i, +0.01505181+0.00000000i, +0.00055520-0.00062732i, +0.00044657-0.00149955i, -0.00150252+0.00108819i, +0.00057919-0.00029838i, -0.00094540-0.00046137i, -0.00018767-0.00044934i, +0.00034751-0.00006685i, -0.00160385-0.00007739i, -0.00067295+0.00135904i, +0.00097087-0.00111587i, +0.00005375+0.00076774i, +0.00002178-0.00001495i, +0.00105298-0.00010785i, -0.00012698-0.00016709i, -0.00098071+0.00006357i, +0.00017673+0.00014470i, -0.00017684-0.00043427i, +0.00101599+0.00051579i, +0.00034082-0.00085528i, -0.00048570-0.00120609i, -0.00049630+0.00206521i, -0.00004995+0.00049537i, +0.00125312-0.00089492i, +0.00134702+0.00111842i, -0.00013185+0.00076364i, -0.00081946-0.00034695i, +0.00083509-0.00062958i, +0.00048547+0.00000719i, +0.00086474-0.00006714i, +0.00095791+0.00051740i, -0.00081070-0.00077195i, +0.00090014-0.00237692i, +0.00102707+0.00028148i, -0.00029560-0.00093671i, +0.00048750+0.00072171i, +0.00018457-0.00010528i, -0.00030552+0.00085714i, -0.00015864+0.00064009i, +0.00048733+0.00031425i, -0.00282992+0.00101126i, +0.00068432-0.00012878i, -0.00109524+0.00058352i, -0.00102378-0.00017539i, +0.00070628-0.00078265i, +0.00048569-0.00071247i, +0.00014167-0.00016604i, -0.00034028-0.00158660i, -0.00310307-0.00092486i, -0.00072682+0.00014535i, -0.00080357+0.00025843i, +0.00016976+0.00005038i, -0.00012009+0.00129903i
