+0.01680490+0.00000000i, -0.00056156+0.00073696i, -0.00068963-0.00058183i, -0.00006810+0.00005702i, +0.00068686+0.00155880i, -0.00057540-0.00099296i, +0.00025341+0.00074337i, +0.00020613+0.00007314i, -0.00173515-0.00063514i, +0.00012364-0.00042377i, -0.00003593-0.00006117i, -0.00042757+0.00078992i, +0.00028174-0.00067363i, -0.00015669-0.00025632i, -0.00053220+0.00018417i, -0.00066740+0.00003403i, -0.00043793-0.00043702i, +0.00040716+0.00038242i, -0.00061583-0.00057168i, +0.00105711-0.00010944i, -0.00088742+0.00023982i, +0.00106521+0.00017658i, +0.00126966-0.00024091i, +0.00051487-0.00052620i, -0.00001249+0.00059070i, +0.00042032-0.00085867i, +0.00021585-0.00072324i, -0.00031781+0.00071378i, +0.00125146+0.00139803i, +0.00022355+0.00080411i, -0.00066155+0.00095210i, +0.00032363+0.00142184i, -0.00071928+0.00071688i, +0.00056238-0.00009659i, -0.00013228+0.00005265i, -0.00075933+0.00039482i, +0.00026701+0.00008283i, +0.00064522-0.00026837i, +0.00030157+0.00024171i, +0.00054747+0.00018411i, +0.00141771+0.00145029i, -0.00009641-0.00158639i, -0.00084065-0.00016694i, -0.00028844+0.00005430i, +0.00106564-0.00041739i, -0.00008791+0.00028902i, +0.00014586-0.00026600i, +0.00052241-0.00032905i, -0.00001753+0.00058818i, -0.00018630-0.00105236i, -0.00004643-0.00037452i, +0.00039025-0.00039637i, -0.00042806-0.00098503i, +0.00056221+0.00030146i, +0.00073028+0.00033690i, -0.00039804+0.00026138i, -0.00180752-0.00027526i, -0.00066349-0.00050874i, -0.00000122+0.00049559i, -0.00022314-0.00058443i, +0.00061421+0.00000418i, +0.00041377-0.00079124i, +0.00064450+0.00082166i, +0.00046905-0.00024083i
-0.00056156-0.00073696i, +0.01484453+0.00000000i, +0.00031654+0.00059784i, -0.00108690+0.00017072i, +0.00125167-0.00232090i, -0.00073623+0.00073276i, +0.00150869-0.00015339i, +0.00090806-0.00024311i, -0.00058959+0.00190382i, -0.00195143+0.00011193i, +0.00014442+0.00057618i, +0.00208059+0.00033759i, -0.00163412+0.00008178i, -0.00057085+0.00053104i, +0.00009720+0.00077236i, +0.00051054+0.00021285i, -0.00104968+0.00220959i, +0.00122806+0.00052594i, -0.00007608+0.00125916i, -0.00124460-0.00175737i, +0.00124538+0.00082098i, -0.00045186-0.00156272i, -0.00111191-0.00049741i, -0.00085317-0.00008127i, +0.00166858-0.00071249i, -0.00010210-0.00118715i, -0.00079558+0.00086419i, +0.00065219+0.00048024i, +0.00187170-0.00198893i, +0.00134880-0.00138213i, +0.00071022+0.00131264i, +0.00114503-0.00130991i, +0.00072670+0.00172783i, +0.00073240+0.00068124i, +0.00048947+0.00012347i, +0.00055176+0.00030589i, +0.00107680-0.00063548i, -0.00014358-0.00187944i, -0.00044778-0.00006421i, +0.00040595-0.00135459i, +0.00025849-0.00212521i, -0.00124933+0.00103607i, -0.00009012+0.00144855i, +0.00063020-0.00016444i, +0.00072822-0.00059324i, +0.00060334-0.00127256i, -0.00024176+0.00039112i, -0.00033948-0.00038906i, +0.00029539-0.00027748i, -0.00083917+0.00081277i, -0.00025494+0.00011766i, -0.00064127+0.00007489i, -0.00091391+0.00096021i, +0.00002590-0.00182100i, +0.00002677-0.00094784i, +0.00085223+0.00057217i, -0.00021693+0.00230476i, -0.00091198+0.00143969i, +0.00021349-0.00012528i, -0.00045616-0.00018556i, -0.00045647-0.00097917i, -0.00150994+0.00051622i, +0.00030587-0.00166833i, -0.00125118-0.00090154i
-0.00068963+0.00058183i, +0.00031654-0.00059784i, +0.01467603+0.00000000i, +0.00040421-0.00015003i, -0.00079278-0.00209934i, +0.00016224+0.00067191i, +0.00003713-0.00134625i, -0.00003425-0.00084028i, +0.00171255+0.00114161i, +0.00019384+0.00035926i, -0.00075688-0.00063056i, +0.00056439-0.00117308i, +0.00010592+0.00152974i, +0.00043792-0.00021541i, +0.00079721+0.00004850i, +0.00093537-0.00039091i, +0.00125659+0.00117161i, +0.00031459-0.00090373i, +0.00187188+0.00104803i, -0.00146298+0.00047036i, +0.00054686-0.00065857i, -0.00098813+0.00005211i, -0.00095797+0.00082124i, -0.00028740+0.00027431i, -0.00013113-0.00076331i, -0.00029763-0.00035721i, +0.00017698+0.00019179i, +0.00024034-0.00063443i, -0.00174791-0.00099401i, -0.00079633-0.00109714i, +0.00109159-0.00113330i, -0.00067968-0.00087129i, +0.00115219-0.00084285i, -0.00034870+0.00009410i, +0.00062768-0.00037215i, +0.00064726-0.00031085i, +0.00011217-0.00065898i, -0.00071128+0.00033420i, -0.00065680+0.00099188i, -0.00063318-0.00057573i, -0.00113495-0.00073633i, +0.00024647+0.00142732i, +0.00143535+0.00026244i, +0.00052051-0.00028289i, -0.00014789-0.00066546i, -0.00003851-0.00046869i, +0.00001790+0.00067054i, -0.00001585+0.00009729i, -0.00037606-0.00018966i, +0.00017066+0.00147203i, +0.00008686+0.00086856i, -0.00028366+0.00033285i, +0.00023368+0.00071531i, -0.00057277-0.00005332i, -0.00126026+0.00028361i, +0.00057910-0.00036033i, +0.00132715+0.00007275i, +0.00063156+0.00045607i, -0.00071594-0.00059915i, -0.00023233+0.00032092i, -0.00045827+0.00018926i, +0.00002198+0.00055767i, -0.00084204-0.00051227i, -0.00075151+0.00051671i
-0.00006810-0.00005702i, -0.00108690-0.00017072i, +0.00040421+0.00015003i, +0.01493229-0.00000000i, -0.00030658+0.00061703i, +0.00062421+0.00060323i, -0.00053208+0.00022661i, -0.00033690-0.00075208i, +0.00003121-0.00101298i, +0.00019659+0.00005534i, -0.00026785-0.00018004i, -0.00138252-0.00020598i, +0.00095868-0.00062048i, -0.00025077+0.00012644i, +0.00022484-0.00006850i, -0.00016774-0.00043058i, +0.00072189-0.00046079i, +0.00007565-0.00021349i, -0.00003707-0.00076657i, +0.00179637+0.00199991i, -0.00085228-0.00047164i, +0.00027715+0.00034920i, +0.00031380+0.00001083i, -0.00036555+0.00072481i, -0.00059201+0.00014591i, +0.00000437+0.00047629i, +0.00030600-0.00015768i, -0.00070659-0.00058535i, -0.00091910+0.00080240i, -0.00025355+0.00025177i, -0.00039649-0.00044862i, -0.00021290+0.00010592i, -0.00046909-0.00040419i, -0.00032824+0.00001601i, -0.00016185+0.00017669i, +0.00028294+0.00061851i, -0.00046366+0.00016261i, +0.00003848+0.00028591i, +0.00020256+0.00009375i, -0.00083059+0.00138220i, -0.00004113+0.00117695i, +0.00057104+0.00007488i, -0.00010809-0.00082415i, -0.00001629+0.00023533i, -0.00038729+0.00025257i, -0.00025945+0.00044854i, +0.00011565-0.00041016i, -0.00031190+0.00095297i, +0.00051915-0.00012505i, -0.00020200-0.00014937i, +0.00011362-0.00019900i, +0.00017460+0.00092822i, +0.00032439-0.00001650i, +0.00011562+0.00056387i, -0.00007623+0.00042608i, -0.00086238+0.00044126i, +0.00041409-0.00062356i, +0.00042232-0.00050725i, -0.00021009+0.00035248i, -0.00049930-0.00000247i, -0.00021369+0.00016796i, +0.00037281-0.00007283i, -0.00011570+0.00048330i, +0.00118803+0.00008842i
+0.00068686-0.00155880i, +0.00125167+0.00232090i, -0.00079278+0.00209934i, -0.00030658-0.00061703i, +0.02024668-0.00000000i, -0.00101574-0.00049433i, +0.00161372+0.00164401i, +0.00124911+0.00054861i, -0.00357910+0.00085198i, -0.00112185-0.00136747i, -0.00017722+0.00097135i, +0.00192670+0.00262437i, -0.00140017-0.00167625i, +0.00008227+0.00038775i, -0.00175227+0.00126897i, -0.00019509+0.00131418i, -0.00346495+0.00112145i, +0.00107333+0.00085805i, -0.00163951+0.00110849i, +0.00127103-0.00293183i, +0.00088155+0.00287387i, +0.00193010-0.00149938i, -0.00015868-0.00204273i, -0.00037828-0.00126983i, +0.00182459+0.00123934i, +0.00112263-0.00056445i, -0.00191498-0.00014885i, -0.00027428+0.00058401i, +0.00494793+0.00036388i, +0.00323544+0.00108576i, -0.00051254+0.00259302i, +0.00236361+0.00009743i, -0.00179200+0.00379557i, +0.00014200-0.00048800i, +0.00123150+0.00117184i, +0.00008448+0.00057938i, +0.00235972+0.00204688i, +0.00137543-0.00179223i, -0.00012407-0.00027947i, +0.00260194-0.00010530i, +0.00378455-0.00153629i, -0.00257975-0.00154582i, -0.00207834+0.00168342i, +0.00071807+0.00124096i, +0.00123476+0.00010538i, +0.00116258+0.00063384i, -0.00111925+0.00022226i, +0.00004635-0.00043347i, +0.00077740-0.00020557i, -0.00153095-0.00083305i, -0.00077948-0.00021346i, -0.00055737-0.00052161i, -0.00180441+0.00020863i, +0.00085411-0.00106587i, +0.00157854-0.00091145i, +0.00015730+0.00135065i, -0.00317506+0.00215848i, -0.00225778+0.00040514i, +0.00045180+0.00035473i, -0.00023698-0.00083853i, +0.00100984-0.00143424i, -0.00123380-0.00184717i, +0.00215021-0.00134173i, +0.00022797-0.00247676i
-0.00057540+0.00099296i, -0.00073623-0.00073276i, +0.00016224-0.00067191i, +0.00062421-0.00060323i, -0.00101574+0.00049433i, +0.01428293-0.00000000i, -0.00089968+0.00013657i, +0.00002097+0.00002138i, +0.00046963-0.00046321i, +0.00012987+0.00029769i, +0.00014028-0.00027620i, -0.00070548-0.00033625i, +0.00100189+0.00044310i, +0.00034372-0.00043615i, +0.00036018-0.00090524i, -0.00032911-0.00084243i, +0.00124165-0.00066942i, -0.00021036-0.00009246i, +0.00041099-0.00032672i, +0.00009427+0.00102341i, -0.00050439-0.00029805i, +0.00069623+0.00170090i, +0.00037700+0.00025834i, +0.00080760+0.00032229i, -0.00059161+0.00024035i, +0.00006298+0.00094571i, +0.00090619-0.00083022i, -0.00016149-0.00058176i, -0.00110828+0.00079965i, -0.00057533+0.00085182i, -0.00022513-0.00083492i, -0.00094281+0.00053964i, -0.00042498-0.00055584i, -0.00096268+0.00147215i, -0.00029980-0.00010667i, -0.00057536-0.00037010i, -0.00049976+0.00014004i, +0.00124230+0.00158218i, +0.00026668-0.00030370i, -0.00060421+0.00064087i, -0.00105531+0.00081944i, +0.00213059-0.00064226i, +0.00045549-0.00098821i, -0.00042041-0.00014654i, -0.00042218+0.00063942i, -0.00045443+0.00015220i, +0.00005379-0.00006666i, +0.00009957+0.00042334i, -0.00030990+0.00002433i, +0.00034987+0.00076651i, +0.00014527-0.00022937i, +0.00058652-0.00014413i, +0.00060989-0.00028386i, +0.00006797+0.00112725i, -0.00027318+0.00028746i, -0.00015179-0.00038958i, +0.00069895-0.00098014i, +0.00016567-0.00059999i, -0.00019896-0.00012823i, +0.00049553+0.00017362i, -0.00020582+0.00047755i, +0.00096519+0.00040821i, -0.00049351+0.00089065i, +0.00046637+0.00074775i
+0.00025341-0.00074337i, +0.00150869+0.00015339i, +0.00003713+0.00134625i, -0.00053208-0.00022661i, +0.00161372-0.00164401i, -0.00089968-0.00013657i, +0.01541531-0.00000000i, +0.00145870-0.00071717i, -0.00083630+0.00197731i, -0.00080046-0.00003555i, +0.00073748+0.00015725i, +0.00179569+0.00069143i, -0.00192175-0.00036967i, -0.00012939+0.00008993i, +0.00000470+0.00061413i, +0.00041003+0.00060798i, -0.00121483+0.00239599i, +0.00029773+0.00006012i, -0.00112631+0.00096937i, -0.00016344-0.00193422i, +0.00084698+0.00124848i, +0.00034573-0.00150857i, -0.00082964+0.00010089i, -0.00049561-0.00037515i, +0.00177055-0.00056369i, +0.00038343-0.00106286i, -0.00097501+0.00095901i, +0.00055334+0.00076946i, +0.00220336-0.00127211i, +0.00123825-0.00086574i, +0.00138579+0.00222423i, +0.00136491-0.00128571i, +0.00089719+0.00161670i, +0.00019051-0.00028998i, +0.00156658-0.00036143i, +0.00009119+0.00027673i, +0.00090924-0.00029550i, -0.00057330-0.00130432i, +0.00009441+0.00085137i, +0.00171875-0.00109734i, +0.00122483-0.00181606i, -0.00184567+0.00036004i, -0.00086406+0.00254383i, +0.00095571+0.00029818i, +0.00095075-0.00044288i, +0.00019168-0.00028974i, -0.00081240+0.00033576i, -0.00044530-0.00040010i, +0.00015275-0.00027475i, -0.00077404+0.00029959i, -0.00071432-0.00047175i, -0.00091995-0.00019630i, -0.00133331+0.00070333i, -0.00030868-0.00096764i, +0.00033618-0.00049715i, +0.00061166+0.00112128i, -0.00084137+0.00177329i, -0.00112119+0.00099765i, +0.00086918+0.00018849i, -0.00068724-0.00006818i, +0.00011240-0.00080606i, -0.00122429+0.00004961i, +0.00067558-0.00238507i, -0.00067956-0.00145971i
+0.00020613-0.00007314i, +0.00090806+0.00024311i, -0.00003425+0.00084028i, -0.00033690+0.00075208i, +0.00124911-0.00054861i, +0.00002097-0.00002138i, +0.00145870+0.00071717i, +0.01491911-0.00000000i, -0.00062324+0.00055271i, -0.00046666-0.00037283i, +0.00043676+0.00001142i, +0.00143554+0.00001882i, -0.00095759+0.00012995i, +0.00013332+0.00012783i, -0.00010076+0.00091091i, +0.00114319+0.00069339i, -0.00059383+0.00139205i, +0.00038952-0.00024937i, -0.00023849+0.00076004i, -0.00109305-0.00120907i, +0.00067846+0.00050916i, +0.00040880-0.00074130i, -0.00072527-0.00041963i, -0.00018212+0.00028673i, +0.00115373-0.00010563i, +0.00019540-0.00051953i, -0.00022283+0.00036594i, -0.00015543+0.00091641i, +0.00109221-0.00091334i, +0.00103201-0.00048991i, +0.00043606+0.00082349i, +0.00098009+0.00000165i, +0.00054316+0.00090328i, -0.00036369-0.00046060i, +0.00043243+0.00012040i, +0.00084953-0.00011785i, +0.00095199-0.00032944i, -0.00015460-0.00082641i, -0.00060297+0.00014602i, +0.00143415+0.00065853i, +0.00064270-0.00130896i, -0.00077168+0.00004437i, +0.00001894+0.00079279i, -0.00024224+0.00081472i, +0.00042459-0.00025547i, +0.00002747-0.00045743i, -0.00018820+0.00054479i, -0.00068576-0.00022720i, -0.00009699-0.00030023i, -0.00066169-0.00007509i, -0.00013799+0.00000766i, -0.00035247-0.00098817i, -0.00075481+0.00083287i, -0.00007469-0.00043715i, -0.00022867-0.00058173i, +0.00062063+0.00143200i, -0.00008450+0.00148433i, -0.00040120+0.00068152i, +0.00018237-0.00002305i, -0.00011225+0.00013645i, -0.00015069-0.00040221i, -0.00090421+0.00020460i, +0.00002488-0.00092268i, -0.00051216-0.00100766i
-0.00173515+0.00063514i, -0.00058959-0.00190382i, +0.00171255-0.00114161i, +0.00003121+0.00101298i, -0.00357910-0.00085198i, +0.00046963+0.00046321i, -0.00083630-0.00197731i, -0.00062324-0.00055271i, +0.01932116+0.00000000i, +0.00117567+0.00105086i, -0.00008786-0.00028703i, -0.00131775-0.00255944i, +0.00085555+0.00295986i, +0.00040798-0.00010420i, +0.00085882-0.00082674i, +0.00011634-0.00087338i, +0.00339594+0.00002856i, -0.00029370-0.00127464i, +0.00181371-0.00028309i, -0.00171168+0.00269814i, +0.00074757-0.00176228i, -0.00164638+0.00109486i, -0.00001907+0.00141026i, -0.00004044-0.00009087i, -0.00148024-0.00123168i, -0.00081964+0.00014259i, +0.00135968-0.00031297i, -0.00005866-0.00121511i, -0.00341647-0.00102976i, -0.00292957-0.00038696i, +0.00065224-0.00206952i, -0.00250519-0.00040592i, +0.00156806-0.00235381i, -0.00002363+0.00023076i, -0.00059388-0.00089966i, +0.00000341-0.00050043i, -0.00151051-0.00077302i, -0.00104932+0.00173482i, -0.00000009+0.00029751i, -0.00194466-0.00018820i, -0.00262778+0.00108134i, +0.00242888+0.00182978i, +0.00179138-0.00090938i, -0.00036460-0.00098624i, -0.00039790-0.00161496i, -0.00101175-0.00072794i, +0.00039146+0.00013214i, -0.00057130+0.00048457i, -0.00067765+0.00004660i, +0.00113327+0.00123212i, +0.00065647+0.00017572i, -0.00007252+0.00088610i, +0.00152411+0.00093190i, -0.00122735+0.00045008i, -0.00121420+0.00029788i, -0.00018743-0.00137666i, +0.00290182-0.00162324i, +0.00212157+0.00024435i, -0.00050802-0.00074155i, +0.00028935+0.00080029i, -0.00098718+0.00160443i, +0.00102322+0.00148268i, -0.00228388+0.00066965i, -0.00081000+0.00254566i
+0.00012364+0.00042377i, -0.00195143-0.00011193i, +0.00019384-0.00035926i, +0.00019659-0.00005534i, -0.00112185+0.00136747i, +0.00012987-0.00029769i, -0.00080046+0.00003555i, -0.00046666+0.00037283i, +0.00117567-0.00105086i, +0.01462155+0.00000000i, -0.00012348-0.00073816i, -0.00123913-0.00043926i, +0.00050227+0.00018164i, -0.00031702+0.00042067i, -0.00031851-0.00027275i, -0.00081860+0.00007733i, +0.00055303-0.00157570i, -0.00013298-0.00060318i, +0.00015786-0.00078409i, +0.00054924+0.00106116i, -0.00113917-0.00067948i, -0.00027300+0.00090472i, +0.00090392-0.00024058i, +0.00041799-0.00024931i, -0.00079680+0.00064093i, -0.00027148-0.00008724i, +0.00044072-0.00056995i, -0.00051893-0.00010671i, -0.00143294+0.00124123i, -0.00099490+0.00119801i, -0.00074281-0.00082806i, -0.00067345+0.00129212i, -0.00074399-0.00095351i, +0.00052439+0.00025529i, -0.00050535+0.00020040i, -0.00033116-0.00029648i, -0.00107360+0.00038160i, +0.00065342+0.00130061i, +0.00030694+0.00004087i, -0.00042403+0.00081227i, +0.00003045+0.00183638i, +0.00157285-0.00013572i, +0.00014919-0.00075689i, -0.00042979+0.00003122i, -0.00045603+0.00033604i, +0.00012540-0.00020128i, -0.00002875-0.00026909i, +0.00053828+0.00052195i, +0.00001324+0.00025691i, +0.00097532-0.00039154i, +0.00041591-0.00018715i, +0.00044616-0.00021898i, +0.00036928-0.00072716i, +0.00007412+0.00142333i, +0.00005262+0.00049090i, -0.00085139-0.00031447i, -0.00010105-0.00150175i, +0.00092984-0.00144368i, -0.00044450-0.00001128i, +0.00024591+0.00020326i, +0.00030331+0.00095902i, +0.00093902+0.00029948i, +0.00034106+0.00118834i, +0.00113852+0.00051356i
-0.00003593+0.00006117i, +0.00014442-0.00057618i, -0.00075688+0.00063056i, -0.00026785+0.00018004i, -0.00017722-0.00097135i, +0.00014028+0.00027620i, +0.00073748-0.00015725i, +0.00043676-0.00001142i, -0.00008786+0.00028703i, -0.00012348+0.00073816i, +0.01475074+0.00000000i, +0.00110086-0.00012532i, -0.00039289-0.00044959i, -0.00003592-0.00061312i, -0.00000909-0.00083149i, +0.00001355+0.00028897i, +0.00012588+0.00034670i, +0.00026549-0.00033125i, -0.00022408-0.00010251i, -0.00068460-0.00022531i, +0.00068348-0.00003292i, +0.00002444-0.00035187i, -0.00036945+0.00024802i, -0.00011444-0.00002724i, +0.00005776-0.00020638i, -0.00007476-0.00021803i, -0.00003110-0.00028310i, -0.00007158+0.00012535i, +0.00016440-0.00067213i, +0.00038421-0.00017393i, +0.00067492-0.00015319i, +0.00002368-0.00037875i, +0.00070342+0.00028489i, -0.00016492-0.00003184i, +0.00070440-0.00004628i, +0.00020791-0.00009791i, +0.00004405-0.00010756i, -0.00050066+0.00003744i, +0.00033284-0.00060849i, -0.00004426-0.00015041i, -0.00030369+0.00006242i, +0.00017627+0.00012145i, +0.00057312+0.00076862i, +0.00014084+0.00005712i, +0.00008223-0.00033904i, +0.00016971+0.00023850i, -0.00077214+0.00081783i, -0.00037845-0.00022072i, -0.00012606-0.00005397i, -0.00011334+0.00010048i, -0.00018959+0.00028778i, +0.00046474+0.00024269i, -0.00019512+0.00087198i, -0.00070049-0.00004363i, +0.00001791-0.00082727i, +0.00032477-0.00005601i, +0.00010757+0.00066302i, -0.00012137+0.00014084i, +0.00014669-0.00084777i, +0.00017964-0.00030452i, -0.00050998-0.00005018i, -0.00004920+0.00007463i, -0.00039023-0.00068330i, -0.00026006-0.00013359i
