+0.01891506-0.00000000i, -0.00096263+0.00098172i, -0.00094444-0.00167557i, +0.00043887+0.00079348i, -0.00078153+0.00106906i, +0.00029771+0.00013138i, -0.00049938-0.00097828i, +0.00104870+0.00054742i, -0.00430620-0.00059961i, -0.00076316-0.00177884i, +0.00107950+0.00205883i, +0.00163459-0.00064299i, +0.00026971-0.00156308i, +0.00013325+0.00050934i, +0.00375589-0.00115932i, +0.00008741-0.00101812i, -0.00177889-0.00115224i, +0.00040058-0.00137209i, +0.00106295-0.00072167i, +0.00061434-0.00162455i, +0.00051708-0.00153015i, +0.00005711+0.00112335i, +0.00129161-0.00028980i, -0.00035439+0.00077587i, -0.00073201-0.00094448i, -0.00176058-0.00305159i, +0.00163656+0.00096656i, -0.00047904-0.00005398i, +0.00084337-0.00059983i, -0.00043529+0.00006682i, -0.00000211+0.00113173i, +0.00020669+0.00123365i, -0.00111452+0.00126759i, +0.00123574+0.00063819i, -0.00162969-0.00004754i, -0.00026875-0.00145401i, +0.00018298-0.00070164i, +0.00002543-0.00125027i, +0.00095605+0.00126155i, -0.00048949+0.00030235i, +0.00185392+0.00202070i, -0.00163190+0.00082354i, -0.00081459+0.00183309i, -0.00038321-0.00010329i, +0.00332357+0.00017068i, -0.00083277-0.00120004i, -0.00094644+0.00093609i, +0.00015163+0.00060305i, +0.00152743-0.00294820i, -0.00180849+0.00043454i, -0.00002342-0.00021235i, +0.00069007-0.00086128i, +0.00280491+0.00049320i, +0.00158254+0.00130900i, -0.00162231+0.00091357i, +0.00036593+0.00087502i, +0.00022617-0.00244227i, -0.00019388-0.00061561i, -0.00131525+0.00058851i, -0.00044168+0.00024070i, -0.00170571+0.00056462i, +0.00112768+0.00030329i, -0.00027876+0.00144871i, -0.00331071-0.00045407i
-0.00096263-0.00098172i, +0.01462242+0.00000000i, -0.00021340+0.00087404i, -0.00014505-0.00031702i, +0.00059345-0.00023640i, -0.00029587+0.00051920i, +0.00024925+0.00047215i, -0.00013771-0.00027885i, +0.00116508-0.00030169i, -0.00025603+0.00034984i, -0.00018324-0.00050491i, -0.00075335-0.00007539i, -0.00035484+0.00027338i, +0.00004726-0.00052506i, -0.00098904-0.00012394i, -0.00053874+0.00056038i, +0.00035622+0.00046118i, -0.00049873-0.00006535i, -0.00021130+0.00008644i, -0.00017055+0.00076065i, +0.00000712+0.00044242i, +0.00020492-0.00070417i, -0.00050984+0.00010669i, -0.00004181-0.00030688i, -0.00011278+0.00024214i, -0.00003081+0.00082918i, -0.00044805-0.00042712i, +0.00020515-0.00003995i, +0.00019385+0.00006602i, +0.00010121-0.00005027i, -0.00025334-0.00037382i, +0.00024278-0.00064082i, +0.00013010-0.00035490i, +0.00006253-0.00111787i, +0.00063690+0.00026373i, +0.00003539+0.00033741i, +0.00007912+0.00024597i, +0.00019852+0.00056242i, -0.00040553-0.00017795i, +0.00025213-0.00049118i, -0.00071421-0.00084971i, +0.00084686+0.00020331i, +0.00034068-0.00025177i, +0.00046074+0.00017413i, -0.00090401-0.00028545i, +0.00092507+0.00045525i, +0.00035001+0.00008216i, +0.00021346-0.00050200i, -0.00026437+0.00022961i, +0.00079452-0.00028568i, -0.00012045-0.00044509i, -0.00012814+0.00013610i, -0.00057884-0.00024645i, -0.00018550-0.00039937i, +0.00060966+0.00026228i, -0.00010034-0.00077593i, -0.00058882+0.00042693i, -0.00032052-0.00062574i, +0.00044050+0.00001605i, +0.00053405-0.00006682i, +0.00083048+0.00032726i, -0.00038134+0.00014628i, +0.00055393-0.00033304i, +0.00110413+0.00044420i
-0.00094444+0.00167557i, -0.00021340-0.00087404i, +0.01596974+0.00000000i, -0.00051430+0.00054545i, +0.00029403+0.00020259i, +0.00008376+0.00035592i, +0.00066787-0.00006688i, -0.00050656+0.00017685i, +0.00092221-0.00152139i, +0.00080537+0.00049185i, -0.00112779-0.00028965i, -0.00010572+0.00105358i, +0.00081470+0.00015852i, -0.00044894-0.00003668i, -0.00047095+0.00157919i, +0.00053976+0.00023885i, +0.00137962-0.00000462i, +0.00079515+0.00039597i, -0.00069442+0.00030063i, +0.00018805+0.00057314i, +0.00061377+0.00074405i, -0.00037966-0.00044286i, -0.00026542+0.00068612i, -0.00046708+0.00010555i, +0.00000437-0.00039610i, +0.00136900-0.00042789i, -0.00097229-0.00001206i, +0.00045342-0.00013645i, +0.00007658+0.00063586i, +0.00026317-0.00039562i, -0.00029127+0.00032199i, -0.00073560-0.00030513i, -0.00070882-0.00099476i, -0.00042769+0.00000622i, +0.00042736-0.00114505i, +0.00055395+0.00019603i, +0.00033494+0.00051462i, +0.00052867+0.00033163i, -0.00036446+0.00049351i, +0.00000340-0.00021916i, -0.00125214+0.00003494i, +0.00005234-0.00069840i, -0.00013517+0.00005615i, +0.00031987-0.00002651i, -0.00071701+0.00129251i, +0.00076351-0.00024267i, -0.00028240-0.00040008i, -0.00041167-0.00021021i, +0.00028862+0.00090045i, +0.00041522-0.00079158i, +0.00030867-0.00097724i, +0.00065650+0.00038040i, -0.00099031+0.00120270i, -0.00081636+0.00052853i, +0.00017352-0.00057173i, -0.00067525+0.00001832i, +0.00109238+0.00068439i, -0.00017493-0.00031478i, +0.00003055-0.00050883i, +0.00018685-0.00027552i, +0.00035369-0.00097958i, -0.00054159+0.00039596i, -0.00012146-0.00048815i, +0.00090571-0.00117981i
+0.00043887-0.00079348i, -0.00014505+0.00031702i, -0.00051430-0.00054545i, +0.01472687+0.00000000i, +0.00036389+0.00041771i, +0.00009867+0.00019070i, -0.00032808-0.00005317i, +0.00051889-0.00035129i, -0.00130814+0.00104109i, -0.00044334-0.00052493i, +0.00078233+0.00034113i, +0.00036634-0.00098459i, +0.00002972-0.00035394i, -0.00036273+0.00005913i, +0.00091691-0.00153139i, -0.00033720-0.00011513i, -0.00113201-0.00021568i, -0.00064243-0.00100158i, +0.00045980-0.00014628i, -0.00058350-0.00069611i, +0.00003019-0.00039110i, +0.00000457+0.00029718i, +0.00034168-0.00010143i, +0.00020738+0.00029138i, -0.00026793-0.00034858i, -0.00123391-0.00031893i, +0.00089570-0.00006494i, -0.00037015-0.00038578i, +0.00019523-0.00071008i, +0.00006848+0.00019234i, +0.00043765+0.00021294i, +0.00068669+0.00058026i, -0.00025716+0.00120791i, +0.00042395+0.00012132i, -0.00079609+0.00049776i, -0.00045256-0.00098083i, -0.00016799-0.00021346i, +0.00004228-0.00093802i, +0.00058289+0.00000392i, -0.00022426+0.00024515i, +0.00073258+0.00015907i, -0.00042706+0.00074544i, +0.00029940+0.00060954i, +0.00007734+0.00061774i, +0.00108221-0.00052702i, -0.00014750-0.00027397i, -0.00023946+0.00042774i, -0.00014335+0.00012033i, -0.00009004-0.00079981i, -0.00059089+0.00067155i, -0.00006695+0.00009875i, +0.00038156-0.00111571i, +0.00076156-0.00031076i, +0.00079078-0.00031599i, -0.00083195+0.00044405i, +0.00071971+0.00046072i, -0.00046946-0.00116309i, -0.00038715+0.00012683i, -0.00040303+0.00013157i, -0.00034566+0.00020159i, -0.00024018+0.00062640i, +0.00037767-0.00057662i, +0.00024495+0.00031192i, -0.00133829+0.00052914i
-0.00078153-0.00106906i, +0.00059345+0.00023640i, +0.00029403-0.00020259i, +0.00036389-0.00041771i, +0.01586806+0.00000000i, -0.00015998+0.00061632i, +0.00008074+0.00127047i, +0.00058144+0.00004262i, +0.00053408+0.00087427i, +0.00026317+0.00052179i, +0.00028340-0.00079865i, +0.00005870-0.00017829i, +0.00002821+0.00064685i, -0.00043136-0.00017166i, -0.00040491-0.00051291i, +0.00015836+0.00015481i, +0.00008707+0.00028341i, -0.00010528+0.00013108i, +0.00010670+0.00013909i, -0.00011604+0.00040505i, -0.00027257-0.00004757i, +0.00022214-0.00035526i, -0.00030016-0.00036706i, +0.00015476+0.00031098i, -0.00073293+0.00023520i, -0.00022172+0.00024137i, -0.00011208-0.00007142i, +0.00002908+0.00004923i, +0.00047806+0.00029555i, +0.00013712+0.00011135i, -0.00001168-0.00004286i, +0.00060552-0.00010856i, +0.00013537+0.00000226i, -0.00012921-0.00014667i, -0.00000180-0.00036807i, -0.00003228+0.00030619i, +0.00031808-0.00005585i, +0.00023274+0.00035088i, -0.00027681+0.00009089i, -0.00003733-0.00017051i, +0.00001495-0.00036938i, +0.00036427+0.00009261i, +0.00029304-0.00033732i, +0.00007777+0.00024782i, -0.00043762-0.00065223i, +0.00016900+0.00015426i, +0.00040874-0.00046046i, -0.00021815-0.00025520i, -0.00018276+0.00015291i, +0.00000856+0.00034277i, -0.00013859-0.00075556i, -0.00022191-0.00022000i, -0.00027479-0.00143407i, -0.00050464-0.00019808i, +0.00025410+0.00010534i, -0.00035192+0.00005185i, -0.00072874+0.00001340i, +0.00000567+0.00006285i, +0.00046217+0.00028756i, +0.00004088-0.00006439i, +0.00005164+0.00013578i, -0.00016438+0.00002763i, +0.00014920-0.00081829i, +0.00035912+0.00007582i
+0.00029771-0.00013138i, -0.00029587-0.00051920i, +0.00008376-0.00035592i, +0.00009867-0.00019070i, -0.00015998-0.00061632i, +0.01393525+0.00000000i, +0.00042597-0.00020529i, -0.00017070-0.00049171i, -0.00012613+0.00005341i, -0.00011990-0.00012346i, -0.00010865-0.00007102i, +0.00013651+0.00012363i, +0.00006209-0.00034002i, +0.00018482+0.00029447i, -0.00026003-0.00033886i, +0.00017868+0.00007865i, -0.00010620-0.00006584i, -0.00021596-0.00002975i, +0.00040656-0.00010504i, +0.00004863-0.00011372i, +0.00024624-0.00016889i, +0.00003897-0.00003712i, +0.00021683-0.00001595i, +0.00010784+0.00021982i, -0.00014614-0.00027831i, -0.00044078-0.00002943i, +0.00023899+0.00003414i, -0.00004621-0.00022144i, -0.00003787-0.00022734i, +0.00066717+0.00030663i, +0.00017276+0.00008577i, +0.00030994+0.00007415i, -0.00011528+0.00009454i, +0.00031625+0.00008805i, -0.00024942+0.00000585i, +0.00026750+0.00068199i, -0.00016069+0.00002386i, +0.00004862-0.00086397i, +0.00037428+0.00006256i, -0.00009645-0.00018094i, +0.00017160+0.00028650i, +0.00020672-0.00024502i, +0.00014080+0.00028072i, +0.00001160-0.00023017i, +0.00034344-0.00013842i, -0.00011697-0.00064439i, -0.00030718-0.00000636i, -0.00022048+0.00014540i, -0.00024418-0.00025787i, +0.00031227-0.00022837i, -0.00006334+0.00016923i, +0.00012418+0.00036583i, +0.00017544-0.00023226i, +0.00022361-0.00042837i, -0.00006878+0.00008638i, +0.00000800+0.00017124i, +0.00005859-0.00016963i, -0.00035908-0.00007559i, +0.00000935+0.00005004i, +0.00009434-0.00012456i, -0.00009914+0.00001234i, -0.00026945+0.00020732i, -0.00003877+0.00018584i, -0.00038873+0.00033940i
-0.00049938+0.00097828i, +0.00024925-0.00047215i, +0.00066787+0.00006688i, -0.00032808+0.00005317i, +0.00008074-0.00127047i, +0.00042597+0.00020529i, +0.01516797+0.00000000i, -0.00029254+0.00004093i, +0.00098466-0.00088240i, +0.00065699-0.00003433i, -0.00014267-0.00020099i, +0.00032589+0.00035324i, -0.00008889+0.00021576i, -0.00041557-0.00047075i, +0.00010708+0.00088491i, -0.00045825-0.00019390i, +0.00053761-0.00007362i, +0.00029241+0.00029950i, -0.00035535+0.00010296i, +0.00024135+0.00016250i, -0.00005012+0.00043326i, -0.00012001+0.00000952i, +0.00019818+0.00027334i, +0.00001338-0.00017405i, +0.00016343+0.00044784i, +0.00044481+0.00036650i, +0.00001991+0.00021461i, +0.00001767-0.00017037i, +0.00012601+0.00028551i, +0.00007375+0.00007626i, +0.00045826+0.00011589i, -0.00007939-0.00036333i, -0.00042333-0.00060833i, -0.00035586-0.00005568i, +0.00055887-0.00048288i, +0.00043091+0.00017789i, +0.00049589+0.00009057i, +0.00013333-0.00000211i, -0.00016951+0.00001729i, -0.00001556-0.00002794i, -0.00050606+0.00004343i, +0.00031296-0.00030959i, -0.00058811+0.00011995i, -0.00041156+0.00019950i, -0.00067411+0.00050184i, +0.00061184+0.00024333i, +0.00018249-0.00018386i, -0.00020121-0.00028420i, -0.00027640-0.00013595i, +0.00041536-0.00032709i, +0.00015545-0.00033091i, -0.00004998+0.00044234i, -0.00048251+0.00030972i, -0.00010562+0.00037279i, +0.00009662-0.00103450i, +0.00011372+0.00007354i, -0.00015705+0.00045779i, +0.00009537-0.00023596i, +0.00029590-0.00009681i, +0.00008460-0.00003872i, +0.00009195-0.00016121i, +0.00021227+0.00025753i, +0.00007107-0.00008330i, +0.00053344-0.00048930i
+0.00104870-0.00054742i, -0.00013771+0.00027885i, -0.00050656-0.00017685i, +0.00051889+0.00035129i, +0.00058144-0.00004262i, -0.00017070+0.00049171i, -0.00029254-0.00004093i, +0.01396440+0.00000000i, -0.00112551+0.00069113i, -0.00051086-0.00006529i, +0.00060153+0.00028316i, +0.00079390-0.00058712i, -0.00040648+0.00006771i, +0.00028676+0.00008855i, +0.00074669-0.00099451i, +0.00011404+0.00007060i, -0.00075050+0.00047353i, -0.00018551-0.00043602i, +0.00089035-0.00000704i, -0.00013327-0.00053851i, -0.00014756+0.00010215i, +0.00006851+0.00030763i, +0.00065301-0.00052677i, +0.00025995-0.00010754i, +0.00007723+0.00010745i, -0.00105295-0.00076326i, +0.00081097-0.00003798i, -0.00000332+0.00019414i, +0.00032333+0.00011674i, -0.00049477+0.00008792i, +0.00007307+0.00037682i, +0.00088936+0.00045225i, +0.00004282+0.00117846i, +0.00059536+0.00073195i, -0.00033913+0.00028147i, +0.00009864-0.00065964i, -0.00008187+0.00001599i, -0.00004318-0.00011906i, -0.00000298+0.00041654i, -0.00010525-0.00037391i, +0.00061788+0.00017260i, -0.00041959+0.00037195i, -0.00021727+0.00025665i, -0.00030815+0.00021065i, +0.00092207-0.00042842i, +0.00010024-0.00034688i, -0.00033850-0.00003268i, +0.00028418-0.00009238i, -0.00001607-0.00044504i, -0.00021278+0.00092140i, -0.00034462-0.00000871i, +0.00024148-0.00036996i, +0.00084516-0.00040605i, +0.00058265+0.00015716i, -0.00023052+0.00044350i, +0.00031001-0.00032268i, -0.00010388-0.00036060i, -0.00033696-0.00031096i, -0.00015111+0.00041179i, -0.00025267+0.00026595i, -0.00038048+0.00031958i, +0.00093832-0.00065036i, +0.00017592+0.00037235i, -0.00098734+0.00069166i
-0.00430620+0.00059961i, +0.00116508+0.00030169i, +0.00092221+0.00152139i, -0.00130814-0.00104109i, +0.00053408-0.00087427i, -0.00012613-0.00005341i, +0.00098466+0.00088240i, -0.00112551-0.00069113i, +0.02108915-0.00000000i, +0.00013170+0.00274931i, -0.00120071-0.00297742i, -0.00230551+0.00048273i, -0.00059129+0.00106020i, -0.00021408-0.00072101i, -0.00407890+0.00080016i, -0.00038315+0.00117219i, +0.00223997+0.00110299i, -0.00030277+0.00130464i, -0.00137315-0.00005438i, -0.00081099+0.00198028i, -0.00045582+0.00150552i, +0.00064599-0.00135924i, -0.00174271+0.00010094i, +0.00020155-0.00103267i, +0.00099572+0.00078268i, +0.00209062+0.00384687i, -0.00249172-0.00177969i, +0.00037986+0.00009718i, -0.00116914+0.00082108i, +0.00076096+0.00059388i, -0.00010906-0.00109293i, -0.00031812-0.00226359i, +0.00228089-0.00255993i, -0.00076338-0.00067258i, +0.00209703+0.00018605i, +0.00038854+0.00162924i, +0.00022596+0.00131770i, -0.00031965+0.00159441i, -0.00119476-0.00097012i, +0.00043067-0.00018490i, -0.00159876-0.00278086i, +0.00235953-0.00081301i, +0.00071757-0.00151964i, +0.00058915+0.00058833i, -0.00386351-0.00027575i, +0.00077529+0.00117061i, +0.00163252-0.00115130i, -0.00033552-0.00042973i, -0.00147318+0.00175788i, +0.00208781-0.00023355i, +0.00028213+0.00019155i, -0.00079203+0.00097806i, -0.00321636-0.00097853i, -0.00143573-0.00155916i, +0.00157436-0.00017430i, -0.00017739-0.00129812i, -0.00089374+0.00297825i, +0.00031756+0.00039695i, +0.00143527-0.00049907i, +0.00057056+0.00005547i, +0.00238202-0.00010521i, -0.00194218-0.00017567i, +0.00058690-0.00065478i, +0.00373116+0.00067357i
-0.00076316+0.00177884i, -0.00025603-0.00034984i, +0.00080537-0.00049185i, -0.00044334+0.00052493i, +0.00026317-0.00052179i, -0.00011990+0.00012346i, +0.00065699+0.00003433i, -0.00051086+0.00006529i, +0.00013170-0.00274931i, +0.01617926-0.00000000i, -0.00192149+0.00059343i, +0.00038426+0.00164327i, +0.00043539+0.00045864i, -0.00033092+0.00045697i, -0.00013549+0.00148483i, +0.00046780+0.00027600i, +0.00109537-0.00075890i, +0.00119861-0.00021578i, +0.00011684+0.00068861i, +0.00064035+0.00110265i, +0.00054685+0.00081540i, -0.00072067-0.00037655i, -0.00007706+0.00087898i, -0.00032700-0.00004527i, +0.00047127+0.00000305i, +0.00200876-0.00061649i, -0.00069917+0.00090123i, +0.00041535+0.00014367i, +0.00046914+0.00030238i, -0.00016581-0.00025909i, -0.00063178-0.00028849i, -0.00101844+0.00006163i, -0.00092506-0.00068038i, -0.00026454-0.00032829i, +0.00014696-0.00106841i, +0.00101900+0.00032401i, +0.00094399+0.00002021i, +0.00072429+0.00035247i, -0.00039770+0.00070105i, +0.00010811-0.00026651i, -0.00154924+0.00077100i, -0.00014360-0.00186057i, -0.00082192-0.00052643i, +0.00022741-0.00023298i, -0.00056395+0.00170076i, +0.00026508-0.00027136i, -0.00019350-0.00057228i, -0.00066926+0.00035454i, +0.00061346+0.00085025i, -0.00012173-0.00077526i, -0.00003657+0.00029163i, -0.00006483+0.00026470i, -0.00090243+0.00163255i, -0.00139691-0.00001330i, +0.00000781-0.00112743i, -0.00073842+0.00036181i, +0.00090560+0.00067045i, +0.00005425+0.00041445i, +0.00002728-0.00067609i, +0.00001731-0.00002730i, +0.00000291-0.00128213i, +0.00035023+0.00102545i, -0.00042953-0.00064797i, +0.00078134-0.00229745i
+0.00107950-0.00205883i, -0.00018324+0.00050491i, -0.00112779+0.00028965i, +0.00078233-0.00034113i, +0.00028340+0.00079865i, -0.00010865+0.00007102i, -0.00014267+0.00020099i, +0.00060153-0.00028316i, -0.00120071+0.00297742i, -0.00192149-0.00059343i, +0.01658520+0.00000000i, +0.00008348-0.00094393i, -0.00081498-0.00075044i, -0.00003380-0.00014512i, +0.00051121-0.00267277i, -0.00044497-0.00004790i, -0.00102525+0.00110861i, -0.00082912-0.00038002i, +0.00066402-0.00076358i, -0.00089110-0.00093344i, -0.00056336-0.00028721i, +0.00056010+0.00043812i, +0.00036079-0.00074000i, +0.00040759+0.00022323i, -0.00062712+0.00025312i, -0.00197020+0.00002086i, +0.00120814-0.00062193i, -0.00028286+0.00052875i, -0.00016387-0.00074107i, -0.00014660+0.00021123i, +0.00081962+0.00005723i, +0.00122426+0.00022574i, +0.00082408+0.00174740i, +0.00034419-0.00001144i, -0.00017775+0.00061809i, -0.00088437-0.00030365i, -0.00092573-0.00027713i, -0.00074402-0.00053601i, +0.00035612-0.00041367i, +0.00005766+0.00038383i, +0.00145630-0.00056975i, -0.00001556+0.00123079i, +0.00031240+0.00032563i, -0.00036125+0.00030019i, +0.00119518-0.00210947i, -0.00049963+0.00017148i, +0.00003169+0.00039284i, +0.00040478+0.00021262i, -0.00089572-0.00117202i, -0.00009125+0.00078973i, +0.00030044-0.00031376i, +0.00000959-0.00071746i, +0.00131896-0.00200352i, +0.00117883-0.00002010i, +0.00000712+0.00141842i, +0.00069942-0.00007234i, -0.00099775-0.00055494i, -0.00006514-0.00003092i, -0.00019667+0.00186040i, -0.00025184+0.00031908i, -0.00020334+0.00120197i, +0.00041138-0.00064803i, +0.00028128+0.00035858i, -0.00115404+0.00186593i
