+0.12555880-0.00000000i, -0.10722550-0.02574372i, +0.01662564+0.01291049i, +0.04886681+0.03429047i, -0.03864185+0.02070784i, -0.02132792+0.07230022i, +0.00024894-0.00026893i, +0.06959528+0.03422431i, -0.04538691-0.04187490i, -0.05442319+0.01564196i, -0.02483568-0.00315855i, +0.01230361+0.04872247i, +0.04132180+0.05003978i, +0.00979749-0.03149331i, -0.02081745-0.01858150i, -0.01734115+0.08470928i, -0.05564634-0.03848793i, -0.00499932-0.06388834i, -0.02923483+0.07858990i, -0.02430586+0.06279623i, +0.05558899+0.02462536i, +0.03331832+0.01228263i, -0.02210739-0.02659359i, +0.02021736+0.03946702i, -0.00919140+0.02940142i, +0.00201413+0.04619549i, +0.10006167+0.04003138i, +0.00897351+0.02559298i, -0.00183989-0.05123999i, -0.02300677-0.00806469i, -0.00437234+0.04461039i, +0.08281355-0.01959017i
-0.10722550+0.02574372i, +0.09684744+0.00000000i, -0.01684515-0.00761658i, -0.04876228-0.01926428i, +0.02875382-0.02560708i, +0.00338981-0.06611634i, -0.00015745+0.00028070i, -0.06645054-0.01495775i, +0.04734555+0.02645477i, +0.04326954-0.02451658i, +0.02185694-0.00239478i, -0.02049684-0.03908568i, -0.04554806-0.03426095i, -0.00190975+0.02890367i, +0.02158764+0.01160008i, -0.00255911-0.07589608i, +0.05541252+0.02145882i, +0.01736858+0.05353474i, +0.00885261-0.07310881i, +0.00788157-0.05861063i, -0.05252125-0.00963213i, -0.03097174-0.00365784i, +0.02433198+0.01817781i, -0.02535740-0.02955907i, +0.00182107-0.02699295i, -0.01119165-0.03903735i, -0.09365906-0.01367029i, -0.01291066-0.02001619i, +0.01207714+0.04338101i, +0.02130100+0.00216998i, -0.00541269-0.03899314i, -0.06670500+0.03370926i
+0.01662564-0.01291049i, -0.01684515+0.00761658i, +0.00352897-0.00000000i, +0.00999650-0.00048419i, -0.00298742+0.00671531i, +0.00461012+0.01176653i, +0.00000531-0.00006121i, +0.01273442-0.00262434i, -0.01031558-0.00087791i, -0.00559797+0.00766723i, -0.00361335+0.00213548i, +0.00663901+0.00518639i, +0.01061685+0.00237704i, -0.00194096-0.00517755i, -0.00466713-0.00031990i, +0.00641398+0.01299971i, -0.01132580+0.00062549i, -0.00723125-0.00794561i, +0.00420987+0.01341239i, +0.00323856+0.01081428i, +0.00989280-0.00245518i, +0.00567474-0.00179955i, -0.00566178-0.00124816i, +0.00673521+0.00314712i, +0.00180612+0.00483823i, +0.00501672+0.00590979i, +0.01736568-0.00498809i, +0.00381979+0.00246615i, -0.00551234-0.00659566i, -0.00387565+0.00129778i, +0.00400808+0.00635659i, +0.00895126-0.01110924i
+0.04886681-0.03429047i, -0.04876228+0.01926428i, +0.00999650+0.00048419i, +0.02838353-0.00000000i, -0.00938383+0.01861258i, +0.01144469+0.03396358i, +0.00002344-0.00017265i, +0.03643287-0.00568675i, -0.02910050-0.00390219i, -0.01690935+0.02095090i, -0.01052852+0.00555341i, +0.01809475+0.01560237i, +0.02974823+0.00819011i, -0.00478778-0.01493275i, -0.01317670-0.00154651i, +0.01638527+0.03770431i, -0.03216842+0.00021788i, -0.01939380-0.02349967i, +0.01008509+0.03857088i, +0.00769012+0.03107796i, +0.02836019-0.00559746i, +0.01632173-0.00431900i, -0.01586686-0.00431249i, +0.01864705+0.00983893i, +0.00445237+0.01395307i, +0.01340001+0.01742897i, +0.04987615-0.01174713i, +0.01048196+0.00750996i, -0.01470986-0.01943985i, -0.01115660+0.00314448i, +0.01048153+0.01855622i, +0.02688046-0.03024101i
-0.03864185-0.02070784i, +0.02875382+0.02560708i, -0.00298742-0.00671531i, -0.00938383-0.01861258i, +0.01530763+0.00000000i, +0.01848801-0.01873353i, -0.00012097+0.00004171i, -0.01577411-0.02201087i, +0.00706199+0.02037284i, +0.01932898+0.00416182i, +0.00712248+0.00506811i, +0.00424903-0.01702396i, -0.00446432-0.02221521i, -0.00820931+0.00807649i, +0.00334220+0.00915195i, +0.01930761-0.02321005i, +0.01077802+0.02102250i, -0.00899823+0.02048672i, +0.02195876-0.01936518i, +0.01783704-0.01531745i, -0.01304666-0.01674672i, -0.00822829-0.00927513i, +0.00241779+0.01183049i, +0.00028704-0.01548069i, +0.00767778-0.00753265i, +0.00699895-0.01454926i, -0.02419268-0.02882273i, +0.00145926-0.00935643i, -0.00788454+0.01607301i, +0.00575047+0.00627638i, +0.00870302-0.01300814i, -0.02871753-0.00762901i
-0.02132792-0.07230022i, +0.00338981+0.06611634i, +0.00461012-0.01176653i, +0.01144469-0.03396358i, +0.01848801+0.01873353i, +0.04525531+0.00000000i, -0.00019714-0.00009766i, +0.00788557-0.04588836i, -0.01640312+0.03324808i, +0.01825162+0.02868137i, +0.00239991+0.01483759i, +0.02596580-0.01536095i, +0.02179520-0.03229419i, -0.01979896-0.00029209i, -0.00716360+0.01514359i, +0.05172358-0.00440355i, -0.01271010+0.03858041i, -0.03593946+0.01373107i, +0.05022018+0.00348462i, +0.04028849+0.00332917i, +0.00473739-0.03619264i, +0.00141309-0.02127199i, -0.01155807+0.01724734i, +0.01929200-0.01834574i, +0.01849144+0.00029842i, +0.02625851-0.00900674i, +0.00605430-0.06441816i, +0.01321287-0.00951452i, -0.02919287+0.00976329i, -0.00073585+0.01461783i, +0.02643060-0.00505998i, -0.02534760-0.04435866i
+0.00024894+0.00026893i, -0.00015745-0.00028070i, +0.00000531+0.00006121i, +0.00002344+0.00017265i, -0.00012097-0.00004171i, -0.00019714+0.00009766i, +0.00000107+0.00000000i, +0.00006468+0.00021692i, -0.00000029-0.00018024i, -0.00014140-0.00008556i, -0.00004247-0.00005946i, -0.00007996+0.00012295i, -0.00002525+0.00018772i, +0.00008688-0.00004145i, -0.00000147-0.00008143i, -0.00021582+0.00013080i, -0.00002789-0.00019550i, +0.00012693-0.00013737i, -0.00022629+0.00009320i, -0.00018269+0.00007244i, +0.00005747+0.00016789i, +0.00003975+0.00009572i, +0.00001313-0.00010008i, -0.00004445+0.00012155i, -0.00008120+0.00003861i, -0.00009495+0.00009590i, +0.00011264+0.00029369i, -0.00003703+0.00006996i, +0.00010610-0.00010553i, -0.00002834-0.00006527i, -0.00010422+0.00007908i, +0.00020615+0.00013854i
+0.06959528-0.03422431i, -0.06645054+0.01495775i, +0.01273442+0.00262434i, +0.03643287+0.00568675i, -0.01577411+0.02201087i, +0.00788557+0.04588836i, +0.00006468-0.00021692i, +0.04790430-0.00000000i, -0.03657135-0.01083922i, -0.02590230+0.02350455i, -0.01462697+0.00501888i, +0.02010027+0.02365243i, +0.03654367+0.01647294i, -0.00315372-0.02012681i, -0.01660366-0.00462510i, +0.01347779+0.05167981i, -0.04133478-0.00616540i, -0.02018547-0.03404961i, +0.00521731+0.05152986i, +0.00364438+0.04143216i, +0.03752439-0.00150277i, +0.02181577-0.00227371i, -0.01950255-0.00871447i, +0.02196393+0.01636519i, +0.00291947+0.01880210i, +0.01370818+0.02505643i, +0.06637421-0.00508564i, +0.01194991+0.01173983i, -0.01498661-0.02790001i, -0.01495053+0.00180096i, +0.00973620+0.02591864i, +0.04056244-0.03343151i
-0.04538691+0.04187490i, +0.04734555-0.02645477i, -0.01031558+0.00087791i, -0.02910050+0.00390219i, +0.00706199-0.02037284i, -0.01640312-0.03324808i, -0.00000029+0.00018024i, -0.03657135+0.01083922i, +0.03037206+0.00000000i, +0.01445613-0.02380483i, +0.01003099-0.00714116i, -0.02069685-0.01350881i, -0.03162566-0.00430718i, +0.00696169+0.01465172i, +0.01372216-0.00022597i, -0.02198278-0.03640407i, +0.03295105-0.00464593i, +0.02311444+0.02142700i, -0.01564260-0.03815868i, -0.01215700-0.03080575i, -0.02830703+0.00963783i, -0.01614024+0.00667202i, +0.01686055+0.00224003i, -0.02047074-0.00752386i, -0.00648312-0.01369341i, -0.01613465-0.01602699i, -0.04952102+0.01890088i, -0.01177921-0.00625859i, +0.01775404+0.01790858i, +0.01100611-0.00475773i, -0.01329742-0.01758395i, -0.02340190+0.03470045i
-0.05442319-0.01564196i, +0.04326954+0.02451658i, -0.00559797-0.00766723i, -0.01690935-0.02095090i, +0.01932898-0.00416182i, +0.01825162-0.02868137i, -0.00014140+0.00008556i, -0.02590230-0.02350455i, +0.01445613+0.02380483i, +0.02553827-0.00000000i, +0.01037149+0.00446306i, +0.00073681-0.02265142i, -0.01167695-0.02683745i, -0.00817010+0.01243015i, +0.00670842+0.01064752i, +0.01806946-0.03455672i, +0.01932501+0.02361486i, -0.00579219+0.02831507i, +0.02246241-0.03042258i, +0.01835840-0.02419090i, -0.02102713-0.01759902i, -0.01291160-0.00947463i, +0.00626940+0.01428105i, -0.00384642-0.01962555i, +0.00764679-0.01159893i, +0.00488196-0.02027425i, -0.03838446-0.02981708i, -0.00070121-0.01221113i, -0.00558592+0.02243907i, +0.00896755+0.00636178i, +0.00745269-0.01879158i, -0.03833587-0.00182549i
-0.02483568+0.00315855i, +0.02185694+0.00239478i, -0.00361335-0.00213548i, -0.01052852-0.00555341i, +0.00712248-0.00506811i, +0.00239991-0.01483759i, -0.00004247+0.00005946i, -0.01462697-0.00501888i, +0.01003099+0.00714116i, +0.01037149-0.00446306i, +0.00499198+0.00000000i, -0.00365933-0.00932785i, -0.00943230-0.00885844i, -0.00114571+0.00647588i, +0.00458515+0.00315176i, +0.00129916-0.01719183i, +0.01197511+0.00621312i, +0.00259604+0.01251143i, +0.00380568-0.01628061i, +0.00322803-0.01303261i, -0.01161504-0.00347253i, -0.00689939-0.00159137i, +0.00504185+0.00470411i, -0.00499185-0.00729804i, +0.00107845-0.00604685i, -0.00156049-0.00908686i, -0.02079935-0.00540111i, -0.00241879-0.00483659i, +0.00165292+0.01008905i, +0.00475364+0.00101645i, -0.00025736-0.00893398i, -0.01588781+0.00595821i
