+0.00575510-0.00000000i, -0.00029675-0.01587044i, +0.01671425+0.00107710i, -0.01541811-0.00418443i, +0.00114295+0.00665972i, -0.00740383+0.00139499i, -0.00661913+0.00189113i, -0.00075475+0.00059675i, +0.01836328-0.01030786i, -0.00527371+0.01541187i, -0.00383389-0.01637477i, +0.00374144+0.00681562i, +0.01104115+0.02119356i, -0.00437379+0.00677385i, -0.00580951-0.00019186i, -0.01148720+0.00337951i, -0.01043384-0.00076335i, +0.02415657-0.01915968i, -0.00625519+0.00106422i, -0.00624703+0.00333214i, -0.00017984+0.00077028i, +0.00694506+0.01360202i, +0.00067534+0.00554555i, +0.00251500-0.00601733i, +0.00905721+0.00010528i, -0.01440241-0.01609482i, -0.00491637+0.01449122i, +0.00302668-0.00346398i, -0.01022188-0.00726286i, +0.00680342-0.01537563i, +0.01216117-0.00594537i, -0.00063537+0.00571728i
-0.00029675+0.01587044i, +0.04378009-0.00000000i, -0.00383207+0.04603618i, +0.01233409-0.04230167i, -0.01842397+0.00280845i, -0.00346509-0.02048894i, -0.00487374-0.01835061i, -0.00160669-0.00211209i, +0.02747841+0.05117063i, -0.04222831-0.01533763i, +0.04535323-0.00972814i, -0.01898788+0.00996609i, -0.05901330+0.02935460i, -0.01845425-0.01241058i, +0.00082862-0.01601059i, -0.00872713-0.03185171i, +0.00264303-0.02873330i, +0.05158972+0.06760280i, -0.00261219-0.01730436i, -0.00886670-0.01739881i, -0.00211488-0.00053565i, -0.03786745+0.01845056i, -0.01532741+0.00157641i, +0.01646389+0.00724570i, -0.00075735+0.02497100i, +0.04512618-0.03888663i, -0.03970793-0.01430474i, +0.00939631+0.00852509i, +0.02055536-0.02781368i, +0.04204950+0.01955412i, +0.01576807+0.03384256i, -0.01573337-0.00204691i
+0.01671425-0.00107710i, -0.00383207-0.04603618i, +0.04874396+0.00000000i, -0.04556119-0.00926704i, +0.00456583+0.01912758i, -0.02124149+0.00543706i, -0.01886967+0.00673113i, -0.00208030+0.00187436i, +0.05140239-0.03337341i, -0.01243177+0.04574694i, -0.01419922-0.04683889i, +0.01214167+0.01909404i, +0.03603275+0.05948500i, -0.01143483+0.02049154i, -0.01690819+0.00053008i, -0.03272922+0.01196484i, -0.03044534-0.00026420i, +0.06657089-0.06016554i, -0.01796745+0.00426145i, -0.01751931+0.01084654i, -0.00037814+0.00227075i, +0.02271590+0.03820388i, +0.00299925+0.01597928i, +0.00617801-0.01794654i, +0.02632410-0.00138933i, -0.04484045-0.04404789i, -0.01156627+0.04300627i, +0.00814195-0.01062673i, -0.03104619-0.01918009i, +0.01688120-0.04592799i, +0.03420637-0.01954288i, -0.00077525+0.01672331i
-0.01541811+0.00418443i, +0.01233409+0.04230167i, -0.04556119+0.00926704i, +0.04434805+0.00000000i, -0.00790417-0.01701059i, +0.01882084-0.00912040i, +0.01635786-0.00987905i, +0.00158811-0.00214747i, -0.04170119+0.04096671i, +0.00292278-0.04512334i, +0.02217692+0.04108100i, -0.01497897-0.01553895i, -0.04498905-0.04875045i, +0.00679240-0.02132748i, +0.01570338-0.00371000i, +0.02831743-0.01740596i, +0.02850762-0.00554121i, -0.05078563+0.06889321i, +0.01598408-0.00739910i, +0.01431326-0.01346902i, -0.00007826-0.00219437i, -0.02849584-0.03139066i, -0.00584134-0.01436570i, -0.00236268+0.01794925i, -0.02434112+0.00630327i, +0.05028679+0.03264684i, +0.00263484-0.04239708i, -0.00559000+0.01148077i, +0.03266546+0.01202532i, -0.00704725+0.04613848i, -0.02825741+0.02477001i, -0.00245475-0.01577874i
+0.00114295-0.00665972i, -0.01842397-0.00280845i, +0.00456583-0.01912758i, -0.00790417+0.01701059i, +0.00793352-0.00000000i, +0.00014387+0.00884464i, +0.00087384+0.00803513i, +0.00054066+0.00099190i, -0.00828119-0.02329684i, +0.01678704+0.00916344i, -0.01971004+0.00118452i, +0.00862998-0.00297597i, +0.02671763-0.00856764i, +0.00696997+0.00640657i, -0.00137578+0.00668458i, +0.00162938+0.01396399i, -0.00295548+0.01192228i, -0.01737384-0.03175871i, -0.00001077+0.00744976i, +0.00261525+0.00789073i, +0.00085564+0.00036109i, +0.01711934-0.00533538i, +0.00655136+0.00031984i, -0.00646369-0.00410535i, +0.00192058-0.01045996i, -0.02148499+0.01346985i, +0.01579264+0.00856709i, -0.00340737-0.00419038i, -0.01043453+0.01038622i, -0.01644131-0.01092639i, -0.00446471-0.01525347i, +0.00648976+0.00187068i
-0.00740383-0.00139499i, -0.00346509+0.02048894i, -0.02124149-0.00543706i, +0.01882084+0.00912040i, +0.00014387-0.00884464i, +0.00986302-0.00000000i, +0.00897378-0.00082849i, +0.00111562-0.00058476i, -0.02612255+0.00880977i, +0.01052024-0.01854878i, +0.00096313+0.02199513i, -0.00316125-0.00967506i, -0.00906709-0.02994139i, +0.00726872-0.00765426i, +0.00742732+0.00165500i, +0.01559723-0.00156328i, +0.01323790+0.00351110i, -0.03572111+0.01879322i, +0.00830513+0.00014711i, +0.00884437-0.00277251i, +0.00041807-0.00094736i, -0.00563768-0.01918217i, +0.00047538-0.00729795i, -0.00469405+0.00713157i, -0.01162641-0.00233083i, +0.01462719+0.02419670i, +0.00983737-0.01745100i, -0.00473341+0.00372270i, +0.01138980+0.01182123i, -0.01247939+0.01813137i, -0.01708622+0.00470085i, +0.00220321-0.00720116i
-0.00661913-0.00189113i, -0.00487374+0.01835061i, -0.01886967-0.00673113i, +0.01635786+0.00987905i, +0.00087384-0.00803513i, +0.00897378+0.00082849i, +0.00823430-0.00000000i, +0.00106415-0.00043833i, -0.02450738+0.00582122i, +0.01112983-0.01599274i, -0.00097128+0.02009297i, -0.00206354-0.00906831i, -0.00573456-0.02800353i, +0.00725633-0.00635359i, +0.00661867+0.00212967i, +0.01432232-0.00011218i, +0.01174946+0.00430652i, -0.03407914+0.01409829i, +0.00754399+0.00083147i, +0.00827986-0.00177962i, +0.00045996-0.00082683i, -0.00351810-0.01792628i, +0.00104554-0.00660004i, -0.00486988+0.00609430i, -0.01038239-0.00309730i, +0.01127591+0.02324382i, +0.01041631-0.01505130i, -0.00461936+0.00298946i, +0.00936993+0.01171218i, -0.01287728+0.01544840i, -0.01594061+0.00284179i, +0.00260946-0.00636684i
-0.00075475-0.00059675i, -0.00160669+0.00211209i, -0.00208030-0.00187436i, +0.00158811+0.00214747i, +0.00054066-0.00099190i, +0.00111562+0.00058476i, +0.00106415+0.00043833i, +0.00016086+0.00000000i, -0.00347707-0.00055227i, +0.00228968-0.00147435i, -0.00119511+0.00254500i, +0.00021604-0.00128178i, +0.00074958-0.00392428i, +0.00127598-0.00043483i, +0.00074199+0.00062755i, +0.00185691+0.00074791i, +0.00128919+0.00118200i, -0.00515467+0.00000788i, +0.00093068+0.00050904i, +0.00116477+0.00021076i, +0.00010346-0.00008237i, +0.00049959-0.00250397i, +0.00048645-0.00079730i, -0.00095377+0.00052836i, -0.00117689-0.00095295i, +0.00021992+0.00360414i, +0.00214735-0.00139066i, -0.00075611+0.00014044i, +0.00058745+0.00201239i, -0.00248653+0.00131098i, -0.00221135-0.00048129i, +0.00067615-0.00068391i
+0.01836328+0.01030786i, +0.02747841-0.05117063i, +0.05140239+0.03337341i, -0.04170119-0.04096671i, -0.00828119+0.02329684i, -0.02612255-0.00880977i, -0.02450738-0.00582122i, -0.00347707+0.00055227i, +0.07705550+0.00000000i, -0.04443123+0.03973028i, +0.01709544-0.05911516i, -0.00026920+0.02844841i, -0.00272952+0.08739968i, -0.02608836+0.01378006i, -0.01819327-0.01101750i, -0.04270617-0.00979125i, -0.03192490-0.02112355i, +0.11139497-0.01786796i, -0.02186505-0.00780787i, -0.02590106-0.00055681i, -0.00195347+0.00213570i, -0.00220216+0.05584030i, -0.00777767+0.01890426i, +0.01880236-0.01469543i, +0.02871102+0.01655815i, -0.01712782-0.07715101i, -0.04164207+0.03743272i, +0.01586177-0.00563177i, -0.01960742-0.04148247i, +0.04924728-0.03687483i, +0.04945232+0.00281127i, -0.01226744+0.01710459i
-0.00527371-0.01541187i, -0.04222831+0.01533763i, -0.01243177-0.04574694i, +0.00292278+0.04512334i, +0.01678704-0.00916344i, +0.01052024+0.01854878i, +0.01112983+0.01599274i, +0.00228968+0.00147435i, -0.04443123-0.03973028i, +0.04610481+0.00000000i, -0.04033759+0.02527207i, +0.01482340-0.01626493i, +0.04663768-0.04898846i, +0.02214798+0.00550555i, +0.00480979+0.01573340i, +0.01957652+0.02766532i, +0.00751689+0.02864079i, -0.07344465-0.04713302i, +0.00858189+0.01577587i, +0.01464780+0.01367581i, +0.00222758-0.00022425i, +0.03006139-0.03106281i, +0.01423186-0.00689023i, -0.01841875-0.00122103i, -0.00801767-0.02435123i, -0.02990340+0.05331751i, +0.04331191-0.00011330i, -0.01204988-0.00493108i, -0.01008271+0.03402905i, -0.04740952-0.00412968i, -0.02706536-0.02711893i, +0.01589280-0.00353757i
-0.00383389+0.01637477i, +0.04535323+0.00972814i, -0.01419922+0.04683889i, +0.02217692-0.04108100i, -0.01971004-0.00118452i, +0.00096313-0.02199513i, -0.00097128-0.02009297i, -0.00119511-0.00254500i, +0.01709544+0.05911516i, -0.04033759-0.02527207i, +0.04914453-0.00000000i, -0.02188468+0.00610500i, -0.06765654+0.01729636i, -0.01635967-0.01695714i, +0.00441603-0.01640178i, -0.00196313-0.03493544i, +0.00912267-0.02917847i, +0.03842183+0.08149543i, +0.00113906-0.01850659i, -0.00531921-0.01999421i, -0.00207185-0.00102484i, -0.04332793+0.01069922i, -0.01622845-0.00177277i, +0.01544546+0.01116442i, -0.00633323+0.02569999i, +0.05538847-0.03025669i, -0.03795616-0.02364204i, +0.00783963+0.01091932i, +0.02747429-0.02424560i, +0.03921544+0.02960034i, +0.00881469+0.03856235i, -0.01584388-0.00561649i
