+0.00607907+0.00000000i, -0.01044872-0.00223314i, -0.00342468-0.00691233i, -0.01626298+0.00311077i, +0.00152477+0.01251537i, -0.00144434-0.00559611i, -0.00814989-0.00425634i, -0.00050170+0.00786534i, -0.02243866+0.00539950i, +0.00052565-0.01620493i, -0.01269491+0.00381489i, -0.01136362-0.00881643i, +0.00398832-0.01317915i, +0.01459664-0.00658703i, -0.00908499+0.01753686i, -0.00442354+0.02528926i, +0.00599448+0.00574357i, +0.00491219+0.00303027i, +0.01690684+0.00431041i, +0.01295307-0.00996593i, -0.00468603-0.01451890i, +0.01225410+0.00417304i, +0.00316984+0.00320238i, -0.01541488+0.00639902i, -0.00386531+0.01056867i, -0.01025777-0.00223387i, -0.00553601+0.00890688i, -0.00842723+0.01352870i, -0.01133314-0.00679252i, +0.00553656-0.01012483i, +0.01081453+0.00604251i, +0.00762930+0.00941671i
-0.01044872+0.00223314i, +0.01877963+0.00000000i, +0.00842559+0.01062287i, +0.02681012-0.01132100i, -0.00721830-0.02095132i, +0.00453826+0.00908802i, +0.01557161+0.00432194i, -0.00202701-0.01370327i, +0.03658413-0.01752351i, +0.00504939+0.02804617i, +0.02041865-0.01122052i, +0.02277054+0.01097928i, -0.00201377+0.02411747i, -0.02266901+0.01668387i, +0.00917315-0.03347977i, -0.00168681-0.04509223i, -0.01241322-0.00767000i, -0.00955625-0.00340395i, -0.03064295-0.00119802i, -0.01860280+0.02188778i, +0.01338788+0.02323371i, -0.02259534-0.00267110i, -0.00662473-0.00433981i, +0.02414447-0.01666131i, +0.00276131-0.01958539i, +0.01845170+0.00007140i, +0.00624337-0.01734282i, +0.00951498-0.02634891i, +0.02197466+0.00751178i, -0.00579691+0.01943644i, -0.02080776-0.00641317i, -0.01657248-0.01338285i
-0.00342468+0.00691233i, +0.00842559-0.01062287i, +0.00978912-0.00000000i, +0.00562468-0.02024463i, -0.01508984-0.00531683i, +0.00717684+0.00151028i, +0.00943104-0.00686916i, -0.00866081-0.00500145i, +0.00650134-0.02855617i, +0.01813002+0.00972684i, +0.00281396-0.01658415i, +0.01642666-0.00795445i, +0.01273878+0.01195955i, -0.00073320+0.02030825i, -0.01482256-0.02020976i, -0.02626364-0.01927673i, -0.00990787+0.00358046i, -0.00621294+0.00387838i, -0.01442581+0.01679597i, +0.00403477+0.02034292i, +0.01914891+0.00285096i, -0.01164846+0.01158286i, -0.00542708+0.00180026i, +0.00140793-0.02113273i, -0.00983978-0.01034906i, +0.00831885-0.01040534i, -0.00700900-0.01131258i, -0.01063556-0.01720383i, +0.01410816-0.00905997i, +0.00839359+0.01199935i, -0.01296319+0.00889280i, -0.01500547+0.00337009i
-0.01626298-0.00311077i, +0.02681012+0.01132100i, +0.00562468+0.02024463i, +0.04509928-0.00000000i, +0.00232520-0.03426190i, +0.00100033+0.01571004i, +0.01962488+0.01555718i, +0.00536700-0.02078497i, +0.06279190-0.00296270i, -0.00969859+0.04308314i, +0.03591413-0.00370954i, +0.02588893+0.02940106i, -0.01741374+0.03321655i, -0.04242027+0.01015253i, +0.03327849-0.04226641i, +0.02477501-0.06539132i, -0.01309759-0.01843294i, -0.01159065-0.01062037i, -0.04302420-0.02018293i, -0.03975237+0.02003297i, +0.00510669+0.04123952i, -0.03064727-0.01743455i, -0.00684139-0.01018921i, +0.04451306-0.00923086i, +0.01574884-0.02629582i, +0.02629893+0.01122525i, +0.01936799-0.02099519i, +0.02946777-0.03188020i, +0.02684305+0.02397102i, -0.01999272+0.02425322i, -0.02583945-0.02169918i, -0.01559152-0.02909605i
+0.00152477-0.01251537i, -0.00721830+0.02095132i, -0.01508984+0.00531683i, +0.00232520+0.03426190i, +0.02614864-0.00000000i, -0.01188334+0.00156992i, -0.01080697+0.01571110i, +0.01606704+0.00300569i, +0.00548815+0.04755023i, -0.03323028-0.00514676i, +0.00466978+0.02709270i, -0.02100121+0.02118366i, -0.02613241-0.01151665i, -0.00989995-0.03170323i, +0.03382553+0.02310250i, +0.05095510+0.01545016i, +0.01332822-0.01090059i, +0.00747070-0.00935297i, +0.01311474-0.03372605i, -0.01726857-0.02916701i, -0.03106636+0.00600575i, +0.01166493-0.02418160i, +0.00738801-0.00572273i, +0.00930766+0.03334064i, +0.02078889+0.01060864i, -0.00717191+0.02055803i, +0.01694860+0.01363139i, +0.02573866+0.02074299i, -0.01682681+0.02162854i, -0.01945594-0.01393803i, +0.01515264-0.02074897i, +0.02130040-0.01334499i
-0.00144434+0.00559611i, +0.00453826-0.00908802i, +0.00717684-0.00151028i, +0.00100033-0.01571004i, -0.01188334-0.00156992i, +0.00549468-0.00000000i, +0.00585453-0.00649113i, -0.00712127-0.00233058i, +0.00036073-0.02193886i, +0.01479261+0.00433405i, -0.00049560-0.01259273i, +0.01081590-0.00836611i, +0.01118452+0.00680273i, +0.00259566+0.01500202i, -0.01398509-0.01252984i, -0.02222911-0.01008063i, -0.00671151+0.00415361i, -0.00395662+0.00380196i, -0.00798489+0.01453953i, +0.00609662+0.01429182i, +0.01447879-0.00086416i, -0.00675299+0.01028907i, -0.00370109+0.00215715i, -0.00222818-0.01571058i, -0.00881066-0.00606926i, +0.00449357-0.00891208i, -0.00688394-0.00721240i, -0.01045165-0.01097203i, +0.00894554-0.00881891i, +0.00800500+0.00750228i, -0.00813190+0.00851970i, -0.01048125+0.00478584i
-0.00814989+0.00425634i, +0.01557161-0.00432194i, +0.00943104+0.00686916i, +0.01962488-0.01555718i, -0.01080697-0.01571110i, +0.00585453+0.00649113i, +0.01390625-0.00000000i, -0.00483442-0.01089592i, +0.02630180-0.02294954i, +0.01064138+0.02209313i, +0.01434836-0.01400293i, +0.02140755+0.00386334i, +0.00388062+0.02046107i, -0.01495696+0.01905090i, -0.00009889-0.02987171i, -0.01177619-0.03700117i, -0.01205791-0.00350300i, -0.00870719-0.00062320i, -0.02568410+0.00605880i, -0.01038773+0.02243006i, +0.01644791+0.01618374i, -0.01935023+0.00298528i, -0.00649183-0.00207385i, +0.01618557-0.01937176i, -0.00221777-0.01687521i, +0.01531613-0.00418727i, +0.00118557-0.01581709i, +0.00182565-0.02403765i, +0.01994961+0.00117133i, -0.00033355+0.01745032i, -0.01872922-0.00052894i, -0.01682143-0.00728274i
-0.00050170-0.00786534i, -0.00202701+0.01370327i, -0.00866081+0.00500145i, +0.00536700+0.02078497i, +0.01606704-0.00300569i, -0.00712127+0.00233058i, -0.00483442+0.01089592i, +0.01021790-0.00000000i, +0.00883792+0.02858642i, -0.02100996+0.00065727i, +0.00598355+0.01611035i, -0.01046922+0.01543032i, -0.01738087-0.00407259i, -0.00972720-0.01834210i, +0.02343966+0.01030723i, +0.03308532+0.00363626i, +0.00693655-0.00822990i, +0.00351529-0.00660567i, +0.00418168-0.02223048i, -0.01396332-0.01593673i, -0.01839840+0.00726120i, +0.00438794-0.01619924i, +0.00388176-0.00436556i, +0.00955148+0.01941629i, +0.01399317+0.00412888i, -0.00204372+0.01345628i, +0.01198095+0.00642764i, +0.01819946+0.00978698i, -0.00785313+0.01522384i, -0.01355683-0.00632784i, +0.00692553-0.01449096i, +0.01155408-0.01064824i
-0.02243866-0.00539950i, +0.03658413+0.01752351i, +0.00650134+0.02855617i, +0.06279190+0.00296270i, +0.00548815-0.04755023i, +0.00036073+0.02193886i, +0.02630180+0.02294954i, +0.00883792-0.02858642i, +0.08762003-0.00000000i, -0.01633364+0.05934769i, +0.05024707-0.00280551i, +0.03411382+0.04263594i, -0.02642730+0.04510357i, -0.05972886+0.01134869i, +0.04911037-0.05666153i, +0.03879009-0.08941704i, -0.01702491-0.02652467i, -0.01544002-0.01554820i, -0.05857688-0.03092715i, -0.05666340+0.02528053i, +0.00440092+0.05775341i, -0.04152499-0.02628750i, -0.00885593-0.01463590i, +0.06258211-0.00992797i, +0.02365462-0.03557718i, +0.03587868+0.01735661i, +0.02834536-0.02795935i, +0.04312240-0.04245111i, +0.03579895+0.03513834i, -0.02942920+0.03245447i, -0.03455088-0.03190932i, -0.01979673-0.04153479i
+0.00052565+0.01620493i, +0.00504939-0.02804617i, +0.01813002-0.00972684i, -0.00969859-0.04308314i, -0.03323028+0.00514676i, +0.01479261-0.00433405i, +0.01064138-0.02209313i, -0.02100996-0.00065727i, -0.01633364-0.05934769i, +0.04324281-0.00000000i, -0.01126703-0.03351087i, +0.02251930-0.03105427i, +0.03547644+0.00949205i, +0.01882113+0.03834060i, -0.04753344-0.02270141i, -0.06779589-0.00960507i, -0.01479227+0.01647607i, -0.00765302+0.01335640i, -0.01002832+0.04544116i, +0.02768614+0.03366718i, +0.03829773-0.01374694i, -0.01006446+0.03302650i, -0.00826246+0.00872674i, -0.01839072-0.04053803i, -0.02850706-0.00938989i, +0.00506785-0.02753723i, -0.02422169-0.01398714i, -0.03679205-0.02129460i, +0.01712681-0.03079800i, +0.02746842+0.01388330i, -0.01517236+0.02935071i, -0.02444237+0.02115161i
-0.01269491-0.00381489i, +0.02041865+0.01122052i, +0.00281396+0.01658415i, +0.03591413+0.00370954i, +0.00466978-0.02709270i, -0.00049560+0.01259273i, +0.01434836+0.01400293i, +0.00598355-0.01611035i, +0.05024707+0.00280551i, -0.01126703+0.03351087i, +0.02890480-0.00000000i, +0.01819794+0.02554253i, -0.01659932+0.02501917i, -0.03461582+0.00459562i, +0.02997735-0.03092097i, +0.02510783-0.05003558i, -0.00891391-0.01575611i, -0.00835648-0.00941073i, -0.03260157-0.01961123i, -0.03330397+0.01268321i, +0.00067457+0.03326051i, -0.02297145-0.01640457i, -0.00460995-0.00867674i, +0.03620657-0.00368953i, +0.01470426-0.01964489i, +0.02001945+0.01110222i, +0.01715032-0.01512613i, +0.02608845-0.02296351i, +0.01940437+0.02129687i, -0.01791579+0.01766923i, -0.01879204-0.01940518i, -0.01002284-0.02445265i
-0.01136362+0.00881643i, +0.02277054-0.01097928i, +0.01642666+0.00795445i, +0.02588893-0.02940106i, -0.02100121-0.02118366i, +0.01081590+0.00836611i, +0.02140755-0.00386334i, -0.01046922-0.01543032i, +0.03411382-0.04263594i, +0.02251930+0.03105427i, +0.01819794-0.02554253i, +0.03402847-0.00000000i, +0.01165825+0.03042007i, -0.01773245+0.03348256i, -0.00845098-0.04595761i, -0.02840790-0.05368873i, -0.01953536-0.00204274i, -0.01357715+0.00145961i, -0.03785538+0.01646241i, -0.00975971+0.03741510i, +0.02981627+0.02034412i, -0.02895877+0.00997135i, -0.01056979-0.00138901i, +0.01953465-0.03431781i, -0.00810222-0.02536190i, +0.02241467-0.01070099i, -0.00256910-0.02467850i, -0.00386753-0.03751121i, +0.03103622-0.00373909i, +0.00433445+0.02695602i, -0.02897906+0.00438895i, -0.02791847-0.00653798i
+0.00398832+0.01317915i, -0.00201377-0.02411747i, +0.01273878-0.01195955i, -0.01741374-0.03321655i, -0.02613241+0.01151665i, +0.01118452-0.00680273i, +0.00388062-0.02046107i, -0.01738087+0.00407259i, -0.02642730-0.04510357i, +0.03547644-0.00949205i, -0.01659932-0.02501917i, +0.01165825-0.03042007i, +0.03118846-0.00000000i, +0.02385686+0.02732331i, -0.04397957-0.00819038i, -0.05772818+0.00700159i, -0.00851900+0.01676397i, -0.00334674+0.01263749i, +0.00174736+0.03948124i, +0.03010388+0.02154331i, +0.02840196-0.01968458i, -0.00100738+0.02930418i, -0.00486296+0.00897308i, -0.02398610-0.02922057i, -0.02544835-0.00144600i, -0.00188692-0.02370399i, -0.02294176-0.00615826i, -0.03485853-0.00939404i, +0.00729051-0.02902615i, +0.02558258+0.00536039i, -0.00600476+0.02740977i, -0.01540964+0.02271804i
+0.01459664+0.00658703i, -0.02266901-0.01668387i, -0.00073320-0.02030825i, -0.04242027-0.01015253i, -0.00989995+0.03170323i, +0.00259566-0.01500202i, -0.01495696-0.01905090i, -0.00972720+0.01834210i, -0.05972886-0.01134869i, +0.01882113-0.03834060i, -0.03461582-0.00459562i, -0.01773245-0.03348256i, +0.02385686-0.02732331i, +0.04218589-0.00000000i, -0.04081647+0.03226420i, -0.03802389+0.05592969i, +0.00817003+0.02028644i, +0.00851133+0.01259872i, +0.03592498+0.02866941i, +0.04190071-0.00989410i, +0.00448030-0.03993938i, +0.02490197+0.02329806i, +0.00414125+0.01112404i, -0.04394688-0.00133803i, -0.02073290+0.02118848i, -0.02220974-0.01647872i, -0.02294382+0.01538800i, -0.03489403+0.02335281i, -0.01985227-0.02858985i, +0.02426487-0.01831186i, +0.01941971+0.02622704i, +0.00811539+0.03087756i
-0.00908499-0.01753686i, +0.00917315+0.03347977i, -0.01482256+0.02020976i, +0.03327849+0.04226641i, +0.03382553-0.02310250i, -0.01398509+0.01252984i, -0.00009889+0.02987171i, +0.02343966-0.01030723i, +0.04911037+0.05666153i, -0.04753344+0.02270141i, +0.02997735+0.03092097i, -0.00845098+0.04595761i, -0.04397957+0.00819038i, -0.04081647-0.03226420i, +0.06416748-0.00000000i, +0.07956516-0.02503307i, +0.00761046-0.02587643i, +0.00140059-0.01869930i, -0.01283214-0.05521453i, -0.04810765-0.02247316i, -0.03488090+0.03521631i, -0.00627502-0.04158704i, +0.00450096-0.01393021i, +0.04149695+0.03490562i, +0.03626505-0.00464394i, +0.00888568+0.03293003i, +0.03396792+0.00265918i, +0.05162177+0.00409257i, -0.00265798+0.04284499i, -0.03748228-0.00084059i, +0.00126939-0.04022806i, +0.01576352-0.03608195i
-0.00442354-0.02528926i, -0.00168681+0.04509223i, -0.02626364+0.01927673i, +0.02477501+0.06539132i, +0.05095510-0.01545016i, -0.02222911+0.01008063i, -0.01177619+0.03700117i, +0.03308532-0.00363626i, +0.03879009+0.08941704i, -0.06779589+0.00960507i, +0.02510783+0.05003558i, -0.02840790+0.05368873i, -0.05772818-0.00700159i, -0.03802389-0.05592969i, +0.07956516+0.02503307i, +0.10842359-0.00000000i, +0.01953160-0.02911676i, +0.00903166-0.02263999i, +0.00562899-0.07346994i, -0.05088435-0.04663363i, -0.05698956+0.03005907i, +0.00844319-0.05401432i, +0.01101548-0.01551699i, +0.03783719+0.05947042i, +0.04677893+0.00838945i, -0.00182880+0.04429843i, +0.04108148+0.01654887i, +0.06241237+0.02521336i, -0.02001051+0.05208918i, -0.04614863-0.01566491i, +0.01726780-0.04938600i, +0.03362246-0.03859053i
+0.00599448-0.00574357i, -0.01241322+0.00767000i, -0.00990787-0.00358046i, -0.01309759+0.01843294i, +0.01332822+0.01090059i, -0.00671151-0.00415361i, -0.01205791+0.00350300i, +0.00693655+0.00822990i, -0.01702491+0.02652467i, -0.01479227-0.01647607i, -0.00891391+0.01575611i, -0.01953536+0.00204274i, -0.00851900-0.01676397i, +0.00817003-0.02028644i, +0.00761046+0.02587643i, +0.01953160+0.02911676i, +0.01133765-0.00000000i, +0.00770687-0.00165299i, +0.02074410-0.01172335i, +0.00335690-0.02206546i, -0.01833845-0.00988945i, +0.01602632-0.00746284i, +0.00615138+0.00016291i, -0.00915451+0.02087414i, +0.00617388+0.01407360i, -0.01222562+0.00748887i, +0.00295635+0.01401342i, +0.00447211+0.02130259i, -0.01759308+0.00400968i, -0.00410653-0.01521495i, +0.01637308-0.00425927i, +0.01642015+0.00207743i
+0.00491219-0.00303027i, -0.00955625+0.00340395i, -0.00621294-0.00387838i, -0.01159065+0.01062037i, +0.00747070+0.00935297i, -0.00395662-0.00380196i, -0.00870719+0.00062320i, +0.00351529+0.00660567i, -0.01544002+0.01554820i, -0.00765302-0.01335640i, -0.00835648+0.00941073i, -0.01357715-0.00145961i, -0.00334674-0.01263749i, +0.00851133-0.01259872i, +0.00140059+0.01869930i, +0.00903166+0.02263999i, +0.00770687+0.00165299i, +0.00547981+0.00000000i, +0.01581019-0.00494464i, +0.00549894-0.01450976i, -0.01102387-0.00939611i, +0.01198208-0.00273635i, +0.00415770+0.00100759i, -0.00926622+0.01285468i, +0.00214487+0.01046677i, -0.00940232+0.00330818i, -0.00003350+0.00995677i, -0.00006588+0.01513263i, -0.01254364+0.00016061i, -0.00057317-0.01094121i, +0.01175072-0.00050814i, +0.01085886+0.00380614i
