+0.01489517+0.00000000i, +0.03578916-0.02058996i, -0.00208326+0.00854899i, -0.02543352+0.01969166i, -0.00657100+0.01201152i, +0.00402854-0.02336257i, -0.01236329+0.01221068i, +0.00972294+0.02785445i, -0.00923922-0.01649135i, +0.00716237-0.00606501i, -0.00663025+0.02250170i, +0.02857496-0.00130116i, +0.02217407-0.00947316i, +0.03153771+0.00603505i, -0.00642282-0.00519467i, +0.01016494+0.00663759i, -0.00728917-0.00187195i, +0.00320548-0.00637801i, -0.00492914+0.02885067i, +0.01308466-0.00342206i, -0.00995242+0.01712909i, -0.01628498+0.01379645i, +0.02408914+0.00756645i, +0.00470784-0.00229574i, +0.01022905+0.00460919i, +0.01602608-0.02942094i, +0.01076017+0.00366335i, +0.00397393+0.02238729i, -0.01692270+0.00238713i, +0.02101155+0.02397176i, -0.00459738-0.01166186i, -0.01622140+0.00307704i
+0.03578916+0.02058996i, +0.11445392-0.00000000i, -0.01682301+0.01766123i, -0.08833031+0.01215649i, -0.03239219+0.01977726i, +0.04197417-0.05056536i, -0.04658486+0.01224897i, -0.01514224+0.08036716i, +0.00059698-0.05239597i, +0.02559310-0.00467189i, -0.04703538+0.04490050i, +0.07045672+0.03637353i, +0.06637341+0.00789026i, +0.06743439+0.05809599i, -0.00825164-0.02135984i, +0.01524836+0.02999961i, -0.01492632-0.01457380i, +0.01651840-0.01089367i, -0.05172441+0.06250689i, +0.03616939+0.00986493i, -0.04759101+0.02739921i, -0.05819970+0.01063811i, +0.04742054+0.05147920i, +0.01448515+0.00099169i, +0.01820631+0.02521453i, +0.07917573-0.04853750i, +0.02078991+0.02367611i, -0.02139820+0.05928401i, -0.04396058-0.01765703i, +0.01734846+0.08664260i, +0.00507420-0.03437545i, -0.04322921-0.01502991i
-0.00208326-0.00854899i, -0.01682301-0.01766123i, +0.00519801+0.00000000i, +0.01485908+0.01184331i, +0.00781297+0.00209143i, -0.01397225+0.00095537i, +0.00873740+0.00538803i, +0.01462703-0.00947619i, -0.00817290+0.00760930i, -0.00448272-0.00326254i, +0.01384203+0.00065827i, -0.00474333-0.01621845i, -0.00853836-0.01140174i, -0.00094713-0.01894495i, -0.00208314+0.00441287i, +0.00238792-0.00676245i, -0.00005492+0.00444539i, -0.00410894-0.00094773i, +0.01724807-0.00120605i, -0.00379411-0.00703125i, +0.01122310+0.00331643i, +0.01019603+0.00741708i, +0.00097358-0.01488407i, -0.00197607-0.00238095i, +0.00121477-0.00651555i, -0.01912740-0.00508322i, +0.00059762-0.00668810i, +0.01229325-0.00541193i, +0.00373691+0.00937882i, +0.01081974-0.01541218i, -0.00605026+0.00426968i, +0.00403480+0.00887981i
-0.02543352-0.01969166i, -0.08833031-0.01215649i, +0.01485908-0.01184331i, +0.06946048-0.00000000i, +0.02709941-0.01182272i, -0.03776444+0.03456584i, +0.03725307-0.00450528i, +0.02022212-0.06041541i, -0.00602585+0.04037341i, -0.02024781+0.00088723i, +0.04106878-0.02965639i, -0.05051194-0.03555485i, -0.05038592-0.01313906i, -0.04587224-0.05199824i, +0.00409955+0.01736098i, -0.00858164-0.02477190i, +0.00997152+0.01283276i, -0.01390520+0.00665277i, +0.04655758-0.04274616i, -0.02686610-0.01145496i, +0.03963872-0.01609068i, +0.04604577-0.00202844i, -0.03112925-0.04476597i, -0.01107365-0.00230385i, -0.01137269-0.02139317i, -0.06625952+0.02904954i, -0.01353000-0.02048030i, +0.02281089-0.04347993i, +0.03205137+0.01829607i, -0.00418618-0.06870944i, -0.00756715+0.02599046i, +0.03176596+0.01619090i
-0.00657100-0.01201152i, -0.03239219-0.01977726i, +0.00781297-0.00209143i, +0.02709941+0.01182272i, +0.01258492+0.00000000i, -0.02061685+0.00705776i, +0.01530080+0.00458307i, +0.01817266-0.02012859i, -0.00922281+0.01472569i, -0.00805052-0.00310019i, +0.02107038-0.00457996i, -0.01365509-0.02246895i, -0.01742127-0.01370217i, -0.00904616-0.02809448i, -0.00135557+0.00747101i, +0.00086832-0.01112521i, +0.00170607+0.00670382i, -0.00655735+0.00022875i, +0.02543977-0.00875259i, -0.00853185-0.00904188i, +0.01820347+0.00046918i, +0.01830962+0.00704597i, -0.00452530-0.02276350i, -0.00392816-0.00278365i, -0.00079567-0.01028208i, -0.03079505+0.00005554i, -0.00179271-0.01029312i, +0.01630010-0.01308073i, +0.00939043+0.01259345i, +0.01006168-0.02751892i, -0.00737604+0.00885197i, +0.00963740+0.01172356i
+0.00402854+0.02336257i, +0.04197417+0.05056536i, -0.01397225-0.00095537i, -0.03776444-0.03456584i, -0.02061685-0.00705776i, +0.03773297-0.00000000i, -0.02249582-0.01608892i, -0.04105912+0.02278360i, +0.02336730-0.01895165i, +0.01144989+0.00959361i, -0.03708637-0.00431353i, +0.00976918+0.04446696i, +0.02085551+0.03221718i, -0.00093612+0.05109808i, +0.00641055-0.01147893i, -0.00766163+0.01773856i, +0.00096467-0.01193911i, +0.01087065+0.00330269i, -0.04658444+0.00007174i, +0.00890626+0.01959732i, -0.02955813-0.01097732i, -0.02604370-0.02181108i, -0.00535260+0.03982942i, +0.00487408+0.00676318i, -0.00446282+0.01729052i, +0.05048015+0.01717921i, -0.00283565+0.01786775i, -0.03403893+0.01228782i, -0.00832103-0.02589707i, -0.03191614+0.03943930i, +0.01704784-0.01036489i, -0.00921346-0.02461050i
-0.01236329-0.01221068i, -0.04658486-0.01224897i, +0.00873740-0.00538803i, +0.03725307+0.00450528i, +0.01530080-0.00458307i, -0.02249582+0.01608892i, +0.02027179+0.00000000i, +0.01476414-0.03109038i, -0.00585045+0.02126224i, -0.01091686-0.00083745i, +0.02394956-0.01324156i, -0.02478445-0.02234505i, -0.02617078-0.01031483i, -0.02122955-0.03086303i, +0.00107262+0.00957695i, -0.00299578-0.01384229i, +0.00451558+0.00752923i, -0.00788915+0.00266611i, +0.02774234-0.01990586i, -0.01366585-0.00788609i, +0.02230271-0.00605875i, +0.02482685+0.00189868i, -0.01379168-0.02602798i, -0.00578959-0.00195385i, -0.00471182-0.01221124i, -0.03742051+0.01128219i, -0.00592804-0.01186157i, +0.01505410-0.02183963i, +0.01600310+0.01189144i, +0.00221144-0.03712179i, -0.00574419+0.01344840i, +0.01598657+0.01074388i
+0.00972294-0.02785445i, -0.01514224-0.08036716i, +0.01462703+0.00947619i, +0.02022212+0.06041541i, +0.01817266+0.02012859i, -0.04105912-0.02278360i, +0.01476414+0.03109038i, +0.05843547+0.00000000i, -0.03687034+0.00651279i, -0.00666647-0.01735286i, +0.03775097+0.02708694i, +0.01621932-0.05428546i, -0.00324082-0.04764991i, +0.03187223-0.05503712i, -0.01390674+0.00862003i, +0.01904775-0.01467603i, -0.00825867+0.01240906i, -0.00983469-0.01015765i, +0.05073417+0.02805015i, +0.00214175-0.02670252i, +0.02553544+0.02979251i, +0.01516967+0.03945920i, +0.02987389-0.04010841i, -0.00122004-0.01030237i, +0.01529643-0.01611997i, -0.04455696-0.04917404i, +0.01387437-0.01773059i, +0.04445898+0.00718211i, -0.00658242+0.03320423i, +0.05854343-0.02364453i, -0.02480904+0.00098487i, -0.00483447+0.03234311i
-0.00923922+0.01649135i, +0.00059698+0.05239597i, -0.00817290-0.00760930i, -0.00602585-0.04037341i, -0.00922281-0.01472569i, +0.02336730+0.01895165i, -0.00585045-0.02126224i, -0.03687034-0.00651279i, +0.02398952-0.00000000i, +0.00227224+0.01169192i, -0.02080037-0.02129818i, -0.01628398+0.03244417i, -0.00326589+0.03042630i, -0.02624409+0.03117388i, +0.00973530-0.00388894i, -0.01365402+0.00713704i, +0.00659390-0.00690915i, +0.00507318+0.00750515i, -0.02888488-0.02335294i, -0.00432742+0.01660947i, -0.01279134-0.02164382i, -0.00517359-0.02658781i, -0.02331937+0.02197721i, -0.00037843+0.00663635i, -0.01144802+0.00846620i, +0.02263300+0.03599277i, -0.01073027+0.00964093i, -0.02725129-0.00948668i, +0.00785393-0.02021686i, -0.03957371+0.00839389i, +0.01576324+0.00214362i, +0.00665508-0.01986834i
+0.00716237+0.00606501i, +0.02559310+0.00467189i, -0.00448272+0.00326254i, -0.02024781-0.00088723i, -0.00805052+0.00310019i, +0.01144989-0.00959361i, -0.01091686+0.00083745i, -0.00666647+0.01735286i, +0.00227224-0.01169192i, +0.00591359-0.00000000i, -0.01235040+0.00812029i, +0.01427014+0.01100947i, +0.01451972+0.00447364i, +0.01270763+0.01574348i, -0.00097327-0.00511311i, +0.00218514+0.00733065i, -0.00274279-0.00386813i, +0.00413836-0.00176168i, -0.01411759+0.01186586i, +0.00768518+0.00368230i, -0.01176026+0.00418414i, -0.01344830+0.00000314i, +0.00850241+0.01344695i, +0.00319855+0.00081302i, +0.00304189+0.00638140i, +0.01968578-0.00762163i, +0.00368241+0.00614285i, -0.00720478+0.01238308i, -0.00910931-0.00574272i, +0.00034264+0.02008235i, +0.00253781-0.00747959i, -0.00905300-0.00512542i
-0.00663025-0.02250170i, -0.04703538-0.04490050i, +0.01384203-0.00065827i, +0.04106878+0.02965639i, +0.02107038+0.00457996i, -0.03708637+0.00431353i, +0.02394956+0.01324156i, +0.03775097-0.02708694i, -0.02080037+0.02129818i, -0.01235040-0.00812029i, +0.03694397-0.00000000i, -0.01468512-0.04258818i, -0.02418110-0.02928096i, -0.00492132-0.05032947i, -0.00498846+0.01201506i, +0.00550252-0.01831044i, +0.00041671+0.01184479i, -0.01106192-0.00200340i, +0.04577797-0.00539591i, -0.01099395-0.01824336i, +0.03030652+0.00741021i, +0.02809079+0.01846007i, +0.00070769-0.03975879i, -0.00556370-0.00609009i, +0.00240974-0.01750440i, -0.05157900-0.01111408i, +0.00074447-0.01788573i, +0.03205093-0.01596849i, +0.01113892+0.02450206i, +0.02686063-0.04241202i, -0.01557082+0.01213614i, +0.01186898+0.02313552i
