+0.06684688+0.00000000i, +0.03473408-0.03132050i, -0.01114257+0.02157257i, -0.00431788-0.01643000i, -0.00219199-0.00868771i, -0.00520952-0.00348715i, -0.00316904-0.00074074i, +0.00199373-0.00109993i, -0.14231644+0.00606166i, -0.07110843+0.06983076i, +0.02176623-0.04693824i, +0.01068261+0.03458779i, -0.00545453-0.01829729i, -0.01140724-0.00695172i, -0.00681404-0.00128967i, +0.00414488-0.00252254i, -0.02243895-0.04535635i, -0.03291074-0.01305389i, +0.01837754+0.00031894i, -0.00969853+0.00844491i, -0.00515891+0.00440356i, -0.00061736+0.00470528i, +0.00056117+0.00239888i, -0.00141556-0.00098354i, -0.05188525-0.09452853i, -0.07125041-0.02480729i, +0.03915454-0.00098745i, -0.01988230+0.01885859i, +0.01058395-0.00984294i, +0.00088767-0.01007347i, -0.00141226-0.00505631i, +0.00310291+0.00196559i
+0.03473408+0.03132050i, +0.03272300-0.00000000i, -0.01589739+0.00598850i, +0.00545453-0.01056024i, +0.00293157-0.00554123i, -0.00107303-0.00425282i, -0.00129959-0.00186972i, +0.00155132+0.00036261i, -0.07678870-0.06353141i, -0.06966698+0.00296731i, +0.03330237-0.01419105i, -0.01065504+0.02297728i, +0.00573882-0.01206307i, -0.00267011-0.00895692i, -0.00293636-0.00386278i, +0.00333562+0.00063132i, +0.00959188-0.03408103i, -0.01098435-0.02220292i, +0.00939965+0.00877635i, -0.00899620-0.00015613i, -0.00474385-0.00012904i, -0.00252540+0.00215564i, -0.00083239+0.00150941i, -0.00027471-0.00117430i, +0.01733057-0.07342802i, -0.02539895-0.04627377i, +0.02080762+0.01783242i, -0.01916700+0.00048338i, +0.01011131-0.00015544i, +0.00518108-0.00481833i, +0.00163527-0.00328900i, +0.00069133+0.00247518i
-0.01114257-0.02157257i, -0.01589739-0.00598850i, +0.00881915+0.00000000i, -0.00458249+0.00413213i, -0.00243829+0.00215553i, -0.00025700+0.00226246i, +0.00028919+0.00114618i, -0.00068730-0.00046006i, +0.02567862+0.04491743i, +0.03438844+0.01130790i, -0.01877590+0.00079972i, +0.00938138-0.00921282i, -0.00499563+0.00481020i, -0.00034198+0.00484007i, +0.00071962+0.00241397i, -0.00150496-0.00091715i, -0.01089693+0.01480177i, +0.00127312+0.01279676i, -0.00296039-0.00598389i, +0.00434194+0.00172221i, +0.00228103+0.00093084i, +0.00162137-0.00058508i, +0.00068062-0.00058096i, -0.00008145+0.00062077i, -0.02185725+0.03250098i, +0.00387087+0.02712874i, -0.00684525-0.01247121i, +0.00940011+0.00327284i, -0.00494069-0.00177492i, -0.00339884+0.00139266i, -0.00139635+0.00129859i, +0.00011711-0.00132900i
-0.00431788+0.01643000i, +0.00545453+0.01056024i, -0.00458249-0.00413213i, +0.00431717-0.00000000i, +0.00227690+0.00002241i, +0.00119359-0.00105518i, +0.00038676-0.00073106i, +0.00014157+0.00056108i, +0.00770287-0.03537088i, -0.01257024-0.02198805i, +0.01013078+0.00838174i, -0.00919121+0.00039148i, +0.00484954-0.00015876i, +0.00244547-0.00235470i, +0.00075713-0.00159149i, +0.00035227+0.00118169i, +0.01259735-0.00258544i, +0.00533428-0.00724579i, -0.00126546+0.00449633i, -0.00144917-0.00292925i, -0.00074910-0.00155243i, -0.00111661-0.00045567i, -0.00062586-0.00001702i, +0.00033318-0.00028439i, +0.02658521-0.00664670i, +0.01069960-0.01590993i, -0.00228643+0.00968741i, -0.00335090-0.00610493i, +0.00173560+0.00323718i, +0.00241858+0.00086886i, +0.00133399-0.00002051i, -0.00068354+0.00063569i
-0.00219199+0.00868771i, +0.00293157+0.00554123i, -0.00243829-0.00215553i, +0.00227690-0.00002241i, +0.00120097+0.00000000i, +0.00062403-0.00056270i, +0.00020019-0.00038757i, +0.00007758+0.00029518i, +0.00387894-0.01869483i, -0.00674377-0.01153140i, +0.00538655+0.00436800i, -0.00484548+0.00025418i, +0.00255686-0.00010890i, +0.00127753-0.00125458i, +0.00039105-0.00084329i, +0.00019192+0.00062140i, +0.00663051-0.00142897i, +0.00277572-0.00384917i, -0.00064407+0.00237797i, -0.00077951-0.00153738i, -0.00040314-0.00081487i, -0.00059127-0.00023453i, -0.00033017-0.00000573i, +0.00017424-0.00015172i, +0.01398672-0.00364352i, +0.00556045-0.00844655i, -0.00115559+0.00512107i, -0.00179898-0.00320239i, +0.00093217+0.00169830i, +0.00128008+0.00044569i, +0.00070345-0.00001774i, -0.00035721+0.00033881i
-0.00520952+0.00348715i, -0.00107303+0.00425282i, -0.00025700-0.00226246i, +0.00119359+0.00105518i, +0.00062403+0.00056270i, +0.00058790+0.00000000i, +0.00028561-0.00010759i, -0.00009800+0.00018973i, +0.01077481-0.00789652i, +0.00189882-0.00915152i, +0.00075230+0.00479346i, -0.00263684-0.00213823i, +0.00137959+0.00114140i, +0.00125164-0.00005331i, +0.00059831-0.00025496i, -0.00019143+0.00041281i, +0.00411479+0.00236416i, +0.00324578-0.00069951i, -0.00144884+0.00093383i, +0.00031529-0.00116407i, +0.00017233-0.00061230i, -0.00019734-0.00039890i, -0.00016887-0.00015768i, +0.00016163+0.00000280i, +0.00897473+0.00466015i, +0.00684680-0.00178358i, -0.00299989+0.00211950i, +0.00056569-0.00250688i, -0.00031136+0.00131921i, +0.00045632+0.00083135i, +0.00037383+0.00032038i, -0.00034435+0.00000868i
-0.00316904+0.00074074i, -0.00129959+0.00186972i, +0.00028919-0.00114618i, +0.00038676+0.00073106i, +0.00020019+0.00038757i, +0.00028561+0.00010759i, +0.00015844+0.00000000i, -0.00008233+0.00007424i, +0.00667970-0.00186441i, +0.00259726-0.00409847i, -0.00051175+0.00246642i, -0.00088971-0.00152134i, +0.00046134+0.00080699i, +0.00061782+0.00020316i, +0.00033733-0.00001437i, -0.00016855+0.00016552i, +0.00156638+0.00190158i, +0.00170487+0.00025416i, -0.00087477+0.00018853i, +0.00036620-0.00050782i, +0.00019577-0.00026593i, -0.00002287-0.00022991i, -0.00005319-0.00010751i, +0.00007801+0.00003094i, +0.00350724+0.00390641i, +0.00365270+0.00038651i, -0.00184528+0.00048069i, +0.00073359-0.00111436i, -0.00039269+0.00058391i, +0.00006954+0.00048739i, +0.00012298+0.00022406i, -0.00016888-0.00005880i
+0.00199373+0.00109993i, +0.00155132-0.00036261i, -0.00068730+0.00046006i, +0.00014157-0.00056108i, +0.00007758-0.00029518i, -0.00009800-0.00018973i, -0.00008233-0.00007424i, +0.00007756-0.00000000i, -0.00434437-0.00216095i, -0.00326986+0.00091267i, +0.00142153-0.00104179i, -0.00025051+0.00120737i, +0.00013839-0.00063547i, -0.00022584-0.00039504i, -0.00018201-0.00015059i, +0.00016513-0.00000703i, +0.00007707-0.00172199i, -0.00076678-0.00093087i, +0.00054287+0.00031191i, -0.00042822+0.00009229i, -0.00022632+0.00004645i, -0.00009584+0.00013018i, -0.00002274+0.00008078i, -0.00002604-0.00005263i, +0.00000793-0.00367308i, -0.00171687-0.00191227i, +0.00118404+0.00061482i, -0.00090330+0.00023531i, +0.00047763-0.00011941i, +0.00019223-0.00028584i, +0.00004108-0.00017404i, +0.00006020+0.00010968i
-0.14231644-0.00606166i, -0.07678870+0.06353141i, +0.02567862-0.04491743i, +0.00770287+0.03537088i, +0.00387894+0.01869483i, +0.01077481+0.00789652i, +0.00667970+0.00186441i, -0.00434437+0.00216095i, +0.30354017-0.00000000i, +0.15772148-0.14222101i, -0.05059648+0.09795735i, -0.01960677-0.07460581i, +0.00995346+0.03944939i, +0.02365554+0.01583456i, +0.01439008+0.00336359i, -0.00905316+0.00499460i, +0.04365944+0.09859805i, +0.06888296+0.03077596i, -0.03909670-0.00234549i, +0.02141386-0.01709967i, +0.01138258-0.00890732i, +0.00174102-0.00996151i, -0.00097720-0.00515809i, +0.00292453+0.00222232i, +0.10189143+0.20595539i, +0.14944200+0.05927547i, -0.08344922-0.00144825i, +0.04403933-0.03834686i, -0.02342571+0.01999579i, -0.00280331+0.02136585i, +0.00254818+0.01089291i, -0.00642783-0.00446610i
-0.07110843-0.06983076i, -0.06966698-0.00296731i, +0.03438844-0.01130790i, -0.01257024+0.02198805i, -0.00674377+0.01153140i, +0.00189882+0.00915152i, +0.00259726+0.00409847i, -0.00326986-0.00091267i, +0.15772148+0.14222101i, +0.14858950-0.00000000i, -0.07218730+0.02719277i, +0.02476807-0.04795225i, -0.01331177+0.02516177i, +0.00487244+0.01931133i, +0.00590120+0.00849009i, -0.00704426-0.00164655i, -0.02351149+0.07168844i, +0.02137224+0.04826588i, -0.01921594-0.01953714i, +0.01913868+0.00114817i, +0.01008791+0.00070490i, +0.00557202-0.00436033i, +0.00190902-0.00313803i, +0.00047836+0.00252500i, -0.04355508+0.15475610i, +0.04987807+0.10081963i, -0.04268220-0.03985190i, +0.04085021+0.00070895i, -0.02154100-0.00058596i, -0.01146739+0.00978837i, -0.00377972+0.00685396i, -0.00124739-0.00533232i
+0.02176623+0.04693824i, +0.03330237+0.01419105i, -0.01877590-0.00079972i, +0.01013078-0.00838174i, +0.00538655-0.00436800i, +0.00075230-0.00479346i, -0.00051175-0.00246642i, +0.00142153+0.00104179i, -0.05059648-0.09795735i, -0.07218730-0.02719277i, +0.04004625+0.00000000i, -0.02080830+0.01876331i, +0.01107184-0.00978788i, +0.00116698-0.01027346i, -0.00131317-0.00520458i, +0.00312089+0.00208906i, +0.02454169-0.03052471i, -0.00155005-0.02735963i, +0.00576002+0.01300810i, -0.00908777-0.00406029i, -0.00477188-0.00218860i, -0.00350495+0.00109861i, -0.00150171+0.00117515i, +0.00022969-0.00131423i, +0.04948109-0.06721230i, -0.00578101-0.05810787i, +0.01344260+0.02717183i, -0.01971598-0.00782025i, +0.01035775+0.00422680i, +0.00736238-0.00265676i, +0.00309057-0.00263806i, -0.00036984+0.00281881i
