+0.02682362-0.00000000i, -0.01278996+0.00068639i, -0.03146036+0.01062926i, +0.01309944-0.02778352i, -0.00315991-0.00871029i, -0.00196806+0.03581813i, -0.03490886-0.02595758i, +0.00304754+0.03124122i, -0.02049950+0.01983299i, -0.01207887-0.03928639i, +0.00459903+0.03164043i, -0.02898114+0.00032310i, +0.00917701+0.00739805i, +0.00159665+0.00602665i, -0.01285784+0.02179279i, -0.00590387+0.00240261i, -0.00595080-0.03927996i, +0.01602069-0.04883141i, +0.03259553-0.02069334i, +0.00242628+0.03023288i, -0.01553976+0.00489579i, +0.01251136+0.00965731i, +0.01170885-0.03195631i, -0.01825201+0.01382471i, +0.03461318+0.00795457i, -0.02761867-0.01046500i, +0.00692978+0.01837215i, -0.00027346-0.03660272i, +0.00660468+0.01586378i, +0.00090437-0.00903953i, -0.02335103+0.01758626i, +0.00200195-0.02227612i
-0.01278996-0.00068639i, +0.00611603+0.00000000i, +0.01527283-0.00426317i, -0.00695699+0.01291245i, +0.00128381+0.00423407i, +0.00185496-0.01702833i, +0.01598091+0.01327031i, -0.00065368-0.01497433i, +0.01028202-0.00893214i, +0.00475410+0.01904151i, -0.00138324-0.01520438i, +0.01382697+0.00058754i, -0.00418645-0.00376235i, -0.00060709-0.00291447i, +0.00668850-0.01006215i, +0.00287655-0.00099453i, +0.00183230+0.01888163i, -0.00888849+0.02287369i, -0.01607163+0.00903284i, -0.00038326-0.01447764i, +0.00753490-0.00193674i, -0.00571851-0.00492493i, -0.00640071+0.01493769i, +0.00905663-0.00612481i, -0.01630060-0.00467860i, +0.01290126+0.00569663i, -0.00283411-0.00893748i, -0.00080624+0.01745980i, -0.00274328-0.00773313i, -0.00066253+0.00428706i, +0.01158419-0.00778790i, -0.00152459+0.01057040i
-0.03146036-0.01062926i, +0.01527283+0.00426317i, +0.04111060+0.00000000i, -0.02637344+0.02739533i, +0.00025455+0.01146811i, +0.01650173-0.04122978i, +0.03065714+0.04427777i, +0.00880545-0.03784921i, +0.03190216-0.01513809i, -0.00140099+0.05086387i, +0.00714397-0.03893223i, +0.03411885+0.01110526i, -0.00783177-0.01231340i, +0.00051550-0.00770111i, +0.02371616-0.02046478i, +0.00787648-0.00047843i, -0.00858581+0.04842799i, -0.03814020+0.05092398i, -0.04643004+0.01135393i, +0.00913454-0.03642039i, +0.02016600+0.00041579i, -0.01084722-0.01628449i, -0.02639601+0.03284048i, +0.02688531-0.00898182i, -0.03744430-0.02304558i, +0.02824593+0.02321829i, -0.00084742-0.02429399i, -0.01418364+0.04303824i, -0.00146011-0.02122320i, -0.00464275+0.01024373i, +0.03435631-0.01137303i, -0.01117525+0.02533347i
+0.01309944+0.02778352i, -0.00695699-0.01291245i, -0.02637344-0.02739533i, +0.03517493+0.00000000i, +0.00747883-0.00752670i, -0.03806100+0.01545346i, +0.00983858-0.04883460i, -0.03087091+0.01841340i, -0.03055374-0.01154755i, +0.03479350-0.03169681i, -0.03052673+0.02021536i, -0.01448773-0.02986045i, -0.00318115+0.01311829i, -0.00546258+0.00459693i, -0.02885183-0.00267536i, -0.00537177-0.00494181i, +0.03777951-0.02534630i, +0.05840264-0.00725305i, +0.03735204+0.02365628i, -0.03012989+0.01727747i, -0.01265990-0.01370498i, -0.00389292+0.01767528i, +0.03881795-0.00347816i, -0.02323289-0.01215380i, +0.00866428+0.03973647i, -0.00264821-0.03371765i, -0.01564542+0.01614989i, +0.03777902-0.01815836i, -0.01320604+0.01458818i, +0.00980466-0.00347776i, -0.02961918-0.01559832i, +0.02405094-0.00880506i
-0.00315991+0.00871029i, +0.00128381-0.00423407i, +0.00025455-0.01146811i, +0.00747883+0.00752670i, +0.00320069-0.00000000i, -0.01139918-0.00485857i, +0.01254144-0.00827788i, -0.01050380-0.00269070i, -0.00402535-0.00899308i, +0.01418019+0.00070576i, -0.01081620-0.00223393i, +0.00330915-0.00944895i, -0.00348341+0.00210849i, -0.00214509-0.00019149i, -0.00556196-0.00674252i, -0.00008469-0.00220017i, +0.01345619+0.00269494i, +0.01396947+0.01095481i, +0.00287978+0.01302231i, -0.01010318-0.00277366i, +0.00024085-0.00562288i, -0.00460985+0.00292508i, +0.00899766+0.00756671i, -0.00233908-0.00755547i, -0.00666059+0.01030267i, +0.00665181-0.00773565i, -0.00678224+0.00008597i, +0.01191802+0.00422312i, -0.00592941+0.00027590i, +0.00282882+0.00135856i, -0.00295986-0.00965437i, +0.00699777+0.00327428i
-0.00196806-0.03581813i, +0.00185496+0.01702833i, +0.01650173+0.04122978i, -0.03806100-0.01545346i, -0.01139918+0.00485857i, +0.04797307-0.00000000i, -0.03210040+0.04851903i, +0.04149343-0.00636163i, +0.02798745+0.02591823i, -0.05157368+0.01901162i, +0.04191267-0.00846265i, +0.00255780+0.03867539i, +0.00920544-0.01279705i, +0.00793036-0.00257422i, +0.03004373+0.01557039i, +0.00364143+0.00770727i, -0.05201471+0.01082821i, -0.06638102-0.01780997i, -0.03002379-0.04200719i, +0.04019256-0.00545806i, +0.00767760+0.02039135i, +0.01197764-0.01741524i, -0.04353100-0.01329041i, +0.01979958+0.02335796i, +0.00808231-0.04680330i, -0.01194773+0.03764759i, +0.02402427-0.01060145i, -0.04885629+0.00305072i, +0.02069864-0.00998330i, -0.01213702-0.00054439i, +0.02519657+0.02989079i, -0.02989263-0.00103883i
-0.03490886+0.02595758i, +0.01598091-0.01327031i, +0.03065714-0.04427777i, +0.00983858+0.04883460i, +0.01254144+0.00827788i, -0.03210040-0.04851903i, +0.07055068+0.00000000i, -0.03419869-0.03770887i, +0.00748585-0.04564873i, +0.05373768+0.03943930i, -0.03660415-0.03672702i, +0.03740404-0.02846593i, -0.01910236-0.00074726i, -0.00790999-0.00629811i, -0.00435569-0.04080433i, +0.00535839-0.00884007i, +0.04575625+0.04536115i, +0.02640513+0.07905373i, -0.02239533+0.05847391i, -0.03241438-0.03699781i, +0.01548608-0.02140953i, -0.02562808-0.00046083i, +0.01568640+0.05291948i, +0.01037522-0.03565451i, -0.05274411+0.02314338i, +0.04607068-0.01310757i, -0.02679755-0.01720389i, +0.03577684+0.04737097i, -0.02394707-0.01425404i, +0.00757070+0.01263942i, +0.01337109-0.04548427i, +0.01895152+0.03092795i
+0.00304754-0.03124122i, -0.00065368+0.01497433i, +0.00880545+0.03784921i, -0.03087091-0.01841340i, -0.01050380+0.00269070i, +0.04149343+0.00636163i, -0.03419869+0.03770887i, +0.03673259+0.00000000i, +0.02077026+0.02612888i, -0.04712882+0.00960465i, +0.03737382-0.00176164i, -0.00291636+0.03379076i, +0.00965907-0.00984786i, +0.00720058-0.00117489i, +0.02392102+0.01745138i, +0.00212754+0.00714915i, -0.04642509+0.00246808i, -0.05505330-0.02420709i, -0.02039802-0.04031476i, +0.03548761+0.00060902i, +0.00393654+0.01865525i, +0.01266925-0.01347466i, -0.03588892-0.01726788i, +0.01402783+0.02282863i, +0.01319716-0.03940988i, -0.01532636+0.03097823i, +0.02218519-0.00598371i, -0.04266191-0.00384009i, +0.01922678-0.00589006i, -0.01042550-0.00208033i, +0.01782954+0.02919477i, -0.02571733-0.00486253i
-0.02049950-0.01983299i, +0.01028202+0.00893214i, +0.03190216+0.01513809i, -0.03055374+0.01154755i, -0.00402535+0.00899308i, +0.02798745-0.02591823i, +0.00748585+0.04564873i, +0.02077026-0.02612888i, +0.03033061-0.00000000i, -0.01981670+0.03895489i, +0.01987973-0.02758111i, +0.02238723+0.02118130i, -0.00154337-0.01243918i, +0.00323580-0.00578631i, +0.02593965-0.00714787i, +0.00628839+0.00252908i, -0.02449522+0.03441897i, -0.04834876+0.02547311i, -0.04021092-0.00828612i, +0.02049950-0.02489892i, +0.01549587+0.00774835i, -0.00242112-0.01663115i, -0.03257631+0.01576472i, +0.02417058+0.00292996i, -0.02057104-0.03167161i, +0.01336943+0.02841853i, +0.00828813-0.01916438i, -0.02685452+0.02817520i, +0.00668193-0.01700702i, -0.00737484+0.00623962i, +0.03084865+0.00382540i, -0.01800058+0.01554393i
-0.01207887+0.03928639i, +0.00475410-0.01904151i, -0.00140099-0.05086387i, +0.03479350+0.03169681i, +0.01418019-0.00070576i, -0.05157368-0.01901162i, +0.05373768-0.03943930i, -0.04712882-0.00960465i, -0.01981670-0.03895489i, +0.06297880+0.00000000i, -0.04841215-0.00751209i, +0.01257720-0.04259182i, -0.01496779+0.01010944i, -0.00954573-0.00037535i, -0.02612815-0.02864529i, -0.00086036-0.00972883i, +0.06020986+0.00897239i, +0.06430518+0.04545335i, +0.01562986+0.05705839i, -0.04537223-0.01006051i, -0.00017280-0.02496444i, -0.01977824+0.01397562i, +0.04153125+0.03153916i, -0.01202893-0.03295761i, -0.02723698+0.04711312i, +0.02776413-0.03573837i, -0.03002874+0.00187637i, +0.05373219+0.01608195i, -0.02620853+0.00252977i, +0.01283222+0.00539513i, -0.01524204-0.04211959i, +0.03172453+0.01296319i
+0.00459903-0.03164043i, -0.00138324+0.01520438i, +0.00714397+0.03893223i, -0.03052673-0.02021536i, -0.01081620+0.00223393i, +0.04191267+0.00846265i, -0.03660415+0.03672702i, +0.03737382+0.00176164i, +0.01987973+0.02758111i, -0.04841215+0.00751209i, +0.03811072+0.00000000i, -0.00458783+0.03424077i, +0.01029997-0.00955653i, +0.00738263-0.00085007i, +0.02350165+0.01890323i, +0.00182181+0.00737598i, -0.04735388+0.00028468i, -0.05485340-0.02726994i, -0.01882066-0.04199677i, +0.03607789+0.00232159i, +0.00311058+0.01916969i, +0.01353664-0.01310228i, -0.03568728-0.01929049i, +0.01317787+0.02389989i, +0.01531758-0.03946493i, -0.01707958+0.03078397i, +0.02285944-0.00502419i, -0.04322248-0.00595313i, +0.01984489-0.00507079i, -0.01050773-0.00261664i, +0.01674065+0.03055949i, -0.02593307-0.00618078i
