+0.02030277+0.00000000i, -0.01522951+0.00461290i, -0.01535972+0.03679300i, -0.01490661+0.02605442i, -0.00151807+0.01131099i, -0.01269816+0.01136305i, +0.02505438-0.00896137i, +0.01660703-0.00513437i, -0.00252427-0.00823611i, -0.03315918+0.01371154i, +0.01819795+0.01024346i, -0.00019998+0.04471610i, -0.00066381-0.00851836i, +0.01045275+0.02685087i, +0.00485445-0.00886400i, -0.01675306-0.01461481i, -0.00988597-0.01324519i, -0.02364094-0.00728904i, +0.01214100-0.02343733i, -0.01307465+0.01106151i, -0.02656634-0.00661746i, -0.01597880+0.02408255i, +0.00326074-0.00145900i, +0.00283558-0.00341544i, +0.02222524-0.01806064i, -0.01033094+0.01181770i, +0.00167674+0.01801375i, -0.02448750-0.00997118i, -0.04179847-0.01687845i, -0.02360101-0.00006820i, +0.03889985+0.01723593i, +0.02081400+0.00095404i
-0.01522951-0.00461290i, +0.01247203+0.00000000i, +0.01988120-0.02410934i, +0.01710145-0.01615708i, +0.00370865-0.00813968i, +0.01210689-0.00563856i, -0.02082986+0.00102961i, -0.01362382+0.00007818i, +0.00002221+0.00675160i, +0.02798869-0.00275135i, -0.01132327-0.01181850i, +0.01030975-0.03349699i, -0.00143748+0.00654061i, -0.00174015-0.02251629i, -0.00565537+0.00554610i, +0.00924624+0.01476924i, +0.00440628+0.01218163i, +0.01607743+0.01083901i, -0.01443229+0.01482231i, +0.01232079-0.00532682i, +0.01842442+0.01099991i, +0.01745770-0.01443432i, -0.00277744+0.00035356i, -0.00290304+0.00191773i, -0.02077507+0.00849795i, +0.01043449-0.00651745i, +0.00283507-0.01389343i, +0.01610306+0.01304327i, +0.02751898+0.02215770i, +0.01768809+0.00541343i, -0.02526345-0.02176727i, -0.01539623-0.00544470i
-0.01535972-0.03679300i, +0.01988120+0.02410934i, +0.07829699+0.00000000i, +0.05849358+0.00730295i, +0.02164642-0.00580607i, +0.03019888+0.01441528i, -0.03519441-0.03862437i, -0.02186836-0.02621120i, -0.01301592+0.01080542i, +0.04993429+0.04971834i, +0.00479601-0.04072813i, +0.08118650-0.03346681i, -0.01493491+0.00764738i, +0.04075171-0.03925622i, -0.01973604-0.00209140i, -0.01381093+0.04141674i, -0.01652408+0.02793594i, +0.00467584+0.04835689i, -0.05165857-0.00427098i, +0.02993724+0.01532568i, +0.00810606+0.05315027i, +0.05573126+0.01073777i, -0.00511087-0.00480539i, -0.00833473-0.00255479i, -0.04954392-0.02661345i, +0.02923192+0.00978140i, +0.03137629-0.01666662i, +0.00045569+0.05192017i, +0.00103455+0.08851694i, +0.01773137+0.04282171i, +0.00180619-0.08353448i, -0.01401756-0.03844121i
-0.01490661-0.02605442i, +0.01710145+0.01615708i, +0.05849358-0.00730295i, +0.04438014-0.00000000i, +0.01562992-0.00635657i, +0.02390532+0.00795255i, -0.02989538-0.02557256i, -0.01878204-0.01754197i, -0.00871600+0.00928646i, +0.04194191+0.03248575i, -0.00021584-0.03087423i, +0.05753072-0.03257461i, -0.01044418+0.00710617i, +0.02678298-0.03312828i, -0.01493933+0.00027840i, -0.00645474+0.03222951i, -0.00973904+0.02241143i, +0.00800356+0.03569001i, -0.03899110+0.00162758i, +0.02379477+0.00865709i, +0.01101327+0.03895107i, +0.04263686+0.00282372i, -0.00426641-0.00311327i, -0.00646495-0.00113122i, -0.03949523-0.01526112i, +0.02275072+0.00458089i, +0.02188585-0.01537772i, +0.00518315+0.03874566i, +0.00902907+0.06603214i, +0.01724071+0.03033711i, -0.00644210-0.06257483i, -0.01405765-0.02741095i
-0.00151807-0.01131099i, +0.00370865+0.00813968i, +0.02164642+0.00580607i, +0.01562992+0.00635657i, +0.00641504+0.00000000i, +0.00727999+0.00622471i, -0.00686587-0.01328813i, -0.00410217-0.00886813i, -0.00439972+0.00202214i, +0.01011827+0.01744826i, +0.00434611-0.01090428i, +0.02492699-0.00323208i, -0.00469608+0.00100675i, +0.01417747-0.00783107i, -0.00530125-0.00204172i, -0.00688948+0.01042616i, -0.00663992+0.00649799i, -0.00229317+0.01371575i, -0.01396511-0.00501150i, +0.00714015+0.00645701i, -0.00170029+0.01529532i, +0.01461152+0.00710135i, -0.00105664-0.00170752i, -0.00211482-0.00132437i, -0.01172368-0.01103161i, +0.00735629+0.00487190i, +0.00991037-0.00228105i, -0.00372413+0.01438793i, -0.00627791+0.02454861i, +0.00172669+0.01315359i, +0.00669381-0.02296047i, -0.00102479-0.01166714i
-0.01269816-0.01136305i, +0.01210689+0.00563856i, +0.03019888-0.01441528i, +0.02390532-0.00795255i, +0.00727999-0.00622471i, +0.01430160-0.00000000i, -0.02068550-0.00841763i, -0.01326030-0.00608338i, -0.00303081+0.00656398i, +0.02841314+0.00998277i, -0.00564866-0.01659169i, +0.02515177-0.02785530i, -0.00435238+0.00569924i, +0.00849032-0.02264379i, -0.00799717+0.00282696i, +0.00229842+0.01851703i, -0.00122999+0.01381705i, +0.01070646+0.01779021i, -0.02071086+0.00786357i, +0.01436831+0.00039931i, +0.01291199+0.01900747i, +0.02347229-0.00611918i, -0.00285597-0.00091246i, -0.00368504+0.00054913i, -0.02400873-0.00114317i, +0.01307551-0.00160925i, +0.00903323-0.01220495i, +0.00973479+0.01994153i, +0.01669590+0.03395020i, +0.01472284+0.01325166i, -0.01468291-0.03255149i, -0.01248395-0.01224586i
+0.02505438+0.00896137i, -0.02082986-0.00102961i, -0.03519441+0.03862437i, -0.02989538+0.02557256i, -0.00686587+0.01328813i, -0.02068550+0.00841763i, +0.03487348+0.00000000i, +0.02275994+0.00099412i, +0.00052027-0.01127785i, -0.04697176+0.00228454i, +0.01793562+0.02067315i, -0.01998387+0.05509308i, +0.00294073-0.01080497i, +0.00104748+0.03774869i, +0.00990303-0.00879582i, -0.01422313-0.02542979i, -0.00635341-0.02070860i, -0.02595653-0.01942975i, +0.02532737-0.02356368i, -0.02101701+0.00787934i, -0.02986301-0.01989222i, -0.03034815+0.02266594i, +0.00466786-0.00036121i, +0.00500675-0.00296319i, +0.03539851-0.01247759i, -0.01796494+0.01002355i, -0.00588187+0.02296973i, -0.02581736-0.02311326i, -0.04413096-0.03927792i, -0.02909443-0.01050132i, +0.04039617+0.03843966i, +0.02526416+0.01036433i
+0.01660703+0.00513437i, -0.01362382-0.00007818i, -0.02186836+0.02621120i, -0.01878204+0.01754197i, -0.00410217+0.00886813i, -0.01326030+0.00608338i, +0.02275994-0.00099412i, +0.01488246-0.00000000i, +0.00001806-0.00737525i, -0.03059068+0.00282998i, +0.01229488+0.01298091i, -0.01147183+0.03652579i, +0.00161124-0.00713562i, +0.00175971+0.02460657i, +0.00621241-0.00602283i, -0.01000754-0.01619114i, -0.00473684-0.01333422i, -0.01749422-0.01194077i, +0.01585803-0.01610067i, -0.01349200+0.00574152i, -0.02005695-0.01213124i, -0.01916039+0.01565789i, +0.00303615-0.00036880i, +0.00318315-0.00207663i, +0.02274691-0.00915250i, -0.01143896+0.00705392i, -0.00318398+0.01515871i, -0.01750840-0.01434876i, -0.02992145-0.02437646i, -0.01928764-0.00602424i, +0.02746006+0.02393584i, +0.01678393+0.00604403i
-0.00252427+0.00823611i, +0.00002221-0.00675160i, -0.01301592-0.01080542i, -0.00871600-0.00928646i, -0.00439972-0.00202214i, -0.00303081-0.00656398i, +0.00052027+0.01127785i, +0.00001806+0.00737525i, +0.00365494-0.00000000i, -0.00143956-0.01515627i, -0.00641798+0.00610868i, -0.01811487-0.00564074i, +0.00353813+0.00078982i, -0.01219205+0.00090191i, +0.00299225+0.00307135i, +0.00801164-0.00497904i, +0.00660224-0.00236359i, +0.00589622-0.00868403i, +0.00799819+0.00783917i, -0.00286167-0.00667921i, +0.00598750-0.00995426i, -0.00778277-0.00947624i, +0.00018645+0.00150417i, +0.00103297+0.00157494i, +0.00456327+0.01126150i, -0.00350956-0.00566020i, -0.00751601-0.00155948i, +0.00708952-0.00869398i, +0.01204385-0.01485763i, +0.00296201-0.00956561i, -0.01182848+0.01363732i, -0.00297485+0.00832488i
-0.03315918-0.01371154i, +0.02798869+0.00275135i, +0.04993429-0.04971834i, +0.04194191-0.03248575i, +0.01011827-0.01744826i, +0.02841314-0.00998277i, -0.04697176-0.00228454i, -0.03059068-0.00282998i, -0.00143956+0.01515627i, +0.06341682+0.00000000i, -0.02280355-0.02902001i, +0.03052577-0.07289679i, -0.00466875+0.01436077i, +0.00106202-0.05091305i, -0.01391479+0.01119852i, +0.01749151+0.03518363i, +0.00720092+0.02830902i, +0.03368851+0.02787070i, -0.03565757+0.03007919i, +0.02882438-0.00923603i, +0.03891993+0.02874953i, +0.04236134-0.02854110i, -0.00631089+0.00018073i, -0.00693780+0.00366319i, -0.04849634+0.01448737i, +0.02485396-0.01232404i, +0.00942713-0.03055306i, +0.03325976+0.03282298i, +0.05686776+0.05579518i, +0.03849992+0.01605040i, -0.05189222-0.05442145i, -0.03334982-0.01561496i
+0.01819795-0.01024346i, -0.01132327+0.01181850i, +0.00479601+0.04072813i, -0.00021584+0.03087423i, +0.00434611+0.01090428i, -0.00564866+0.01659169i, +0.01793562-0.02067315i, +0.01229488-0.01298091i, -0.00641798-0.00610868i, -0.02280355+0.02902001i, +0.02147952-0.00000000i, +0.02238160+0.04018120i, -0.00489280-0.00730033i, +0.02291631+0.01879341i, -0.00012102-0.01039430i, -0.02238993-0.00464715i, -0.01554374-0.00688422i, -0.02486762+0.00539431i, -0.00094264-0.02713311i, -0.00613826+0.01651136i, -0.02715091+0.00747224i, -0.00217175+0.02964773i, +0.00218658-0.00295290i, +0.00081840-0.00449201i, +0.01080888-0.02740169i, -0.00329746+0.01580486i, +0.01059148+0.01530026i, -0.02697965+0.00341736i, -0.04598092+0.00596017i, -0.02118866+0.01184642i, +0.04356317-0.00417729i, +0.01913752-0.00964627i
