+0.01442963-0.00000000i, +0.02096169-0.02455771i, +0.00239087+0.03769085i, +0.01148826-0.01347198i, +0.00717865-0.02512795i, -0.00960884+0.00494491i, -0.01592439-0.01307347i, +0.01551140+0.02283641i, +0.00623282+0.00000108i, -0.00774042+0.00932189i, -0.00807785+0.00649182i, +0.01118584-0.00275259i, +0.02437785-0.00580667i, -0.00478185-0.00305601i, +0.01207556-0.00840080i, -0.01195461+0.02012820i, +0.00521582+0.01080860i, -0.00006528-0.01052356i, -0.01859597+0.00123810i, +0.00400384-0.01759778i, -0.01688865-0.00552556i, -0.01878331+0.02638269i, -0.02389217-0.01824898i, +0.02351042-0.02255851i, -0.01293445+0.01231127i, -0.00079498-0.02370494i, -0.00176990+0.00453747i, +0.00327532-0.01513203i, -0.02575040+0.00694546i, +0.00858734-0.01115124i, -0.03573113-0.00221148i, -0.00179535+0.00231815i
+0.02096169+0.02455771i, +0.07224534+0.00000000i, -0.06067269+0.05882190i, +0.03961671-0.00001872i, +0.05319343-0.02428565i, -0.02237432-0.00916984i, -0.00088343-0.04609326i, -0.01633200+0.05957286i, +0.00905247+0.01060917i, -0.02710926+0.00036837i, -0.02278294-0.00431709i, +0.02093411+0.01503849i, +0.04529566+0.03305328i, -0.00174550-0.01257762i, +0.03183925+0.00834763i, -0.05162234+0.00889441i, -0.01081816+0.02457826i, +0.01781516-0.01539852i, -0.02912118-0.02984983i, +0.03576588-0.01874988i, -0.01512995-0.03676960i, -0.07218677+0.00635850i, -0.00364992-0.06717195i, +0.07254542+0.00724188i, -0.03974216-0.00412869i, +0.03918847-0.03578875i, -0.01029340+0.00357933i, +0.03051112-0.01640781i, -0.04922763-0.03373490i, +0.03145292-0.00158448i, -0.04814232-0.06402321i, -0.00655333+0.00031205i
+0.00239087-0.03769085i, -0.06067269-0.05882190i, +0.09884638+0.00000000i, -0.03328592-0.03224006i, -0.06444591-0.02291446i, +0.01132422+0.02591805i, -0.03678704+0.03942907i, +0.06221986-0.03673269i, +0.00103555-0.01628023i, +0.02306668+0.02176290i, +0.01561849+0.02217534i, -0.00533649-0.02967402i, -0.01112809-0.06463819i, -0.00877476+0.01198405i, -0.01994245-0.03293386i, +0.05059499+0.03456106i, +0.02909678-0.01183307i, -0.02749885-0.00157314i, +0.00015277+0.04877868i, -0.04530279-0.01337402i, -0.01723132+0.04319839i, +0.06580056+0.05343425i, -0.05162590+0.05938373i, -0.05502839-0.06514806i, +0.03001448+0.03582526i, -0.06205011-0.00185120i, +0.01155882+0.00537487i, -0.03898286-0.01106253i, +0.01387525+0.06841202i, -0.02770469-0.02427818i, -0.01169685+0.09296492i, +0.00575765+0.00507364i
+0.01148826+0.01347198i, +0.03961671+0.00001872i, -0.03328592+0.03224006i, +0.02172436+0.00000000i, +0.02917563-0.01330358i, -0.01226688-0.00503420i, -0.00047250-0.02527609i, -0.00897131+0.03266335i, +0.00496130+0.00582003i, -0.01486583+0.00019498i, -0.01249221-0.00237324i, +0.01147561+0.00825198i, +0.02482992+0.01813695i, -0.00095391-0.00689756i, +0.01745732+0.00458579i, -0.02831011+0.00486400i, -0.00593865+0.01347502i, +0.00977317-0.00843937i, -0.01596126-0.01637610i, +0.01961756-0.01027249i, -0.00828719-0.02016702i, -0.03958623+0.00346807i, -0.00198408-0.03683559i, +0.03977938+0.00398998i, -0.02179208-0.00227432i, +0.02149879-0.01961509i, -0.00564545+0.00196011i, +0.01673544-0.00898954i, -0.02698589-0.01851174i, +0.01724804-0.00086072i, -0.02638290-0.03512046i, -0.00359369+0.00016942i
+0.00717865+0.02512795i, +0.05319343+0.02428565i, -0.06444591+0.02291446i, +0.02917563+0.01330358i, +0.04732948+0.00000000i, -0.01339147-0.01427289i, +0.01484403-0.03423492i, -0.03205080+0.03837274i, +0.00309890+0.01085445i, -0.02008408-0.00884170i, -0.01532361-0.01083723i, +0.01035828+0.01810978i, +0.02223965+0.03956314i, +0.00294284-0.00984752i, +0.02063678+0.01684920i, -0.04099885-0.01080426i, -0.01622740+0.01446012i, +0.01829340-0.00534909i, -0.01140742-0.03176733i, +0.03263689-0.00178244i, +0.00122028-0.03215905i, -0.05528775-0.01958427i, +0.01989281-0.05068489i, +0.05097998+0.02971864i, -0.02787383-0.01639945i, +0.04088460-0.01317744i, -0.00878212-0.00082476i, +0.02798057-0.00182441i, -0.02490559-0.04138676i, +0.02369106+0.00940643i, -0.01392491-0.06332286i, -0.00493004-0.00197318i
-0.00960884-0.00494491i, -0.02237432+0.00916984i, +0.01132422-0.02591805i, -0.01226688+0.00503420i, -0.01339147+0.01427289i, +0.00809320-0.00000000i, +0.00612405+0.01416291i, -0.00250336-0.02052262i, -0.00415013-0.00213665i, +0.00834896-0.00355496i, +0.00760381-0.00155476i, -0.00839206-0.00200031i, -0.01822336-0.00448736i, +0.00213701+0.00367373i, -0.01092012+0.00145599i, +0.01485845-0.00930683i, +0.00023075-0.00898497i, -0.00356286+0.00703012i, +0.01280753+0.00554822i, -0.00869680+0.01034645i, +0.00935276+0.00946712i, +0.02154911-0.01113162i, +0.00965627+0.02033982i, -0.02338644+0.00696512i, +0.01283215-0.00376568i, -0.00759410+0.01605779i, +0.00273354-0.00241502i, -0.00736668+0.00895415i, +0.01952760+0.00419938i, -0.00953983+0.00448292i, +0.02303586+0.01371740i, +0.00198995-0.00092843i
-0.01592439+0.01307347i, -0.00088343+0.04609326i, -0.03678704-0.03942907i, -0.00047250+0.02527609i, +0.01484403+0.03423492i, +0.00612405-0.01416291i, +0.02941876-0.00000000i, -0.03780837-0.01114845i, -0.00687946+0.00564584i, +0.00009647-0.01730049i, +0.00303294-0.01448296i, -0.00985069+0.01317228i, -0.02164221+0.02849490i, +0.00804599-0.00095984i, -0.00571521+0.02021168i, -0.00504348-0.03304433i, -0.01554889-0.00720264i, +0.00960656+0.01155455i, +0.01940059-0.01821460i, +0.01152526+0.02304827i, +0.02364438-0.00920343i, -0.00317407-0.04613364i, +0.04290101-0.00150729i, -0.00550749+0.04619616i, +0.00312012-0.02530541i, +0.02235438+0.02544027i, -0.00215778-0.00661106i, +0.01009525+0.01966704i, +0.02212517-0.03099521i, +0.00062630+0.02008665i, +0.04143615-0.02993239i, -0.00011895-0.00418491i
+0.01551140-0.02283641i, -0.01633200-0.05957286i, +0.06221986+0.03673269i, -0.00897131-0.03266335i, -0.03205080-0.03837274i, -0.00250336+0.02052262i, -0.03780837+0.01114845i, +0.05281530-0.00000000i, +0.00670180-0.00986293i, +0.00643216+0.02227078i, +0.00159055+0.01976254i, +0.00766817-0.02066173i, +0.01701577-0.04482252i, -0.00997680+0.00428266i, -0.00031429-0.02814145i, +0.01900416+0.04055662i, +0.02271260+0.00336432i, -0.01672483-0.01120919i, -0.01803068+0.03076101i, -0.02354633-0.02525356i, -0.02689955+0.02078827i, +0.02156192+0.05808713i, -0.05456427+0.01819479i, -0.01042825-0.06145742i, +0.00557975+0.03370437i, -0.03837014-0.02422394i, +0.00527844+0.00767869i, -0.02042717-0.02145000i, -0.01668895+0.04821887i, -0.00841689-0.02557760i, -0.04190976+0.05417100i, +0.00173878+0.00533328i
+0.00623282-0.00000108i, +0.00905247-0.01060917i, +0.00103555+0.01628023i, +0.00496130-0.00582003i, +0.00309890-0.01085445i, -0.00415013+0.00213665i, -0.00687946-0.00564584i, +0.00670180+0.00986293i, +0.00269224-0.00000000i, -0.00334275+0.00402713i, -0.00348870+0.00280472i, +0.00483147-0.00118981i, +0.01052948-0.00251000i, -0.00206573-0.00131967i, +0.00521536-0.00362960i, -0.00516223+0.00869519i, +0.00225376+0.00466834i, -0.00002899-0.00454561i, -0.00803236+0.00053619i, +0.00172812-0.00760159i, -0.00729540-0.00238548i, -0.00811139+0.01139730i, -0.01032149-0.00788078i, +0.01015354-0.00974582i, -0.00558606+0.00531877i, -0.00034516-0.01023919i, -0.00076416+0.00196007i, +0.00141363-0.00653646i, -0.01112226+0.00300200i, +0.00370843-0.00481738i, -0.01543408-0.00095256i, -0.00077532+0.00100145i
-0.00774042-0.00932189i, -0.02710926-0.00036837i, +0.02306668-0.02176290i, -0.01486583-0.00019498i, -0.02008408+0.00884170i, +0.00834896+0.00355496i, +0.00009647+0.01730049i, +0.00643216-0.02227078i, -0.00334275-0.00402713i, +0.01017433+0.00000000i, +0.00852703+0.00173611i, -0.00777861-0.00574977i, -0.01682816-0.01263384i, +0.00059085+0.00472851i, -0.01190476-0.00329470i, +0.01941606-0.00307431i, +0.00418472-0.00916756i, -0.00676346+0.00568729i, +0.01077520+0.01134930i, -0.01351635+0.00685332i, +0.00548986+0.01387453i, +0.02711971-0.00201788i, +0.00102709+0.02522414i, -0.02718494-0.00308734i, +0.01489175+0.00175189i, -0.01488752+0.01322951i, +0.00388073-0.00129062i, -0.01153262+0.00600128i, +0.01830011+0.01290965i, -0.01181044+0.00043418i, +0.01773843+0.02426947i, +0.00246066-0.00008368i
-0.00807785-0.00649182i, -0.02278294+0.00431709i, +0.01561849-0.02217534i, -0.01249221+0.00237324i, -0.01532361+0.01083723i, +0.00760381+0.00155476i, +0.00303294+0.01448296i, +0.00159055-0.01976254i, -0.00348870-0.00280472i, +0.00852703-0.00173611i, +0.00744269-0.00000000i, -0.00750032-0.00349153i, -0.01625935-0.00771684i, +0.00130204+0.00386211i, -0.01053949-0.00072989i, +0.01574788-0.00588964i, +0.00194287-0.00839733i, -0.00469795+0.00592056i, +0.01096722+0.00767313i, -0.01015854+0.00805010i, +0.00696851+0.01069138i, +0.02238451-0.00631877i, +0.00516494+0.02096492i, -0.02331032+0.00205125i, +0.01277961-0.00107283i, -0.01021970+0.01362791i, +0.00303219-0.00174385i, -0.00864138+0.00699751i, +0.01754005+0.00769683i, -0.00982416+0.00237917i, +0.01900770+0.01731326i, +0.00204798-0.00049001i
