+0.00084421-0.00000000i, -0.00061203+0.00092331i, +0.00040456+0.00011295i, +0.00151918-0.00042512i, +0.00016055-0.00018045i, -0.00023527-0.00065945i, +0.00070492-0.00001568i, +0.00049273-0.00035404i, +0.00075882+0.00181906i, -0.00112707-0.00450392i, -0.00276305-0.00081416i, -0.00195034+0.00365321i, +0.00205917-0.00274190i, -0.00600091+0.00570228i, -0.00120583-0.00505540i, -0.00735411+0.00010569i, -0.00164720+0.00297423i, +0.00352500-0.00655531i, -0.00225259-0.00358645i, -0.00653370+0.00257208i, -0.00494616+0.00082119i, +0.01239042+0.00076335i, -0.00445056+0.00666122i, +0.00738121+0.00793159i, +0.00192724+0.00152087i, -0.00356950-0.00161104i, -0.00140359+0.00093460i, +0.00218945+0.00351851i, -0.00010174-0.00208031i, -0.00178100+0.00593329i, -0.00305312-0.00298143i, -0.00481472+0.00232699i
-0.00061203-0.00092331i, +0.00145353+0.00000000i, -0.00016976-0.00052435i, -0.00156632-0.00135332i, -0.00031375-0.00004477i, -0.00055067+0.00073540i, -0.00052820-0.00075960i, -0.00074442-0.00028222i, +0.00143937-0.00214870i, -0.00410881+0.00449790i, +0.00111271+0.00361217i, +0.00540944-0.00051543i, -0.00449164-0.00026429i, +0.01058705+0.00242914i, -0.00465485+0.00498385i, +0.00544715+0.00796651i, +0.00444708-0.00035472i, -0.00972503+0.00089718i, -0.00228940+0.00506373i, +0.00754983+0.00528116i, +0.00448398+0.00481423i, -0.00814789-0.01410471i, +0.01051188+0.00003832i, +0.00332352-0.01382298i, +0.00026617-0.00321040i, +0.00082581+0.00507190i, +0.00203974+0.00085753i, +0.00226086-0.00494542i, -0.00220146+0.00161945i, +0.00778037-0.00235363i, -0.00104733+0.00550064i, +0.00603557+0.00357881i
+0.00040456-0.00011295i, -0.00016976+0.00052435i, +0.00020899+0.00000000i, +0.00067114-0.00040698i, +0.00005280-0.00010795i, -0.00020098-0.00028454i, +0.00033571-0.00010183i, +0.00018876-0.00023559i, +0.00060702+0.00077020i, -0.00114271-0.00200757i, -0.00143304-0.00002048i, -0.00044586+0.00201163i, +0.00061994-0.00158948i, -0.00211282+0.00353553i, -0.00125424-0.00226131i, -0.00351009+0.00103459i, -0.00039143+0.00164570i, +0.00081218-0.00361306i, -0.00155933-0.00141731i, -0.00278694+0.00210676i, -0.00226042+0.00105530i, +0.00603986-0.00129196i, -0.00124156+0.00378765i, +0.00459842+0.00281341i, +0.00112705+0.00047098i, -0.00192612-0.00029446i, -0.00054758+0.00063567i, +0.00151999+0.00139320i, -0.00032709-0.00098331i, -0.00005965+0.00308163i, -0.00186201-0.00102027i, -0.00199597+0.00175932i
+0.00151918+0.00042512i, -0.00156632+0.00135332i, +0.00067114+0.00040698i, +0.00294789-0.00000000i, +0.00037978-0.00024387i, -0.00009130-0.00130517i, +0.00127642+0.00032676i, +0.00106496-0.00038898i, +0.00044949+0.00365558i, +0.00023985-0.00867249i, -0.00456219-0.00285649i, -0.00534933+0.00559192i, +0.00508627-0.00389718i, -0.01367030+0.00723952i, +0.00037582-0.00970454i, -0.01328715-0.00351312i, -0.00446192+0.00452273i, +0.00964439-0.01002137i, -0.00224756-0.00758825i, -0.01305279+0.00133834i, -0.00931427-0.00101299i, +0.02191249+0.00761312i, -0.01136330+0.00974587i, +0.00928856+0.01799008i, +0.00270225+0.00370735i, -0.00561213-0.00469661i, -0.00299644+0.00097504i, +0.00216816+0.00743419i, +0.00086449-0.00379481i, -0.00619279+0.00978025i, -0.00399281-0.00690262i, -0.00983603+0.00176293i
+0.00016055+0.00018045i, -0.00031375+0.00004477i, +0.00005280+0.00010795i, +0.00037978+0.00024387i, +0.00006910-0.00000000i, +0.00009621-0.00017570i, +0.00013741+0.00014769i, +0.00016938+0.00003799i, -0.00024451+0.00050814i, +0.00074836-0.00109744i, -0.00035144-0.00074543i, -0.00115177+0.00027787i, +0.00097768-0.00008130i, -0.00236007-0.00019824i, +0.00085125-0.00121916i, -0.00142117-0.00155182i, -0.00094899+0.00021354i, +0.00207155-0.00049320i, +0.00033821-0.00116354i, -0.00179232-0.00090741i, -0.00111617-0.00090106i, +0.00219319+0.00279358i, -0.00227020+0.00031551i, -0.00029163+0.00308611i, +0.00004143+0.00070117i, -0.00033448-0.00106935i, -0.00046670-0.00012227i, -0.00033569+0.00113712i, +0.00042531-0.00041737i, -0.00160693+0.00074768i, +0.00005664-0.00121959i, -0.00141303-0.00058660i
-0.00023527+0.00065945i, -0.00055067-0.00073540i, -0.00020098+0.00028454i, -0.00009130+0.00130517i, +0.00009621+0.00017570i, +0.00058069+0.00000000i, -0.00018420+0.00055501i, +0.00013924+0.00048355i, -0.00163242+0.00008580i, +0.00383229+0.00037478i, +0.00140599-0.00193143i, -0.00231014-0.00254158i, +0.00156794+0.00237262i, -0.00278191-0.00627669i, +0.00428502+0.00046694i, +0.00196692-0.00577404i, -0.00186424-0.00211557i, +0.00413825+0.00458038i, +0.00342928-0.00076009i, -0.00018830-0.00582053i, +0.00073696-0.00409249i, -0.00404931+0.00946591i, -0.00396304-0.00533289i, -0.00825271+0.00355533i, -0.00172511+0.00108160i, +0.00225322-0.00233930i, -0.00033890-0.00135686i, -0.00335861+0.00072971i, +0.00165337+0.00050028i, -0.00413839-0.00304473i, +0.00317977-0.00155403i, -0.00047591-0.00440947i
+0.00070492+0.00001568i, -0.00052820+0.00075960i, +0.00033571+0.00010183i, +0.00127642-0.00032676i, +0.00013741-0.00014769i, -0.00018420-0.00055501i, +0.00058890-0.00000000i, +0.00041801-0.00028647i, +0.00059983+0.00153302i, -0.00085744-0.00378173i, -0.00229203-0.00073115i, -0.00169640+0.00301421i, +0.00177035-0.00225124i, -0.00511671+0.00464994i, -0.00091296-0.00424367i, -0.00614267-0.00004836i, -0.00143067+0.00245289i, +0.00306516-0.00540822i, -0.00181429-0.00303654i, -0.00550344+0.00202631i, -0.00414531+0.00059381i, +0.01033185+0.00086758i, -0.00383998+0.00547946i, +0.00601598+0.00676002i, +0.00158099+0.00130574i, -0.00295061-0.00141154i, -0.00118937+0.00075432i, +0.00176284+0.00297864i, -0.00004631-0.00173896i, -0.00159736+0.00492123i, -0.00249398-0.00254622i, -0.00406354+0.00185360i
+0.00049273+0.00035404i, -0.00074442+0.00028222i, +0.00018876+0.00023559i, +0.00106496+0.00038898i, +0.00016938-0.00003799i, +0.00013924-0.00048355i, +0.00041801+0.00028647i, +0.00043606-0.00000000i, -0.00031997+0.00137993i, +0.00123100-0.00310139i, -0.00127123-0.00163393i, -0.00267037+0.00131429i, +0.00235171-0.00073676i, -0.00589382+0.00081154i, +0.00141630-0.00345629i, -0.00433658-0.00302241i, -0.00220870+0.00104513i, +0.00480648-0.00234774i, +0.00018933-0.00303791i, -0.00489207-0.00123884i, -0.00323123-0.00159499i, +0.00691158+0.00564171i, -0.00539111+0.00202141i, +0.00098178+0.00772476i, +0.00048703+0.00169589i, -0.00140772-0.00243723i, -0.00121116-0.00004314i, -0.00019768+0.00297178i, +0.00081304-0.00125685i, -0.00352774+0.00271608i, -0.00053164-0.00302051i, -0.00378600-0.00066100i
+0.00075882-0.00181906i, +0.00143937+0.00214870i, +0.00060702-0.00077020i, +0.00044949-0.00365558i, -0.00024451-0.00050814i, -0.00163242-0.00008580i, +0.00059983-0.00153302i, -0.00031997-0.00137993i, +0.00460169-0.00000000i, -0.01071788-0.00161981i, -0.00423787+0.00522186i, +0.00611868+0.00748618i, -0.00405720-0.00690155i, +0.00689303+0.01805595i, -0.01197696-0.00194578i, -0.00638252+0.01594125i, +0.00492813+0.00622269i, -0.01095658-0.01348773i, -0.00975264+0.00163006i, -0.00033066+0.01639038i, -0.00267641+0.01139585i, +0.01278198-0.02601207i, +0.01035285+0.01557728i, +0.02372519-0.00877530i, +0.00500940-0.00278567i, -0.00667984+0.00624327i, +0.00075221+0.00386446i, +0.00954948-0.00155510i, -0.00457400-0.00165066i, +0.01118387+0.00917075i, -0.00916853+0.00389883i, +0.00068635+0.01246613i
-0.00112707+0.00450392i, -0.00410881-0.00449790i, -0.00114271+0.00200757i, +0.00023985+0.00867249i, +0.00074836+0.00109744i, +0.00383229-0.00037478i, -0.00085744+0.00378173i, +0.00123100+0.00310139i, -0.01071788+0.00161981i, +0.02553337+0.00000000i, +0.00803238-0.01365407i, -0.01688629-0.01528238i, +0.01187907+0.01464636i, -0.02241043-0.03962803i, +0.02858067+0.00031602i, +0.00925425-0.03937571i, -0.01366861-0.01275866i, +0.03026688+0.02755775i, +0.02214124-0.00722957i, -0.00499934-0.03829151i, +0.00222229-0.02748437i, -0.02061437+0.06508446i, -0.02959626-0.03263707i, -0.05216979+0.02879005i, -0.01068690+0.00825147i, +0.01336047-0.01689264i, -0.00311230-0.00873599i, -0.02169446+0.00698346i, +0.01123441+0.00223452i, -0.02927669-0.01742299i, +0.01998217-0.01230820i, -0.00598671-0.02879347i
-0.00276305+0.00081416i, +0.00111271-0.00361217i, -0.00143304+0.00002048i, -0.00456219+0.00285649i, -0.00035144+0.00074543i, +0.00140599+0.00193143i, -0.00229203+0.00073115i, -0.00127123+0.00163393i, -0.00423787-0.00522186i, +0.00803238+0.01365407i, +0.00982842-0.00000000i, +0.00286016-0.01383760i, -0.00409524+0.01095988i, +0.01414129-0.02445040i, +0.00882202+0.01538304i, +0.02396755-0.00743821i, +0.00252282-0.01132301i, -0.00521515+0.02485455i, +0.01083132+0.00956581i, +0.01890382-0.01471930i, +0.01539647-0.00745776i, -0.04128911+0.00945090i, +0.00814230-0.02609381i, -0.03180736-0.01884112i, -0.00777443-0.00311909i, +0.01323639+0.00183042i, +0.00369253-0.00441251i, -0.01055916-0.00940431i, +0.00233924+0.00671059i, +0.00010704-0.02113681i, +0.01286792+0.00681358i, +0.01351410-0.01225938i
