+0.01913146+0.00000000i, +0.00238716-0.02256579i, -0.00167375+0.01572822i, -0.00225306-0.02103344i, +0.03018969+0.00475881i, -0.01202711+0.00711018i, +0.00853555-0.00666846i, -0.03090682-0.01776610i, +0.01753566+0.01044653i, -0.00039195-0.01043111i, +0.02390063+0.02842675i, +0.01988921+0.03198149i, +0.02738698-0.02255863i, +0.02563416+0.02636850i, +0.00486830-0.00505579i, +0.01580394+0.00027946i, +0.00988923+0.01852159i, +0.03402781-0.00377165i, -0.01600424+0.00560670i, +0.00028930+0.01189778i, -0.01982324-0.01143897i, +0.01301516+0.01215697i, -0.01824818-0.02956444i, +0.01583045+0.01852538i, +0.03501087-0.01218093i, +0.00903222-0.01589869i, +0.02433937+0.00786663i, +0.01233797+0.02165672i, -0.00532208-0.01852584i, +0.01517461-0.01586798i, -0.00675739-0.00049857i, +0.01448057+0.00494324i
+0.00238716+0.02256579i, +0.02691450-0.00000000i, -0.01876047-0.00001169i, +0.02452807-0.00528200i, -0.00184611+0.03620291i, -0.00988725-0.01329894i, +0.00893057+0.00923572i, +0.01709888-0.03867177i, -0.01013377+0.02198701i, +0.01225472-0.00176387i, -0.03054746+0.03173809i, -0.03524086+0.02745011i, +0.03002543+0.02948849i, -0.02790343+0.03352599i, +0.00657081+0.00511138i, +0.00164234+0.01867581i, -0.02061250+0.01397553i, +0.00869458+0.03966560i, -0.00861013-0.01817761i, -0.01399748+0.00182579i, +0.01101893-0.02480908i, -0.01271531+0.01686845i, +0.03259468-0.02521290i, -0.01987564+0.02098374i, +0.01873610+0.03977586i, +0.01987971+0.00866983i, -0.00624180+0.02969016i, -0.02400488+0.01725504i, +0.02118739-0.00858905i, +0.02060992+0.01591868i, -0.00025510-0.00803264i, -0.00402377+0.01769681i
-0.00167375-0.01572822i, -0.01876047+0.00001169i, +0.01307680+0.00000000i, -0.01709475+0.00369242i, +0.00127108-0.02523567i, +0.00689758+0.00926559i, -0.00622897-0.00643379i, -0.01190180+0.02696319i, +0.00705409-0.01533022i, -0.00854126+0.00123481i, +0.02127900-0.02213598i, +0.02455235-0.01914913i, -0.02094173-0.02054160i, +0.01943523-0.02338107i, -0.00458234-0.00355998i, -0.00115289-0.01301707i, +0.01436166-0.00975045i, -0.00607770-0.02764473i, +0.00600950+0.01266678i, +0.00975600-0.00127873i, -0.00766985+0.01729770i, +0.00885575-0.01176351i, -0.02270883+0.01758856i, +0.01384500-0.01463514i, -0.01307709-0.02771722i, -0.01386072-0.00603458i, +0.00433788-0.02069793i, +0.01672486-0.01203788i, -0.01476472+0.00599611i, -0.01437285-0.01108700i, +0.00018130+0.00559896i, +0.00279704-0.01233713i
-0.00225306+0.02103344i, +0.02452807+0.00528200i, -0.01709475-0.00369242i, +0.02338984-0.00000000i, -0.00878728+0.03263061i, -0.00640064-0.01406015i, +0.00632620+0.01016945i, +0.02317215-0.03188719i, -0.01355021+0.01804873i, +0.01151429+0.00079753i, -0.03406754+0.02292900i, -0.03750327+0.01810014i, +0.02157603+0.03276636i, -0.03200883+0.02507727i, +0.00498509+0.00594769i, -0.00216843+0.01734220i, -0.02152756+0.00869114i, +0.00013925+0.03785490i, -0.00427932-0.01825561i, -0.01311468-0.00108311i, +0.01491072-0.02044686i, -0.01489833+0.01287739i, +0.03465267-0.01658061i, -0.02223141+0.01522256i, +0.00926878+0.03992604i, +0.01641558+0.01180252i, -0.01151508+0.02583267i, -0.02526276+0.01101411i, +0.02099438-0.00366944i, +0.01565845+0.01855194i, +0.00134393-0.00737047i, -0.00714001+0.01533802i
+0.03018969-0.00475881i, -0.00184611-0.03620291i, +0.00127108+0.02523567i, -0.00878728-0.03263061i, +0.04882345+0.00000000i, -0.01721033+0.01421161i, +0.01181048-0.01264607i, -0.05319055-0.02034728i, +0.03027000+0.01212289i, -0.00321316-0.01636294i, +0.04478646+0.03891266i, +0.03934060+0.04551991i, +0.03760571-0.04241012i, +0.04701002+0.03523352i, +0.00642465-0.00918905i, +0.02500833-0.00349013i, +0.02021244+0.02676743i, +0.05275815-0.01441589i, -0.02386027+0.01282839i, +0.00341600+0.01870288i, -0.03412670-0.01311995i, +0.02356206+0.01594643i, -0.03614980-0.04211397i, +0.02958871+0.02529558i, +0.05221769-0.02793037i, +0.01029828-0.02733504i, +0.04036461+0.00635940i, +0.02485642+0.03110560i, -0.01300648-0.02791019i, +0.01999868-0.02881446i, -0.01078727+0.00089411i, +0.02408012+0.00419855i
-0.01202711-0.00711018i, -0.00988725+0.01329894i, +0.00689758-0.00926559i, -0.00640064+0.01406015i, -0.01721033-0.01421161i, +0.01020340+0.00000000i, -0.00784425+0.00101994i, +0.01282702+0.02265524i, -0.00714146-0.01308438i, -0.00363031+0.00670325i, -0.00446052-0.02675328i, -0.00061760-0.02749716i, -0.02560087+0.00400329i, -0.00631526-0.02610362i, -0.00493946+0.00136905i, -0.00983138-0.00604919i, +0.00066660-0.01531903i, -0.02279352-0.01027531i, +0.01214489+0.00242327i, +0.00423992-0.00758713i, +0.00821073+0.01455846i, -0.00366394-0.01247962i, +0.00048425+0.02536777i, -0.00306698-0.01752945i, -0.02653683-0.00535412i, -0.01158689+0.00663800i, -0.01237747-0.01399109i, +0.00029235-0.01820002i, -0.00353934+0.01362433i, -0.01543692+0.00433589i, +0.00406278+0.00282480i, -0.00726615-0.00848928i
+0.00853555+0.00666846i, +0.00893057-0.00923572i, -0.00622897+0.00643379i, +0.00632620-0.01016945i, +0.01181048+0.01264607i, -0.00784425-0.00101994i, +0.00613252+0.00000000i, -0.00759661-0.01869927i, +0.00418234+0.01077297i, +0.00346100-0.00479049i, +0.00075491+0.02101347i, -0.00227384+0.02120121i, +0.02008180-0.00051859i, +0.00224575+0.02069942i, +0.00393425-0.00055876i, +0.00695356+0.00563330i, -0.00204378+0.01171044i, +0.01649624+0.01017799i, -0.00909461-0.00307699i, -0.00401802+0.00540906i, -0.00485703-0.01201311i, +0.00156932+0.00996043i, +0.00216350-0.01955084i, +0.00060559+0.01378301i, +0.01986598+0.00676883i, +0.00957140-0.00394497i, +0.00811709+0.01199344i, -0.00204404+0.01396272i, +0.00408290-0.01012042i, +0.01230113-0.00179029i, -0.00284105-0.00257779i, +0.00473753+0.00725278i
-0.03090682+0.01776610i, +0.01709888+0.03867177i, -0.01190180-0.02696319i, +0.02317215+0.03188719i, -0.05319055+0.02034728i, +0.01282702-0.02265524i, -0.00759661+0.01869927i, +0.06642805-0.00000000i, -0.03802980-0.00059215i, +0.01031986+0.01648746i, -0.06500941-0.02372842i, -0.06183002-0.03319624i, -0.02329491+0.06187583i, -0.06589857-0.01879351i, -0.00316976+0.01268847i, -0.02579073+0.01422459i, -0.03317577-0.02073812i, -0.05146934+0.03769242i, +0.02064824-0.02391967i, -0.01151602-0.01895217i, +0.04264699+0.00007111i, -0.03231532-0.00755325i, +0.05693438+0.03081542i, -0.04277731-0.01522703i, -0.04524835+0.05219050i, +0.00017251+0.03407190i, -0.04662539+0.00989382i, -0.04004308-0.02352893i, +0.02580150+0.02498618i, -0.00977901+0.03972632i, +0.01137953-0.00546970i, -0.02798376+0.00546134i
+0.01753566-0.01044653i, -0.01013377-0.02198701i, +0.00705409+0.01533022i, -0.01355021-0.01804873i, +0.03027000-0.01212289i, -0.00714146+0.01308438i, +0.00418234-0.01077297i, -0.03802980+0.00059215i, +0.02177719-0.00000000i, -0.00605505-0.00934701i, +0.03742915+0.01300492i, +0.03569336+0.01845355i, +0.01278467-0.03563133i, +0.03789420+0.01017178i, +0.00170157-0.00729235i, +0.01463829-0.00837343i, +0.01917786+0.01157676i, +0.02913000-0.02203757i, -0.01160781+0.01387798i, +0.00676182+0.01074739i, -0.02441587+0.00033945i, +0.01856772+0.00403614i, -0.03286940-0.01713418i, +0.02462558+0.00833609i, +0.02543927-0.03028221i, -0.00040249-0.01950449i, +0.02660465-0.00607980i, +0.02313425+0.01311327i, -0.01499399-0.01407449i, +0.00524431-0.02283033i, -0.00646598+0.00323282i, +0.01597191-0.00337605i
-0.00039195+0.01043111i, +0.01225472+0.00176387i, -0.00854126-0.00123481i, +0.01151429-0.00079753i, -0.00321316+0.01636294i, -0.00363031-0.00670325i, +0.00346100+0.00479049i, +0.01031986-0.01648746i, -0.00605505+0.00934701i, +0.00569542-0.00000000i, -0.01598887+0.01244904i, -0.01784485+0.01018906i, +0.01173864+0.01539446i, -0.01490216+0.01343639i, +0.00265685+0.00275794i, -0.00047615+0.00861111i, -0.01030119+0.00501248i, +0.00135930+0.01863037i, -0.00272908-0.00884091i, -0.00649299-0.00008602i, +0.00664303-0.01057395i, -0.00689503+0.00684724i, +0.01649338-0.00934383i, -0.01042498+0.00825176i, +0.00592418+0.01933865i, +0.00848345+0.00525039i, -0.00478779+0.01310947i, -0.01206074+0.00628339i, +0.01020994-0.00252223i, +0.00834087+0.00859879i, +0.00041028-0.00367414i, -0.00299188+0.00779402i
+0.02390063-0.02842675i, -0.03054746-0.03173809i, +0.02127900+0.02213598i, -0.03406754-0.02292900i, +0.04478646-0.03891266i, -0.00446052+0.02675328i, +0.00075491-0.02101347i, -0.06500941+0.02372842i, +0.03742915-0.01300492i, -0.01598887-0.01244904i, +0.07209696+0.00000000i, +0.07236742+0.01040132i, +0.00069508-0.06887546i, +0.07120436-0.00514712i, -0.00143032-0.01354974i, +0.02015885-0.02313338i, +0.03987502+0.00844469i, +0.03690625-0.05527255i, -0.01166305+0.03078448i, +0.01803989+0.01443385i, -0.04176162+0.01516412i, +0.03432324-0.00415125i, -0.06672589-0.00982009i, +0.04730292-0.00037842i, +0.02563933-0.06723884i, -0.01233948-0.03328264i, +0.04209553-0.02633733i, +0.04759256+0.00872286i, -0.03417566-0.01523616i, -0.00462027-0.04237102i, -0.00918271+0.00941771i, +0.02543532-0.01534064i
