+0.03282045-0.00000000i, -0.01013314+0.02687242i, +0.04264450+0.00486351i, -0.00138906-0.02287459i, +0.00775243-0.01093640i, +0.00319721-0.02784005i, -0.00249189+0.00859279i, -0.05548058-0.00165567i, +0.01027333-0.02925930i, -0.01824887+0.00187050i, +0.04098205-0.01474747i, +0.01662024+0.00094706i, -0.00770369-0.02270525i, +0.03175283+0.06192816i, +0.00221374+0.01434118i, +0.03485951-0.02102195i, -0.03828730+0.00822455i, -0.01623838+0.02732818i, -0.01413219+0.03613605i, -0.00282915+0.02526868i, -0.03970779+0.00812242i, -0.01721555-0.00388868i, +0.01379661-0.02805849i, -0.02610234+0.01494228i, -0.01798394-0.00521836i, +0.01108865+0.01188928i, -0.02339741-0.03401873i, +0.00102542-0.02322945i, +0.01993432+0.00740177i, +0.01182587-0.02428556i, -0.01982480+0.00694713i, +0.02249485-0.01204270i
-0.01013314-0.02687242i, +0.02513090-0.00000000i, -0.00918417-0.03641764i, -0.01830018+0.00819973i, -0.01134792-0.00297091i, -0.02378174+0.00597769i, +0.00780488-0.00061269i, +0.01577373+0.04593704i, -0.02712849+0.00062215i, +0.00716575+0.01436413i, -0.02472779-0.02900169i, -0.00435598-0.01390056i, -0.01621192+0.01331768i, +0.04090144-0.04511828i, +0.01105866-0.00624031i, -0.02797484-0.02205153i, +0.01855503+0.02880923i, +0.02738902+0.00485807i, +0.03395037+0.00041420i, +0.02156273-0.00548515i, +0.01890997+0.03000382i, +0.00213127+0.01529620i, -0.02723309-0.00263335i, +0.02029326+0.01675847i, +0.00127981+0.01633586i, +0.00631103-0.01274981i, -0.02062970+0.02966022i, -0.01933618+0.00633239i, -0.00009427-0.01860689i, -0.02353547-0.00218463i, +0.01180891+0.01408707i, -0.01680538-0.01470000i
+0.04264450-0.00486351i, -0.00918417+0.03641764i, +0.05612984-0.00000000i, -0.00519452-0.02951574i, +0.00845233-0.01535875i, +0.00002873-0.03664711i, -0.00196445+0.01153410i, -0.07233275+0.00607014i, +0.00901263-0.03953975i, -0.02343406+0.00513460i, +0.05106372-0.02523471i, +0.02173546-0.00123233i, -0.01337420-0.02835998i, +0.05043414+0.07575963i, +0.00500152+0.01830584i, +0.04217876-0.03248004i, -0.04852896+0.01635999i, -0.01704933+0.03791453i, -0.01300751+0.04904672i, +0.00006846+0.03325151i, -0.05038978+0.01643778i, -0.02294487-0.00250158i, +0.01376845-0.03850160i, -0.03170124+0.02328288i, -0.02414030-0.00411540i, +0.01616959+0.01380489i, -0.03544196-0.04073430i, -0.00210990-0.03033460i, +0.02699804+0.00666334i, +0.01176691-0.03330730i, -0.02472943+0.01196433i, +0.02744361-0.01898081i
-0.00138906+0.02287459i, -0.01830018-0.00819973i, -0.00519452+0.02951574i, +0.01600150+0.00000000i, +0.00729414+0.00586601i, +0.01926813+0.00340660i, -0.00588338-0.00210042i, +0.00350204-0.03859775i, +0.01995781+0.00839846i, -0.00053132-0.01279792i, +0.00854394+0.02918707i, -0.00136348+0.01154358i, +0.01615073-0.00440822i, -0.04450542+0.01950952i, -0.01008894+0.00093593i, +0.01317613+0.02518545i, -0.00411176-0.02703286i, -0.01835943-0.01247413i, -0.02458732-0.01137898i, -0.01749156-0.00304125i, -0.00398046-0.02801857i, +0.00343888-0.01183399i, +0.01897177+0.01080323i, -0.00930946-0.01882473i, +0.00439813-0.01231326i, -0.00875567+0.00722517i, +0.02469999-0.01486732i, +0.01614663+0.00169782i, -0.00600243+0.01358019i, +0.01642559+0.00927001i, -0.00400284-0.01411114i, +0.00744125+0.01618773i
+0.00775243+0.01093640i, -0.01134792+0.00297091i, +0.00845233+0.01535875i, +0.00729414-0.00586601i, +0.00547540+0.00000000i, +0.01003204-0.00551065i, -0.00345188+0.00119934i, -0.01255322-0.01887826i, +0.01217639-0.00348799i, -0.00493380-0.00563904i, +0.01459440+0.01017253i, +0.00361024+0.00576188i, +0.00574615-0.00793016i, -0.01313538+0.02520853i, -0.00425585+0.00412515i, +0.01523898+0.00665031i, -0.01178432-0.01081535i, -0.01294189+0.00104418i, -0.01537934+0.00382649i, -0.00908827+0.00502592i, -0.01208582-0.01131281i, -0.00277066-0.00665508i, +0.01260848-0.00203033i, -0.01114461-0.00516832i, -0.00250908-0.00722520i, -0.00134251+0.00650328i, +0.00580904-0.01583193i, +0.00798270-0.00514528i, +0.00224223+0.00839085i, +0.01088576-0.00179582i, -0.00699768-0.00496503i, +0.00932630+0.00465113i
+0.00319721+0.02784005i, -0.02378174-0.00597769i, +0.00002873+0.03664711i, +0.01926813-0.00340660i, +0.01003204+0.00551065i, +0.02392687+0.00000000i, -0.00753160-0.00127668i, -0.00400022-0.04722286i, +0.02582007+0.00586409i, -0.00336437-0.01529744i, +0.01650186+0.03332653i, +0.00081571+0.01419043i, +0.01850935-0.00874651i, -0.04943756+0.03296717i, -0.01194930+0.00327486i, +0.02122777+0.02752184i, -0.01070626-0.03167613i, -0.02476308-0.01111208i, -0.03202921-0.00846748i, -0.02170984+0.00006172i, -0.01075801-0.03289102i, +0.00162153-0.01498196i, +0.02514470+0.00896970i, -0.01521759-0.02068579i, +0.00267458-0.01576328i, -0.00900492+0.01056417i, +0.02657723-0.02316087i, +0.01980434-0.00139308i, -0.00433667+0.01763040i, +0.02175232+0.00766555i, -0.00782416-0.01613969i, +0.01240660+0.01790818i
-0.00249189-0.00859279i, +0.00780488+0.00061269i, -0.00196445-0.01153410i, -0.00588338+0.00210042i, -0.00345188-0.00119934i, -0.00753160+0.00127668i, +0.00243889-0.00000000i, +0.00377888+0.01465118i, -0.00844043-0.00046818i, +0.00187526+0.00463575i, -0.00697262-0.00960989i, -0.00101394-0.00442328i, -0.00535961+0.00374081i, +0.01380270-0.01301515i, +0.00358661-0.00166843i, -0.00815050-0.00753055i, +0.00506024+0.00939962i, +0.00838774+0.00217651i, +0.01053383+0.00095635i, +0.00683044-0.00117782i, +0.00514135+0.00977928i, +0.00028898+0.00480248i, -0.00839355-0.00148178i, +0.00589388+0.00569941i, -0.00000080+0.00510461i, +0.00227085-0.00380583i, -0.00713006+0.00870859i, -0.00615960+0.00149522i, +0.00042436-0.00578102i, -0.00725613-0.00125228i, +0.00332403+0.00466291i, -0.00486084-0.00497508i
-0.05548058+0.00165567i, +0.01577373-0.04593704i, -0.07233275-0.00607014i, +0.00350204+0.03859775i, -0.01255322+0.01887826i, -0.00400022+0.04722286i, +0.00377888-0.01465118i, +0.09386938+0.00000000i, -0.01589030+0.04997896i, +0.03075401-0.00408253i, -0.06853321+0.02699691i, -0.02814308-0.00076251i, +0.01416792+0.03799295i, -0.05679988-0.10308322i, -0.00446563-0.02413105i, -0.05786698+0.03729459i, +0.06430699-0.01583446i, +0.02607118-0.04701546i, +0.02206651-0.06179827i, +0.00350775-0.04285757i, +0.06671338-0.01573346i, +0.02929780+0.00570507i, -0.02190672+0.04812681i, +0.04337031-0.02657559i, +0.03066378+0.00791403i, -0.01934431-0.01953857i, +0.04126774+0.05632586i, -0.00056156+0.03931941i, -0.03407091-0.01150653i, -0.01876565+0.04164953i, +0.03316191-0.01274370i, -0.03741838+0.02149209i
+0.01027333+0.02925930i, -0.02712849-0.00062215i, +0.00901263+0.03953975i, +0.01995781-0.00839846i, +0.01217639+0.00348799i, +0.02582007-0.00586409i, -0.00844043+0.00046818i, -0.01589030-0.04997896i, +0.02930026+0.00000000i, -0.00737974-0.01568329i, +0.02597535+0.03191913i, +0.00435810+0.01511332i, +0.01783026-0.01397492i, -0.04526955+0.04769204i, -0.01209217+0.00646256i, +0.02965257+0.02449690i, -0.01931670-0.03155855i, -0.02944583-0.00592228i, -0.03663874-0.00128762i, -0.02341249+0.00538733i, -0.01967029-0.03285688i, -0.00192200-0.01656481i, +0.02933259+0.00351686i, -0.02149143-0.01859295i, -0.00097712-0.01766604i, -0.00712832+0.01360702i, +0.02300379-0.03150711i, +0.02102993-0.00635704i, -0.00035888+0.02008824i, +0.02535216+0.00294094i, -0.01239882-0.01549916i, +0.01777727+0.01628450i
-0.01824887-0.00187050i, +0.00716575-0.01436413i, -0.02343406-0.00513460i, -0.00053132+0.01279792i, -0.00493380+0.00563904i, -0.00336437+0.01529744i, +0.00187526-0.00463575i, +0.03075401+0.00408253i, -0.00737974+0.01568329i, +0.01025336-0.00000000i, -0.02362737+0.00586426i, -0.00918723-0.00147381i, +0.00298940+0.01306365i, -0.01412584-0.03624302i, -0.00041355-0.00810017i, -0.02058071+0.00970194i, +0.02175728-0.00239096i, +0.01058637-0.01426959i, +0.00991726-0.01928699i, +0.00301318-0.01388868i, +0.02254129-0.00225321i, +0.00935059+0.00314334i, -0.00927031+0.01481482i, +0.01536504-0.00682060i, +0.00970204+0.00392646i, -0.00548793-0.00724265i, +0.01107066+0.02024860i, -0.00189405+0.01285762i, -0.01066207-0.00525163i, -0.00795951+0.01282931i, +0.01141894-0.00273290i, -0.01319395+0.00541397i
+0.04098205+0.01474747i, -0.02472779+0.02900169i, +0.05106372+0.02523471i, +0.00854394-0.02918707i, +0.01459440-0.01017253i, +0.01650186-0.03332653i, -0.00697262+0.00960989i, -0.06853321-0.02699691i, +0.02597535-0.03191913i, -0.02362737-0.00586426i, +0.05779982-0.00000000i, +0.02032771+0.00865067i, +0.00058293-0.03181302i, +0.01182227+0.09159584i, -0.00367979+0.01890218i, +0.05297412-0.01058587i, -0.05150397-0.00693414i, -0.03255602+0.02682748i, -0.03388379+0.03877202i, -0.01488685+0.03028110i, -0.05323180-0.00769996i, -0.01974928-0.01259129i, +0.02983521-0.02883657i, -0.03930744+0.00692927i, -0.02011127-0.01459689i, +0.00850380+0.01982838i, -0.01392985-0.05299165i, +0.01171828-0.02854525i, +0.02156558+0.01819964i, +0.02567907-0.02501094i, -0.02787632-0.00023333i, +0.03349997-0.00492963i
