+0.03502817+0.00000000i, +0.00185792+0.00182092i, +0.04883220+0.01136675i, -0.01506531+0.05271155i, +0.00238721-0.00874088i, +0.01657047-0.02577453i, +0.01306546-0.01639010i, +0.00769844+0.00684684i, +0.03015683-0.00328646i, -0.03829900+0.01075853i, +0.02617602+0.03914354i, +0.03185557-0.00865406i, -0.02086143-0.02515647i, -0.00383594-0.02557299i, +0.01016471-0.00975255i, +0.02923452-0.05221419i, +0.00346697+0.03741532i, +0.00371508+0.00931636i, +0.05391380-0.00087546i, +0.01155181+0.00588167i, +0.02908126+0.05633711i, -0.01076042-0.00540587i, +0.00885681+0.01753226i, +0.02337788+0.03177081i, -0.01937055+0.01182473i, -0.02529962-0.01983217i, +0.01450415-0.00017422i, +0.01201034+0.00590779i, -0.01017721-0.02796511i, -0.01591527-0.00979981i, -0.00040100-0.01196659i, +0.00994207+0.03568143i
+0.00185792-0.00182092i, +0.00019320-0.00000000i, +0.00318099-0.00193561i, +0.00194110+0.00357902i, -0.00032777-0.00058772i, -0.00046096-0.00222850i, -0.00015903-0.00154854i, +0.00076426-0.00003704i, +0.00142869-0.00174200i, -0.00147213+0.00256159i, +0.00342325+0.00071546i, +0.00123977-0.00211501i, -0.00241425-0.00024985i, -0.00153286-0.00115700i, +0.00003216-0.00104569i, -0.00116370-0.00428921i, +0.00212890+0.00180431i, +0.00068136+0.00030102i, +0.00281411-0.00284911i, +0.00091847-0.00028855i, +0.00447114+0.00147639i, -0.00085176+0.00027264i, +0.00138117+0.00046951i, +0.00289156+0.00046986i, -0.00041273+0.00163416i, -0.00237287+0.00026327i, +0.00076025-0.00076323i, +0.00094415-0.00031100i, -0.00199355-0.00095423i, -0.00135359+0.00030756i, -0.00064334-0.00061387i, +0.00238221+0.00137573i
+0.04883220-0.01136675i, +0.00318099+0.00193561i, +0.07176471-0.00000000i, -0.00389724+0.07837305i, +0.00049153-0.01296018i, +0.01473671-0.04130902i, +0.01289570-0.02708895i, +0.01295409+0.00704690i, +0.04097468-0.01436758i, -0.04990082+0.02742643i, +0.04919376+0.04607517i, +0.04160106-0.02240171i, -0.03724592-0.02830063i, -0.01364613-0.03440610i, +0.01100572-0.01689434i, +0.02381170-0.08227764i, +0.01697463+0.05103503i, +0.00820232+0.01178224i, +0.07487624-0.01871565i, +0.01801281+0.00445094i, +0.05882327+0.06910168i, -0.01675514-0.00404445i, +0.01803640+0.02156737i, +0.04290044+0.03670496i, -0.02316700+0.02277047i, -0.04170537-0.01943790i, +0.02016346-0.00494952i, +0.01866051+0.00433856i, -0.02326264-0.03568316i, -0.02536729-0.00849720i, -0.00444222-0.01655230i, +0.02543881+0.04651666i
-0.01506531-0.05271155i, +0.00194110-0.00357902i, -0.00389724-0.07837305i, +0.08580155-0.00000000i, -0.01418029+0.00016702i, -0.04591319-0.01385039i, -0.03028371-0.01261209i, +0.00699232-0.01452963i, -0.01791576-0.04396753i, +0.03266185+0.05300645i, +0.04764642-0.05622584i, -0.02672372-0.04421529i, -0.02888398+0.04221255i, -0.03683327+0.01677117i, -0.01904771-0.01110170i, -0.09114716-0.02153621i, +0.05481269-0.02130921i, +0.01242175-0.00959747i, -0.02450527-0.08075474i, +0.00388260-0.01991320i, +0.07227035-0.06799254i, -0.00350697+0.01851765i, +0.02257389-0.02086849i, +0.03775514-0.04884416i, +0.02612535+0.02406372i, -0.01896296+0.04660134i, -0.00650029-0.02175140i, +0.00372469-0.02061444i, -0.03770569+0.02734255i, -0.00790206+0.02816464i, -0.01783525+0.00575016i, +0.04941860-0.03030743i
+0.00238721+0.00874088i, -0.00032777+0.00058772i, +0.00049153+0.01296018i, -0.01418029-0.00016702i, +0.00234388+0.00000000i, +0.00756104+0.00237841i, +0.00498039+0.00214333i, -0.00118389+0.00238768i, +0.00287532+0.00730132i, -0.00529479-0.00882387i, -0.00798390+0.00919961i, +0.00433052+0.00735941i, +0.00485578-0.00692017i, +0.00612002-0.00270004i, +0.00312637+0.00187184i, +0.01502182+0.00373669i, -0.00910029+0.00341504i, -0.00207161+0.00156198i, +0.00389275+0.01339391i, -0.00068043+0.00328346i, -0.01207636+0.01109634i, +0.00061564-0.00305356i, -0.00377137+0.00340496i, -0.00633481+0.00799890i, -0.00427085-0.00402783i, +0.00322469-0.00766482i, +0.00103195+0.00360747i, -0.00065570+0.00339966i, +0.00628479-0.00444546i, +0.00136079-0.00463934i, +0.00295880-0.00091560i, -0.00822633+0.00491266i
+0.01657047+0.02577453i, -0.00046096+0.00222850i, +0.01473671+0.04130902i, -0.04591319+0.01385039i, +0.00756104-0.00237841i, +0.02680434+0.00000000i, +0.01824098+0.00186034i, -0.00139623+0.00890366i, +0.01668428+0.02063540i, -0.02603414-0.02309184i, -0.01641986+0.03777821i, +0.02143749+0.01934616i, +0.00864198-0.02725087i, +0.01700256-0.01492016i, +0.01198468+0.00286587i, +0.05225012-0.00318908i, -0.02589096+0.02025081i, -0.00509773+0.00714085i, +0.02614871+0.03925686i, +0.00113684+0.01128248i, -0.02769692+0.04804956i, -0.00111257-0.01047507i, -0.00871083+0.01481088i, -0.01231852+0.03223152i, -0.01786436-0.00865947i, +0.00262470-0.02799787i, +0.00698955+0.01059007i, +0.00133454+0.01163223i, +0.01576293-0.02071783i, -0.00031797-0.01634674i, +0.00861559-0.00595599i, -0.02155201+0.02419511i
+0.01306546+0.01639010i, -0.00015903+0.00154854i, +0.01289570+0.02708895i, -0.03028371+0.01261209i, +0.00498039-0.00214333i, +0.01824098-0.00186034i, +0.01254252-0.00000000i, -0.00033221+0.00615605i, +0.01278623+0.01288490i, -0.01931952-0.01390764i, -0.00855212+0.02684856i, +0.01593142+0.01167765i, +0.00398973-0.01914464i, +0.01053511-0.01133357i, +0.00835476+0.00111850i, +0.03533609-0.00579663i, -0.01621390+0.01557810i, -0.00297352+0.00521332i, +0.02051941+0.02490037i, +0.00155670+0.00759908i, -0.01551354+0.03462114i, -0.00148415-0.00705131i, -0.00489998+0.01068372i, -0.00614603+0.02278926i, -0.01275812-0.00465310i, -0.00015701-0.01923536i, +0.00549155+0.00672168i, +0.00171551+0.00782338i, +0.00928913-0.01519298i, -0.00135092-0.01110226i, +0.00544974-0.00465115i, -0.01298739+0.01796114i
+0.00769844-0.00684684i, +0.00076426+0.00003704i, +0.01295409-0.00704690i, +0.00699232+0.01452963i, -0.00118389-0.00238768i, -0.00139623-0.00890366i, -0.00033221-0.00615605i, +0.00303028+0.00000000i, +0.00598543-0.00661695i, -0.00631436+0.00985067i, +0.01340418+0.00348637i, +0.00530959-0.00812868i, -0.00950214-0.00145114i, -0.00584172-0.00487059i, +0.00032769-0.00413026i, -0.00378102-0.01718993i, +0.00807541+0.00754540i, +0.00263753+0.00132136i, +0.01167797-0.01073076i, +0.00368851-0.00096533i, +0.01740346+0.00669727i, -0.00342158+0.00091521i, +0.00537351+0.00212200i, +0.01134809+0.00241294i, -0.00194589+0.00638512i, -0.00943684+0.00058655i, +0.00315365-0.00287337i, +0.00379439-0.00104922i, -0.00770298-0.00415682i, -0.00541337+0.00095712i, -0.00242720-0.00255162i, +0.00915958+0.00589867i
+0.03015683+0.00328646i, +0.00142869+0.00174200i, +0.04097468+0.01436758i, -0.01791576+0.04396753i, +0.00287532-0.00730132i, +0.01668428-0.02063540i, +0.01278623-0.01288490i, +0.00598543+0.00661695i, +0.02627129-0.00000000i, -0.03398219+0.00566902i, +0.01886317+0.03615580i, +0.02823740-0.00446175i, -0.01559998-0.02361527i, -0.00090314-0.02237647i, +0.00966612-0.00744258i, +0.03006781-0.04220993i, -0.00052560+0.03253728i, +0.00232434+0.00836931i, +0.04649819+0.00430466i, +0.00939347+0.00614754i, +0.01975123+0.05123086i, -0.00875678-0.00566366i, +0.00598017+0.01592504i, +0.01714590+0.02954586i, -0.01778614+0.00836287i, -0.01992050-0.01944782i, +0.01250342+0.00121083i, +0.00978578+0.00621305i, -0.00613810-0.02503088i, -0.01278250-0.00993018i, +0.00077751-0.01034003i, +0.00521169+0.03165204i
-0.03829900-0.01075853i, -0.00147213-0.00256159i, -0.04990082-0.02742643i, +0.03266185-0.05300645i, -0.00529479+0.00882387i, -0.02603414+0.02309184i, -0.01931952+0.01390764i, -0.00631436-0.00985067i, -0.03398219-0.00566902i, +0.04517960-0.00000000i, -0.01659774-0.05083833i, -0.03748815-0.00032195i, +0.01508286+0.03391287i, -0.00366034+0.02913908i, -0.01410925+0.00754123i, -0.04800139+0.04811072i, +0.00770101-0.04197389i, -0.00120056-0.01132735i, -0.05921698-0.01560184i, -0.01082399-0.00997890i, -0.01449344-0.07052970i, +0.01010484+0.00921560i, -0.00429898-0.02188964i, -0.01580277-0.04191773i, +0.02481115-0.00697943i, +0.02157078+0.02945454i, -0.01591202-0.00426430i, -0.01131731-0.01014829i, +0.00253834+0.03370223i, +0.01439148+0.01560309i, -0.00323697+0.01320715i, +0.00008874-0.04206685i
+0.02617602-0.03914354i, +0.00342325-0.00071546i, +0.04919376-0.04607517i, +0.04764642+0.05622584i, -0.00798390-0.00919961i, -0.01641986-0.03777821i, -0.00855212-0.02684856i, +0.01340418-0.00348637i, +0.01886317-0.03615580i, -0.01659774+0.05083833i, +0.06330336-0.00000000i, +0.01413439-0.04206525i, -0.04370147+0.00451333i, -0.03144403-0.01482369i, -0.00330242-0.01864686i, -0.03650219-0.07168809i, +0.04440196+0.02408560i, +0.01318715+0.00281042i, +0.03931065-0.06090221i, +0.01520518-0.00851372i, +0.08468800+0.00960193i, -0.01408209+0.00798491i, +0.02621064+0.00320422i, +0.05297342-0.00238265i, -0.00126132+0.03048279i, -0.04106822+0.01345172i, +0.01064404-0.01633840i, +0.01557702-0.00900660i, -0.03885593-0.00952500i, -0.02284441+0.01046187i, -0.01367217-0.00849434i, +0.04730311+0.01555405i
