+0.06761241-0.00000000i, -0.01987832-0.04018048i, -0.11133533+0.00474209i, -0.03990973-0.07271062i, -0.00162488-0.00644002i, -0.00408994+0.00349110i, -0.00414886-0.01391740i, +0.00791546-0.00736128i, -0.01064185+0.02060317i, +0.01537139+0.00026677i, +0.01611447-0.03475037i, +0.02850177-0.00071879i, -0.00226155-0.00052862i, +0.00042830+0.00183090i, -0.00498966-0.00094438i, -0.00101681-0.00364047i, +0.03352255-0.03022803i, -0.02781895-0.01103426i, -0.05311125+0.05215696i, -0.05232507-0.01821804i, -0.00370353-0.00247907i, -0.00046939+0.00357750i, -0.00832123-0.00507106i, +0.00063667-0.00722509i, -0.00405832-0.01544235i, -0.00798317+0.00695127i, +0.00778312+0.02519993i, -0.01424295+0.01350961i, +0.00140019-0.00077248i, -0.00106323-0.00073874i, +0.00298691-0.00181781i, +0.00219855+0.00139271i
-0.01987832+0.04018048i, +0.04232941+0.00000000i, +0.03358251-0.07584086i, +0.06459836-0.00275143i, +0.00525662+0.00113288i, -0.00088294-0.00349943i, +0.01065412+0.00182557i, +0.00240723+0.00807508i, -0.00911444-0.01238054i, -0.00666278+0.01289948i, +0.01786464+0.02221986i, -0.00934985+0.02016266i, +0.00119550-0.00145134i, -0.00122890-0.00028725i, +0.00227686-0.00301709i, +0.00289507+0.00054794i, +0.00810787+0.02880818i, +0.02098740-0.01892481i, -0.01726643-0.05264675i, +0.03081591-0.03026222i, +0.00312854-0.00179751i, -0.00201245-0.00134710i, +0.00612950-0.00387769i, +0.00482810+0.00294230i, +0.01036929+0.00212816i, -0.00254089-0.00966834i, -0.01938058-0.00312482i, -0.00451588-0.01462136i, +0.00005789+0.00129339i, +0.00076085-0.00041976i, +0.00022690+0.00259264i, -0.00173305+0.00105472i
-0.11133533-0.00474209i, +0.03358251+0.07584086i, +0.25296531-0.00000000i, +0.08105386+0.16383596i, +0.00295042+0.01421978i, +0.00851273-0.00666155i, +0.00781355+0.03096810i, -0.01775120+0.01515213i, +0.01901098-0.03325428i, -0.02845966-0.00170735i, -0.03985126+0.07715406i, -0.06273903-0.00108883i, +0.00489129+0.00136523i, -0.00070357-0.00371375i, +0.01087509+0.00254199i, +0.00185892+0.00794647i, -0.05735388+0.04745194i, +0.05058646+0.02260134i, +0.12545066-0.11312168i, +0.11346102+0.04500378i, +0.00785989+0.00576026i, +0.00124873-0.00714478i, +0.01780913+0.01192109i, -0.00203723+0.01552711i, +0.00561215+0.02577047i, +0.01534011-0.01224958i, -0.01519748-0.05782801i, +0.03258368-0.02837195i, -0.00313067+0.00155724i, +0.00207216+0.00157461i, -0.00673308+0.00371462i, -0.00461465-0.00320629i
-0.03990973+0.07271062i, +0.06459836+0.00275143i, +0.08105386-0.16383596i, +0.14987383-0.00000000i, +0.01046030+0.00272489i, -0.00171188-0.00825052i, +0.02281482+0.00491693i, +0.00459337+0.01820531i, -0.01591055-0.02365844i, -0.01103044+0.01929461i, +0.03720101+0.05053174i, -0.02361050+0.04571113i, +0.00252516-0.00281256i, -0.00283800-0.00079213i, +0.00518874-0.00629913i, +0.00639317+0.00149436i, +0.01272727+0.05392427i, +0.03327755-0.02753230i, -0.03306837-0.11749564i, +0.07432542-0.06702090i, +0.00643703-0.00334244i, -0.00456042-0.00334219i, +0.01357854-0.00780159i, +0.01046950+0.00700808i, +0.01904468+0.00476146i, -0.00325625-0.01495240i, -0.04232273-0.00868618i, -0.00900399-0.03426111i, +0.00000562+0.00260255i, +0.00181646-0.00090353i, +0.00025124+0.00561357i, -0.00395820+0.00218372i
-0.00162488+0.00644002i, +0.00525662-0.00113288i, +0.00295042-0.01421978i, +0.01046030-0.00272489i, +0.00785629-0.00000000i, -0.00240849-0.00486834i, +0.00124806-0.00005316i, +0.00044739+0.00081508i, -0.00174005-0.00153826i, -0.00049158+0.00181493i, +0.00394437+0.00319852i, -0.00083201+0.00368710i, +0.00105266-0.00203801i, -0.00159712-0.00002772i, +0.00046223-0.00099678i, +0.00081755-0.00002062i, +0.00208410+0.00393934i, +0.00211043-0.00292659i, -0.00491937-0.00841180i, +0.00398817-0.00605819i, +0.00374474-0.00337672i, -0.00324590-0.00128747i, +0.00083682-0.00082178i, +0.00082443+0.00028704i, +0.00159906-0.00001574i, -0.00058549-0.00115473i, -0.00349178+0.00018317i, -0.00127466-0.00226904i, +0.00040144+0.00152751i, +0.00082947-0.00072225i, +0.00022325+0.00072284i, -0.00040855+0.00038751i
-0.00408994-0.00349110i, -0.00088294+0.00349943i, +0.00851273+0.00666155i, -0.00171188+0.00825052i, -0.00240849+0.00486834i, +0.00479295+0.00000000i, -0.00037646+0.00085017i, -0.00072414+0.00003084i, +0.00174094-0.00071045i, -0.00094552-0.00083587i, -0.00343568+0.00157576i, -0.00228858-0.00185583i, +0.00094701+0.00128637i, +0.00063923-0.00123758i, +0.00051243+0.00063735i, -0.00026819+0.00057835i, -0.00360683+0.00009811i, +0.00113247+0.00214059i, +0.00723544-0.00050558i, +0.00285429+0.00488065i, +0.00094602+0.00336132i, +0.00228215-0.00205787i, +0.00027205+0.00082950i, -0.00048553+0.00047681i, -0.00056265+0.00116603i, +0.00086891-0.00000855i, +0.00103026-0.00238995i, +0.00202598-0.00010628i, -0.00107739-0.00022112i, +0.00024377+0.00092758i, -0.00055591-0.00008963i, -0.00012953-0.00041940i
-0.00414886+0.01391740i, +0.01065412-0.00182557i, +0.00781355-0.03096810i, +0.02281482-0.00491693i, +0.00124806+0.00005316i, -0.00037646-0.00085017i, +0.01640858-0.00000000i, +0.00523117+0.01057388i, -0.00365811-0.00352233i, -0.00114252+0.00360300i, +0.00836738+0.00739705i, -0.00213354+0.00787718i, +0.00054531-0.00095387i, -0.00081634-0.00004897i, +0.00189050-0.00366011i, +0.00295582+0.00005130i, +0.00418629+0.00879963i, +0.00448887-0.00569713i, -0.01002180-0.01894310i, +0.00915972-0.01270201i, +0.00090366-0.00074765i, -0.00079704-0.00035610i, +0.00756919-0.00682531i, +0.00680883+0.00270069i, +0.00349471+0.00011440i, -0.00107710-0.00236920i, -0.00768941+0.00007568i, -0.00254115-0.00501177i, +0.00016098+0.00073920i, +0.00044002-0.00035137i, +0.00072095+0.00274330i, -0.00153511+0.00133668i
+0.00791546+0.00736128i, +0.00240723-0.00807508i, -0.01775120-0.01515213i, +0.00459337-0.01820531i, +0.00044739-0.00081508i, -0.00072414-0.00003084i, +0.00523117-0.01057388i, +0.00975512-0.00000000i, -0.00355723+0.00127791i, +0.00212249+0.00204371i, +0.00755607-0.00308349i, +0.00491895+0.00434852i, -0.00045638-0.00067862i, -0.00031640+0.00055345i, -0.00175265-0.00238070i, +0.00112536-0.00217875i, +0.00725223+0.00011149i, -0.00242895-0.00510567i, -0.01565440+0.00042583i, -0.00589154-0.01113613i, -0.00020053-0.00084963i, -0.00052432+0.00043380i, -0.00198444-0.00705094i, +0.00450115-0.00405879i, +0.00122975-0.00229368i, -0.00202768-0.00006638i, -0.00244201+0.00506081i, -0.00452040+0.00004449i, +0.00054628+0.00013658i, -0.00009340-0.00042889i, +0.00199395+0.00040923i, +0.00042916+0.00163300i
-0.01064185-0.02060317i, -0.00911444+0.01238054i, +0.01901098+0.03325428i, -0.01591055+0.02365844i, -0.00174005+0.00153826i, +0.00174094+0.00071045i, -0.00365811+0.00352233i, -0.00355723-0.00127791i, +0.01219228-0.00000000i, -0.00358600-0.00724845i, -0.01987302+0.00084645i, -0.00712377-0.01297863i, +0.00026697+0.00105810i, +0.00067198-0.00057359i, +0.00068166+0.00228664i, -0.00130052+0.00120947i, -0.01494175-0.00562852i, +0.00104795+0.01053342i, +0.02505469+0.00823870i, +0.00277295+0.01943404i, -0.00018049+0.00158892i, +0.00121782-0.00043946i, -0.00024644+0.00348789i, -0.00240823+0.00098676i, -0.00423173+0.00381585i, +0.00350972+0.00139211i, +0.00680327-0.00668103i, +0.00670257+0.00233364i, -0.00052758-0.00035315i, -0.00006687+0.00050962i, -0.00118538-0.00072239i, +0.00009070-0.00102923i
+0.01537139-0.00026677i, -0.00666278-0.01289948i, -0.02845966+0.00170735i, -0.01103044-0.01929461i, -0.00049158-0.00181493i, -0.00094552+0.00083587i, -0.00114252-0.00360300i, +0.00212249-0.00204371i, -0.00358600+0.00724845i, +0.00763130-0.00000000i, +0.00599438-0.01353737i, +0.01153061-0.00049112i, -0.00086367-0.00018613i, +0.00014507+0.00057496i, -0.00175048-0.00029994i, -0.00039551-0.00132674i, +0.00773716-0.00722410i, -0.00935492-0.00352397i, -0.01376560+0.01399569i, -0.01453709-0.00478021i, -0.00108823-0.00070140i, -0.00009808+0.00086340i, -0.00224555-0.00131558i, +0.00014299-0.00202372i, -0.00102291-0.00363452i, -0.00265026+0.00238980i, +0.00221174+0.00674377i, -0.00394736+0.00387643i, +0.00044567-0.00025606i, -0.00028668-0.00019190i, +0.00087316-0.00055239i, +0.00068778+0.00041914i
+0.01611447+0.03475037i, +0.01786464-0.02221986i, -0.03985126-0.07715406i, +0.03720101-0.05053174i, +0.00394437-0.00319852i, -0.00343568-0.00157576i, +0.00836738-0.00739705i, +0.00755607+0.00308349i, -0.01987302-0.00084645i, +0.00599438+0.01353737i, +0.04542983+0.00000000i, +0.01455602+0.02942240i, -0.00048476-0.00233633i, -0.00139865+0.00109450i, -0.00128378-0.00508809i, +0.00291654-0.00248951i, +0.02426340+0.01033929i, -0.00111040-0.01959945i, -0.05595339-0.02107749i, -0.00427724-0.04299266i, +0.00054213-0.00345430i, -0.00248341+0.00077841i, +0.00086791-0.00764065i, +0.00528558-0.00190733i, +0.00734673-0.00607834i, -0.00647986-0.00289511i, -0.01593032+0.01436473i, -0.01440836-0.00571501i, +0.00111966+0.00082057i, +0.00017788-0.00101779i, +0.00253696+0.00169819i, -0.00029021+0.00221188i
