+0.02010552+0.00000000i, +0.00335469-0.00092626i, -0.00095037+0.00146654i, +0.00163308-0.00104284i, -0.00336377+0.00248833i, -0.00346043+0.00126215i, -0.00142515+0.00195583i, -0.00062560-0.00102051i, +0.00130417-0.00313600i, -0.00001008-0.00007949i, -0.00261751-0.00062680i, -0.00035548-0.00371024i, -0.00042053+0.00097947i, +0.00053402-0.00189510i, -0.00056295-0.00143561i, +0.00072271-0.00008740i, -0.00328082-0.00199377i, +0.00260632-0.00011518i, +0.00051241+0.00278473i, -0.00174018-0.00371384i, +0.00051408+0.00034853i, -0.00104100-0.00039284i, +0.00032911-0.00006496i, -0.00026368-0.00267664i, +0.00159362-0.00237569i, +0.00091924-0.00142200i, +0.00002218-0.00044952i, +0.00102415+0.00134262i, -0.00507241-0.00031675i, -0.00145363-0.00202253i, -0.00171238-0.00028213i, +0.00275467+0.00101610i
+0.00335469+0.00092626i, +0.03364408-0.00000000i, +0.00049530+0.00359287i, +0.00713057-0.00514997i, -0.00289624+0.01198488i, -0.00372045+0.00255524i, -0.00164775+0.00693059i, -0.01111962+0.00141299i, +0.00197722-0.00745726i, -0.00659044-0.00065920i, -0.00781184+0.00726130i, -0.01302527-0.01336125i, +0.00228867+0.00930548i, +0.00251000-0.00349552i, +0.00163848-0.00522724i, +0.00217783+0.00015148i, -0.00467490+0.00498534i, +0.00573017-0.01071340i, +0.00433825+0.00382359i, -0.01412422-0.00600090i, +0.00306323-0.00199262i, -0.00427027+0.00118319i, -0.00497156+0.00504136i, -0.00626369-0.00562043i, -0.00456657-0.00463903i, +0.00481245-0.00656648i, -0.00521416-0.00131879i, +0.01113365+0.00195573i, -0.00740170+0.00164437i, -0.01432363-0.00698440i, -0.00564424+0.00128760i, +0.01123041-0.00432478i
-0.00095037-0.00146654i, +0.00049530-0.00359287i, +0.02261716+0.00000000i, -0.00413492+0.00194157i, +0.00261363+0.00179335i, +0.00113965-0.00076738i, +0.00185066-0.00134834i, +0.00397822+0.00225960i, -0.00282055-0.00109934i, +0.00075221+0.00179787i, +0.00008660+0.00041106i, -0.00013872+0.00600740i, +0.00292930-0.00238012i, -0.00026974+0.00117445i, -0.00298525+0.00123281i, -0.00085719+0.00061781i, +0.00097265+0.00129449i, -0.00300759-0.00201420i, +0.00104350-0.00174152i, -0.00019923+0.00287022i, -0.00098442-0.00107708i, -0.00033034+0.00012556i, +0.00229733-0.00102861i, +0.00051374+0.00288341i, +0.00003454+0.00210716i, -0.00070609-0.00144254i, +0.00120910+0.00172197i, -0.00005129-0.00327954i, +0.00108184+0.00376392i, -0.00220370+0.00321083i, +0.00317431+0.00252926i, -0.00270202-0.00193984i
+0.00163308+0.00104284i, +0.00713057+0.00514997i, -0.00413492-0.00194157i, +0.03014076-0.00000000i, -0.00326427+0.00615024i, +0.00139088-0.00178318i, -0.00023129+0.00074890i, -0.00790920-0.00162203i, +0.00364942-0.00420335i, -0.00173902-0.00324784i, -0.00763569+0.00269096i, -0.00523027-0.01525519i, -0.00243411+0.00650470i, +0.00058494-0.00158930i, +0.00118157-0.00404825i, +0.00334357+0.00033999i, -0.00403442+0.00160704i, +0.00808368-0.00385611i, +0.00344380+0.00399902i, -0.00662262-0.00679096i, +0.00099523+0.00095223i, -0.00461223-0.00005572i, -0.00520780+0.00122173i, -0.00181081-0.00821572i, -0.00273448-0.00399661i, +0.00254210-0.00254800i, -0.00291199-0.00251964i, +0.00663729+0.00472675i, -0.00509191-0.00064098i, -0.00400600-0.00725371i, -0.00513834-0.00090071i, +0.01095933+0.00052870i
-0.00336377-0.00248833i, -0.00289624-0.01198488i, +0.00261363-0.00179335i, -0.00326427-0.00615024i, +0.03291518+0.00000000i, +0.00349452-0.00074280i, +0.00594802-0.00084022i, +0.00408704+0.00975793i, -0.01376899-0.00429695i, +0.00087571+0.00415117i, +0.00874986+0.00743073i, -0.00743409+0.01482659i, +0.00927977-0.00491785i, -0.00283832+0.00039781i, -0.00562935+0.00045497i, -0.00092527-0.00237296i, +0.00553747+0.00215607i, -0.00941699-0.00255128i, +0.00363514-0.00688624i, -0.00222041+0.01394818i, -0.00257302-0.00090663i, +0.00185016+0.00483555i, +0.00686829+0.00584507i, -0.00403956+0.00956931i, -0.00324276+0.00924439i, -0.00338522+0.00036219i, +0.00076423+0.00709965i, -0.00086087-0.00975387i, +0.00293479+0.00742948i, -0.00315290+0.01128727i, +0.00383851+0.00760502i, -0.00644464-0.01231613i
-0.00346043-0.00126215i, -0.00372045-0.00255524i, +0.00113965+0.00076738i, +0.00139088+0.00178318i, +0.00349452+0.00074280i, +0.02575344+0.00000000i, +0.00260139-0.00123676i, -0.00001927+0.00211526i, -0.00081278+0.00013710i, -0.00474486-0.00376710i, +0.00249187-0.00009732i, -0.00162777+0.00207242i, +0.00028619+0.00012166i, -0.00185557+0.00097474i, -0.00008592-0.00077683i, +0.00102958+0.00113374i, +0.00130731+0.00150691i, +0.00053042-0.00082222i, +0.00127448-0.00022037i, -0.00017912+0.00236727i, -0.00201469+0.00024712i, +0.00211677-0.00077686i, +0.00152705-0.00055573i, -0.00054514+0.00014466i, -0.00091079+0.00048354i, -0.00157009+0.00139033i, -0.00005856+0.00064910i, +0.00017500-0.00161662i, +0.00108170+0.00113306i, -0.00103551+0.00309267i, -0.00111064+0.00099454i, -0.00146701-0.00130413i
-0.00142515-0.00195583i, -0.00164775-0.00693059i, +0.00185066+0.00134834i, -0.00023129-0.00074890i, +0.00594802+0.00084022i, +0.00260139+0.00123676i, +0.02537110-0.00000000i, -0.00222381+0.01201694i, -0.00622532-0.00222675i, +0.00049606+0.00274787i, +0.00786611+0.00793464i, -0.00883801+0.00863900i, +0.00657559-0.00028568i, -0.00217670-0.00190281i, -0.00468659-0.00175739i, +0.00100241-0.00050241i, +0.00261640+0.00303477i, -0.00645909-0.00309446i, +0.00385737-0.00275830i, -0.00404151+0.00923025i, -0.00319641-0.00335112i, -0.00015751+0.00377920i, +0.00346430+0.00329045i, -0.00464070+0.00370388i, -0.00404913+0.00312324i, -0.00230276-0.00054020i, -0.00204547+0.00266907i, +0.00085213-0.00607601i, +0.00105813+0.00528452i, -0.00477070+0.00605385i, -0.00099262+0.00714237i, -0.00158418-0.00920471i
-0.00062560+0.00102051i, -0.01111962-0.00141299i, +0.00397822-0.00225960i, -0.00790920+0.00162203i, +0.00408704-0.00975793i, -0.00001927-0.00211526i, -0.00222381-0.01201694i, +0.04244422-0.00000000i, -0.00369888+0.00860934i, +0.00471690+0.00116663i, +0.00935425-0.00818641i, +0.02155976+0.02125147i, +0.00081903-0.01184240i, -0.00320700+0.00317250i, -0.00302865+0.00658325i, -0.00182649-0.00292685i, +0.00672822-0.00487572i, -0.00699826+0.01163456i, -0.00563769-0.00565581i, +0.01660591+0.00683165i, -0.00305640+0.00295929i, +0.00561044+0.00087427i, +0.00742640-0.00490134i, +0.01012962+0.00909018i, +0.00521308+0.00751452i, -0.00174657+0.00448566i, +0.00895495+0.00268529i, -0.01072534-0.00404510i, +0.00879531-0.00277181i, +0.01115212+0.01121380i, +0.01018011-0.00029361i, -0.01841755+0.00532842i
+0.00130417+0.00313600i, +0.00197722+0.00745726i, -0.00282055+0.00109934i, +0.00364942+0.00420335i, -0.01376899+0.00429695i, -0.00081278-0.00013710i, -0.00622532+0.00222675i, -0.00369888-0.00860934i, +0.03138287+0.00000000i, -0.00095729-0.00708464i, -0.00773470-0.00662169i, +0.00489463-0.01440790i, -0.00838791+0.00457375i, +0.00538070+0.00041466i, +0.00523106-0.00152673i, -0.00114806+0.00043001i, -0.00327593-0.00394311i, +0.00806791+0.00082514i, -0.00180809+0.00672642i, -0.00057892-0.01217764i, +0.00076171+0.00136016i, -0.00261903-0.00263269i, -0.00564069-0.00466706i, +0.00345005-0.00677867i, +0.00216021-0.00473585i, +0.00167600+0.00063374i, -0.00021782-0.00652928i, +0.00117038+0.00946315i, -0.00304584-0.00600021i, +0.00300820-0.00858119i, -0.00519186-0.00675137i, +0.00742299+0.00925727i
-0.00001008+0.00007949i, -0.00659044+0.00065920i, +0.00075221-0.00179787i, -0.00173902+0.00324784i, +0.00087571-0.00415117i, -0.00474486+0.00376710i, +0.00049606-0.00274787i, +0.00471690-0.00116663i, -0.00095729+0.00708464i, +0.02962277-0.00000000i, +0.00310140-0.00330377i, +0.00929422+0.00458506i, -0.00190071-0.00747914i, -0.00171500+0.00352832i, +0.00056295+0.00229990i, -0.00191101-0.00034380i, +0.00179366-0.00318179i, -0.00202202+0.00429679i, -0.00366953-0.00064243i, +0.00687422+0.00176703i, -0.00185119+0.00025629i, -0.00249368-0.00085198i, +0.00247162-0.00160146i, +0.00358350+0.00390324i, +0.00232177+0.00306210i, +0.00054011+0.00335258i, +0.00385851+0.00029912i, -0.00767167-0.00131494i, +0.00230720-0.00121790i, +0.00626750+0.00209977i, +0.00436856-0.00253857i, -0.00506421+0.00248677i
-0.00261751+0.00062680i, -0.00781184-0.00726130i, +0.00008660-0.00041106i, -0.00763569-0.00269096i, +0.00874986-0.00743073i, +0.00249187+0.00009732i, +0.00786611-0.00793464i, +0.00935425+0.00818641i, -0.00773470+0.00662169i, +0.00310140+0.00330377i, +0.03427828+0.00000000i, -0.00169218+0.02240600i, +0.00847570-0.00927839i, -0.00296436+0.00194413i, -0.00358158+0.00244723i, -0.00393318-0.00161516i, +0.00770783-0.00061122i, -0.01062308+0.00301876i, -0.00114268-0.00947618i, +0.00597402+0.01399146i, -0.00384313-0.00113110i, +0.00314816+0.00306622i, +0.01122253+0.00026864i, -0.00006488+0.00987577i, +0.00018297+0.00837982i, -0.00365784+0.00421396i, +0.00387424+0.00782213i, -0.00502930-0.00895142i, +0.00714301+0.00319921i, +0.00302706+0.01245876i, +0.00603929+0.00620983i, -0.01223996-0.00681664i
