+0.03522691+0.00000000i, -0.00274651-0.00141833i, +0.00109966+0.00092178i, +0.00193923+0.00118403i, -0.00177415+0.00081611i, -0.00056198+0.00191178i, +0.00002903+0.00012627i, +0.00230163+0.00071054i, -0.00121614-0.00144516i, -0.00138466+0.00021443i, -0.00040934-0.00026527i, +0.00073196+0.00141342i, +0.00141431+0.00108329i, +0.00024866-0.00097515i, -0.00017431-0.00037988i, -0.00000839+0.00265700i, -0.00140852-0.00021646i, -0.00005148-0.00199779i, -0.00100633+0.00218609i, -0.00052346+0.00177675i, +0.00165474+0.00050442i, +0.00105466+0.00067039i, -0.00064411-0.00112481i, +0.00058414+0.00116542i, -0.00032864+0.00079617i, -0.00008238+0.00148275i, +0.00307023+0.00085435i, +0.00030029+0.00078551i, -0.00030823-0.00183069i, -0.00061492-0.00009827i, -0.00049752+0.00122099i, +0.00247374-0.00031174i
-0.00274651+0.00141833i, +0.03396026-0.00000000i, -0.00091625-0.00048952i, -0.00163292-0.00116879i, +0.00070415-0.00079212i, -0.00036950-0.00136229i, -0.00017259+0.00024389i, -0.00178803-0.00027118i, +0.00111924+0.00068710i, +0.00114699-0.00066927i, +0.00076153-0.00019658i, -0.00079225-0.00106101i, -0.00127875-0.00085659i, -0.00012601+0.00107924i, +0.00088017+0.00022574i, +0.00026096-0.00238613i, +0.00189333+0.00043257i, +0.00048393+0.00249639i, -0.00004930-0.00243999i, +0.00063434-0.00151173i, -0.00162432-0.00046202i, -0.00082753-0.00021508i, +0.00079922+0.00063294i, -0.00078215-0.00075037i, +0.00012875-0.00089631i, -0.00001995-0.00072874i, -0.00251140-0.00057610i, -0.00037538-0.00032875i, +0.00037518+0.00117973i, +0.00065866-0.00018245i, -0.00016022-0.00090248i, -0.00230734+0.00066972i
+0.00109966-0.00092178i, -0.00091625+0.00048952i, +0.03043664-0.00000000i, +0.00010508-0.00045923i, +0.00007612+0.00038080i, +0.00014643-0.00005853i, +0.00036911-0.00043633i, +0.00035127-0.00026734i, -0.00017578+0.00004191i, -0.00038703+0.00002000i, -0.00043190-0.00004160i, -0.00003069+0.00001253i, +0.00044090-0.00017546i, +0.00005937+0.00014164i, -0.00012836-0.00052756i, +0.00055938+0.00034965i, -0.00032542+0.00011617i, -0.00061396-0.00046775i, +0.00026978+0.00093041i, -0.00005118+0.00049571i, +0.00028239-0.00021170i, +0.00006235-0.00003923i, -0.00020668+0.00026468i, +0.00057403+0.00005916i, -0.00017951+0.00052607i, +0.00017818+0.00011418i, +0.00049292-0.00009165i, +0.00019269+0.00004340i, -0.00024915-0.00043865i, -0.00002902+0.00037980i, +0.00033277+0.00091246i, +0.00052098-0.00032982i
+0.00193923-0.00118403i, -0.00163292+0.00116879i, +0.00010508+0.00045923i, +0.03126107+0.00000000i, -0.00021814+0.00034253i, +0.00098377+0.00110210i, -0.00007867+0.00007194i, +0.00169153-0.00066143i, -0.00097566+0.00001782i, -0.00037698+0.00032679i, -0.00005457+0.00004605i, +0.00033441+0.00066567i, +0.00108093+0.00018919i, -0.00022240-0.00006654i, -0.00006572-0.00015705i, +0.00046910+0.00091715i, -0.00086066-0.00008244i, -0.00070442-0.00067591i, +0.00013916+0.00121714i, +0.00024210+0.00156839i, +0.00104298-0.00013170i, +0.00018393-0.00020453i, -0.00081206-0.00007690i, +0.00049830+0.00027864i, +0.00040961+0.00048906i, +0.00023894+0.00050265i, +0.00166677-0.00014725i, +0.00024226+0.00025310i, -0.00043913-0.00075865i, -0.00085014-0.00003540i, -0.00016507+0.00038478i, +0.00114656-0.00074474i
-0.00177415-0.00081611i, +0.00070415+0.00079212i, +0.00007612-0.00038080i, -0.00021814-0.00034253i, +0.03033373-0.00000000i, +0.00025992-0.00140919i, -0.00025552+0.00025169i, -0.00025204-0.00047975i, +0.00072053+0.00046465i, +0.00053917+0.00016926i, +0.00014544+0.00032854i, +0.00037554-0.00106615i, -0.00019202-0.00060992i, -0.00021154+0.00059445i, +0.00003562+0.00041759i, +0.00064628-0.00051584i, -0.00012605+0.00049485i, -0.00045865+0.00104226i, +0.00045938-0.00092261i, +0.00039299-0.00040617i, -0.00042405-0.00030373i, -0.00037817-0.00022064i, -0.00024669+0.00096740i, -0.00016924-0.00055844i, +0.00010375-0.00020960i, +0.00034199-0.00059389i, -0.00059199-0.00088092i, +0.00033418-0.00039598i, -0.00049550+0.00040891i, +0.00029746-0.00004202i, +0.00039889-0.00031605i, -0.00058067-0.00044141i
-0.00056198-0.00191178i, -0.00036950+0.00136229i, +0.00014643+0.00005853i, +0.00098377-0.00110210i, +0.00025992+0.00140919i, +0.03109985+0.00000000i, -0.00013765-0.00023552i, +0.00020139-0.00103323i, -0.00058567+0.00118469i, +0.00073816+0.00088024i, +0.00026960-0.00002006i, +0.00053914-0.00048357i, +0.00073787-0.00138780i, -0.00064157+0.00034046i, -0.00039388+0.00053366i, +0.00154809-0.00047809i, -0.00026251+0.00120677i, -0.00123126-0.00007884i, +0.00167317-0.00013107i, +0.00134437+0.00025824i, +0.00033381-0.00116590i, -0.00007621+0.00020724i, -0.00037943+0.00009507i, +0.00066357-0.00057114i, +0.00059626+0.00023717i, +0.00078620-0.00020196i, +0.00000007-0.00209326i, -0.00003466+0.00027879i, -0.00069057+0.00009445i, -0.00024445+0.00016622i, +0.00085033+0.00016448i, -0.00060284-0.00138453i
+0.00002903-0.00012627i, -0.00017259-0.00024389i, +0.00036911+0.00043633i, -0.00007867-0.00007194i, -0.00025552-0.00025169i, -0.00013765+0.00023552i, +0.02976903-0.00000000i, -0.00028200-0.00037998i, -0.00002767-0.00035385i, +0.00033873-0.00029235i, -0.00001117+0.00011452i, -0.00002566-0.00016989i, +0.00035999-0.00028321i, +0.00005795-0.00007541i, +0.00006263+0.00026017i, -0.00024588-0.00010350i, +0.00013555-0.00009356i, +0.00007672+0.00013608i, -0.00020310+0.00027219i, -0.00006590+0.00009594i, +0.00032075-0.00024259i, +0.00002146-0.00002821i, +0.00035616+0.00051791i, +0.00010155+0.00004645i, -0.00033361-0.00036120i, +0.00022649+0.00035740i, -0.00025998-0.00034836i, +0.00000766-0.00002867i, -0.00024143+0.00042782i, -0.00011839+0.00008859i, -0.00013069+0.00011069i, +0.00002362+0.00032926i
+0.00230163-0.00071054i, -0.00178803+0.00027118i, +0.00035127+0.00026734i, +0.00169153+0.00066143i, -0.00025204+0.00047975i, +0.00020139+0.00103323i, -0.00028200+0.00037998i, +0.03175827+0.00000000i, -0.00065763-0.00081061i, -0.00029391+0.00108120i, -0.00004530+0.00010550i, +0.00030892+0.00042226i, +0.00106348+0.00079430i, +0.00004821-0.00009440i, -0.00005700+0.00006364i, +0.00057704+0.00182857i, -0.00130359-0.00006273i, -0.00027098-0.00078719i, +0.00007913+0.00115272i, -0.00017188+0.00140786i, +0.00100564-0.00005829i, +0.00097804-0.00009327i, -0.00067157-0.00005415i, +0.00082840+0.00097834i, -0.00015350+0.00038900i, +0.00023110+0.00093902i, +0.00178975-0.00034620i, +0.00064894+0.00060881i, -0.00032181-0.00087127i, -0.00050360+0.00002819i, +0.00035948+0.00095698i, +0.00097251-0.00138333i
-0.00121614+0.00144516i, +0.00111924-0.00068710i, -0.00017578-0.00004191i, -0.00097566-0.00001782i, +0.00072053-0.00046465i, -0.00058567-0.00118469i, -0.00002767+0.00035385i, -0.00065763+0.00081061i, +0.03102976+0.00000000i, +0.00098301-0.00153383i, +0.00085583-0.00027205i, -0.00038782-0.00027192i, -0.00116853-0.00011998i, +0.00090116+0.00079065i, +0.00025788-0.00003479i, -0.00028277-0.00110567i, +0.00121846-0.00020162i, +0.00056133+0.00062381i, -0.00026246-0.00117938i, -0.00051022-0.00115540i, -0.00096139+0.00027084i, -0.00063181+0.00021993i, +0.00021214+0.00062266i, -0.00040138-0.00004961i, -0.00035205-0.00073939i, -0.00052849-0.00007431i, -0.00121732+0.00030620i, -0.00048285-0.00023990i, +0.00036856+0.00060514i, +0.00045197-0.00009215i, -0.00037134-0.00047146i, -0.00031520+0.00091827i
-0.00138466-0.00021443i, +0.00114699+0.00066927i, -0.00038703-0.00002000i, -0.00037698-0.00032679i, +0.00053917-0.00016926i, +0.00073816-0.00088024i, +0.00033873+0.00029235i, -0.00029391-0.00108120i, +0.00098301+0.00153383i, +0.03100201-0.00000000i, +0.00010227-0.00037215i, -0.00012650-0.00106534i, -0.00045917-0.00102044i, -0.00104577+0.00086956i, +0.00042728+0.00060930i, +0.00052796-0.00166452i, +0.00068687+0.00032336i, +0.00035653+0.00100940i, +0.00069972-0.00078746i, +0.00064401-0.00093519i, -0.00020947-0.00062520i, -0.00082232-0.00034386i, +0.00093504+0.00038876i, -0.00056732-0.00039525i, +0.00048177-0.00035671i, +0.00027789-0.00103525i, -0.00129298-0.00065320i, +0.00016836-0.00047863i, -0.00037936+0.00065983i, +0.00035024+0.00059162i, +0.00027506-0.00032170i, -0.00102337+0.00030686i
-0.00040934+0.00026527i, +0.00076153+0.00019658i, -0.00043190+0.00004160i, -0.00005457-0.00004605i, +0.00014544-0.00032854i, +0.00026960+0.00002006i, -0.00001117-0.00011452i, -0.00004530-0.00010550i, +0.00085583+0.00027205i, +0.00010227+0.00037215i, +0.02977490+0.00000000i, -0.00036471-0.00010189i, +0.00001556-0.00032193i, -0.00001201+0.00038257i, -0.00000118-0.00011903i, +0.00011204-0.00051087i, +0.00052522+0.00024681i, -0.00021645+0.00022393i, +0.00017326-0.00089287i, -0.00012829-0.00037317i, -0.00054283-0.00040904i, -0.00007343-0.00013461i, +0.00029694+0.00036641i, +0.00042271-0.00025503i, -0.00037110-0.00028589i, +0.00008684-0.00004311i, -0.00041130-0.00032116i, +0.00018042+0.00004032i, +0.00056270+0.00025398i, +0.00020159+0.00007832i, -0.00020940-0.00038551i, -0.00040568-0.00020572i
