+0.03100676+0.00000000i, -0.00038742+0.00007335i, +0.00044164-0.00008636i, -0.00067654+0.00012122i, +0.00014791+0.00009550i, -0.00009537-0.00005188i, -0.00009814+0.00004578i, -0.00004458+0.00002691i, +0.00030470-0.00017013i, +0.00000161+0.00009019i, -0.00019230-0.00030746i, +0.00006313+0.00016530i, +0.00011771-0.00019090i, -0.00000782-0.00002878i, -0.00000204-0.00007173i, -0.00018723-0.00010252i, -0.00006218-0.00021445i, +0.00043180-0.00065898i, +0.00005979-0.00015818i, -0.00006978+0.00012727i, -0.00012267-0.00007081i, +0.00037481+0.00008997i, +0.00010347-0.00011064i, +0.00008731-0.00014604i, -0.00009653+0.00006038i, -0.00031913-0.00038515i, -0.00022980+0.00019511i, +0.00009965-0.00026941i, -0.00020198+0.00009413i, +0.00017421-0.00022151i, +0.00013252-0.00003559i, +0.00000428+0.00003606i
-0.00038742-0.00007335i, +0.03187644+0.00000000i, -0.00065427+0.00076333i, +0.00043884-0.00089675i, -0.00044285-0.00000571i, -0.00018423+0.00008430i, -0.00037125-0.00030862i, -0.00011091-0.00010709i, +0.00055711+0.00062811i, -0.00097926-0.00044066i, +0.00072377-0.00023364i, -0.00031288+0.00006833i, -0.00083678+0.00046753i, -0.00045802-0.00034930i, -0.00022295-0.00023254i, -0.00008636-0.00070623i, +0.00005220-0.00040967i, +0.00094356+0.00113665i, -0.00000089-0.00047199i, -0.00026784-0.00043477i, -0.00020313-0.00004873i, -0.00073734+0.00024654i, -0.00037707+0.00024335i, +0.00004346+0.00024411i, +0.00018049+0.00029671i, +0.00060389-0.00071259i, -0.00060346-0.00026155i, -0.00005239+0.00023178i, +0.00036608-0.00036159i, +0.00063677+0.00045809i, +0.00019335+0.00043943i, -0.00017517+0.00002076i
+0.00044164+0.00008636i, -0.00065427-0.00076333i, +0.03158803+0.00000000i, -0.00101590-0.00021483i, -0.00029418+0.00004245i, -0.00046598-0.00015960i, -0.00018439-0.00028440i, +0.00001007+0.00035984i, +0.00074814-0.00039150i, -0.00017958+0.00067853i, -0.00022891-0.00106076i, -0.00004008+0.00012912i, +0.00030365+0.00105691i, -0.00022852+0.00018638i, -0.00003327+0.00013854i, -0.00035524+0.00012221i, -0.00045793+0.00007811i, +0.00110627-0.00093745i, +0.00004206+0.00006665i, -0.00001768+0.00009938i, +0.00006811+0.00005502i, +0.00055551+0.00050976i, +0.00019076+0.00000573i, +0.00029302-0.00019413i, +0.00036102-0.00004931i, -0.00049331-0.00082716i, -0.00038500+0.00056665i, +0.00016196+0.00004517i, -0.00034083-0.00035320i, +0.00017459-0.00072759i, +0.00065591-0.00066520i, -0.00003332+0.00030292i
-0.00067654-0.00012122i, +0.00043884+0.00089675i, -0.00101590+0.00021483i, +0.03173293+0.00000000i, -0.00046124-0.00038444i, +0.00043488+0.00013275i, +0.00035550-0.00008870i, +0.00024585-0.00009763i, -0.00076129+0.00071739i, +0.00013574-0.00064115i, +0.00049888+0.00075390i, -0.00032239-0.00034665i, -0.00050946-0.00079412i, +0.00018148-0.00072059i, +0.00019495-0.00033829i, +0.00095212-0.00016221i, +0.00036875-0.00016930i, -0.00113611+0.00129124i, +0.00002755-0.00011951i, +0.00022551-0.00002038i, -0.00014092-0.00005646i, -0.00044342-0.00048073i, +0.00000797-0.00005724i, -0.00006906+0.00030843i, -0.00023047+0.00017505i, +0.00074623+0.00051578i, +0.00016633-0.00066691i, -0.00034989+0.00003309i, +0.00050733+0.00032677i, +0.00000897+0.00063945i, -0.00045971+0.00028448i, +0.00017996-0.00055280i
+0.00014791-0.00009550i, -0.00044285+0.00000571i, -0.00029418-0.00004245i, -0.00046124+0.00038444i, +0.03055845-0.00000000i, +0.00021345+0.00032113i, -0.00037042+0.00062731i, +0.00036655-0.00005009i, -0.00011688-0.00054588i, +0.00012045+0.00024201i, -0.00036112+0.00012609i, +0.00019964-0.00001881i, +0.00041145-0.00033367i, +0.00030500+0.00016252i, -0.00004217+0.00016031i, +0.00014940+0.00022835i, -0.00032439+0.00016250i, -0.00039246-0.00050151i, +0.00006408-0.00014713i, +0.00011647+0.00022560i, +0.00011690-0.00026301i, +0.00017332+0.00005896i, -0.00001184+0.00029659i, +0.00006729-0.00009295i, +0.00000512-0.00006285i, -0.00044351+0.00032106i, -0.00002021+0.00019203i, +0.00000692-0.00013824i, -0.00052239+0.00026042i, -0.00030945-0.00015040i, +0.00001702-0.00023450i, -0.00006052-0.00004859i
-0.00009537+0.00005188i, -0.00018423-0.00008430i, -0.00046598+0.00015960i, +0.00043488-0.00013275i, +0.00021345-0.00032113i, +0.03093425+0.00000000i, +0.00061306-0.00012433i, -0.00036249-0.00033815i, -0.00035086+0.00012098i, +0.00016879-0.00060398i, +0.00001205+0.00014449i, -0.00018361-0.00024956i, -0.00001884-0.00033330i, +0.00019368-0.00056782i, +0.00004272-0.00030584i, +0.00017187-0.00018259i, +0.00006587+0.00005472i, -0.00063596+0.00036898i, +0.00005991-0.00011114i, +0.00009334-0.00025935i, -0.00012226-0.00007149i, -0.00012337-0.00042134i, +0.00004651-0.00009909i, +0.00005801+0.00002875i, -0.00020895-0.00011028i, +0.00009150+0.00054444i, +0.00014742-0.00023447i, +0.00016789+0.00006651i, +0.00014839+0.00017592i, -0.00058730+0.00013770i, -0.00028467+0.00006774i, +0.00022136-0.00023806i
-0.00009814-0.00004578i, -0.00037125+0.00030862i, -0.00018439+0.00028440i, +0.00035550+0.00008870i, -0.00037042-0.00062731i, +0.00061306+0.00012433i, +0.03070182+0.00000000i, +0.00012518-0.00012309i, -0.00052819-0.00013659i, +0.00005888-0.00031704i, -0.00001275+0.00055899i, +0.00013721-0.00023167i, -0.00002396-0.00044785i, +0.00013346-0.00019371i, +0.00053189-0.00041013i, +0.00020214-0.00001741i, +0.00019390+0.00018877i, -0.00045263+0.00025168i, +0.00024826+0.00017635i, +0.00009675+0.00000306i, +0.00011619-0.00000640i, +0.00008731-0.00029603i, -0.00013760-0.00030869i, +0.00012834+0.00007477i, -0.00023221+0.00009960i, +0.00027370+0.00032807i, +0.00040267-0.00058011i, -0.00008760+0.00000251i, -0.00004990+0.00023594i, -0.00035224+0.00005128i, -0.00067041+0.00001132i, +0.00013926-0.00012808i
-0.00004458-0.00002691i, -0.00011091+0.00010709i, +0.00001007-0.00035984i, +0.00024585+0.00009763i, +0.00036655+0.00005009i, -0.00036249+0.00033815i, +0.00012518+0.00012309i, +0.03031527+0.00000000i, -0.00008889-0.00001694i, +0.00015716-0.00008358i, -0.00000197-0.00004692i, -0.00025066+0.00009753i, +0.00005351-0.00014331i, +0.00005965+0.00000888i, +0.00003091+0.00032154i, -0.00006849-0.00014554i, +0.00009441+0.00016718i, -0.00000124-0.00004513i, -0.00011744-0.00010832i, +0.00001781+0.00000126i, +0.00009652-0.00000352i, +0.00021294-0.00000270i, -0.00004340-0.00021035i, +0.00001489-0.00009683i, +0.00002769+0.00003998i, -0.00010955+0.00010466i, -0.00004244-0.00000747i, +0.00010577-0.00039701i, -0.00014180-0.00009592i, +0.00015785-0.00010603i, -0.00014587-0.00007830i, -0.00018957-0.00000137i
+0.00030470+0.00017013i, +0.00055711-0.00062811i, +0.00074814+0.00039150i, -0.00076129-0.00071739i, -0.00011688+0.00054588i, -0.00035086-0.00012098i, -0.00052819+0.00013659i, -0.00008889+0.00001694i, +0.03172418+0.00000000i, -0.00073766+0.00107768i, +0.00043596-0.00120333i, -0.00028122+0.00049282i, -0.00007016+0.00159463i, -0.00039887+0.00019943i, -0.00021337-0.00041407i, -0.00075811-0.00024141i, -0.00038844-0.00069628i, +0.00171263-0.00013115i, -0.00022834-0.00008181i, -0.00042221+0.00007750i, -0.00002523+0.00006456i, -0.00008253+0.00094272i, -0.00036971+0.00033281i, +0.00032340-0.00017666i, +0.00064165+0.00041580i, -0.00059658-0.00112690i, -0.00078989+0.00080538i, +0.00037318-0.00008532i, -0.00030390-0.00118641i, +0.00082068-0.00039572i, +0.00082804-0.00015331i, -0.00011715+0.00037787i
+0.00000161-0.00009019i, -0.00097926+0.00044066i, -0.00017958-0.00067853i, +0.00013574+0.00064115i, +0.00012045-0.00024201i, +0.00016879+0.00060398i, +0.00005888+0.00031704i, +0.00015716+0.00008358i, -0.00073766-0.00107768i, +0.03175734-0.00000000i, -0.00116253+0.00045758i, +0.00030892-0.00031432i, +0.00084762-0.00061753i, +0.00047696+0.00023189i, +0.00032099-0.00009197i, +0.00043763+0.00040473i, +0.00003703+0.00044806i, -0.00120832-0.00089227i, +0.00011689+0.00034653i, +0.00035202+0.00011669i, +0.00014981-0.00007408i, +0.00062584-0.00050832i, +0.00017035-0.00010743i, -0.00024881-0.00009045i, -0.00021659-0.00046761i, -0.00063121+0.00087510i, +0.00057158+0.00018415i, -0.00022963-0.00010537i, -0.00034213+0.00043040i, -0.00062385-0.00018345i, -0.00045752-0.00036284i, +0.00012400+0.00006679i
-0.00019230+0.00030746i, +0.00072377+0.00023364i, -0.00022891+0.00106076i, +0.00049888-0.00075390i, -0.00036112-0.00012609i, +0.00001205-0.00014449i, -0.00001275-0.00055899i, -0.00000197+0.00004692i, +0.00043596+0.00120333i, -0.00116253-0.00045758i, +0.03139710+0.00000000i, -0.00073939+0.00003475i, -0.00116804+0.00017595i, -0.00010781-0.00037097i, -0.00012178-0.00043724i, -0.00022098-0.00059559i, +0.00004298-0.00050399i, +0.00069872+0.00132131i, +0.00012979-0.00059763i, -0.00010746-0.00020899i, +0.00014955-0.00007312i, -0.00087712+0.00000820i, -0.00046507+0.00004958i, +0.00010223+0.00003431i, +0.00001234+0.00031741i, +0.00081436-0.00038295i, -0.00056304-0.00044167i, +0.00017416+0.00038607i, +0.00066448-0.00029994i, +0.00052116+0.00047390i, +0.00007904+0.00059276i, -0.00012543+0.00008098i
+0.00006313-0.00016530i, -0.00031288-0.00006833i, -0.00004008-0.00012912i, -0.00032239+0.00034665i, +0.00019964+0.00001881i, -0.00018361+0.00024956i, +0.00013721+0.00023167i, -0.00025066-0.00009753i, -0.00028122-0.00049282i, +0.00030892+0.00031432i, -0.00073939-0.00003475i, +0.03034157+0.00000000i, +0.00065769-0.00018623i, -0.00009283-0.00006045i, -0.00017182-0.00025374i, +0.00011811+0.00015591i, +0.00027408+0.00033025i, +0.00000618-0.00081722i, +0.00002545+0.00038112i, -0.00005477+0.00012655i, +0.00001426+0.00003542i, +0.00019738+0.00009886i, +0.00001121+0.00003469i, -0.00035390-0.00006174i, +0.00015026-0.00019801i, -0.00044228-0.00014154i, +0.00043648+0.00026317i, +0.00012868-0.00025670i, -0.00027195+0.00019724i, -0.00019325-0.00051576i, -0.00018507-0.00011743i, +0.00014109+0.00000151i
