+0.02626908+0.00000000i, +0.01372696-0.00758752i, +0.00099117+0.00276886i, -0.01010784+0.00937241i, -0.00080087+0.00195741i, +0.00132560-0.00821403i, -0.00533777+0.00363264i, +0.00480691+0.00796743i, -0.00351409-0.00858938i, +0.00109447-0.00228406i, -0.00219887+0.00762972i, +0.00946086+0.00063363i, +0.00995241+0.00107277i, +0.00965041+0.00303107i, -0.00271669-0.00255382i, +0.00250480+0.00348082i, -0.00173416-0.00278943i, +0.00141201-0.00129948i, -0.00247608+0.00834285i, +0.00374993+0.00020280i, -0.00561717+0.00505414i, -0.00429063+0.00340625i, +0.00739444+0.00272477i, +0.00166267-0.00155904i, +0.00883052-0.00493040i, +0.00525052-0.00969782i, +0.00554623+0.00082237i, +0.00120467+0.00605841i, -0.00518325+0.00392098i, +0.00649906+0.00657732i, -0.00026370-0.00526603i, -0.00456330+0.00204994i
+0.01372696+0.00758752i, +0.06471619+0.00000000i, -0.00433264+0.00934957i, -0.03286813+0.00330309i, -0.01083106+0.00641396i, +0.01401096-0.01979000i, -0.01468573+0.00480148i, -0.00571431+0.02711961i, -0.00017592-0.01751932i, +0.00656038-0.00278217i, -0.01537791+0.01576177i, +0.02334431+0.01200462i, +0.02102029+0.00317814i, +0.02406700+0.02326620i, -0.00363408-0.00671825i, +0.00585600+0.01343937i, -0.00598742-0.00371390i, +0.00439564-0.00528002i, -0.01628232+0.01828777i, +0.00958086+0.00267682i, -0.01371345+0.00744827i, -0.01917871+0.00281478i, +0.01395059+0.01588039i, +0.00312374+0.00012245i, +0.00482227+0.00797204i, +0.02989480-0.02076412i, +0.00783545+0.00667660i, -0.00763221+0.01800357i, -0.01374022-0.00550128i, +0.00497848+0.02904846i, +0.00130409-0.00993279i, -0.01297926-0.00331591i
+0.00099117-0.00276886i, -0.00433264-0.00934957i, +0.02085077+0.00000000i, +0.00537271+0.00114170i, +0.00578424+0.00145544i, -0.00476279+0.00222516i, +0.00294440-0.00244349i, +0.00511655-0.00253635i, -0.00296077+0.00345272i, +0.00187707+0.00003562i, +0.00386938-0.00100167i, -0.00264858-0.00576670i, -0.00139716-0.00262626i, -0.00067817-0.00334289i, -0.00097131-0.00108732i, +0.00167790-0.00324320i, +0.00050088+0.00173600i, -0.00048437-0.00032671i, +0.00514861-0.00273216i, -0.00243068-0.00207432i, +0.00270868+0.00041044i, +0.00362917+0.00204038i, +0.00065338-0.00461237i, -0.00036739-0.00031940i, +0.00114082-0.00265526i, -0.00674175-0.00253097i, +0.00403232-0.00701805i, +0.00327331-0.00303377i, +0.00066236+0.00477301i, +0.00362342-0.00583108i, -0.00106736+0.00128983i, +0.00138069+0.00338203i
-0.01010784-0.00937241i, -0.03286813-0.00330309i, +0.00537271-0.00114170i, +0.04600143+0.00000000i, +0.00703769-0.00454274i, -0.01801202+0.01130568i, +0.01273760-0.00155357i, +0.00692426-0.02396760i, -0.00233308+0.01344286i, -0.00751820+0.00149232i, +0.01318863-0.01025421i, -0.01629259-0.01589550i, -0.01575250-0.00358168i, -0.01710232-0.01941404i, +0.00056082+0.00636085i, -0.00349089-0.00812389i, +0.00240330+0.00439364i, -0.00343618+0.00179546i, +0.01598114-0.01390234i, -0.00788932-0.00605145i, +0.01184291-0.00408180i, +0.01412287-0.00019786i, -0.00935489-0.01315153i, -0.00236563-0.00165855i, -0.00359331-0.00674244i, -0.02137533+0.01009363i, -0.00370235-0.00746370i, +0.01151260-0.01857631i, +0.00971510+0.00596037i, -0.00089799-0.02255380i, -0.00164905+0.00780870i, +0.00984671+0.00539082i
-0.00080087-0.00195741i, -0.01083106-0.00641396i, +0.00578424-0.00145544i, +0.00703769+0.00454274i, +0.02094869+0.00000000i, -0.00337324+0.00172726i, +0.00704269+0.00159803i, +0.00931542-0.00780988i, -0.00219741+0.00715026i, -0.00113002-0.00250694i, +0.00661708-0.00279358i, -0.00592055-0.00619098i, -0.00559061-0.00301792i, -0.00268835-0.00854090i, -0.00063139+0.00072159i, -0.00085958-0.00491731i, +0.00148464+0.00236175i, -0.00186972+0.00027162i, +0.00696952-0.00369898i, -0.00329361-0.00236781i, +0.00515357-0.00170570i, +0.00682104+0.00223297i, -0.00184751-0.00757942i, -0.00138512-0.00044898i, +0.00036014-0.00287382i, -0.00936627-0.00049644i, +0.00122337-0.00391224i, +0.00497413-0.00410926i, -0.00012711+0.00772469i, +0.00315365-0.00849740i, -0.00441500+0.00322081i, +0.00274644+0.00480415i
+0.00132560+0.00821403i, +0.01401096+0.01979000i, -0.00476279-0.00222516i, -0.01801202-0.01130568i, -0.00337324-0.00172726i, +0.03814135-0.00000000i, -0.00968329-0.00804149i, -0.01430555+0.00730520i, +0.00707300-0.00567413i, +0.00466242+0.00363235i, -0.01244463-0.00127978i, +0.00150760+0.01841665i, +0.00645860+0.00885597i, +0.00104608+0.02097672i, +0.00328434-0.00609375i, -0.00378850+0.00437537i, -0.00014287-0.00377984i, +0.00405959+0.00208154i, -0.01342625+0.00043717i, +0.00289799+0.00654206i, -0.01051314-0.00314344i, -0.00806343-0.00902340i, -0.00189790+0.01132587i, +0.00078068+0.00256328i, -0.00132594+0.00488810i, +0.01623229+0.00419501i, -0.00108924+0.00621426i, -0.01158847+0.00551588i, -0.00253490-0.00900735i, -0.01328488+0.01731356i, +0.00492379-0.00246982i, -0.00175664-0.00781363i
-0.00533777-0.00363264i, -0.01468573-0.00480148i, +0.00294440+0.00244349i, +0.01273760+0.00155357i, +0.00704269-0.00159803i, -0.00968329+0.00804149i, +0.02681820+0.00000000i, +0.00616353-0.01144862i, -0.00144675+0.00731923i, -0.00459120+0.00151340i, +0.00735105-0.00874619i, -0.00778222-0.00754699i, -0.00785636-0.00364875i, -0.00947649-0.01114295i, +0.00113755+0.00683794i, -0.00089442-0.00428059i, +0.00188531+0.00280029i, -0.00278515+0.00143647i, +0.00681126-0.00707020i, -0.00397911-0.00208941i, +0.00701713-0.00248043i, +0.00838806+0.00111779i, -0.00404897-0.01046377i, -0.00167620-0.00100270i, -0.00256030-0.00179909i, -0.01049332+0.00276594i, +0.00019549-0.00416064i, +0.00495495-0.00646100i, +0.00378556+0.00450939i, +0.00156593-0.01082289i, -0.00659299+0.00976796i, +0.00532552+0.00372619i
+0.00480691-0.00796743i, -0.00571431-0.02711961i, +0.00511655+0.00253635i, +0.00692426+0.02396760i, +0.00931542+0.00780988i, -0.01430555-0.00730520i, +0.00616353+0.01144862i, +0.04344999+0.00000000i, -0.01233374+0.00241896i, -0.00209496-0.00996666i, +0.01277955+0.00728536i, +0.00482998-0.02378682i, -0.00055404-0.01489469i, +0.01034600-0.01797508i, -0.00509481+0.00146924i, +0.00538215-0.00298516i, -0.00176608+0.00299644i, -0.00359391-0.00397164i, +0.01436775+0.00827151i, +0.00005532-0.01013203i, +0.00736187+0.00919313i, +0.00558745+0.01165522i, +0.01066686-0.01322831i, -0.00131678-0.00612698i, +0.00533722-0.00463068i, -0.01263608-0.01531259i, +0.00509320-0.00515625i, +0.01499995+0.00104190i, -0.00305121+0.01026389i, +0.01814803-0.00844566i, -0.00859951+0.00069332i, -0.00709446+0.01563552i
-0.00351409+0.00858938i, -0.00017592+0.01751932i, -0.00296077-0.00345272i, -0.00233308-0.01344286i, -0.00219741-0.00715026i, +0.00707300+0.00567413i, -0.00144675-0.00731923i, -0.01233374-0.00241896i, +0.02374321-0.00000000i, +0.00264629+0.00272379i, -0.00983945-0.00770514i, -0.00818045+0.01297995i, -0.00084413+0.01263343i, -0.00806379+0.01080813i, +0.00337766-0.00095387i, -0.00465438+0.00215371i, +0.00677732-0.00370690i, +0.00069613+0.00136972i, -0.01041293-0.00770424i, -0.00198096+0.00599939i, -0.00453852-0.00682475i, -0.00165925-0.00825415i, -0.00795843+0.00722506i, +0.00006452+0.00190850i, -0.00395852+0.00377890i, +0.00666656+0.01338936i, -0.00397828+0.00250183i, -0.00792805-0.00314077i, +0.00292885-0.00572786i, -0.01208041+0.00250291i, +0.00513798+0.00108594i, +0.00237456-0.00552826i
+0.00109447+0.00228406i, +0.00656038+0.00278217i, +0.00187707-0.00003562i, -0.00751820-0.00149232i, -0.00113002+0.00250694i, +0.00466242-0.00363235i, -0.00459120-0.00151340i, -0.00209496+0.00996666i, +0.00264629-0.00272379i, +0.02844492-0.00000000i, -0.00267735+0.00582610i, +0.00359186+0.00335683i, +0.00616777+0.00037235i, +0.00369860+0.01144135i, +0.00183588-0.00293441i, +0.00164404-0.00229092i, +0.00053516-0.00095822i, +0.00738906-0.00357371i, -0.00337011+0.00317812i, +0.00315831+0.00076962i, -0.00410536+0.00074596i, -0.00409351+0.00000275i, +0.00265814+0.00355675i, +0.00214904+0.00026338i, -0.00005015+0.00338966i, +0.00675102+0.00056912i, +0.00064541+0.00177797i, -0.00227037+0.00319270i, -0.00264173-0.00134174i, +0.00104136+0.00502231i, +0.00110187-0.00241427i, -0.00262545-0.00240370i
-0.00219887-0.00762972i, -0.01537791-0.01576177i, +0.00386938+0.00100167i, +0.01318863+0.01025421i, +0.00661708+0.00279358i, -0.01244463+0.00127978i, +0.00735105+0.00874619i, +0.01277955-0.00728536i, -0.00983945+0.00770514i, -0.00267735-0.00582610i, +0.03231198+0.00000000i, -0.00281336-0.01615978i, -0.01147967-0.00967221i, -0.00012003-0.01700421i, -0.00237336+0.00489817i, +0.00150762-0.00658149i, -0.00030813+0.00364626i, -0.00163274-0.00127304i, +0.02069750-0.00352070i, -0.00351993-0.00497026i, +0.01065688+0.00071084i, +0.00832323+0.00553731i, +0.00151494-0.01377223i, -0.00077081-0.00086433i, +0.00125544-0.00523171i, -0.01423246-0.00331079i, +0.00022625-0.00458507i, +0.00870683-0.00524685i, +0.00302135+0.00711989i, +0.00780651-0.01164305i, -0.00622163+0.00312720i, +0.00321129+0.00604079i
