+0.03190574+0.00000000i, +0.00116444+0.00241693i, +0.00201289+0.00041698i, -0.00005700+0.00132788i, -0.00027371-0.00068011i, +0.00163280+0.00402128i, -0.00210570-0.00195968i, -0.00054779-0.00244246i, +0.00370967+0.00058788i, +0.00342430+0.00004480i, +0.00229646+0.00245843i, +0.00025961+0.00033576i, +0.00088058-0.00260133i, +0.00035725+0.00037328i, +0.00068593-0.00052660i, +0.00059629-0.00051472i, +0.00040534+0.00110646i, +0.00013129+0.00096252i, -0.00365186+0.00135887i, -0.00174425-0.00125494i, +0.00070968-0.00202319i, -0.00068165-0.00034295i, -0.00019326-0.00255954i, -0.00040906-0.00094070i, -0.00095572+0.00433032i, +0.00082083+0.00067339i, +0.00218059-0.00085339i, +0.00105074+0.00029130i, +0.00031040+0.00109175i, +0.00181847+0.00190914i, +0.00210256-0.00357103i, +0.00150636+0.00314798i
+0.00116444-0.00241693i, +0.03312883-0.00000000i, +0.00047288-0.00050457i, +0.00048030+0.00145156i, -0.00046102+0.00094581i, +0.00481272-0.00212344i, -0.00274563+0.00104165i, -0.00247703+0.00161105i, +0.00094301-0.00318534i, +0.00072600-0.00497969i, +0.00364456-0.00152333i, -0.00017469-0.00167635i, -0.00117489-0.00104732i, +0.00143537-0.00101310i, -0.00058603-0.00054961i, -0.00204858+0.00040589i, -0.00030709-0.00019997i, +0.00017965+0.00040522i, +0.00084843+0.00252068i, -0.00211804+0.00200964i, -0.00185844-0.00177717i, +0.00022649+0.00056399i, -0.00185449+0.00000510i, -0.00107760+0.00144665i, +0.00403668+0.00199825i, +0.00135370-0.00051499i, -0.00048044-0.00266993i, +0.00041109-0.00077170i, +0.00084114-0.00031673i, +0.00285754-0.00159218i, -0.00379705-0.00227678i, +0.00312521-0.00002514i
+0.00201289-0.00041698i, +0.00047288+0.00050457i, +0.03257071+0.00000000i, -0.00105672+0.00060670i, +0.00032272-0.00021797i, +0.00141762+0.00296314i, -0.00137665-0.00000936i, -0.00010264-0.00235234i, +0.00250944+0.00038541i, +0.00288422+0.00115795i, +0.00142742+0.00124990i, +0.00074713+0.00073373i, +0.00104882-0.00022043i, +0.00007638+0.00135769i, +0.00032995-0.00014131i, +0.00012866-0.00009377i, +0.00011656+0.00033666i, -0.00067975-0.00007359i, -0.00237239+0.00059608i, -0.00160401-0.00143190i, +0.00118701-0.00109325i, -0.00005713-0.00052564i, +0.00013890-0.00113196i, -0.00041519-0.00100025i, -0.00092339+0.00328774i, +0.00093166+0.00027280i, +0.00223377+0.00058978i, +0.00186726+0.00069304i, +0.00036798+0.00091596i, +0.00089350+0.00115691i, +0.00133948-0.00178824i, +0.00056775+0.00251982i
-0.00005700-0.00132788i, +0.00048030-0.00145156i, -0.00105672-0.00060670i, +0.02794106-0.00000000i, -0.00040599+0.00074381i, +0.00053723-0.00391466i, +0.00052202+0.00153370i, +0.00002685+0.00099413i, -0.00179395-0.00114474i, -0.00234973-0.00120005i, +0.00014352-0.00256072i, -0.00026176-0.00138667i, -0.00142397+0.00022420i, +0.00068393-0.00071842i, -0.00076955-0.00121504i, -0.00022236+0.00050298i, +0.00031740+0.00020791i, +0.00043925-0.00027258i, +0.00251989+0.00162927i, +0.00061177+0.00239049i, -0.00132208+0.00006858i, +0.00091326+0.00131229i, -0.00110221+0.00073634i, +0.00190250+0.00103345i, +0.00193692-0.00215311i, -0.00062715-0.00058770i, -0.00170821-0.00072924i, -0.00019463+0.00003436i, -0.00014458-0.00037403i, +0.00015966-0.00163673i, -0.00258398+0.00061012i, +0.00020439-0.00161775i
-0.00027371+0.00068011i, -0.00046102-0.00094581i, +0.00032272+0.00021797i, -0.00040599-0.00074381i, +0.02935742+0.00000000i, -0.00166371+0.00062723i, +0.00126023-0.00120042i, +0.00078514-0.00038935i, +0.00067470+0.00067315i, +0.00047235+0.00067904i, -0.00069838+0.00036438i, +0.00038596+0.00060936i, -0.00032780+0.00079157i, -0.00031136+0.00011063i, -0.00012411+0.00007357i, -0.00015585-0.00046331i, +0.00019094+0.00015248i, -0.00068484+0.00002186i, -0.00055781-0.00131923i, +0.00101123-0.00007619i, +0.00084759+0.00065262i, +0.00071083-0.00028289i, +0.00093022+0.00034570i, +0.00007921+0.00010958i, -0.00139936-0.00030448i, +0.00050193+0.00006824i, +0.00075145+0.00032939i, -0.00004250+0.00055754i, +0.00077602+0.00074830i, -0.00060724+0.00136990i, +0.00114109+0.00048171i, -0.00041697+0.00047599i
+0.00163280-0.00402128i, +0.00481272+0.00212344i, +0.00141762-0.00296314i, +0.00053723+0.00391466i, -0.00166371-0.00062723i, +0.03850594+0.00000000i, -0.00483350-0.00010327i, -0.00372231-0.00132932i, +0.00426529-0.00525056i, +0.00427949-0.00660457i, +0.00623910-0.00014208i, +0.00114575-0.00303293i, -0.00043768-0.00341884i, +0.00240884+0.00032428i, -0.00034021-0.00205135i, -0.00113545-0.00021699i, +0.00025274+0.00036295i, +0.00156860+0.00001876i, -0.00095867+0.00458275i, -0.00421981+0.00273690i, -0.00272658-0.00418905i, -0.00049148+0.00100131i, -0.00352695-0.00145301i, -0.00196073+0.00153491i, +0.00448439+0.00486428i, +0.00127751-0.00121236i, +0.00114766-0.00381052i, +0.00177052-0.00011181i, +0.00054288-0.00070832i, +0.00664323+0.00013566i, -0.00399137-0.00636773i, +0.00439099+0.00094048i
-0.00210570+0.00195968i, -0.00274563-0.00104165i, -0.00137665+0.00000936i, +0.00052202-0.00153370i, +0.00126023+0.00120042i, -0.00483350+0.00010327i, +0.03369536+0.00000000i, +0.00130016+0.00038546i, -0.00194309+0.00158901i, -0.00138794+0.00196439i, -0.00440750-0.00051645i, +0.00034087+0.00078101i, -0.00017913+0.00056575i, -0.00181046+0.00016564i, +0.00001148+0.00157709i, +0.00038423+0.00094940i, -0.00013280-0.00009468i, -0.00096009-0.00040292i, -0.00012433-0.00273805i, +0.00223183-0.00064158i, +0.00044955+0.00275479i, +0.00147242+0.00008251i, +0.00235585+0.00115424i, +0.00085833-0.00076776i, -0.00179936-0.00351607i, -0.00037249+0.00042929i, -0.00169459+0.00245143i, -0.00018761+0.00077115i, -0.00060970+0.00033755i, -0.00263897+0.00068894i, +0.00188921+0.00392957i, -0.00264512-0.00119934i
-0.00054779+0.00244246i, -0.00247703-0.00161105i, -0.00010264+0.00235234i, +0.00002685-0.00099413i, +0.00078514+0.00038935i, -0.00372231+0.00132932i, +0.00130016-0.00038546i, +0.02896826+0.00000000i, -0.00108378+0.00258663i, -0.00085114+0.00310058i, -0.00295471+0.00076342i, +0.00027117+0.00022836i, +0.00078672+0.00087894i, -0.00049529+0.00053671i, +0.00029923+0.00122117i, +0.00158377+0.00143686i, +0.00010499-0.00019116i, -0.00108151+0.00017211i, +0.00067727-0.00215609i, +0.00151291-0.00077264i, +0.00173851+0.00170288i, +0.00027136-0.00078049i, +0.00162487+0.00014203i, +0.00143155-0.00073229i, -0.00280021-0.00197042i, -0.00113660-0.00005183i, -0.00011093+0.00183144i, -0.00062176+0.00135275i, -0.00118979-0.00015831i, -0.00213955+0.00068957i, +0.00255068+0.00301626i, -0.00169066-0.00016443i
+0.00370967-0.00058788i, +0.00094301+0.00318534i, +0.00250944-0.00038541i, -0.00179395+0.00114474i, +0.00067470-0.00067315i, +0.00426529+0.00525056i, -0.00194309-0.00158901i, -0.00108378-0.00258663i, +0.03521143+0.00000000i, +0.00711797-0.00192995i, +0.00377323+0.00435877i, +0.00252950+0.00055460i, +0.00074675-0.00270386i, +0.00128482+0.00038082i, +0.00010462-0.00142059i, +0.00018624-0.00085675i, +0.00081034+0.00096179i, +0.00106465+0.00034197i, -0.00329193+0.00262636i, -0.00281256-0.00076020i, +0.00002865-0.00295050i, -0.00100073-0.00064188i, -0.00105474-0.00202230i, -0.00150689-0.00052387i, +0.00029408+0.00732831i, +0.00116668-0.00013404i, +0.00272493-0.00150529i, +0.00151865+0.00110417i, +0.00146847+0.00129901i, +0.00299586+0.00206432i, +0.00128499-0.00622404i, +0.00157267+0.00305478i
+0.00342430-0.00004480i, +0.00072600+0.00497969i, +0.00288422-0.00115795i, -0.00234973+0.00120005i, +0.00047235-0.00067904i, +0.00427949+0.00660457i, -0.00138794-0.00196439i, -0.00085114-0.00310058i, +0.00711797+0.00192995i, +0.03617555-0.00000000i, +0.00252885+0.00582101i, +0.00171721+0.00052736i, +0.00182282-0.00301115i, +0.00076967+0.00142473i, +0.00115077-0.00071217i, -0.00009850-0.00114297i, -0.00012955+0.00070786i, +0.00068439+0.00197533i, -0.00362239+0.00118130i, -0.00236599-0.00182724i, +0.00197547-0.00264237i, -0.00150067-0.00100258i, -0.00005555-0.00221150i, -0.00173828-0.00060332i, -0.00248427+0.00588700i, +0.00214092+0.00129672i, +0.00422482-0.00169464i, +0.00092723+0.00086313i, +0.00090279+0.00035767i, +0.00315554+0.00475121i, +0.00324574-0.00490922i, +0.00087956+0.00420484i
+0.00229646-0.00245843i, +0.00364456+0.00152333i, +0.00142742-0.00124990i, +0.00014352+0.00256072i, -0.00069838-0.00036438i, +0.00623910+0.00014208i, -0.00440750+0.00051645i, -0.00295471-0.00076342i, +0.00377323-0.00435877i, +0.00252885-0.00582101i, +0.03403465+0.00000000i, +0.00002873-0.00186202i, -0.00065090-0.00238091i, +0.00162478+0.00051839i, -0.00031627-0.00258719i, -0.00084881-0.00052679i, +0.00047759-0.00053366i, +0.00088822+0.00057944i, -0.00160437+0.00441008i, -0.00287526+0.00139631i, -0.00121263-0.00284533i, -0.00097948+0.00074397i, -0.00284857-0.00157108i, -0.00158491+0.00080559i, +0.00383674+0.00498089i, +0.00076618-0.00025303i, +0.00103881-0.00255997i, +0.00080700-0.00012488i, +0.00054776-0.00028201i, +0.00416733-0.00026249i, -0.00402180-0.00548012i, +0.00296791+0.00112527i
+0.00025961-0.00033576i, -0.00017469+0.00167635i, +0.00074713-0.00073373i, -0.00026176+0.00138667i, +0.00038596-0.00060936i, +0.00114575+0.00303293i, +0.00034087-0.00078101i, +0.00027117-0.00022836i, +0.00252950-0.00055460i, +0.00171721-0.00052736i, +0.00002873+0.00186202i, +0.02844775+0.00000000i, +0.00005759-0.00061663i, +0.00018511+0.00115486i, +0.00038704-0.00022160i, +0.00011314-0.00020483i, +0.00094945-0.00044527i, +0.00013660+0.00059143i, +0.00031918+0.00035481i, -0.00115599+0.00053681i, +0.00064839-0.00046113i, +0.00003982-0.00041218i, +0.00039613-0.00126510i, -0.00084765-0.00092125i, -0.00050237+0.00140471i, +0.00076331-0.00060809i, +0.00130250-0.00017986i, +0.00004562+0.00167388i, +0.00056130+0.00023057i, +0.00095262+0.00122221i, +0.00099608-0.00156944i, -0.00062256+0.00025986i
+0.00088058+0.00260133i, -0.00117489+0.00104732i, +0.00104882+0.00022043i, -0.00142397-0.00022420i, -0.00032780-0.00079157i, -0.00043768+0.00341884i, -0.00017913-0.00056575i, +0.00078672-0.00087894i, +0.00074675+0.00270386i, +0.00182282+0.00301115i, -0.00065090+0.00238091i, +0.00005759+0.00061663i, +0.02909211-0.00000000i, -0.00084738-0.00011990i, +0.00157229-0.00008027i, +0.00060165-0.00028048i, -0.00063201+0.00015002i, +0.00036086+0.00036344i, -0.00148017-0.00191948i, -0.00028955-0.00102423i, +0.00131413-0.00047863i, -0.00020487-0.00065841i, +0.00046998-0.00080214i, -0.00041769-0.00062724i, -0.00289445+0.00054344i, -0.00064381+0.00044653i, +0.00066374+0.00032042i, -0.00009654+0.00089609i, +0.00097183+0.00002491i, -0.00094551+0.00202548i, +0.00253065-0.00013917i, -0.00118472+0.00205269i
+0.00035725-0.00037328i, +0.00143537+0.00101310i, +0.00007638-0.00135769i, +0.00068393+0.00071842i, -0.00031136-0.00011063i, +0.00240884-0.00032428i, -0.00181046-0.00016564i, -0.00049529-0.00053671i, +0.00128482-0.00038082i, +0.00076967-0.00142473i, +0.00162478-0.00051839i, +0.00018511-0.00115486i, -0.00084738+0.00011990i, +0.03052714-0.00000000i, -0.00147587-0.00197640i, -0.00007517-0.00034133i, +0.00008270-0.00062164i, +0.00008108+0.00008924i, -0.00034766+0.00144459i, -0.00192375+0.00087387i, -0.00054502-0.00186017i, +0.00002550+0.00047263i, -0.00089334-0.00058339i, -0.00055575+0.00081191i, +0.00116968+0.00134916i, +0.00015842-0.00159335i, -0.00005534-0.00152424i, -0.00016222-0.00020408i, +0.00033119-0.00016250i, +0.00201907-0.00103676i, -0.00146766-0.00202988i, +0.00114381+0.00049883i
+0.00068593+0.00052660i, -0.00058603+0.00054961i, +0.00032995+0.00014131i, -0.00076955+0.00121504i, -0.00012411-0.00007357i, -0.00034021+0.00205135i, +0.00001148-0.00157709i, +0.00029923-0.00122117i, +0.00010462+0.00142059i, +0.00115077+0.00071217i, -0.00031627+0.00258719i, +0.00038704+0.00022160i, +0.00157229+0.00008027i, -0.00147587+0.00197640i, +0.03051233+0.00000000i, -0.00041943-0.00072199i, +0.00048386+0.00007396i, +0.00016023+0.00098678i, -0.00105084-0.00092327i, -0.00019110-0.00089492i, +0.00060038-0.00077923i, -0.00033132+0.00021159i, +0.00067974-0.00099177i, +0.00060407-0.00009065i, -0.00135558+0.00121821i, -0.00069216-0.00010870i, +0.00143544+0.00038156i, +0.00000005+0.00066960i, +0.00004024+0.00059808i, -0.00042088+0.00113192i, +0.00319761-0.00142731i, -0.00006761+0.00107337i
+0.00059629+0.00051472i, -0.00204858-0.00040589i, +0.00012866+0.00009377i, -0.00022236-0.00050298i, -0.00015585+0.00046331i, -0.00113545+0.00021699i, +0.00038423-0.00094940i, +0.00158377-0.00143686i, +0.00018624+0.00085675i, -0.00009850+0.00114297i, -0.00084881+0.00052679i, +0.00011314+0.00020483i, +0.00060165+0.00028048i, -0.00007517+0.00034133i, -0.00041943+0.00072199i, +0.02610405+0.00000000i, +0.00044543+0.00014573i, -0.00019278-0.00036397i, -0.00033441-0.00136066i, +0.00072225-0.00042629i, +0.00116222+0.00079683i, -0.00032861-0.00091259i, +0.00017026+0.00001317i, +0.00035917-0.00046147i, -0.00132846-0.00041931i, -0.00052867-0.00017909i, +0.00035964+0.00061049i, +0.00094451+0.00076972i, -0.00032800+0.00004479i, -0.00073500-0.00064528i, +0.00162646+0.00087658i, +0.00042078-0.00004290i
+0.00040534-0.00110646i, -0.00030709+0.00019997i, +0.00011656-0.00033666i, +0.00031740-0.00020791i, +0.00019094-0.00015248i, +0.00025274-0.00036295i, -0.00013280+0.00009468i, +0.00010499+0.00019116i, +0.00081034-0.00096179i, -0.00012955-0.00070786i, +0.00047759+0.00053366i, +0.00094945+0.00044527i, -0.00063201-0.00015002i, +0.00008270+0.00062164i, +0.00048386-0.00007396i, +0.00044543-0.00014573i, +0.02862921-0.00000000i, +0.00034259+0.00014383i, -0.00006764-0.00006844i, +0.00101880+0.00064141i, -0.00097932+0.00003942i, -0.00057954+0.00128059i, -0.00026828-0.00072107i, -0.00032471-0.00059854i, +0.00039964+0.00048615i, +0.00098081-0.00073355i, +0.00005333+0.00062186i, -0.00000422+0.00023580i, +0.00033243-0.00009141i, +0.00040658+0.00036022i, +0.00028511-0.00031040i, -0.00030623-0.00033314i
+0.00013129-0.00096252i, +0.00017965-0.00040522i, -0.00067975+0.00007359i, +0.00043925+0.00027258i, -0.00068484-0.00002186i, +0.00156860-0.00001876i, -0.00096009+0.00040292i, -0.00108151-0.00017211i, +0.00106465-0.00034197i, +0.00068439-0.00197533i, +0.00088822-0.00057944i, +0.00013660-0.00059143i, +0.00036086-0.00036344i, +0.00008108-0.00008924i, +0.00016023-0.00098678i, -0.00019278+0.00036397i, +0.00034259-0.00014383i, +0.03026092+0.00000000i, +0.00101697+0.00210670i, -0.00117520+0.00000836i, -0.00055202+0.00019570i, +0.00034995+0.00047014i, -0.00118540-0.00019160i, -0.00046433+0.00120593i, +0.00139031+0.00091529i, -0.00013334+0.00017442i, +0.00004404-0.00080889i, +0.00062666+0.00117069i, +0.00002049-0.00059828i, +0.00043262-0.00060464i, -0.00083058-0.00159059i, +0.00110741-0.00000552i
-0.00365186-0.00135887i, +0.00084843-0.00252068i, -0.00237239-0.00059608i, +0.00251989-0.00162927i, -0.00055781+0.00131923i, -0.00095867-0.00458275i, -0.00012433+0.00273805i, +0.00067727+0.00215609i, -0.00329193-0.00262636i, -0.00362239-0.00118130i, -0.00160437-0.00441008i, +0.00031918-0.00035481i, -0.00148017+0.00191948i, -0.00034766-0.00144459i, -0.00105084+0.00092327i, -0.00033441+0.00136066i, -0.00006764+0.00006844i, +0.00101697-0.00210670i, +0.03341770+0.00000000i, +0.00128897+0.00263565i, -0.00197837+0.00165911i, +0.00064137-0.00051932i, -0.00086725+0.00345127i, +0.00138940-0.00018634i, +0.00262674-0.00347683i, -0.00114660-0.00030293i, -0.00245351+0.00013491i, -0.00139596-0.00106326i, -0.00029611-0.00088848i, +0.00006167-0.00360823i, -0.00452930+0.00322902i, -0.00032541-0.00378713i
