+0.03216536-0.00000000i, +0.00240587-0.00141667i, +0.00060581-0.00113444i, -0.00074745-0.00058933i, -0.00013778-0.00170428i, +0.00234771-0.00040776i, +0.00072244+0.00093659i, -0.00102632+0.00227255i, -0.00128656+0.00010684i, -0.00189650+0.00105841i, +0.00153233-0.00109829i, +0.00011994+0.00074463i, +0.00161906+0.00006167i, +0.00130172+0.00024704i, +0.00027045-0.00209168i, -0.00020845+0.00162283i, +0.00014691+0.00274647i, -0.00108375-0.00117786i, +0.00166398+0.00050104i, +0.00105183+0.00140060i, -0.00007762+0.00017804i, -0.00026628+0.00109985i, +0.00023001+0.00001055i, +0.00010716+0.00165731i, -0.00099684+0.00045691i, +0.00005129+0.00099840i, +0.00093343+0.00106785i, -0.00163173-0.00212904i, -0.00011298-0.00024170i, -0.00001896-0.00237334i, +0.00012054-0.00040216i, -0.00034224-0.00214208i
+0.00240587+0.00141667i, +0.03407145-0.00000000i, +0.00033747-0.00041958i, -0.00111250-0.00194952i, +0.00119817-0.00194325i, +0.00220132+0.00068994i, -0.00130841+0.00119311i, -0.00257116+0.00072101i, -0.00069632-0.00020227i, -0.00281578-0.00069908i, +0.00139944-0.00000270i, -0.00034944+0.00061478i, +0.00156133+0.00074748i, +0.00129567+0.00123248i, +0.00069612-0.00143775i, -0.00179707+0.00136347i, -0.00192302+0.00192594i, +0.00005160-0.00084415i, +0.00135851+0.00128284i, -0.00056149+0.00164572i, -0.00076083-0.00002656i, -0.00086310+0.00121696i, -0.00000168-0.00007571i, -0.00068251+0.00128499i, -0.00122553-0.00098536i, -0.00102737+0.00126122i, -0.00016028+0.00104851i, +0.00006720-0.00302066i, -0.00015342+0.00003483i, +0.00238830-0.00228171i, +0.00088593+0.00049633i, +0.00151618-0.00155900i
+0.00060581+0.00113444i, +0.00033747+0.00041958i, +0.03028465-0.00000000i, -0.00027387-0.00048419i, +0.00052965-0.00041551i, +0.00150085+0.00063851i, +0.00041191+0.00058622i, -0.00101433+0.00079601i, -0.00023769-0.00019111i, -0.00058337-0.00057374i, +0.00044051-0.00005798i, -0.00025187+0.00046944i, +0.00096226-0.00015727i, +0.00055111+0.00045709i, +0.00012371-0.00030479i, -0.00019263+0.00043070i, -0.00119561+0.00049432i, +0.00011001-0.00041415i, +0.00065972+0.00098410i, +0.00052915+0.00098221i, +0.00022257-0.00023606i, -0.00053995+0.00038175i, -0.00043075-0.00046858i, -0.00010297+0.00038948i, -0.00036929+0.00010537i, -0.00022413+0.00080569i, +0.00009276+0.00101481i, +0.00017168-0.00131648i, -0.00067839-0.00066797i, +0.00055413-0.00055793i, +0.00009112+0.00043073i, +0.00033033-0.00054969i
-0.00074745+0.00058933i, -0.00111250+0.00194952i, -0.00027387+0.00048419i, +0.03171928+0.00000000i, +0.00026404+0.00045705i, -0.00072863+0.00095253i, -0.00039781-0.00062388i, +0.00081434-0.00150043i, +0.00009730-0.00013674i, +0.00064637-0.00049937i, -0.00062606+0.00040109i, +0.00002584+0.00013550i, -0.00061666-0.00007822i, -0.00117503+0.00077360i, +0.00018974+0.00101638i, -0.00036798-0.00100287i, -0.00050411-0.00195338i, +0.00099837+0.00015686i, -0.00090021+0.00044493i, -0.00088859-0.00001491i, +0.00010683-0.00002552i, -0.00051776-0.00057479i, +0.00013028+0.00007065i, -0.00035567-0.00059270i, +0.00047241+0.00019057i, -0.00019722-0.00042625i, -0.00019014-0.00019516i, +0.00115799+0.00085190i, +0.00005580-0.00021917i, +0.00074012+0.00156111i, -0.00021764-0.00010314i, +0.00064079+0.00085769i
-0.00013778+0.00170428i, +0.00119817+0.00194325i, +0.00052965+0.00041551i, +0.00026404-0.00045705i, +0.03152219+0.00000000i, +0.00017743+0.00208103i, -0.00113826+0.00059716i, -0.00171663-0.00058700i, -0.00031016-0.00041487i, -0.00026157-0.00155267i, +0.00016597+0.00053481i, -0.00083087+0.00001235i, +0.00048938+0.00155727i, -0.00073462+0.00129531i, +0.00070215+0.00005901i, -0.00116458+0.00002448i, -0.00196139+0.00003350i, +0.00061521-0.00070415i, -0.00073899+0.00073579i, -0.00107307+0.00057551i, -0.00009263+0.00001552i, -0.00108832-0.00046848i, +0.00007080+0.00025468i, -0.00100453+0.00021166i, -0.00069039-0.00133592i, -0.00088795-0.00027938i, -0.00108257+0.00104135i, +0.00235356-0.00135896i, -0.00070148-0.00071263i, +0.00176557-0.00013818i, -0.00001331+0.00088190i, +0.00111063-0.00027574i
+0.00234771+0.00040776i, +0.00220132-0.00068994i, +0.00150085-0.00063851i, -0.00072863-0.00095253i, +0.00017743-0.00208103i, +0.03392817+0.00000000i, -0.00070737+0.00178265i, -0.00118923+0.00294573i, -0.00088936+0.00050536i, -0.00198125+0.00002910i, +0.00134201-0.00001139i, +0.00013625+0.00049601i, +0.00138043-0.00032066i, +0.00176521+0.00041945i, +0.00024440-0.00089947i, -0.00027845+0.00153599i, -0.00084568+0.00194983i, -0.00124377-0.00006684i, +0.00132367+0.00072911i, +0.00083873+0.00163496i, -0.00048470+0.00019933i, -0.00049221+0.00156135i, -0.00025824-0.00005238i, -0.00039721+0.00111864i, -0.00087538-0.00002619i, -0.00012649+0.00103861i, +0.00036163+0.00085911i, -0.00088938-0.00309963i, -0.00053855-0.00044872i, -0.00028330-0.00234106i, +0.00104144+0.00024753i, +0.00048655-0.00190384i
+0.00072244-0.00093659i, -0.00130841-0.00119311i, +0.00041191-0.00058622i, -0.00039781+0.00062388i, -0.00113826-0.00059716i, -0.00070737-0.00178265i, +0.03103741+0.00000000i, +0.00084576+0.00138675i, -0.00042966-0.00020997i, +0.00085819+0.00172227i, -0.00030576-0.00049505i, +0.00049780-0.00004431i, -0.00021749-0.00087069i, +0.00015402-0.00123339i, -0.00067096+0.00028707i, +0.00127503+0.00020922i, +0.00113219-0.00004318i, -0.00065229+0.00051378i, +0.00020287-0.00090272i, +0.00102884-0.00048603i, +0.00006993-0.00015791i, +0.00078214+0.00035802i, +0.00051899+0.00037387i, +0.00071771-0.00011120i, -0.00008870+0.00111261i, +0.00063756+0.00035683i, +0.00036938+0.00004025i, -0.00120829+0.00120178i, +0.00003661+0.00038085i, -0.00109907+0.00012852i, -0.00079173-0.00094935i, -0.00068603+0.00030119i
-0.00102632-0.00227255i, -0.00257116-0.00072101i, -0.00101433-0.00079601i, +0.00081434+0.00150043i, -0.00171663+0.00058700i, -0.00118923-0.00294573i, +0.00084576-0.00138675i, +0.03523045+0.00000000i, +0.00030789+0.00067175i, +0.00276344+0.00164628i, -0.00126587-0.00106122i, +0.00080783-0.00002420i, -0.00119582-0.00174385i, -0.00015637-0.00138416i, -0.00096030+0.00127363i, +0.00161108-0.00074670i, +0.00236737-0.00107454i, -0.00014484+0.00185494i, -0.00075562-0.00137277i, +0.00100885-0.00182303i, +0.00077980-0.00005477i, +0.00173352-0.00048816i, +0.00031532-0.00000280i, +0.00131848-0.00107936i, +0.00035524+0.00080809i, +0.00159603-0.00068144i, +0.00044908-0.00186571i, -0.00100390+0.00369566i, +0.00019135+0.00023524i, -0.00271427+0.00134268i, -0.00037429-0.00102835i, -0.00224405+0.00092469i
-0.00128656-0.00010684i, -0.00069632+0.00020227i, -0.00023769+0.00019111i, +0.00009730+0.00013674i, -0.00031016+0.00041487i, -0.00088936-0.00050536i, -0.00042966+0.00020997i, +0.00030789-0.00067175i, +0.02928113+0.00000000i, +0.00067810+0.00004328i, -0.00038781-0.00033463i, +0.00039151-0.00031754i, -0.00082176+0.00029063i, +0.00003478+0.00007352i, -0.00027939+0.00054232i, -0.00010149-0.00034385i, +0.00061282-0.00087944i, +0.00069510-0.00031619i, -0.00039030-0.00035301i, -0.00017472-0.00044725i, +0.00063305-0.00062054i, +0.00009731-0.00026406i, -0.00033997+0.00041003i, +0.00030169-0.00068757i, +0.00056349-0.00015987i, +0.00017533-0.00051088i, -0.00067144-0.00050264i, -0.00016661+0.00033091i, +0.00017205+0.00035576i, +0.00010921+0.00029052i, +0.00015149-0.00024830i, +0.00008215+0.00100863i
-0.00189650-0.00105841i, -0.00281578+0.00069908i, -0.00058337+0.00057374i, +0.00064637+0.00049937i, -0.00026157+0.00155267i, -0.00198125-0.00002910i, +0.00085819-0.00172227i, +0.00276344-0.00164628i, +0.00067810-0.00004328i, +0.03277424+0.00000000i, -0.00096347+0.00010077i, +0.00016414-0.00161782i, -0.00227953+0.00023724i, -0.00236546-0.00079437i, -0.00056888+0.00145555i, +0.00058771-0.00172319i, +0.00155805-0.00304478i, +0.00089491+0.00112501i, -0.00166721-0.00095592i, +0.00003116-0.00190870i, +0.00075149-0.00070666i, +0.00148951-0.00255257i, -0.00015236-0.00044283i, +0.00004520-0.00145645i, +0.00107606+0.00073900i, +0.00115726-0.00157426i, -0.00066336-0.00123621i, +0.00090816+0.00335887i, +0.00055641+0.00001350i, -0.00098814+0.00239558i, -0.00043751-0.00071108i, -0.00036948+0.00188837i
+0.00153233+0.00109829i, +0.00139944+0.00000270i, +0.00044051+0.00005798i, -0.00062606-0.00040109i, +0.00016597-0.00053481i, +0.00134201+0.00001139i, -0.00030576+0.00049505i, -0.00126587+0.00106122i, -0.00038781+0.00033463i, -0.00096347-0.00010077i, +0.03040873-0.00000000i, -0.00017709+0.00081157i, +0.00080817+0.00047377i, +0.00115019+0.00071856i, +0.00069527-0.00120989i, -0.00059109+0.00100862i, -0.00146256+0.00131728i, -0.00064780-0.00097192i, +0.00068414+0.00063709i, +0.00026808+0.00127415i, -0.00016416+0.00034788i, -0.00059803+0.00066993i, -0.00035328+0.00039678i, -0.00033302+0.00071382i, -0.00029232-0.00021087i, -0.00044863+0.00051699i, +0.00087543+0.00097818i, +0.00034172-0.00174299i, +0.00008228-0.00018684i, +0.00042508-0.00117272i, +0.00026858+0.00015232i, +0.00066188-0.00125282i
