+0.00356881-0.00000000i, -0.00272763+0.00123630i, +0.00007521+0.00087901i, +0.00331438+0.00025549i, +0.00048693+0.00053574i, -0.00051031-0.00226275i, +0.00184884+0.00022958i, +0.00144156-0.00140903i, +0.00029093+0.00104215i, -0.00058338-0.00262278i, -0.00181763-0.00056240i, -0.00125586+0.00178946i, +0.00160900-0.00162891i, -0.00326163+0.00329665i, -0.00083933-0.00309367i, -0.00400379+0.00027287i, -0.00200345+0.00202315i, +0.00240128-0.00386480i, -0.00141523-0.00231290i, -0.00392655+0.00141034i, -0.00291289+0.00001558i, +0.00649038+0.00064212i, -0.00276207+0.00391783i, +0.00351857+0.00411592i, +0.00209130+0.00174637i, -0.00275055-0.00039396i, -0.00049551+0.00071687i, +0.00246117+0.00202956i, +0.00010314-0.00096859i, -0.00139566+0.00341727i, -0.00209639-0.00211644i, -0.00303756+0.00077535i
-0.00272763-0.00123630i, +0.00861841-0.00000000i, +0.00097451-0.00316504i, -0.00518398-0.00484409i, -0.00151910-0.00112839i, +0.00141135+0.00399103i, -0.00278360-0.00083764i, -0.00128735+0.00260535i, +0.00062041-0.00133890i, -0.00236847+0.00266457i, +0.00052200+0.00194144i, +0.00277552-0.00021982i, -0.00241756-0.00025956i, +0.00637466+0.00118312i, -0.00235234+0.00275293i, +0.00326236+0.00474390i, +0.00288713-0.00029053i, -0.00747751+0.00151378i, -0.00116064+0.00329174i, +0.00525226+0.00347634i, +0.00231849+0.00265218i, -0.00457187-0.00830552i, +0.00562313+0.00021151i, +0.00232435-0.00779374i, +0.00034591-0.00258490i, +0.00225462+0.00427028i, +0.00141652-0.00032823i, +0.00106070-0.00470835i, -0.00062797+0.00122242i, +0.00419371-0.00180305i, -0.00025418+0.00322506i, +0.00318796+0.00181235i
+0.00007521-0.00087901i, +0.00097451+0.00316504i, +0.00358715+0.00000000i, +0.00197336-0.00307395i, +0.00042793-0.00113289i, -0.00114843+0.00189594i, -0.00054691-0.00159697i, -0.00166991+0.00074297i, +0.00041256+0.00050087i, -0.00048201-0.00088670i, -0.00089287+0.00012559i, -0.00020074+0.00075512i, +0.00086956-0.00095751i, -0.00115021+0.00195756i, -0.00129563-0.00116332i, -0.00205138+0.00065126i, -0.00036570+0.00118782i, -0.00000713-0.00234434i, -0.00215399-0.00023224i, -0.00150108+0.00188993i, -0.00186359+0.00031155i, +0.00335053-0.00074195i, -0.00023672+0.00272351i, +0.00261479+0.00150554i, +0.00089378+0.00068792i, -0.00154177+0.00042545i, +0.00069454+0.00124477i, +0.00194678+0.00102349i, -0.00031615-0.00037470i, +0.00025627+0.00106381i, -0.00124117-0.00022685i, -0.00049968+0.00051226i
+0.00331438-0.00025549i, -0.00518398+0.00484409i, +0.00197336+0.00307395i, +0.01038643+0.00000000i, +0.00175048-0.00050100i, -0.00279960-0.00210937i, +0.00281329-0.00081966i, -0.00024939-0.00253571i, +0.00051391+0.00175394i, +0.00030084-0.00461282i, -0.00251072-0.00176030i, -0.00310940+0.00289830i, +0.00289414-0.00207468i, -0.00772799+0.00429992i, +0.00001431-0.00525326i, -0.00817374-0.00178217i, -0.00271550+0.00261224i, +0.00578397-0.00653751i, -0.00185795-0.00454283i, -0.00949638+0.00171290i, -0.00494082-0.00049855i, +0.01195869+0.00453232i, -0.00629117+0.00508903i, +0.00509461+0.01035337i, +0.00198771+0.00308756i, -0.00502133-0.00206151i, -0.00094859+0.00157454i, +0.00405493+0.00638967i, -0.00034192-0.00162478i, -0.00326346+0.00523695i, -0.00248419-0.00394052i, -0.00525511+0.00047701i
+0.00048693-0.00053574i, -0.00151910+0.00112839i, +0.00042793+0.00113289i, +0.00175048+0.00050100i, +0.00411078-0.00000000i, -0.00460748-0.00061663i, +0.00170357-0.00199335i, -0.00255063-0.00281415i, +0.00030417+0.00049433i, +0.00023610-0.00039339i, +0.00007326-0.00040716i, -0.00023121+0.00016041i, +0.00042788-0.00053397i, -0.00133484-0.00008741i, +0.00056832-0.00060581i, -0.00080556-0.00091722i, -0.00043738+0.00044821i, +0.00126935-0.00022749i, +0.00040227-0.00065368i, -0.00102951-0.00062949i, -0.00180044+0.00023391i, +0.00178359+0.00140280i, -0.00144497+0.00014862i, +0.00021179+0.00188590i, -0.00006725+0.00040614i, -0.00069071-0.00081995i, -0.00036458+0.00031186i, -0.00021268+0.00135952i, -0.00082524-0.00107172i, +0.00000351+0.00070685i, -0.00011556-0.00046119i, -0.00016822+0.00035750i
-0.00051031+0.00226275i, +0.00141135-0.00399103i, -0.00114843-0.00189594i, -0.00279960+0.00210937i, -0.00460748+0.00061663i, +0.01435404-0.00000000i, -0.00350088+0.00658948i, +0.00752902+0.00744558i, -0.00101778-0.00015885i, +0.00271209+0.00008370i, +0.00060176-0.00124516i, -0.00186251-0.00158154i, +0.00101626+0.00122587i, -0.00187976-0.00391586i, +0.00242631+0.00027054i, +0.00074981-0.00312126i, -0.00095177-0.00135889i, +0.00210520+0.00269537i, +0.00165890-0.00018527i, -0.00024007-0.00305030i, +0.00104682-0.00228243i, -0.00468864+0.00590608i, -0.00171164-0.00361384i, -0.00517627+0.00118644i, -0.00100075+0.00116310i, +0.00165276-0.00152830i, +0.00009233-0.00116917i, -0.00188673+0.00056928i, +0.00147406+0.00085284i, -0.00465008-0.00314861i, +0.00262176-0.00151522i, -0.00088800-0.00424384i
+0.00184884-0.00022958i, -0.00278360+0.00083764i, -0.00054691+0.00159697i, +0.00281329+0.00081966i, +0.00170357+0.00199335i, -0.00350088-0.00658948i, +0.00689711+0.00000000i, +0.00219000-0.00642909i, +0.00035780+0.00098989i, -0.00059964-0.00215191i, -0.00158516-0.00036626i, -0.00091516+0.00183191i, +0.00095873-0.00150351i, -0.00271980+0.00264926i, -0.00067073-0.00283617i, -0.00339451+0.00002989i, -0.00098339+0.00149790i, +0.00172470-0.00279757i, -0.00098804-0.00184408i, -0.00294865+0.00107897i, -0.00258015+0.00021902i, +0.00584113+0.00119755i, -0.00337106+0.00359530i, +0.00291243+0.00440486i, +0.00139898+0.00085016i, -0.00209403-0.00075242i, -0.00086059+0.00057985i, +0.00149623+0.00179636i, -0.00007064-0.00133810i, -0.00097006+0.00371900i, -0.00255179-0.00220866i, -0.00314770+0.00155600i
+0.00144156+0.00140903i, -0.00128735-0.00260535i, -0.00166991-0.00074297i, -0.00024939+0.00253571i, -0.00255063+0.00281415i, +0.00752902-0.00744558i, +0.00219000+0.00642909i, +0.01252446+0.00000000i, -0.00038822+0.00060040i, +0.00082991-0.00218929i, -0.00102550-0.00092802i, -0.00240856+0.00076061i, +0.00134831-0.00065867i, -0.00327404+0.00075683i, +0.00080987-0.00203142i, -0.00269099-0.00198430i, -0.00128773+0.00046011i, +0.00242002-0.00132425i, +0.00005068-0.00134868i, -0.00276580-0.00078183i, -0.00132855-0.00106903i, +0.00295411+0.00378890i, -0.00324579+0.00032862i, -0.00190312+0.00506410i, +0.00091450+0.00131896i, -0.00076475-0.00135210i, -0.00051664-0.00056581i, +0.00031794+0.00144465i, +0.00115196-0.00047934i, -0.00382195+0.00197710i, -0.00025150-0.00284498i, -0.00460826-0.00203381i
+0.00029093-0.00104215i, +0.00062041+0.00133890i, +0.00041256-0.00050087i, +0.00051391-0.00175394i, +0.00030417-0.00049433i, -0.00101778+0.00015885i, +0.00035780-0.00098989i, -0.00038822-0.00060040i, +0.00839278-0.00000000i, -0.00905024-0.00039457i, -0.00243955+0.00379111i, +0.00558156+0.00467107i, -0.00394968-0.00670655i, +0.00410169+0.01120711i, -0.00753596-0.00097742i, -0.00424785+0.00931879i, +0.00548675+0.00608225i, -0.00770204-0.00690339i, -0.00497870+0.00128313i, +0.00060244+0.00901448i, -0.00264316+0.01006918i, +0.00708104-0.01409652i, +0.00586021+0.00835596i, +0.01266390-0.00423493i, +0.00487177-0.00304517i, -0.00461329+0.00389338i, +0.00072462+0.00210815i, +0.00558965-0.00063168i, -0.00442042-0.00177096i, +0.00604261+0.00474666i, -0.00491115+0.00224394i, +0.00043067+0.00633925i
-0.00058338+0.00262278i, -0.00236847-0.00266457i, -0.00048201+0.00088670i, +0.00030084+0.00461282i, +0.00023610+0.00039339i, +0.00271209-0.00008370i, -0.00059964+0.00215191i, +0.00082991+0.00218929i, -0.00905024+0.00039457i, +0.02660794+0.00000000i, +0.00554385-0.01032662i, -0.01345660-0.01240221i, +0.00737358+0.00881525i, -0.01461139-0.02628203i, +0.01719485+0.00052212i, +0.00577774-0.02328510i, -0.00697080-0.00873782i, +0.02029601+0.01865670i, +0.01250561-0.00434946i, -0.00264187-0.02248372i, +0.00108803-0.01490982i, -0.01206887+0.03844555i, -0.01572308-0.01751626i, -0.02780615+0.01520835i, -0.00643724+0.00508017i, +0.01151987-0.01200690i, -0.00161445-0.00545682i, -0.01263502+0.00343385i, +0.00598235+0.00135163i, -0.01717392-0.01016307i, +0.01052349-0.00643783i, -0.00301148-0.01539117i
-0.00181763+0.00056240i, +0.00052200-0.00194144i, -0.00089287-0.00012559i, -0.00251072+0.00176030i, +0.00007326+0.00040716i, +0.00060176+0.00124516i, -0.00158516+0.00036626i, -0.00102550+0.00092802i, -0.00243955-0.00379111i, +0.00554385+0.01032662i, +0.01164877-0.00000000i, +0.00323726-0.01130917i, -0.00270373+0.00654101i, +0.00835011-0.01462249i, +0.00668038+0.01183285i, +0.01406754-0.00450546i, +0.00177701-0.00603984i, -0.00331849+0.01394514i, +0.00864217+0.00787542i, +0.01183024-0.00719683i, +0.00834284-0.00375157i, -0.02202336+0.00529338i, +0.00550386-0.01787084i, -0.01691243-0.00977621i, -0.00461081-0.00191850i, +0.00752318+0.00134885i, +0.00433564-0.00413830i, -0.00597303-0.00614724i, +0.00091609+0.00334488i, +0.00012127-0.01111710i, +0.00855069+0.00457755i, +0.00720001-0.00627635i
