+0.02782530+0.00000000i, -0.00005066+0.00322448i, +0.00199269+0.00119560i, +0.00255298-0.00084140i, -0.00016904+0.00115402i, -0.00019355+0.00036565i, +0.00086243-0.00125754i, +0.00074043-0.00038943i, +0.00311165-0.00137391i, +0.00009295+0.00107859i, +0.00074584+0.00099918i, +0.00021725+0.00097627i, +0.00002101+0.00067520i, -0.00002475+0.00135863i, +0.00202093+0.00164285i, +0.00077196+0.00107562i, +0.00033556+0.00236446i, +0.00008201-0.00021188i, -0.00129793-0.00005086i, +0.00178097+0.00144164i, -0.00041735-0.00305677i, -0.00066740+0.00033682i, +0.00012413-0.00025691i, +0.00012309+0.00194950i, +0.00066483-0.00088402i, +0.00109203+0.00164848i, +0.00037032+0.00038501i, +0.00107311-0.00121492i, +0.00173324-0.00041837i, +0.00082763-0.00007671i, -0.00155301+0.00231525i, +0.00160295-0.00135050i
-0.00005066-0.00322448i, +0.03956675+0.00000000i, +0.00540906-0.00313396i, -0.00136449-0.00466824i, +0.00218100+0.00077290i, -0.00166930+0.00303671i, -0.00493217-0.00480686i, +0.00201395-0.00394754i, +0.00235638-0.00773405i, +0.00641963+0.00190116i, +0.00329379-0.00245915i, +0.00178897-0.00004411i, +0.00180786+0.00324167i, +0.00334548+0.00578261i, +0.00486340-0.00245041i, +0.00274579+0.00153694i, +0.00364897-0.00225663i, -0.00011108+0.00064333i, -0.00026940+0.00509192i, +0.00921741-0.00370377i, -0.00753681-0.00321779i, -0.00174334+0.00090900i, +0.00267802+0.00091743i, +0.00613137+0.00269217i, -0.00696692+0.00240897i, +0.00897009-0.00036699i, +0.00257543-0.00328354i, -0.00191737-0.00381098i, -0.00063332-0.00408409i, +0.00291915-0.00187214i, +0.00117940+0.00815144i, -0.00157049-0.00822329i
+0.00199269-0.00119560i, +0.00540906+0.00313396i, +0.03049075+0.00000000i, +0.00048508-0.00265810i, +0.00085679+0.00130906i, -0.00115851+0.00091878i, -0.00094394-0.00343728i, +0.00177383-0.00049890i, +0.00241060-0.00342895i, +0.00149885+0.00234727i, +0.00376849+0.00007809i, +0.00087653-0.00022527i, -0.00004438+0.00147584i, -0.00022643+0.00168651i, +0.00245974+0.00043743i, +0.00134286+0.00144175i, +0.00209990+0.00065350i, -0.00029095-0.00105519i, -0.00200342+0.00441038i, +0.00388730+0.00191061i, -0.00298843-0.00283287i, -0.00055083+0.00023407i, +0.00015693+0.00092106i, +0.00144068+0.00286833i, -0.00389756-0.00099703i, +0.00268294+0.00133482i, +0.00422170-0.00057957i, +0.00023753-0.00188935i, +0.00129583-0.00066653i, +0.00142062-0.00008449i, -0.00203027+0.00402444i, +0.00146896-0.00395547i
+0.00255298+0.00084140i, -0.00136449+0.00466824i, +0.00048508+0.00265810i, +0.02820487+0.00000000i, -0.00148551+0.00077129i, -0.00156714-0.00045253i, +0.00209915-0.00062909i, +0.00094385+0.00128583i, +0.00182923+0.00081889i, -0.00101712+0.00166508i, +0.00066047+0.00167927i, +0.00130440+0.00067634i, -0.00068454+0.00013939i, -0.00195240+0.00172800i, +0.00035570+0.00184966i, -0.00079750+0.00169160i, +0.00079953+0.00150642i, +0.00117199+0.00049215i, -0.00241430-0.00022671i, +0.00030345+0.00584733i, +0.00095267-0.00210125i, -0.00046450+0.00036192i, -0.00070822+0.00046437i, -0.00146731+0.00274453i, -0.00037764-0.00278711i, -0.00054996+0.00263065i, +0.00094933+0.00118678i, +0.00404751+0.00012308i, +0.00118711+0.00029875i, -0.00038518+0.00072868i, -0.00259161-0.00054008i, +0.00288126-0.00009113i
-0.00016904-0.00115402i, +0.00218100-0.00077290i, +0.00085679-0.00130906i, -0.00148551-0.00077129i, +0.02975658+0.00000000i, +0.00156366+0.00112286i, -0.00244746-0.00111496i, -0.00000689-0.00171418i, -0.00152199-0.00284703i, +0.00232491+0.00002818i, -0.00009724-0.00274981i, +0.00081084+0.00014304i, +0.00132498+0.00233488i, +0.00122619+0.00064782i, +0.00142369-0.00041864i, +0.00022262-0.00071324i, +0.00124687-0.00104107i, +0.00098616-0.00001062i, +0.00045095+0.00211771i, +0.00146138-0.00145173i, -0.00210371+0.00128082i, -0.00058536-0.00028040i, +0.00094605-0.00045477i, +0.00202642+0.00022039i, -0.00139825+0.00056182i, +0.00235966-0.00048003i, -0.00004591-0.00151678i, -0.00089909-0.00092154i, -0.00234062-0.00086923i, +0.00073103-0.00079002i, +0.00278695+0.00180105i, -0.00180643-0.00075268i
-0.00019355-0.00036565i, -0.00166930-0.00303671i, -0.00115851-0.00091878i, -0.00156714+0.00045253i, +0.00156366-0.00112286i, +0.02828518+0.00000000i, -0.00091860+0.00087425i, -0.00033468+0.00021074i, -0.00224195+0.00055192i, +0.00006472-0.00363580i, -0.00061834-0.00006890i, +0.00145738-0.00023728i, -0.00029378-0.00064371i, +0.00130313-0.00090441i, -0.00067169-0.00079457i, -0.00047270-0.00077307i, -0.00012345-0.00018648i, +0.00029426+0.00056365i, +0.00083787-0.00021104i, -0.00145744-0.00147964i, -0.00039306+0.00172012i, -0.00168902+0.00199092i, +0.00070086-0.00095554i, +0.00016066-0.00125535i, +0.00150849+0.00164388i, -0.00098380-0.00168462i, -0.00063777-0.00005127i, -0.00143824-0.00020096i, -0.00040573+0.00030294i, -0.00090315-0.00051951i, +0.00163521-0.00040623i, -0.00161027+0.00158804i
+0.00086243+0.00125754i, -0.00493217+0.00480686i, -0.00094394+0.00343728i, +0.00209915+0.00062909i, -0.00244746+0.00111496i, -0.00091860-0.00087425i, +0.03317475+0.00000000i, +0.00001997+0.00301163i, +0.00244027+0.00552622i, -0.00319187+0.00081363i, +0.00004082+0.00451144i, -0.00094965+0.00049246i, -0.00125827+0.00020199i, -0.00216808-0.00141260i, -0.00084435+0.00474410i, -0.00163762+0.00058041i, -0.00064444+0.00307542i, +0.00056314+0.00120361i, -0.00199994-0.00241645i, -0.00165218+0.00609657i, +0.00479662-0.00111340i, +0.00015846-0.00062322i, -0.00351645+0.00255561i, -0.00432030+0.00104368i, +0.00304317-0.00480659i, -0.00228971+0.00303270i, +0.00204886+0.00293489i, +0.00242366+0.00128785i, +0.00445003+0.00192602i, -0.00017492+0.00158796i, -0.00349840-0.00405962i, +0.00440348+0.00239709i
+0.00074043+0.00038943i, +0.00201395+0.00394754i, +0.00177383+0.00049890i, +0.00094385-0.00128583i, -0.00000689+0.00171418i, -0.00033468-0.00021074i, +0.00001997-0.00301163i, +0.02944310+0.00000000i, +0.00296693-0.00041416i, +0.00061603+0.00198802i, +0.00176468+0.00121957i, +0.00124574+0.00050024i, -0.00087289+0.00090557i, -0.00283800+0.00251840i, +0.00165216+0.00084420i, +0.00169502+0.00336629i, +0.00148281+0.00035361i, +0.00048182-0.00027650i, -0.00115459+0.00162831i, +0.00205710+0.00276853i, -0.00013287-0.00271581i, +0.00081671-0.00032906i, +0.00054308+0.00137517i, +0.00056271+0.00434456i, -0.00195319-0.00195741i, +0.00221621+0.00129192i, +0.00228173-0.00008273i, +0.00013607-0.00059217i, +0.00123557-0.00143540i, -0.00029210+0.00036772i, -0.00372862+0.00333161i, +0.00165227-0.00228808i
+0.00311165+0.00137391i, +0.00235638+0.00773405i, +0.00241060+0.00342895i, +0.00182923-0.00081889i, -0.00152199+0.00284703i, -0.00224195-0.00055192i, +0.00244027-0.00552622i, +0.00296693+0.00041416i, +0.03200971+0.00000000i, -0.00127483+0.00507716i, +0.00294641+0.00186764i, +0.00110560+0.00159622i, -0.00235559+0.00158814i, -0.00386309+0.00205420i, +0.00304812+0.00305039i, -0.00048019+0.00334982i, +0.00200449+0.00216491i, +0.00146101+0.00009199i, -0.00373222-0.00025895i, +0.00393299+0.00496608i, +0.00234327-0.00679822i, -0.00126374-0.00045577i, -0.00048798+0.00153417i, -0.00120448+0.00472770i, -0.00235985-0.00452255i, +0.00061389+0.00472962i, +0.00276498+0.00081092i, +0.00291230-0.00150051i, +0.00271573-0.00168456i, +0.00085109+0.00094567i, -0.00673947+0.00298886i, +0.00435665-0.00366830i
+0.00009295-0.00107859i, +0.00641963-0.00190116i, +0.00149885-0.00234727i, -0.00101712-0.00166508i, +0.00232491-0.00002818i, +0.00006472+0.00363580i, -0.00319187-0.00081363i, +0.00061603-0.00198802i, -0.00127483-0.00507716i, +0.03240515+0.00000000i, +0.00232762-0.00285797i, +0.00035867-0.00099683i, +0.00083362+0.00160623i, +0.00170932+0.00262755i, +0.00246186-0.00146272i, +0.00140618-0.00091192i, +0.00159412-0.00137099i, -0.00018834-0.00159148i, +0.00083690+0.00299347i, +0.00487911-0.00364639i, -0.00552380-0.00154469i, +0.00004330-0.00018757i, +0.00206018+0.00010205i, +0.00496571-0.00022505i, -0.00353261+0.00266421i, +0.00553299-0.00217037i, +0.00040063-0.00190828i, -0.00121612-0.00204639i, -0.00186170-0.00151984i, +0.00142628-0.00165357i, +0.00263632+0.00476126i, -0.00342822-0.00337478i
+0.00074584-0.00099918i, +0.00329379+0.00245915i, +0.00376849-0.00007809i, +0.00066047-0.00167927i, -0.00009724+0.00274981i, -0.00061834+0.00006890i, +0.00004082-0.00451144i, +0.00176468-0.00121957i, +0.00294641-0.00186764i, +0.00232762+0.00285797i, +0.02929160+0.00000000i, +0.00107168+0.00000323i, -0.00054950+0.00015349i, -0.00047779+0.00204305i, +0.00144654+0.00040271i, +0.00149219+0.00025377i, +0.00267577+0.00106442i, +0.00070261-0.00046827i, -0.00131834+0.00135546i, +0.00389936+0.00160483i, -0.00094239-0.00279464i, +0.00010935+0.00005862i, +0.00066748+0.00200398i, +0.00076497+0.00201217i, -0.00265946-0.00097340i, +0.00181370+0.00135182i, +0.00369613-0.00113063i, +0.00047670-0.00179985i, +0.00129455-0.00201993i, +0.00080943+0.00013893i, -0.00180997+0.00358370i, +0.00064461-0.00311125i
