+0.03255570-0.00000000i, +0.00008665+0.00387908i, -0.00171958+0.00016223i, -0.00149769+0.00054192i, -0.00016458-0.00246111i, -0.00020148+0.00032561i, +0.00229225+0.00000313i, -0.00025141-0.00031211i, +0.00087743-0.00150501i, +0.00231108+0.00069017i, +0.00212723-0.00149921i, +0.00132090+0.00148033i, +0.00084193+0.00138729i, +0.00024452+0.00004275i, +0.00031682-0.00280636i, +0.00029793-0.00045296i, +0.00338769-0.00203086i, -0.00151148-0.00164066i, -0.00280427+0.00144911i, +0.00003306+0.00145859i, +0.00330499-0.00062328i, -0.00039195+0.00162700i, +0.00196102+0.00039476i, -0.00002425-0.00337458i, -0.00111378-0.00078620i, +0.00148286+0.00202269i, +0.00011010+0.00106531i, -0.00233339-0.00309316i, -0.00146422+0.00322630i, +0.00019063+0.00231433i, -0.00028714+0.00232138i, -0.00044839-0.00302188i
+0.00008665-0.00387908i, +0.03436620-0.00000000i, +0.00081513+0.00120102i, -0.00066969+0.00151199i, -0.00282028+0.00001914i, +0.00163401+0.00037187i, -0.00066848-0.00188729i, +0.00074533+0.00143039i, -0.00158520-0.00077181i, +0.00018892-0.00264583i, -0.00202269-0.00190773i, +0.00088919-0.00167844i, +0.00168192+0.00003073i, +0.00032779+0.00046235i, -0.00252881+0.00061352i, +0.00032717-0.00027433i, -0.00274660-0.00280650i, -0.00146872+0.00179795i, +0.00212976+0.00425190i, +0.00233886+0.00047370i, -0.00122651-0.00288481i, +0.00285343-0.00003066i, +0.00020244-0.00318965i, -0.00374105-0.00001735i, -0.00068792+0.00265793i, +0.00313676-0.00234628i, +0.00063393+0.00024633i, -0.00398432+0.00235985i, +0.00342729+0.00151836i, +0.00162004-0.00092503i, +0.00250737+0.00022249i, -0.00270967+0.00075308i
-0.00171958-0.00016223i, +0.00081513-0.00120102i, +0.02866038-0.00000000i, +0.00066008-0.00016489i, -0.00041917+0.00061895i, +0.00077964-0.00072537i, -0.00108810+0.00031297i, +0.00026306+0.00044870i, -0.00033401+0.00024560i, -0.00055529-0.00048476i, -0.00053569-0.00039878i, -0.00084076-0.00067117i, -0.00046291+0.00022229i, -0.00041050+0.00051952i, -0.00033958+0.00074631i, +0.00013456-0.00033457i, -0.00099409+0.00027951i, +0.00089744-0.00030142i, +0.00099688+0.00004594i, +0.00026962-0.00070151i, -0.00122032-0.00063874i, +0.00016122-0.00038865i, -0.00003630+0.00004211i, +0.00010066+0.00049335i, +0.00016273+0.00021792i, -0.00024234-0.00064903i, +0.00049740-0.00043184i, -0.00016191+0.00057447i, +0.00050033-0.00092549i, +0.00036837-0.00093618i, -0.00009839-0.00051321i, +0.00007810+0.00134839i
-0.00149769-0.00054192i, -0.00066969-0.00151199i, +0.00066008+0.00016489i, +0.02986005-0.00000000i, -0.00085824+0.00184655i, +0.00078340+0.00052697i, -0.00092732+0.00002453i, +0.00029612-0.00012945i, -0.00052803-0.00006096i, -0.00111346-0.00042493i, -0.00050076+0.00034855i, -0.00080265-0.00076567i, -0.00007299-0.00148384i, +0.00072158+0.00031987i, -0.00018336+0.00100764i, -0.00104005+0.00000797i, -0.00175633+0.00139257i, +0.00045316+0.00072187i, +0.00157576-0.00097336i, +0.00036245-0.00028048i, -0.00129698+0.00011547i, -0.00000869-0.00099834i, -0.00146006-0.00069009i, +0.00031421+0.00213415i, +0.00068638-0.00020171i, +0.00002905-0.00076881i, +0.00040529-0.00056445i, +0.00175502+0.00158584i, +0.00057322-0.00124553i, -0.00063259-0.00067972i, +0.00039234-0.00157466i, +0.00019768+0.00163293i
-0.00016458+0.00246111i, -0.00282028-0.00001914i, -0.00041917-0.00061895i, -0.00085824-0.00184655i, +0.03160306-0.00000000i, -0.00024495-0.00006727i, +0.00066604+0.00218301i, -0.00079424-0.00093983i, +0.00074634+0.00065127i, -0.00095505+0.00117031i, +0.00038138+0.00084269i, -0.00147902+0.00139927i, -0.00158615+0.00066947i, +0.00005771+0.00029067i, +0.00108760+0.00006493i, -0.00002174+0.00119445i, +0.00173374+0.00272072i, +0.00090714-0.00101259i, -0.00044165-0.00228995i, -0.00129080-0.00036969i, +0.00034410+0.00290985i, -0.00155481-0.00061348i, -0.00098893+0.00188879i, +0.00255127-0.00017334i, +0.00038559-0.00074192i, -0.00157094+0.00084964i, -0.00114106+0.00000222i, +0.00329587-0.00194165i, -0.00246002-0.00093572i, -0.00144355+0.00029974i, -0.00168084+0.00000410i, +0.00168524-0.00036176i
-0.00020148-0.00032561i, +0.00163401-0.00037187i, +0.00077964+0.00072537i, +0.00078340-0.00052697i, -0.00024495+0.00006727i, +0.02813220-0.00000000i, -0.00039960+0.00002638i, -0.00015011-0.00012552i, +0.00019114+0.00027368i, -0.00050777-0.00066667i, -0.00029742-0.00047898i, +0.00040218-0.00078457i, +0.00018342+0.00013317i, +0.00020963+0.00045039i, -0.00079514+0.00077816i, +0.00018101-0.00010750i, -0.00107908-0.00001524i, -0.00039073+0.00083578i, +0.00106948+0.00094608i, +0.00101256-0.00039691i, -0.00073263-0.00034275i, +0.00032747+0.00003091i, -0.00023475-0.00118758i, -0.00064273+0.00079667i, +0.00016052+0.00010976i, +0.00042061-0.00023647i, +0.00067374+0.00004137i, -0.00045566+0.00152826i, +0.00111312+0.00003138i, -0.00001511-0.00022678i, +0.00007219-0.00055012i, -0.00059058+0.00057652i
+0.00229225-0.00000313i, -0.00066848+0.00188729i, -0.00108810-0.00031297i, -0.00092732-0.00002453i, +0.00066604-0.00218301i, -0.00039960-0.00002638i, +0.02970246-0.00000000i, -0.00016532-0.00001491i, +0.00128339+0.00008677i, +0.00122815+0.00122125i, +0.00119999-0.00065598i, +0.00068491+0.00139996i, -0.00032760+0.00122324i, -0.00035459+0.00041015i, -0.00047542-0.00058038i, +0.00067197+0.00039190i, +0.00223619-0.00103717i, -0.00098172-0.00129132i, -0.00314273-0.00025832i, -0.00044317+0.00158519i, +0.00201123+0.00037290i, -0.00062635+0.00158726i, +0.00137905+0.00100123i, +0.00057486-0.00207519i, -0.00088159+0.00002099i, +0.00059503+0.00165412i, -0.00066776+0.00084995i, -0.00106512-0.00264876i, -0.00168203+0.00240334i, +0.00042781+0.00091880i, -0.00018314+0.00168807i, +0.00031527-0.00181299i
-0.00025141+0.00031211i, +0.00074533-0.00143039i, +0.00026306-0.00044870i, +0.00029612+0.00012945i, -0.00079424+0.00093983i, -0.00015011+0.00012552i, -0.00016532+0.00001491i, +0.02878105-0.00000000i, -0.00085155+0.00083170i, +0.00025590-0.00054632i, +0.00003611+0.00028407i, -0.00093932+0.00027866i, +0.00004559-0.00052289i, +0.00043402-0.00034673i, +0.00047711+0.00014610i, -0.00025298+0.00031134i, -0.00025893+0.00004965i, +0.00018335-0.00021777i, +0.00078026-0.00006994i, -0.00030987-0.00080130i, -0.00077431+0.00058330i, -0.00011981-0.00067052i, -0.00040717-0.00063465i, +0.00051604-0.00004000i, +0.00012109+0.00027310i, -0.00051470-0.00022220i, -0.00021335-0.00059925i, +0.00048060+0.00033936i, +0.00026894-0.00041023i, -0.00015570-0.00061826i, -0.00008385-0.00009229i, -0.00001372+0.00103150i
+0.00087743+0.00150501i, -0.00158520+0.00077181i, -0.00033401-0.00024560i, -0.00052803+0.00006096i, +0.00074634-0.00065127i, +0.00019114-0.00027368i, +0.00128339-0.00008677i, -0.00085155-0.00083170i, +0.02986297-0.00000000i, +0.00082040+0.00128810i, +0.00065499-0.00005872i, +0.00007767+0.00134626i, +0.00038055+0.00079290i, -0.00053442-0.00057185i, +0.00023091-0.00048022i, +0.00017438+0.00057343i, +0.00061695+0.00049717i, +0.00012220-0.00061709i, -0.00090284-0.00078053i, -0.00034999+0.00104350i, +0.00199349+0.00086585i, -0.00075652+0.00055666i, +0.00076412+0.00066853i, +0.00079673-0.00083848i, -0.00038796-0.00065087i, +0.00061620+0.00134990i, -0.00036091+0.00061803i, +0.00025572-0.00184070i, -0.00143114+0.00106390i, -0.00016479+0.00058282i, -0.00033924+0.00061883i, +0.00049380-0.00080996i
+0.00231108-0.00069017i, +0.00018892+0.00264583i, -0.00055529+0.00048476i, -0.00111346+0.00042493i, -0.00095505-0.00117031i, -0.00050777+0.00066667i, +0.00122815-0.00122125i, +0.00025590+0.00054632i, +0.00082040-0.00128810i, +0.02967215-0.00000000i, +0.00097853-0.00094759i, +0.00007731+0.00025181i, +0.00028704+0.00126542i, -0.00008641+0.00048970i, +0.00072215-0.00171933i, +0.00006280-0.00054300i, +0.00188044-0.00184194i, -0.00108752-0.00042018i, -0.00232548+0.00133863i, +0.00049992+0.00102201i, +0.00188960-0.00104583i, +0.00068712+0.00207337i, +0.00188560-0.00019969i, -0.00026878-0.00260018i, -0.00127875-0.00054041i, +0.00111375+0.00115303i, +0.00013146+0.00018875i, -0.00235282-0.00198801i, -0.00100404+0.00201427i, +0.00046937+0.00129580i, +0.00013396+0.00165277i, -0.00141270-0.00115002i
+0.00212723+0.00149921i, -0.00202269+0.00190773i, -0.00053569+0.00039878i, -0.00050076-0.00034855i, +0.00038138-0.00084269i, -0.00029742+0.00047898i, +0.00119999+0.00065598i, +0.00003611-0.00028407i, +0.00065499+0.00005872i, +0.00097853+0.00094759i, +0.03020761-0.00000000i, +0.00103494+0.00137368i, -0.00045903+0.00074971i, -0.00044388+0.00044861i, +0.00093486-0.00164643i, +0.00039592+0.00023995i, +0.00204455-0.00000553i, -0.00085499-0.00136407i, -0.00152130-0.00022894i, -0.00066251+0.00076429i, +0.00193990+0.00009270i, -0.00087618+0.00097024i, +0.00158183+0.00105694i, +0.00067555-0.00171374i, -0.00086969-0.00061423i, +0.00033178+0.00180096i, -0.00032330+0.00108785i, +0.00041545-0.00253998i, -0.00186550+0.00147092i, -0.00047380+0.00105290i, -0.00083534+0.00141612i, +0.00093012-0.00178411i
