+0.03030811-0.00000000i, -0.00639671+0.00162041i, +0.00386738-0.00595826i, -0.00168547-0.00450319i, +0.00225408-0.00126709i, -0.00582943+0.00145169i, -0.00084980-0.00410855i, +0.00408770+0.00060627i, +0.00768083+0.00034838i, -0.00359389+0.00585562i, +0.00661042-0.00176012i, -0.00304571-0.00523217i, -0.00139645+0.00197499i, +0.00149635-0.00352447i, +0.00010274+0.00250667i, -0.00297395+0.00238504i, -0.00156458+0.00435926i, -0.00243173+0.00450024i, -0.00445141-0.00158027i, +0.00250226+0.00091779i, +0.00210117-0.00445090i, -0.00339806+0.00012886i, +0.00666881+0.00959486i, +0.00019841-0.00332377i, -0.00031375-0.00419161i, -0.00191998+0.00516301i, +0.00285635-0.00066536i, -0.00024189-0.00395712i, -0.00906021-0.00114686i, -0.00321958+0.00175803i, +0.00505559-0.00448990i, +0.00500293-0.00036621i
-0.00639671-0.00162041i, +0.03210101-0.00000000i, -0.00297263+0.00389744i, +0.00488117+0.00248777i, -0.00405779+0.00088050i, +0.00825853-0.00023021i, +0.00364163+0.00286964i, -0.00398377-0.00274984i, -0.00775508-0.00193782i, +0.00498789-0.00751501i, -0.00793701+0.00099249i, +0.00278304+0.00779649i, +0.00114524-0.00186266i, -0.00431691+0.00524567i, +0.00030666-0.00399351i, +0.00339769-0.00095415i, +0.00382155-0.00428030i, +0.00474191-0.00457285i, +0.00486909+0.00165721i, -0.00113909-0.00308537i, -0.00135868+0.00525933i, +0.00392654+0.00138719i, -0.00319487-0.01335690i, -0.00406969+0.00395079i, -0.00029242+0.00396747i, +0.00034390-0.00378121i, -0.00209265-0.00078327i, -0.00195527+0.00459724i, +0.01028052+0.00201812i, +0.00633022-0.00132504i, -0.00711144+0.00261309i, -0.00448087+0.00218717i
+0.00386738+0.00595826i, -0.00297263-0.00389744i, +0.03037711-0.00000000i, -0.00034417-0.00373589i, +0.00112691+0.00033737i, -0.00321515-0.00415370i, +0.00240889-0.00156806i, +0.00108884+0.00404482i, +0.00074782+0.00598380i, -0.00697250+0.00043939i, +0.00629538+0.00321225i, +0.00308224-0.00441440i, -0.00072664+0.00025967i, +0.00451530+0.00008405i, -0.00103065-0.00031229i, -0.00169489-0.00322395i, -0.00423412+0.00123493i, -0.00363284-0.00221149i, -0.00216044-0.00241945i, -0.00003301+0.00254724i, +0.00419040-0.00056285i, -0.00027352-0.00304747i, -0.00566685+0.00766082i, +0.00462323-0.00032896i, +0.00323007-0.00134379i, -0.00444439+0.00194243i, +0.00051269+0.00284071i, +0.00403587-0.00062417i, -0.00173104-0.01011279i, -0.00388552-0.00193379i, +0.00517364+0.00326038i, +0.00288367+0.00275712i
-0.00168547+0.00450319i, +0.00488117-0.00248777i, -0.00034417+0.00373589i, +0.02486643-0.00000000i, +0.00024794+0.00269225i, +0.00325167-0.00152273i, +0.00376790+0.00182231i, -0.00240362-0.00091144i, -0.00350246+0.00003992i, -0.00070603-0.00432119i, -0.00403987+0.00330154i, +0.00482254+0.00289100i, +0.00020029-0.00117559i, -0.00114678+0.00273174i, -0.00147072-0.00123116i, +0.00105645-0.00113742i, +0.00094022-0.00219641i, +0.00144856-0.00207342i, +0.00182902-0.00066945i, -0.00113933-0.00135500i, -0.00004272+0.00191784i, +0.00218558-0.00076617i, -0.00357759-0.00461163i, -0.00066928+0.00375869i, -0.00037368+0.00164088i, +0.00014880-0.00362812i, -0.00032552+0.00146302i, +0.00008787+0.00177728i, +0.00454065-0.00210878i, +0.00277828-0.00121140i, -0.00180160+0.00278338i, -0.00004567+0.00154063i
+0.00225408+0.00126709i, -0.00405779-0.00088050i, +0.00112691-0.00033737i, +0.00024794-0.00269225i, +0.02506483-0.00000000i, -0.00111362-0.00305965i, +0.00061618-0.00155429i, -0.00056013+0.00210026i, +0.00150910+0.00260738i, -0.00208232+0.00058562i, +0.00254904+0.00235520i, -0.00066996-0.00229771i, -0.00080471+0.00039048i, +0.00170951+0.00003999i, -0.00046911+0.00168919i, -0.00139257-0.00084142i, -0.00254948-0.00075537i, -0.00193941+0.00054698i, -0.00111735-0.00106326i, -0.00117468+0.00067237i, +0.00117457-0.00071658i, -0.00004935-0.00010367i, -0.00275451+0.00449894i, +0.00151649-0.00037882i, -0.00130507-0.00224690i, -0.00252533-0.00035993i, +0.00131946+0.00247348i, +0.00124237+0.00008630i, -0.00159028-0.00419501i, -0.00051123-0.00052412i, +0.00185984+0.00215485i, +0.00156604+0.00110403i
-0.00582943-0.00145169i, +0.00825853+0.00023021i, -0.00321515+0.00415370i, +0.00325167+0.00152273i, -0.00111362+0.00305965i, +0.03392410-0.00000000i, -0.00000816+0.00594228i, -0.00426499-0.00363590i, -0.00856816-0.00404666i, +0.00448937-0.00619133i, -0.00798516+0.00046603i, +0.00315577+0.00806452i, +0.00107395-0.00121835i, -0.00396080+0.00570876i, -0.00017360-0.00258309i, +0.00438884+0.00105337i, +0.00386306-0.00488409i, +0.00442721-0.00535073i, +0.00401866+0.00001498i, -0.00179424-0.00357015i, -0.00050762+0.00502641i, +0.00249860+0.00022708i, -0.00444480-0.01365875i, -0.00335388+0.00502923i, -0.00133826+0.00375410i, -0.00045972-0.00622627i, -0.00467546-0.00112704i, -0.00124517+0.00522583i, +0.01105859+0.00383012i, +0.00602237-0.00130377i, -0.00760447+0.00296710i, -0.00482665+0.00213587i
-0.00084980+0.00410855i, +0.00364163-0.00286964i, +0.00240889+0.00156806i, +0.00376790-0.00182231i, +0.00061618+0.00155429i, -0.00000816-0.00594228i, +0.03129631-0.00000000i, -0.00170839-0.00074818i, -0.00264422+0.00549207i, -0.00382545-0.00312015i, -0.00129101+0.00488833i, +0.00477027-0.00074418i, -0.00071900-0.00072473i, +0.00244984+0.00331704i, -0.00235987+0.00037283i, -0.00054571-0.00237155i, -0.00238763-0.00269663i, -0.00265624-0.00281037i, -0.00065875-0.00123402i, -0.00206484+0.00016648i, +0.00310100+0.00146430i, -0.00032226-0.00139623i, -0.00928867+0.00100208i, +0.00336540+0.00330024i, +0.00322820-0.00117633i, -0.00292684-0.00138910i, +0.00030418+0.00136482i, +0.00269786+0.00217025i, +0.00180599-0.00753180i, +0.00037718-0.00307083i, +0.00219775+0.00545670i, +0.00045457+0.00310961i
+0.00408770-0.00060627i, -0.00398377+0.00274984i, +0.00108884-0.00404482i, -0.00240362+0.00091144i, -0.00056013-0.00210026i, -0.00426499+0.00363590i, -0.00170839+0.00074818i, +0.02449031-0.00000000i, +0.00437709-0.00120931i, -0.00043548+0.00405467i, +0.00444166-0.00271934i, -0.00420747-0.00196200i, -0.00015201+0.00098261i, -0.00016295-0.00309686i, +0.00045164+0.00071923i, -0.00240100+0.00185590i, +0.00087639+0.00386660i, -0.00025776+0.00313569i, -0.00299019-0.00011900i, +0.00211205+0.00060363i, -0.00056687-0.00363164i, -0.00173676-0.00102946i, +0.00564461+0.00460068i, -0.00008149-0.00376070i, -0.00073208-0.00242013i, +0.00020193+0.00183672i, +0.00282491-0.00038228i, -0.00000103-0.00243886i, -0.00467024+0.00166763i, -0.00195451+0.00221650i, +0.00303080-0.00383097i, +0.00225516-0.00185877i
+0.00768083-0.00034838i, -0.00775508+0.00193782i, +0.00074782-0.00598380i, -0.00350246-0.00003992i, +0.00150910-0.00260738i, -0.00856816+0.00404666i, -0.00264422-0.00549207i, +0.00437709+0.00120931i, +0.03766568+0.00000000i, -0.00334549+0.00812185i, +0.01003439-0.00293419i, -0.00512500-0.00863001i, -0.00063426+0.00356500i, +0.00219762-0.00692290i, +0.00081462+0.00346813i, -0.00541804+0.00136870i, -0.00268792+0.00573919i, -0.00228632+0.00776767i, -0.00361727+0.00124827i, +0.00084993+0.00199702i, -0.00000178-0.00680410i, -0.00384479-0.00032488i, +0.00835401+0.01346028i, +0.00091419-0.00537656i, -0.00030308-0.00458291i, +0.00084535+0.00439936i, +0.00395805-0.00002355i, -0.00119817-0.00508961i, -0.01077555+0.00057100i, -0.00578879+0.00314674i, +0.00819638-0.00479907i, +0.00352877-0.00204539i
-0.00359389-0.00585562i, +0.00498789+0.00751501i, -0.00697250-0.00043939i, -0.00070603+0.00432119i, -0.00208232-0.00058562i, +0.00448937+0.00619133i, -0.00382545+0.00312015i, -0.00043548-0.00405467i, -0.00334549-0.00812185i, +0.03581440+0.00000000i, -0.00753597-0.00807909i, -0.00369016+0.00634215i, +0.00209801-0.00029971i, -0.00593315+0.00001111i, +0.00040744-0.00074529i, +0.00268064+0.00233736i, +0.00491774-0.00028619i, +0.00457270+0.00090249i, +0.00308194+0.00186400i, +0.00121961-0.00209972i, -0.00617978+0.00158146i, +0.00059236+0.00275458i, +0.00760823-0.01000591i, -0.00685858-0.00121185i, -0.00533455+0.00072690i, +0.00475803-0.00120776i, -0.00144268-0.00461142i, -0.00516725+0.00229749i, +0.00345825+0.01019106i, +0.00454999+0.00290646i, -0.00676218-0.00445657i, -0.00491003-0.00270836i
+0.00661042+0.00176012i, -0.00793701-0.00099249i, +0.00629538-0.00321225i, -0.00403987-0.00330154i, +0.00254904-0.00235520i, -0.00798516-0.00046603i, -0.00129101-0.00488833i, +0.00444166+0.00271934i, +0.01003439+0.00293419i, -0.00753597+0.00807909i, +0.03933075-0.00000000i, -0.00361790-0.01104567i, -0.00153408+0.00179030i, +0.00545525-0.00642991i, +0.00031039+0.00454790i, -0.00345223+0.00174108i, -0.00448725+0.00577271i, -0.00406122+0.00471240i, -0.00413505-0.00019761i, +0.00317222+0.00313533i, +0.00403611-0.00638931i, -0.00327061-0.00286268i, +0.00195267+0.01725961i, +0.00541860-0.00308227i, +0.00163902-0.00497392i, -0.00406948+0.00445028i, +0.00492207+0.00053726i, +0.00156969-0.00568464i, -0.01071914-0.00398468i, -0.00781868+0.00019645i, +0.01024768-0.00158800i, +0.00568251-0.00148248i
