+0.03200767-0.00000000i, +0.00140425+0.00331632i, +0.00277992+0.00040657i, -0.00044312+0.00165761i, -0.00024003-0.00091386i, +0.00228757+0.00538409i, -0.00269937-0.00259232i, -0.00078505-0.00319013i, +0.00494835+0.00086692i, +0.00469453+0.00003846i, +0.00301693+0.00335650i, +0.00049676+0.00039253i, +0.00119423-0.00322921i, +0.00053520+0.00069690i, +0.00092774-0.00076471i, +0.00068842-0.00074415i, +0.00050960+0.00122989i, +0.00016759+0.00123981i, -0.00471006+0.00170480i, -0.00233483-0.00169709i, +0.00106255-0.00267957i, -0.00093273-0.00046254i, -0.00027264-0.00326935i, -0.00068485-0.00121665i, -0.00132833+0.00570100i, +0.00110966+0.00086347i, +0.00295587-0.00111639i, +0.00138222+0.00041580i, +0.00046882+0.00133915i, +0.00242730+0.00261920i, +0.00282125-0.00480374i, +0.00187156+0.00413438i
+0.00140425-0.00331632i, +0.03345537-0.00000000i, +0.00051177-0.00113155i, +0.00073755+0.00195786i, -0.00064494+0.00102053i, +0.00639914-0.00281445i, -0.00357340+0.00148015i, -0.00329873+0.00195393i, +0.00131426-0.00434791i, +0.00089287-0.00649927i, +0.00478831-0.00208617i, -0.00015927-0.00211945i, -0.00158098-0.00143998i, +0.00189159-0.00123610i, -0.00079385-0.00080976i, -0.00248259+0.00044570i, -0.00035707-0.00025033i, +0.00036120+0.00034937i, +0.00107054+0.00346231i, -0.00278702+0.00266782i, -0.00248880-0.00230055i, +0.00019550+0.00080242i, -0.00250400+0.00003018i, -0.00141343+0.00186884i, +0.00539909+0.00261212i, +0.00166606-0.00078371i, -0.00061606-0.00353751i, +0.00057805-0.00105250i, +0.00109395-0.00048468i, +0.00378493-0.00215796i, -0.00512057-0.00311910i, +0.00413602-0.00013429i
+0.00277992-0.00040657i, +0.00051177+0.00113155i, +0.03264777+0.00000000i, -0.00142368+0.00084993i, +0.00042603-0.00039516i, +0.00191503+0.00414089i, -0.00181256-0.00038469i, -0.00019952-0.00302454i, +0.00345903+0.00062000i, +0.00395094+0.00138743i, +0.00192319+0.00197529i, +0.00103021+0.00086914i, +0.00139838-0.00042221i, +0.00017515+0.00176897i, +0.00051209-0.00027898i, +0.00017621-0.00026299i, +0.00016579+0.00044514i, -0.00074414+0.00003356i, -0.00321285+0.00071004i, -0.00210782-0.00192310i, +0.00160932-0.00153522i, -0.00019545-0.00069596i, +0.00015155-0.00161915i, -0.00065284-0.00130027i, -0.00131212+0.00438273i, +0.00121934+0.00037884i, +0.00296990+0.00063317i, +0.00229733+0.00088540i, +0.00052784+0.00112858i, +0.00126636+0.00172264i, +0.00198816-0.00265160i, +0.00074388+0.00332470i
-0.00044312-0.00165761i, +0.00073755-0.00195786i, -0.00142368-0.00084993i, +0.02731459-0.00000000i, -0.00055920+0.00089207i, +0.00066393-0.00502142i, +0.00064634+0.00207156i, -0.00002699+0.00140394i, -0.00239896-0.00163682i, -0.00310350-0.00159851i, +0.00011879-0.00335069i, -0.00035064-0.00162600i, -0.00180788+0.00030937i, +0.00078376-0.00098195i, -0.00101612-0.00132408i, -0.00033416+0.00067864i, +0.00037980+0.00021764i, +0.00050423-0.00041494i, +0.00322653+0.00198381i, +0.00080023+0.00295676i, -0.00177663+0.00020430i, +0.00107710+0.00157925i, -0.00135474+0.00105081i, +0.00224285+0.00130705i, +0.00257892-0.00281951i, -0.00078110-0.00076987i, -0.00222845-0.00091383i, -0.00029826-0.00007068i, -0.00018562-0.00051687i, +0.00016720-0.00220154i, -0.00343616+0.00095968i, +0.00032834-0.00218658i
-0.00024003+0.00091386i, -0.00064494-0.00102053i, +0.00042603+0.00039516i, -0.00055920-0.00089207i, +0.02867667-0.00000000i, -0.00200849+0.00092248i, +0.00142335-0.00145463i, +0.00102565-0.00050837i, +0.00075056+0.00093800i, +0.00058951+0.00093862i, -0.00090330+0.00051089i, +0.00045745+0.00074656i, -0.00030094+0.00091969i, -0.00038329+0.00015995i, -0.00007618+0.00012131i, -0.00014760-0.00055735i, +0.00018644+0.00016745i, -0.00081995+0.00004344i, -0.00071537-0.00163757i, +0.00121743-0.00019752i, +0.00105515+0.00076656i, +0.00080451-0.00036889i, +0.00117774+0.00035100i, +0.00010357+0.00004869i, -0.00183368-0.00038131i, +0.00057168+0.00010780i, +0.00095892+0.00048162i, -0.00006694+0.00069910i, +0.00085220+0.00087192i, -0.00078485+0.00168049i, +0.00153188+0.00060559i, -0.00061763+0.00063256i
+0.00228757-0.00538409i, +0.00639914+0.00281445i, +0.00191503-0.00414089i, +0.00066393+0.00502142i, -0.00200849-0.00092248i, +0.04071264-0.00000000i, -0.00632910+0.00014866i, -0.00502892-0.00160189i, +0.00569680-0.00700088i, +0.00551932-0.00879606i, +0.00834180-0.00029965i, +0.00147326-0.00377178i, -0.00071341-0.00439653i, +0.00327169+0.00033533i, -0.00050855-0.00267021i, -0.00159335-0.00037312i, +0.00034282+0.00041037i, +0.00203429+0.00003944i, -0.00131616+0.00626535i, -0.00559513+0.00346348i, -0.00352925-0.00547014i, -0.00081839+0.00135118i, -0.00465494-0.00188126i, -0.00265112+0.00201450i, +0.00614596+0.00651590i, +0.00173016-0.00159140i, +0.00149048-0.00519136i, +0.00230232-0.00033413i, +0.00084663-0.00088869i, +0.00860780+0.00000129i, -0.00541738-0.00853581i, +0.00596966+0.00126813i
-0.00269937+0.00259232i, -0.00357340-0.00148015i, -0.00181256+0.00038469i, +0.00064634-0.00207156i, +0.00142335+0.00145463i, -0.00632910-0.00014866i, +0.03397681-0.00000000i, +0.00191639+0.00061098i, -0.00274312+0.00217485i, -0.00202113+0.00277865i, -0.00562254-0.00064274i, +0.00025244+0.00104064i, -0.00014537+0.00092247i, -0.00233972+0.00013185i, +0.00005456+0.00200381i, +0.00055794+0.00116345i, -0.00017199-0.00013149i, -0.00123937-0.00048121i, +0.00007308-0.00360173i, +0.00296718-0.00083238i, +0.00067190+0.00354413i, +0.00182992+0.00003759i, +0.00294647+0.00150525i, +0.00121958-0.00096185i, -0.00244990-0.00463779i, -0.00057443+0.00055282i, -0.00211020+0.00320398i, -0.00039673+0.00095705i, -0.00082145+0.00040128i, -0.00354017+0.00078912i, +0.00244556+0.00522939i, -0.00345706-0.00157671i
-0.00078505+0.00319013i, -0.00329873-0.00195393i, -0.00019952+0.00302454i, -0.00002699-0.00140394i, +0.00102565+0.00050837i, -0.00502892+0.00160189i, +0.00191639-0.00061098i, +0.02867044-0.00000000i, -0.00155884+0.00347602i, -0.00120198+0.00413505i, -0.00393121+0.00102210i, +0.00026865+0.00041120i, +0.00102905+0.00124086i, -0.00080272+0.00062552i, +0.00039926+0.00153586i, +0.00194758+0.00166757i, +0.00010569-0.00018761i, -0.00139871+0.00018208i, +0.00079504-0.00293914i, +0.00210271-0.00108129i, +0.00221109+0.00224166i, +0.00039986-0.00098782i, +0.00216558+0.00020813i, +0.00181272-0.00097478i, -0.00374247-0.00264123i, -0.00141418+0.00002154i, -0.00018623+0.00246515i, -0.00082520+0.00166096i, -0.00148924-0.00013116i, -0.00288776+0.00093196i, +0.00336931+0.00403082i, -0.00237714-0.00023808i
+0.00494835-0.00086692i, +0.00131426+0.00434791i, +0.00345903-0.00062000i, -0.00239896+0.00163682i, +0.00075056-0.00093800i, +0.00569680+0.00700088i, -0.00274312-0.00217485i, -0.00155884-0.00347602i, +0.03637121-0.00000000i, +0.00922909-0.00240464i, +0.00507200+0.00560131i, +0.00309710+0.00052906i, +0.00100878-0.00348686i, +0.00173549+0.00074223i, +0.00025366-0.00186267i, +0.00019608-0.00122424i, +0.00095804+0.00115133i, +0.00132235+0.00052486i, -0.00447120+0.00341469i, -0.00380875-0.00113635i, +0.00025898-0.00398939i, -0.00139306-0.00077963i, -0.00140521-0.00279739i, -0.00206780-0.00073252i, +0.00026374+0.00946434i, +0.00159963-0.00009366i, +0.00370392-0.00203203i, +0.00200747+0.00132716i, +0.00182815+0.00157212i, +0.00402597+0.00288659i, +0.00181726-0.00828487i, +0.00215255+0.00414036i
+0.00469453-0.00003846i, +0.00089287+0.00649927i, +0.00395094-0.00138743i, -0.00310350+0.00159851i, +0.00058951-0.00093862i, +0.00551932+0.00879606i, -0.00202113-0.00277865i, -0.00120198-0.00413505i, +0.00922909+0.00240464i, +0.03756766-0.00000000i, +0.00345017+0.00742217i, +0.00232026+0.00061655i, +0.00237326-0.00378315i, +0.00106651+0.00202360i, +0.00153254-0.00103229i, -0.00011599-0.00153643i, -0.00010470+0.00084180i, +0.00084412+0.00245913i, -0.00496313+0.00157622i, -0.00323467-0.00252730i, +0.00263426-0.00359164i, -0.00191707-0.00127337i, -0.00013545-0.00308963i, -0.00230123-0.00091213i, -0.00320823+0.00789759i, +0.00272360+0.00158917i, +0.00552934-0.00213102i, +0.00133955+0.00112886i, +0.00117590+0.00056718i, +0.00410124+0.00613496i, +0.00436772-0.00675139i, +0.00121674+0.00558959i
+0.00301693-0.00335650i, +0.00478831+0.00208617i, +0.00192319-0.00197529i, +0.00011879+0.00335069i, -0.00090330-0.00051089i, +0.00834180+0.00029965i, -0.00562254+0.00064274i, -0.00393121-0.00102210i, +0.00507200-0.00560131i, +0.00345017-0.00742217i, +0.03485064-0.00000000i, +0.00020582-0.00233624i, -0.00085452-0.00309217i, +0.00223273+0.00063906i, -0.00039294-0.00318881i, -0.00118098-0.00073473i, +0.00059801-0.00062292i, +0.00118392+0.00069128i, -0.00207841+0.00574409i, -0.00385104+0.00179694i, -0.00162207-0.00379478i, -0.00131860+0.00095180i, -0.00370853-0.00201782i, -0.00213744+0.00106983i, +0.00509532+0.00648707i, +0.00109220-0.00040053i, +0.00140398-0.00355281i, +0.00114056-0.00028705i, +0.00081180-0.00036574i, +0.00551117-0.00031571i, -0.00508121-0.00729656i, +0.00404503+0.00150831i
