+0.03688186-0.00000000i, -0.00214494-0.00056332i, -0.00182002-0.00210050i, -0.00048378+0.00119903i, -0.00246536+0.00114003i, +0.00243574+0.00082060i, +0.00203573+0.00169304i, -0.00039338-0.00264012i, +0.00146061+0.00120707i, -0.00148141+0.00327848i, -0.00068005-0.00037771i, +0.00451708+0.00134386i, +0.00001580+0.00014434i, -0.00096231-0.00158799i, -0.00035944-0.00060346i, -0.00066026+0.00183287i, -0.00423854-0.00193363i, -0.00009160-0.00294957i, -0.00211807+0.00037584i, -0.00009680+0.00216839i, -0.00083939+0.00288402i, +0.00154353+0.00091404i, +0.00038373-0.00145816i, -0.00092402-0.00016507i, +0.00274691+0.00171135i, -0.00082561+0.00263914i, +0.00100875+0.00211134i, +0.00043475+0.00115409i, +0.00336558+0.00112015i, +0.00086008+0.00172242i, -0.00013689+0.00389475i, +0.00364799-0.00054291i
-0.00214494+0.00056332i, +0.03247968+0.00000000i, +0.00177656+0.00027525i, -0.00036245-0.00021822i, -0.00007891-0.00078202i, -0.00161097+0.00056427i, -0.00146619-0.00036452i, -0.00004340+0.00118867i, -0.00045723-0.00015125i, -0.00010598-0.00153943i, +0.00074822-0.00035382i, -0.00307349+0.00036857i, +0.00015976+0.00012874i, +0.00099216+0.00005897i, +0.00040082+0.00022070i, -0.00058327-0.00086947i, +0.00274937-0.00068094i, +0.00162571+0.00039954i, +0.00098730-0.00056152i, -0.00100461-0.00074072i, -0.00042647-0.00177695i, -0.00112889-0.00012832i, -0.00018445+0.00019629i, +0.00044228+0.00000780i, -0.00129618+0.00008970i, -0.00019912-0.00136475i, -0.00053111-0.00038305i, -0.00071500-0.00060521i, -0.00191595+0.00012704i, -0.00109754-0.00082531i, -0.00042159-0.00127746i, -0.00163743+0.00126408i
-0.00182002+0.00210050i, +0.00177656-0.00027525i, +0.03098958-0.00000000i, -0.00050004-0.00099886i, +0.00093220-0.00070398i, -0.00139755+0.00039789i, -0.00164066-0.00019630i, +0.00058199+0.00088691i, -0.00027528-0.00005550i, -0.00041946-0.00174219i, +0.00110904-0.00042541i, -0.00186682+0.00049860i, -0.00003685+0.00043378i, +0.00038881+0.00080941i, +0.00040919-0.00002375i, -0.00056636-0.00068508i, +0.00174181-0.00103249i, +0.00087034+0.00093621i, +0.00126175-0.00203547i, -0.00077284-0.00020603i, -0.00084700-0.00170910i, -0.00090001+0.00031334i, +0.00117494+0.00109117i, +0.00062818-0.00014511i, -0.00139995+0.00000462i, -0.00070848-0.00165383i, -0.00064704-0.00042926i, -0.00069497-0.00035526i, -0.00107478+0.00106704i, -0.00065079-0.00013765i, -0.00050481-0.00164354i, -0.00054088+0.00138026i
-0.00048378-0.00119903i, -0.00036245+0.00021822i, -0.00050004+0.00099886i, +0.03064075-0.00000000i, +0.00018489+0.00033092i, -0.00005738-0.00045768i, -0.00005141-0.00022406i, -0.00065455+0.00047944i, -0.00020908-0.00068880i, +0.00115421-0.00027323i, -0.00046738+0.00040496i, +0.00059917-0.00061185i, -0.00040697+0.00046771i, -0.00018989-0.00024813i, -0.00062931+0.00045789i, +0.00038783-0.00056090i, +0.00018097+0.00130255i, -0.00023480-0.00004511i, +0.00066859+0.00052897i, +0.00073546-0.00097984i, +0.00088235-0.00030815i, +0.00014031-0.00012610i, -0.00019559-0.00003709i, +0.00029496+0.00071591i, +0.00053759-0.00070477i, +0.00050759+0.00006575i, +0.00041305-0.00049119i, +0.00029532-0.00000968i, -0.00016894-0.00064755i, -0.00017355-0.00061550i, +0.00090394-0.00046219i, -0.00056841-0.00046525i
-0.00246536-0.00114003i, -0.00007891+0.00078202i, +0.00093220+0.00070398i, +0.00018489-0.00033092i, +0.03000411-0.00000000i, -0.00063084-0.00053898i, -0.00025931-0.00090180i, -0.00067380+0.00062738i, +0.00006484-0.00052730i, +0.00072739-0.00128739i, +0.00021156+0.00046084i, -0.00091018-0.00130835i, -0.00028861+0.00032749i, -0.00029511+0.00129182i, +0.00006955+0.00058213i, +0.00054836-0.00048061i, +0.00105988+0.00118318i, -0.00063546+0.00143868i, +0.00079177+0.00024950i, +0.00047608-0.00083496i, +0.00038796-0.00186846i, -0.00053909-0.00033792i, -0.00030922+0.00081596i, +0.00042519-0.00000214i, -0.00031371-0.00056711i, +0.00062023-0.00061067i, +0.00048575-0.00144756i, +0.00041833-0.00055141i, -0.00040179-0.00071344i, -0.00019885-0.00079138i, +0.00093129-0.00080007i, -0.00090792-0.00061666i
+0.00243574-0.00082060i, -0.00161097-0.00056427i, -0.00139755-0.00039789i, -0.00005738+0.00045768i, -0.00063084+0.00053898i, +0.03105598-0.00000000i, +0.00152585+0.00052911i, -0.00097425-0.00062110i, +0.00042187+0.00027671i, +0.00035944+0.00182501i, -0.00076465+0.00054602i, +0.00161102+0.00004802i, +0.00040869+0.00031081i, -0.00080126-0.00015266i, -0.00027033-0.00039906i, +0.00019837+0.00077118i, -0.00237584+0.00064124i, -0.00055587-0.00128328i, -0.00040073+0.00092359i, +0.00023948+0.00122788i, +0.00045013+0.00170022i, +0.00096453-0.00058710i, -0.00009554-0.00073388i, -0.00065830-0.00003925i, +0.00150702+0.00019587i, -0.00011426+0.00162727i, +0.00072103+0.00073537i, -0.00037453+0.00066831i, +0.00150991+0.00007095i, +0.00138230+0.00062780i, +0.00036940+0.00180254i, +0.00160792-0.00086284i
+0.00203573-0.00169304i, -0.00146619+0.00036452i, -0.00164066+0.00019630i, -0.00005141+0.00022406i, -0.00025931+0.00090180i, +0.00152585-0.00052911i, +0.03148177-0.00000000i, -0.00127703-0.00193284i, +0.00059886+0.00021273i, +0.00125578+0.00187454i, -0.00002917+0.00043302i, +0.00221899-0.00137382i, +0.00043709+0.00035333i, -0.00098869+0.00012113i, -0.00138709+0.00032527i, +0.00063940+0.00064468i, -0.00190694+0.00129416i, -0.00143712-0.00106560i, -0.00064694+0.00146431i, +0.00080782+0.00053985i, +0.00107913+0.00196187i, +0.00037510-0.00059215i, +0.00014817-0.00177072i, -0.00060867+0.00052557i, +0.00154678-0.00028658i, +0.00095060+0.00168386i, +0.00091377+0.00073334i, +0.00050850+0.00008895i, +0.00156490-0.00110262i, +0.00090190-0.00022054i, +0.00129407+0.00151928i, +0.00063689-0.00154058i
-0.00039338+0.00264012i, -0.00004340-0.00118867i, +0.00058199-0.00088691i, -0.00065455-0.00047944i, -0.00067380-0.00062738i, -0.00097425+0.00062110i, -0.00127703+0.00193284i, +0.03093454+0.00000000i, -0.00036214+0.00058317i, -0.00134649-0.00061120i, +0.00070751-0.00038844i, -0.00073378+0.00226589i, -0.00029419-0.00053315i, +0.00082289-0.00057926i, +0.00003104-0.00033053i, -0.00128010-0.00048966i, +0.00053638-0.00175398i, +0.00127298-0.00024567i, -0.00052227-0.00098302i, -0.00081091+0.00011760i, -0.00105436-0.00016510i, +0.00002121+0.00078900i, +0.00069163+0.00007244i, +0.00024018-0.00142653i, -0.00067022+0.00107757i, -0.00134725-0.00003878i, -0.00103901-0.00001921i, -0.00047769+0.00041043i, -0.00050813+0.00127979i, -0.00054007+0.00056549i, -0.00136132+0.00007200i, +0.00061269+0.00132577i
+0.00146061-0.00120707i, -0.00045723+0.00015125i, -0.00027528+0.00005550i, -0.00020908+0.00068880i, +0.00006484+0.00052730i, +0.00042187-0.00027671i, +0.00059886-0.00021273i, -0.00036214-0.00058317i, +0.03007377+0.00000000i, +0.00033234+0.00119716i, -0.00055777-0.00005289i, +0.00071453-0.00017296i, +0.00044097-0.00050553i, -0.00029555+0.00030344i, -0.00018199-0.00064389i, +0.00043789+0.00114489i, -0.00125613+0.00062322i, -0.00081196-0.00063733i, -0.00053362+0.00007654i, +0.00024857+0.00018624i, +0.00020963+0.00000989i, +0.00009801-0.00006624i, +0.00004836+0.00014387i, -0.00007537+0.00048362i, +0.00025507-0.00058408i, -0.00005866+0.00069762i, +0.00002161+0.00005247i, +0.00025822+0.00008746i, +0.00053123-0.00035635i, +0.00076421+0.00009113i, +0.00074709+0.00054217i, +0.00071039-0.00048450i
-0.00148141-0.00327848i, -0.00010598+0.00153943i, -0.00041946+0.00174219i, +0.00115421+0.00027323i, +0.00072739+0.00128739i, +0.00035944-0.00182501i, +0.00125578-0.00187454i, -0.00134649+0.00061120i, +0.00033234-0.00119716i, +0.03232752-0.00000000i, +0.00024791+0.00121242i, -0.00045399-0.00329466i, -0.00027154-0.00033636i, -0.00036316+0.00055618i, -0.00050440+0.00065155i, +0.00116575-0.00072482i, -0.00000704+0.00356612i, -0.00183971+0.00127915i, +0.00102431+0.00118554i, +0.00133890-0.00044516i, +0.00244512+0.00015920i, +0.00016871-0.00104439i, -0.00085919+0.00020341i, -0.00006550+0.00063542i, +0.00023805-0.00178417i, +0.00193426-0.00041197i, +0.00149440-0.00052518i, +0.00065091-0.00032783i, +0.00013784-0.00176648i, +0.00100818-0.00097713i, +0.00264241-0.00022878i, -0.00106443-0.00210515i
-0.00068005+0.00037771i, +0.00074822+0.00035382i, +0.00110904+0.00042541i, -0.00046738-0.00040496i, +0.00021156-0.00046084i, -0.00076465-0.00054602i, -0.00002917-0.00043302i, +0.00070751+0.00038844i, -0.00055777+0.00005289i, +0.00024791-0.00121242i, +0.02924216-0.00000000i, -0.00065615-0.00044412i, -0.00001278-0.00012793i, +0.00041561+0.00048629i, +0.00001072-0.00013397i, -0.00026799-0.00053851i, +0.00109248+0.00026448i, -0.00024170+0.00035499i, +0.00019159+0.00040281i, +0.00007994-0.00011487i, +0.00036914-0.00006805i, -0.00016142-0.00019116i, -0.00004197+0.00052326i, +0.00030560+0.00010408i, -0.00013382-0.00010937i, -0.00014898-0.00054599i, -0.00041981-0.00019585i, +0.00020337+0.00002170i, -0.00014208-0.00016988i, +0.00049436-0.00037065i, +0.00015792-0.00074521i, -0.00061743-0.00023996i
