+0.03064249-0.00000000i, -0.00020987+0.00044223i, -0.00002258+0.00153965i, -0.00069502+0.00063457i, +0.00067194+0.00055512i, -0.00017415+0.00065537i, +0.00109282-0.00036619i, +0.00081774-0.00024195i, -0.00007287-0.00094849i, -0.00082157+0.00034747i, +0.00057494+0.00005375i, -0.00032888+0.00176260i, -0.00056951-0.00047387i, +0.00014679+0.00095473i, +0.00061467-0.00026602i, -0.00038463-0.00046906i, -0.00085229-0.00051330i, -0.00130665-0.00014176i, +0.00024198-0.00056959i, -0.00031314+0.00068370i, -0.00098067+0.00003899i, -0.00025672+0.00088338i, -0.00002748+0.00011909i, +0.00031258-0.00017713i, +0.00103826-0.00062845i, -0.00009439+0.00041920i, -0.00006350+0.00007640i, -0.00054909-0.00022788i, -0.00133526-0.00047595i, -0.00099414+0.00036811i, +0.00126616+0.00047461i, +0.00062516-0.00008437i
-0.00020987-0.00044223i, +0.03089755-0.00000000i, +0.00135601-0.00113872i, +0.00069386-0.00032550i, +0.00001319+0.00000504i, +0.00073799-0.00005412i, -0.00063205+0.00016235i, -0.00057997+0.00006682i, +0.00019920+0.00013856i, +0.00117004-0.00047510i, -0.00047159-0.00051830i, +0.00034868-0.00110459i, -0.00033162+0.00038019i, -0.00033332-0.00057754i, -0.00007682+0.00007286i, +0.00026415+0.00043738i, +0.00032787+0.00044348i, +0.00064645-0.00009661i, -0.00005884+0.00050447i, +0.00030731-0.00046773i, +0.00051483+0.00057227i, +0.00063265-0.00046299i, -0.00014519-0.00005995i, +0.00005192-0.00005212i, -0.00097422+0.00014790i, +0.00033863-0.00030480i, +0.00017174-0.00075100i, +0.00064277+0.00034704i, +0.00062514+0.00067808i, +0.00066283+0.00050436i, -0.00084168-0.00089367i, -0.00031320-0.00038511i
-0.00002258-0.00153965i, +0.00135601+0.00113872i, +0.03313304-0.00000000i, +0.00211848+0.00032059i, +0.00106057-0.00025142i, +0.00083531+0.00029154i, -0.00198505-0.00188591i, -0.00065927-0.00061715i, -0.00090995+0.00014062i, +0.00153727+0.00181830i, +0.00008421-0.00198649i, +0.00337732-0.00127830i, -0.00043841+0.00012483i, +0.00119024-0.00132032i, -0.00056995-0.00042626i, -0.00070844+0.00126855i, -0.00055176+0.00103453i, +0.00012231+0.00134601i, -0.00168334-0.00060870i, +0.00067995+0.00044142i, +0.00038120+0.00142044i, +0.00152158+0.00048078i, -0.00029118-0.00017215i, -0.00009106-0.00014581i, -0.00180965-0.00094628i, +0.00090916+0.00002252i, +0.00140254-0.00061757i, -0.00009406+0.00170974i, -0.00003152+0.00289902i, +0.00034603+0.00133017i, -0.00041107-0.00316774i, -0.00042047-0.00137409i
-0.00069502-0.00063457i, +0.00069386+0.00032550i, +0.00211848-0.00032059i, +0.03157046+0.00000000i, +0.00044090-0.00020831i, +0.00068247+0.00027308i, -0.00099676-0.00119174i, -0.00106991-0.00094493i, -0.00007842+0.00004834i, +0.00160272+0.00102102i, +0.00021533-0.00108712i, +0.00165739-0.00157512i, -0.00027266+0.00025680i, +0.00106320-0.00104974i, -0.00064429-0.00022949i, -0.00015397+0.00110058i, +0.00019577+0.00051420i, -0.00011068+0.00125814i, -0.00117483-0.00016221i, +0.00074843-0.00009043i, +0.00047571+0.00116231i, +0.00121644+0.00025553i, +0.00005715+0.00009368i, -0.00012067-0.00041344i, -0.00119992-0.00055754i, +0.00059522+0.00011866i, +0.00071777-0.00064935i, +0.00046319+0.00110602i, +0.00057703+0.00199821i, +0.00065611+0.00089048i, -0.00000469-0.00200829i, -0.00061175-0.00095015i
+0.00067194-0.00055512i, +0.00001319-0.00000504i, +0.00106057+0.00025142i, +0.00044090+0.00020831i, +0.03063588-0.00000000i, +0.00004627-0.00025204i, -0.00055092-0.00101343i, -0.00003791+0.00043215i, -0.00061540-0.00023596i, +0.00088349+0.00028645i, -0.00011252-0.00039579i, +0.00090416+0.00003119i, +0.00016284+0.00012722i, +0.00080926-0.00066276i, -0.00069264-0.00006147i, -0.00042704+0.00081303i, -0.00045035+0.00029156i, -0.00013340+0.00072300i, -0.00041350+0.00011203i, +0.00020775+0.00018609i, +0.00034229+0.00013629i, +0.00059405+0.00033743i, -0.00011962+0.00001739i, -0.00037362-0.00030566i, -0.00023927-0.00047143i, +0.00041878+0.00019894i, +0.00035641-0.00007095i, -0.00020618+0.00036120i, +0.00000429+0.00114354i, +0.00050130+0.00064547i, +0.00049642-0.00110028i, -0.00015698-0.00014630i
-0.00017415-0.00065537i, +0.00073799+0.00005412i, +0.00083531-0.00029154i, +0.00068247-0.00027308i, +0.00004627+0.00025204i, +0.03037554+0.00000000i, -0.00101927+0.00014992i, -0.00065719-0.00014566i, +0.00011765+0.00024167i, +0.00045037+0.00033798i, +0.00026359-0.00074784i, +0.00078506-0.00093696i, -0.00032782+0.00027723i, +0.00033989-0.00071540i, -0.00012011+0.00053872i, +0.00033399+0.00055295i, -0.00002932+0.00030447i, +0.00015056+0.00074610i, -0.00085467+0.00032197i, +0.00039304-0.00008458i, +0.00091350+0.00104968i, +0.00084143-0.00036582i, +0.00002453+0.00021287i, +0.00021723+0.00009040i, -0.00070595+0.00008572i, +0.00062640+0.00007345i, +0.00041931-0.00056141i, +0.00047214+0.00065378i, +0.00037958+0.00096960i, +0.00025381+0.00043297i, -0.00051323-0.00103560i, -0.00030497-0.00053496i
+0.00109282+0.00036619i, -0.00063205-0.00016235i, -0.00198505+0.00188591i, -0.00099676+0.00119174i, -0.00055092+0.00101343i, -0.00101927-0.00014992i, +0.03089714-0.00000000i, +0.00115663-0.00027459i, +0.00021047-0.00046619i, -0.00143056+0.00038675i, +0.00059135+0.00051980i, -0.00060549+0.00182112i, -0.00003432-0.00015327i, +0.00018899+0.00135488i, +0.00043893-0.00037575i, -0.00022385-0.00092023i, -0.00018094-0.00062630i, -0.00071985-0.00066516i, +0.00054736-0.00097857i, -0.00055066+0.00031087i, -0.00042132-0.00064158i, -0.00119754+0.00061937i, +0.00011437-0.00049477i, +0.00025701-0.00025289i, +0.00121447-0.00058104i, -0.00050132+0.00031645i, -0.00007328+0.00068370i, -0.00095695-0.00101862i, -0.00157878-0.00139288i, -0.00091975-0.00040656i, +0.00106165+0.00123306i, +0.00073360+0.00031499i
+0.00081774+0.00024195i, -0.00057997-0.00006682i, -0.00065927+0.00061715i, -0.00106991+0.00094493i, -0.00003791-0.00043215i, -0.00065719+0.00014566i, +0.00115663+0.00027459i, +0.03130243+0.00000000i, -0.00053194-0.00010279i, -0.00120581-0.00020071i, +0.00019275+0.00025948i, -0.00008459+0.00067714i, +0.00045802-0.00061773i, -0.00001279+0.00109381i, +0.00011472+0.00018004i, -0.00009495-0.00028306i, -0.00007473-0.00065821i, -0.00054911-0.00040729i, +0.00002618-0.00031953i, -0.00056209-0.00002089i, -0.00041349-0.00033374i, -0.00070859+0.00036919i, +0.00028523+0.00024529i, +0.00008943-0.00052971i, +0.00075763-0.00025865i, -0.00015978+0.00036583i, -0.00004793+0.00011178i, -0.00035562-0.00061670i, -0.00088459-0.00085570i, -0.00047994+0.00001921i, +0.00053653+0.00102856i, +0.00054619+0.00008841i
-0.00007287+0.00094849i, +0.00019920-0.00013856i, -0.00090995-0.00014062i, -0.00007842-0.00004834i, -0.00061540+0.00023596i, +0.00011765-0.00024167i, +0.00021047+0.00046619i, -0.00053194+0.00010279i, +0.02988154-0.00000000i, +0.00007522-0.00063932i, +0.00008898+0.00024703i, -0.00060004-0.00056250i, -0.00003202+0.00037996i, -0.00018639-0.00014983i, +0.00015507+0.00070634i, +0.00001373-0.00035280i, +0.00076541+0.00017709i, +0.00022527-0.00001870i, +0.00049684-0.00001519i, -0.00007798-0.00049066i, +0.00017504+0.00027264i, -0.00049833-0.00021783i, -0.00015823+0.00004254i, -0.00026087+0.00012002i, -0.00022284+0.00099647i, -0.00026790-0.00048089i, -0.00023620-0.00025329i, +0.00021151-0.00036784i, +0.00062590-0.00056857i, +0.00023984-0.00011133i, -0.00033032+0.00055345i, -0.00018765+0.00042374i
-0.00082157-0.00034747i, +0.00117004+0.00047510i, +0.00153727-0.00181830i, +0.00160272-0.00102102i, +0.00088349-0.00028645i, +0.00045037-0.00033798i, -0.00143056-0.00038675i, -0.00120581+0.00020071i, +0.00007522+0.00063932i, +0.03274452-0.00000000i, -0.00059748-0.00114434i, +0.00099755-0.00221986i, -0.00062483+0.00056965i, +0.00062248-0.00193074i, -0.00056649+0.00017569i, +0.00049058+0.00065650i, +0.00010831+0.00093461i, +0.00188302+0.00190995i, -0.00092144+0.00101641i, +0.00139096-0.00021511i, +0.00113812+0.00100238i, +0.00184405-0.00099248i, -0.00042624-0.00019293i, -0.00018125+0.00018677i, -0.00204967+0.00045591i, +0.00115305+0.00054432i, +0.00013678-0.00085834i, +0.00076331+0.00137874i, +0.00218473+0.00197830i, +0.00145137+0.00091979i, -0.00193433-0.00179815i, -0.00117221-0.00054274i
+0.00057494-0.00005375i, -0.00047159+0.00051830i, +0.00008421+0.00198649i, +0.00021533+0.00108712i, -0.00011252+0.00039579i, +0.00026359+0.00074784i, +0.00059135-0.00051980i, +0.00019275-0.00025948i, +0.00008898-0.00024703i, -0.00059748+0.00114434i, +0.03126802-0.00000000i, +0.00037627+0.00124455i, -0.00049926+0.00015988i, +0.00069747+0.00072621i, -0.00024013-0.00013721i, -0.00062986-0.00028960i, -0.00053436-0.00003402i, -0.00070105+0.00027336i, +0.00062416-0.00065126i, -0.00015933+0.00105312i, -0.00086041+0.00015209i, -0.00008077+0.00105431i, +0.00010233-0.00029355i, +0.00024022+0.00035489i, +0.00061575-0.00092274i, +0.00007025+0.00045248i, +0.00046742+0.00146518i, -0.00125672-0.00004871i, -0.00130516+0.00019245i, -0.00064152+0.00020478i, +0.00158499-0.00039233i, +0.00067841-0.00020095i
