+0.03081958-0.00000000i, -0.00011729-0.00026444i, +0.00048565-0.00025732i, -0.00007066+0.00010524i, +0.00020513+0.00015012i, -0.00016074-0.00009231i, +0.00020026-0.00015000i, -0.00029928+0.00008314i, +0.00066528-0.00011892i, +0.00004849-0.00021037i, -0.00026279-0.00047103i, -0.00033366+0.00031556i, -0.00016476+0.00005987i, +0.00013788-0.00013152i, -0.00001904-0.00008984i, +0.00022700-0.00005990i, -0.00051652+0.00002513i, +0.00067560-0.00095398i, -0.00001152+0.00016735i, -0.00049292-0.00057456i, -0.00013388-0.00006756i, +0.00053282+0.00016651i, -0.00001793-0.00002956i, +0.00026112-0.00036131i, -0.00095445+0.00016359i, -0.00010568+0.00018623i, +0.00009540+0.00024552i, +0.00014695-0.00036989i, -0.00003386+0.00002738i, +0.00012510-0.00022675i, -0.00029708-0.00012013i, +0.00000677+0.00006839i
-0.00011729+0.00026444i, +0.03133506+0.00000000i, -0.00066664+0.00102987i, -0.00033975+0.00019163i, -0.00044733-0.00029741i, -0.00006944+0.00004437i, -0.00039342-0.00105130i, +0.00084635+0.00058803i, -0.00073456-0.00011440i, +0.00061585+0.00008222i, +0.00009187+0.00079393i, +0.00024992-0.00045701i, +0.00030594-0.00027713i, -0.00026392-0.00001822i, +0.00034991+0.00014881i, -0.00057047+0.00068259i, +0.00008742+0.00066471i, -0.00136605+0.00125553i, +0.00007594-0.00071763i, +0.00085823+0.00055656i, +0.00013465-0.00009731i, -0.00050967-0.00056919i, +0.00014917-0.00054259i, -0.00033254+0.00086949i, +0.00060402+0.00024749i, -0.00005693-0.00005528i, +0.00035239-0.00049049i, +0.00000871+0.00000673i, +0.00013660-0.00022495i, +0.00002328+0.00028593i, +0.00041508-0.00001090i, +0.00006187-0.00010928i
+0.00048565+0.00025732i, -0.00066664-0.00102987i, +0.03210399-0.00000000i, +0.00095503+0.00063188i, -0.00019932+0.00080063i, -0.00005612+0.00008847i, -0.00010145+0.00248561i, -0.00049024-0.00173795i, +0.00120104+0.00067166i, -0.00039027-0.00013787i, +0.00064671-0.00185721i, -0.00121809+0.00123236i, -0.00080040+0.00014079i, -0.00053233+0.00054016i, -0.00036051-0.00056863i, +0.00130865-0.00019763i, +0.00085342-0.00104347i, +0.00275066-0.00024097i, -0.00115310+0.00157925i, -0.00087139-0.00182353i, -0.00057247-0.00020771i, -0.00012705+0.00148563i, -0.00064239+0.00031623i, +0.00127537-0.00067355i, -0.00118781-0.00110911i, -0.00065931+0.00011174i, -0.00035746+0.00077861i, +0.00056598-0.00014268i, -0.00013603+0.00002402i, +0.00051630-0.00029185i, -0.00122454-0.00036017i, -0.00021632+0.00058200i
-0.00007066-0.00010524i, -0.00033975-0.00019163i, +0.00095503-0.00063188i, +0.03000171+0.00000000i, +0.00003707+0.00013173i, +0.00005833-0.00040883i, +0.00066400+0.00057510i, -0.00064958-0.00001471i, +0.00058815+0.00006331i, -0.00000337-0.00009977i, -0.00000791-0.00053243i, -0.00029544+0.00090664i, -0.00034915-0.00013352i, -0.00018811+0.00024966i, -0.00031383-0.00015860i, +0.00033312-0.00035729i, +0.00024207-0.00049943i, +0.00092988-0.00075894i, -0.00031642+0.00071935i, -0.00111507-0.00036726i, -0.00032684+0.00016483i, +0.00032985+0.00052353i, +0.00002800+0.00059722i, +0.00028753-0.00020272i, -0.00039497-0.00026378i, -0.00013064+0.00015427i, +0.00022005+0.00030313i, -0.00034254+0.00004525i, +0.00003779-0.00004468i, +0.00027296-0.00049398i, -0.00053391+0.00019904i, +0.00008813-0.00002061i
+0.00020513-0.00015012i, -0.00044733+0.00029741i, -0.00019932-0.00080063i, +0.00003707-0.00013173i, +0.03025596-0.00000000i, +0.00017998-0.00032736i, +0.00066846-0.00047724i, -0.00072352+0.00037833i, -0.00036750-0.00014931i, +0.00008918-0.00018542i, -0.00057148+0.00017263i, +0.00002619+0.00028166i, -0.00046565+0.00083807i, -0.00000128+0.00039609i, -0.00005670+0.00023676i, +0.00000734-0.00037071i, -0.00068389-0.00002553i, -0.00058152-0.00078987i, +0.00023538+0.00035850i, -0.00068094+0.00049140i, +0.00028002+0.00045532i, +0.00030236+0.00004862i, +0.00042584+0.00024431i, -0.00048065-0.00024575i, -0.00062268+0.00057694i, +0.00017382+0.00034252i, +0.00029730-0.00003030i, -0.00000276-0.00020670i, +0.00045337-0.00002712i, +0.00006443-0.00014495i, +0.00020573+0.00035916i, -0.00004836-0.00005087i
-0.00016074+0.00009231i, -0.00006944-0.00004437i, -0.00005612-0.00008847i, +0.00005833+0.00040883i, +0.00017998+0.00032736i, +0.02957236-0.00000000i, +0.00021209+0.00005850i, -0.00026601+0.00001557i, +0.00008397-0.00008269i, +0.00012172+0.00011840i, +0.00019526+0.00009856i, -0.00032504+0.00007531i, +0.00014544+0.00001180i, -0.00021677+0.00027685i, +0.00021555+0.00010983i, +0.00005204-0.00016439i, -0.00028283+0.00007376i, -0.00007243-0.00013102i, +0.00021514+0.00011330i, +0.00005624-0.00015426i, -0.00015854+0.00009551i, +0.00003815+0.00037530i, +0.00011739-0.00005037i, +0.00003439-0.00000622i, -0.00018822+0.00008138i, -0.00005082+0.00016820i, +0.00001974-0.00004350i, +0.00000029-0.00004781i, +0.00013499+0.00000377i, +0.00040210-0.00037520i, +0.00012845-0.00028407i, -0.00006809-0.00027245i
+0.00020026+0.00015000i, -0.00039342+0.00105130i, -0.00010145-0.00248561i, +0.00066400-0.00057510i, +0.00066846+0.00047724i, +0.00021209-0.00005850i, +0.03287442-0.00000000i, -0.00122377+0.00067156i, +0.00056370-0.00166226i, +0.00012272+0.00034252i, -0.00181885-0.00029440i, +0.00118742+0.00119641i, -0.00006424+0.00071598i, +0.00058481-0.00001106i, -0.00096903+0.00045150i, -0.00003695-0.00163716i, -0.00135385-0.00073425i, -0.00034944-0.00287112i, +0.00133682+0.00103068i, -0.00224638+0.00072464i, -0.00006811+0.00056232i, +0.00159919+0.00021147i, +0.00053521+0.00122337i, -0.00117380-0.00146868i, -0.00085817+0.00125114i, -0.00005265+0.00072481i, +0.00098364+0.00023969i, -0.00034087-0.00060024i, +0.00007925+0.00020875i, -0.00049996-0.00030692i, -0.00014221+0.00123237i, +0.00058673+0.00035748i
-0.00029928-0.00008314i, +0.00084635-0.00058803i, -0.00049024+0.00173795i, -0.00064958+0.00001471i, -0.00072352-0.00037833i, -0.00026601-0.00001557i, -0.00122377-0.00067156i, +0.03103892-0.00000000i, -0.00058455+0.00055020i, +0.00083856-0.00041255i, +0.00098661+0.00049580i, -0.00056914-0.00089469i, -0.00003056-0.00036169i, +0.00007843-0.00028936i, +0.00046748-0.00015494i, -0.00025534+0.00100693i, +0.00058207+0.00059018i, -0.00065135+0.00187691i, -0.00049880-0.00070036i, +0.00132137-0.00019104i, +0.00023472-0.00027910i, -0.00083160-0.00050016i, -0.00000157-0.00041985i, +0.00019971+0.00137798i, +0.00080740-0.00049471i, +0.00015435-0.00056992i, -0.00043243-0.00028339i, +0.00006348+0.00052747i, -0.00018572+0.00013073i, -0.00006492+0.00054965i, +0.00069488-0.00050090i, +0.00032751-0.00048965i
+0.00066528+0.00011892i, -0.00073456+0.00011440i, +0.00120104-0.00067166i, +0.00058815-0.00006331i, -0.00036750+0.00014931i, +0.00008397+0.00008269i, +0.00056370+0.00166226i, -0.00058455-0.00055020i, +0.03173882-0.00000000i, -0.00001072+0.00013951i, -0.00036106-0.00159472i, -0.00053802+0.00095252i, -0.00032327-0.00033282i, +0.00026696+0.00009011i, -0.00011508+0.00017695i, +0.00101526-0.00095189i, -0.00085283-0.00123183i, +0.00176032-0.00149357i, -0.00027522+0.00108936i, -0.00083640-0.00128285i, -0.00067144-0.00018930i, +0.00083163+0.00082540i, -0.00033178+0.00034586i, +0.00029857-0.00115493i, -0.00155052-0.00033614i, -0.00010057+0.00018141i, -0.00001212+0.00025397i, +0.00024297+0.00001600i, -0.00001422+0.00047195i, +0.00041844-0.00034101i, -0.00061194+0.00020737i, -0.00004574+0.00048019i
+0.00004849+0.00021037i, +0.00061585-0.00008222i, -0.00039027+0.00013787i, -0.00000337+0.00009977i, +0.00008918+0.00018542i, +0.00012172-0.00011840i, +0.00012272-0.00034252i, +0.00083856+0.00041255i, -0.00001072-0.00013951i, +0.03107053-0.00000000i, +0.00016294+0.00088549i, -0.00060758-0.00062795i, +0.00035892-0.00023447i, +0.00001651-0.00037435i, +0.00004190+0.00022372i, +0.00003171+0.00014123i, -0.00001473+0.00071370i, -0.00133424+0.00068072i, +0.00019620-0.00052726i, +0.00057658+0.00032789i, +0.00012204+0.00014558i, -0.00038480-0.00066652i, -0.00000688-0.00011679i, -0.00017444+0.00048481i, +0.00010733+0.00020064i, -0.00030621-0.00020456i, +0.00002375-0.00055035i, -0.00001596+0.00032487i, -0.00014991+0.00013687i, -0.00006607+0.00042348i, +0.00041888-0.00010106i, +0.00025805-0.00032564i
-0.00026279+0.00047103i, +0.00009187-0.00079393i, +0.00064671+0.00185721i, -0.00000791+0.00053243i, -0.00057148-0.00017263i, +0.00019526-0.00009856i, -0.00181885+0.00029440i, +0.00098661-0.00049580i, -0.00036106+0.00159472i, +0.00016294-0.00088549i, +0.03151387-0.00000000i, -0.00091663-0.00066851i, -0.00001359-0.00083324i, -0.00067086+0.00006060i, -0.00014691-0.00063419i, +0.00013672+0.00093693i, +0.00115147+0.00035508i, +0.00109414+0.00208855i, -0.00168236-0.00073999i, +0.00131574-0.00062594i, +0.00001468-0.00028654i, -0.00135673+0.00005900i, -0.00023285-0.00056502i, +0.00085130+0.00074781i, +0.00074697-0.00117735i, -0.00015577-0.00035172i, -0.00106062+0.00004619i, +0.00027042+0.00056900i, +0.00000471+0.00005594i, +0.00020227+0.00008643i, -0.00029163-0.00094697i, -0.00023672+0.00009605i
