+0.02554752-0.00000000i, -0.00204501-0.00281294i, -0.00390704-0.00925824i, +0.00912531-0.00453625i, -0.00114811+0.00248605i, -0.00599215+0.00584573i, +0.01083952+0.00047897i, -0.00589099+0.00399916i, +0.00075932+0.00311429i, -0.00268945+0.00960924i, -0.00248122+0.00860084i, +0.00591887+0.00101296i, -0.00576268+0.00414493i, +0.00840859+0.00300477i, -0.00293118-0.00261972i, -0.00051036-0.00570572i, +0.01524691-0.00837113i, +0.00150756-0.00158700i, +0.00136849-0.00255593i, +0.00596028-0.01093800i, +0.00148372-0.00916320i, -0.00493381+0.00400192i, +0.01098234+0.00325524i, +0.00739280+0.00763455i, -0.01114565+0.01011414i, +0.00426389-0.00001646i, +0.01068580+0.00053109i, +0.00138174+0.00706438i, +0.00514554+0.00920574i, +0.00183112-0.00166140i, +0.00295810+0.00379943i, -0.00523520+0.00214818i
-0.00204501+0.00281294i, +0.01609476+0.00000000i, +0.00693505+0.00395739i, -0.00057577+0.00029051i, +0.00155941-0.00265389i, +0.00177176-0.00352129i, -0.00501525+0.00305444i, +0.00267112+0.00032079i, +0.00050534-0.00193148i, -0.00206340-0.00556603i, -0.00025812-0.00415834i, -0.00156723-0.00065284i, +0.00208260-0.00311058i, -0.00510501-0.00008642i, +0.00239219+0.00138671i, +0.00133200+0.00065057i, -0.00662678+0.00437662i, +0.00033799-0.00135608i, +0.00042727+0.00112003i, -0.00113076+0.00743130i, -0.00013674+0.00428361i, +0.00302234-0.00513064i, -0.00546932+0.00094840i, -0.00487742-0.00303050i, +0.00285827-0.00497218i, -0.00468403+0.00447177i, -0.00580301+0.00068473i, -0.00235158-0.00435167i, -0.00213597-0.00352771i, +0.00014832+0.00088579i, -0.00167402-0.00067054i, +0.00357950-0.00207027i
-0.00390704+0.00925824i, +0.00693505-0.00395739i, +0.02357607+0.00000000i, -0.00445747+0.00410999i, -0.00259447-0.00777065i, -0.00511025-0.00779055i, -0.00099961+0.01385073i, +0.00323868-0.00658525i, -0.00327118-0.00380143i, -0.01163362-0.00870075i, -0.01066097-0.00859745i, -0.00443021+0.00288670i, -0.00171655-0.00813031i, -0.00892570+0.00818270i, +0.00371566-0.00112137i, +0.00577800+0.00112908i, -0.00013330+0.01972338i, +0.00093744+0.00169973i, +0.00275407+0.00328500i, +0.00766110+0.01492854i, +0.00802995+0.00646917i, -0.00189859-0.00938514i, -0.00919121+0.01211548i, -0.01374451+0.00285183i, -0.00260013-0.01519165i, -0.00217835+0.00669254i, -0.00880714+0.01433037i, -0.00912372-0.00356603i, -0.01392732-0.00269791i, +0.00002877+0.00221984i, -0.00521477+0.00245149i, +0.00265857-0.00638891i
+0.00912531+0.00453625i, -0.00057577-0.00029051i, -0.00445747-0.00410999i, +0.02000283-0.00000000i, +0.00032973+0.00327787i, -0.00138406+0.00597781i, +0.00313104-0.00265330i, -0.00466437+0.00765806i, +0.00115144+0.00288595i, +0.00291633+0.00891422i, +0.00135219+0.00601505i, +0.00323722-0.00027626i, -0.00271313+0.00234839i, +0.00720615-0.00152559i, -0.00143606-0.00101444i, +0.00008245-0.00220286i, +0.00563194-0.00903397i, -0.00008342-0.00334452i, +0.00007738-0.00366225i, +0.00236520-0.01182031i, -0.00151248-0.00564296i, -0.00171538+0.00388106i, +0.00779437-0.00182961i, +0.00800282+0.00470945i, -0.00409551+0.00764416i, +0.00333711+0.00006375i, +0.00696250-0.00368340i, +0.00172213+0.00748030i, +0.00597666+0.00533281i, +0.00298877-0.00220624i, +0.00226540+0.00066970i, -0.00402440+0.00251953i
-0.00114811-0.00248605i, +0.00155941+0.00265389i, -0.00259447+0.00777065i, +0.00032973-0.00327787i, +0.02028927-0.00000000i, +0.00593405-0.00160613i, -0.00637500-0.00369818i, +0.00037062+0.00819409i, +0.00598954-0.00152117i, +0.00806453-0.00404433i, +0.00749612-0.00291320i, +0.00111445-0.00433085i, +0.00763829+0.00178700i, -0.00203390-0.00851915i, -0.00069325+0.00104720i, -0.00469182+0.00359043i, -0.01221413-0.00723233i, -0.00219994+0.00027197i, -0.00151042-0.00260194i, -0.01070675-0.00043837i, -0.00427922+0.00206670i, +0.00757250+0.00257769i, -0.00304886-0.00974836i, +0.00357021-0.00964792i, +0.00826284+0.00503279i, -0.00366728-0.00280922i, -0.00649299-0.00720765i, +0.00569752-0.00467700i, +0.00998073-0.00862876i, -0.00160164-0.00059837i, -0.00080522-0.00535977i, +0.00317633+0.00531102i
-0.00599215-0.00584573i, +0.00177176+0.00352129i, -0.00511025+0.00779055i, -0.00138406-0.00597781i, +0.00593405+0.00160613i, +0.02574873+0.00000000i, -0.01494098-0.00880740i, +0.00605984+0.00783322i, +0.00323073-0.00058861i, +0.01686742-0.00480397i, +0.01195573-0.00106693i, -0.00169317-0.00628707i, +0.00796467+0.00275019i, -0.00188509-0.01218251i, -0.00003615+0.00411819i, -0.00467291+0.00530317i, -0.01571875-0.00864130i, -0.00551765-0.00064914i, -0.00461450-0.00095517i, -0.01601637+0.00204239i, -0.01181857+0.00358304i, +0.01023947+0.00238444i, -0.00578473-0.01416409i, +0.00577555-0.01338064i, +0.01358552+0.00481108i, -0.00471517-0.00350547i, -0.00693179-0.01080769i, +0.00950818-0.00664949i, +0.00853592-0.01050084i, +0.00054531-0.00275216i, -0.00010633-0.00452673i, +0.00589654+0.00685796i
+0.01083952-0.00047897i, -0.00501525-0.00305444i, -0.00099961-0.01385073i, +0.00313104+0.00265330i, -0.00637500+0.00369818i, -0.01494098+0.00880740i, +0.03210356+0.00000000i, -0.00900467-0.00136884i, -0.00186629+0.00319909i, -0.01127707+0.01397045i, -0.01235952+0.01093355i, +0.00426624+0.00344639i, -0.00901084+0.00407227i, +0.01199539+0.00987886i, -0.00281008-0.00454610i, -0.00065615-0.00772744i, +0.02385899-0.00350866i, +0.00285444-0.00231298i, +0.00672794-0.00060790i, +0.01435179-0.01124136i, +0.00738811-0.01024962i, -0.01204303+0.00502562i, +0.01703991+0.01040221i, +0.00610405+0.01800911i, -0.01797906+0.00417538i, +0.00798136+0.00039143i, +0.01519169+0.00492610i, -0.00269511+0.01164966i, -0.00069541+0.01697048i, +0.00264681-0.00002640i, +0.00667274+0.00345898i, -0.00879785-0.00085534i
-0.00589099-0.00399916i, +0.00267112-0.00032079i, +0.00323868+0.00658525i, -0.00466437-0.00765806i, +0.00037062-0.00819409i, +0.00605984-0.00783322i, -0.00900467+0.00136884i, +0.02309190+0.00000000i, +0.00082198-0.00513910i, +0.00417632-0.01176212i, +0.00354305-0.00819642i, -0.00794075-0.00141167i, +0.00446555-0.00500694i, -0.00934835-0.00609548i, +0.00246197+0.00268621i, +0.00196556+0.00458573i, -0.01560678+0.00624958i, -0.00401219+0.00316939i, -0.00305252+0.00159490i, -0.00688174+0.01132955i, -0.00293177+0.01008127i, +0.00706521-0.00531816i, -0.01231628-0.00419054i, -0.00522250-0.01272193i, +0.01110111-0.00673266i, -0.00241155+0.00076432i, -0.01111398-0.00090118i, +0.00040117-0.00968794i, -0.00332468-0.01169861i, -0.00278679-0.00258296i, -0.00373076-0.00333926i, +0.01025768-0.00259815i
+0.00075932-0.00311429i, +0.00050534+0.00193148i, -0.00327118+0.00380143i, +0.00115144-0.00288595i, +0.00598954+0.00152117i, +0.00323073+0.00058861i, -0.00186629-0.00319909i, +0.00082198+0.00513910i, +0.01982661-0.00000000i, +0.00588504-0.00269231i, +0.00447642-0.00090881i, +0.00399360-0.00720919i, +0.00330367-0.00213472i, +0.00068106-0.00523582i, -0.00103408-0.00088324i, -0.00132201+0.00149684i, -0.00512572-0.00996708i, -0.00070894-0.00037829i, +0.00163421-0.00012031i, -0.00754608-0.00273692i, -0.00533865+0.00218746i, +0.00404298+0.00238345i, -0.00067157-0.00419615i, +0.00408601-0.00646734i, +0.00596819+0.00164961i, -0.00259010-0.00244637i, -0.00284034-0.00649425i, +0.00380435-0.00325613i, +0.00569270-0.00296121i, -0.00050546-0.00042735i, +0.00177021-0.00351529i, +0.00154802+0.00372801i
-0.00268945-0.00960924i, -0.00206340+0.00556603i, -0.01163362+0.00870075i, +0.00291633-0.00891422i, +0.00806453+0.00404433i, +0.01686742+0.00480397i, -0.01127707-0.01397045i, +0.00417632+0.01176212i, +0.00588504+0.00269231i, +0.03938142+0.00000000i, +0.02248270+0.00368902i, +0.00014539-0.00943942i, +0.00804817+0.00790845i, +0.00278290-0.02211521i, -0.00265039+0.00492496i, -0.00682210+0.00507498i, -0.01853520-0.02102127i, -0.00312176-0.00504360i, -0.00395662-0.00372354i, -0.02427164-0.00877067i, -0.01543895-0.00039994i, +0.01011257+0.01063327i, +0.00035155-0.02117996i, +0.01440953-0.01789731i, +0.01799378+0.01575450i, -0.00239087-0.01121141i, -0.00349552-0.01951684i, +0.01589694-0.00465779i, +0.01656873-0.00948467i, -0.00196531-0.00255924i, +0.00335355-0.00740899i, +0.00263933+0.01090929i
-0.00248122-0.00860084i, -0.00025812+0.00415834i, -0.01066097+0.00859745i, +0.00135219-0.00601505i, +0.00749612+0.00291320i, +0.01195573+0.00106693i, -0.01235952-0.01093355i, +0.00354305+0.00819642i, +0.00447642+0.00090881i, +0.02248270-0.00368902i, +0.03254395-0.00000000i, +0.00028061-0.00540709i, +0.00842825+0.00918396i, +0.00151074-0.01552360i, -0.00254725+0.00545178i, -0.00689476+0.00369535i, -0.01738686-0.01762244i, -0.00212710-0.00135310i, -0.00326899-0.00606618i, -0.01650691-0.00379603i, -0.01404400+0.00149318i, +0.00957552+0.00633143i, -0.00038213-0.01912245i, +0.00897265-0.01355182i, +0.01495305+0.01145267i, -0.00398612-0.00578231i, -0.00353548-0.01797435i, +0.01010396-0.00599124i, +0.01436217-0.00848416i, -0.00101869-0.00116232i, +0.00177256-0.00735043i, +0.00377447+0.00703764i
+0.00591887-0.00101296i, -0.00156723+0.00065284i, -0.00443021-0.00288670i, +0.00323722+0.00027626i, +0.00111445+0.00433085i, -0.00169317+0.00628707i, +0.00426624-0.00344639i, -0.00794075+0.00141167i, +0.00399360+0.00720919i, +0.00014539+0.00943942i, +0.00028061+0.00540709i, +0.02084454-0.00000000i, -0.00003841+0.00463677i, +0.00643532-0.00014877i, -0.00145087-0.00187994i, -0.00370349-0.00216549i, +0.00869683-0.00768315i, +0.00253098+0.00079339i, +0.00082888-0.00209036i, +0.00265457-0.01357132i, -0.00123291-0.00697656i, -0.00134213+0.00354832i, +0.00744693-0.00080212i, +0.00867074+0.00285446i, -0.00426060+0.00829357i, +0.00230979-0.00308749i, +0.00742478-0.00270674i, +0.00369532+0.00324480i, +0.00566712+0.00593161i, -0.00085545-0.00033163i, +0.00284418+0.00115947i, -0.00457713+0.00120381i
-0.00576268-0.00414493i, +0.00208260+0.00311058i, -0.00171655+0.00813031i, -0.00271313-0.00234839i, +0.00763829-0.00178700i, +0.00796467-0.00275019i, -0.00901084-0.00407227i, +0.00446555+0.00500694i, +0.00330367+0.00213472i, +0.00804817-0.00790845i, +0.00842825-0.00918396i, -0.00003841-0.00463677i, +0.02641368+0.00000000i, -0.00466078-0.01156504i, +0.00118888+0.00718153i, -0.00669532+0.01020186i, -0.01670984-0.00529850i, -0.00314732+0.00156989i, -0.00509552+0.00142732i, -0.01211019+0.00328228i, -0.01062372+0.00865154i, +0.00939302+0.00119957i, -0.01032004-0.01242883i, +0.00162631-0.01244755i, +0.01432535+0.00174135i, -0.00455165-0.00243575i, -0.00882552-0.00845058i, +0.00560850-0.00743760i, +0.00668877-0.01277379i, -0.00196732-0.00110410i, -0.00101954-0.00482862i, +0.00603235+0.00417706i
+0.00840859-0.00300477i, -0.00510501+0.00008642i, -0.00892570-0.00818270i, +0.00720615+0.00152559i, -0.00203390+0.00851915i, -0.00188509+0.01218251i, +0.01199539-0.00987886i, -0.00934835+0.00609548i, +0.00068106+0.00523582i, +0.00278290+0.02211521i, +0.00151074+0.01552360i, +0.00643532+0.00014877i, -0.00466078+0.01156504i, +0.03193181-0.00000000i, -0.00878047-0.00342062i, -0.00606119-0.00644533i, +0.01602498-0.01809730i, -0.00079180-0.00430216i, +0.00303705-0.00415450i, +0.00573661-0.01940267i, -0.00217194-0.01311917i, -0.00886497+0.01490745i, +0.01855400-0.00308910i, +0.01790431+0.01180707i, -0.01065473+0.01505748i, +0.00859612-0.00326981i, +0.01546918-0.00540264i, +0.00673738+0.01230612i, +0.01196069+0.01496553i, +0.00493009-0.00449241i, +0.00693687+0.00193861i, -0.00845221+0.00643661i
