+0.03000950+0.00000000i, -0.00031045+0.00051502i, -0.00174445+0.00114352i, +0.00024067-0.00199353i, +0.00024486-0.00110286i, -0.00041034+0.00189854i, -0.00164388-0.00141040i, -0.00114793+0.00200985i, -0.00080252+0.00085348i, -0.00063932-0.00197841i, -0.00008821+0.00203641i, -0.00149267-0.00001107i, +0.00105187+0.00055224i, -0.00026607+0.00014370i, -0.00035808+0.00104810i, -0.00018661+0.00030847i, -0.00058184-0.00143893i, +0.00095801-0.00255396i, +0.00133203-0.00069538i, +0.00023143+0.00146516i, -0.00029013+0.00015162i, +0.00142280+0.00078094i, +0.00090831-0.00126545i, -0.00119642+0.00050932i, +0.00290375+0.00067194i, -0.00184307-0.00122253i, +0.00005654+0.00125725i, +0.00029486-0.00187341i, -0.00021854+0.00059172i, +0.00010802-0.00029606i, -0.00149029+0.00040641i, +0.00020018-0.00110505i
-0.00031045-0.00051502i, +0.02995955+0.00000000i, +0.00031006+0.00018829i, -0.00094246+0.00081589i, +0.00026499+0.00017903i, +0.00102398-0.00132580i, +0.00086285+0.00055101i, +0.00023431-0.00132829i, +0.00033648-0.00096207i, +0.00124191+0.00135519i, +0.00015245-0.00088444i, +0.00113566-0.00024650i, -0.00066072-0.00083682i, +0.00003661-0.00011836i, +0.00042742-0.00039636i, -0.00070786-0.00052496i, +0.00034047+0.00159571i, -0.00009757+0.00157179i, -0.00066632+0.00075697i, -0.00000671-0.00059713i, +0.00047131+0.00021937i, +0.00070351-0.00036735i, -0.00046064+0.00095718i, +0.00101588-0.00060394i, -0.00013446-0.00020943i, +0.00184500+0.00026469i, -0.00023607-0.00068640i, +0.00012004+0.00098011i, +0.00003825-0.00042277i, -0.00070894+0.00009600i, +0.00043876-0.00055429i, -0.00007301+0.00086362i
-0.00174445-0.00114352i, +0.00031006-0.00018829i, +0.03218328-0.00000000i, -0.00263880+0.00146639i, -0.00028743+0.00078268i, +0.00158853-0.00190221i, +0.00154006+0.00256566i, +0.00031650-0.00191406i, +0.00164480-0.00069018i, -0.00002403+0.00189755i, +0.00039357-0.00190112i, +0.00157958+0.00127598i, -0.00018122-0.00020743i, +0.00004285-0.00035353i, +0.00081438-0.00156877i, +0.00030224+0.00003441i, -0.00078190+0.00241156i, -0.00241963+0.00298470i, -0.00207902+0.00078679i, +0.00131105-0.00180258i, +0.00143195+0.00038471i, -0.00091533-0.00122003i, -0.00168338+0.00201716i, +0.00103839-0.00013847i, -0.00249594-0.00132497i, +0.00135784+0.00131354i, +0.00095105-0.00091516i, -0.00076316+0.00176443i, -0.00024825-0.00094169i, -0.00029157+0.00051512i, +0.00252321-0.00042601i, -0.00093667+0.00131808i
+0.00024067+0.00199353i, -0.00094246-0.00081589i, -0.00263880-0.00146639i, +0.03038787-0.00000000i, +0.00050920-0.00112749i, -0.00219039+0.00060531i, +0.00040195-0.00240341i, -0.00314863+0.00131505i, -0.00146672-0.00062701i, +0.00241923-0.00205966i, -0.00157068+0.00084963i, +0.00006552-0.00199790i, -0.00086359+0.00065697i, +0.00085272-0.00022759i, -0.00197536+0.00047457i, -0.00097683-0.00026296i, +0.00188229-0.00133724i, +0.00301090-0.00077091i, +0.00212426+0.00157639i, -0.00190106+0.00120483i, -0.00069508-0.00086539i, -0.00071863+0.00090482i, +0.00175815-0.00018600i, -0.00138976-0.00072655i, +0.00039516+0.00143348i, -0.00011990-0.00191804i, -0.00012043+0.00075657i, +0.00309077-0.00117457i, -0.00061467+0.00081305i, -0.00001111-0.00031693i, -0.00140550-0.00051812i, +0.00250722-0.00044515i
+0.00024486+0.00110286i, +0.00026499-0.00017903i, -0.00028743-0.00078268i, +0.00050920+0.00112749i, +0.02987686-0.00000000i, -0.00089020-0.00068631i, +0.00131445+0.00035041i, -0.00073040+0.00008783i, -0.00046640-0.00071977i, +0.00036664-0.00015189i, -0.00072691-0.00024110i, +0.00000948-0.00145311i, -0.00100681+0.00002255i, +0.00024626+0.00019638i, -0.00091396-0.00079296i, +0.00047733+0.00016194i, +0.00079759+0.00039067i, +0.00082216+0.00021986i, -0.00033066+0.00018413i, -0.00018659-0.00053789i, +0.00029965+0.00083123i, -0.00044531+0.00029119i, +0.00032150+0.00014342i, -0.00032793-0.00047576i, +0.00033814+0.00124557i, +0.00062916-0.00022676i, -0.00065338+0.00041618i, -0.00009735+0.00023563i, -0.00138471-0.00099933i, +0.00021120-0.00014117i, +0.00043937-0.00043117i, +0.00008632-0.00031584i
-0.00041034-0.00189854i, +0.00102398+0.00132580i, +0.00158853+0.00190221i, -0.00219039-0.00060531i, -0.00089020+0.00068631i, +0.03240477-0.00000000i, -0.00209757+0.00212017i, +0.00271626-0.00076272i, +0.00210752+0.00152826i, -0.00352166+0.00034792i, +0.00190311-0.00052743i, +0.00067418+0.00257750i, +0.00033707-0.00146332i, +0.00052230-0.00002068i, +0.00142427+0.00077025i, +0.00094180+0.00059429i, -0.00293928+0.00045174i, -0.00396677-0.00108300i, -0.00168988-0.00217795i, +0.00224796-0.00020442i, +0.00090602+0.00165648i, +0.00074977+0.00032055i, -0.00210014-0.00058480i, +0.00131915+0.00173610i, +0.00018164-0.00246353i, -0.00064620+0.00302077i, +0.00126481-0.00066942i, -0.00240551-0.00021756i, +0.00120219-0.00041215i, -0.00180209-0.00045963i, +0.00082429+0.00123962i, -0.00166420+0.00004879i
-0.00164388+0.00141040i, +0.00086285-0.00055101i, +0.00154006-0.00256566i, +0.00040195+0.00240341i, +0.00131445-0.00035041i, -0.00209757-0.00212017i, +0.03368158+0.00000000i, -0.00319973-0.00197605i, -0.00000618-0.00248094i, +0.00296670+0.00259024i, -0.00185941-0.00217951i, +0.00212237-0.00102684i, -0.00153518+0.00018121i, -0.00040661-0.00034837i, -0.00034194-0.00293320i, -0.00000837-0.00073947i, +0.00308025+0.00235375i, +0.00160919+0.00413650i, -0.00156116+0.00290144i, -0.00144547-0.00153717i, +0.00077774-0.00042805i, -0.00072541+0.00030429i, +0.00060977+0.00387542i, +0.00129231-0.00230092i, -0.00299164+0.00036003i, +0.00292334-0.00096009i, -0.00175014-0.00108998i, +0.00194016+0.00188795i, -0.00092575-0.00153041i, +0.00008020+0.00049630i, -0.00048264-0.00343583i, +0.00051492+0.00175321i
-0.00114793-0.00200985i, +0.00023431+0.00132829i, +0.00031650+0.00191406i, -0.00314863-0.00131505i, -0.00073040-0.00008783i, +0.00271626+0.00076272i, -0.00319973+0.00197605i, +0.03290099-0.00000000i, +0.00124020+0.00113870i, -0.00313441-0.00002093i, +0.00125362+0.00002114i, +0.00035020+0.00221620i, +0.00076967-0.00000134i, +0.00034104+0.00039529i, +0.00151801+0.00016908i, +0.00055068+0.00012665i, -0.00221302+0.00003440i, -0.00292873-0.00105061i, -0.00043751-0.00263915i, +0.00204311+0.00033187i, +0.00036064+0.00119591i, +0.00035388-0.00078617i, -0.00225227-0.00146859i, +0.00043045+0.00254776i, +0.00072774-0.00229309i, -0.00044248+0.00220967i, +0.00134884-0.00071060i, -0.00269090-0.00002417i, +0.00092976+0.00014315i, -0.00104617+0.00005990i, +0.00141030+0.00182872i, -0.00296182-0.00111646i
-0.00080252-0.00085348i, +0.00033648+0.00096207i, +0.00164480+0.00069018i, -0.00146672+0.00062701i, -0.00046640+0.00071977i, +0.00210752-0.00152826i, -0.00000618+0.00248094i, +0.00124020-0.00113870i, +0.03025116-0.00000000i, -0.00094929+0.00250737i, +0.00097853-0.00121743i, +0.00123267+0.00054496i, +0.00070766-0.00097188i, +0.00043010-0.00013355i, +0.00113932-0.00036672i, +0.00081101-0.00012163i, -0.00080271+0.00117497i, -0.00297075+0.00204078i, -0.00217437-0.00113088i, +0.00098532-0.00164028i, +0.00059940+0.00026188i, -0.00033794-0.00092642i, -0.00147906+0.00096230i, +0.00102564+0.00044973i, -0.00111846-0.00211241i, +0.00034770+0.00230777i, +0.00001163-0.00075945i, -0.00143114+0.00133308i, +0.00044504-0.00117014i, -0.00032141+0.00038982i, +0.00108178+0.00011972i, -0.00105591+0.00088885i
-0.00063932+0.00197841i, +0.00124191-0.00135519i, -0.00002403-0.00189755i, +0.00241923+0.00205966i, +0.00036664+0.00015189i, -0.00352166-0.00034792i, +0.00296670-0.00259024i, -0.00313441+0.00002093i, -0.00094929-0.00250737i, +0.03313371-0.00000000i, -0.00217241-0.00057575i, +0.00078346-0.00214745i, -0.00102447+0.00017387i, -0.00034015-0.00066863i, -0.00149198-0.00170331i, -0.00040573+0.00013577i, +0.00288594+0.00081137i, +0.00424202+0.00150382i, +0.00101898+0.00327012i, -0.00242902-0.00039069i, +0.00036979-0.00101868i, -0.00057356+0.00135409i, +0.00207292+0.00201187i, -0.00075052-0.00179294i, -0.00150637+0.00207586i, +0.00096822-0.00271850i, -0.00200235+0.00046858i, +0.00282359+0.00109060i, -0.00154184+0.00045020i, +0.00074283-0.00010320i, -0.00068656-0.00224787i, +0.00166236+0.00117315i
-0.00008821-0.00203641i, +0.00015245+0.00088444i, +0.00039357+0.00190112i, -0.00157068-0.00084963i, -0.00072691+0.00024110i, +0.00190311+0.00052743i, -0.00185941+0.00217951i, +0.00125362-0.00002114i, +0.00097853+0.00121743i, -0.00217241+0.00057575i, +0.03193854+0.00000000i, -0.00112012+0.00170953i, +0.00072554-0.00093588i, -0.00009110-0.00028029i, +0.00028565+0.00153027i, -0.00034276+0.00049722i, -0.00328530+0.00026624i, -0.00242268-0.00144793i, -0.00083869-0.00256697i, +0.00186203-0.00064238i, +0.00001190+0.00055473i, +0.00111970-0.00047927i, -0.00165532-0.00133468i, +0.00104655+0.00127437i, +0.00045330-0.00239159i, -0.00063715+0.00148045i, +0.00113655-0.00092094i, -0.00215628-0.00033968i, +0.00156953-0.00050235i, -0.00034477-0.00010425i, +0.00042513+0.00204564i, -0.00107999-0.00024280i
