+0.03081522+0.00000000i, -0.00009778+0.00034570i, +0.00004830+0.00104068i, -0.00045036+0.00036261i, +0.00054694+0.00037993i, -0.00008060+0.00047263i, +0.00074424-0.00026181i, +0.00056338-0.00017496i, -0.00005380-0.00073009i, -0.00050064+0.00022456i, +0.00038044+0.00001044i, -0.00024581+0.00117612i, -0.00044255-0.00032762i, +0.00007504+0.00063512i, +0.00046206-0.00016630i, -0.00023528-0.00030822i, -0.00061174-0.00036668i, -0.00091651-0.00008467i, +0.00014606-0.00034176i, -0.00018819+0.00048507i, -0.00064994+0.00005416i, -0.00014385+0.00059915i, -0.00002660+0.00009076i, +0.00022886-0.00011928i, +0.00071926-0.00037714i, -0.00004080+0.00027303i, -0.00005824-0.00001221i, -0.00032880-0.00013468i, -0.00085486-0.00029641i, -0.00067001+0.00027903i, +0.00082769+0.00030241i, +0.00038913-0.00007063i
-0.00009778-0.00034570i, +0.03105199-0.00000000i, +0.00098053-0.00078912i, +0.00047278-0.00017325i, -0.00000293+0.00002409i, +0.00053612+0.00000581i, -0.00040811+0.00011666i, -0.00037590+0.00005867i, +0.00014901+0.00008784i, +0.00077520-0.00038279i, -0.00031190-0.00035156i, +0.00023260-0.00071906i, -0.00025100+0.00026701i, -0.00024735-0.00034810i, -0.00004256+0.00004289i, +0.00016940+0.00027940i, +0.00024076+0.00029536i, +0.00042267-0.00014018i, +0.00000624+0.00033006i, +0.00018308-0.00034113i, +0.00032119+0.00039571i, +0.00041919-0.00027294i, -0.00010561-0.00005424i, +0.00005154-0.00005443i, -0.00067336+0.00007098i, +0.00022500-0.00018573i, +0.00012409-0.00052676i, +0.00043148+0.00021418i, +0.00038289+0.00043848i, +0.00044992+0.00036885i, -0.00055272-0.00059723i, -0.00018356-0.00027661i
+0.00004830-0.00104068i, +0.00098053+0.00078912i, +0.03253357+0.00000000i, +0.00137800+0.00020548i, +0.00073294-0.00016280i, +0.00052459+0.00016510i, -0.00141596-0.00131722i, -0.00042001-0.00037192i, -0.00065670+0.00005925i, +0.00100394+0.00120455i, +0.00005042-0.00141396i, +0.00229321-0.00084267i, -0.00028993+0.00006605i, +0.00076671-0.00086761i, -0.00036694-0.00031854i, -0.00049379+0.00080581i, -0.00035802+0.00068987i, +0.00007263+0.00085337i, -0.00109282-0.00046612i, +0.00039249+0.00028698i, +0.00026453+0.00088958i, +0.00096423+0.00032159i, -0.00020917-0.00013749i, -0.00003531-0.00010048i, -0.00120573-0.00061317i, +0.00059075-0.00002227i, +0.00095367-0.00037494i, -0.00007254+0.00111004i, -0.00001892+0.00188595i, +0.00020227+0.00085415i, -0.00032655-0.00211241i, -0.00027271-0.00091125i
-0.00045036-0.00036261i, +0.00047278+0.00017325i, +0.00137800-0.00020548i, +0.03142373-0.00000000i, +0.00027830-0.00015007i, +0.00041456+0.00016731i, -0.00064450-0.00082790i, -0.00078691-0.00067310i, -0.00002163-0.00000204i, +0.00107751+0.00066722i, +0.00015875-0.00071552i, +0.00104117-0.00110340i, -0.00017338+0.00017890i, +0.00070837-0.00068177i, -0.00043492-0.00017847i, -0.00009395+0.00072038i, +0.00017697+0.00031762i, -0.00013413+0.00083303i, -0.00074947-0.00014352i, +0.00047030-0.00012553i, +0.00031710+0.00075290i, +0.00077337+0.00018602i, +0.00007015+0.00007805i, -0.00006890-0.00032818i, -0.00077902-0.00037288i, +0.00037897+0.00007180i, +0.00045440-0.00044051i, +0.00034777+0.00073029i, +0.00039895+0.00127853i, +0.00043346+0.00055904i, +0.00001365-0.00130043i, -0.00042518-0.00063564i
+0.00054694-0.00037993i, -0.00000293-0.00002409i, +0.00073294+0.00016280i, +0.00027830+0.00015007i, +0.03087827-0.00000000i, +0.00000535-0.00021457i, -0.00040285-0.00074683i, -0.00002117+0.00038581i, -0.00048340-0.00016552i, +0.00064657+0.00016500i, -0.00010486-0.00026467i, +0.00059836+0.00002799i, +0.00015368+0.00009774i, +0.00057400-0.00048591i, -0.00051457-0.00004019i, -0.00029895+0.00057990i, -0.00030793+0.00021048i, -0.00010910+0.00049076i, -0.00027029+0.00011908i, +0.00014301+0.00011607i, +0.00027681+0.00003278i, +0.00040858+0.00023404i, -0.00007212+0.00003138i, -0.00028220-0.00022139i, -0.00014740-0.00031040i, +0.00028939+0.00012755i, +0.00022241-0.00004946i, -0.00014294+0.00022642i, +0.00002486+0.00073861i, +0.00036955+0.00044110i, +0.00035590-0.00075042i, -0.00010942-0.00006029i
-0.00008060-0.00047263i, +0.00053612-0.00000581i, +0.00052459-0.00016510i, +0.00041456-0.00016731i, +0.00000535+0.00021457i, +0.03061844-0.00000000i, -0.00073477+0.00016140i, -0.00044024-0.00010720i, +0.00011103+0.00015121i, +0.00020333+0.00023694i, +0.00022256-0.00051066i, +0.00050669-0.00061838i, -0.00024035+0.00018329i, +0.00024556-0.00044024i, -0.00004733+0.00040966i, +0.00025196+0.00036006i, -0.00001767+0.00017209i, +0.00009222+0.00051941i, -0.00057291+0.00022060i, +0.00025069-0.00005817i, +0.00064809+0.00073911i, +0.00054863-0.00028327i, +0.00003137+0.00017300i, +0.00017617+0.00005937i, -0.00045715+0.00007726i, +0.00041484+0.00006738i, +0.00029632-0.00038078i, +0.00032199+0.00042197i, +0.00021601+0.00060565i, +0.00012556+0.00024504i, -0.00033225-0.00066929i, -0.00018592-0.00036126i
+0.00074424+0.00026181i, -0.00040811-0.00011666i, -0.00141596+0.00131722i, -0.00064450+0.00082790i, -0.00040285+0.00074683i, -0.00073477-0.00016140i, +0.03095826+0.00000000i, +0.00077592-0.00023772i, +0.00016311-0.00032009i, -0.00092262+0.00029796i, +0.00039786+0.00031180i, -0.00039127+0.00118579i, -0.00003789-0.00008098i, +0.00013807+0.00090783i, +0.00030593-0.00025371i, -0.00011977-0.00059426i, -0.00011506-0.00039464i, -0.00046079-0.00043644i, +0.00032052-0.00066023i, -0.00033398+0.00021109i, -0.00020249-0.00041875i, -0.00079978+0.00039432i, +0.00007851-0.00039498i, +0.00017711-0.00019049i, +0.00079019-0.00039709i, -0.00031478+0.00020761i, -0.00001687+0.00044446i, -0.00063331-0.00068969i, -0.00104426-0.00091315i, -0.00058804-0.00026789i, +0.00065024+0.00075913i, +0.00046325+0.00019662i
+0.00056338+0.00017496i, -0.00037590-0.00005867i, -0.00042001+0.00037192i, -0.00078691+0.00067310i, -0.00002117-0.00038581i, -0.00044024+0.00010720i, +0.00077592+0.00023772i, +0.03136783+0.00000000i, -0.00041633-0.00003602i, -0.00080549-0.00016041i, +0.00009322+0.00013288i, +0.00000863+0.00036073i, +0.00033441-0.00044266i, -0.00001405+0.00074080i, +0.00005636+0.00017462i, -0.00003099-0.00012007i, -0.00003582-0.00044886i, -0.00034930-0.00027019i, -0.00004048-0.00016576i, -0.00038453-0.00005160i, -0.00023644-0.00020022i, -0.00048388+0.00022108i, +0.00020700+0.00019559i, +0.00004423-0.00040860i, +0.00049583-0.00016903i, -0.00008770+0.00025159i, -0.00002755+0.00002091i, -0.00020362-0.00041922i, -0.00056225-0.00056270i, -0.00029384+0.00004288i, +0.00029564+0.00069255i, +0.00034290+0.00001735i
-0.00005380+0.00073009i, +0.00014901-0.00008784i, -0.00065670-0.00005925i, -0.00002163+0.00000204i, -0.00048340+0.00016552i, +0.00011103-0.00015121i, +0.00016311+0.00032009i, -0.00041633+0.00003602i, +0.03030560-0.00000000i, +0.00007512-0.00042601i, +0.00010253+0.00018138i, -0.00037807-0.00044313i, -0.00002589+0.00031027i, -0.00009198-0.00012231i, +0.00012216+0.00053931i, -0.00002995-0.00024778i, +0.00058579+0.00018643i, +0.00014899+0.00001579i, +0.00035422-0.00004910i, -0.00004978-0.00035369i, +0.00010414+0.00025134i, -0.00036005-0.00013870i, -0.00013032+0.00002960i, -0.00019386+0.00008346i, -0.00018823+0.00073769i, -0.00019969-0.00034683i, -0.00014315-0.00018672i, +0.00013924-0.00024318i, +0.00043491-0.00038952i, +0.00018243-0.00006083i, -0.00020028+0.00037732i, -0.00012919+0.00028097i
-0.00050064-0.00022456i, +0.00077520+0.00038279i, +0.00100394-0.00120455i, +0.00107751-0.00066722i, +0.00064657-0.00016500i, +0.00020333-0.00023694i, -0.00092262-0.00029796i, -0.00080549+0.00016041i, +0.00007512+0.00042601i, +0.03227849-0.00000000i, -0.00034653-0.00077869i, +0.00064622-0.00141517i, -0.00046812+0.00036572i, +0.00050552-0.00127908i, -0.00037717+0.00009147i, +0.00028514+0.00036008i, +0.00005791+0.00061554i, +0.00134523+0.00138098i, -0.00056498+0.00066419i, +0.00096217-0.00012688i, +0.00072393+0.00064411i, +0.00125255-0.00064715i, -0.00029588-0.00014135i, -0.00010717+0.00013008i, -0.00138581+0.00028803i, +0.00078810+0.00048757i, +0.00006615-0.00053357i, +0.00045344+0.00092921i, +0.00146217+0.00129820i, +0.00097350+0.00063401i, -0.00127818-0.00117214i, -0.00078384-0.00036449i
+0.00038044-0.00001044i, -0.00031190+0.00035156i, +0.00005042+0.00141396i, +0.00015875+0.00071552i, -0.00010486+0.00026467i, +0.00022256+0.00051066i, +0.00039786-0.00031180i, +0.00009322-0.00013288i, +0.00010253-0.00018138i, -0.00034653+0.00077869i, +0.03131685+0.00000000i, +0.00019100+0.00078020i, -0.00037324+0.00016580i, +0.00044518+0.00047220i, -0.00021339-0.00006990i, -0.00040002-0.00020766i, -0.00034990-0.00000202i, -0.00043521+0.00018592i, +0.00049974-0.00034779i, -0.00009533+0.00074101i, -0.00056497+0.00008652i, -0.00005726+0.00069931i, +0.00006349-0.00022042i, +0.00017659+0.00028690i, +0.00043696-0.00061144i, +0.00006615+0.00028617i, +0.00031262+0.00108489i, -0.00085822-0.00004967i, -0.00082977+0.00013793i, -0.00041040+0.00011824i, +0.00103925-0.00027546i, +0.00043897-0.00011297i
