+0.03119608+0.00000000i, +0.00012180-0.00053904i, -0.00007769+0.00061955i, -0.00003610-0.00035988i, +0.00001661-0.00048099i, -0.00003936-0.00002630i, -0.00015568-0.00015424i, +0.00029993-0.00001945i, +0.00003484-0.00002888i, -0.00019666-0.00000309i, -0.00008429+0.00002238i, +0.00009784-0.00008828i, +0.00053471-0.00030963i, -0.00000145+0.00005073i, -0.00001206-0.00001222i, -0.00000677+0.00018011i, +0.00026857+0.00003622i, -0.00010701-0.00027507i, -0.00036338+0.00024050i, +0.00004115-0.00022139i, -0.00028503-0.00008707i, -0.00035954+0.00033076i, -0.00032576-0.00031107i, +0.00027931-0.00007445i, +0.00021144+0.00023314i, -0.00007507-0.00040142i, -0.00021399-0.00012824i, -0.00000755-0.00033301i, -0.00046422+0.00002428i, +0.00014029-0.00021470i, -0.00048309-0.00023488i, +0.00021939-0.00004621i
+0.00012180+0.00053904i, +0.03193253+0.00000000i, -0.00088760+0.00088509i, +0.00067064-0.00006691i, +0.00062223-0.00051667i, -0.00031031-0.00026887i, -0.00005625-0.00065825i, -0.00019309+0.00094284i, +0.00016466+0.00029558i, -0.00023843-0.00019048i, -0.00034219+0.00001928i, +0.00031929+0.00018761i, +0.00059815+0.00038040i, -0.00005247-0.00023380i, +0.00037494+0.00012046i, -0.00064391+0.00006230i, -0.00011215+0.00026364i, +0.00054952-0.00034552i, -0.00040996-0.00033404i, +0.00049946-0.00012513i, -0.00003172-0.00047326i, -0.00096869+0.00019302i, +0.00001491-0.00083018i, +0.00070962+0.00025159i, -0.00049537+0.00004899i, +0.00084905-0.00050335i, -0.00003320+0.00001358i, +0.00039746-0.00010544i, -0.00049314-0.00048589i, +0.00009969-0.00021652i, -0.00056487-0.00058757i, -0.00021084+0.00004989i
-0.00007769-0.00061955i, -0.00088760-0.00088509i, +0.03236554-0.00000000i, -0.00062174-0.00052436i, -0.00097486-0.00026712i, +0.00013834+0.00027041i, -0.00056282+0.00050831i, +0.00062752-0.00046342i, +0.00004009-0.00021284i, +0.00029311+0.00023731i, +0.00028233+0.00012162i, -0.00004874-0.00029069i, -0.00001592-0.00067407i, +0.00003005+0.00004332i, -0.00033732-0.00007793i, +0.00069864+0.00029623i, +0.00017981-0.00008109i, -0.00035191-0.00008385i, +0.00015613+0.00045602i, -0.00054483+0.00002602i, -0.00045493+0.00026748i, +0.00068209+0.00065400i, -0.00031752+0.00057288i, -0.00063815-0.00072571i, +0.00056457+0.00048708i, -0.00065366-0.00013408i, +0.00059235+0.00005032i, -0.00040940-0.00007602i, +0.00019648+0.00076652i, -0.00030656-0.00020932i, +0.00009131+0.00123099i, +0.00002654+0.00005663i
-0.00003610+0.00035988i, +0.00067064+0.00006691i, -0.00062174+0.00052436i, +0.03110892-0.00000000i, +0.00039336-0.00028822i, -0.00025965-0.00008285i, +0.00003693-0.00052729i, -0.00001124+0.00063130i, -0.00000717+0.00003327i, -0.00013318-0.00013158i, -0.00002510-0.00012126i, +0.00038604-0.00003960i, +0.00051447+0.00020448i, -0.00001242+0.00009373i, +0.00023073+0.00004313i, -0.00037735+0.00006479i, +0.00001075+0.00016182i, +0.00007296-0.00004126i, -0.00022240-0.00009731i, +0.00049931-0.00027821i, -0.00015724-0.00029152i, -0.00057913-0.00003546i, -0.00000453-0.00043273i, +0.00049187+0.00002358i, -0.00048669+0.00001577i, +0.00041956-0.00023228i, +0.00002268+0.00015157i, +0.00057867-0.00027785i, -0.00007892-0.00017658i, +0.00029218+0.00004546i, -0.00029921-0.00041178i, -0.00008208+0.00007025i
+0.00001661+0.00048099i, +0.00062223+0.00051667i, -0.00097486+0.00026712i, +0.00039336+0.00028822i, +0.03154384+0.00000000i, -0.00020201-0.00022915i, +0.00048374-0.00038452i, -0.00023174+0.00019931i, +0.00013978+0.00017328i, -0.00014164-0.00008719i, -0.00026920+0.00004854i, +0.00026596+0.00018647i, +0.00038558+0.00066687i, +0.00002667-0.00008659i, +0.00026226+0.00026170i, -0.00050521-0.00018462i, -0.00025282+0.00024635i, +0.00005103+0.00009284i, -0.00008467-0.00043342i, +0.00034854+0.00002955i, +0.00044368-0.00066526i, -0.00080103-0.00035595i, +0.00010653-0.00063380i, +0.00061992+0.00028457i, -0.00030932-0.00028567i, +0.00055828-0.00018177i, -0.00002938+0.00000509i, +0.00030194-0.00007358i, -0.00009271-0.00056855i, +0.00018197+0.00011790i, -0.00008387-0.00065933i, -0.00021040+0.00000865i
-0.00003936+0.00002630i, -0.00031031+0.00026887i, +0.00013834-0.00027041i, -0.00025965+0.00008285i, -0.00020201+0.00022915i, +0.03118656+0.00000000i, +0.00030567+0.00018446i, +0.00001001-0.00048903i, -0.00023253+0.00002585i, +0.00013905-0.00007777i, +0.00008066+0.00006994i, -0.00022043-0.00013164i, -0.00017141-0.00005056i, +0.00011583+0.00001096i, -0.00002922+0.00008684i, +0.00015561-0.00008172i, -0.00003566-0.00001688i, -0.00011723+0.00007379i, +0.00004937-0.00000882i, -0.00021364+0.00024534i, +0.00005640+0.00011799i, +0.00060925-0.00047987i, +0.00024627+0.00050231i, -0.00018398+0.00029862i, +0.00020327-0.00005758i, +0.00002811+0.00010587i, +0.00013090+0.00009313i, -0.00017743+0.00015813i, +0.00008184-0.00008202i, +0.00011536-0.00004760i, +0.00023889+0.00023879i, +0.00001311+0.00004611i
-0.00015568+0.00015424i, -0.00005625+0.00065825i, -0.00056282-0.00050831i, +0.00003693+0.00052729i, +0.00048374+0.00038452i, +0.00030567-0.00018446i, +0.03141803+0.00000000i, -0.00058879-0.00026065i, +0.00006062+0.00017369i, +0.00000137-0.00039337i, -0.00013318-0.00016073i, -0.00002766+0.00016555i, -0.00040289+0.00029767i, +0.00000234-0.00009445i, +0.00009792+0.00054978i, +0.00002247-0.00033810i, -0.00004580-0.00023145i, -0.00006596+0.00004260i, +0.00017510-0.00025491i, +0.00009030+0.00040999i, +0.00033785-0.00024404i, +0.00008840-0.00055614i, +0.00071578-0.00014518i, -0.00000906+0.00059611i, +0.00011979-0.00038572i, +0.00020946+0.00040527i, -0.00023548-0.00001468i, +0.00022442+0.00015544i, -0.00001317-0.00029848i, -0.00008601+0.00020118i, +0.00067172-0.00055946i, -0.00000942-0.00011967i
+0.00029993+0.00001945i, -0.00019309-0.00094284i, +0.00062752+0.00046342i, -0.00001124-0.00063130i, -0.00023174-0.00019931i, +0.00001001+0.00048903i, -0.00058879+0.00026065i, +0.03164055-0.00000000i, +0.00017272-0.00013738i, -0.00005047+0.00008753i, +0.00008186+0.00019729i, +0.00005836-0.00020955i, +0.00009487-0.00066246i, -0.00022950-0.00002442i, -0.00006511-0.00038681i, +0.00011932+0.00059735i, +0.00030585-0.00007401i, -0.00019930-0.00006677i, -0.00032991+0.00036690i, -0.00023601-0.00026655i, -0.00043898+0.00036104i, +0.00013093+0.00080903i, -0.00075587+0.00019848i, +0.00018945-0.00106293i, +0.00012196+0.00031921i, -0.00056083-0.00019478i, +0.00014849+0.00006677i, -0.00050541-0.00034315i, +0.00001271+0.00065669i, -0.00015119-0.00025791i, -0.00054810+0.00069001i, +0.00008491-0.00010655i
+0.00003484+0.00002888i, +0.00016466-0.00029558i, +0.00004009+0.00021284i, -0.00000717-0.00003327i, +0.00013978-0.00017328i, -0.00023253-0.00002585i, +0.00006062-0.00017369i, +0.00017272+0.00013738i, +0.03063967-0.00000000i, -0.00011566-0.00003257i, -0.00017396+0.00032755i, -0.00019186+0.00015227i, +0.00019252-0.00008569i, -0.00006019+0.00010202i, +0.00005351+0.00018811i, -0.00010663-0.00004840i, -0.00002260-0.00009855i, -0.00011734-0.00018834i, +0.00001878+0.00003528i, -0.00001172-0.00014874i, -0.00032327-0.00018584i, +0.00008666+0.00023120i, -0.00041208+0.00001502i, +0.00009113-0.00018343i, -0.00002088+0.00019123i, +0.00014752-0.00018419i, +0.00019977+0.00009636i, +0.00008539-0.00010114i, -0.00023296-0.00005290i, -0.00006888-0.00008207i, -0.00027564-0.00013563i, -0.00000761+0.00005680i
-0.00019666+0.00000309i, -0.00023843+0.00019048i, +0.00029311-0.00023731i, -0.00013318+0.00013158i, -0.00014164+0.00008719i, +0.00013905+0.00007777i, +0.00000137+0.00039337i, -0.00005047-0.00008753i, -0.00011566+0.00003257i, +0.03100675-0.00000000i, -0.00019612+0.00019112i, +0.00018255-0.00003890i, -0.00025677-0.00007151i, +0.00001622+0.00013570i, -0.00005118-0.00018110i, +0.00033370+0.00001249i, +0.00014400+0.00004882i, +0.00004693-0.00008707i, +0.00007395+0.00013022i, +0.00004014+0.00013249i, +0.00017268-0.00005521i, -0.00008317+0.00005474i, +0.00013266+0.00031710i, -0.00034457-0.00012184i, +0.00009126-0.00006955i, -0.00011675+0.00015103i, +0.00003703-0.00007212i, -0.00015346-0.00003171i, +0.00030204-0.00006681i, -0.00028618-0.00013919i, +0.00015508+0.00027283i, -0.00000893+0.00011742i
-0.00008429-0.00002238i, -0.00034219-0.00001928i, +0.00028233-0.00012162i, -0.00002510+0.00012126i, -0.00026920-0.00004854i, +0.00008066-0.00006994i, -0.00013318+0.00016073i, +0.00008186-0.00019729i, -0.00017396-0.00032755i, -0.00019612-0.00019112i, +0.03086583+0.00000000i, -0.00026373-0.00010098i, -0.00031021-0.00022378i, +0.00003908+0.00003705i, +0.00009850-0.00001313i, +0.00019277-0.00013899i, -0.00008773-0.00004332i, -0.00005714+0.00021219i, +0.00028431-0.00004193i, -0.00017173+0.00009637i, +0.00002925+0.00022597i, +0.00027859-0.00014692i, +0.00014001+0.00045361i, -0.00021113+0.00011645i, +0.00014818+0.00002042i, -0.00015570+0.00005871i, +0.00018873-0.00036028i, -0.00019329+0.00023235i, +0.00011861+0.00019035i, -0.00012961+0.00017003i, +0.00035935+0.00035188i, -0.00001686-0.00011023i
