+0.01743994+0.00000000i, -0.00068294+0.00677031i, -0.01050713+0.00531880i, -0.00058618+0.00228730i, -0.00023160+0.00483392i, -0.00404326-0.00634405i, +0.00244271-0.00366442i, -0.00455744-0.00270127i, +0.00209464-0.00387176i, +0.00778700+0.00230646i, -0.00599766+0.00191826i, -0.00289359+0.00447510i, -0.00457539+0.00027988i, +0.00061110+0.00152136i, -0.00402619+0.01038734i, +0.00486432+0.00323869i, -0.00591131+0.00325424i, +0.00178975-0.00095006i, +0.00049671-0.00801640i, -0.00367299-0.00050027i, +0.00303131-0.00406908i, +0.00555104+0.00220422i, +0.00537905-0.00365481i, +0.00243968-0.00338018i, -0.00453753+0.00126849i, +0.00500459-0.00411245i, -0.00481362-0.00446110i, -0.00346512+0.00486573i, -0.00257569+0.00760423i, -0.00671621+0.00150509i, -0.00075781+0.01097804i, +0.00262288+0.00377618i
-0.00068294-0.00677031i, +0.02212946-0.00000000i, -0.01013563+0.01161224i, +0.00025925+0.00826480i, +0.00776093+0.00472462i, -0.00814757-0.00503160i, -0.00115432-0.01034191i, -0.01019290+0.00195795i, -0.00461211-0.00268592i, +0.01182685-0.00647462i, -0.00231436+0.00719146i, +0.00190323+0.00598439i, -0.00523144+0.00220677i, +0.00167156+0.00159156i, +0.00351713+0.00957989i, +0.00670747-0.00395386i, -0.00410159+0.00358109i, +0.00066142+0.00353108i, -0.00567039-0.00794103i, -0.00485993+0.00376188i, -0.00357765-0.00197714i, +0.01032429-0.00526432i, +0.00368376-0.00747524i, -0.00127707-0.00643834i, -0.00558518+0.00729256i, +0.00334770-0.00911862i, -0.00769745-0.00005567i, +0.00244931+0.00980868i, +0.00374946+0.00350681i, -0.00615109+0.01277303i, +0.00753323+0.01154570i, +0.00601497+0.00046669i
-0.01050713-0.00531880i, -0.01013563-0.01161224i, +0.05785843+0.00000000i, +0.01140574-0.02086511i, +0.00224434-0.02243676i, +0.00205518+0.02694656i, -0.01285386+0.02424757i, +0.01731833+0.01609761i, +0.00240667+0.01246537i, -0.02451924-0.01325948i, +0.02469345-0.00303533i, +0.01200270-0.01196577i, +0.01332774+0.01023698i, -0.00393411-0.00565739i, +0.02426602-0.02678353i, -0.01432637-0.01312942i, +0.01632518+0.00750644i, -0.00579219-0.00626044i, -0.00965323+0.03006691i, +0.01552594+0.00761083i, -0.00057386+0.00838116i, -0.01660683-0.01028910i, -0.02832818+0.00594571i, -0.01119469+0.01280101i, +0.02576076+0.00042328i, -0.02256707+0.00978542i, +0.01559317+0.01934443i, +0.01763821-0.01691864i, +0.00495963-0.01148090i, +0.02412241-0.00375312i, +0.01742046-0.04140084i, -0.00827304-0.01570449i
-0.00058618-0.00228730i, +0.00025925-0.00826480i, +0.01140574+0.02086511i, +0.02407957+0.00000000i, +0.00829768-0.00452253i, -0.01056902+0.00774967i, -0.01382363+0.00135933i, -0.00350007+0.01421449i, -0.00473981+0.00420310i, -0.00126303-0.01356091i, +0.00621469+0.00779145i, +0.01116859+0.00046462i, -0.00070103+0.00694452i, -0.00038252-0.00372789i, +0.01439486+0.00280736i, +0.00451209-0.01209883i, +0.00093766+0.00732993i, +0.00097147-0.00441519i, -0.01261376+0.00398927i, -0.00148300+0.01315353i, -0.00320733+0.00247847i, -0.00013739-0.00923225i, -0.00783325-0.00902244i, -0.01267063-0.00000567i, +0.00597136+0.01001755i, -0.01097961-0.00591890i, -0.00357198+0.01078048i, +0.01357148+0.00420321i, +0.00541862-0.00182660i, +0.00801810+0.00897447i, +0.01833968-0.00280203i, +0.00676302-0.01356334i
-0.00023160-0.00483392i, +0.00776093-0.00472462i, +0.00224434+0.02243676i, +0.00829768+0.00452253i, +0.02666243+0.00000000i, -0.01463087+0.00602977i, -0.01021008-0.00592813i, -0.00778053+0.01019694i, -0.00797959+0.00655009i, +0.00507081-0.01432032i, +0.00283587+0.01326764i, +0.00755873+0.00560837i, -0.00874732+0.00777418i, +0.00363753-0.00301158i, +0.01466979+0.00937712i, +0.00626610-0.00947386i, -0.00567628+0.01132616i, +0.00159953-0.00356225i, -0.01314472-0.00227974i, -0.00233331+0.00791724i, -0.00746437+0.00645439i, +0.00439131-0.01075932i, -0.00406982-0.01332196i, -0.00738316-0.00601470i, +0.00102631+0.01959432i, -0.00740895-0.01130671i, -0.00699371+0.00810489i, +0.01038831+0.00834663i, +0.00376688-0.00086916i, +0.00376104+0.01322799i, +0.02096388+0.00722297i, +0.00779953-0.00497207i
-0.00404326+0.00634405i, -0.00814757+0.00503160i, +0.00205518-0.02694656i, -0.01056902-0.00774967i, -0.01463087-0.00602977i, +0.03409305-0.00000000i, +0.01497056+0.00624567i, +0.01326032-0.01318557i, +0.00852784-0.00114251i, -0.01218648+0.02011448i, +0.00050024-0.01396907i, -0.00727251-0.01057070i, +0.00770014-0.00664774i, -0.00805452+0.00341042i, -0.01479220-0.01536997i, -0.00994914+0.00891889i, +0.00600882-0.00864739i, -0.00767386+0.00771918i, +0.01483971+0.00555202i, +0.00511591-0.01014909i, +0.00616488+0.00090786i, -0.01095508+0.01616383i, +0.00160437+0.01622883i, +0.00825987+0.00977198i, +0.00263822-0.01555686i, +0.00544422+0.02214781i, +0.01115183-0.00822061i, -0.01123468-0.01236729i, -0.00691946-0.00268964i, -0.00363357-0.01855077i, -0.02250551-0.01176441i, -0.01215667+0.00379091i
+0.00244271+0.00366442i, -0.00115432+0.01034191i, -0.01285386-0.02424757i, -0.01382363-0.00135933i, -0.01021008+0.00592813i, +0.01497056-0.00624567i, +0.03531297+0.00000000i, +0.00527118-0.01917067i, +0.00774956-0.00472607i, +0.00028138+0.01587104i, -0.00681569-0.01106650i, -0.00872884-0.00200325i, +0.00125083-0.00888854i, -0.00111643+0.00459016i, -0.02143966-0.00253235i, -0.00152614+0.01133910i, -0.00048093-0.00891449i, -0.00257125+0.00500647i, +0.01747418-0.00665840i, -0.00084636-0.00968257i, +0.00479683-0.00290343i, -0.00018784+0.01140692i, +0.00784857+0.01697319i, +0.01198831+0.00311708i, -0.00662078-0.01342787i, +0.01183508+0.00840686i, +0.00478776-0.01744487i, -0.01422756-0.00346811i, -0.00765133+0.00282296i, -0.01017946-0.01113160i, -0.02609678+0.00266513i, -0.00628360+0.00972934i
-0.00455744+0.00270127i, -0.01019290-0.00195795i, +0.01731833-0.01609761i, -0.00350007-0.01421449i, -0.00778053-0.01019694i, +0.01326032+0.01318557i, +0.00527118+0.01917067i, +0.02585918-0.00000000i, +0.00632718+0.00459639i, -0.01700176+0.00452116i, +0.00729567-0.00837760i, +0.00052090-0.01140962i, +0.00874114-0.00071663i, -0.00389962-0.00040222i, -0.00097750-0.01834832i, -0.01460263+0.00115070i, +0.00873961-0.00264858i, -0.00567775+0.00006972i, +0.00688066+0.01277679i, +0.01153506-0.00511116i, +0.00384751+0.00362590i, -0.01331713+0.00236769i, -0.00973330+0.01126891i, -0.00027783+0.01436644i, +0.01066144-0.00923702i, -0.00612467+0.01420361i, +0.01261331+0.00142486i, +0.00043897-0.01781768i, -0.00326116-0.00584240i, +0.00967836-0.01232512i, -0.00799514-0.02091280i, -0.01301009-0.00428104i
+0.00209464+0.00387176i, -0.00461211+0.00268592i, +0.00240667-0.01246537i, -0.00473981-0.00420310i, -0.00797959-0.00655009i, +0.00852784+0.00114251i, +0.00774956+0.00472607i, +0.00632718-0.00459639i, +0.01881116+0.00000000i, -0.00863342+0.01015015i, +0.00153094-0.00453725i, -0.00110595-0.00607284i, +0.00427920-0.00258499i, +0.00085323+0.00089287i, -0.00572932-0.01079541i, -0.00549796+0.00281821i, +0.00465767-0.00264954i, -0.00261066+0.00153821i, +0.00757731+0.00311336i, +0.00308552-0.00436367i, +0.00703085+0.00083109i, -0.00464190+0.00505032i, -0.00045300+0.00810972i, +0.00323827+0.00463185i, +0.00793409-0.01201800i, +0.00256787+0.00797810i, +0.00698315-0.00430869i, -0.00444458-0.00731291i, -0.00720758+0.00161017i, +0.00026321-0.00928221i, -0.01042306-0.00776219i, -0.00583438+0.00146935i
+0.00778700-0.00230646i, +0.01182685+0.00647462i, -0.02451924+0.01325948i, -0.00126303+0.01356091i, +0.00507081+0.01432032i, -0.01218648-0.02011448i, +0.00028138-0.01587104i, -0.01700176-0.00452116i, -0.00863342-0.01015015i, +0.03700780-0.00000000i, -0.01636091+0.00800763i, -0.00717439+0.01542007i, -0.01208135-0.00247846i, +0.00410794+0.00403711i, -0.00790800+0.02614205i, +0.01635143+0.00451730i, -0.01191910+0.00045301i, +0.00761308+0.00327679i, -0.00349609-0.01726703i, -0.01224547+0.00083083i, -0.00314360-0.00612646i, +0.01836335+0.00176770i, +0.01298605-0.01075147i, +0.00399295-0.01292589i, -0.01889366+0.00830351i, +0.01698397-0.01896385i, -0.01491442-0.00694311i, -0.00522475+0.02015235i, +0.00194498+0.00967653i, -0.01929326+0.01517702i, +0.00211556+0.02937559i, +0.01080124+0.00906159i
-0.00599766-0.00191826i, -0.00231436-0.00719146i, +0.02469345+0.00303533i, +0.00621469-0.00779145i, +0.00283587-0.01326764i, +0.00050024+0.01396907i, -0.00681569+0.01106650i, +0.00729567+0.00837760i, +0.00153094+0.00453725i, -0.01636091-0.00800763i, +0.03161498+0.00000000i, +0.00853972-0.01335898i, +0.00513052+0.00798321i, -0.00181278-0.00781332i, +0.01293832-0.01934576i, -0.01134752-0.00953364i, +0.00822391+0.00526546i, -0.00306785-0.00408221i, -0.00471814+0.01460053i, +0.00775738+0.00482673i, +0.00021476+0.00517916i, -0.00838985-0.00682386i, -0.01641870+0.00078405i, -0.00702613+0.00683484i, +0.01523656+0.00184757i, -0.01386676+0.00496492i, +0.01283452+0.00734670i, +0.01019814-0.01132102i, +0.00240691-0.00580636i, +0.01367579-0.00203699i, +0.01276472-0.02308607i, -0.00474781-0.00941200i
