+0.02870987-0.00000000i, -0.00054090-0.00384447i, +0.00082051+0.00538296i, +0.00153816-0.00163654i, +0.00414512+0.00211701i, -0.00143693+0.00136569i, +0.00269024-0.00208370i, -0.00542724-0.00439456i, +0.00292843+0.00393568i, +0.00109605-0.00213510i, +0.00473210+0.00392138i, +0.00324864+0.00641336i, +0.00434501-0.00370770i, +0.00445929+0.00577528i, +0.00219096+0.00220571i, +0.00387937+0.00068121i, +0.00079768+0.00403206i, +0.00629114-0.00085464i, -0.00409923+0.00175440i, -0.00110749+0.00083572i, -0.00375481-0.00194173i, +0.00280059+0.00137131i, -0.00282774-0.00558305i, +0.00327765+0.00238232i, +0.00836511-0.00003885i, +0.00191203-0.00378048i, +0.00446031+0.00128275i, +0.00268293+0.00484586i, -0.00024995-0.00291931i, +0.00250657-0.00221084i, -0.00106103+0.00022404i, +0.00238988+0.00128147i
-0.00054090+0.00384447i, +0.03055484-0.00000000i, -0.00297851-0.00041939i, +0.00269146-0.00061241i, +0.00012261+0.00594062i, -0.00011577-0.00297496i, +0.00139598+0.00112424i, +0.00237623-0.00694022i, -0.00288670+0.00462782i, +0.00231209+0.00104141i, -0.00674078+0.00557499i, -0.00807876+0.00579872i, +0.00552565+0.00576313i, -0.00385059+0.00876599i, +0.00127002-0.00067476i, -0.00079225+0.00184469i, -0.00493731+0.00271403i, +0.00120183+0.00997811i, -0.00113921-0.00344277i, -0.00257585+0.00013131i, +0.00123857-0.00451655i, -0.00162269+0.00392011i, +0.00449119-0.00457389i, -0.00207952+0.00551213i, +0.00313240+0.00702140i, +0.00386748+0.00386577i, -0.00081857+0.00618088i, -0.00489498+0.00458850i, +0.00405558-0.00300755i, +0.00337601+0.00284010i, -0.00027096-0.00176379i, -0.00036367+0.00309033i
+0.00082051-0.00538296i, -0.00297851+0.00041939i, +0.02695895-0.00000000i, -0.00176138+0.00141582i, -0.00005495-0.00489599i, +0.00126773+0.00030818i, -0.00098961+0.00097898i, -0.00297397+0.00593079i, +0.00098123-0.00176389i, +0.00088865+0.00002180i, +0.00358280-0.00269471i, +0.00617628-0.00393530i, -0.00299804-0.00688400i, +0.00354851-0.00406273i, -0.00132396-0.00049873i, -0.00132351-0.00357959i, +0.00350920-0.00097452i, -0.00055971-0.00374236i, +0.00083152+0.00385034i, +0.00142437-0.00139266i, -0.00088549+0.00196819i, +0.00243403-0.00147131i, -0.00378305+0.00302072i, +0.00201417-0.00209740i, -0.00196285-0.00451654i, -0.00275193-0.00242386i, +0.00220560-0.00173820i, +0.00284325-0.00325427i, -0.00289404+0.00102415i, -0.00244368-0.00261531i, -0.00093296+0.00186575i, +0.00140925-0.00302708i
+0.00153816+0.00163654i, +0.00269146+0.00061241i, -0.00176138-0.00141582i, +0.02877625+0.00000000i, -0.00226797+0.00674424i, -0.00054192-0.00212826i, +0.00074113+0.00217427i, +0.00568013-0.00643891i, -0.00084711+0.00342765i, +0.00462481-0.00104434i, -0.00835988+0.00533595i, -0.00602662+0.00515182i, +0.00333165+0.00643289i, -0.00611372+0.00647318i, +0.00108617+0.00179297i, -0.00024362+0.00415054i, -0.00422803+0.00186425i, -0.00017273+0.00638051i, -0.00101685-0.00314328i, -0.00361327+0.00228791i, +0.00289908-0.00319266i, -0.00330787+0.00253793i, +0.00595033-0.00273365i, -0.00362097+0.00253448i, +0.00303202+0.00495993i, +0.00429585+0.00172198i, -0.00166701+0.00524502i, -0.00220822+0.00326496i, +0.00380891-0.00070809i, +0.00359082+0.00310062i, +0.00043797-0.00024567i, -0.00205044+0.00245971i
+0.00414512-0.00211701i, +0.00012261-0.00594062i, -0.00005495+0.00489599i, -0.00226797-0.00674424i, +0.03608059-0.00000000i, -0.00331990+0.00248055i, +0.00216467-0.00117131i, -0.00946866-0.00519561i, +0.00613197+0.00262987i, -0.00018883-0.00305265i, +0.00938754+0.00832870i, +0.00703517+0.00942056i, +0.00641489-0.00533145i, +0.01019328+0.00545539i, -0.00134602-0.00191434i, +0.00584007-0.00126455i, +0.00423884+0.00475564i, +0.00898691-0.00282069i, -0.00455328+0.00318618i, -0.00021231+0.00300803i, -0.00572502+0.00007107i, +0.00380582+0.00342429i, -0.00787247-0.00618701i, +0.00488122+0.00521240i, +0.00912904-0.00592440i, +0.00218572-0.00536316i, +0.00663314+0.00125098i, +0.00409798+0.00509910i, -0.00451451-0.00689189i, +0.00349171-0.00645536i, -0.00235305-0.00060702i, +0.00525673+0.00017214i
-0.00143693-0.00136569i, -0.00011577+0.00297496i, +0.00126773-0.00030818i, -0.00054192+0.00212826i, -0.00331990-0.00248055i, +0.02963230+0.00000000i, -0.00238312-0.00069683i, +0.00332438+0.00213997i, -0.00182076-0.00203548i, -0.00017543+0.00055895i, -0.00170330-0.00508121i, -0.00216464-0.00597605i, -0.00573933+0.00158832i, -0.00170690-0.00437078i, -0.00107955-0.00009340i, +0.00041166-0.00287758i, -0.00013980-0.00310858i, -0.00382962-0.00005223i, +0.00262197+0.00064434i, +0.00002679-0.00304198i, +0.00185274+0.00256143i, -0.00133542+0.00142724i, -0.00126174+0.00409240i, +0.00094347-0.00383655i, -0.00375067-0.00166460i, -0.00106422+0.00101750i, -0.00299068-0.00228885i, +0.00117291-0.00296064i, -0.00080791+0.00272086i, -0.00507129-0.00192322i, +0.00038077+0.00153054i, -0.00089204-0.00040336i
+0.00269024+0.00208370i, +0.00139598-0.00112424i, -0.00098961-0.00097898i, +0.00074113-0.00217427i, +0.00216467+0.00117131i, -0.00238312+0.00069683i, +0.02620991-0.00000000i, -0.00161763-0.00376268i, +0.00064988-0.00049537i, +0.00127290-0.00153213i, -0.00096482+0.00307743i, +0.00114715+0.00375440i, +0.00308583-0.00110886i, +0.00008118+0.00378834i, +0.00093128+0.00020084i, +0.00286882+0.00071398i, -0.00055492+0.00274962i, +0.00319338+0.00123483i, -0.00103002-0.00162910i, -0.00181074+0.00084048i, +0.00059946-0.00205233i, +0.00006222+0.00017117i, +0.00014117-0.00202829i, -0.00050405+0.00228087i, +0.00321658+0.00198121i, +0.00174698+0.00069058i, -0.00036379+0.00277279i, -0.00104257+0.00217066i, -0.00022043-0.00077928i, +0.00103444-0.00122952i, -0.00192783-0.00195509i, +0.00053771+0.00023008i
-0.00542724+0.00439456i, +0.00237623+0.00694022i, -0.00297397-0.00593079i, +0.00568013+0.00643891i, -0.00946866+0.00519561i, +0.00332438-0.00213997i, -0.00161763+0.00376268i, +0.03626926+0.00000000i, -0.00799576-0.00039449i, +0.00311884+0.00430422i, -0.01160507-0.00288646i, -0.01299494-0.00882645i, -0.00467024+0.01215378i, -0.01357437-0.00312691i, -0.00241646+0.00285055i, -0.00422353+0.00312088i, -0.00501268-0.00387255i, -0.00874557+0.00528231i, +0.00328120-0.00407235i, -0.00211350-0.00356628i, +0.00820071+0.00019904i, -0.00678763-0.00211076i, +0.01011196+0.00535155i, -0.00759209-0.00018857i, -0.00723928+0.00869847i, +0.00018530+0.00536903i, -0.00703203+0.00097203i, -0.00799661-0.00270025i, +0.00445189+0.00310040i, -0.00167604+0.00560590i, +0.00219535+0.00005950i, -0.00638442-0.00196406i
+0.00292843-0.00393568i, -0.00288670-0.00462782i, +0.00098123+0.00176389i, -0.00084711-0.00342765i, +0.00613197-0.00262987i, -0.00182076+0.00203548i, +0.00064988+0.00049537i, -0.00799576+0.00039449i, +0.03125910+0.00000000i, -0.00117054-0.00214602i, +0.00745126+0.00500436i, +0.00790703+0.00595739i, +0.00184710-0.00788431i, +0.00745890+0.00237492i, +0.00019681-0.00132574i, +0.00178415-0.00118126i, +0.00150942+0.00553764i, +0.00599625-0.00433806i, -0.00330988+0.00206430i, +0.00130063+0.00320516i, -0.00364187+0.00103786i, +0.00259384+0.00160698i, -0.00640644-0.00198344i, +0.00404492-0.00002632i, +0.00702107-0.00908795i, -0.00051638-0.00277128i, +0.00496010-0.00081129i, +0.00581901+0.00202842i, -0.00356692-0.00276856i, +0.00112008-0.00358497i, -0.00118124+0.00166047i, +0.00151869-0.00004357i
+0.00109605+0.00213510i, +0.00231209-0.00104141i, +0.00088865-0.00002180i, +0.00462481+0.00104434i, -0.00018883+0.00305265i, -0.00017543-0.00055895i, +0.00127290+0.00153213i, +0.00311884-0.00430422i, -0.00117054+0.00214602i, +0.02887827+0.00000000i, -0.00326130+0.00397968i, -0.00380764+0.00285371i, +0.00142707+0.00309786i, -0.00252266+0.00483023i, +0.00080172+0.00175847i, -0.00029679+0.00226721i, -0.00112016+0.00031421i, -0.00122774+0.00403079i, -0.00187220-0.00086535i, -0.00049764-0.00080610i, +0.00155962-0.00086528i, -0.00087965+0.00192978i, +0.00314322-0.00196896i, -0.00032399+0.00149725i, +0.00257063+0.00399302i, +0.00366425-0.00197992i, -0.00017219+0.00259423i, -0.00167022+0.00027281i, +0.00216248-0.00085339i, +0.00107017+0.00207315i, -0.00004066-0.00039438i, -0.00041438-0.00089028i
+0.00473210-0.00392138i, -0.00674078-0.00557499i, +0.00358280+0.00269471i, -0.00835988-0.00533595i, +0.00938754-0.00832870i, -0.00170330+0.00508121i, -0.00096482-0.00307743i, -0.01160507+0.00288646i, +0.00745126-0.00500436i, -0.00326130-0.00397968i, +0.03716462+0.00000000i, +0.01329403+0.00139470i, +0.00004770-0.01354626i, +0.01323129-0.00145851i, +0.00006789-0.00310382i, +0.00309531-0.00375857i, +0.00830339+0.00128637i, +0.00659786-0.01012077i, -0.00334276+0.00884711i, +0.00384675+0.00291632i, -0.00697100+0.00141203i, +0.00613033-0.00061125i, -0.01159138-0.00261642i, +0.00831741-0.00070479i, +0.00401070-0.01216368i, -0.00259373-0.00633593i, +0.01010722-0.00854067i, +0.00820338+0.00067682i, -0.00657283-0.00197639i, -0.00126337-0.00709247i, -0.00121040+0.00126756i, +0.00347028-0.00246782i
