+0.01238131-0.00000000i, +0.00270036+0.00775517i, +0.00073716-0.00629285i, -0.00441115+0.00097929i, +0.01818618+0.00070581i, +0.00367366+0.01203430i, -0.00156324+0.00997827i, +0.00708702-0.00128721i, +0.00446359-0.00153315i, +0.00206668+0.00263057i, -0.00058379-0.00268307i, -0.00167015+0.00102240i, -0.00824000+0.00247744i, -0.00349083-0.00481671i, -0.00083349-0.00470167i, -0.00297114+0.00166397i, -0.00032182+0.00335226i, -0.00216987+0.00052954i, +0.00168457+0.00036314i, -0.00015048-0.00121973i, -0.00067037+0.00495414i, -0.00338698+0.00068860i, -0.00268733-0.00068936i, +0.00016593+0.00197160i, -0.00030623-0.00127820i, +0.00078425-0.00050292i, -0.00075934+0.00009043i, +0.00023898+0.00049021i, +0.00046750+0.00235023i, -0.00142819+0.00083954i, -0.00132558+0.00010593i, +0.00038222+0.00086794i, +0.01037065-0.02341187i, +0.01692604+0.00138964i, -0.01128162-0.00666475i, -0.00184303+0.00916122i, +0.01660934-0.03388257i, +0.02589809+0.00314138i, +0.01760296+0.01134238i, +0.00351099-0.01451566i, +0.00084482-0.00978375i, +0.00674613-0.00171493i, -0.00559635-0.00115044i, +0.00053760+0.00403897i, -0.00223080+0.01776391i, -0.01210530+0.00258199i, -0.00964706-0.00237652i, +0.00066179+0.00705468i, -0.00682095-0.00383953i, +0.00091727-0.00510968i, -0.00235747+0.00323805i, +0.00273371+0.00082840i, -0.00989700-0.00608816i, +0.00172498-0.00784589i, +0.00399468-0.00506193i, -0.00434605-0.00150334i, +0.00300458+0.00055246i, +0.00033050+0.00214003i, +0.00052262-0.00169880i, -0.00126671+0.00004641i, -0.00543456-0.00121889i, -0.00043969-0.00382535i, +0.00102271-0.00291672i, -0.00220427-0.00000479i
+0.00270036-0.00775517i, +0.00678591+0.00000000i, -0.00406540-0.00197225i, -0.00039312+0.00335589i, +0.00459532-0.01171338i, +0.00995805+0.00038648i, +0.00635381+0.00339291i, +0.00083365-0.00532127i, +0.00001411-0.00334527i, +0.00244266-0.00083900i, -0.00194397-0.00023604i, +0.00031133+0.00143084i, -0.00025577+0.00594316i, -0.00451191+0.00135655i, -0.00336207-0.00054126i, +0.00044449+0.00250734i, +0.00202949+0.00093268i, -0.00017638+0.00183730i, +0.00063963-0.00104941i, -0.00089836-0.00019366i, +0.00308218+0.00156397i, -0.00036707+0.00271269i, -0.00109451+0.00164827i, +0.00143312+0.00036763i, -0.00092700-0.00009294i, -0.00016758-0.00069948i, -0.00011717+0.00053263i, +0.00040494-0.00004823i, +0.00164076+0.00022907i, +0.00025599+0.00128689i, -0.00023952+0.00091763i, +0.00070691-0.00005649i, -0.01240239-0.01160184i, +0.00568391-0.01283151i, -0.00713446+0.00603525i, +0.00601633+0.00355422i, -0.01834608-0.01854726i, +0.00909464-0.01855280i, +0.01176733-0.00919573i, -0.00938741-0.00604873i, -0.00635230-0.00284596i, +0.00046232-0.00535407i, -0.00208726+0.00349938i, +0.00298446+0.00061352i, +0.01109099+0.00549499i, -0.00122150+0.00972684i, -0.00386298+0.00594002i, +0.00514464+0.00126736i, -0.00389250+0.00343491i, -0.00373841-0.00210436i, +0.00162798+0.00234714i, +0.00125721-0.00172681i, -0.00622500+0.00507770i, -0.00541922-0.00333364i, -0.00247242-0.00387754i, -0.00213031+0.00269946i, +0.00107014-0.00188249i, +0.00164423+0.00030233i, -0.00102159-0.00075038i, -0.00027871+0.00090595i, -0.00203132+0.00327114i, -0.00297576-0.00066742i, -0.00172458-0.00137282i, -0.00054540+0.00155544i
+0.00073716+0.00629285i, -0.00406540+0.00197225i, +0.00515120-0.00000000i, -0.00079524-0.00228384i, +0.00078518+0.01006941i, -0.00659767+0.00289026i, -0.00666939-0.00025884i, +0.00127383+0.00417286i, +0.00118807+0.00247551i, -0.00138865+0.00138072i, +0.00150015-0.00051527i, -0.00077940-0.00099206i, -0.00189754-0.00438175i, +0.00250613-0.00230559i, +0.00302184-0.00090855i, -0.00121044-0.00167018i, -0.00172289+0.00003602i, -0.00042830-0.00115193i, -0.00013390+0.00139477i, +0.00063895-0.00015593i, -0.00277390-0.00004962i, -0.00061710-0.00187987i, +0.00024584-0.00181682i, -0.00117443+0.00023877i, +0.00071788-0.00026348i, +0.00034581+0.00042171i, -0.00010292-0.00042958i, -0.00029576+0.00018966i, -0.00126521+0.00040942i, -0.00057246-0.00075611i, -0.00017145-0.00086190i, -0.00049522+0.00029111i, +0.01251650+0.00387699i, +0.00032414+0.00933915i, +0.00431473-0.00974057i, -0.00498448-0.00040923i, +0.01974776+0.00696705i, -0.00006119+0.01493411i, -0.00609112+0.01242570i, +0.00898009+0.00108926i, +0.00571072-0.00017409i, +0.00145650+0.00380538i, +0.00028393-0.00328817i, -0.00254415+0.00064675i, -0.00993513-0.00008262i, -0.00227430-0.00671074i, +0.00081810-0.00651453i, -0.00419748+0.00089530i, +0.00154529-0.00369523i, +0.00285115+0.00017418i, -0.00283799-0.00159751i, -0.00027011+0.00150463i, +0.00271666-0.00584811i, +0.00457583+0.00045821i, +0.00362951+0.00223270i, +0.00059813-0.00272054i, -0.00011586+0.00177359i, -0.00122169+0.00033790i, +0.00100979+0.00018567i, -0.00012464-0.00080706i, +0.00032094-0.00307411i, +0.00214570-0.00050477i, +0.00199301+0.00044700i, -0.00015246-0.00132643i
-0.00441115-0.00097929i, -0.00039312-0.00335589i, -0.00079524+0.00228384i, +0.00293019+0.00000000i, -0.00696594-0.00183261i, -0.00041873-0.00536988i, +0.00159341-0.00406158i, -0.00381631-0.00014811i, -0.00194589+0.00021963i, -0.00063358-0.00132015i, -0.00000532+0.00126160i, +0.00086230-0.00029618i, +0.00339614-0.00025041i, +0.00101193+0.00233673i, -0.00008869+0.00206077i, +0.00172914-0.00051988i, +0.00037979-0.00116882i, +0.00091879-0.00001921i, -0.00059762-0.00027464i, -0.00007617+0.00079340i, +0.00068394-0.00185660i, +0.00147928+0.00002646i, +0.00106874+0.00054230i, +0.00014067-0.00103961i, +0.00000910+0.00054529i, -0.00038284+0.00014051i, +0.00034960+0.00003505i, -0.00005916-0.00024693i, +0.00002096-0.00094814i, +0.00067472-0.00021834i, +0.00056893+0.00007943i, -0.00009810-0.00049319i, -0.00554649+0.00752072i, -0.00667488-0.00206755i, +0.00365233+0.00341658i, +0.00245438-0.00554079i, -0.00932350+0.01166634i, -0.01053120-0.00371543i, -0.00636145-0.00643121i, -0.00348542+0.00711015i, -0.00122200+0.00388703i, -0.00304545+0.00009284i, +0.00239563+0.00107329i, +0.00016321-0.00189007i, +0.00238559-0.00667199i, +0.00529826+0.00004406i, +0.00384577+0.00190537i, +0.00046813-0.00372770i, +0.00212636+0.00190735i, -0.00082408+0.00197061i, +0.00114621-0.00101147i, -0.00161435-0.00090872i, +0.00330163+0.00320115i, -0.00144875+0.00311871i, -0.00215850+0.00176068i, +0.00207685+0.00127758i, -0.00116735-0.00049397i, +0.00006179-0.00094583i, -0.00040358+0.00070994i, +0.00058044+0.00010673i, +0.00199517+0.00093708i, -0.00017115+0.00163938i, -0.00070436+0.00113426i, +0.00114042+0.00025578i
+0.01818618-0.00070581i, +0.00459532+0.01171338i, +0.00078518-0.01006941i, -0.00696594+0.00183261i, +0.03571847-0.00000000i, +0.00800588+0.02299211i, -0.00224395+0.01915580i, +0.01342778-0.00298102i, +0.00802320-0.00310862i, +0.00385364+0.00453167i, -0.00119538-0.00462293i, -0.00283324+0.00188924i, -0.01523806+0.00523394i, -0.00683060-0.00869429i, -0.00187403-0.00861299i, -0.00536141+0.00328205i, -0.00028439+0.00499119i, -0.00332343+0.00094903i, +0.00273268+0.00047901i, -0.00031824-0.00195281i, -0.00092899+0.00967693i, -0.00643731+0.00157098i, -0.00513140-0.00110616i, +0.00045839+0.00371543i, -0.00064825-0.00230693i, +0.00135883-0.00094771i, -0.00131338+0.00020835i, +0.00044833+0.00083571i, +0.00104542+0.00436359i, -0.00259202+0.00166220i, -0.00243757+0.00029030i, +0.00076717+0.00157364i, +0.01393334-0.03506794i, +0.02606366+0.00112472i, -0.01842909-0.00994397i, -0.00237541+0.01474411i, +0.02992280-0.06755111i, +0.05018979+0.00412062i, +0.03434783+0.02029138i, +0.00561126-0.02789211i, +0.00084731-0.01788337i, +0.01186877-0.00351243i, -0.00980223-0.00162168i, +0.00120656+0.00698217i, -0.00288408+0.03340029i, -0.02229667+0.00566801i, -0.01796502-0.00369307i, +0.00172577+0.01296562i, -0.01033909-0.00530279i, +0.00111171-0.00795599i, -0.00359034+0.00535631i, +0.00444949+0.00116198i, -0.01968997-0.01108354i, +0.00272125-0.01515879i, +0.00718112-0.00986346i, -0.00832718-0.00252339i, +0.00551268+0.00079402i, +0.00073484+0.00377977i, +0.00079358-0.00298721i, -0.00219801+0.00016607i, -0.01025719-0.00188603i, -0.00109235-0.00707301i, +0.00167768-0.00545336i, -0.00406631+0.00014897i
+0.00367366-0.01203430i, +0.00995805-0.00038648i, -0.00659767-0.00289026i, -0.00041873+0.00536988i, +0.00800588-0.02299211i, +0.01956444+0.00000000i, +0.01237530+0.00600364i, +0.00119667-0.01021552i, -0.00020562-0.00594511i, +0.00439320-0.00170216i, -0.00339390-0.00027906i, +0.00063748+0.00246534i, -0.00004664+0.01105648i, -0.00834521+0.00286640i, -0.00624039-0.00075771i, +0.00099939+0.00459319i, +0.00319412+0.00132039i, -0.00015572+0.00273298i, +0.00096347-0.00172814i, -0.00145730-0.00025545i, +0.00602087+0.00276697i, -0.00050884+0.00530044i, -0.00194839+0.00319661i, +0.00273650+0.00058990i, -0.00165358-0.00010122i, -0.00035496-0.00126318i, -0.00016768+0.00093343i, +0.00070041-0.00011111i, +0.00306384+0.00030718i, +0.00057253+0.00238975i, -0.00037613+0.00170980i, +0.00129992-0.00015481i, -0.01972839-0.01706957i, +0.00762937-0.01920186i, -0.01101923+0.01008008i, +0.00982797+0.00530298i, -0.03677608-0.03440224i, +0.01638992-0.03700046i, +0.02172146-0.01837482i, -0.01831722-0.01082111i, -0.01148351-0.00461886i, +0.00046396-0.00979225i, -0.00339099+0.00622155i, +0.00522739+0.00086482i, +0.02099502+0.00940621i, -0.00157948+0.01829185i, -0.00670038+0.01123346i, +0.00958049+0.00196946i, -0.00581273+0.00554489i, -0.00566129-0.00290361i, +0.00276551+0.00367425i, +0.00191468-0.00285644i, -0.01154783+0.01019028i, -0.01078499-0.00607090i, -0.00495902-0.00714966i, -0.00382959+0.00526005i, +0.00177169-0.00341874i, +0.00301853+0.00043478i, -0.00182579-0.00123503i, -0.00042321+0.00159304i, -0.00353692+0.00622181i, -0.00561741-0.00103289i, -0.00327943-0.00240883i, -0.00089469+0.00290820i
-0.00156324-0.00997827i, +0.00635381-0.00339291i, -0.00666939+0.00025884i, +0.00159341+0.00406158i, -0.00224395-0.01915580i, +0.01237530-0.00600364i, +0.01370960-0.00000000i, -0.00263491-0.00756720i, -0.00223143-0.00422151i, +0.00231990-0.00249289i, -0.00294234+0.00114002i, +0.00133624+0.00157134i, +0.00381387+0.00794670i, -0.00445774+0.00443229i, -0.00572501+0.00196642i, +0.00230570+0.00293480i, +0.00276940-0.00016551i, +0.00076094+0.00182639i, +0.00010429-0.00183041i, -0.00115239+0.00032907i, +0.00524812-0.00010972i, +0.00130466+0.00350891i, -0.00035657+0.00371421i, +0.00211868-0.00051705i, -0.00122967+0.00050625i, -0.00062934-0.00070947i, +0.00023773+0.00084602i, +0.00047117-0.00032861i, +0.00230449-0.00084579i, +0.00111008+0.00135373i, +0.00039277+0.00163942i, +0.00087495-0.00056108i, -0.02022833-0.00541556i, -0.00109644-0.01489393i, -0.00510975+0.01286041i, +0.00903750+0.00038999i, -0.03810753-0.01180383i, -0.00098686-0.02843382i, +0.01148506-0.02592768i, -0.01651858-0.00135619i, -0.00991165+0.00068764i, -0.00278756-0.00651429i, -0.00031073+0.00655834i, +0.00411546-0.00121793i, +0.01833217-0.00055885i, +0.00467556+0.01221576i, -0.00108356+0.01254865i, +0.00752635-0.00191327i, -0.00225523+0.00604107i, -0.00459758-0.00010219i, +0.00379164+0.00194468i, +0.00038548-0.00275872i, -0.00470714+0.01125608i, -0.00868493-0.00053056i, -0.00755743-0.00425410i, -0.00089563+0.00498913i, +0.00008172-0.00308974i, +0.00210012-0.00066956i, -0.00202166-0.00029119i, +0.00025481+0.00131062i, -0.00037192+0.00569346i, -0.00392180+0.00108471i, -0.00385367-0.00070859i, +0.00036873+0.00238753i
+0.00708702+0.00128721i, +0.00083365+0.00532127i, +0.00127383-0.00417286i, -0.00381631+0.00014811i, +0.01342778+0.00298102i, +0.00119667+0.01021552i, -0.00263491+0.00756720i, +0.00782742+0.00000000i, +0.00336651-0.00051287i, +0.00118999+0.00225127i, -0.00007130-0.00206145i, -0.00168364+0.00065233i, -0.00624656+0.00070503i, -0.00203388-0.00423787i, +0.00001574-0.00373217i, -0.00327203+0.00112387i, -0.00053799+0.00190402i, -0.00147688+0.00008827i, +0.00110755+0.00045784i, +0.00005968-0.00104739i, -0.00115687+0.00356037i, -0.00279875+0.00005851i, -0.00198162-0.00091068i, -0.00020358+0.00212061i, -0.00005258-0.00094692i, +0.00065577-0.00026998i, -0.00057337-0.00003510i, +0.00013603+0.00048410i, +0.00002921+0.00175044i, -0.00122895+0.00045105i, -0.00103421-0.00010369i, +0.00022448+0.00093698i, +0.00839127-0.01235386i, +0.01078749+0.00288804i, -0.00684076-0.00591882i, -0.00292387+0.00735890i, +0.01688675-0.02289745i, +0.02032221+0.00629482i, +0.01210383+0.01132255i, +0.00655733-0.01480327i, +0.00186131-0.00683681i, +0.00528574-0.00036671i, -0.00398187-0.00160158i, -0.00017781+0.00375277i, -0.00392279+0.01247788i, -0.00977629+0.00029802i, -0.00708697-0.00317511i, -0.00061929+0.00717196i, -0.00353981-0.00293564i, +0.00120268-0.00322162i, -0.00201555+0.00192267i, +0.00216962+0.00111277i, -0.00647714-0.00581001i, +0.00251025-0.00600271i, +0.00380067-0.00335387i, -0.00431487-0.00242885i, +0.00206179+0.00077963i, -0.00004358+0.00164772i, +0.00061433-0.00118544i, -0.00115682-0.00016662i, -0.00374735-0.00158570i, +0.00019834-0.00303624i, +0.00119391-0.00210020i, -0.00220250-0.00040498i
+0.00446359+0.00153315i, +0.00001411+0.00334527i, +0.00118807-0.00247551i, -0.00194589-0.00021963i, +0.00802320+0.00310862i, -0.00020562+0.00594511i, -0.00223143+0.00422151i, +0.00336651+0.00051287i, +0.00391417-0.00000000i, +0.00085663+0.00246017i, +0.00023465-0.00200311i, -0.00140414+0.00031172i, -0.00416493-0.00016164i, -0.00084133-0.00275605i, +0.00035801-0.00228519i, -0.00162304+0.00029479i, -0.00054381+0.00119660i, -0.00092775-0.00008512i, +0.00065464+0.00039524i, +0.00011267-0.00053360i, -0.00107530+0.00214146i, -0.00164263-0.00021522i, -0.00111090-0.00073095i, -0.00023177+0.00091962i, +0.00009648-0.00100499i, +0.00065292-0.00015934i, -0.00050874-0.00010967i, +0.00004545+0.00036836i, -0.00016494+0.00121896i, -0.00083336+0.00016943i, -0.00066122-0.00016962i, +0.00004083+0.00048511i, +0.00667827-0.00719973i, +0.00637609+0.00279227i, -0.00370831-0.00434639i, -0.00205766+0.00351686i, +0.01267526-0.01264401i, +0.01113695+0.00540122i, +0.00615072+0.00780271i, +0.00381273-0.00597240i, +0.00323525-0.00730362i, +0.00529886+0.00043504i, -0.00354411-0.00209372i, -0.00057899+0.00287799i, -0.00387660+0.00790815i, -0.00604458-0.00073319i, -0.00410851-0.00264730i, -0.00081946+0.00338794i, -0.00203098-0.00228207i, +0.00105422-0.00189145i, -0.00145617+0.00101913i, +0.00102788+0.00074174i, -0.00353861-0.00430097i, +0.00200365-0.00328817i, +0.00259908-0.00167271i, -0.00173610-0.00135822i, +0.00204490+0.00115108i, -0.00027601+0.00153751i, +0.00071196-0.00097789i, -0.00082558-0.00025018i, -0.00243515-0.00149799i, +0.00042443-0.00193048i, +0.00098289-0.00124548i, -0.00106934-0.00036989i
+0.00206668-0.00263057i, +0.00244266+0.00083900i, -0.00138865-0.00138072i, -0.00063358+0.00132015i, +0.00385364-0.00453167i, +0.00439320+0.00170216i, +0.00231990+0.00249289i, +0.00118999-0.00225127i, +0.00085663-0.00246017i, +0.00214510+0.00000000i, -0.00129408-0.00062780i, -0.00012513+0.00106823i, -0.00105240+0.00268256i, -0.00228056-0.00008851i, -0.00145513-0.00077703i, -0.00019092+0.00121866i, +0.00067425+0.00064293i, -0.00029760+0.00065483i, +0.00041972-0.00034822i, -0.00034911-0.00021078i, +0.00115371+0.00118891i, -0.00058879+0.00117258i, -0.00075282+0.00057678i, +0.00059243+0.00038980i, -0.00061068-0.00028065i, +0.00005287-0.00055077i, -0.00019317+0.00031692i, +0.00027131+0.00005848i, +0.00075837+0.00038481i, -0.00009032+0.00066746i, -0.00026930+0.00040555i, +0.00035262+0.00009045i, -0.00326288-0.00614857i, +0.00365463-0.00393999i, -0.00379698+0.00147827i, +0.00197759+0.00231787i, -0.00537371-0.01115025i, +0.00694049-0.00692337i, +0.00669761-0.00231269i, -0.00328009-0.00416108i, -0.00388269-0.00363206i, +0.00177303-0.00400264i, -0.00224128+0.00189597i, +0.00189002+0.00111655i, +0.00428195+0.00432891i, -0.00212268+0.00433020i, -0.00274648+0.00214627i, +0.00219101+0.00141177i, -0.00200100+0.00082762i, -0.00111144-0.00124884i, +0.00034489+0.00121974i, +0.00077656-0.00054349i, -0.00361260+0.00133258i, -0.00193760-0.00235505i, -0.00051705-0.00214277i, -0.00138605+0.00089203i, +0.00117126-0.00103357i, +0.00112067+0.00063083i, -0.00049165-0.00070884i, -0.00037968+0.00052150i, -0.00153166+0.00124936i, -0.00133339-0.00082024i, -0.00060834-0.00095407i, -0.00052416+0.00066420i
-0.00058379+0.00268307i, -0.00194397+0.00023604i, +0.00150015+0.00051527i, -0.00000532-0.00126160i, -0.00119538+0.00462293i, -0.00339390+0.00027906i, -0.00294234-0.00114002i, -0.00007130+0.00206145i, +0.00023465+0.00200311i, -0.00129408+0.00062780i, +0.00161271-0.00000000i, -0.00025607-0.00073540i, -0.00017982-0.00230606i, +0.00151097-0.00066192i, +0.00152740+0.00005928i, -0.00029173-0.00095565i, -0.00072826-0.00023324i, -0.00001370-0.00054519i, -0.00018277+0.00040216i, +0.00034988+0.00003210i, -0.00124976-0.00045441i, +0.00001296-0.00094829i, +0.00039434-0.00078534i, -0.00056958-0.00007463i, +0.00052031-0.00001088i, +0.00012935+0.00034788i, +0.00003973-0.00041383i, -0.00019535+0.00004767i, -0.00068252-0.00001221i, -0.00015184-0.00046254i, +0.00006049-0.00044703i, -0.00028897+0.00005875i, +0.00461242+0.00337169i, -0.00118917+0.00389720i, +0.00224447-0.00241972i, -0.00240460-0.00105304i, +0.00778750+0.00616996i, -0.00232921+0.00669188i, -0.00464838+0.00463692i, +0.00386171+0.00187286i, +0.00393204+0.00121795i, +0.00010183+0.00293388i, +0.00133279-0.00300880i, -0.00158431-0.00013007i, -0.00460910-0.00162610i, +0.00001428-0.00348560i, +0.00142166-0.00290014i, -0.00209594-0.00025423i, +0.00118121-0.00132807i, +0.00117148+0.00048410i, -0.00068258-0.00076697i, -0.00039758+0.00071332i, +0.00214213-0.00222810i, +0.00200300+0.00092021i, +0.00129771+0.00157729i, +0.00069476-0.00114016i, -0.00046668+0.00111596i, -0.00086105-0.00005260i, +0.00084204+0.00047399i, +0.00008258-0.00046001i, +0.00066843-0.00143892i, +0.00112588+0.00011274i, +0.00089304+0.00054935i, +0.00014717-0.00066939i
