+0.01577469+0.00000000i, +0.00056070-0.00041063i, +0.00034556+0.00011021i, -0.00001533+0.00011223i, -0.00017713-0.00017220i, +0.00008170+0.00035848i, +0.00037206-0.00030255i, -0.00031134-0.00016588i, +0.00026746+0.00038967i, +0.00066401-0.00042912i, +0.00016754+0.00023976i, +0.00017305+0.00027946i, -0.00077611+0.00006925i, -0.00013930-0.00005166i, -0.00016433-0.00020583i, +0.00063365+0.00079263i, -0.00010285+0.00141150i, -0.00005194-0.00041569i, -0.00048646-0.00021631i, -0.00019548-0.00004467i, +0.00024646+0.00016416i, +0.00061874-0.00002994i, -0.00022390+0.00029540i, +0.00036578+0.00067981i, +0.00021020-0.00048819i, -0.00055052-0.00131787i, +0.00026564-0.00026869i, +0.00026084-0.00033544i, +0.00050081-0.00022618i, -0.00044188-0.00039843i, +0.00007913-0.00010389i, +0.00027964-0.00013452i, -0.00059529-0.00044357i, -0.00023266+0.00077488i, -0.00027110-0.00078401i, +0.00028777+0.00067996i, +0.00024693-0.00060724i, +0.00010389+0.00018610i, -0.00089578+0.00081091i, +0.00036479+0.00083629i, -0.00022203-0.00045055i, -0.00045965+0.00019011i, -0.00053191+0.00018955i, +0.00019854-0.00012549i, +0.00043866-0.00034465i, -0.00052410-0.00059330i, -0.00090257-0.00057968i, -0.00109361-0.00023707i, +0.00008989+0.00003715i, +0.00019135-0.00020710i, -0.00044054-0.00001264i, +0.00004315-0.00076170i, +0.00072041+0.00016219i, -0.00008092-0.00022076i, -0.00072188-0.00004018i, -0.00066771+0.00004568i, +0.00016185+0.00035488i, +0.00020199-0.00101300i, -0.00054765-0.00038895i, -0.00024697-0.00001283i, -0.00048408+0.00030206i, +0.00038789-0.00016105i, +0.00018661-0.00046233i, +0.00126586+0.00038550i
+0.00056070+0.00041063i, +0.01625666-0.00000000i, +0.00063913+0.00004930i, -0.00005435+0.00042640i, -0.00002547-0.00047581i, -0.00009317+0.00077441i, -0.00005396-0.00021466i, -0.00008140+0.00019247i, -0.00019612-0.00042283i, +0.00070617+0.00031638i, +0.00036283+0.00031022i, +0.00005483+0.00038764i, -0.00021681+0.00022460i, -0.00034548-0.00016119i, -0.00031524-0.00008835i, +0.00055504+0.00078781i, +0.00005497+0.00096399i, +0.00017065-0.00048135i, -0.00016294-0.00022443i, -0.00037789+0.00030741i, +0.00019621+0.00008801i, +0.00057336+0.00012703i, +0.00009008+0.00001184i, +0.00005458+0.00039803i, +0.00020941-0.00011774i, -0.00021164-0.00108697i, +0.00023803-0.00032958i, +0.00010280-0.00031496i, +0.00026428-0.00034741i, -0.00023255-0.00037019i, -0.00020254-0.00017135i, +0.00016239-0.00024819i, +0.00004474-0.00026959i, -0.00067625+0.00085124i, -0.00033784-0.00047469i, -0.00002612+0.00047317i, +0.00012884-0.00068895i, +0.00010651-0.00020411i, -0.00054116+0.00082231i, +0.00027219+0.00051475i, -0.00006170-0.00024704i, -0.00010710-0.00014101i, -0.00007893+0.00019115i, +0.00037488-0.00002900i, +0.00001141-0.00006476i, -0.00033794-0.00041392i, -0.00070644-0.00079559i, -0.00086811-0.00029987i, -0.00001969-0.00018808i, -0.00007439+0.00020954i, -0.00043736-0.00003514i, +0.00020933-0.00034731i, +0.00043097+0.00017191i, +0.00007689-0.00024140i, -0.00042470-0.00003512i, -0.00058768+0.00002367i, +0.00007572+0.00021469i, +0.00030585-0.00090918i, -0.00050100-0.00019064i, +0.00009963-0.00000085i, -0.00034161+0.00034794i, +0.00030622-0.00013304i, -0.00017853-0.00036793i, +0.00084959-0.00007087i
+0.00034556-0.00011021i, +0.00063913-0.00004930i, +0.01544288+0.00000000i, -0.00020757-0.00021821i, -0.00009569-0.00026450i, -0.00044624+0.00025793i, +0.00060227-0.00030045i, -0.00003645+0.00002026i, +0.00023917-0.00015966i, +0.00055815-0.00000616i, +0.00008244+0.00062236i, +0.00007993+0.00044307i, -0.00064353+0.00035177i, -0.00030347-0.00029789i, +0.00026135-0.00023771i, +0.00021447+0.00005349i, -0.00023779+0.00065852i, +0.00011901-0.00014995i, -0.00039852+0.00007790i, -0.00021431+0.00013446i, +0.00022808-0.00011207i, +0.00042064+0.00019683i, +0.00011614-0.00009195i, +0.00016403+0.00000698i, +0.00011639-0.00014789i, -0.00010153-0.00059332i, -0.00005535-0.00025342i, +0.00005978-0.00014675i, +0.00032544+0.00009897i, -0.00010863-0.00015053i, -0.00001335-0.00005057i, +0.00027237-0.00022760i, +0.00010893-0.00029397i, -0.00027349+0.00044368i, -0.00057664-0.00005794i, +0.00032818+0.00037947i, +0.00035654-0.00036980i, +0.00017055-0.00008907i, -0.00030122+0.00067198i, +0.00023099+0.00021149i, -0.00008278-0.00010858i, -0.00004509+0.00005493i, -0.00031648+0.00009032i, +0.00003913+0.00001582i, +0.00019790-0.00004136i, -0.00006093-0.00022843i, -0.00026339-0.00046939i, -0.00013556-0.00035400i, +0.00005197+0.00013774i, +0.00005142-0.00006633i, -0.00054066+0.00006197i, +0.00032907-0.00019251i, +0.00058311-0.00010068i, -0.00004673+0.00012292i, -0.00040259-0.00009567i, -0.00012202+0.00003662i, +0.00027212+0.00051323i, -0.00016623-0.00032809i, -0.00011956-0.00017740i, -0.00006973-0.00010420i, -0.00026521+0.00000517i, +0.00002916-0.00009096i, +0.00012097-0.00042946i, +0.00055226-0.00003172i
-0.00001533-0.00011223i, -0.00005435-0.00042640i, -0.00020757+0.00021821i, +0.01464734-0.00000000i, -0.00039966+0.00010864i, -0.00021401+0.00027964i, -0.00015691-0.00022997i, +0.00021687-0.00026115i, -0.00025193+0.00022755i, -0.00033226-0.00001355i, -0.00011710-0.00000934i, +0.00011609-0.00006787i, +0.00059522+0.00015480i, +0.00025382-0.00003018i, +0.00025970-0.00022212i, +0.00010499-0.00054491i, +0.00033145-0.00063957i, -0.00022616+0.00009150i, +0.00022956+0.00008718i, +0.00060836+0.00015258i, -0.00014915-0.00019079i, -0.00032333-0.00014247i, +0.00003694-0.00004073i, -0.00013558-0.00032948i, -0.00007257+0.00005052i, -0.00005295+0.00046104i, -0.00011950+0.00007791i, -0.00007069-0.00001067i, -0.00032581-0.00007166i, -0.00003278-0.00000157i, +0.00000421+0.00006894i, -0.00025029-0.00002681i, +0.00005716+0.00020731i, +0.00028729-0.00033873i, -0.00001315+0.00042580i, -0.00047912-0.00044941i, -0.00004815+0.00031038i, +0.00019087-0.00003658i, +0.00045072-0.00061694i, -0.00024259-0.00026855i, +0.00001720-0.00003829i, +0.00016135-0.00007403i, +0.00022550-0.00019856i, +0.00001521-0.00013015i, -0.00004281+0.00021173i, +0.00008184+0.00004839i, +0.00026432+0.00050440i, +0.00052844+0.00030602i, -0.00014991+0.00009215i, -0.00019559-0.00017694i, +0.00009035+0.00003351i, -0.00010729+0.00041919i, -0.00027952+0.00006580i, -0.00010326+0.00001719i, +0.00023832+0.00016942i, +0.00022096+0.00000124i, -0.00008639-0.00018624i, -0.00010355+0.00059061i, +0.00009309+0.00030035i, +0.00011707-0.00003086i, +0.00033859-0.00006024i, -0.00030817+0.00000324i, +0.00007102+0.00039178i, -0.00045270-0.00021428i
-0.00017713+0.00017220i, -0.00002547+0.00047581i, -0.00009569+0.00026450i, -0.00039966-0.00010864i, +0.01487268+0.00000000i, -0.00010328-0.00052039i, +0.00007490-0.00021708i, -0.00036940-0.00012692i, +0.00040168+0.00030721i, +0.00009546+0.00056738i, -0.00049156+0.00002751i, -0.00011344+0.00000447i, -0.00024393-0.00018267i, -0.00008212-0.00027434i, +0.00006698-0.00001631i, -0.00049084-0.00004070i, -0.00074666-0.00013603i, +0.00027489+0.00003802i, +0.00034846-0.00019329i, -0.00000395-0.00028013i, -0.00018223+0.00021614i, -0.00030497+0.00033285i, +0.00007613-0.00000623i, -0.00033472+0.00021064i, +0.00021217+0.00008988i, +0.00076451-0.00013520i, +0.00025339+0.00042371i, +0.00029392+0.00010846i, +0.00041829+0.00010214i, +0.00024943+0.00017580i, +0.00011088+0.00024740i, +0.00007895+0.00013853i, +0.00023824+0.00030277i, -0.00041622-0.00027531i, +0.00035880-0.00008396i, -0.00034545+0.00028089i, -0.00021803+0.00056012i, -0.00005079+0.00013259i, -0.00018575-0.00035044i, -0.00039591+0.00017258i, -0.00003100+0.00008983i, -0.00010954+0.00000948i, -0.00016103-0.00011635i, -0.00042064-0.00002781i, +0.00002240+0.00024624i, +0.00012096-0.00007576i, +0.00037877-0.00003204i, -0.00000562-0.00066184i, +0.00010189+0.00006133i, -0.00000348-0.00001174i, -0.00005914-0.00034956i, +0.00039271+0.00023719i, -0.00020776+0.00076191i, +0.00009951-0.00003845i, +0.00025223-0.00056013i, -0.00000892-0.00020254i, -0.00005053+0.00002823i, +0.00037295+0.00010223i, +0.00046048-0.00023398i, -0.00004070-0.00018906i, -0.00034971-0.00047268i, -0.00010130+0.00020723i, +0.00026416+0.00012901i, -0.00028209+0.00050701i
+0.00008170-0.00035848i, -0.00009317-0.00077441i, -0.00044624-0.00025793i, -0.00021401-0.00027964i, -0.00010328+0.00052039i, +0.01508304-0.00000000i, -0.00032667-0.00024005i, +0.00021309-0.00016203i, -0.00008024+0.00001974i, -0.00050451-0.00051108i, +0.00013491-0.00020892i, +0.00019944+0.00000915i, +0.00033916+0.00000573i, +0.00010493+0.00018743i, +0.00022050+0.00021381i, +0.00025472-0.00039403i, +0.00051044-0.00017541i, -0.00031908-0.00021596i, -0.00002311+0.00012329i, +0.00009835+0.00019991i, -0.00000444+0.00019752i, +0.00019160-0.00051053i, +0.00004028+0.00011429i, +0.00008619-0.00018728i, -0.00020757-0.00014068i, -0.00039876+0.00027887i, -0.00023003-0.00018048i, -0.00016520-0.00013697i, -0.00005181-0.00003811i, -0.00023747+0.00028636i, +0.00009361-0.00002691i, -0.00022175-0.00026857i, +0.00011331-0.00019805i, +0.00073579+0.00015232i, -0.00022707+0.00024313i, +0.00023212+0.00001013i, -0.00052022-0.00017637i, -0.00098003+0.00003484i, +0.00047985+0.00033705i, +0.00033504-0.00043219i, -0.00014282+0.00002820i, +0.00010193+0.00024028i, +0.00018494+0.00005240i, -0.00017394-0.00013774i, -0.00015345-0.00032456i, -0.00017094+0.00033251i, -0.00018032+0.00042442i, -0.00025442+0.00056844i, -0.00003280-0.00013192i, -0.00007735+0.00005208i, +0.00026722+0.00022278i, -0.00021644+0.00010879i, -0.00021799-0.00045887i, -0.00024174+0.00034071i, +0.00004816+0.00023148i, +0.00009275+0.00053557i, +0.00014912-0.00020203i, -0.00042936+0.00012221i, -0.00013210-0.00000323i, +0.00004233+0.00001520i, +0.00021967+0.00003705i, -0.00032098-0.00031773i, -0.00013204+0.00010350i, -0.00026588-0.00066448i
+0.00037206+0.00030255i, -0.00005396+0.00021466i, +0.00060227+0.00030045i, -0.00015691+0.00022997i, +0.00007490+0.00021708i, -0.00032667+0.00024005i, +0.01468698-0.00000000i, -0.00014833-0.00015736i, -0.00017000+0.00003216i, +0.00050024-0.00034427i, +0.00037768+0.00040172i, +0.00006609+0.00013398i, -0.00038814-0.00007009i, +0.00026624+0.00012346i, +0.00004446+0.00007179i, +0.00033988+0.00040846i, -0.00016534+0.00031520i, +0.00014336-0.00005790i, -0.00001460-0.00003525i, -0.00030556-0.00001447i, +0.00006355+0.00024482i, +0.00010016-0.00004465i, -0.00007940+0.00003916i, +0.00016937+0.00010167i, +0.00010874-0.00017524i, +0.00012371-0.00047892i, +0.00012840-0.00011417i, -0.00010366+0.00004714i, +0.00013214-0.00000437i, +0.00008448-0.00020543i, +0.00004349+0.00005218i, +0.00031877-0.00006759i, +0.00006680-0.00028103i, -0.00009433+0.00032687i, -0.00004596-0.00032123i, -0.00003560+0.00049062i, -0.00004726-0.00037579i, +0.00014583+0.00008853i, -0.00065709+0.00029345i, +0.00019269+0.00020612i, +0.00009312-0.00002952i, +0.00003687-0.00007922i, -0.00014987-0.00012668i, +0.00004026-0.00005892i, +0.00015071+0.00007449i, -0.00000194-0.00017044i, -0.00013702+0.00006730i, -0.00026097-0.00015796i, -0.00001801-0.00006241i, +0.00018864-0.00009916i, -0.00021896-0.00026284i, -0.00003537-0.00007079i, +0.00001849+0.00001296i, -0.00020418-0.00003969i, -0.00001176+0.00024663i, +0.00000919+0.00003517i, +0.00014652+0.00013338i, +0.00013526-0.00015504i, +0.00002030+0.00000538i, -0.00006382+0.00018074i, -0.00024637-0.00009839i, +0.00022041-0.00004569i, -0.00008813+0.00013478i, +0.00027814-0.00003701i
-0.00031134+0.00016588i, -0.00008140-0.00019247i, -0.00003645-0.00002026i, +0.00021687+0.00026115i, -0.00036940+0.00012692i, +0.00021309+0.00016203i, -0.00014833+0.00015736i, +0.01472664-0.00000000i, -0.00005172+0.00004082i, +0.00023371-0.00010537i, -0.00000400-0.00018336i, +0.00044918+0.00044174i, -0.00005732-0.00004552i, -0.00000182-0.00000804i, -0.00013732+0.00010233i, +0.00008373-0.00010373i, +0.00025167-0.00007165i, -0.00018715+0.00006559i, +0.00013873-0.00007991i, +0.00002868+0.00029405i, -0.00005018+0.00004787i, -0.00011871-0.00014428i, +0.00011182+0.00016512i, +0.00018650-0.00019465i, +0.00003140-0.00006323i, -0.00030688+0.00004497i, -0.00029742+0.00014779i, -0.00010192-0.00011265i, +0.00013631-0.00009805i, +0.00000825+0.00002084i, +0.00000448-0.00022086i, +0.00003916-0.00001772i, +0.00024528+0.00002620i, +0.00019271-0.00012984i, -0.00005827+0.00021458i, -0.00001581-0.00000872i, -0.00025219-0.00009875i, +0.00002052+0.00008093i, +0.00014675+0.00012669i, -0.00065706-0.00002274i, -0.00009799-0.00005594i, -0.00003771-0.00021009i, +0.00015765-0.00013896i, -0.00022963-0.00005104i, -0.00006703-0.00024261i, +0.00003908+0.00022204i, +0.00011334+0.00003396i, +0.00012603+0.00046332i, -0.00003704+0.00017887i, -0.00004867+0.00010891i, +0.00004578+0.00005626i, -0.00001202-0.00004290i, +0.00005985-0.00010002i, -0.00011067+0.00014178i, +0.00010147-0.00005219i, +0.00012322+0.00050693i, -0.00024023-0.00009568i, -0.00023273+0.00021531i, +0.00007255-0.00000606i, +0.00020836+0.00016134i, +0.00017971+0.00000753i, +0.00010463-0.00024247i, +0.00004196+0.00010628i, -0.00059278+0.00008353i
+0.00026746-0.00038967i, -0.00019612+0.00042283i, +0.00023917+0.00015966i, -0.00025193-0.00022755i, +0.00040168-0.00030721i, -0.00008024-0.00001974i, -0.00017000-0.00003216i, -0.00005172-0.00004082i, +0.01456033+0.00000000i, +0.00020874-0.00033314i, -0.00006635+0.00034713i, +0.00007267+0.00009569i, -0.00036006-0.00001474i, +0.00007385-0.00007783i, -0.00013358-0.00002286i, +0.00024742+0.00036108i, -0.00087562+0.00039386i, +0.00035377-0.00019532i, -0.00004951-0.00021755i, -0.00003434-0.00042822i, -0.00011269+0.00020161i, +0.00001543+0.00012470i, -0.00022235+0.00002320i, -0.00013830+0.00024550i, +0.00019421-0.00032679i, +0.00023871-0.00059743i, +0.00016015+0.00012833i, +0.00032632-0.00012415i, +0.00019433+0.00011235i, +0.00002792-0.00038312i, +0.00018780-0.00006920i, +0.00028763+0.00002083i, +0.00010759-0.00001419i, -0.00063441+0.00011338i, +0.00026142-0.00011620i, -0.00040877+0.00023053i, +0.00034226+0.00002947i, +0.00012236-0.00000101i, -0.00039166-0.00024685i, -0.00024236+0.00033220i, -0.00022824+0.00006236i, -0.00014847-0.00023631i, -0.00027165-0.00007040i, -0.00020989+0.00007992i, +0.00023499-0.00025558i, -0.00019329-0.00004838i, +0.00033207-0.00032366i, -0.00014369-0.00049532i, +0.00026806-0.00003830i, +0.00007221-0.00022769i, -0.00004021-0.00005090i, +0.00013753-0.00012922i, +0.00025188+0.00040731i, -0.00003939-0.00011881i, -0.00007240-0.00026290i, -0.00016687-0.00019088i, +0.00000647-0.00003564i, +0.00038487-0.00022417i, +0.00023325-0.00062525i, -0.00034517+0.00002211i, -0.00022368-0.00033196i, +0.00016623+0.00027228i, +0.00014627-0.00016033i, +0.00034222+0.00068957i
+0.00066401+0.00042912i, +0.00070617-0.00031638i, +0.00055815+0.00000616i, -0.00033226+0.00001355i, +0.00009546-0.00056738i, -0.00050451+0.00051108i, +0.00050024+0.00034427i, +0.00023371+0.00010537i, +0.00020874+0.00033314i, +0.01595534-0.00000000i, +0.00068194+0.00033617i, +0.00003265+0.00076474i, -0.00033686+0.00029252i, +0.00015830+0.00025436i, +0.00017023+0.00034689i, +0.00026395+0.00111620i, -0.00018238+0.00057578i, -0.00015306-0.00003442i, -0.00002567-0.00030678i, -0.00041133-0.00000735i, -0.00001653+0.00007183i, +0.00062373+0.00015423i, -0.00007160-0.00009167i, +0.00005388+0.00017527i, +0.00030537-0.00018096i, +0.00047509-0.00136534i, +0.00045523-0.00007090i, +0.00028309-0.00020777i, +0.00018817-0.00001385i, -0.00008639-0.00067930i, +0.00000020-0.00000076i, +0.00046719-0.00004111i, -0.00006042-0.00012571i, -0.00028054+0.00091335i, +0.00001194-0.00039214i, -0.00001271+0.00035879i, +0.00050109-0.00062092i, +0.00017801-0.00020338i, -0.00047148+0.00067079i, +0.00014139+0.00067398i, -0.00010302-0.00015559i, -0.00059378+0.00008256i, -0.00018184+0.00009443i, +0.00006972-0.00011136i, -0.00002806-0.00008423i, -0.00000131-0.00049935i, -0.00048405-0.00079881i, -0.00043742-0.00056515i, +0.00024656-0.00001258i, +0.00000733-0.00027188i, -0.00043717-0.00009519i, +0.00033203-0.00056983i, +0.00033789+0.00002528i, -0.00010036-0.00027157i, -0.00055610-0.00021002i, -0.00021320-0.00021107i, +0.00012038+0.00049268i, +0.00041539-0.00074642i, -0.00014939-0.00033015i, -0.00004219+0.00011212i, -0.00037778+0.00015162i, +0.00027230-0.00003021i, -0.00018164-0.00023398i, +0.00080232+0.00043710i
+0.00016754-0.00023976i, +0.00036283-0.00031022i, +0.00008244-0.00062236i, -0.00011710+0.00000934i, -0.00049156-0.00002751i, +0.00013491+0.00020892i, +0.00037768-0.00040172i, -0.00000400+0.00018336i, -0.00006635-0.00034713i, +0.00068194-0.00033617i, +0.01457673+0.00000000i, -0.00002062-0.00033752i, -0.00000590+0.00018954i, +0.00008254+0.00017593i, +0.00028102+0.00013397i, +0.00014690+0.00039737i, +0.00049573+0.00036409i, +0.00000003-0.00024797i, -0.00042553+0.00018696i, -0.00008814+0.00023851i, +0.00021602+0.00010586i, +0.00029807-0.00008836i, -0.00023239+0.00004351i, +0.00028589+0.00012971i, -0.00002045-0.00007538i, -0.00053816-0.00014984i, -0.00007255-0.00047094i, -0.00035289-0.00007860i, -0.00004161+0.00010437i, -0.00022093-0.00013049i, +0.00000290-0.00005232i, -0.00011915-0.00006859i, -0.00038175-0.00009680i, +0.00031780+0.00015951i, -0.00039031+0.00005534i, +0.00029570+0.00013824i, -0.00002129-0.00037484i, +0.00014758-0.00023553i, -0.00002862+0.00069210i, +0.00005357+0.00023573i, +0.00015951-0.00016056i, +0.00012034+0.00012873i, -0.00027538+0.00033031i, +0.00028566-0.00022581i, +0.00009132-0.00014612i, -0.00039624-0.00033764i, -0.00042201+0.00033637i, -0.00029096+0.00018715i, +0.00013508+0.00000542i, -0.00007406+0.00005296i, +0.00007679+0.00035488i, -0.00023735-0.00024790i, +0.00019167-0.00030267i, -0.00007996+0.00005820i, -0.00019127+0.00036943i, +0.00000266+0.00020189i, +0.00002777-0.00012422i, -0.00029266-0.00028117i, -0.00027267-0.00016798i, -0.00011885+0.00011750i, +0.00005489+0.00021312i, +0.00011457-0.00003899i, -0.00012293-0.00005060i, +0.00044925-0.00031884i
