+0.01701567-0.00000000i, +0.00049714-0.00079265i, +0.00134756+0.00041032i, +0.00064566+0.00004697i, +0.00006801-0.00114119i, +0.00034250-0.00027297i, -0.00008388+0.00016140i, +0.00007746+0.00021765i, +0.00009740-0.00025686i, -0.00015305+0.00023228i, +0.00062277+0.00020078i, +0.00082800+0.00024215i, +0.00000656-0.00007042i, +0.00032845-0.00034788i, +0.00028983+0.00087803i, -0.00004347-0.00025051i, +0.00093097-0.00070988i, -0.00053374-0.00025204i, +0.00036734+0.00038368i, -0.00045588-0.00034517i, +0.00001512-0.00056840i, -0.00041788-0.00020567i, +0.00042147-0.00031403i, +0.00030900+0.00081465i, +0.00062864+0.00047359i, +0.00006453+0.00015958i, -0.00022764+0.00045146i, +0.00014216+0.00023055i, -0.00071908-0.00082051i, +0.00073025+0.00009499i, -0.00062853+0.00024095i, -0.00078245+0.00028320i, -0.00025358+0.00072841i, +0.00065336+0.00015498i, -0.00002695+0.00028910i, -0.00004985+0.00010634i, +0.00041095+0.00047485i, -0.00049655+0.00017392i, +0.00027608+0.00006923i, +0.00026492-0.00011079i, +0.00022131+0.00032775i, +0.00085970+0.00022859i, +0.00013462+0.00067946i, -0.00016899+0.00004924i, +0.00054295-0.00046065i, -0.00036742-0.00022220i, -0.00113792+0.00063002i, -0.00041388-0.00047845i, +0.00010756+0.00070862i, +0.00057524-0.00008501i, +0.00011837+0.00002849i, +0.00014734+0.00075836i, +0.00042292-0.00046035i, -0.00044238+0.00003250i, +0.00047967+0.00006231i, -0.00016534-0.00056988i, +0.00037390+0.00021440i, +0.00084417-0.00052788i, -0.00012361-0.00021638i, -0.00000444-0.00042835i, +0.00026160+0.00008211i, +0.00032892+0.00018285i, -0.00016402+0.00042366i, +0.00040284+0.00039433i
+0.00049714+0.00079265i, +0.01566857+0.00000000i, +0.00051281+0.00055452i, +0.00035719+0.00022644i, +0.00017361-0.00034678i, +0.00032102-0.00013386i, +0.00003202-0.00014702i, +0.00015718-0.00002870i, +0.00011981-0.00006892i, +0.00007968+0.00005009i, -0.00005447+0.00017538i, +0.00024991+0.00014676i, -0.00007576-0.00004721i, +0.00045166-0.00009868i, -0.00027034+0.00054529i, -0.00028149-0.00014342i, +0.00014100+0.00012443i, +0.00023034-0.00048426i, -0.00001626+0.00037794i, -0.00015600-0.00015894i, +0.00021253-0.00007687i, -0.00034656-0.00002768i, +0.00026252+0.00006480i, +0.00008622+0.00031024i, +0.00014638+0.00033621i, +0.00022381+0.00023018i, -0.00002538+0.00007830i, +0.00007728+0.00005522i, -0.00011851-0.00043181i, +0.00005234+0.00015593i, -0.00034306+0.00000061i, -0.00036687-0.00007138i, -0.00044224+0.00012711i, +0.00044919+0.00071171i, +0.00000893+0.00018140i, -0.00002243+0.00000911i, +0.00003849+0.00018430i, -0.00023981+0.00016497i, +0.00006069+0.00009547i, +0.00013227-0.00006230i, +0.00003144+0.00016485i, +0.00035181+0.00033029i, -0.00007383+0.00017723i, -0.00014411+0.00007216i, +0.00022616-0.00008894i, +0.00017622-0.00019910i, -0.00066214+0.00006222i, -0.00027726-0.00039104i, -0.00006993+0.00032459i, +0.00029671+0.00010376i, +0.00023863+0.00002080i, -0.00023342+0.00059393i, +0.00021375+0.00001264i, -0.00009002-0.00028973i, +0.00012687+0.00022844i, -0.00005675-0.00026956i, +0.00005109+0.00005512i, +0.00051228-0.00027913i, +0.00013478-0.00027067i, +0.00009926-0.00022616i, -0.00001096+0.00011802i, +0.00002056+0.00017600i, -0.00018159+0.00000458i, +0.00016830+0.00030348i
+0.00134756-0.00041032i, +0.00051281-0.00055452i, +0.01628643-0.00000000i, +0.00060902-0.00009326i, -0.00039061-0.00070318i, +0.00036506-0.00008317i, +0.00021356+0.00020251i, +0.00005193+0.00008854i, -0.00014684-0.00028041i, -0.00010272+0.00022730i, +0.00066382-0.00029320i, +0.00083735+0.00001102i, +0.00034698+0.00007772i, +0.00035702-0.00056701i, +0.00043226+0.00079583i, -0.00017404-0.00009619i, +0.00009752-0.00039524i, -0.00040993+0.00001377i, +0.00087555-0.00019659i, -0.00042443-0.00035503i, -0.00017587-0.00044271i, -0.00040101+0.00002426i, +0.00056162-0.00051724i, +0.00044990+0.00039587i, +0.00049593+0.00030790i, +0.00023720+0.00020717i, +0.00005209+0.00037335i, +0.00029974+0.00005984i, -0.00089794-0.00041004i, +0.00068233+0.00002862i, -0.00032624+0.00061648i, -0.00057051+0.00040398i, -0.00040849+0.00030788i, +0.00068671-0.00007773i, +0.00060397+0.00043642i, -0.00013031+0.00016615i, +0.00023316+0.00026842i, -0.00034909+0.00035985i, +0.00022761+0.00003743i, +0.00017491-0.00033291i, +0.00023766+0.00017050i, +0.00073032-0.00005007i, +0.00039506+0.00063324i, -0.00006031+0.00014648i, +0.00023309-0.00033806i, -0.00040207-0.00006194i, -0.00098231+0.00096035i, -0.00046835-0.00030774i, +0.00023036+0.00037375i, +0.00046958-0.00011366i, +0.00028990+0.00009492i, +0.00029400+0.00079639i, +0.00033390-0.00038236i, -0.00048718+0.00007031i, +0.00042493+0.00000602i, -0.00034514-0.00042849i, +0.00026422-0.00005014i, +0.00056839-0.00061093i, -0.00045199-0.00037132i, -0.00012631-0.00040950i, -0.00005436-0.00001294i, +0.00051569+0.00023443i, -0.00007912+0.00018991i, +0.00046920+0.00014244i
+0.00064566-0.00004697i, +0.00035719-0.00022644i, +0.00060902+0.00009326i, +0.01590977-0.00000000i, -0.00014127-0.00071586i, +0.00053788-0.00028454i, +0.00011153+0.00003240i, +0.00006333+0.00031096i, +0.00018990-0.00019258i, -0.00003973+0.00014000i, +0.00032552-0.00008126i, +0.00065935+0.00006042i, +0.00007698+0.00031667i, +0.00022470-0.00024409i, +0.00012261+0.00055664i, +0.00008284+0.00014301i, +0.00022342-0.00009530i, -0.00020877-0.00000880i, +0.00030031+0.00011565i, +0.00018898-0.00064973i, +0.00002872-0.00024321i, -0.00018524-0.00004873i, +0.00022668-0.00006774i, +0.00044294+0.00015093i, +0.00027942+0.00029415i, -0.00020824+0.00006765i, -0.00010509+0.00026060i, +0.00009757+0.00023061i, -0.00029929-0.00032573i, +0.00039160+0.00013846i, -0.00025243+0.00009851i, -0.00051580+0.00026956i, -0.00015321-0.00001602i, +0.00030376+0.00016469i, +0.00013077+0.00014124i, +0.00022402+0.00021593i, -0.00001867+0.00012356i, -0.00020905+0.00010788i, +0.00021664+0.00016033i, +0.00019699-0.00024035i, +0.00003063-0.00003466i, +0.00052638-0.00003725i, +0.00005417+0.00029330i, +0.00015138+0.00019069i, +0.00008569-0.00021493i, -0.00015547-0.00008786i, -0.00053622+0.00039728i, -0.00056087-0.00030976i, -0.00004643+0.00007687i, +0.00037971+0.00010720i, +0.00027671-0.00002447i, +0.00008786+0.00064702i, +0.00026344-0.00012738i, -0.00023583+0.00003255i, +0.00019557+0.00013938i, -0.00001902-0.00018448i, +0.00023690+0.00000897i, +0.00035846-0.00016677i, +0.00017072-0.00023354i, -0.00001802-0.00014008i, -0.00006232-0.00003414i, +0.00004290+0.00016281i, -0.00006390+0.00016837i, +0.00014674+0.00032371i
+0.00006801+0.00114119i, +0.00017361+0.00034678i, -0.00039061+0.00070318i, -0.00014127+0.00071586i, +0.01604323-0.00000000i, +0.00052414-0.00017849i, -0.00006034+0.00005504i, -0.00018513+0.00004080i, +0.00000003-0.00006964i, -0.00008299-0.00018351i, +0.00012956+0.00058357i, -0.00008317+0.00054331i, -0.00024376+0.00005314i, +0.00013445+0.00022604i, -0.00057309+0.00022209i, +0.00007074+0.00005488i, +0.00029909+0.00016288i, +0.00013453-0.00036942i, -0.00016136+0.00006160i, +0.00025274-0.00031991i, +0.00065275-0.00026626i, +0.00013155-0.00043937i, +0.00011617+0.00021478i, -0.00031865+0.00016350i, -0.00038022-0.00001080i, -0.00019436-0.00012099i, -0.00023152-0.00014404i, -0.00021666+0.00001505i, +0.00031096-0.00053489i, -0.00038731+0.00069692i, -0.00011406-0.00033395i, -0.00024771-0.00048719i, -0.00023801-0.00036729i, -0.00014372+0.00043113i, -0.00021706-0.00003482i, -0.00012922-0.00001308i, -0.00010929+0.00051593i, -0.00001512-0.00032900i, +0.00004140+0.00038317i, +0.00032647+0.00030813i, +0.00007937+0.00020812i, -0.00011859+0.00059385i, -0.00032257+0.00013276i, -0.00018041+0.00001339i, +0.00011836-0.00001478i, +0.00009916-0.00022322i, -0.00049386-0.00069453i, +0.00037629-0.00039059i, -0.00021028+0.00014251i, +0.00003142+0.00028203i, -0.00002714+0.00004595i, -0.00051198+0.00001611i, +0.00052239+0.00033623i, -0.00011403-0.00024760i, -0.00016818+0.00032742i, +0.00052394-0.00020540i, +0.00001872+0.00030653i, +0.00031591+0.00058871i, +0.00013699-0.00010433i, +0.00028264-0.00002755i, +0.00025399+0.00009335i, -0.00013228+0.00028164i, -0.00004719-0.00021633i, -0.00015751+0.00025595i
+0.00034250+0.00027297i, +0.00032102+0.00013386i, +0.00036506+0.00008317i, +0.00053788+0.00028454i, +0.00052414+0.00017849i, +0.01570223-0.00000000i, -0.00008646+0.00019730i, +0.00011557+0.00029193i, +0.00017926+0.00005139i, -0.00015681-0.00002873i, +0.00008821+0.00028995i, +0.00025981+0.00035531i, +0.00016902-0.00003509i, +0.00032723-0.00006439i, -0.00011310+0.00029901i, -0.00000790+0.00008592i, +0.00025277-0.00015937i, -0.00006388-0.00021998i, +0.00008025+0.00011831i, -0.00007904-0.00012390i, +0.00020202-0.00027648i, -0.00001517-0.00044434i, +0.00052039-0.00011501i, -0.00003451+0.00040974i, -0.00012244+0.00022682i, -0.00015897-0.00015052i, -0.00035154+0.00006989i, +0.00015369+0.00019930i, -0.00035845-0.00042741i, +0.00010502+0.00040557i, -0.00017073+0.00001902i, -0.00036817-0.00014825i, -0.00037453+0.00003597i, +0.00012880+0.00019948i, -0.00005665+0.00014216i, -0.00009524+0.00009482i, -0.00005242+0.00041206i, -0.00017063+0.00008113i, +0.00012026+0.00016816i, +0.00025503-0.00004312i, +0.00012246+0.00022689i, +0.00048977+0.00048423i, -0.00033988+0.00043877i, -0.00005648+0.00013381i, +0.00037745-0.00008096i, -0.00027161-0.00014596i, -0.00067290+0.00009511i, -0.00019031-0.00056835i, -0.00005202+0.00018007i, +0.00038076+0.00025897i, +0.00030465+0.00010925i, -0.00028178+0.00047721i, +0.00026669+0.00004974i, -0.00011769-0.00014824i, +0.00022427+0.00002899i, +0.00007057-0.00030008i, +0.00013565+0.00017661i, +0.00070117-0.00000304i, +0.00011499-0.00012546i, +0.00003889-0.00026517i, -0.00011675-0.00003994i, +0.00014430+0.00044084i, -0.00017525+0.00015517i, +0.00001044+0.00032403i
-0.00008388-0.00016140i, +0.00003202+0.00014702i, +0.00021356-0.00020251i, +0.00011153-0.00003240i, -0.00006034-0.00005504i, -0.00008646-0.00019730i, +0.01540077-0.00000000i, +0.00024028+0.00036311i, +0.00007970-0.00001375i, +0.00021680+0.00001979i, +0.00007376+0.00003929i, +0.00028339-0.00004591i, -0.00006240+0.00006199i, -0.00002630-0.00022051i, +0.00013137+0.00032639i, -0.00002481-0.00020413i, -0.00011153-0.00036770i, -0.00021817-0.00002291i, +0.00021107-0.00016320i, -0.00012497-0.00008083i, -0.00009742-0.00001104i, +0.00001835-0.00000023i, +0.00027799-0.00025228i, +0.00010292-0.00010434i, +0.00026489-0.00004073i, -0.00008031-0.00001661i, +0.00022484+0.00024807i, +0.00002394-0.00011317i, -0.00017134+0.00003940i, +0.00002939-0.00019778i, -0.00012637+0.00003371i, -0.00028001+0.00029526i, -0.00002904-0.00009945i, +0.00005618-0.00001588i, +0.00024517+0.00012338i, -0.00002399+0.00011847i, +0.00014377-0.00013624i, +0.00010549+0.00022222i, +0.00042812+0.00029402i, -0.00004802+0.00006842i, +0.00007559+0.00003740i, +0.00019264-0.00013843i, -0.00011722+0.00030066i, +0.00010411+0.00000912i, -0.00001846-0.00007728i, -0.00014273+0.00002306i, -0.00000859+0.00011131i, -0.00001754+0.00006736i, -0.00006566-0.00018708i, +0.00001535-0.00011953i, +0.00006767-0.00026226i, +0.00011439+0.00000883i, -0.00006407-0.00018788i, -0.00014103+0.00019394i, +0.00005798+0.00007137i, -0.00028090-0.00006416i, +0.00006954-0.00005097i, -0.00000653-0.00014970i, -0.00018340-0.00012449i, -0.00003933-0.00009675i, +0.00009836-0.00002256i, +0.00019327+0.00000365i, +0.00006099+0.00002967i, +0.00000707+0.00005493i
+0.00007746-0.00021765i, +0.00015718+0.00002870i, +0.00005193-0.00008854i, +0.00006333-0.00031096i, -0.00018513-0.00004080i, +0.00011557-0.00029193i, +0.00024028-0.00036311i, +0.01532541-0.00000000i, -0.00009049+0.00007824i, -0.00005465-0.00012029i, +0.00005495-0.00001027i, +0.00026528+0.00007161i, -0.00019005+0.00006641i, -0.00008742-0.00023270i, +0.00013032+0.00010868i, -0.00007793+0.00005988i, -0.00002746-0.00004090i, -0.00008769-0.00023053i, +0.00009182-0.00004526i, +0.00010038-0.00026073i, +0.00004717-0.00018119i, -0.00002625+0.00013530i, +0.00009525+0.00005408i, +0.00016297-0.00022657i, +0.00029863-0.00005464i, +0.00016554-0.00004223i, +0.00022512+0.00000061i, +0.00015428+0.00024513i, -0.00014284-0.00003790i, +0.00027175-0.00008689i, -0.00027604-0.00005745i, -0.00041738-0.00002097i, -0.00008081+0.00002827i, +0.00010141+0.00010296i, -0.00000282+0.00005598i, +0.00013295+0.00000537i, +0.00007834-0.00006178i, -0.00015232-0.00002255i, +0.00018561-0.00000179i, +0.00021113+0.00026530i, +0.00018979-0.00001664i, +0.00002206+0.00002414i, +0.00007166+0.00002141i, -0.00034656+0.00004227i, -0.00002548-0.00013773i, -0.00001608-0.00004661i, -0.00003315+0.00014975i, -0.00028828-0.00004940i, +0.00005309-0.00013255i, +0.00017688+0.00003968i, -0.00005980+0.00003552i, +0.00024053-0.00004332i, +0.00009779-0.00004837i, +0.00015151-0.00011043i, +0.00006819-0.00015664i, -0.00009176+0.00013263i, +0.00002201+0.00006412i, +0.00012044-0.00004420i, +0.00003858+0.00002675i, -0.00010190-0.00009035i, +0.00001052-0.00008857i, +0.00019308+0.00000833i, -0.00004720+0.00005516i, +0.00035930+0.00024465i
+0.00009740+0.00025686i, +0.00011981+0.00006892i, -0.00014684+0.00028041i, +0.00018990+0.00019258i, +0.00000003+0.00006964i, +0.00017926-0.00005139i, +0.00007970+0.00001375i, -0.00009049-0.00007824i, +0.01530267-0.00000000i, +0.00002489-0.00045145i, +0.00027162+0.00000811i, +0.00009466+0.00010172i, -0.00015881-0.00006398i, +0.00008589-0.00015111i, +0.00006542+0.00018023i, -0.00005687-0.00019879i, +0.00004005+0.00030636i, +0.00002518+0.00000808i, -0.00005273+0.00014591i, -0.00007816+0.00014751i, -0.00031519+0.00006831i, -0.00005888-0.00011387i, -0.00001612+0.00005936i, -0.00000302+0.00020070i, -0.00021814+0.00023927i, -0.00017364+0.00007333i, -0.00009247+0.00001044i, -0.00005606+0.00006729i, -0.00000698+0.00000703i, +0.00002183+0.00011574i, -0.00016030+0.00002238i, +0.00000100-0.00015181i, -0.00000580+0.00009536i, -0.00009465+0.00007156i, -0.00000349+0.00007741i, -0.00003827-0.00005126i, +0.00016294+0.00034788i, +0.00002873-0.00000766i, +0.00000654+0.00017695i, +0.00003978-0.00011605i, +0.00042723+0.00046882i, +0.00023785+0.00010420i, -0.00011393-0.00006799i, -0.00010831+0.00008596i, +0.00030105-0.00000024i, +0.00003067-0.00013183i, -0.00009107+0.00005794i, +0.00003699-0.00010589i, +0.00009705+0.00019327i, -0.00008788-0.00000420i, +0.00018589+0.00012525i, -0.00003999-0.00001505i, +0.00021054-0.00010401i, -0.00012923-0.00017526i, +0.00004277+0.00008575i, +0.00005874-0.00005681i, +0.00013710-0.00018073i, -0.00002518-0.00000534i, +0.00008348+0.00008285i, +0.00002717-0.00010361i, +0.00003646+0.00019030i, +0.00001819-0.00002173i, -0.00011301-0.00007295i, -0.00015853+0.00014012i
-0.00015305-0.00023228i, +0.00007968-0.00005009i, -0.00010272-0.00022730i, -0.00003973-0.00014000i, -0.00008299+0.00018351i, -0.00015681+0.00002873i, +0.00021680-0.00001979i, -0.00005465+0.00012029i, +0.00002489+0.00045145i, +0.01482853+0.00000000i, +0.00016492+0.00011969i, +0.00001866-0.00010325i, -0.00005258+0.00002245i, +0.00007440-0.00016971i, +0.00018612+0.00017096i, -0.00029706-0.00003269i, -0.00018360-0.00007901i, -0.00008622+0.00054462i, -0.00002379+0.00012493i, -0.00018140+0.00002710i, -0.00013852-0.00011828i, +0.00008558+0.00010398i, -0.00006591+0.00006268i, +0.00001973+0.00014476i, +0.00006963+0.00000957i, -0.00004206+0.00008778i, -0.00000594-0.00009608i, -0.00009326-0.00005047i, -0.00010281+0.00010716i, +0.00010169-0.00016444i, -0.00010298-0.00000372i, +0.00007182+0.00001883i, +0.00011880+0.00009448i, -0.00005485+0.00008461i, +0.00003901-0.00000808i, -0.00001878+0.00004953i, -0.00004389+0.00000493i, +0.00010709+0.00029161i, -0.00001430-0.00013823i, -0.00003439+0.00009133i, +0.00002748+0.00006839i, +0.00010029-0.00003293i, +0.00014437+0.00007121i, +0.00006399+0.00003675i, -0.00007653-0.00003881i, +0.00013282+0.00011609i, +0.00008817+0.00005364i, +0.00004284-0.00002695i, +0.00005516-0.00000689i, +0.00011372+0.00024352i, -0.00001036+0.00003241i, +0.00006927-0.00009893i, +0.00000097-0.00005744i, -0.00000613+0.00004634i, +0.00015256-0.00004383i, -0.00015931+0.00019402i, +0.00008436-0.00008426i, +0.00000717-0.00029846i, -0.00006434+0.00008268i, -0.00018806-0.00003804i, +0.00003628-0.00000929i, -0.00000810-0.00007661i, +0.00008847-0.00003970i, -0.00001471+0.00002928i
+0.00062277-0.00020078i, -0.00005447-0.00017538i, +0.00066382+0.00029320i, +0.00032552+0.00008126i, +0.00012956-0.00058357i, +0.00008821-0.00028995i, +0.00007376-0.00003929i, +0.00005495+0.00001027i, +0.00027162-0.00000811i, +0.00016492-0.00011969i, +0.01548830-0.00000000i, +0.00032833+0.00033965i, +0.00020555+0.00005847i, +0.00005162-0.00044968i, +0.00035640+0.00060603i, -0.00013362-0.00016551i, +0.00011674-0.00022766i, -0.00033878+0.00015799i, -0.00001108+0.00023830i, -0.00030999-0.00007645i, -0.00005506-0.00031996i, -0.00015167-0.00030899i, +0.00026935-0.00007139i, +0.00024055+0.00040443i, +0.00010813+0.00021079i, +0.00005306+0.00009336i, -0.00019895+0.00039316i, +0.00010432+0.00016968i, -0.00027791-0.00034968i, +0.00028727+0.00010633i, -0.00039574+0.00034327i, -0.00033956+0.00012992i, -0.00018877+0.00015086i, +0.00027314+0.00009599i, +0.00001663+0.00037853i, +0.00005142+0.00014618i, +0.00003455+0.00000008i, -0.00013837+0.00012362i, +0.00037696-0.00019143i, +0.00014643+0.00002668i, +0.00014379+0.00010298i, +0.00056483+0.00004599i, +0.00053044+0.00089642i, +0.00002403+0.00013147i, -0.00006091-0.00018633i, -0.00007860+0.00000099i, -0.00058696+0.00052036i, -0.00030887-0.00023297i, +0.00010085+0.00032811i, +0.00020695+0.00002562i, +0.00004792+0.00024968i, +0.00005479+0.00025304i, +0.00021387-0.00034130i, -0.00032540+0.00009159i, +0.00008985+0.00009305i, -0.00007529-0.00022271i, +0.00019324+0.00028989i, +0.00030548-0.00019529i, -0.00038194-0.00011734i, -0.00004437-0.00037699i, -0.00016407-0.00016933i, +0.00022251+0.00010931i, +0.00004755+0.00004489i, +0.00030952-0.00002410i
