+0.01595753-0.00000000i, -0.00001437-0.00039924i, +0.00005898-0.00008570i, +0.00015341+0.00014914i, -0.00021129-0.00018902i, +0.00003506+0.00011599i, -0.00006490+0.00013384i, -0.00001305+0.00020756i, -0.00016252+0.00021833i, -0.00010946+0.00006515i, -0.00007828-0.00002997i, -0.00007599+0.00002877i, +0.00006714+0.00011176i, +0.00009186+0.00001656i, +0.00009218-0.00000546i, +0.00002381-0.00014590i, +0.00008862-0.00004932i, -0.00001263-0.00014161i, -0.00004887-0.00011135i, -0.00004689-0.00006389i, +0.00003873+0.00001131i, +0.00003239+0.00003510i, -0.00011830+0.00002043i, -0.00000350+0.00002607i, +0.00007382-0.00015398i, -0.00017062-0.00022587i, -0.00003650+0.00005913i, -0.00000685-0.00002959i, +0.00006764-0.00009071i, +0.00004143-0.00017747i, -0.00010011-0.00016669i, +0.00006709-0.00004804i, +0.00000375+0.00001616i, -0.00000965-0.00009758i, +0.00001248+0.00002571i, +0.00004043+0.00003483i, -0.00000546-0.00004783i, +0.00003793+0.00002333i, -0.00010941+0.00011490i, -0.00009787+0.00007038i, +0.00000049-0.00001071i, +0.00008153+0.00011298i, +0.00005323+0.00001924i, -0.00008116-0.00007076i, +0.00002590-0.00005501i, -0.00011229-0.00009248i, -0.00009712+0.00005584i, -0.00008150-0.00000506i, +0.00013761+0.00003067i, -0.00005191-0.00005301i, +0.00005868+0.00001743i, -0.00010717+0.00011186i, -0.00009182-0.00004158i, +0.00002535-0.00005710i, -0.00007455+0.00002815i, -0.00004137-0.00007165i, +0.00005615+0.00016973i, +0.00005788-0.00001634i, +0.00000686+0.00007920i, -0.00000960+0.00000141i, -0.00009585-0.00002610i, +0.00000377+0.00003512i, +0.00011860+0.00007789i, +0.00003282-0.00002973i
-0.00001437+0.00039924i, +0.01589167-0.00000000i, -0.00009176-0.00007262i, +0.00001978+0.00005440i, +0.00004901-0.00026958i, +0.00000521+0.00032824i, -0.00020292+0.00014465i, -0.00000406-0.00013824i, -0.00011680+0.00007388i, -0.00005690+0.00000712i, -0.00005140-0.00020904i, -0.00022631+0.00012317i, -0.00022747+0.00000935i, +0.00000730+0.00023615i, -0.00001346+0.00013020i, -0.00011134-0.00014073i, -0.00009874+0.00000330i, +0.00004384-0.00013256i, +0.00005444-0.00004459i, +0.00009118-0.00006790i, +0.00007996+0.00001867i, -0.00010738+0.00001090i, -0.00010644-0.00007582i, +0.00006053+0.00001200i, +0.00001853-0.00004120i, -0.00004665-0.00036819i, +0.00018536-0.00010240i, +0.00000427-0.00013868i, +0.00006318+0.00007851i, -0.00002616-0.00016813i, +0.00001403-0.00008044i, +0.00000360+0.00009418i, +0.00003242-0.00006209i, -0.00001600+0.00008745i, -0.00000971+0.00005870i, +0.00010154+0.00002472i, +0.00003736-0.00002327i, -0.00012360+0.00006055i, -0.00004100+0.00010924i, -0.00001286-0.00002142i, +0.00015555+0.00009749i, -0.00001287-0.00002277i, +0.00012408+0.00001348i, -0.00006936-0.00004204i, -0.00001874+0.00011870i, +0.00006432-0.00015446i, -0.00011379-0.00006625i, +0.00004663-0.00013901i, +0.00000750-0.00008349i, +0.00004954+0.00009248i, +0.00013977-0.00011711i, -0.00014165+0.00009884i, -0.00003057+0.00002296i, -0.00017832-0.00006227i, +0.00002250+0.00008923i, -0.00015067-0.00008684i, -0.00003660-0.00002404i, +0.00009630+0.00011067i, +0.00007529-0.00004733i, +0.00011717+0.00000156i, -0.00012866+0.00003745i, -0.00007201-0.00005287i, +0.00013014+0.00005846i, +0.00003487+0.00019323i
+0.00005898+0.00008570i, -0.00009176+0.00007262i, +0.01603148-0.00000000i, -0.00018736+0.00036368i, +0.00047323-0.00027056i, -0.00026860-0.00010670i, -0.00022541-0.00052536i, -0.00007492-0.00042506i, -0.00006293-0.00041818i, -0.00012366+0.00012926i, +0.00010001+0.00001589i, -0.00003389-0.00008648i, -0.00006158-0.00042103i, -0.00048001+0.00006196i, -0.00007710-0.00021508i, +0.00019711-0.00018155i, -0.00008301-0.00018175i, +0.00017088+0.00008096i, +0.00012764-0.00010976i, +0.00002544+0.00007477i, +0.00008192+0.00023879i, -0.00000751-0.00004791i, +0.00014044-0.00031398i, +0.00001542-0.00005043i, +0.00018627+0.00026944i, +0.00052773-0.00011497i, +0.00009659+0.00009456i, +0.00012730-0.00012652i, +0.00002963+0.00017917i, +0.00011922+0.00015504i, +0.00023573+0.00006050i, -0.00015026+0.00002371i, -0.00001038+0.00020510i, +0.00008097-0.00000581i, -0.00005139-0.00001269i, -0.00015851-0.00004714i, +0.00002307+0.00005306i, -0.00014454+0.00009051i, -0.00016814-0.00015854i, +0.00010513-0.00012445i, -0.00012401+0.00011868i, -0.00020906+0.00015320i, -0.00006945+0.00021102i, +0.00018582-0.00012345i, +0.00001750+0.00006579i, +0.00012802-0.00007056i, +0.00009988+0.00003177i, +0.00006865-0.00001622i, +0.00018292-0.00008411i, +0.00012728-0.00004952i, +0.00048165+0.00034617i, -0.00026068-0.00025142i, +0.00017318-0.00012376i, +0.00010182-0.00009013i, +0.00004934-0.00019301i, +0.00021796-0.00011809i, +0.00003336-0.00006530i, -0.00002869+0.00006692i, -0.00004991+0.00027354i, -0.00007752+0.00002130i, -0.00002874-0.00002485i, +0.00000961+0.00000273i, -0.00003507+0.00032633i, -0.00019609-0.00001347i
+0.00015341-0.00014914i, +0.00001978-0.00005440i, -0.00018736-0.00036368i, +0.01588131-0.00000000i, -0.00031604-0.00007667i, +0.00010170+0.00004705i, -0.00014100+0.00015136i, -0.00019682+0.00018870i, -0.00020072+0.00005597i, +0.00002311+0.00009830i, +0.00007452-0.00001382i, +0.00014146+0.00019631i, -0.00018158+0.00006508i, +0.00015419+0.00020888i, -0.00002729+0.00016368i, -0.00022091-0.00000477i, -0.00007667+0.00002444i, -0.00002819-0.00016424i, +0.00001963-0.00008129i, +0.00007417-0.00008820i, +0.00007080-0.00006870i, -0.00009143-0.00009278i, -0.00010789+0.00002418i, -0.00004667-0.00015113i, +0.00003682-0.00009583i, -0.00030728-0.00014145i, -0.00004151-0.00009851i, -0.00001913-0.00012380i, +0.00012128+0.00004892i, -0.00007771-0.00011034i, -0.00009541-0.00008639i, +0.00007172+0.00012714i, +0.00000868-0.00007835i, +0.00000288-0.00002235i, +0.00002612+0.00009600i, +0.00003016+0.00008694i, +0.00005060-0.00001957i, +0.00002730+0.00000440i, +0.00004058+0.00006789i, -0.00003010+0.00006924i, +0.00007126+0.00004204i, +0.00007922+0.00003955i, +0.00005419-0.00007015i, -0.00012531-0.00000507i, +0.00011604-0.00002590i, -0.00014300+0.00002680i, -0.00005587-0.00003897i, -0.00007455+0.00001943i, -0.00009308-0.00013865i, -0.00016863-0.00008228i, +0.00003791-0.00014046i, +0.00025901+0.00044660i, -0.00003678+0.00006599i, -0.00007696+0.00004527i, -0.00004742+0.00008327i, -0.00006365+0.00000064i, +0.00005390-0.00005475i, -0.00002914-0.00002608i, +0.00010546-0.00002687i, +0.00006513+0.00010241i, -0.00009783+0.00001066i, -0.00005777+0.00005394i, +0.00012345+0.00002632i, +0.00014297+0.00012408i
-0.00021129+0.00018902i, +0.00004901+0.00026958i, +0.00047323+0.00027056i, -0.00031604+0.00007667i, +0.01636179-0.00000000i, -0.00017789-0.00039972i, +0.00003044-0.00034097i, +0.00015945-0.00054844i, +0.00007414-0.00028549i, -0.00017706+0.00007800i, -0.00000567-0.00012549i, +0.00001734-0.00024119i, +0.00016269-0.00040251i, -0.00042467-0.00002063i, +0.00005598-0.00030695i, +0.00026050-0.00018582i, +0.00020997-0.00013914i, +0.00018743+0.00020074i, +0.00013845+0.00011502i, -0.00007396+0.00004853i, -0.00011476+0.00045435i, +0.00002357-0.00026757i, +0.00029880-0.00018137i, +0.00015678+0.00002215i, +0.00011228+0.00025298i, +0.00070007+0.00011747i, +0.00011010+0.00019215i, +0.00012499-0.00006232i, -0.00011764+0.00013717i, +0.00015647+0.00014685i, +0.00037936+0.00015673i, -0.00020333-0.00009001i, -0.00000811+0.00016866i, +0.00012986+0.00000308i, -0.00004853-0.00000953i, -0.00013411+0.00001441i, -0.00007766+0.00021771i, -0.00028402+0.00000554i, -0.00020674-0.00038172i, +0.00022060-0.00014379i, -0.00017013+0.00007743i, -0.00029576+0.00006569i, -0.00018002+0.00030311i, +0.00021556-0.00012019i, -0.00013376+0.00024550i, +0.00014943+0.00008355i, +0.00018666-0.00014250i, +0.00010427-0.00004344i, +0.00025141+0.00019738i, +0.00022021+0.00004105i, +0.00025156+0.00030995i, -0.00008315-0.00046563i, +0.00040603+0.00016055i, +0.00026194-0.00004337i, +0.00010493-0.00024405i, +0.00033056-0.00005515i, +0.00003672-0.00010734i, -0.00007144+0.00017710i, -0.00028502+0.00006590i, -0.00001867+0.00003143i, +0.00000371-0.00020311i, +0.00000383+0.00003863i, -0.00020435+0.00027918i, -0.00027932-0.00006444i
+0.00003506-0.00011599i, +0.00000521-0.00032824i, -0.00026860+0.00010670i, +0.00010170-0.00004705i, -0.00017789+0.00039972i, +0.01606064-0.00000000i, +0.00021649+0.00011725i, +0.00023906+0.00034399i, +0.00029256+0.00022784i, +0.00022847-0.00020684i, +0.00002113+0.00003208i, -0.00001562+0.00019875i, +0.00020380+0.00016342i, +0.00028535-0.00006096i, +0.00014465+0.00015046i, -0.00029355+0.00019491i, +0.00009588+0.00012267i, +0.00000388-0.00012951i, -0.00010512-0.00000034i, -0.00000917-0.00012178i, -0.00009224-0.00014704i, +0.00000847+0.00019594i, -0.00004351+0.00029178i, -0.00004702-0.00004502i, -0.00022569-0.00010349i, -0.00051199+0.00022585i, -0.00005481-0.00005649i, -0.00007058+0.00007447i, -0.00007758-0.00010338i, -0.00010118-0.00001423i, -0.00014532-0.00008386i, +0.00003237+0.00002542i, -0.00006191-0.00014254i, +0.00001124+0.00006483i, +0.00003570+0.00002196i, +0.00012269-0.00005100i, +0.00007934-0.00003145i, +0.00005113+0.00013813i, +0.00015911+0.00001851i, -0.00012423+0.00021673i, +0.00007474-0.00010325i, +0.00006777-0.00013373i, -0.00002696-0.00019271i, -0.00002220+0.00012710i, +0.00004864-0.00020930i, -0.00015569+0.00008606i, -0.00007296+0.00010514i, -0.00002323+0.00012695i, -0.00013194+0.00007482i, -0.00011328+0.00017784i, -0.00020283-0.00007505i, +0.00017227+0.00011636i, -0.00002680+0.00013040i, +0.00000497+0.00038394i, +0.00008814+0.00020182i, -0.00014431+0.00021814i, -0.00000717-0.00004055i, -0.00006900-0.00008896i, +0.00008687-0.00010520i, +0.00015552-0.00003652i, -0.00003627-0.00000520i, -0.00009835-0.00015776i, +0.00005610-0.00019755i, +0.00017883-0.00009040i
-0.00006490-0.00013384i, -0.00020292-0.00014465i, -0.00022541+0.00052536i, -0.00014100-0.00015136i, +0.00003044+0.00034097i, +0.00021649-0.00011725i, +0.01618659-0.00000000i, +0.00029672+0.00049147i, +0.00021499+0.00004770i, +0.00021277-0.00019612i, -0.00005574-0.00003362i, +0.00005318-0.00010517i, +0.00028372-0.00004727i, +0.00017954-0.00031478i, +0.00018035-0.00006030i, -0.00005346+0.00014311i, +0.00008812+0.00006006i, -0.00016128+0.00007547i, -0.00004151+0.00000768i, -0.00008690-0.00000534i, -0.00016055-0.00006676i, +0.00004534+0.00009598i, +0.00007760+0.00032570i, +0.00005397+0.00009254i, -0.00026978+0.00010650i, -0.00009083+0.00035689i, -0.00014222-0.00002836i, -0.00002855+0.00014926i, -0.00013443-0.00010841i, -0.00018332+0.00005911i, -0.00013277+0.00023710i, -0.00001460-0.00010751i, -0.00009587-0.00017160i, -0.00005040+0.00004752i, -0.00001177-0.00003833i, +0.00005392-0.00002929i, -0.00008128-0.00004237i, +0.00003662-0.00008860i, +0.00014352+0.00000412i, +0.00001455+0.00014489i, -0.00002021-0.00009496i, -0.00002539-0.00010635i, -0.00003616+0.00000794i, -0.00000432+0.00010501i, -0.00013895-0.00008035i, -0.00005853+0.00016277i, +0.00003794+0.00024865i, +0.00004270+0.00005048i, -0.00003083+0.00007238i, +0.00002789+0.00007931i, -0.00011408-0.00004301i, +0.00023274-0.00008756i, +0.00004003+0.00012119i, +0.00001679+0.00013722i, +0.00027082+0.00027289i, +0.00002918+0.00026989i, +0.00011717+0.00005799i, -0.00009770-0.00004440i, -0.00007176-0.00008770i, -0.00005621-0.00001397i, +0.00013191+0.00007532i, -0.00000905-0.00004227i, -0.00024186-0.00037886i, +0.00004434-0.00012225i
-0.00001305-0.00020756i, -0.00000406+0.00013824i, -0.00007492+0.00042506i, -0.00019682-0.00018870i, +0.00015945+0.00054844i, +0.00023906-0.00034399i, +0.00029672-0.00049147i, +0.01614668-0.00000000i, +0.00019901-0.00003878i, -0.00020690-0.00021588i, +0.00006404+0.00004116i, +0.00009751-0.00011569i, +0.00040054-0.00004711i, +0.00006115-0.00030034i, +0.00018810+0.00001273i, +0.00016124+0.00004859i, +0.00006467+0.00002093i, -0.00013218+0.00025763i, -0.00007122+0.00014046i, -0.00021380-0.00004293i, -0.00027306+0.00004638i, +0.00009428-0.00000074i, +0.00029537+0.00022324i, +0.00004267+0.00018079i, -0.00014668+0.00017398i, +0.00004785+0.00065203i, -0.00017050+0.00008767i, +0.00014719-0.00000252i, -0.00013541-0.00005725i, -0.00009950+0.00021865i, -0.00007557+0.00022657i, -0.00006580-0.00004274i, -0.00016975-0.00001345i, +0.00002742+0.00001305i, +0.00007072-0.00006328i, -0.00002049-0.00009211i, -0.00001783+0.00007066i, -0.00002501-0.00019531i, +0.00020118-0.00016500i, +0.00011501+0.00018287i, -0.00010518-0.00016600i, -0.00017194-0.00029116i, -0.00025341+0.00002401i, +0.00012929+0.00021789i, -0.00012412-0.00010665i, -0.00000206+0.00021646i, +0.00012099+0.00019604i, +0.00005435+0.00015330i, +0.00008466+0.00018452i, +0.00002421+0.00016678i, -0.00017832+0.00018444i, +0.00028224-0.00025993i, +0.00014139+0.00014611i, +0.00010498+0.00007557i, +0.00026734-0.00007909i, +0.00027839+0.00048747i, -0.00000547-0.00003458i, -0.00014481+0.00013397i, -0.00005119-0.00016781i, -0.00001672-0.00001346i, +0.00010391-0.00005989i, +0.00005907+0.00000666i, -0.00017370-0.00009767i, -0.00017513-0.00031216i
-0.00016252-0.00021833i, -0.00011680-0.00007388i, -0.00006293+0.00041818i, -0.00020072-0.00005597i, +0.00007414+0.00028549i, +0.00029256-0.00022784i, +0.00021499-0.00004770i, +0.00019901+0.00003878i, +0.01599871-0.00000000i, -0.00002874-0.00042214i, +0.00005630+0.00008793i, +0.00013534+0.00009757i, +0.00029766+0.00015346i, +0.00008027-0.00029146i, +0.00022674-0.00000138i, +0.00000051+0.00021682i, +0.00010073-0.00007074i, -0.00010299+0.00001622i, -0.00004608+0.00010275i, -0.00008066+0.00003742i, -0.00025645-0.00006823i, +0.00008221+0.00007871i, +0.00008817+0.00008595i, -0.00005147-0.00004611i, -0.00024447+0.00017782i, -0.00013841+0.00054326i, -0.00006617-0.00007251i, +0.00008548+0.00008201i, -0.00016566-0.00008188i, -0.00018614+0.00003487i, -0.00020135+0.00012672i, -0.00001608-0.00015822i, -0.00025143-0.00001022i, +0.00003756+0.00003304i, +0.00001695-0.00001047i, +0.00007275-0.00005897i, -0.00001230-0.00007515i, +0.00003988-0.00016272i, +0.00024204-0.00003590i, +0.00005393+0.00004724i, -0.00015479-0.00000106i, -0.00001257-0.00026591i, -0.00009289-0.00001894i, +0.00008399+0.00022023i, -0.00005377-0.00009037i, -0.00003304+0.00023644i, +0.00000052+0.00012798i, +0.00007564+0.00012498i, -0.00012544+0.00029284i, -0.00000337+0.00017075i, -0.00020776+0.00003841i, +0.00031671+0.00003187i, +0.00003377+0.00016223i, +0.00005852+0.00015657i, +0.00005912+0.00010763i, +0.00003683+0.00025840i, -0.00008628-0.00022675i, -0.00014728-0.00000450i, +0.00000331-0.00018943i, +0.00000165+0.00004371i, +0.00009319+0.00009725i, +0.00000630-0.00005257i, -0.00010719-0.00017032i, +0.00001001-0.00011362i
-0.00010946-0.00006515i, -0.00005690-0.00000712i, -0.00012366-0.00012926i, +0.00002311-0.00009830i, -0.00017706-0.00007800i, +0.00022847+0.00020684i, +0.00021277+0.00019612i, -0.00020690+0.00021588i, -0.00002874+0.00042214i, +0.01553915-0.00000000i, +0.00001949+0.00009038i, -0.00000259+0.00003028i, -0.00006972+0.00005782i, +0.00004414-0.00012624i, +0.00003625+0.00018267i, -0.00021383-0.00004894i, -0.00002857+0.00006396i, -0.00011463-0.00007027i, +0.00001807-0.00002782i, -0.00004893-0.00000841i, +0.00000006-0.00013479i, -0.00007258-0.00001623i, -0.00002367+0.00000033i, -0.00003404+0.00014138i, -0.00001410+0.00002289i, -0.00024114+0.00008689i, -0.00004529-0.00006668i, -0.00007354+0.00010721i, +0.00003488-0.00007978i, -0.00003637-0.00000076i, -0.00005320-0.00001967i, +0.00005426+0.00000419i, -0.00000110-0.00008032i, -0.00010666+0.00006548i, -0.00001562+0.00007110i, +0.00001246+0.00001527i, +0.00001734-0.00007014i, +0.00009187+0.00002645i, +0.00001456+0.00002557i, -0.00006993+0.00001118i, +0.00001326-0.00005290i, -0.00002438+0.00007270i, +0.00008816-0.00013926i, -0.00006506-0.00001665i, -0.00003636-0.00006633i, -0.00015249+0.00005968i, -0.00012433+0.00010194i, +0.00007471+0.00010934i, -0.00008276+0.00002101i, -0.00009938+0.00013117i, -0.00006115-0.00006659i, +0.00005804+0.00024318i, -0.00002048+0.00004614i, -0.00014035-0.00001825i, +0.00000667+0.00007254i, -0.00012403-0.00005348i, +0.00004700+0.00008754i, -0.00008985-0.00034840i, +0.00007768-0.00000944i, -0.00003737+0.00001253i, +0.00003434+0.00006441i, +0.00014632-0.00001322i, -0.00003610-0.00013724i, +0.00009246+0.00005276i
-0.00007828+0.00002997i, -0.00005140+0.00020904i, +0.00010001-0.00001589i, +0.00007452+0.00001382i, -0.00000567+0.00012549i, +0.00002113-0.00003208i, -0.00005574+0.00003362i, +0.00006404-0.00004116i, +0.00005630-0.00008793i, +0.00001949-0.00009038i, +0.01556137-0.00000000i, -0.00006843+0.00021638i, +0.00004433-0.00009598i, -0.00000691-0.00008301i, +0.00006349+0.00007946i, -0.00000551+0.00009799i, -0.00003364+0.00001860i, +0.00005571+0.00000500i, +0.00004739-0.00002954i, -0.00005227-0.00009167i, -0.00003208+0.00010791i, +0.00004729+0.00003834i, +0.00002922-0.00018986i, +0.00002162-0.00002836i, +0.00003904-0.00003415i, +0.00004995-0.00001612i, -0.00002703+0.00002744i, +0.00004692-0.00016021i, -0.00001397+0.00007730i, +0.00007724-0.00000123i, +0.00018746-0.00002398i, -0.00004240+0.00001667i, +0.00004801-0.00001219i, -0.00002407+0.00000642i, -0.00007244+0.00001868i, -0.00001057+0.00004909i, -0.00000445+0.00001333i, +0.00000307-0.00001735i, -0.00000855-0.00000655i, +0.00002888-0.00001936i, +0.00003582+0.00008112i, +0.00000204+0.00007222i, -0.00003560+0.00012346i, +0.00001489-0.00003550i, +0.00003400+0.00006092i, -0.00001438-0.00000082i, +0.00000662-0.00002232i, -0.00004037-0.00002438i, +0.00006388-0.00000434i, +0.00006369-0.00004688i, -0.00001027+0.00022644i, +0.00007903+0.00003980i, +0.00000712-0.00012496i, +0.00001635-0.00003105i, -0.00000909+0.00012991i, -0.00009710-0.00011241i, -0.00003240+0.00004133i, -0.00003258-0.00001348i, -0.00019515-0.00020316i, +0.00010873+0.00002290i, +0.00003343-0.00006406i, +0.00005757-0.00006324i, -0.00008785+0.00001885i, -0.00005832+0.00002952i
