+0.01576271-0.00000000i, -0.00010261-0.00016223i, +0.00010394-0.00010976i, +0.00001030-0.00009730i, +0.00007656+0.00013248i, +0.00014292-0.00002567i, +0.00020032+0.00003510i, +0.00000525-0.00005666i, -0.00010839-0.00013618i, +0.00012240+0.00010318i, +0.00006280-0.00013681i, +0.00002376+0.00009261i, -0.00005036-0.00008177i, +0.00012728+0.00001894i, +0.00006768-0.00007645i, +0.00013523-0.00002902i, +0.00005342-0.00003097i, -0.00006329+0.00000651i, +0.00006498-0.00008237i, +0.00005239+0.00004665i, +0.00006859+0.00000086i, +0.00002892+0.00002574i, -0.00002355-0.00005236i, -0.00010602+0.00004941i, +0.00018523-0.00009457i, -0.00000878-0.00002288i, -0.00018147+0.00004690i, -0.00008066-0.00008098i, +0.00006464+0.00008817i, -0.00003696+0.00000018i, -0.00001938+0.00003947i, -0.00001535-0.00015716i, +0.00020304-0.00011403i, +0.00007975-0.00001456i, +0.00000185+0.00013254i, -0.00004589-0.00006206i, -0.00003003-0.00006801i, +0.00008510+0.00012572i, -0.00004318+0.00004551i, +0.00005117-0.00002054i, -0.00005293+0.00009295i, +0.00015539-0.00000908i, +0.00005311+0.00011634i, +0.00004703+0.00011893i, -0.00027102-0.00004967i, -0.00000967+0.00009100i, +0.00006701+0.00004964i, +0.00002085+0.00009771i, +0.00023866+0.00001951i, -0.00009655-0.00006046i, +0.00008730-0.00001397i, -0.00001536+0.00003733i, -0.00009262+0.00000373i, -0.00001424-0.00002483i, +0.00010036-0.00017942i, +0.00008690-0.00002832i, -0.00005745-0.00011925i, +0.00003036+0.00014406i, -0.00010220+0.00005964i, +0.00003510-0.00002153i, +0.00006306-0.00005508i, -0.00003122-0.00002890i, -0.00004231+0.00009807i, -0.00001690-0.00006481i
-0.00010261+0.00016223i, +0.01565075-0.00000000i, -0.00000296+0.00004890i, +0.00008660+0.00010149i, -0.00004963+0.00004217i, -0.00006844+0.00009024i, -0.00018857+0.00008255i, +0.00000850-0.00008374i, +0.00008961-0.00000320i, -0.00005375+0.00000909i, -0.00005710+0.00010750i, -0.00016720-0.00007482i, +0.00005170-0.00003120i, -0.00010743+0.00010654i, +0.00001765+0.00007522i, -0.00010447+0.00011268i, +0.00000792+0.00002301i, +0.00006210-0.00000541i, +0.00002770+0.00009620i, -0.00004250-0.00004469i, +0.00002395+0.00000714i, -0.00000871-0.00001617i, +0.00005088-0.00000241i, -0.00000135-0.00013883i, +0.00001723+0.00012099i, +0.00007739-0.00002576i, +0.00012128-0.00009021i, +0.00010184+0.00009083i, -0.00010359+0.00003576i, -0.00000364-0.00003417i, -0.00000359-0.00000637i, +0.00019007+0.00011411i, -0.00005783+0.00007732i, +0.00001783+0.00001139i, -0.00002164-0.00005340i, +0.00003498-0.00000575i, -0.00002235+0.00000381i, -0.00018210-0.00013100i, -0.00000844+0.00000764i, -0.00008709-0.00006250i, -0.00000971-0.00011004i, -0.00011450+0.00012955i, -0.00010646+0.00001528i, -0.00010061-0.00009234i, +0.00004549-0.00012266i, -0.00013454-0.00007495i, -0.00006155+0.00004082i, -0.00005223-0.00014185i, -0.00000335-0.00005500i, +0.00032993-0.00017917i, -0.00003613+0.00003639i, -0.00002824+0.00005400i, +0.00011238-0.00003641i, -0.00005692-0.00003070i, +0.00001323+0.00018360i, +0.00000747+0.00002763i, +0.00007895+0.00000009i, -0.00013446-0.00014309i, +0.00000806-0.00009563i, +0.00005229+0.00006126i, -0.00002817+0.00003304i, +0.00003530+0.00003789i, -0.00002138-0.00010021i, +0.00001445+0.00000672i
+0.00010394+0.00010976i, -0.00000296-0.00004890i, +0.01561909-0.00000000i, +0.00003663+0.00007557i, +0.00007805+0.00007471i, +0.00007701+0.00010858i, +0.00011152+0.00000410i, -0.00008685+0.00003465i, +0.00007402-0.00004120i, +0.00000028+0.00006739i, +0.00003052-0.00000113i, +0.00003076+0.00006407i, -0.00004638-0.00007922i, +0.00001246+0.00001088i, +0.00001401+0.00001646i, +0.00007647+0.00003616i, +0.00003652-0.00002972i, -0.00003428-0.00005639i, +0.00006212+0.00010834i, -0.00000243+0.00001417i, +0.00004906-0.00001891i, -0.00001455-0.00000020i, -0.00003583+0.00000958i, -0.00006946+0.00002275i, +0.00002004-0.00006072i, -0.00002344+0.00003736i, -0.00006745-0.00009193i, +0.00000488+0.00001599i, -0.00000992+0.00000750i, -0.00000218-0.00001857i, +0.00004454-0.00002388i, -0.00003183-0.00003514i, +0.00008844-0.00000738i, +0.00004033-0.00002829i, -0.00002246-0.00000487i, -0.00000164-0.00005434i, +0.00000273+0.00003217i, +0.00001201+0.00006678i, -0.00010242+0.00006077i, -0.00001054+0.00005310i, +0.00002076+0.00000895i, +0.00003966+0.00000280i, +0.00003137+0.00003671i, +0.00003039+0.00004347i, -0.00006774+0.00003565i, +0.00000876+0.00004567i, +0.00006127+0.00000816i, -0.00000829+0.00005514i, -0.00003179+0.00002769i, -0.00010310-0.00002964i, +0.00021106+0.00000788i, +0.00001264-0.00000806i, -0.00002414-0.00001943i, +0.00005942-0.00001350i, +0.00010376-0.00002810i, +0.00002912-0.00003776i, -0.00008998-0.00008197i, +0.00004395+0.00005109i, -0.00009730-0.00004851i, +0.00001087-0.00004279i, +0.00004274-0.00000641i, +0.00001840-0.00000645i, -0.00003571+0.00001248i, -0.00000070-0.00001472i
+0.00001030+0.00009730i, +0.00008660-0.00010149i, +0.00003663-0.00007557i, +0.01575991-0.00000000i, +0.00006581-0.00007329i, +0.00001490-0.00000597i, -0.00009239+0.00006320i, -0.00009297-0.00002043i, +0.00000845-0.00005077i, -0.00005357+0.00007324i, +0.00003331+0.00002886i, -0.00003579+0.00000500i, +0.00002765-0.00002093i, +0.00000839+0.00001773i, -0.00001697-0.00000028i, +0.00012156-0.00002481i, +0.00004297+0.00000015i, -0.00001131-0.00000405i, +0.00002964+0.00001833i, +0.00001354+0.00009499i, +0.00000739+0.00002951i, +0.00004298+0.00003259i, -0.00002630+0.00000136i, -0.00018350-0.00002725i, +0.00004871+0.00001816i, +0.00001692-0.00006043i, -0.00001278-0.00009324i, +0.00008418-0.00008551i, -0.00001402+0.00006329i, +0.00003255+0.00007800i, -0.00003480+0.00000590i, +0.00006655-0.00014711i, +0.00006221+0.00008482i, +0.00005010+0.00000215i, -0.00004729-0.00001607i, -0.00002150-0.00011108i, -0.00001118+0.00001084i, -0.00005776+0.00001675i, +0.00000489-0.00000906i, -0.00005245+0.00006506i, -0.00007391-0.00005106i, -0.00004459+0.00006625i, -0.00003975+0.00008226i, -0.00010112+0.00006306i, -0.00004074-0.00011576i, +0.00000532-0.00001082i, +0.00000272+0.00008216i, +0.00000263+0.00006625i, -0.00002190+0.00000034i, -0.00000285-0.00004752i, +0.00000648+0.00004557i, +0.00015596+0.00002166i, +0.00001728-0.00005150i, -0.00000129-0.00001715i, +0.00008463+0.00009493i, +0.00003633+0.00008495i, +0.00005789-0.00005786i, -0.00009893-0.00001408i, -0.00006871-0.00003231i, +0.00007094-0.00000240i, +0.00002619+0.00004874i, -0.00000404+0.00002573i, -0.00004925-0.00002571i, +0.00004935+0.00001869i
+0.00007656-0.00013248i, -0.00004963-0.00004217i, +0.00007805-0.00007471i, +0.00006581+0.00007329i, +0.01562586-0.00000000i, -0.00010505-0.00017972i, +0.00000190-0.00004106i, +0.00004344+0.00005167i, -0.00003760-0.00010699i, +0.00011899-0.00002185i, +0.00004532-0.00009056i, +0.00004491+0.00002770i, -0.00006079-0.00002091i, -0.00002806-0.00009114i, -0.00004674-0.00001234i, +0.00006975-0.00005395i, -0.00001400-0.00009349i, -0.00002872-0.00003150i, +0.00004888-0.00007099i, +0.00002805+0.00003357i, +0.00002493-0.00004999i, -0.00007430-0.00003612i, -0.00007028+0.00004759i, +0.00002317+0.00006905i, -0.00008965-0.00010873i, +0.00003420+0.00005413i, -0.00000683+0.00003375i, -0.00004456+0.00000503i, +0.00000743+0.00006677i, +0.00000420+0.00001923i, +0.00005885-0.00003156i, -0.00008450-0.00007650i, +0.00008160-0.00020139i, +0.00000287-0.00009091i, +0.00003865+0.00011836i, -0.00001499+0.00001468i, -0.00000362-0.00003139i, +0.00008432+0.00001830i, +0.00000968-0.00000272i, +0.00010557+0.00001454i, +0.00007782+0.00001093i, +0.00001796-0.00011173i, +0.00005175-0.00008153i, +0.00007486+0.00006449i, -0.00002171+0.00010711i, +0.00001740+0.00002581i, +0.00003641+0.00001293i, +0.00006370+0.00002552i, +0.00002364+0.00001251i, -0.00007839+0.00011439i, +0.00009139-0.00002706i, +0.00001582-0.00003433i, +0.00010054+0.00000568i, -0.00000166-0.00001564i, -0.00000532-0.00013440i, -0.00002125-0.00006237i, -0.00004965+0.00001921i, +0.00014480+0.00004643i, -0.00007029+0.00009721i, +0.00003694-0.00004999i, -0.00010179-0.00000939i, -0.00005090+0.00000743i, +0.00000294+0.00002665i, -0.00002402+0.00002957i
+0.00014292+0.00002567i, -0.00006844-0.00009024i, +0.00007701-0.00010858i, +0.00001490+0.00000597i, -0.00010505+0.00017972i, +0.01564742-0.00000000i, +0.00008809+0.00001435i, +0.00000907-0.00002577i, -0.00008148+0.00003578i, +0.00006010+0.00007374i, +0.00011243-0.00005623i, +0.00008504+0.00009345i, -0.00002641-0.00004776i, +0.00013511-0.00002309i, +0.00005079-0.00001019i, +0.00013666-0.00000782i, -0.00000377+0.00002794i, +0.00003455-0.00005998i, +0.00001547+0.00003230i, -0.00002099-0.00000571i, +0.00001423-0.00001617i, +0.00000145+0.00008371i, -0.00002250-0.00008112i, -0.00016874+0.00003787i, +0.00005148-0.00006730i, -0.00008529-0.00004492i, -0.00008111-0.00002782i, -0.00002871-0.00002584i, +0.00001040-0.00002225i, -0.00004896+0.00009364i, +0.00001236+0.00001338i, -0.00001122-0.00003464i, +0.00008458-0.00001024i, +0.00010359-0.00008478i, -0.00006404+0.00001900i, -0.00003947-0.00003533i, +0.00002963+0.00000054i, +0.00004235+0.00007717i, -0.00003694+0.00002072i, -0.00006121-0.00001424i, -0.00003173+0.00000173i, +0.00013865+0.00002208i, +0.00003955+0.00007281i, +0.00001040+0.00006338i, -0.00008274+0.00004317i, +0.00000035+0.00004025i, -0.00000290+0.00001552i, +0.00003543+0.00006371i, -0.00002589+0.00004972i, -0.00010294-0.00008088i, +0.00002404+0.00002056i, +0.00004545+0.00006373i, -0.00005196-0.00001922i, +0.00016211-0.00000635i, +0.00008814-0.00009923i, +0.00003256+0.00001524i, +0.00000355-0.00007069i, +0.00002951+0.00011761i, -0.00005397+0.00004206i, -0.00002833+0.00001063i, +0.00001903-0.00002969i, -0.00003232+0.00001797i, +0.00001119+0.00004607i, -0.00005933-0.00007031i
+0.00020032-0.00003510i, -0.00018857-0.00008255i, +0.00011152-0.00000410i, -0.00009239-0.00006320i, +0.00000190+0.00004106i, +0.00008809-0.00001435i, +0.01565642+0.00000000i, -0.00004089+0.00016485i, -0.00002201-0.00012460i, +0.00008826+0.00006029i, +0.00011030-0.00002831i, +0.00009593+0.00011255i, -0.00005543-0.00009448i, +0.00006708+0.00001110i, +0.00004782-0.00000238i, +0.00010898+0.00001562i, +0.00003003-0.00000029i, -0.00002820-0.00004835i, +0.00001797-0.00002226i, +0.00002832+0.00003215i, -0.00001978+0.00001956i, +0.00002608+0.00003314i, -0.00001174-0.00000577i, -0.00007744+0.00005794i, +0.00003125-0.00012764i, -0.00002969-0.00007915i, -0.00009778+0.00007014i, -0.00002789-0.00007621i, +0.00003510+0.00012420i, -0.00001752-0.00001901i, -0.00003033-0.00000939i, -0.00002772-0.00012349i, +0.00007933-0.00000834i, +0.00002816-0.00005378i, +0.00003438+0.00005930i, -0.00003227+0.00000680i, +0.00001311-0.00000055i, +0.00000597+0.00011813i, -0.00001529-0.00002604i, +0.00003928+0.00006969i, -0.00008013+0.00005573i, +0.00012658+0.00007096i, +0.00000717+0.00013522i, +0.00008981+0.00009640i, -0.00017338+0.00000354i, +0.00002999+0.00009267i, +0.00008104-0.00004918i, -0.00002548+0.00005634i, -0.00002791+0.00005174i, -0.00015381-0.00002747i, +0.00002437-0.00003119i, -0.00000001+0.00002238i, -0.00014377-0.00008955i, +0.00001539+0.00006037i, +0.00025929-0.00018265i, +0.00004839-0.00000872i, -0.00006493-0.00005502i, +0.00005496+0.00012367i, -0.00003172+0.00005626i, +0.00003795-0.00004206i, +0.00005324-0.00002810i, -0.00000618-0.00005859i, -0.00003531+0.00006130i, -0.00000790-0.00002970i
+0.00000525+0.00005666i, +0.00000850+0.00008374i, -0.00008685-0.00003465i, -0.00009297+0.00002043i, +0.00004344-0.00005167i, +0.00000907+0.00002577i, -0.00004089-0.00016485i, +0.01571360-0.00000000i, -0.00002828-0.00002252i, +0.00004209-0.00009210i, -0.00002731+0.00002812i, +0.00005830-0.00002304i, +0.00001466+0.00006691i, +0.00002206+0.00001178i, -0.00003654-0.00004503i, +0.00000403-0.00004969i, -0.00003449-0.00000143i, +0.00000296-0.00003081i, +0.00003028-0.00003528i, +0.00001355-0.00002080i, +0.00002413-0.00002878i, -0.00004718-0.00004491i, -0.00001324+0.00002307i, +0.00010114+0.00000982i, -0.00002333-0.00002496i, -0.00009980+0.00000525i, +0.00001348+0.00002785i, -0.00002344-0.00000626i, +0.00006014-0.00002472i, +0.00002341+0.00002343i, -0.00000228+0.00001345i, -0.00011025+0.00004408i, -0.00003502-0.00011520i, -0.00002651-0.00003595i, +0.00007649+0.00001449i, -0.00000360+0.00003945i, -0.00003337-0.00005739i, +0.00006167+0.00003105i, -0.00001720+0.00002233i, -0.00002743-0.00008873i, +0.00006292+0.00003633i, -0.00006677-0.00002300i, -0.00000454-0.00003113i, -0.00003666-0.00003470i, +0.00003923+0.00007576i, +0.00003320+0.00000332i, -0.00003061-0.00004930i, +0.00001356-0.00009641i, +0.00008970-0.00003874i, -0.00000575+0.00008357i, -0.00000504-0.00000582i, +0.00000451-0.00003482i, -0.00000906+0.00004445i, +0.00002643-0.00000452i, -0.00004755-0.00008783i, +0.00019674-0.00014675i, -0.00000325+0.00004188i, +0.00008083-0.00007957i, +0.00001857+0.00005321i, -0.00005514-0.00000734i, -0.00000733-0.00004339i, -0.00007032-0.00000460i, +0.00001579+0.00001916i, -0.00002737+0.00003859i
-0.00010839+0.00013618i, +0.00008961+0.00000320i, +0.00007402+0.00004120i, +0.00000845+0.00005077i, -0.00003760+0.00010699i, -0.00008148-0.00003578i, -0.00002201+0.00012460i, -0.00002828+0.00002252i, +0.01571710-0.00000000i, -0.00016163-0.00007083i, +0.00004905+0.00009070i, -0.00008632-0.00001760i, +0.00009593+0.00003704i, -0.00007142+0.00007599i, -0.00004464+0.00004484i, -0.00003840+0.00016402i, +0.00003906+0.00009264i, -0.00000928-0.00004477i, +0.00001319+0.00016970i, -0.00005816-0.00000411i, +0.00000276+0.00000087i, +0.00000512+0.00001322i, +0.00007011+0.00002994i, -0.00000430-0.00008322i, +0.00003243-0.00003329i, +0.00001073-0.00003394i, +0.00006379-0.00014956i, +0.00008305-0.00005153i, -0.00013139-0.00000038i, -0.00000071+0.00001904i, +0.00001051+0.00000369i, +0.00015801+0.00009969i, -0.00003292+0.00011199i, -0.00002044+0.00005635i, -0.00006760-0.00003122i, -0.00000695-0.00001045i, -0.00007620-0.00003807i, -0.00012016-0.00000032i, -0.00006066+0.00001354i, -0.00008815+0.00004598i, +0.00004989-0.00009407i, -0.00006041+0.00009882i, -0.00004521-0.00001723i, -0.00008931-0.00005196i, +0.00010523-0.00015163i, -0.00004037-0.00001031i, -0.00001649+0.00002331i, -0.00006806-0.00002898i, -0.00002667+0.00000306i, +0.00005905-0.00010390i, -0.00002561+0.00001510i, +0.00001691-0.00001654i, +0.00005576-0.00006126i, -0.00000211-0.00000208i, +0.00007739+0.00015039i, +0.00002882+0.00005813i, -0.00007348+0.00005695i, -0.00011124+0.00000794i, +0.00005548-0.00009114i, +0.00000993+0.00007276i, +0.00002489+0.00001904i, +0.00003917-0.00001463i, -0.00000736-0.00010490i, +0.00001718-0.00000567i
+0.00012240-0.00010318i, -0.00005375-0.00000909i, +0.00000028-0.00006739i, -0.00005357-0.00007324i, +0.00011899+0.00002185i, +0.00006010-0.00007374i, +0.00008826-0.00006029i, +0.00004209+0.00009210i, -0.00016163+0.00007083i, +0.01573483-0.00000000i, +0.00003873-0.00007630i, +0.00018969+0.00007478i, -0.00009326-0.00004583i, +0.00001128-0.00010691i, +0.00010600-0.00006713i, +0.00001347-0.00006884i, +0.00001731-0.00000812i, -0.00001752+0.00005271i, +0.00003444-0.00009356i, +0.00000766-0.00004919i, -0.00000001-0.00003799i, -0.00000133+0.00004955i, -0.00011305-0.00005752i, -0.00005598+0.00012672i, +0.00002082-0.00006286i, -0.00005881-0.00009875i, -0.00009012+0.00007418i, -0.00007594-0.00000787i, +0.00001969+0.00005404i, -0.00011426+0.00000443i, -0.00005083+0.00003010i, -0.00004642-0.00012438i, +0.00007156-0.00006022i, -0.00001209-0.00003235i, +0.00000290+0.00007464i, -0.00001713+0.00000386i, +0.00001013-0.00001708i, +0.00002857+0.00007515i, -0.00000276-0.00002954i, +0.00003922-0.00000523i, -0.00002760+0.00005401i, +0.00007813-0.00009552i, +0.00011002+0.00005805i, +0.00009406+0.00005487i, -0.00005287+0.00010003i, +0.00008975-0.00001784i, -0.00000377-0.00004939i, +0.00001188+0.00010377i, +0.00003672+0.00009402i, -0.00012714+0.00009203i, +0.00003686-0.00001077i, +0.00004525+0.00003963i, -0.00009166+0.00004887i, +0.00002229+0.00005518i, +0.00000204-0.00013983i, +0.00008759-0.00009621i, -0.00010478-0.00004000i, -0.00002961+0.00007869i, -0.00003608+0.00002274i, -0.00002301-0.00010108i, +0.00001319-0.00006866i, +0.00000916+0.00005727i, +0.00000916+0.00007853i, -0.00007768-0.00002259i
+0.00006280+0.00013681i, -0.00005710-0.00010750i, +0.00003052+0.00000113i, +0.00003331-0.00002886i, +0.00004532+0.00009056i, +0.00011243+0.00005623i, +0.00011030+0.00002831i, -0.00002731-0.00002812i, +0.00004905-0.00009070i, +0.00003873+0.00007630i, +0.01566727-0.00000000i, -0.00003758+0.00019493i, +0.00000492-0.00011885i, +0.00004565-0.00006881i, +0.00012846+0.00000204i, +0.00019815+0.00008768i, +0.00002073-0.00007530i, -0.00000336-0.00003582i, +0.00003856+0.00003385i, -0.00001049+0.00006286i, +0.00000375+0.00000574i, +0.00001902+0.00001476i, -0.00007335-0.00004945i, -0.00014266-0.00001917i, +0.00011751-0.00004166i, +0.00002147+0.00006927i, -0.00018607-0.00014654i, +0.00008758-0.00011066i, -0.00002564+0.00009684i, -0.00001095+0.00000721i, +0.00001193-0.00005230i, +0.00008966-0.00017985i, +0.00009360+0.00008436i, +0.00005938+0.00004179i, -0.00008227+0.00010595i, -0.00001710-0.00001277i, -0.00003284+0.00004481i, +0.00000103+0.00014758i, +0.00007249-0.00001228i, -0.00002281+0.00006468i, -0.00008997+0.00002826i, +0.00010474+0.00007749i, +0.00003518+0.00012944i, -0.00000460+0.00010504i, -0.00013871-0.00009533i, -0.00009074-0.00000151i, +0.00004545+0.00009508i, -0.00004212+0.00007275i, -0.00008044+0.00009212i, -0.00010628-0.00013685i, +0.00004412+0.00006521i, +0.00003208+0.00003084i, -0.00004444-0.00009837i, -0.00004008+0.00004784i, +0.00023270-0.00002101i, +0.00010366+0.00001809i, +0.00001090-0.00011742i, -0.00006258+0.00021535i, -0.00032456-0.00000107i, +0.00006608+0.00000507i, +0.00000886+0.00000537i, +0.00000613-0.00004325i, -0.00020232-0.00000796i, +0.00000377-0.00003360i
