+0.02371891-0.00000000i, -0.00349725+0.00454014i, +0.00313679-0.00129546i, -0.00674018-0.00599757i, -0.00875265-0.00984444i, +0.00863675-0.00042040i, -0.00123085-0.00644778i, +0.00390860+0.00179339i, +0.00826250-0.00196030i, -0.00524207+0.00878630i, -0.00849829-0.00422558i, +0.00638991-0.00264471i, +0.00428849-0.00726473i, +0.00093237+0.00382134i, -0.00089087-0.00352080i, +0.00583053-0.00049952i, -0.00239345+0.00317790i, +0.00293027-0.00104352i, -0.00495451+0.00639242i, -0.00137660-0.00735890i, +0.00064450+0.00050038i, +0.00241739-0.00208539i, +0.00157704-0.00275949i, +0.00131383+0.00346637i, +0.00090921-0.00932311i, -0.00185425+0.00777932i, -0.00601887-0.00027321i, -0.00002220+0.00080521i, -0.00117543-0.00520295i, +0.00031379+0.00387652i, +0.00729871-0.00425484i, -0.00075932+0.00318433i, +0.00474757-0.00853076i, +0.00696710+0.00528068i, +0.00311389+0.00758942i, -0.00658080-0.00319546i, -0.00029372+0.00126254i, -0.00133593-0.00144625i, -0.00117203-0.00254010i, -0.00075685+0.00440459i, +0.00324109+0.00958188i, -0.00352172-0.00417482i, +0.00476520+0.00300135i, -0.00301601-0.00146812i, -0.00620956+0.00631538i, -0.00316980-0.00440766i, -0.00229001+0.00601892i, -0.00270216-0.00460995i, +0.00183732-0.00905620i, -0.00021624+0.00333954i, -0.00560825+0.00002059i, -0.00187366+0.00042196i, -0.00542493+0.00506423i, +0.00308104-0.00133370i, -0.00154725-0.00652539i, +0.00143902+0.00200588i, +0.00357934+0.00168127i, -0.00363654-0.00076564i, +0.00618293-0.00412576i, -0.00282309+0.00309958i, +0.00567187-0.00382300i, +0.00149759+0.00540894i, +0.00235447+0.00209220i, +0.00014834+0.00092994i
-0.00349725-0.00454014i, +0.01243730-0.00000000i, +0.00139129+0.00199218i, -0.00140029-0.00027742i, -0.00118534+0.00185870i, -0.00138590-0.00284829i, -0.00084596+0.00072879i, +0.00157954+0.00070492i, -0.00031433-0.00063828i, +0.00180444-0.00003697i, +0.00087325+0.00162680i, -0.00029645-0.00070329i, -0.00086587-0.00017251i, +0.00187561-0.00082149i, -0.00131685+0.00088891i, -0.00040697-0.00105979i, +0.00020204+0.00117698i, -0.00006199+0.00059245i, +0.00060571+0.00055543i, -0.00052077-0.00044228i, +0.00070547-0.00011299i, -0.00092742+0.00047510i, -0.00010028+0.00023719i, +0.00044671+0.00035195i, -0.00083950+0.00036523i, +0.00074974-0.00194616i, +0.00022589+0.00070958i, +0.00026291-0.00010526i, -0.00096480+0.00046124i, +0.00052186-0.00084039i, -0.00114220-0.00102195i, +0.00047907+0.00064858i, -0.00131982-0.00054182i, +0.00261888-0.00219132i, +0.00162705-0.00061090i, -0.00051167+0.00021079i, +0.00028297-0.00011891i, -0.00042850+0.00138511i, -0.00016889-0.00036873i, +0.00103429+0.00039427i, +0.00145820-0.00063845i, +0.00068707+0.00318787i, +0.00024244-0.00030654i, -0.00032877+0.00091017i, +0.00147013+0.00111928i, -0.00245565+0.00137161i, +0.00129449+0.00034903i, -0.00089987-0.00022649i, -0.00204213+0.00078225i, +0.00151817-0.00226446i, +0.00079966+0.00097418i, -0.00026169+0.00007087i, +0.00080201+0.00089424i, -0.00111293+0.00025217i, -0.00093579+0.00005655i, +0.00070657-0.00020515i, -0.00010327-0.00009565i, +0.00086521-0.00032349i, -0.00012914-0.00073548i, -0.00030858+0.00060019i, -0.00090255-0.00049609i, +0.00130961-0.00064347i, +0.00005199-0.00040693i, -0.00075346-0.00002859i
+0.00313679+0.00129546i, +0.00139129-0.00199218i, +0.01431529-0.00000000i, -0.00504689-0.00042693i, -0.00309345-0.00374141i, +0.00264099-0.00095727i, -0.00179419-0.00121176i, +0.00280133+0.00045788i, +0.00413270-0.00056902i, -0.00330338+0.00426435i, -0.00321863-0.00277405i, +0.00192174-0.00047718i, +0.00283376-0.00286869i, +0.00017245+0.00222628i, -0.00140197-0.00018388i, +0.00220875-0.00023408i, -0.00033056+0.00143044i, +0.00081098-0.00042729i, -0.00139300+0.00379658i, -0.00071975-0.00325907i, +0.00040312-0.00116624i, +0.00128678-0.00024205i, +0.00100765-0.00234899i, +0.00071908+0.00186491i, +0.00089308-0.00217981i, -0.00063633+0.00225109i, -0.00229054-0.00081706i, -0.00030058-0.00017952i, -0.00056823-0.00140291i, -0.00013228+0.00120145i, +0.00146061-0.00111460i, -0.00011976+0.00026847i, +0.00105404-0.00319392i, +0.00335388+0.00205468i, +0.00322933+0.00210829i, -0.00270365-0.00157197i, -0.00023768+0.00011496i, -0.00042239-0.00020861i, -0.00026616-0.00261065i, +0.00012787+0.00197854i, +0.00047053+0.00298086i, -0.00066495-0.00149655i, +0.00335926+0.00362063i, -0.00124615-0.00055060i, -0.00152889+0.00254200i, -0.00184176-0.00150107i, +0.00085514+0.00204778i, -0.00111503-0.00147984i, +0.00098660-0.00189849i, -0.00032121+0.00094982i, -0.00060231-0.00228802i, -0.00143972+0.00080748i, -0.00159806+0.00154027i, +0.00100786-0.00053875i, -0.00017928-0.00310852i, +0.00052203+0.00069542i, +0.00059001+0.00081318i, -0.00186324-0.00049667i, +0.00331893-0.00340099i, -0.00143547+0.00145267i, +0.00275538-0.00106879i, +0.00055007+0.00219296i, +0.00083865+0.00018439i, +0.00004989+0.00092117i
-0.00674018+0.00599757i, -0.00140029+0.00027742i, -0.00504689+0.00042693i, +0.01863929+0.00000000i, +0.00912427+0.00251366i, -0.00484761+0.00576951i, +0.00453957+0.00376928i, -0.00433916+0.00153507i, -0.00567475+0.00436986i, +0.00025356-0.00802550i, +0.00671066-0.00081126i, -0.00348012+0.00350742i, +0.00063850+0.00517124i, -0.00174140-0.00148663i, +0.00139745+0.00097211i, -0.00541079+0.00276688i, +0.00076687-0.00265702i, -0.00151834+0.00253841i, +0.00015229-0.00657410i, +0.00495886+0.00604734i, -0.00079811+0.00138267i, -0.00161704+0.00238092i, -0.00084734+0.00249801i, -0.00272354-0.00309206i, +0.00268618+0.00564551i, -0.00241568-0.00651683i, +0.00348473-0.00319533i, -0.00136317-0.00162701i, +0.00354752+0.00260624i, -0.00221305-0.00171523i, -0.00227682+0.00610499i, -0.00223274-0.00145767i, +0.00203844+0.00696576i, -0.00709891+0.00025450i, -0.00583766-0.00295484i, +0.00782808-0.00109440i, +0.00017946+0.00052987i, +0.00132722+0.00066990i, +0.00193870+0.00110689i, -0.00111613-0.00501672i, -0.00414389-0.00357621i, +0.00375938+0.00144014i, -0.00440469-0.00024934i, +0.00439868+0.00217224i, +0.00030539-0.00602401i, +0.00442475+0.00042019i, -0.00155967-0.00493520i, +0.00547512+0.00119396i, +0.00211781+0.00436402i, -0.00031055-0.00158480i, +0.00290426-0.00272482i, +0.00212183-0.00342290i, +0.00135349-0.00486678i, -0.00156553+0.00212845i, +0.00402732+0.00301638i, -0.00102987-0.00169344i, -0.00304646-0.00062354i, +0.00380572-0.00066733i, -0.00235197+0.00534675i, +0.00138920-0.00558628i, -0.00208104+0.00453346i, -0.00421451-0.00322560i, -0.00240283-0.00078313i, -0.00024421-0.00146250i
-0.00875265+0.00984444i, -0.00118534-0.00185870i, -0.00309345+0.00374141i, +0.00912427-0.00251366i, +0.02597918+0.00000000i, -0.00912335+0.01006881i, +0.00680191+0.00570530i, -0.00426997+0.00317403i, -0.00714632+0.01218494i, -0.00280564-0.01194391i, +0.01029090-0.00265005i, -0.00297450+0.00636092i, +0.00209822+0.01022228i, -0.00409283-0.00202375i, +0.00346327+0.00190758i, -0.00595354+0.00558526i, +0.00206537-0.00384383i, -0.00161793+0.00313085i, -0.00159787-0.00934827i, +0.00680542+0.00546959i, -0.00055427+0.00157396i, -0.00091226+0.00360038i, +0.00048929+0.00426268i, -0.00428774-0.00292070i, +0.00365595+0.00853139i, -0.00479812-0.00748893i, +0.00455214-0.00451419i, -0.00045567+0.00024864i, +0.00546187+0.00548260i, -0.00381817-0.00342919i, -0.00223857+0.00958599i, -0.00298426-0.00248759i, +0.00586925+0.01028139i, -0.01006260+0.00160867i, -0.00801333-0.00322895i, +0.00802190-0.00294429i, +0.00190159-0.00076285i, +0.00168136+0.00077045i, +0.00263159+0.00203292i, -0.00306546-0.00479289i, -0.00796482-0.00566041i, +0.00591807+0.00043815i, -0.00598741+0.00148327i, +0.00394826-0.00131898i, -0.00281961-0.01208216i, +0.00731766+0.00091549i, -0.00295587-0.00649641i, +0.00611970+0.00057557i, +0.00488657+0.00631952i, -0.00166943-0.00249335i, +0.00364486-0.00369303i, +0.00076575-0.00242309i, +0.00116802-0.01006858i, -0.00107971+0.00406991i, +0.00754449+0.00356802i, -0.00295170-0.00061560i, -0.00547220-0.00071315i, +0.00446945-0.00195732i, -0.00229924+0.00857358i, -0.00008626-0.00509160i, -0.00204612+0.00915291i, -0.00633386-0.00342455i, -0.00349489-0.00009569i, -0.00092109-0.00080045i
+0.00863675+0.00042040i, -0.00138590+0.00284829i, +0.00264099+0.00095727i, -0.00484761-0.00576951i, -0.00912335-0.01006881i, +0.01981203-0.00000000i, -0.00137087-0.00887414i, +0.00368642+0.00322027i, +0.00869090-0.00102477i, -0.00729609+0.01001811i, -0.00758895-0.00418076i, +0.00546822-0.00069350i, +0.00539707-0.00520773i, +0.00087706+0.00417452i, -0.00153097-0.00292836i, +0.00590573+0.00092652i, -0.00345579+0.00051655i, +0.00406060-0.00096471i, -0.00508741+0.00527240i, +0.00049342-0.00648730i, +0.00106942+0.00068942i, +0.00347158+0.00017691i, +0.00245998-0.00219082i, +0.00028675+0.00433910i, +0.00298862-0.00620744i, -0.00262475+0.00843049i, -0.00580124-0.00019562i, +0.00000226-0.00000306i, +0.00021832-0.00593844i, +0.00084612+0.00561899i, +0.00729656-0.00314545i, +0.00002243+0.00289242i, +0.00349157-0.00737758i, +0.00756832+0.00729785i, +0.00197292+0.00744098i, -0.00490827-0.00407782i, -0.00002364-0.00008903i, +0.00166106-0.00181326i, -0.00090334-0.00344569i, -0.00190993+0.00431207i, +0.00071879+0.00661414i, -0.00321060-0.00551041i, +0.00350977+0.00264263i, -0.00220249-0.00180621i, -0.00541585+0.00575641i, -0.00451727-0.00775079i, -0.00310159+0.00549697i, -0.00166675-0.00421859i, +0.00123914-0.00493432i, -0.00015297+0.00301899i, -0.00420772-0.00063248i, -0.00160937+0.00042064i, -0.00528674+0.00373386i, +0.00377609-0.00269368i, -0.00149695-0.00647724i, +0.00124679+0.00205260i, +0.00194353+0.00331511i, -0.00414789-0.00233378i, +0.00613638-0.00230352i, -0.00328010+0.00177560i, +0.00508706-0.00245267i, +0.00046025+0.00768461i, +0.00115957+0.00194604i, -0.00012594+0.00053954i
-0.00123085+0.00644778i, -0.00084596-0.00072879i, -0.00179419+0.00121176i, +0.00453957-0.00376928i, +0.00680191-0.00570530i, -0.00137087+0.00887414i, +0.01698641-0.00000000i, -0.00468654+0.00254347i, +0.00030927+0.00660803i, -0.00474973-0.00573818i, +0.00573190-0.00786471i, -0.00033089+0.00483714i, +0.00306371+0.00383807i, -0.00123997-0.00115337i, +0.00210962+0.00017735i, -0.00186058+0.00479651i, -0.00037080-0.00252968i, +0.00002055+0.00259104i, -0.00533694-0.00484885i, +0.00574579+0.00036329i, -0.00025445+0.00073652i, +0.00045639+0.00259738i, +0.00218826+0.00356196i, -0.00396961-0.00064827i, +0.00513112+0.00242790i, -0.00511708-0.00225718i, +0.00027109-0.00585347i, +0.00003469+0.00058851i, +0.00467826+0.00013860i, -0.00333661-0.00044408i, +0.00279362+0.00792211i, -0.00264275+0.00027679i, +0.00486016+0.00330007i, -0.00500439+0.00327153i, -0.00714688-0.00022161i, +0.00307109-0.00301370i, +0.00022148-0.00006539i, +0.00128070+0.00027300i, +0.00376119-0.00095910i, -0.00325809-0.00191737i, -0.00492383+0.00011210i, +0.00334637-0.00119347i, -0.00212476+0.00348322i, +0.00169399-0.00197086i, -0.00334858-0.00385157i, +0.00391083-0.00128580i, -0.00516066-0.00563852i, +0.00298965-0.00079556i, +0.00321716+0.00133725i, -0.00146038-0.00128197i, +0.00023175-0.00381663i, +0.00018571-0.00108295i, -0.00249262-0.00361233i, +0.00053734+0.00227758i, +0.00587882-0.00261925i, -0.00197513+0.00120881i, -0.00271194+0.00189402i, +0.00169289-0.00236425i, +0.00158880+0.00540793i, -0.00173600-0.00279733i, +0.00163271+0.00398207i, -0.00389030+0.00017340i, -0.00239012+0.00205125i, -0.00060577-0.00080176i
+0.00390860-0.00179339i, +0.00157954-0.00070492i, +0.00280133-0.00045788i, -0.00433916-0.00153507i, -0.00426997-0.00317403i, +0.00368642-0.00322027i, -0.00468654-0.00254347i, +0.01436910+0.00000000i, +0.00385488-0.00213344i, -0.00058633+0.00463754i, -0.00427565+0.00026798i, +0.00383721-0.00527564i, +0.00178965-0.00316071i, +0.00050155+0.00177417i, -0.00081493-0.00043554i, +0.00268494-0.00014820i, -0.00123915+0.00080632i, +0.00151503-0.00084332i, -0.00079133+0.00399776i, -0.00362527-0.00331669i, +0.00058988-0.00030431i, +0.00092966-0.00088616i, +0.00056449-0.00259641i, +0.00258548+0.00300656i, -0.00126384-0.00349119i, +0.00047475+0.00284711i, -0.00223305+0.00193890i, -0.00010370-0.00167332i, -0.00165333-0.00257307i, +0.00133826+0.00208205i, +0.00197808-0.00360188i, +0.00170715+0.00355505i, +0.00022676-0.00382738i, +0.00418818+0.00043565i, +0.00342101+0.00216490i, -0.00562150-0.00164373i, -0.00006391-0.00037327i, -0.00052808-0.00032538i, -0.00211126-0.00068744i, +0.00245891+0.00144683i, +0.00205500+0.00258143i, -0.00145311-0.00062456i, +0.00227974+0.00044669i, -0.00086913+0.00165801i, -0.00123030+0.00335681i, -0.00293301-0.00080105i, +0.00090577+0.00341429i, -0.00374060-0.00470718i, -0.00029486-0.00276910i, +0.00007832+0.00101222i, -0.00182238+0.00080985i, -0.00154751-0.00047246i, -0.00165534+0.00252119i, +0.00089042-0.00093679i, -0.00209763-0.00263052i, +0.00255288-0.00182034i, +0.00150096+0.00100721i, -0.00126549-0.00033546i, +0.00218369-0.00273422i, -0.00018594+0.00255160i, +0.00188584-0.00183630i, +0.00123234+0.00176060i, +0.00099739+0.00070766i, -0.00069078+0.00223791i
+0.00826250+0.00196030i, -0.00031433+0.00063828i, +0.00413270+0.00056902i, -0.00567475-0.00436986i, -0.00714632-0.01218494i, +0.00869090+0.00102477i, +0.00030927-0.00660803i, +0.00385488+0.00213344i, +0.02257028+0.00000000i, -0.01045976+0.00872027i, -0.00599831-0.00759594i, +0.00478037-0.00120646i, +0.00772850-0.00564288i, -0.00056057+0.00388092i, +0.00130993-0.00152233i, +0.00588823+0.00258974i, -0.00316864-0.00066163i, +0.00231474-0.00017403i, -0.00577067+0.00478325i, +0.00100781-0.00706450i, +0.00070056-0.00010062i, +0.00329459-0.00041273i, +0.00314725-0.00193296i, -0.00076488+0.00453157i, +0.00555050-0.00728318i, -0.00310591+0.00683677i, -0.00517792-0.00026636i, -0.00022901-0.00024794i, +0.00108821-0.00541282i, -0.00072462+0.00386670i, +0.00760273-0.00238923i, -0.00055375+0.00299057i, +0.00378835-0.00967852i, +0.00531159+0.00629819i, +0.00083465+0.00661296i, -0.00530089-0.00409348i, -0.00008333-0.00154430i, +0.00022423-0.00097888i, -0.00001511-0.00245628i, -0.00166862+0.00394257i, -0.00168932+0.00769790i, -0.00173678-0.00477664i, +0.00383462+0.00339341i, -0.00276072-0.00213703i, -0.00667618+0.00685316i, -0.00250659-0.00532509i, -0.00359775+0.00489754i, -0.00221829-0.00463841i, +0.00326096-0.00635550i, -0.00126053+0.00250564i, -0.00435715-0.00084540i, -0.00213874+0.00021532i, -0.00619129+0.00261696i, +0.00287947-0.00092507i, -0.00119295-0.00609777i, +0.00090346+0.00210450i, +0.00243437+0.00670610i, -0.00388575-0.00255340i, +0.00734879-0.00184732i, -0.00353596+0.00207339i, +0.00659332-0.00195364i, +0.00031964+0.00546178i, +0.00100732+0.00263253i, -0.00039591+0.00105974i
-0.00524207-0.00878630i, +0.00180444+0.00003697i, -0.00330338-0.00426435i, +0.00025356+0.00802550i, -0.00280564+0.01194391i, -0.00729609-0.01001811i, -0.00474973+0.00573818i, -0.00058633-0.00463754i, -0.01045976-0.00872027i, +0.02271113-0.00000000i, +0.00129660+0.01233463i, -0.00479467-0.00560978i, -0.00919924-0.00012111i, +0.00381550-0.00423179i, -0.00300124+0.00173614i, -0.00352354-0.00682643i, +0.00244160+0.00138473i, -0.00263272-0.00360009i, +0.00821692+0.00071164i, -0.00621711+0.00521126i, -0.00075863-0.00029372i, -0.00274204-0.00251157i, -0.00414657-0.00035357i, +0.00350246-0.00360924i, -0.00781247+0.00224900i, +0.00924571-0.00343729i, +0.00361634+0.00458644i, +0.00044022-0.00022649i, -0.00420447+0.00336421i, +0.00419136-0.00358478i, -0.00742514-0.00405144i, +0.00223556-0.00144888i, -0.00849955+0.00208033i, +0.00059522-0.01203534i, +0.00485425-0.00696849i, +0.00014177+0.00711858i, -0.00053938+0.00042654i, -0.00120620-0.00010169i, -0.00223218+0.00274310i, +0.00470762-0.00192547i, +0.00601056-0.00564178i, -0.00358135+0.00614599i, +0.00022111-0.00568262i, +0.00028297+0.00393274i, +0.00821824+0.00039180i, -0.00310514+0.00803270i, +0.00690532-0.00155081i, -0.00209516+0.00456099i, -0.00603553+0.00226302i, +0.00334334-0.00241400i, +0.00241149+0.00399202i, +0.00221181+0.00131557i, +0.00597999+0.00177625i, -0.00371856-0.00188727i, -0.00423681+0.00497669i, +0.00139755-0.00223895i, +0.00124289-0.00459048i, +0.00141828+0.00648734i, -0.00717826-0.00342216i, +0.00482990+0.00103574i, -0.00609619-0.00296050i, +0.00541059-0.00497380i, +0.00067264-0.00256627i, +0.00116047-0.00099525i
-0.00849829+0.00422558i, +0.00087325-0.00162680i, -0.00321863+0.00277405i, +0.00671066+0.00081126i, +0.01029090+0.00265005i, -0.00758895+0.00418076i, +0.00573190+0.00786471i, -0.00427565-0.00026798i, -0.00599831+0.00759594i, +0.00129660-0.01233463i, +0.02195171-0.00000000i, -0.00712926+0.00402177i, -0.00019435+0.00942708i, -0.00254925-0.00277294i, +0.00282508+0.00378694i, -0.00608243+0.00158810i, +0.00168660-0.00182802i, -0.00259785+0.00165528i, +0.00116482-0.01016179i, +0.00487911+0.00609844i, -0.00060614+0.00046951i, -0.00231315+0.00256026i, -0.00024250+0.00520455i, -0.00284295-0.00383413i, +0.00205177+0.00662318i, -0.00135181-0.00667616i, +0.00662832-0.00391744i, -0.00050242-0.00014126i, +0.00362151+0.00443662i, -0.00225894-0.00347158i, -0.00526275+0.00724562i, -0.00151491-0.00267719i, +0.00067594+0.00760866i, -0.00778697-0.00177956i, -0.00619212-0.00791054i, +0.00595900+0.00050059i, +0.00013733+0.00034108i, +0.00051242+0.00074839i, +0.00251889+0.00350198i, -0.00078019-0.00385969i, -0.00494764-0.00500124i, +0.00404328+0.00253545i, -0.00751177-0.00019605i, +0.00377387-0.00010811i, +0.00126456-0.00686536i, +0.00475367+0.00247637i, +0.00029667-0.00774666i, +0.00356020+0.00265388i, +0.00209431+0.00554042i, -0.00061173-0.00250686i, +0.00492513-0.00278419i, +0.00136323-0.00121126i, +0.00132152-0.00545384i, -0.00183184+0.00178693i, +0.00480720+0.00548358i, -0.00194747-0.00102414i, -0.00372516-0.00106290i, +0.00399017-0.00056939i, -0.00340350+0.00854334i, +0.00135251-0.00466284i, -0.00343608+0.00581097i, -0.00338111-0.00418468i, -0.00307569-0.00055468i, +0.00008780-0.00097956i
