+0.01811850+0.00000000i, -0.00074974+0.00077892i, -0.00125983-0.00082140i, +0.00108838-0.00229355i, -0.00309077-0.00056146i, +0.00134363+0.00146563i, -0.00060070-0.00073432i, +0.00010107-0.00178287i, -0.00060552+0.00086531i, +0.00021926-0.00045529i, +0.00036990-0.00110757i, +0.00201626+0.00034623i, +0.00016840-0.00119673i, +0.00239629+0.00013829i, +0.00061007-0.00040631i, -0.00119981+0.00041895i, -0.00069591-0.00122251i, -0.00111446-0.00001635i, +0.00074221-0.00056294i, -0.00003115-0.00017920i, +0.00079254+0.00150315i, -0.00060219+0.00133672i, +0.00112885+0.00066174i, -0.00097789+0.00044180i, -0.00036720-0.00076541i, +0.00065064+0.00099204i, +0.00089724-0.00019752i, -0.00113615+0.00072926i, +0.00271340-0.00087260i, -0.00065208+0.00070142i, -0.00006686+0.00083311i, -0.00015901+0.00108094i, -0.00066592+0.00080546i, +0.00094391+0.00043879i, +0.00029184-0.00096629i, -0.00128110+0.00032666i, -0.00059135-0.00127348i, -0.00117117+0.00057777i, -0.00121140-0.00216978i, -0.00015702-0.00047820i, +0.00022247+0.00010267i, -0.00000157-0.00087033i, +0.00010104+0.00077205i, +0.00114239+0.00091103i, +0.00008041+0.00035442i, -0.00059127-0.00085951i, -0.00026077+0.00008468i, +0.00077525+0.00022633i, +0.00019531+0.00055510i, -0.00019968-0.00103640i, +0.00042112-0.00115549i, +0.00050109-0.00058626i, +0.00114185-0.00046387i, -0.00024461-0.00003217i, -0.00035616-0.00001753i, -0.00028606+0.00018316i, +0.00076617+0.00041322i, -0.00034409+0.00022084i, -0.00027437+0.00054636i, +0.00026174+0.00059309i, +0.00006211-0.00070660i, +0.00010191+0.00042177i, +0.00013238+0.00083629i, -0.00232920-0.00034175i
-0.00074974-0.00077892i, +0.01688256-0.00000000i, +0.00016112+0.00149842i, -0.00104330+0.00012905i, +0.00169128+0.00187233i, -0.00004571-0.00183175i, -0.00042611+0.00041910i, -0.00115667+0.00024950i, +0.00007322-0.00001691i, -0.00045960+0.00080097i, +0.00001214+0.00048748i, -0.00017734-0.00142912i, -0.00014642+0.00015109i, -0.00088469-0.00150368i, -0.00074044-0.00011212i, +0.00023924+0.00016520i, -0.00050528+0.00071231i, +0.00052834+0.00063424i, -0.00036266-0.00070554i, -0.00033940+0.00000974i, +0.00061892-0.00129391i, +0.00088050+0.00021176i, +0.00010488-0.00136953i, +0.00068914+0.00064027i, -0.00034059+0.00049622i, -0.00007046-0.00109157i, -0.00055568-0.00027780i, +0.00091325+0.00036936i, -0.00124042-0.00100966i, +0.00037038+0.00008024i, +0.00058929-0.00018507i, +0.00089416-0.00033601i, +0.00003545+0.00022761i, -0.00015920+0.00011160i, -0.00036901+0.00034619i, +0.00055426+0.00042351i, -0.00065705+0.00044933i, +0.00041066+0.00037039i, -0.00059742+0.00159469i, -0.00031146+0.00023147i, -0.00009471-0.00006986i, -0.00023661+0.00010194i, +0.00065239-0.00039160i, +0.00005358-0.00084318i, +0.00031796-0.00013293i, -0.00015842+0.00033054i, +0.00009997+0.00034795i, -0.00020137-0.00090817i, -0.00022052-0.00087652i, -0.00090122+0.00047864i, -0.00060219+0.00033546i, -0.00086297-0.00005873i, -0.00060454-0.00053889i, +0.00028414-0.00003564i, +0.00008242+0.00026971i, +0.00056931+0.00020230i, +0.00005101-0.00087961i, +0.00041781+0.00034265i, +0.00000094-0.00024956i, +0.00044312-0.00068415i, -0.00043654+0.00025448i, +0.00016951-0.00004521i, +0.00037701-0.00070993i, +0.00096489+0.00145662i
-0.00125983+0.00082140i, +0.00016112-0.00149842i, +0.01708465-0.00000000i, +0.00002691+0.00168379i, +0.00164331-0.00068930i, -0.00097065-0.00026011i, +0.00046075-0.00034718i, +0.00038862+0.00099233i, +0.00005471-0.00020079i, +0.00006917-0.00020993i, +0.00026042+0.00125265i, -0.00169394+0.00014699i, +0.00024905+0.00061400i, -0.00142051+0.00067224i, -0.00034542+0.00033900i, +0.00046201-0.00048974i, +0.00102651-0.00006104i, +0.00050349-0.00079141i, -0.00030607-0.00035300i, -0.00000868-0.00048282i, -0.00072438-0.00086959i, +0.00014446-0.00082226i, -0.00114219-0.00039729i, +0.00019076-0.00019797i, +0.00040702+0.00004366i, -0.00023387+0.00030731i, -0.00055578-0.00003534i, +0.00067949-0.00104385i, -0.00105900+0.00126188i, +0.00035916-0.00006414i, -0.00021486-0.00037707i, -0.00004037-0.00080291i, +0.00023179-0.00031705i, -0.00060573-0.00046143i, +0.00043926+0.00103922i, +0.00072381-0.00050774i, +0.00080599+0.00053527i, +0.00030567-0.00072472i, +0.00148246+0.00098210i, +0.00009664+0.00000316i, -0.00008247+0.00004390i, +0.00023007+0.00039748i, -0.00014069-0.00050521i, -0.00092777-0.00011559i, -0.00026076-0.00001031i, +0.00026035+0.00004157i, +0.00026990-0.00020245i, -0.00066493+0.00017976i, -0.00083677+0.00018812i, +0.00049826+0.00042916i, -0.00014119+0.00077022i, +0.00010109+0.00048711i, -0.00078550+0.00066535i, +0.00028255-0.00000341i, +0.00018092+0.00022951i, +0.00043249-0.00022055i, -0.00053581-0.00041031i, +0.00006790-0.00019585i, +0.00009128-0.00017672i, -0.00053089-0.00016441i, +0.00043773+0.00036726i, -0.00040501-0.00039829i, -0.00061938-0.00022940i, +0.00133327-0.00057500i
+0.00108838+0.00229355i, -0.00104330-0.00012905i, +0.00002691-0.00168379i, +0.01673286+0.00000000i, -0.00099547-0.00122049i, +0.00005557+0.00166783i, +0.00014205+0.00026169i, +0.00090187-0.00082708i, -0.00009469-0.00010444i, +0.00000723-0.00036138i, +0.00082214-0.00039385i, +0.00036828+0.00128755i, +0.00057878+0.00005504i, +0.00095126+0.00110873i, +0.00067540-0.00006616i, -0.00093968-0.00003071i, +0.00019867-0.00063211i, -0.00062073-0.00078934i, +0.00039556-0.00000141i, +0.00005067-0.00036514i, -0.00067929+0.00083256i, -0.00070290+0.00026319i, +0.00028709+0.00091587i, -0.00068774-0.00063857i, -0.00024290+0.00017652i, -0.00023518+0.00040466i, +0.00051260-0.00026568i, -0.00061252-0.00081157i, +0.00119130+0.00123327i, -0.00052265+0.00007192i, -0.00022366+0.00061214i, -0.00120333+0.00001767i, -0.00015588-0.00014732i, +0.00000135+0.00033918i, +0.00071464-0.00051718i, -0.00077088-0.00009179i, +0.00042248-0.00059066i, -0.00083294-0.00021836i, +0.00047381-0.00151381i, +0.00050902+0.00033893i, -0.00021466+0.00020031i, +0.00048934-0.00026112i, -0.00039622+0.00028331i, -0.00023930+0.00106261i, +0.00015831+0.00018496i, +0.00031660-0.00053450i, -0.00017700-0.00017403i, +0.00019915+0.00050567i, -0.00007885+0.00056142i, +0.00050916-0.00052867i, +0.00077419+0.00003986i, -0.00006322-0.00008404i, +0.00052273+0.00064290i, +0.00007465-0.00033323i, -0.00012207-0.00038963i, -0.00022433+0.00009676i, -0.00003789+0.00029458i, -0.00044555-0.00000185i, -0.00039595-0.00008335i, +0.00006549+0.00060498i, +0.00042574-0.00035716i, +0.00004328+0.00029813i, -0.00045110+0.00033551i, -0.00080068-0.00101770i
-0.00309077+0.00056146i, +0.00169128-0.00187233i, +0.00164331+0.00068930i, -0.00099547+0.00122049i, +0.01970654+0.00000000i, -0.00109068-0.00204923i, +0.00077621+0.00054963i, -0.00059114+0.00221934i, +0.00038621-0.00069331i, +0.00014605+0.00092980i, -0.00027843+0.00105645i, -0.00229163-0.00070567i, -0.00041759+0.00075008i, -0.00271816-0.00018649i, -0.00085217+0.00058275i, +0.00172819-0.00004262i, +0.00068950+0.00101934i, +0.00143747+0.00011432i, -0.00096413-0.00006642i, +0.00024359+0.00016682i, -0.00087474-0.00222498i, +0.00048081-0.00103688i, -0.00180129-0.00129540i, +0.00103273-0.00038001i, +0.00076759+0.00067053i, -0.00083964-0.00069828i, -0.00122208+0.00006613i, +0.00105196-0.00012749i, -0.00285380+0.00060166i, +0.00117678-0.00088833i, -0.00003428-0.00076786i, +0.00038094-0.00038094i, +0.00078188+0.00027380i, -0.00054747-0.00043497i, -0.00018824+0.00086317i, +0.00145906-0.00018827i, +0.00007220+0.00202011i, +0.00171556-0.00057553i, +0.00148122+0.00271387i, +0.00025398+0.00029382i, -0.00007867-0.00003904i, -0.00022174+0.00112865i, +0.00045138-0.00093907i, -0.00100352-0.00105133i, -0.00014767-0.00051278i, +0.00053309+0.00080780i, +0.00050459+0.00045177i, -0.00140198-0.00010276i, -0.00093863-0.00071754i, +0.00030118+0.00113626i, -0.00053572+0.00141205i, -0.00054178+0.00067012i, -0.00168624+0.00032948i, +0.00039912+0.00040518i, +0.00026927+0.00003975i, +0.00036970+0.00005147i, -0.00079430-0.00049178i, +0.00027902-0.00012895i, +0.00013744-0.00074118i, -0.00010333-0.00089253i, -0.00029508+0.00079233i, -0.00023856-0.00027345i, -0.00022598-0.00164007i, +0.00258659+0.00045883i
+0.00134363-0.00146563i, -0.00004571+0.00183175i, -0.00097065+0.00026011i, +0.00005557-0.00166783i, -0.00109068+0.00204923i, +0.01717325-0.00000000i, -0.00045689-0.00066682i, -0.00033366-0.00114950i, +0.00003345+0.00027137i, -0.00048414-0.00029557i, -0.00059140-0.00070601i, +0.00111255-0.00112233i, -0.00039932-0.00050559i, +0.00107591-0.00151489i, -0.00075389-0.00068430i, -0.00079412+0.00079701i, -0.00088438+0.00001801i, -0.00041762+0.00044290i, +0.00000246-0.00076686i, +0.00034441-0.00055411i, +0.00102831+0.00042809i, +0.00046505+0.00041833i, +0.00106690-0.00017370i, -0.00016222+0.00032272i, -0.00036609-0.00003770i, +0.00062613-0.00021625i, +0.00029106-0.00046382i, -0.00050481+0.00074228i, +0.00064934-0.00208967i, -0.00042303+0.00087633i, +0.00046711+0.00062168i, +0.00023928+0.00076893i, -0.00053077+0.00061211i, +0.00054009+0.00024706i, -0.00029181-0.00040288i, -0.00035223+0.00103998i, -0.00113191-0.00056808i, -0.00025107+0.00132582i, -0.00188134-0.00023327i, -0.00004786+0.00001111i, +0.00012500-0.00022430i, -0.00036676-0.00053675i, +0.00049444+0.00060896i, +0.00109515-0.00012913i, +0.00026295+0.00021010i, -0.00089133-0.00014193i, -0.00017820+0.00022434i, +0.00064119-0.00021612i, +0.00049360-0.00011228i, -0.00089095-0.00044609i, -0.00022207-0.00060119i, -0.00019325-0.00078988i, +0.00021966-0.00098471i, -0.00086505+0.00024654i, -0.00005947-0.00008971i, -0.00035355+0.00050874i, +0.00043443-0.00010202i, +0.00001550+0.00040332i, +0.00014496+0.00037236i, +0.00062302+0.00036350i, -0.00048806-0.00054655i, +0.00016933-0.00002659i, +0.00040502+0.00023750i, -0.00135515+0.00130585i
-0.00060070+0.00073432i, -0.00042611-0.00041910i, +0.00046075+0.00034718i, +0.00014205-0.00026169i, +0.00077621-0.00054963i, -0.00045689+0.00066682i, +0.01621464-0.00000000i, +0.00031377+0.00109483i, -0.00061558-0.00016616i, +0.00006684-0.00022165i, -0.00007718+0.00079937i, -0.00033652+0.00059634i, +0.00006682+0.00017696i, +0.00033938+0.00066766i, -0.00001762+0.00005730i, -0.00020320-0.00034441i, -0.00005443+0.00032947i, -0.00022298-0.00037171i, -0.00024758+0.00067696i, -0.00051335+0.00027987i, -0.00046167-0.00022126i, -0.00037837+0.00014070i, -0.00037029-0.00023304i, +0.00011233-0.00031427i, +0.00011950-0.00038001i, -0.00024223+0.00053320i, +0.00007961+0.00036577i, -0.00011074-0.00014337i, -0.00024953+0.00030060i, -0.00034638+0.00014302i, -0.00017179+0.00025804i, -0.00037089+0.00069492i, -0.00010529-0.00017864i, -0.00007650+0.00022640i, +0.00014946-0.00003699i, +0.00004462-0.00023208i, +0.00033893-0.00001842i, +0.00027668-0.00015506i, +0.00058313+0.00039762i, +0.00015327+0.00015955i, -0.00012234+0.00022371i, -0.00002624+0.00011848i, -0.00016503-0.00003180i, -0.00009302-0.00008414i, +0.00007894-0.00000033i, +0.00016325-0.00024685i, +0.00012006-0.00000434i, -0.00029641-0.00006357i, -0.00017927+0.00027924i, +0.00031079-0.00008444i, +0.00034126+0.00022437i, +0.00018786+0.00007912i, -0.00006403+0.00025679i, +0.00002679-0.00006438i, -0.00039380-0.00003370i, -0.00011210-0.00009074i, +0.00008819-0.00010168i, -0.00005975+0.00000095i, -0.00009265+0.00002518i, -0.00007465-0.00004672i, +0.00007589+0.00035532i, +0.00005744-0.00016862i, -0.00052330-0.00029640i, +0.00026155-0.00057399i
+0.00010107+0.00178287i, -0.00115667-0.00024950i, +0.00038862-0.00099233i, +0.00090187+0.00082708i, -0.00059114-0.00221934i, -0.00033366+0.00114950i, +0.00031377-0.00109483i, +0.01675230+0.00000000i, -0.00057946+0.00000698i, +0.00037184-0.00043921i, +0.00070977-0.00000636i, -0.00055352+0.00175568i, +0.00057853+0.00000418i, +0.00057785+0.00156965i, +0.00124732+0.00013773i, -0.00020544-0.00107751i, +0.00081822-0.00047101i, -0.00012821-0.00090847i, +0.00041689+0.00069480i, +0.00006149+0.00017632i, -0.00071421+0.00033606i, -0.00055890-0.00023939i, -0.00038280+0.00094596i, -0.00066109-0.00052592i, -0.00015469-0.00034089i, +0.00025070+0.00090057i, +0.00034191+0.00056184i, -0.00059800-0.00130370i, +0.00051747+0.00173799i, -0.00044993-0.00051203i, -0.00039339+0.00084154i, -0.00087865+0.00038755i, -0.00043410-0.00027635i, -0.00026242+0.00046217i, +0.00057136-0.00023271i, -0.00042304-0.00113094i, +0.00061846-0.00047391i, -0.00051254-0.00053882i, +0.00096746-0.00137674i, -0.00002583+0.00026492i, +0.00004201+0.00012263i, +0.00089482-0.00004732i, -0.00069143-0.00009638i, -0.00038611+0.00070671i, +0.00002253+0.00047206i, +0.00023778-0.00041847i, +0.00013145-0.00027407i, +0.00006505+0.00066587i, -0.00035758+0.00085366i, +0.00053073-0.00031936i, +0.00051546+0.00022972i, +0.00074259+0.00016507i, +0.00061818+0.00057225i, +0.00016581-0.00056627i, +0.00012263-0.00008484i, -0.00093227-0.00031559i, -0.00008630+0.00021854i, -0.00012251-0.00022643i, -0.00038511+0.00004747i, -0.00034785+0.00032492i, +0.00052697-0.00017962i, +0.00014347-0.00021579i, -0.00057833+0.00032096i, -0.00034267-0.00173462i
-0.00060552-0.00086531i, +0.00007322+0.00001691i, +0.00005471+0.00020079i, -0.00009469+0.00010444i, +0.00038621+0.00069331i, +0.00003345-0.00027137i, -0.00061558+0.00016616i, -0.00057946-0.00000698i, +0.01598529-0.00000000i, +0.00028650-0.00010628i, -0.00018074-0.00005226i, -0.00020984-0.00119952i, +0.00006661+0.00055715i, -0.00031123-0.00053624i, +0.00044716+0.00026803i, +0.00001637+0.00012163i, +0.00026312-0.00018813i, -0.00003667-0.00034481i, +0.00010676+0.00012967i, -0.00013200-0.00063369i, +0.00022896-0.00062505i, +0.00022126-0.00024637i, -0.00007253-0.00001458i, +0.00037245+0.00023674i, +0.00006346+0.00107966i, -0.00021168+0.00008437i, -0.00021360-0.00029111i, +0.00017807+0.00007550i, -0.00029147-0.00040683i, +0.00032590-0.00038499i, -0.00001155-0.00000333i, +0.00011127-0.00066756i, +0.00046263+0.00019346i, -0.00011067-0.00010859i, -0.00006437+0.00010548i, -0.00001511+0.00027086i, +0.00022847+0.00040393i, +0.00026582+0.00007426i, -0.00018084+0.00014698i, -0.00000011+0.00004756i, -0.00011731+0.00053677i, +0.00021416+0.00026244i, +0.00017007-0.00026412i, -0.00041222-0.00013093i, -0.00036278-0.00014952i, +0.00014101+0.00010185i, +0.00010457+0.00008712i, -0.00010883+0.00003928i, +0.00030466-0.00034157i, -0.00002167+0.00022513i, -0.00006856+0.00032658i, -0.00016486-0.00018306i, +0.00007240-0.00014000i, +0.00005219+0.00018812i, +0.00002772+0.00003446i, +0.00001839-0.00006230i, +0.00053287+0.00004514i, -0.00003368-0.00012719i, +0.00011311+0.00026108i, -0.00030162+0.00005468i, +0.00016156+0.00011349i, -0.00017430-0.00018976i, +0.00048373-0.00006707i, +0.00025606+0.00003079i
+0.00021926+0.00045529i, -0.00045960-0.00080097i, +0.00006917+0.00020993i, +0.00000723+0.00036138i, +0.00014605-0.00092980i, -0.00048414+0.00029557i, +0.00006684+0.00022165i, +0.00037184+0.00043921i, +0.00028650+0.00010628i, +0.01566281-0.00000000i, +0.00026541+0.00096431i, -0.00064977+0.00095498i, +0.00000359+0.00012980i, +0.00022495+0.00124916i, +0.00050835+0.00027357i, +0.00060508-0.00027051i, +0.00019883-0.00043730i, +0.00043655-0.00038828i, -0.00034623-0.00002370i, -0.00002859-0.00019549i, -0.00069082+0.00021138i, -0.00028959-0.00008283i, -0.00001476+0.00011274i, +0.00031686-0.00057321i, +0.00038729-0.00005966i, -0.00031428+0.00110830i, -0.00000210+0.00036927i, -0.00018252-0.00068787i, -0.00018475+0.00076650i, -0.00037790-0.00043078i, -0.00049975+0.00028105i, +0.00001011-0.00040621i, +0.00006139-0.00015602i, -0.00012204+0.00001559i, +0.00036922+0.00018698i, +0.00017168-0.00022391i, +0.00070269-0.00002887i, +0.00007685-0.00014457i, +0.00058653-0.00010272i, -0.00015932+0.00012022i, -0.00013499-0.00002548i, +0.00042201+0.00049383i, -0.00009686+0.00002884i, -0.00036593+0.00013683i, -0.00025418-0.00003188i, +0.00001409-0.00037061i, +0.00020673-0.00009159i, -0.00010134+0.00015839i, -0.00010025+0.00014098i, +0.00053270-0.00011686i, +0.00019492+0.00040227i, +0.00015323+0.00004516i, +0.00007263+0.00019024i, +0.00012127+0.00008923i, +0.00006267-0.00001857i, -0.00026864-0.00009803i, -0.00004307-0.00004120i, +0.00044203-0.00028333i, -0.00010313-0.00001784i, -0.00034769+0.00040350i, +0.00018629+0.00019524i, +0.00022667-0.00016978i, -0.00030622-0.00013410i, +0.00020910-0.00088362i
+0.00036990+0.00110757i, +0.00001214-0.00048748i, +0.00026042-0.00125265i, +0.00082214+0.00039385i, -0.00027843-0.00105645i, -0.00059140+0.00070601i, -0.00007718-0.00079937i, +0.00070977+0.00000636i, -0.00018074+0.00005226i, +0.00026541-0.00096431i, +0.01597727-0.00000000i, +0.00024050+0.00158206i, +0.00054883-0.00038721i, +0.00036501+0.00091593i, +0.00014047+0.00059565i, -0.00063537-0.00042335i, +0.00044826-0.00055914i, -0.00022944-0.00077625i, +0.00038312+0.00008799i, -0.00007427+0.00061069i, -0.00040125+0.00015074i, -0.00008099+0.00036976i, -0.00022045+0.00036509i, -0.00015171-0.00039804i, -0.00006206-0.00034137i, -0.00005146+0.00037525i, +0.00021099+0.00101318i, -0.00039946-0.00067739i, +0.00061458+0.00133928i, -0.00074257+0.00000445i, -0.00022890+0.00018432i, -0.00020148-0.00035352i, +0.00003663-0.00032416i, +0.00005579+0.00023651i, +0.00015725-0.00009869i, -0.00020742-0.00057520i, +0.00036846-0.00061536i, -0.00023568-0.00051226i, +0.00054099-0.00119078i, +0.00021426+0.00015227i, +0.00019134+0.00013258i, +0.00007168-0.00025674i, -0.00043826+0.00023899i, -0.00016222+0.00063161i, +0.00000481+0.00008803i, +0.00012499-0.00010570i, +0.00012889-0.00015823i, -0.00019057+0.00041772i, +0.00004008+0.00025245i, +0.00062349-0.00026163i, +0.00068520-0.00043758i, +0.00026636-0.00005881i, +0.00050098+0.00015163i, +0.00007950-0.00032795i, +0.00019373-0.00017507i, +0.00013682-0.00016113i, -0.00012047-0.00013891i, -0.00026770+0.00001096i, +0.00019973-0.00005694i, -0.00021435+0.00032655i, +0.00060988-0.00021195i, -0.00017006+0.00015261i, -0.00062460+0.00036256i, -0.00044794-0.00108482i
